,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2000-03,43.97M,43.97M,,,674.50M,,,,464.71M,,,73.36M,1.257B,,,,,,,742.32M,-354.76M,387.57M,,1.171B,1.171B,,,,57.60M,1.616B,2.873B,,216.41M,,,216.41M,,216.41M,312.04M,,312.04M,,,280.44M,808.90M,858.79M,,858.79M,10.12M,,10.12M,,,,175.89M,1.045B,1.854B,,8.081M,570.38M,461.36M,,,,,-20.96M,1.019B,,,
1999-12,63.02M,63.02M,,,502.24M,,,,352.83M,,,208.42M,1.127B,,,,,,,704.43M,-336.65M,367.78M,,1.164B,1.164B,,,,48.17M,1.580B,2.707B,,220.94M,,,220.94M,,220.94M,177.79M,,177.79M,,,289.12M,687.86M,857.30M,,857.30M,6.632M,,6.632M,,,,163.96M,1.028B,1.716B,,8.053M,544.24M,456.52M,,,,,-18.03M,990.77M,,,
1999-09,30.30M,30.30M,,,586.20M,,,,410.00M,,,70.50M,1.097B,,,,,,,720.20M,-325.30M,394.90M,,1.193B,1.193B,,,,82.80M,1.671B,2.768B,,207.80M,,,207.80M,,207.80M,241.10M,,241.10M,,,330.00M,778.90M,1.045B,,1.045B,,,,,,,194.30M,1.240B,2.018B,,244.50M,509.00M,,,7.10M,,,-4.10M,749.30M,,,
1999-06,41.60M,41.60M,,,419.60M,,,,292.80M,,,56.90M,810.90M,,,,,,,612.50M,-311.40M,301.10M,,497.10M,497.10M,,,,60.50M,858.70M,1.670B,,129.20M,,,129.20M,,129.20M,47.80M,,47.80M,,,218.50M,395.50M,370.70M,,370.70M,,,,,,,178.50M,549.20M,944.70M,,,486.00M,,,,,,,724.90M,,,
1999-03,31.10M,31.10M,,,407.00M,,,,282.30M,,,55.60M,776.00M,,,,,,,589.00M,-293.90M,295.10M,,460.00M,460.00M,,,,56.50M,811.60M,1.588B,,125.40M,,,125.40M,,125.40M,48.70M,,48.70M,,,218.20M,392.30M,312.50M,,312.50M,,,,,,,179.20M,491.70M,884.00M,,,464.50M,,,,,,,703.60M,,,
1998-12,32.00M,32.00M,,,396.10M,,,,278.60M,,,41.90M,748.60M,,,,,,,593.00M,-284.70M,308.30M,,474.50M,474.50M,,,,23.30M,806.10M,1.555B,,156.00M,,,156.00M,,156.00M,52.90M,,52.90M,,,185.90M,394.80M,288.00M,,288.00M,0.40M,,0.40M,,,,162.10M,450.50M,845.30M,,53.60M,469.10M,,,53.60M,,,,709.40M,,,
1998-09,33.80M,33.80M,,,369.50M,,,,290.80M,,,36.20M,730.30M,,,,,,,563.50M,-276.40M,287.10M,,435.10M,435.10M,,,,52.80M,775.00M,1.505B,,114.80M,,,114.80M,,114.80M,76.10M,,76.10M,,,190.10M,381.00M,283.00M,,283.00M,,,,,,,161.80M,444.80M,825.80M,,54.50M,442.80M,,,54.50M,,,,679.50M,,,
1998-06,35.30M,35.30M,,,372.90M,,,,282.90M,,,36.00M,727.10M,,,,,,,542.00M,-260.40M,281.60M,,425.60M,425.60M,,,,46.70M,753.90M,1.481B,,123.60M,,,123.60M,,123.60M,40.00M,,40.00M,,,175.50M,339.10M,322.60M,,322.60M,,,,,,,153.30M,475.90M,815.00M,,51.60M,423.90M,,,51.60M,,,,666.00M,,,
1998-03,25.60M,25.60M,,,395.30M,,,,271.80M,,,36.20M,728.90M,,,,,,,530.90M,-247.60M,283.30M,,423.20M,423.20M,,,,48.90M,755.40M,1.484B,,119.90M,,,119.90M,,119.90M,29.10M,,29.10M,,,183.40M,332.40M,348.30M,,348.30M,,,,,,,154.20M,502.50M,834.90M,,58.80M,406.30M,,,58.80M,,,,649.40M,,,
1997-12,34.30M,34.30M,,,369.20M,,,,266.40M,,,35.50M,705.40M,,,,,,,528.40M,-234.80M,293.60M,,429.30M,429.30M,,,,44.60M,767.50M,1.473B,,152.60M,,,152.60M,,152.60M,34.70M,,34.70M,,,204.90M,392.20M,294.50M,,294.50M,,,,,,,155.60M,450.10M,842.30M,,53.40M,389.40M,,,53.40M,,,,630.60M,,,
1997-09,25.00M,25.00M,,,397.20M,,,,331.50M,,,38.60M,792.30M,,,,,,,589.70M,-262.50M,327.20M,,456.00M,456.00M,,,,33.90M,817.10M,1.609B,,132.80M,,,132.80M,,132.80M,34.30M,,34.30M,,,196.90M,364.00M,468.10M,,468.10M,,,,,,,174.20M,642.30M,1.006B,,60.30M,366.20M,,,60.30M,,,,603.10M,,,
1997-06,28.60M,28.60M,,,332.80M,,,,293.00M,,,37.80M,692.20M,,,,,,,565.70M,-251.50M,314.20M,,292.20M,292.20M,,,,91.40M,697.80M,1.39B,,103.20M,,,103.20M,,103.20M,37.90M,,37.90M,,,163.90M,305.00M,348.50M,,348.50M,,,,,,,144.20M,492.70M,797.70M,,48.40M,350.20M,,,48.40M,,,,592.30M,,,
1997-03,17.30M,17.30M,,,332.10M,,,,268.90M,,,37.40M,655.70M,,,,,,,543.90M,-238.90M,305.00M,,298.10M,298.10M,,,,80.90M,684.00M,1.340B,,102.70M,,,102.70M,,102.70M,44.90M,,44.90M,,,171.40M,319.00M,301.40M,,301.40M,,,,,,,144.70M,446.10M,765.10M,,48.00M,336.00M,,,48.00M,,,,574.60M,,,
1996-12,23.00M,23.00M,,,299.10M,,,,256.70M,,,35.50M,614.30M,,,,,,,525.90M,-227.10M,298.80M,,298.40M,298.40M,,,,77.50M,674.70M,1.289B,,98.10M,,,98.10M,,98.10M,32.90M,,32.90M,,,170.60M,301.60M,279.90M,,279.90M,,,,,,,143.60M,423.50M,725.10M,,47.60M,322.80M,,,47.60M,,,,563.90M,,,
1996-09,34.60M,34.60M,,,305.30M,,,,266.70M,,,47.80M,654.40M,,,,,,,492.50M,-218.10M,274.40M,,280.20M,280.20M,,,,71.90M,626.50M,1.281B,,96.80M,,,96.80M,,96.80M,39.10M,,39.10M,,,177.90M,313.80M,276.50M,,276.50M,3.60M,,3.60M,,,,142.70M,422.80M,736.60M,,44.50M,306.30M,,,44.50M,,,,544.30M,,,
1996-06,23.00M,23.00M,,,283.20M,,,,281.20M,,,42.20M,629.60M,,,,,,,476.30M,-207.50M,268.80M,,283.80M,283.80M,,,,69.10M,621.70M,1.251B,,98.60M,,,98.60M,,98.60M,12.50M,,12.50M,,,173.30M,284.40M,297.60M,,297.60M,1.10M,,1.10M,,,,139.10M,437.80M,722.20M,,44.20M,293.40M,,,44.20M,,,,529.10M,,,
1996-03,28.00M,28.00M,,,287.10M,,,,248.10M,,,36.90M,600.10M,,,,,,,461.20M,-196.80M,264.40M,,280.10M,280.10M,,,,56.80M,601.30M,1.201B,,104.30M,,,104.30M,,104.30M,13.50M,,13.50M,,,166.90M,284.70M,264.00M,,264.00M,-0.20M,,-0.20M,,,,135.40M,399.20M,683.90M,,43.70M,282.10M,,,43.70M,,,,517.50M,,,
1995-12,36.60M,36.60M,,,362.50M,,,,212.70M,,,35.40M,647.20M,,,,,,,452.10M,-185.40M,266.70M,,282.40M,282.40M,,,,56.20M,605.30M,1.252B,,90.80M,,,90.80M,,90.80M,139.70M,,139.70M,,,166.30M,396.80M,219.80M,,219.80M,0.10M,,0.10M,,,,133.00M,352.90M,749.70M,,44.50M,271.20M,,,44.50M,,,,502.80M,,,
1995-09,26.60M,26.60M,,,364.40M,,,,226.00M,,,36.00M,653.00M,,,,,,,416.20M,-176.30M,239.90M,,173.50M,173.50M,,,,46.70M,460.10M,1.113B,,76.30M,,,76.30M,,76.30M,2.40M,,2.40M,,,169.30M,248.00M,242.40M,,242.40M,8.60M,,8.60M,,,,123.40M,374.40M,622.40M,,44.70M,258.00M,,,44.70M,,,,490.70M,,,
1995-06,32.30M,32.30M,,,352.50M,,,,244.70M,,,38.80M,668.30M,,,,,,,407.50M,-167.50M,240.00M,,177.60M,177.60M,,,,42.70M,460.30M,1.129B,,76.10M,,,76.10M,,76.10M,4.50M,,4.50M,,,174.70M,255.30M,246.40M,,246.40M,22.90M,,22.90M,,,,120.50M,389.80M,645.10M,,43.40M,248.00M,,,43.40M,,,,483.50M,,,
1995-03,25.20M,25.20M,,,287.30M,,,,280.20M,,,37.90M,630.60M,,,,,,,784.80M,-366.80M,418.00M,,180.20M,180.20M,,,,131.70M,729.90M,1.360B,,113.80M,,,113.80M,,113.80M,4.00M,,4.00M,,,184.80M,302.60M,438.90M,,438.90M,22.30M,,22.30M,,,,140.80M,602.00M,904.60M,,42.60M,224.30M,,,42.60M,,,,455.90M,,,
1994-12,32.70M,32.70M,,,255.10M,,,,243.70M,,,37.70M,569.20M,,,,,,,764.40M,-353.40M,411.00M,,171.00M,171.00M,,,,130.30M,712.30M,1.282B,,116.00M,,,116.00M,,116.00M,5.80M,,5.80M,,,163.90M,285.70M,408.50M,,408.50M,22.70M,,22.70M,,,,132.60M,563.80M,849.50M,,40.90M,213.70M,,,40.90M,,,,432.00M,,,
1994-09,20.50M,20.50M,,,264.40M,,,,253.10M,,,29.80M,567.80M,,,,,,,745.30M,-352.50M,392.80M,,172.20M,172.20M,,,,117.40M,682.40M,1.250B,,99.10M,,,99.10M,,99.10M,2.50M,,2.50M,,,174.50M,276.10M,417.70M,,417.70M,9.10M,,9.10M,,,,137.90M,564.70M,840.80M,,39.60M,200.70M,,,39.60M,,,,409.40M,,,
1994-06,17.60M,17.60M,,,244.00M,,,,253.70M,,,30.00M,545.30M,,,,,,,719.10M,-335.20M,383.90M,,169.70M,169.70M,,,,114.80M,668.40M,1.214B,,97.90M,,,97.90M,,97.90M,3.20M,,3.20M,,,162.50M,263.60M,408.10M,,408.10M,8.40M,,8.40M,,,,139.60M,556.10M,819.70M,,35.70M,191.30M,,,35.70M,,,,394.00M,,,
1994-03,27.40M,27.40M,,,245.70M,,,,241.30M,,,34.10M,548.50M,,,,,,,696.50M,-322.20M,374.30M,,169.10M,169.10M,,,,117.80M,661.20M,1.210B,,97.60M,,,97.60M,,97.60M,4.60M,,4.60M,,,163.70M,265.90M,420.90M,,420.90M,7.70M,,7.70M,,,,135.60M,564.20M,830.10M,,34.90M,184.20M,,,34.90M,,,,379.60M,,,
1993-12,10.30M,10.30M,,,200.40M,,,,198.80M,,,29.30M,438.80M,,,,,,,621.70M,-305.80M,315.90M,,89.00M,89.00M,,,,115.10M,520.00M,958.80M,,93.80M,,,93.80M,,93.80M,0.80M,,0.80M,,,123.90M,218.50M,238.90M,,238.90M,7.50M,,7.50M,,,,123.10M,369.50M,588.00M,,33.90M,177.50M,,,33.90M,,,,370.80M,,,
1993-09,7.70M,7.70M,,,214.10M,,,,201.50M,,,29.40M,452.70M,,,,,,,590.40M,-296.80M,293.60M,,89.60M,89.60M,,,,99.60M,482.80M,935.50M,,69.30M,,,69.30M,,69.30M,8.00M,,8.00M,,,132.40M,209.70M,241.80M,,241.80M,6.10M,,6.10M,,,,116.20M,364.10M,573.80M,,30.60M,167.60M,,,30.60M,,,,361.70M,,,
1993-06,8.40M,8.40M,,,192.10M,,,,201.90M,,,29.50M,431.90M,,,,,,,575.50M,-285.70M,289.80M,,90.20M,90.20M,,,,92.70M,472.70M,904.60M,,71.70M,,,71.70M,,71.70M,9.10M,,9.10M,,,121.70M,202.50M,234.30M,,234.30M,5.60M,,5.60M,,,,111.20M,351.10M,553.60M,,69.60M,158.40M,,,69.60M,,,,351.00M,,,
1993-03,6.90M,6.90M,,,203.40M,,,,186.10M,,,26.20M,422.60M,,,,,,,564.30M,-273.90M,290.40M,,90.90M,90.90M,,,,92.10M,473.40M,896.00M,,71.90M,,,71.90M,,71.90M,9.60M,,9.60M,,,120.20M,201.70M,236.10M,,236.10M,5.50M,,5.50M,,,,108.20M,349.80M,551.50M,,28.20M,152.70M,,,28.20M,,,,344.50M,,,
1992-12,8.40M,8.40M,,,184.10M,,,,182.90M,,,23.20M,398.60M,,,,,,,551.90M,-262.10M,289.80M,,91.50M,91.50M,,,,89.50M,470.80M,869.40M,,88.40M,,,88.40M,,88.40M,10.00M,,10.00M,,,111.10M,209.50M,211.50M,,211.50M,5.20M,,5.20M,,,,105.80M,322.50M,532.00M,,77.40M,147.60M,,,77.40M,,,,337.40M,,,
1992-09,7.50M,7.50M,,,197.80M,,,,171.20M,,,38.10M,414.60M,,,,,,,512.80M,-258.00M,254.80M,,92.10M,92.10M,,,,66.70M,413.60M,828.20M,,64.10M,,,64.10M,,64.10M,2.30M,,2.30M,,,120.10M,186.50M,215.10M,,215.10M,18.50M,,18.50M,,,,38.40M,272.00M,458.50M,,75.80M,179.80M,,,75.80M,,,,369.70M,,,
1992-06,4.40M,4.40M,,,179.80M,,,,174.20M,,,38.60M,397.00M,,,,,,,511.60M,-255.60M,256.00M,,92.80M,92.80M,,,,61.70M,410.50M,807.50M,,62.60M,,,62.60M,,62.60M,5.10M,,5.10M,,,111.70M,179.40M,211.20M,,211.20M,19.60M,,19.60M,,,,36.10M,266.90M,446.30M,,74.90M,172.40M,,,74.90M,,,,361.20M,,,
1992-03,5.70M,5.70M,,,177.00M,,,,161.60M,,,38.10M,382.40M,,,,,,,499.90M,-244.30M,255.60M,,93.40M,93.40M,,,,62.70M,411.70M,794.10M,,56.80M,,,56.80M,,56.80M,6.00M,,6.00M,,,108.40M,171.20M,213.50M,,213.50M,19.10M,,19.10M,,,,35.40M,268.00M,439.20M,,73.90M,168.40M,,,73.90M,,,,354.90M,,,
1991-12,6.10M,6.10M,,,169.70M,,,,158.60M,,,38.20M,372.60M,,,,,,,491.10M,-232.80M,258.30M,,94.10M,94.10M,,,,65.60M,418.00M,790.60M,,66.90M,,,66.90M,,66.90M,7.00M,,7.00M,,,111.30M,185.20M,198.40M,,198.40M,19.80M,,19.80M,,,,37.40M,255.60M,440.80M,,74.10M,163.80M,,,74.10M,,,,349.80M,,,
1991-09,7.90M,7.90M,,,183.50M,,,,150.70M,,,35.90M,378.00M,,,,,,,474.60M,-224.80M,249.80M,,94.70M,94.70M,,,,53.70M,398.20M,776.20M,,58.30M,,,58.30M,,58.30M,9.30M,,9.30M,,,106.30M,173.90M,212.90M,,212.90M,19.70M,,19.70M,,,,34.50M,267.10M,441.00M,,121.00M,154.20M,,,121.00M,,,,335.20M,,,
1991-06,2.00M,2.00M,,,175.10M,,,,161.00M,,,28.70M,366.80M,,,,,,,475.60M,-216.20M,259.40M,,95.30M,95.30M,,,,51.40M,406.10M,772.90M,,52.20M,,,52.20M,,52.20M,10.00M,,10.00M,,,110.20M,172.40M,219.50M,,219.50M,19.00M,,19.00M,,,,35.80M,274.30M,446.70M,,121.10M,147.00M,,,121.10M,,,,326.20M,,,
1991-03,3.70M,3.70M,,,176.90M,,,,158.10M,,,28.70M,367.40M,,,,,,,465.10M,-205.40M,259.70M,,96.00M,96.00M,,,,54.20M,409.90M,777.30M,,51.00M,,,51.00M,,51.00M,14.40M,,14.40M,,,106.50M,171.90M,230.10M,,230.10M,18.80M,,18.80M,,,,35.80M,284.70M,456.60M,,121.30M,142.10M,,,121.30M,,,,320.70M,,,
1990-12,8.80M,8.80M,,,164.10M,,,,155.40M,,,28.30M,356.60M,,,,,,,457.80M,-194.20M,263.60M,,96.60M,96.60M,,,,52.10M,412.30M,768.90M,,59.80M,,,59.80M,,59.80M,11.70M,,11.70M,,,100.70M,172.20M,224.70M,,224.70M,19.20M,,19.20M,,,,36.60M,280.50M,452.70M,,68.40M,138.70M,,,68.40M,,,,316.20M,,,
1990-09,4.70M,4.70M,,,197.90M,,,,161.90M,,,25.30M,389.80M,,,,,,,443.00M,-188.80M,254.20M,,97.20M,97.20M,,,,46.40M,397.80M,787.60M,,58.00M,,,58.00M,,58.00M,11.50M,,11.50M,,,106.50M,176.00M,247.40M,,247.40M,18.70M,,18.70M,,,,33.10M,299.20M,475.20M,,121.60M,131.80M,,,121.60M,,,,312.40M,,,
1990-06,7.20M,7.20M,,,192.00M,,,,163.80M,,,26.00M,389.00M,,,,,,,471.20M,-184.20M,287.00M,,97.90M,97.90M,,,,49.20M,434.10M,823.10M,,61.20M,,,61.20M,,61.20M,9.80M,,9.80M,,,103.20M,174.20M,283.80M,,283.80M,18.10M,,18.10M,,,,37.60M,339.50M,513.70M,,121.90M,126.20M,,,121.90M,,,,309.40M,,,
1990-03,4.90M,4.90M,,,178.50M,,,,159.30M,,,25.00M,367.70M,,,,,,,458.50M,-173.70M,284.80M,,98.50M,98.50M,,,,41.00M,424.30M,792.00M,,53.20M,,,53.20M,,53.20M,10.10M,,10.10M,,,99.40M,162.70M,264.70M,,264.70M,17.30M,,17.30M,,,,36.90M,318.90M,481.60M,,122.20M,123.20M,,,122.20M,,,,310.40M,,,
1989-12,8.70M,8.70M,,,162.60M,,,,166.70M,,,22.20M,360.20M,,,,,,,448.30M,-165.60M,282.70M,,99.10M,99.10M,,,,39.40M,421.20M,781.40M,,,,,,,,9.90M,,9.90M,,,157.80M,167.70M,251.10M,,251.10M,17.10M,,17.10M,,,,104.50M,372.70M,540.40M,,,121.00M,,,,,,,241.00M,,,
1988-12,9.90M,9.90M,,,165.10M,,,,181.10M,,,18.80M,374.90M,,,,,,,373.90M,-130.00M,243.90M,,95.90M,95.90M,,,,30.00M,369.80M,744.70M,,,,,,,,9.50M,,9.50M,,,158.00M,167.50M,252.10M,,252.10M,16.70M,,16.70M,,,,94.30M,363.10M,530.60M,,,97.00M,,,,,,,214.10M,,,
1987-12,4.70M,4.70M,,,109.70M,,,,122.10M,,,23.90M,260.40M,,,,,,,268.20M,-107.50M,160.70M,,,,,,,19.30M,180.00M,440.40M,,,,,,,,6.40M,,6.40M,,,112.30M,118.70M,90.70M,,90.70M,13.20M,,13.20M,,,,59.20M,163.10M,281.80M,,,90.80M,,,,,,,158.60M,,,
1986-12,9.40M,9.40M,,,98.00M,,,,129.50M,,,15.30M,252.20M,,,,,,,274.20M,-95.50M,178.70M,,,,,,,14.10M,192.80M,445.00M,,,,,,,,5.90M,,5.90M,,,121.00M,126.90M,142.70M,,142.70M,20.60M,,20.60M,,,,9.40M,172.70M,299.60M,,,77.20M,,,,,,,145.40M,,,
1985-12,9.40M,9.40M,,,64.20M,,,,83.20M,,,0.90M,157.70M,,,,,,,216.00M,-73.80M,142.20M,,,,,,,5.90M,148.10M,305.80M,,,,,,,,2.40M,,2.40M,,,73.20M,75.60M,75.00M,,75.00M,16.60M,,16.60M,,,,4.00M,95.60M,171.20M,,,93.10M,,,,,,,134.60M,,,
1984-12,9.80M,9.80M,,,62.40M,,,,79.50M,,,0.80M,152.50M,,,,,,,184.50M,-57.50M,127.00M,,,,,,,3.00M,130.00M,282.50M,,,,,,,,3.30M,,3.30M,,,78.20M,81.50M,67.00M,,67.00M,10.00M,,10.00M,,,,4.70M,81.70M,163.20M,,,78.60M,,,,,,,119.30M,,,
