,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-02,1.349B,,-216.00M,-216.00M,442.00M,442.00M,-411.00M,,38.00M,,-66.00M,-275.00M,704.00M,,617.00M,88.00M,,-65.00M,1.069B,2.205B,-288.00M,,-288.00M,-3.11B,,-159.00M,-3.557B,1.792B,-190.00M,1.602B,,0.00,0.00,-402.00M,-402.00M,51.00M,-10.00M,1.241B,2.072B,-111.00M,27.00M,1.988B,,2.979B,-1.187B,0.00
2017-11,822.00M,,99.00M,99.00M,416.00M,416.00M,-63.00M,,25.00M,,152.00M,-362.00M,-1.018B,,1.073B,-154.00M,,13.00M,-448.00M,1.003B,-378.00M,,-378.00M,-265.00M,,44.00M,-599.00M,18.00M,1.026B,1.044B,,-2.525B,-2.525B,-413.00M,-413.00M,32.00M,5.00M,-1.857B,3.496B,-1.453B,29.00M,2.072B,,110.00M,-92.00M,-2.525B
2017-08,807.00M,,7.00M,7.00M,410.00M,410.00M,-223.00M,,20.00M,,75.00M,0.00,-161.00M,,1.041B,-22.00M,,64.00M,922.00M,2.018B,-439.00M,8.00M,-431.00M,-25.00M,,65.00M,-391.00M,-6.156B,-244.00M,-6.40B,,-3.763B,-3.763B,-495.00M,-495.00M,43.00M,14.00M,-10.60B,12.25B,-8.974B,32.00M,3.496B,,0.00,-6.156B,-3.763B
2017-05,1.165B,,-63.00M,-63.00M,413.00M,413.00M,15.00M,,19.00M,,105.00M,-342.00M,766.00M,,-75.00M,5.00M,,-153.00M,201.00M,1.855B,-273.00M,0.00,-273.00M,-11.00M,,29.00M,-255.00M,-31.00M,201.00M,170.00M,,-1.00B,-1.00B,-411.00M,-411.00M,58.00M,-28.00M,-1.211B,11.82B,389.00M,42.00M,12.25B,,0.00,-31.00M,-1.00B
2017-02,1.062B,,-58.00M,-58.00M,412.00M,412.00M,-165.00M,,26.00M,,103.00M,448.00M,823.00M,,-89.00M,126.00M,,169.00M,1.477B,2.857B,-261.00M,0.00,-261.00M,-37.00M,,12.00M,-286.00M,-5.00M,27.00M,22.00M,,0.00,0.00,-411.00M,-411.00M,75.00M,-30.00M,-344.00M,9.598B,2.227B,-3.00M,11.82B,,0.00,-5.00M,0.00
2016-11,1.067B,,-29.00M,-29.00M,419.00M,419.00M,-61.00M,,26.00M,,81.00M,-259.00M,-1.33B,,723.00M,-109.00M,,-3.00M,-978.00M,525.00M,-378.00M,436.00M,58.00M,-15.00M,,46.00M,89.00M,-4.00M,49.00M,45.00M,,-457.00M,-457.00M,-406.00M,-406.00M,41.00M,-1.00M,-778.00M,9.807B,-164.00M,-45.00M,9.598B,,0.00,-4.00M,-457.00M
2016-08,1.035B,-329.00M,-43.00M,-372.00M,447.00M,447.00M,-192.00M,,28.00M,,162.00M,107.00M,-163.00M,,1.513B,45.00M,,48.00M,1.55B,2.658B,-421.00M,0.00,-421.00M,-1.196B,,61.00M,-1.556B,5.231B,687.00M,5.918B,,0.00,0.00,-389.00M,-389.00M,60.00M,-89.00M,5.50B,3.291B,6.602B,-86.00M,9.807B,,,-760.00M,0.00
2016-05,1.107B,259.00M,-18.00M,241.00M,447.00M,447.00M,-79.00M,,27.00M,,-210.00M,160.00M,72.00M,,401.00M,-12.00M,,-50.00M,571.00M,2.104B,-247.00M,0.00,-247.00M,-1.173B,,11.00M,-1.409B,50.00M,-719.00M,-669.00M,,0.00,0.00,-387.00M,-387.00M,46.00M,-25.00M,-1.035B,3.586B,-340.00M,45.00M,3.291B,,,50.00M,0.00
2016-02,932.00M,529.00M,-9.00M,520.00M,442.00M,442.00M,-13.00M,,29.00M,,81.00M,14.00M,753.00M,,-469.00M,71.00M,,-7.00M,362.00M,2.353B,-317.00M,6.00M,-311.00M,-14.00M,,44.00M,-281.00M,-40.00M,9.00M,-31.00M,,-623.00M,-623.00M,-394.00M,-394.00M,58.00M,-16.00M,-1.006B,2.57B,1.066B,-50.00M,3.586B,,,-40.00M,-623.00M
2015-11,1.117B,57.00M,-11.00M,46.00M,382.00M,382.00M,-158.00M,,31.00M,,115.00M,-166.00M,-1.306B,,642.00M,-38.00M,,67.00M,-801.00M,732.00M,-340.00M,54.00M,-286.00M,-29.00M,,44.00M,-271.00M,-41.00M,52.00M,11.00M,,-529.00M,-529.00M,-393.00M,-393.00M,71.00M,-13.00M,-853.00M,3.00B,-392.00M,-38.00M,2.57B,,,-41.00M,-529.00M
2015-08,32.00M,534.00M,119.00M,653.00M,478.00M,478.00M,-272.00M,,23.00M,,128.00M,-65.00M,40.00M,,415.00M,-32.00M,,105.00M,463.00M,1.505B,-361.00M,0.00,-361.00M,-259.00M,,228.00M,-392.00M,-1.884B,25.00M,-1.859B,,-395.00M,-395.00M,-371.00M,-371.00M,103.00M,-15.00M,-2.537B,4.449B,-1.424B,-25.00M,3.00B,,6.00M,-1.639B,-395.00M
2015-05,1.31B,-454.00M,0.00,-454.00M,438.00M,438.00M,59.00M,,21.00M,,302.00M,118.00M,573.00M,,-556.00M,33.00M,,-22.00M,146.00M,1.822B,-247.00M,305.00M,58.00M,794.00M,,-28.00M,824.00M,-765.00M,79.00M,-686.00M,,-237.00M,-237.00M,-371.00M,-371.00M,107.00M,-20.00M,-1.207B,3.005B,1.439B,5.00M,4.449B,,0.00,-1.016B,-237.00M
2015-02,2.06B,-563.00M,-807.00M,-1.37B,507.00M,507.00M,123.00M,,34.00M,,228.00M,-38.00M,542.00M,,-754.00M,41.00M,,-67.00M,-276.00M,1.306B,-308.00M,271.00M,-37.00M,-4.54B,1.00M,-77.00M,-4.653B,-5.558B,-330.00M,-5.888B,,-94.00M,-94.00M,-320.00M,-320.00M,181.00M,-299.00M,-6.42B,12.86B,-9.767B,-89.00M,3.005B,,2.259B,-7.817B,-94.00M
2014-11,877.00M,-296.00M,-214.00M,-510.00M,319.00M,319.00M,58.00M,,31.00M,,94.00M,-353.00M,-436.00M,,998.00M,-20.00M,,-27.00M,162.00M,1.031B,-335.00M,291.00M,-44.00M,-13.00M,-1.00M,3.00M,-55.00M,10.02B,0.00,10.02B,,-500.00M,-500.00M,-322.00M,-322.00M,112.00M,-61.00M,9.249B,2.646B,10.22B,-10.00M,12.86B,,10.02B,0.00,-500.00M
2014-08,-187.00M,771.00M,-154.00M,617.00M,315.00M,315.00M,-42.00M,,29.00M,,54.00M,-205.00M,367.00M,,447.00M,-22.00M,,11.00M,598.00M,1.384B,-285.00M,-77.00M,-362.00M,72.00M,-1.00M,105.00M,-186.00M,43.00M,,43.00M,,-500.00M,-500.00M,-301.00M,-301.00M,94.00M,-14.00M,-678.00M,2.126B,520.00M,0.00,2.646B,,43.00M,0.00,-500.00M
2014-05,756.00M,-124.00M,-135.00M,-259.00M,338.00M,338.00M,190.00M,,33.00M,,81.00M,-294.00M,781.00M,,-425.00M,-1.00M,,72.00M,133.00M,1.272B,-230.00M,144.00M,-86.00M,-89.00M,1.00M,-203.00M,-377.00M,-325.00M,0.00,-325.00M,,0.00,0.00,-301.00M,-301.00M,102.00M,-22.00M,-546.00M,1.777B,349.00M,0.00,2.126B,,225.00M,-550.00M,0.00
2014-02,758.00M,59.00M,-179.00M,-120.00M,331.00M,331.00M,-100.00M,,31.00M,,-46.00M,-43.00M,527.00M,,-204.00M,25.00M,,-55.00M,250.00M,1.104B,-227.00M,,-227.00M,-194.00M,0.00,178.00M,-243.00M,0.00,0.00,0.00,,0.00,0.00,-299.00M,-299.00M,243.00M,3.00M,-53.00M,969.00M,808.00M,0.00,1.777B,,0.00,0.00,0.00
2013-11,704.00M,-225.00M,-151.00M,-376.00M,332.00M,332.00M,129.00M,,21.00M,,94.00M,-74.00M,-815.00M,,55.00M,-12.00M,,75.00M,-771.00M,133.00M,-364.00M,,-364.00M,-533.00M,0.00,-28.00M,-925.00M,0.00,,0.00,,-205.00M,-205.00M,-298.00M,-298.00M,173.00M,-15.00M,-345.00M,2.106B,-1.137B,0.00,969.00M,,0.00,,-205.00M
2013-08,755.00M,-43.00M,-276.00M,-319.00M,325.00M,325.00M,169.00M,,34.00M,,53.00M,-235.00M,33.00M,,330.00M,-20.00M,,-2.00M,106.00M,1.123B,-338.00M,,-223.00M,-266.00M,0.00,-2.00M,-491.00M,-1.30B,,-1.30B,,-48.00M,-48.00M,-260.00M,-260.00M,95.00M,-7.00M,-1.52B,2.994B,-888.00M,,2.106B,,0.00,-1.30B,-48.00M
2013-05,624.00M,-77.00M,-131.00M,-208.00M,318.00M,318.00M,42.00M,,25.00M,,16.00M,78.00M,381.00M,,76.00M,-5.00M,,32.00M,562.00M,1.379B,-293.00M,,-293.00M,-36.00M,-1.00M,-3.00M,-333.00M,0.00,,0.00,,-451.00M,-451.00M,-260.00M,-260.00M,221.00M,7.00M,-483.00M,2.431B,563.00M,,2.994B,,0.00,0.00,-451.00M
2013-02,756.00M,,-85.00M,-85.00M,327.00M,327.00M,-39.00M,,25.00M,,1.00M,-194.00M,605.00M,,-265.00M,29.00M,,38.00M,213.00M,1.198B,-245.00M,,-245.00M,-61.00M,-49.00M,-8.00M,-363.00M,0.00,,0.00,,-66.00M,-66.00M,-260.00M,-260.00M,125.00M,-32.00M,-233.00M,1.829B,602.00M,,2.431B,,0.00,0.00,-66.00M
2012-11,413.00M,,-4.00M,-4.00M,313.00M,313.00M,30.00M,,20.00M,,43.00M,-98.00M,-698.00M,,568.00M,14.00M,,,-214.00M,601.00M,-336.00M,,-336.00M,-471.00M,0.00,-2.00M,-809.00M,1.00B,,1.00B,,-50.00M,-50.00M,-260.00M,-260.00M,45.00M,5.00M,740.00M,1.297B,532.00M,,1.829B,,4.00B,-3.00B,-50.00M
2012-08,353.00M,,0.00,0.00,310.00M,310.00M,173.00M,,22.00M,,16.00M,164.00M,-23.00M,,-227.00M,-37.00M,,17.00M,-106.00M,768.00M,-448.00M,,-448.00M,-4.095B,0.00,233.00M,-4.31B,3.00B,,3.00B,,0.00,0.00,-194.00M,-194.00M,45.00M,-7.00M,2.844B,1.995B,-698.00M,,1.297B,,3.00B,0.00,0.00
2012-05,537.00M,,0.00,0.00,296.00M,296.00M,99.00M,,24.00M,,13.00M,194.00M,382.00M,,280.00M,-4.00M,,26.00M,878.00M,1.847B,-379.00M,,-379.00M,-217.00M,0.00,-3.00M,-599.00M,0.00,,0.00,,-176.00M,-176.00M,-195.00M,-195.00M,35.00M,-1.00M,-337.00M,1.084B,911.00M,,1.995B,,0.00,0.00,-176.00M
2012-02,683.00M,,0.00,0.00,283.00M,283.00M,-28.00M,,18.00M,,11.00M,125.00M,902.00M,-31.00M,-1.007B,37.00M,,14.00M,40.00M,1.007B,-304.00M,-24.00M,-328.00M,-150.00M,0.00,24.00M,-454.00M,0.00,,0.00,-42.00M,-407.00M,-449.00M,-398.00M,-196.00M,85.00M,-3.00M,-563.00M,1.094B,-10.00M,,1.084B,-42.00M,0.00,0.00,-407.00M
2011-11,554.00M,,0.00,0.00,277.00M,277.00M,21.00M,,35.00M,,3.00M,-89.00M,-178.00M,31.00M,103.00M,,,52.00M,-81.00M,809.00M,-419.00M,24.00M,-395.00M,-99.00M,,-3.00M,-497.00M,0.00,,0.00,42.00M,-608.00M,-566.00M,,-202.00M,,-6.00M,-774.00M,1.556B,-462.00M,,1.094B,42.00M,0.00,0.00,-608.00M
2011-08,2.714B,,,,288.00M,288.00M,-4.00M,,68.00M,,-1.908B,-129.00M,-441.00M,,252.00M,-16.00M,,-28.00M,-362.00M,362.00M,-514.00M,,-514.00M,-6.00M,,-161.00M,-681.00M,,,,,-635.00M,-635.00M,,-159.00M,235.00M,-201.00M,-777.00M,2.652B,-1.096B,,1.556B,,,,-635.00M
2011-05,,,,,269.00M,269.00M,68.00M,,21.00M,,626.00M,-57.00M,60.00M,,261.00M,-37.00M,,19.00M,246.00M,1.23B,-230.00M,,-230.00M,-41.00M,,40.00M,-231.00M,,,,,-503.00M,-503.00M,,-160.00M,,73.00M,-590.00M,2.243B,409.00M,,2.652B,,,,-503.00M
2011-02,-580.00M,,,,256.00M,256.00M,69.00M,,20.00M,,1.331B,-27.00M,315.00M,,-582.00M,29.00M,,55.00M,-210.00M,886.00M,-196.00M,,-196.00M,-78.00M,,-5.00M,-279.00M,,,,,-380.00M,-380.00M,,-162.00M,-29.00M,145.00M,-426.00M,2.062B,181.00M,,2.243B,,,,-380.00M
2010-11,580.00M,,,,273.00M,273.00M,-1.00M,,26.00M,,4.00M,-30.00M,-526.00M,,773.00M,,,66.00M,283.00M,1.165B,-273.00M,,-273.00M,-63.00M,,2.00M,-334.00M,,,,,-510.00M,-510.00M,,-166.00M,29.00M,-2.00M,-649.00M,1.88B,182.00M,,2.062B,,,,-510.00M
2010-08,-1.621B,,,,262.00M,262.00M,82.00M,,20.00M,-6.00M,2.123B,263.00M,-270.00M,,73.00M,,,-1.00M,65.00M,925.00M,-228.00M,51.00M,-177.00M,-15.00M,600.00M,-30.00M,378.00M,0.00,,0.00,,-1.002B,-1.002B,,-134.00M,-206.00M,207.00M,-1.135B,1.712B,168.00M,,1.88B,,,0.00,-1.002B
2010-05,463.00M,,,,263.00M,263.00M,7.00M,,19.00M,4.00M,22.00M,5.00M,345.00M,,-124.00M,,,52.00M,278.00M,1.056B,-262.00M,,-262.00M,-648.00M,0.00,-21.00M,-931.00M,-576.00M,,-576.00M,,-307.00M,-307.00M,,-135.00M,104.00M,0.00,-914.00M,2.501B,-789.00M,,1.712B,,,-576.00M,-307.00M
2010-02,669.00M,,,,248.00M,248.00M,-22.00M,,21.00M,-1.00M,1.00M,-90.00M,300.00M,,-569.00M,,,38.00M,-321.00M,595.00M,-220.00M,-5.00M,-225.00M,-84.00M,0.00,19.00M,-290.00M,,,,,-252.00M,-252.00M,,-136.00M,102.00M,-70.00M,-356.00M,2.552B,-51.00M,,2.501B,,,,-252.00M
2009-11,489.00M,,,,257.00M,257.00M,-4.00M,,24.00M,3.00M,5.00M,-54.00M,-682.00M,,1.059B,,,71.00M,394.00M,1.168B,-304.00M,5.00M,-299.00M,-32.00M,-100.00M,,-431.00M,,,,,-195.00M,-195.00M,,-136.00M,,59.00M,-272.00M,2.087B,465.00M,,2.552B,,,,-195.00M
2009-08,436.00M,,,,234.00M,234.00M,7.00M,,17.00M,1.00M,3.00M,304.00M,107.00M,,-292.00M,,,35.00M,154.00M,852.00M,-393.00M,,-393.00M,-57.00M,-400.00M,10.00M,-840.00M,0.00,0.00,0.00,,-139.00M,-139.00M,,-112.00M,,26.00M,-225.00M,2.30B,-213.00M,,2.087B,,-70.00M,70.00M,-139.00M
2009-05,522.00M,,,,264.00M,264.00M,230.00M,,18.00M,0.00,2.00M,50.00M,724.00M,,-311.00M,,,20.00M,483.00M,1.519B,-442.00M,,-442.00M,-165.00M,550.00M,17.00M,-40.00M,0.00,0.00,0.00,,0.00,0.00,,-111.00M,,23.00M,-88.00M,909.00M,1.391B,,2.30B,,0.00,0.00,0.00
2009-02,640.00M,,,-4.00M,241.00M,241.00M,7.00M,,49.00M,0.00,-25.00M,-35.00M,738.00M,,49.00M,,-231.00M,-1.00M,520.00M,1.428B,-454.00M,-15.00M,-469.00M,-122.00M,-650.00M,29.00M,-1.212B,987.00M,-70.00M,-81.00M,-32.00M,-41.00M,-73.00M,,-112.00M,,73.00M,-193.00M,886.00M,23.00M,,909.00M,-32.00M,987.00M,-70.00M,-41.00M
2008-11,408.00M,,,4.00M,236.00M,236.00M,16.00M,,,,32.00M,-313.00M,-1.036B,,736.00M,,231.00M,-2.00M,-384.00M,312.00M,-638.00M,15.00M,-623.00M,-61.00M,,,-684.00M,,,998.00M,32.00M,-99.00M,-67.00M,,-111.00M,,-5.00M,815.00M,443.00M,443.00M,,886.00M,32.00M,,,-99.00M
2008-08,443.00M,,,,232.00M,232.00M,-2.00M,,12.00M,2.00M,4.00M,-92.00M,-179.00M,,74.00M,,,54.00M,-143.00M,548.00M,-572.00M,,-572.00M,-93.00M,-2.00M,3.00M,-664.00M,1.287B,-1.065B,222.00M,,-74.00M,-74.00M,,-93.00M,,32.00M,87.00M,472.00M,-29.00M,,443.00M,,1.023B,-801.00M,-74.00M
2008-05,572.60M,,,-5.00M,211.10M,211.10M,46.80M,,56.00M,1.00M,-38.30M,-21.10M,265.40M,,188.00M,,-293.70M,2.10M,140.70M,984.90M,-610.10M,-10.30M,-620.40M,-437.30M,12.00M,12.30M,-1.033B,-29.00M,263.00M,384.70M,-106.40M,-72.30M,-178.70M,,-94.60M,,153.60M,265.00M,255.30M,216.50M,,472.00M,-106.40M,263.00M,-29.00M,-72.30M
2008-02,685.40M,,,2.00M,201.90M,201.90M,-33.80M,,,,13.30M,-93.90M,254.60M,,79.00M,,-30.30M,37.90M,247.30M,1.116B,-552.90M,5.30M,-547.60M,-41.70M,,-0.30M,-589.60M,,,-438.70M,38.40M,-69.70M,-31.30M,,-94.40M,,-1.60M,-566.00M,295.00M,-39.50M,,255.30M,38.40M,,,-69.70M
2007-11,456.00M,,,3.00M,195.00M,195.00M,-72.00M,,,,32.00M,-158.00M,-753.00M,,373.00M,,324.00M,-10.00M,-224.00M,390.00M,-490.00M,5.00M,-485.00M,-48.00M,,2.00M,-531.00M,,,288.00M,68.00M,-78.00M,-10.00M,,-94.00M,,-3.00M,181.00M,255.00M,40.00M,,295.00M,68.00M,,,-78.00M
2007-08,396.50M,,,-23.60M,180.00M,180.00M,39.80M,,,,13.10M,-98.50M,-298.80M,,-11.80M,,59.80M,16.30M,-333.00M,272.80M,-533.20M,9.50M,-523.70M,-770.20M,192.40M,-0.20M,-1.102B,,,708.80M,61.00M,-167.70M,-106.70M,,-77.00M,,-8.80M,516.30M,567.40M,-312.60M,,254.80M,61.00M,,,-167.70M
2007-05,561.20M,,,5.80M,177.20M,177.20M,29.20M,,,,14.10M,-23.60M,103.50M,,-174.80M,,32.80M,-10.50M,-72.60M,714.90M,-434.10M,12.00M,-422.10M,-269.30M,77.50M,5.70M,-608.20M,,,0.00,61.00M,-222.70M,-161.70M,,-77.30M,,5.50M,-233.50M,694.20M,-126.80M,,567.40M,61.00M,,,-222.70M
2007-02,651.90M,,,19.70M,158.50M,158.50M,-21.90M,,,,17.00M,324.20M,467.50M,,-668.80M,-40.10M,-108.80M,69.60M,43.60M,868.80M,-399.80M,5.30M,-394.50M,-12.30M,-160.70M,,-567.50M,,,0.00,60.40M,-239.20M,-178.80M,,-77.70M,,-20.30M,-276.80M,669.70M,24.50M,,694.20M,60.40M,,,-239.20M
2006-11,431.70M,,,1.40M,160.20M,160.20M,-23.90M,,,,36.10M,-242.50M,-948.40M,,727.10M,40.10M,318.40M,,-105.30M,500.20M,-418.20M,14.00M,-404.20M,-34.00M,319.90M,,-118.30M,,,-213.90M,83.70M,-433.90M,-350.20M,,-78.20M,,10.20M,-632.10M,919.90M,-250.20M,,669.70M,83.70M,,,-433.90M
2006-08,412.30M,,,18.80M,163.50M,163.50M,-41.20M,,,,10.90M,12.10M,-435.90M,,68.20M,-85.10M,32.70M,-9.70M,-417.70M,146.60M,-430.60M,5.90M,-424.70M,-333.20M,596.60M,1.50M,-159.80M,,,,131.20M,-147.90M,-16.70M,,-65.60M,,-0.90M,130.70M,802.40M,117.50M,,919.90M,131.20M,,,-147.90M
2006-05,469.20M,,,14.70M,137.00M,137.00M,11.20M,,,,18.50M,-191.40M,73.50M,,460.80M,85.10M,-23.20M,-28.70M,376.10M,1.027B,-306.00M,14.70M,-291.30M,-20.90M,-346.80M,9.20M,-649.80M,,,,89.50M,-176.20M,-86.70M,,-65.60M,,-1.00M,-153.30M,578.80M,223.60M,,802.40M,89.50M,,,-176.20M
2006-02,523.50M,,,15.40M,138.70M,138.70M,-22.30M,,,,34.80M,-366.30M,625.80M,,-34.30M,-54.80M,-102.70M,71.10M,138.80M,828.90M,-262.80M,-0.50M,-263.30M,-36.30M,-330.30M,,-629.90M,,,,49.00M,-186.20M,-137.20M,,-65.80M,,-1.30M,-204.30M,584.10M,-5.30M,,578.80M,49.00M,,,-186.20M
2005-11,345.60M,,,18.40M,133.00M,133.00M,-51.70M,,,,46.40M,-72.90M,-639.10M,,380.90M,54.80M,222.00M,,-54.30M,437.40M,-338.40M,2.90M,-335.50M,-95.00M,186.50M,,-244.00M,,,,49.40M,-158.50M,-109.10M,,-65.90M,,-11.10M,-186.10M,576.80M,7.30M,,584.10M,49.40M,,,-158.50M
2005-08,329.00M,,,64.60M,129.90M,129.90M,-45.40M,,,,-25.40M,119.40M,-388.00M,,91.10M,16.00M,19.80M,-79.70M,-221.40M,231.30M,-381.60M,4.70M,-376.90M,,340.10M,1.60M,-35.20M,,,,39.90M,-137.10M,-97.20M,,-53.40M,,-9.90M,-160.50M,541.20M,35.60M,,576.80M,39.90M,,,-137.10M
2005-05,411.00M,,,43.80M,352.20M,352.20M,-25.40M,,,,25.40M,-344.30M,-466.00M,,185.60M,-16.00M,83.00M,303.70M,-254.00M,553.00M,-287.50M,9.00M,-278.50M,,172.00M,8.50M,-98.00M,,,,45.80M,-360.20M,-314.40M,,-53.60M,,1.10M,-366.90M,453.10M,88.10M,,541.20M,45.80M,,,-360.20M
