,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,AsOriginallyReported,Restated
2018-06,430.70M,0.00,,-33.80M,-36.60M,245.60M,245.60M,7.50M,,7.90M,-41.40M,54.20M,10.50M,,95.50M,,,-23.70M,136.50M,-9.70M,740.50M,,-585.60M,,-585.60M,-48.80M,128.20M,15.20M,-491.00M,,-9.00M,-23.70M,-32.70M,,,,-241.10M,-241.10M,5.50M,-13.90M,-282.20M,,3.067B,-32.70M,-47.70M,2.986B,,,0.00,-9.00M,,,,AOR,Restated
2018-03,416.40M,0.00,,-30.90M,-32.70M,240.00M,240.00M,-17.70M,,10.70M,63.30M,-8.80M,13.90M,,-146.90M,,,7.80M,-134.00M,0.00,546.00M,,-315.90M,,-315.90M,-34.30M,270.50M,19.70M,-41.40M,,-0.10M,18.30M,18.20M,,,,-208.00M,-208.00M,18.30M,-3.00M,-174.50M,,2.723B,330.10M,14.20M,3.067B,,,0.50M,-0.60M,,,,AOR,Restated
2017-12,155.60M,0.00,,29.90M,29.30M,227.90M,227.90M,233.60M,,11.80M,28.60M,-10.40M,-8.40M,,-113.50M,,,5.50M,-126.80M,-3.10M,556.90M,,-256.60M,,-256.60M,-237.10M,-3.30M,16.20M,-480.80M,,-408.60M,-40.70M,-449.30M,,,,-207.50M,-207.50M,34.40M,-18.70M,-641.10M,,3.274B,-565.00M,14.00M,2.723B,,,,-408.60M,,,,AOR,Restated
2017-09,474.20M,,,-31.40M,-47.80M,231.00M,231.00M,40.10M,10.10M,12.50M,77.50M,-22.50M,-38.40M,,263.70M,18.60M,,-104.00M,117.40M,-198.20M,716.80M,,-232.90M,,-232.90M,-8.20M,613.20M,26.70M,398.80M,,-0.20M,0.60M,0.40M,,,,-207.00M,-207.00M,30.20M,-10.10M,-186.50M,,2.333B,929.10M,11.90M,3.274B,,,0.20M,-0.40M,,-1.110B,,AOR,Restated
2017-06,104.20M,,,-2.90M,-4.30M,216.90M,216.90M,-9.50M,255.00M,8.90M,100.70M,-10.30M,24.10M,,78.70M,-13.60M,,1.40M,80.30M,-247.20M,505.00M,,-274.60M,,-274.60M,0.80M,408.10M,7.30M,141.60M,,-12.90M,17.40M,4.50M,,,,-206.90M,-206.90M,18.30M,-8.50M,-192.60M,,1.869B,454.00M,9.30M,2.333B,,,0.90M,-13.80M,,325.10M,,AOR,Restated
2017-03,304.40M,,,-24.60M,-26.10M,211.80M,211.80M,-45.00M,0.00,9.50M,46.40M,29.50M,10.80M,,-189.00M,17.60M,,-83.00M,-214.10M,-461.20M,-174.30M,,-293.00M,,-293.00M,-0.10M,-1.423B,2.00M,2.056B,,-455.20M,-44.40M,-499.60M,,,,-187.10M,-187.10M,9.20M,-9.80M,-687.30M,,666.80M,1.194B,8.40M,1.869B,,,0.10M,-455.30M,,688.00M,,AOR,Restated
2016-12,251.60M,,,-6.90M,-11.90M,206.10M,206.10M,-23.60M,45.70M,9.00M,33.00M,35.10M,9.90M,,10.40M,-22.60M,,31.60M,64.40M,-59.60M,514.70M,,-239.20M,,-239.20M,-8.80M,0.00,9.90M,-257.50M,,-13.20M,-772.20M,-785.40M,,,,-186.90M,-186.90M,10.70M,-12.90M,-905.00M,,1.331B,-647.80M,-16.20M,666.80M,,,1.20M,-14.40M,,96.70M,,AOR,Restated
2016-09,289.40M,,,-16.90M,-15.90M,212.50M,212.50M,-13.80M,0.00,7.10M,73.40M,192.70M,18.60M,,-0.90M,34.20M,,-60.70M,183.90M,132.70M,869.30M,,-206.80M,,-206.80M,0.00,0.00,0.50M,-249.60M,,-360.10M,290.10M,-70.00M,,,,-186.30M,-186.30M,65.10M,-13.10M,363.00M,,514.80M,982.70M,3.80M,1.501B,,,-1.40M,-358.70M,,,,AOR,Restated
2016-06,250.30M,,,-26.80M,-25.90M,213.50M,213.50M,-4.40M,0.00,7.50M,90.40M,-235.90M,14.70M,,252.50M,32.30M,,37.20M,100.80M,87.10M,719.30M,,-228.90M,,-228.90M,1.50M,0.00,5.30M,-255.70M,,332.20M,-432.70M,-100.50M,,,,-185.80M,-185.80M,40.70M,-8.50M,-258.70M,,313.10M,204.90M,-3.20M,514.80M,,,388.30M,-56.10M,,,,AOR,Restated
2016-03,278.90M,,,-14.40M,-15.80M,213.90M,213.90M,48.30M,0.00,8.10M,132.40M,-66.70M,17.90M,,-90.80M,-18.00M,,-15.40M,-173.00M,5.20M,498.00M,,-223.60M,,-223.60M,-2.80M,0.00,5.70M,-261.70M,,-0.10M,-47.60M,-47.70M,,,,-174.70M,-174.70M,25.20M,-4.40M,-210.50M,,279.10M,25.80M,8.20M,313.10M,,,0.00,-0.10M,,,,AOR,Restated
2015-12,280.90M,,,7.00M,6.10M,214.70M,214.70M,31.70M,0.00,8.30M,-54.00M,58.40M,-19.00M,,-100.70M,-20.30M,,-8.90M,-90.50M,176.90M,574.10M,,-248.40M,,-248.40M,1.30M,,31.40M,-302.00M,,-65.50M,46.00M,-19.50M,,,,-174.40M,-174.40M,10.30M,-16.60M,-198.10M,,206.40M,74.00M,-1.30M,279.10M,,,0.00,-65.50M,,,,AOR,Restated
2015-09,-5.40M,,,-27.20M,-40.30M,156.70M,156.70M,-9.10M,12.40M,2.20M,110.70M,83.70M,35.60M,,-54.80M,17.00M,,63.80M,145.30M,439.30M,811.80M,,-213.80M,,-213.80M,-4.30M,,44.30M,-360.70M,,-137.90M,163.20M,25.30M,,,,-174.10M,-174.10M,28.80M,-311.70M,-448.60M,,215.30M,2.50M,-11.40M,206.40M,,,2.30M,-140.20M,,-261.90M,,AOR,Restated
2015-06,320.50M,,,-16.60M,-16.60M,233.00M,233.00M,-35.00M,27.80M,12.50M,-0.30M,-23.90M,16.40M,,100.60M,17.10M,,35.30M,145.50M,3.30M,690.70M,,-320.10M,,-320.10M,0.00,,-2.10M,-399.20M,,-173.90M,67.70M,-106.20M,,,,-174.00M,-174.00M,15.30M,-7.20M,-272.10M,,195.70M,19.40M,0.20M,215.30M,,,0.70M,-174.60M,,261.90M,,AOR,Restated
2015-03,293.60M,,,-26.70M,-26.70M,233.30M,233.30M,27.30M,,12.90M,1.10M,-46.60M,2.00M,,84.10M,-24.00M,,-56.50M,-41.00M,-19.90M,480.60M,,-182.00M,,-182.00M,-11.90M,,6.40M,-376.60M,,-9.70M,0.30M,-9.40M,,,,-165.00M,-165.00M,35.10M,-5.40M,-144.70M,,238.80M,-40.70M,-2.40M,195.70M,,,336.40M,-346.10M,,-62.50M,,AOR,Restated
2014-12,324.60M,,,-49.20M,-49.20M,235.50M,235.50M,26.20M,,11.90M,-68.60M,-5.00M,-16.00M,,5.00M,6.80M,,15.40M,6.20M,,486.60M,,-446.50M,,-446.50M,-22.60M,,5.90M,-463.20M,,-37.60M,54.00M,16.40M,,,,-164.40M,-164.40M,42.10M,-6.00M,-111.90M,,336.60M,-88.50M,-9.30M,238.80M,,,0.90M,-38.50M,,62.50M,,AOR,Restated
2014-09,110.00M,,,-39.30M,-35.00M,254.60M,254.60M,55.70M,310.10M,11.50M,-33.90M,44.50M,-36.10M,,-112.30M,-4.50M,,41.50M,-66.90M,-3.70M,602.40M,,-97.80M,,-97.80M,-0.30M,,11.70M,-407.90M,,389.20M,-274.00M,115.20M,,,,-164.00M,-164.00M,35.10M,-7.90M,-178.70M,,337.60M,15.80M,-16.80M,336.60M,,,406.10M,-16.90M,,-118.30M,,AOR,Restated
2014-06,314.00M,,,-17.50M,-17.50M,239.00M,239.00M,33.40M,0.00,9.10M,38.50M,5.50M,-21.00M,,4.40M,-18.70M,,-27.40M,-57.20M,0.00,559.30M,,-462.70M,,-462.70M,2.30M,,21.70M,-438.70M,,-82.40M,51.80M,-30.60M,,,,-163.50M,-163.50M,48.80M,0.30M,-145.00M,,356.90M,-24.40M,5.10M,337.60M,,,18.10M,-100.50M,,53.80M,,AOR,Restated
2014-03,283.50M,,,-20.70M,-20.70M,229.10M,229.10M,3.40M,,11.60M,73.40M,-67.10M,21.70M,,-64.80M,-15.00M,,23.40M,-101.80M,0.00,478.50M,,-411.10M,,-411.10M,0.00,,5.30M,-405.80M,,-19.40M,31.80M,12.40M,,,,-150.30M,-150.30M,37.80M,0.60M,-99.50M,,387.60M,-26.80M,-3.90M,356.90M,,,37.80M,-57.20M,,95.90M,,AOR,Restated
2013-12,287.10M,,,1.50M,1.50M,234.20M,234.20M,33.00M,,11.80M,2.70M,-18.60M,11.90M,,-65.20M,32.60M,,15.20M,-24.10M,0.70M,546.90M,,-391.10M,,-391.10M,0.00,,5.50M,-375.80M,,-432.60M,339.10M,-93.50M,,,,-149.90M,-149.90M,19.90M,-14.70M,-238.20M,,450.40M,-67.10M,4.30M,387.60M,,,1.40M,-434.00M,,-31.40M,,AOR,Restated
2013-09,150.20M,,,-11.60M,-31.60M,232.60M,232.60M,4.40M,,10.50M,-6.70M,82.60M,6.50M,,9.50M,-12.30M,,-44.20M,42.10M,1.00M,502.90M,,-408.80M,,-408.80M,-98.00M,,28.00M,-478.80M,,383.30M,-343.10M,40.20M,,0.00,0.00,-148.80M,-148.80M,93.30M,5.60M,-9.70M,,418.80M,14.40M,17.20M,450.40M,,,405.10M,-21.80M,0.00,,,AOR,Restated
2013-06,287.80M,,,-21.30M,-21.30M,229.70M,229.70M,-24.40M,,10.60M,48.10M,-116.90M,15.40M,,10.50M,37.50M,,-24.00M,-77.50M,3.50M,456.50M,,-408.10M,,-408.10M,-125.60M,,17.70M,-516.30M,,-5.60M,176.40M,170.80M,,0.00,0.00,-147.90M,-147.90M,70.40M,-10.90M,82.40M,,401.60M,22.60M,-5.40M,418.80M,,,18.10M,-23.70M,0.00,,,AOR,Restated
2013-03,289.30M,,,-26.30M,-26.30M,226.20M,226.20M,-4.60M,,12.30M,-6.60M,-24.50M,10.60M,,-157.60M,-19.10M,,20.10M,-170.50M,4.60M,324.40M,,-350.30M,,-350.30M,,,3.90M,-346.50M,,99.70M,-104.70M,-5.00M,,0.00,0.00,-132.90M,-132.90M,35.70M,-12.20M,-114.40M,,545.60M,-136.50M,-7.50M,401.60M,,,426.70M,-327.00M,0.00,,,AOR,Restated
2012-12,276.90M,,,,,218.50M,218.50M,37.40M,,10.10M,-262.60M,-13.40M,42.50M,,7.30M,-22.30M,,-16.00M,-1.90M,5.20M,283.60M,,-357.00M,,-357.00M,,,1.20M,-356.60M,,12.30M,709.10M,721.40M,,-461.60M,-461.60M,-136.00M,-136.00M,27.00M,6.30M,157.10M,,454.40M,84.10M,7.10M,545.60M,,,77.30M,-65.00M,-461.60M,,,AOR,Restated
2012-09,137.10M,,,-10.80M,-19.20M,220.30M,220.30M,-47.90M,,7.60M,3.30M,-10.10M,20.10M,,219.70M,-26.20M,,-64.40M,139.10M,1.50M,522.00M,,-354.50M,,-354.50M,-689.60M,,50.20M,-994.90M,,477.80M,181.30M,659.10M,,0.00,0.00,-135.50M,-135.50M,35.60M,0.00,559.20M,,361.20M,86.30M,6.90M,454.40M,,,490.80M,-13.00M,0.00,,,AOR,Restated
2012-06,357.20M,,,-103.70M,-103.70M,212.20M,212.20M,60.00M,,8.80M,-94.40M,-63.60M,1.10M,,24.10M,-14.80M,,126.50M,73.30M,12.10M,525.50M,,-431.60M,,-431.60M,-301.60M,,55.50M,96.40M,,-459.50M,18.70M,-440.80M,,0.00,0.00,-135.30M,-135.30M,12.80M,-1.20M,-564.50M,,333.00M,57.40M,-29.20M,361.20M,,,9.50M,-469.00M,0.00,,,AOR,Restated
2012-03,279.00M,,,-25.00M,-25.00M,205.30M,205.30M,-31.30M,,15.60M,-8.90M,-61.80M,4.30M,,60.70M,7.70M,,-138.70M,-127.80M,13.60M,320.50M,,-392.60M,,-392.60M,-26.40M,,5.00M,-414.30M,,-5.30M,126.20M,120.90M,,-53.10M,-53.10M,-122.20M,-122.20M,68.00M,2.60M,15.20M,,407.30M,-78.60M,4.30M,333.00M,,,0.00,-5.30M,-53.10M,,,AOR,Restated
2011-12,225.90M,,,,,203.00M,203.00M,26.10M,,11.80M,-58.00M,62.10M,-24.20M,,-54.80M,-9.60M,,42.00M,15.50M,6.40M,430.70M,,-342.30M,,-342.30M,-21.20M,,13.90M,-357.00M,,396.80M,-316.40M,80.40M,,0.00,0.00,-121.90M,-121.90M,7.90M,-55.70M,-88.30M,,422.50M,-14.60M,-0.60M,407.30M,,,400.10M,-3.30M,0.00,,,AOR,Restated
2011-09,304.20M,,,-29.10M,-84.50M,206.70M,206.70M,110.30M,,11.70M,-66.40M,39.70M,-59.30M,,131.60M,-4.20M,,23.50M,131.30M,11.20M,624.50M,,-375.80M,,-375.80M,48.00M,-111.00M,88.40M,-361.00M,,345.90M,-173.50M,172.40M,,-299.20M,-299.20M,-123.70M,-123.70M,23.80M,-24.20M,-252.10M,,430.10M,11.40M,-19.00M,422.50M,,,353.40M,-415.30M,-299.20M,,,AOR,Restated
2011-06,297.00M,,,-18.40M,-19.50M,212.30M,212.30M,12.40M,,11.20M,-36.20M,-21.70M,-29.40M,,66.20M,-21.70M,,19.80M,13.20M,11.60M,502.00M,,-341.50M,,-341.50M,-9.90M,-10.80M,2.60M,-370.70M,,5.80M,66.10M,71.90M,,0.00,0.00,-122.90M,-122.90M,51.80M,21.70M,23.50M,,270.30M,154.80M,5.00M,430.10M,,,12.60M,59.30M,0.00,,,AOR,Restated
2011-03,533.10M,-14.90M,,,-15.70M,197.70M,197.70M,65.30M,,11.70M,-458.50M,-63.90M,-18.40M,,1.70M,42.60M,,-25.50M,-63.50M,20.00M,290.10M,,-285.10M,-33.20M,-318.30M,0.00,121.80M,13.50M,-203.70M,,-29.90M,375.00M,345.10M,,-350.00M,-350.00M,-210.10M,-105.30M,35.80M,8.80M,-65.30M,,247.20M,21.10M,2.00M,270.30M,,,5.30M,339.80M,-350.00M,,,AOR,Restated
2010-12,,14.90M,,,57.60M,217.60M,217.60M,-2.30M,,10.20M,249.10M,0.10M,-0.40M,,-229.30M,,,34.00M,-195.60M,,336.60M,,-306.90M,33.20M,-273.70M,0.00,,-3.10M,-276.80M,,-99.10M,-33.30M,-132.40M,,,,,-104.80M,36.80M,9.80M,-190.60M,,374.30M,-130.80M,3.70M,247.20M,,,38.50M,-170.90M,,,,AOR,Restated
2010-09,941.60M,35.20M,,,-84.00M,178.00M,178.00M,8.40M,0.00,12.00M,-706.30M,90.00M,-58.00M,,34.60M,,,69.40M,102.10M,,489.20M,,-231.50M,,-231.50M,-69.70M,69.60M,25.20M,-248.60M,,-211.30M,-74.20M,-285.50M,,0.00,0.00,-104.10M,-104.10M,45.80M,64.50M,-279.70M,,405.30M,-39.10M,8.10M,374.30M,,,115.30M,-326.60M,0.00,,,AOR,Restated
2010-06,-515.20M,-5.60M,,,24.60M,214.40M,214.40M,-52.50M,,13.90M,760.60M,-18.90M,-18.30M,,16.50M,,,65.40M,44.70M,,490.50M,,-240.30M,,-240.30M,-2.50M,0.00,13.60M,-229.20M,,16.70M,55.60M,72.30M,,0.00,0.00,-104.10M,-104.10M,6.90M,-56.00M,-80.90M,,230.90M,180.40M,-6.00M,405.30M,,,99.10M,-26.80M,0.00,,,AOR,Restated
2010-03,263.40M,-21.20M,,,0.40M,217.30M,217.30M,17.90M,-0.60M,15.00M,-45.20M,-125.60M,31.50M,,-42.50M,,,17.20M,-119.40M,,348.80M,,-228.10M,-13.10M,-241.20M,-26.50M,-69.60M,34.00M,-303.30M,,-42.70M,-4.00M,-46.70M,,0.00,0.00,-190.50M,-95.40M,7.70M,-1.00M,-135.40M,,323.00M,-89.90M,-2.20M,230.90M,,,-41.30M,-5.40M,0.00,,,AOR,Restated
2009-12,251.80M,-8.40M,,,-8.00M,217.10M,217.10M,115.30M,0.60M,7.70M,-0.60M,-15.20M,-18.10M,,-289.90M,,,-66.80M,-390.00M,,193.90M,,-288.80M,13.10M,-275.70M,-12.90M,,13.20M,-275.40M,,27.10M,-51.60M,-24.50M,,,,,-95.10M,27.70M,8.20M,-83.70M,,488.20M,-165.20M,0.00,323.00M,,,53.10M,-77.60M,,,,AOR,Restated
2009-09,243.90M,-58.00M,,45.50M,-18.00M,225.50M,225.50M,-10.70M,2.30M,15.30M,-84.30M,-12.90M,-6.90M,,30.40M,-29.80M,,109.60M,90.40M,,464.40M,,-279.80M,27.80M,-252.00M,-14.30M,0.00,4.80M,-261.50M,,476.70M,-221.90M,254.80M,,,,,-94.50M,39.50M,12.70M,212.50M,,70.30M,415.40M,2.50M,488.20M,,,489.60M,-135.60M,,,,AOR,Restated
2009-06,113.20M,35.00M,,-45.50M,-10.10M,217.10M,217.10M,-83.40M,35.60M,15.00M,-1.10M,-6.30M,30.90M,,-55.60M,29.80M,,120.60M,119.40M,,405.70M,,-283.50M,5.10M,-278.40M,9.80M,-0.90M,41.50M,-228.00M,,-19.20M,-84.00M,-103.20M,,,,,-94.50M,8.10M,-0.30M,-189.90M,,79.70M,-12.20M,2.80M,70.30M,,,-176.60M,-25.80M,,,,AOR,Restated
2009-03,205.60M,-24.10M,-1.90M,,17.60M,197.10M,197.10M,42.40M,0.00,12.60M,-74.80M,138.80M,12.00M,,-214.70M,,,-76.50M,-140.40M,,260.10M,,-324.10M,6.10M,-318.00M,0.00,0.00,72.40M,-245.60M,,2.50M,37.50M,40.00M,,,,,-92.20M,5.70M,-4.00M,-50.50M,,118.50M,-36.00M,-2.80M,79.70M,,,42.80M,-2.80M,,,,AOR,Restated
2008-12,68.60M,-10.90M,1.90M,,-46.00M,200.60M,200.60M,-0.60M,80.80M,17.50M,-5.60M,27.50M,-53.70M,,-42.90M,,,-47.00M,-116.10M,,199.20M,,-291.70M,18.90M,-272.80M,-1.70M,0.90M,-31.70M,-305.30M,,67.60M,145.70M,213.30M,,,,,-92.10M,1.10M,0.60M,122.90M,,103.50M,16.80M,-1.80M,118.50M,,,254.70M,-41.40M,,,,,Restated
2008-09,155.70M,,,,-299.70M,200.30M,200.30M,106.50M,,,-249.70M,-17.40M,4.50M,7.80M,110.70M,,,90.80M,196.40M,64.40M,550.10M,,-282.60M,0.80M,-281.80M,-71.10M,424.80M,-67.50M,-409.10M,,,,158.60M,-80.90M,-233.20M,-314.10M,,-93.20M,,1.00M,-160.30M,,126.20M,-19.30M,-3.40M,103.50M,,-80.90M,,,-233.20M,,,,Restated
2008-06,70.10M,,,,80.50M,226.60M,226.60M,-104.20M,,,338.10M,-38.00M,-3.50M,-31.10M,-1.30M,-75.90M,,30.70M,-119.10M,6.40M,498.40M,,-273.00M,4.30M,-268.70M,-1.40M,-1.80M,1.20M,-178.70M,,,,-304.90M,39.10M,0.00,39.10M,,-92.70M,,24.50M,-334.00M,,138.80M,-14.30M,1.70M,126.20M,,39.10M,,,0.00,,,,
2008-03,314.30M,,,,-7.40M,224.10M,224.10M,13.80M,,,-54.90M,-85.20M,-8.60M,-23.70M,12.70M,28.90M,,-86.80M,-162.70M,-62.80M,264.40M,,-258.30M,5.50M,-252.80M,-0.30M,,-0.30M,2.30M,,,,212.80M,8.80M,-370.50M,-361.70M,,-81.50M,,4.30M,-226.10M,,96.50M,40.60M,1.70M,138.80M,,8.80M,,,-370.50M,,,,
2007-12,263.70M,,,,-43.50M,218.00M,218.00M,20.80M,,,-30.60M,-77.40M,-27.30M,47.00M,-85.90M,47.00M,,42.90M,-53.70M,-8.00M,366.70M,,-271.20M,9.00M,-262.20M,-1.40M,,-136.50M,-334.30M,,,,239.00M,33.00M,-189.70M,-156.70M,,-81.90M,,21.50M,21.90M,,40.50M,54.30M,1.70M,96.50M,,33.00M,,,-189.70M,,,,
2007-09,292.80M,,,,-116.70M,257.90M,257.90M,20.50M,,,13.00M,19.00M,15.90M,31.00M,46.30M,,,56.70M,168.90M,52.20M,688.60M,,-324.50M,52.20M,-272.30M,-12.00M,0.20M,9.20M,-267.40M,,,,-213.90M,57.40M,-194.30M,-136.90M,,-82.10M,,23.00M,-418.30M,,29.90M,2.90M,5.30M,42.30M,,57.40M,,,-194.30M,,,,
2007-06,284.90M,,,,60.80M,179.90M,179.90M,-13.40M,,,-16.40M,-40.00M,-2.90M,81.40M,-32.40M,,,-43.90M,-37.80M,-30.60M,427.40M,,-235.70M,29.60M,-206.10M,-507.10M,1.10M,-5.40M,-730.50M,,,,446.00M,41.50M,-125.70M,-84.20M,,-82.40M,,12.10M,299.90M,,37.30M,-3.20M,0.00,29.90M,,41.50M,,,-125.70M,,,,
2007-03,227.60M,,,,10.70M,210.10M,210.10M,-8.40M,,,57.70M,-25.90M,2.70M,-170.70M,-7.20M,-52.50M,,-22.40M,-276.00M,0.30M,222.00M,,-262.70M,3.10M,-259.60M,-20.00M,0.00,1.10M,-272.30M,,,,135.90M,66.90M,-121.70M,-54.80M,,-73.60M,,15.90M,23.40M,,57.30M,-26.90M,2.70M,37.30M,,66.90M,,,-121.70M,,,,
