,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-12,1.991B,1.991B,1.476B,515.50M,,252.80M,33.10M,8.70M,,,,-8.70M,277.20M,238.30M,,,34.20M,,236.00M,64.90M,166.80M,,,-4.30M,166.80M,160.49M,417.70M,179.40M,238.30M,,0.74,0.00,,,0.7121,0.74,,0.72,0.00,,,0.6928,0.72,,226.40M,232.30M,0.29,,,
2004-09,1.598B,1.598B,1.107B,491.40M,,230.70M,33.00M,16.10M,,,,-16.10M,247.60M,243.80M,,,43.10M,,242.60M,59.60M,172.40M,,,-10.60M,168.10M,160.26M,417.10M,173.30M,243.80M,,-1.923,0.00,,,-1.977,-1.923,,-1.923,0.00,,,-1.976,-1.923,,225.00M,230.40M,0.29,,,
2004-06,1.892B,1.892B,1.388B,504.20M,,243.70M,31.10M,4.30M,,,,-4.30M,270.50M,233.70M,,,28.50M,,228.40M,63.40M,163.00M,,,-2.00M,163.00M,159.89M,406.70M,173.00M,233.70M,,0.73,0.00,,,0.7162,0.73,,0.71,0.00,,,0.6965,0.71,,224.50M,229.40M,0.29,,,
2004-03,1.856B,1.856B,1.370B,486.90M,,250.40M,32.00M,5.60M,,,,-5.60M,276.80M,210.10M,,,27.60M,,199.80M,54.90M,141.20M,,,-3.70M,141.20M,137.14M,386.70M,176.60M,210.10M,,0.63,0.00,,,0.6118,0.63,,0.62,0.00,,,0.6022,0.62,,223.70M,228.80M,0.23,,,
2003-12,1.685B,1.685B,1.230B,454.70M,,231.40M,30.00M,5.50M,,,,-5.50M,255.90M,198.80M,,,25.10M,,187.50M,51.30M,131.80M,,,-4.40M,131.80M,127.80M,373.20M,174.40M,198.80M,,0.59,0.00,,,0.5720,0.59,,0.58,0.00,,,0.5624,0.58,,221.90M,227.00M,0.23,,,
2003-09,1.642B,1.642B,1.178B,463.90M,,204.50M,27.90M,-46.00M,,,,42.20M,284.90M,179.00M,,,-9.90M,,184.40M,46.30M,131.30M,,0.00,-6.80M,131.30M,165.75M,356.70M,177.70M,179.00M,,0.77,-0.17,0.00,,0.9251,0.60,,0.75,-0.17,0.0000,,0.9016,0.59,,222.10M,227.30M,0.23,,,
2003-06,1.630B,1.630B,1.225B,404.50M,,243.40M,32.10M,-89.00M,,,,89.00M,364.50M,40.00M,,,-69.00M,,27.50M,-2.90M,26.60M,,,-3.80M,26.60M,80.00M,204.70M,164.70M,40.00M,,0.12,0.00,,,0.3631,0.12,,0.12,0.00,,,0.3591,0.12,,219.70M,223.30M,0.23,,,
2003-03,1.578B,1.578B,1.176B,401.80M,,206.60M,31.10M,12.20M,,,,-12.20M,225.50M,176.30M,,,27.40M,,162.90M,48.70M,113.60M,,,-0.60M,113.60M,105.05M,332.70M,156.40M,176.30M,,0.52,0.00,,,0.4810,0.52,,0.51,0.00,,,0.4716,0.51,,219.20M,222.50M,0.21,,,
2002-12,1.447B,1.447B,1.033B,414.00M,,193.30M,30.00M,3.30M,,,,-3.30M,220.00M,194.00M,,,31.60M,,190.60M,55.10M,128.70M,,-2.90M,-6.80M,125.80M,126.35M,350.00M,156.00M,194.00M,,0.59,-0.02,0.00,,0.5793,0.57,,0.58,-0.02,-0.0133,,0.5695,0.56,,218.80M,223.00M,0.21,,,
2002-09,1.398B,1.398B,959.60M,438.40M,,209.90M,29.90M,7.30M,,,,-12.20M,231.40M,207.00M,,,40.90M,,211.90M,61.80M,144.30M,,,-5.80M,144.30M,139.13M,374.20M,167.20M,207.00M,,0.60,0.06,,,0.5762,0.66,,0.59,0.06,,,0.5669,0.65,,217.60M,223.90M,0.21,,,
2002-06,1.374B,1.374B,976.70M,397.30M,,172.90M,31.90M,22.60M,,,,-22.60M,182.20M,215.10M,,,40.30M,,205.30M,60.60M,141.30M,,,-3.40M,141.30M,125.37M,363.30M,148.20M,215.10M,,0.65,0.00,,,0.5769,0.65,,0.63,0.00,,,0.5591,0.63,,218.00M,224.70M,0.21,,,
2002-03,1.313B,1.313B,942.30M,370.40M,,189.10M,28.10M,57.30M,,,,-1.60M,215.60M,154.80M,,,77.60M,,199.80M,69.60M,126.10M,,,-4.10M,126.10M,88.76M,291.20M,136.40M,154.80M,,0.58,0.00,,,0.4076,0.58,,0.57,0.00,,,0.4025,0.57,,216.60M,222.90M,0.20,,,
2001-12,1.316B,1.316B,937.10M,379.40M,,169.30M,30.40M,4.50M,,,,-4.50M,195.20M,184.20M,,,22.90M,,167.50M,48.80M,113.70M,,,-5.00M,113.70M,110.51M,323.50M,139.30M,184.20M,,0.53,0.00,,,0.5152,0.53,,0.52,0.00,,,0.5055,0.52,,215.70M,220.60M,0.20,,,
2001-09,1.397B,1.397B,976.50M,420.10M,,269.40M,31.50M,58.10M,,,,-38.50M,281.80M,138.30M,,,79.70M,,141.90M,38.40M,103.10M,,,-0.40M,103.10M,60.72M,277.70M,139.40M,138.30M,,0.48,0.00,,,0.2830,0.48,,0.47,0.00,,,0.2773,0.47,,215.10M,219.90M,0.20,,,
2001-06,1.451B,1.451B,1.039B,411.60M,,173.30M,31.00M,8.10M,,,,-8.10M,196.20M,215.40M,,,29.90M,,188.50M,53.80M,132.30M,,,-2.40M,132.30M,126.51M,357.30M,141.90M,215.40M,,0.62,0.00,,,0.5931,0.62,,0.60,0.00,,,0.5738,0.60,,214.90M,220.50M,0.20,,,
2001-03,1.534B,1.534B,1.141B,393.50M,,189.50M,30.80M,-9.00M,,,,9.00M,229.30M,164.20M,,,7.90M,,131.20M,36.60M,94.60M,,,0.40M,94.60M,101.09M,307.50M,143.30M,164.20M,,0.44,0.00,,,0.4703,0.44,,0.43,0.00,,,0.4596,0.43,,214.50M,218.90M,0.19,,,
2000-12,1.441B,1.441B,1.025B,416.20M,,173.50M,28.50M,13.30M,,,,-13.30M,188.70M,227.50M,,,34.20M,,200.00M,61.70M,135.60M,,,-2.70M,135.60M,126.40M,375.90M,148.40M,227.50M,,0.63,0.00,,,0.5871,0.63,,0.62,0.00,,,0.5778,0.62,,214.40M,217.90M,0.19,,,
2000-09,1.592B,1.592B,1.172B,419.90M,,177.50M,32.10M,145.80M,,,,-19.00M,190.60M,229.30M,,,171.40M,,326.00M,106.50M,218.50M,,,-1.00M,218.50M,120.33M,378.30M,149.00M,229.30M,,1.02,0.00,,,0.5572,1.02,,1.01,0.00,,,0.5719,1.01,,212.10M,224.10M,0.19,,,
2000-06,1.406B,1.406B,993.70M,412.70M,,189.50M,32.30M,-487.00M,,,,4.50M,226.30M,186.40M,,,-466.60M,,-328.60M,-137.60M,-192.50M,,,-1.50M,-192.50M,99.70M,336.80M,150.40M,186.40M,,-0.90,0.00,,,0.4693,-0.90,,-0.90,0.00,,,0.4693,-0.90,,213.40M,213.40M,0.19,,,
2000-03,1.347B,1.347B,925.60M,421.60M,,179.90M,29.90M,-127.60M,,,,-7.10M,202.70M,218.90M,,,-106.30M,,58.70M,8.30M,47.60M,,,-2.80M,47.60M,157.16M,363.50M,144.60M,218.90M,,0.22,0.00,,,0.7336,0.22,,0.22,0.00,,,0.7286,0.22,,213.30M,215.40M,0.18,,,
1999-12,1.264B,1.264B,877.10M,387.30M,,167.80M,30.10M,-106.40M,,,,-6.80M,191.10M,196.20M,,,-86.10M,,62.00M,9.10M,50.60M,,,-2.30M,50.60M,141.38M,327.90M,131.70M,196.20M,,0.24,0.00,,,0.6658,0.24,,0.23,0.00,,,0.6513,0.23,,213.20M,215.50M,0.18,,,
1999-09,1.254B,1.254B,736.90M,517.50M,,166.50M,32.70M,40.60M,,,,,339.60M,177.90M,,,40.60M,,176.60M,54.00M,122.60M,,,-2.90M,122.60M,94.41M,318.30M,140.40M,177.90M,,0.57,0.00,,,0.4377,0.57,,0.57,0.00,,,0.4397,0.57,,213.10M,216.30M,0.18,,,
1999-06,1.238B,1.238B,745.50M,492.30M,,172.60M,29.40M,18.10M,,,,,327.50M,164.80M,,,18.10M,,139.00M,44.40M,94.60M,,,-4.60M,94.60M,82.28M,290.30M,125.50M,164.80M,,0.45,0.00,,,0.3920,0.45,,0.44,0.00,,,0.3832,0.44,,212.50M,217.00M,0.18,,,
1999-03,1.253B,1.253B,744.00M,509.30M,,168.30M,29.30M,18.50M,,,,,331.10M,178.20M,,,18.50M,,152.00M,45.10M,106.90M,,,-4.30M,106.90M,93.89M,311.70M,133.50M,178.20M,,0.51,0.00,,,0.4485,0.51,,0.50,0.00,,,0.4395,0.50,,211.60M,215.10M,0.17,,,
1998-12,1.275B,1.275B,875.60M,399.00M,,183.20M,31.70M,36.10M,,,,-4.90M,210.00M,189.00M,,,45.90M,,189.60M,59.90M,126.40M,,,-3.30M,126.40M,101.71M,316.80M,127.80M,189.00M,,0.60,0.00,,,0.4832,0.60,,0.59,0.00,,,0.4732,0.59,,211.40M,211.40M,0.17,,,
1998-09,1.250B,1.250B,715.30M,535.00M,,165.20M,30.00M,18.80M,,,,,325.60M,209.40M,,,18.80M,,186.80M,59.10M,127.70M,,,0.20M,127.70M,114.85M,339.80M,130.40M,209.40M,,0.60,0.00,,,0.5399,0.60,,0.59,0.00,,,0.5303,0.59,,213.91M,215.16M,0.17,,,
1998-06,1.236B,1.236B,585.80M,650.50M,,171.90M,28.70M,39.30M,,,,,439.00M,211.50M,,,39.30M,,208.60M,70.50M,138.10M,,,-0.20M,138.10M,112.08M,449.90M,120.80M,211.50M,,0.64,0.00,,,0.5194,0.64,,0.63,0.00,,,0.5113,0.63,,215.78M,219.21M,0.17,,,
1998-03,1.209B,1.209B,701.90M,506.70M,,277.30M,27.00M,3.70M,,,,-3.70M,300.60M,206.10M,,,11.60M,,175.00M,54.50M,120.50M,,,,120.50M,117.95M,326.70M,120.60M,206.10M,,0.56,0.00,,,0.5482,0.56,,0.54,0.00,,,0.5282,0.54,,215.80M,215.80M,0.15,,,
1997-12,1.235B,1.235B,720.70M,514.10M,,269.90M,26.30M,69.90M,,,,5.30M,301.50M,212.60M,,,75.60M,,253.30M,92.80M,160.50M,,,,160.50M,116.21M,330.20M,117.60M,212.60M,,0.74,0.00,,,0.5412,0.74,,0.72,0.00,,,0.5212,0.72,,222.80M,222.80M,0.15,,,
1997-09,1.214B,1.214B,693.80M,519.70M,,-145.40M,30.60M,70.70M,,,,,364.80M,154.90M,,,21.20M,,156.40M,49.00M,107.40M,,,,107.40M,58.85M,274.60M,119.70M,154.90M,,0.49,0.00,,,0.2693,0.49,,0.48,0.00,,,0.2764,0.48,,220.02M,238.46M,0.15,,,
1997-06,1.150B,1.150B,663.40M,486.90M,,266.80M,27.90M,0.70M,,,,-0.70M,294.00M,192.90M,,,18.00M,,170.80M,54.80M,116.00M,,,,116.00M,115.52M,308.80M,115.90M,192.90M,,0.53,0.00,,,0.5278,0.53,,0.52,0.00,,,0.5178,0.52,,220.20M,220.20M,0.15,,,
1997-03,1.153B,1.153B,686.30M,466.80M,,264.70M,28.50M,10.40M,,,,-10.40M,282.80M,184.00M,,,23.90M,,155.00M,49.00M,106.00M,,,,106.00M,98.89M,299.40M,115.40M,184.00M,,0.48,0.00,,,0.4477,0.48,,0.47,0.00,,,0.4377,0.47,,220.40M,220.40M,0.1375,,,
1996-12,1.121B,1.121B,692.70M,428.20M,,241.50M,26.70M,9.40M,,,,-9.40M,258.80M,169.40M,,,28.10M,,148.20M,48.30M,99.90M,,,,99.90M,93.56M,277.50M,108.10M,169.40M,,0.45,0.00,,,0.4213,0.45,,0.44,0.00,,,0.4113,0.44,,220.60M,220.60M,0.1375,,,
1996-09,1.050B,1.050B,535.60M,514.80M,,241.00M,30.30M,35.60M,,,,,380.20M,134.60M,,,35.60M,,134.70M,40.60M,94.10M,,,,94.10M,69.23M,243.50M,108.90M,134.60M,,0.42,0.00,,,0.3090,0.42,,0.39,0.00,,,0.2858,0.39,,224.03M,238.71M,0.1375,,,
1996-06,997.30M,997.30M,491.50M,505.80M,,228.00M,28.10M,29.10M,,,,,359.10M,146.70M,,,29.10M,,142.00M,44.00M,98.00M,,,,98.00M,77.92M,249.90M,103.20M,146.70M,,0.44,0.00,,,0.3498,0.44,,0.44,0.00,,,0.3498,0.44,,222.73M,222.73M,0.1375,,,
1996-03,1.013B,1.013B,609.00M,404.00M,,231.00M,29.00M,71.00M,,,,-4.00M,256.00M,148.00M,,,89.00M,,202.00M,67.00M,135.00M,,,,135.00M,87.55M,249.00M,101.00M,148.00M,,0.61,0.00,,,0.3982,0.61,,0.61,0.00,,,0.3982,0.61,,224.00M,224.00M,0.13,,,
1995-12,947.00M,947.00M,560.00M,387.00M,,220.00M,27.00M,4.00M,,,,-4.00M,243.00M,144.00M,,,20.00M,,131.00M,42.00M,89.00M,,,,89.00M,86.28M,243.00M,99.00M,144.00M,,0.40,0.00,,,0.3879,0.40,,0.40,0.00,,,0.3879,0.40,,224.00M,224.00M,0.13,,,
1995-09,979.20M,979.20M,204.20M,775.00M,,231.30M,27.20M,60.40M,,,,,657.00M,118.00M,,,27.30M,,135.50M,42.70M,92.80M,,,,92.80M,51.43M,224.50M,106.50M,118.00M,,0.42,0.00,,,0.2315,0.42,,0.42,0.00,,,0.2315,0.42,,219.41M,219.41M,0.13,,,
1995-06,982.40M,982.40M,595.70M,386.70M,,216.90M,25.80M,16.70M,,,,-16.70M,226.00M,160.70M,,,31.90M,,151.70M,51.60M,100.10M,,,,100.10M,89.08M,253.40M,92.70M,160.70M,,0.45,0.00,,,0.4009,0.45,,0.45,0.00,,,0.4009,0.45,,224.40M,224.40M,0.13,,,
1995-03,982.90M,982.90M,590.90M,392.00M,,214.30M,26.30M,0.40M,,,,-0.40M,240.20M,151.80M,,,8.90M,,134.20M,45.60M,88.60M,,,,88.60M,88.34M,244.70M,92.90M,151.80M,,0.40,0.00,,,0.3988,0.40,,0.40,0.00,,,0.3988,0.40,,224.80M,224.80M,0.1225,,,
1994-12,920.80M,920.80M,544.00M,376.80M,,206.20M,23.90M,-0.80M,,,,0.80M,230.90M,145.90M,,,8.60M,,131.40M,44.70M,86.70M,,,,86.70M,87.23M,236.00M,90.10M,145.90M,,0.39,0.00,,,0.3923,0.39,,0.39,0.00,,,0.3923,0.39,,226.00M,226.00M,0.1225,,,
1994-09,931.00M,931.00M,577.70M,353.30M,,200.70M,26.90M,5.70M,,,,-5.70M,221.90M,131.40M,,,12.80M,,116.30M,37.20M,79.10M,,0.00,,79.10M,75.22M,227.50M,96.10M,131.40M,,0.35,0.00,0.00,,0.3329,0.35,,0.33,0.00,0.0001,,0.3129,0.33,,226.60M,226.60M,0.1225,,,
1994-06,868.40M,868.40M,516.60M,351.80M,,205.40M,24.40M,-21.80M,,,,10.50M,240.30M,111.50M,,,-12.30M,,88.00M,22.20M,65.80M,,,,65.80M,82.10M,198.60M,87.10M,111.50M,,0.29,0.00,,,0.3617,0.29,,0.29,0.00,,,0.3617,0.29,,227.40M,227.40M,0.1225,,,
1994-03,858.60M,858.60M,518.20M,340.40M,,193.40M,23.80M,-97.20M,,,,0.80M,218.00M,122.40M,,,-91.60M,,13.70M,0.20M,13.50M,,,,13.50M,109.28M,207.00M,84.60M,122.40M,,0.06,0.00,,,0.4801,0.06,,0.06,0.00,,,0.4801,0.06,,228.00M,228.00M,0.115,,,
1993-12,827.30M,827.30M,499.00M,328.30M,,189.30M,22.30M,4.10M,,,,-4.10M,207.50M,120.80M,,,10.40M,,107.30M,32.20M,75.10M,,14.30M,,89.40M,72.23M,205.80M,85.00M,120.80M,,0.33,0.06,0.00,,0.3174,0.39,,0.33,0.06,0.0626,,0.3174,0.39,,228.40M,228.40M,0.115,,,
1993-09,855.50M,855.50M,448.90M,406.60M,,338.60M,,13.60M,,,,,427.10M,-20.50M,,,13.60M,,-26.90M,-12.70M,-14.20M,,,,-14.20M,-22.36M,68.00M,88.50M,-20.50M,,-0.07,0.00,,,-0.1049,-0.07,,-0.08,0.00,,,-0.1134,-0.08,,233.92M,244.42M,0.115,,,
1993-06,824.80M,824.80M,414.90M,409.90M,,209.90M,,14.60M,,,,,296.60M,113.30M,,,14.60M,,109.70M,38.90M,70.80M,,,,70.80M,61.38M,200.00M,86.70M,113.30M,,0.31,0.00,,,0.2687,0.31,,0.31,0.00,,,0.2687,0.31,,228.39M,228.39M,0.115,,,
1993-03,833.90M,833.90M,411.40M,422.50M,,204.60M,,4.00M,,,,,289.20M,133.30M,,,4.00M,,115.70M,40.40M,75.30M,,,,75.30M,72.70M,217.90M,84.60M,133.30M,,0.33,0.00,,,0.3186,0.33,,0.33,0.00,,,0.3186,0.33,,228.18M,228.18M,0.1075,,,
1992-12,813.50M,813.50M,409.00M,404.50M,,203.20M,,8.40M,,,,,289.10M,115.40M,,,8.40M,,102.30M,33.30M,69.00M,,,,69.00M,63.33M,201.30M,85.90M,115.40M,,0.31,0.00,,,0.2845,0.31,,0.31,0.00,,,0.2845,0.31,,222.58M,222.58M,0.1075,,,
1992-09,838.80M,838.80M,425.40M,413.40M,,214.00M,,15.30M,,,,,305.20M,108.20M,,,15.30M,,101.70M,30.60M,71.10M,,,,71.10M,60.40M,199.40M,91.20M,108.20M,,0.32,0.00,,-0.0002,0.2718,0.32,,0.29,0.00,,-0.0002,0.2463,0.29,,221.86M,245.02M,0.1075,,,
1992-06,824.70M,824.70M,419.40M,405.30M,,201.60M,,3.80M,,,,,286.40M,118.90M,,,3.80M,,100.80M,32.40M,68.40M,,,,68.40M,65.82M,203.70M,84.80M,118.90M,,0.30,0.00,,,0.2887,0.30,,0.30,0.00,,,0.2887,0.30,,228.00M,228.00M,0.1075,,,
1992-03,793.30M,793.30M,385.10M,408.20M,,199.70M,,6.80M,,,,,282.50M,125.70M,,,6.80M,,109.50M,36.20M,73.30M,,,,67.30M,68.75M,208.50M,82.80M,125.70M,,0.33,-0.03,,-0.0267,0.3097,0.30,,0.33,-0.03,,-0.0267,0.3097,0.30,,224.33M,224.33M,0.10,,,
1991-12,760.50M,760.50M,366.60M,393.90M,,193.60M,,-1.30M,,,,,275.00M,118.90M,,,-1.30M,,95.00M,30.80M,64.20M,,,,64.20M,65.08M,200.30M,81.40M,118.90M,,0.29,0.00,,,0.2940,0.29,,0.29,0.00,,,0.2940,0.29,,221.38M,221.38M,0.0975,,,
1991-09,738.40M,738.40M,355.80M,382.60M,,199.30M,,3.00M,,,,,281.40M,101.20M,,,3.00M,,82.60M,24.20M,58.40M,,,,58.40M,56.28M,183.30M,82.10M,101.20M,,0.25,0.00,,,0.2409,0.25,,0.23,0.00,,,0.2215,0.23,,232.40M,248.86M,0.0975,,,
1991-06,713.40M,713.40M,346.40M,367.00M,,188.10M,,14.90M,,,,,266.90M,100.10M,,,14.90M,,93.00M,28.90M,64.10M,,,,64.10M,53.83M,178.90M,78.80M,100.10M,,0.29,0.00,,,0.2435,0.29,,0.29,0.00,,,0.2435,0.29,,221.03M,221.03M,0.0975,,,
1991-03,754.70M,754.70M,378.00M,376.70M,,192.10M,,14.80M,,,,,272.50M,104.20M,,,14.80M,,97.70M,31.90M,65.80M,,,,65.80M,55.83M,184.60M,80.40M,104.20M,,0.30,0.00,,,0.2546,0.30,,0.30,0.00,,,0.2546,0.30,,219.33M,219.33M,0.09,,,
1990-12,724.60M,724.60M,355.70M,368.90M,,187.10M,,7.90M,,,,,264.90M,104.00M,,,7.90M,,89.30M,28.70M,60.60M,,,,60.60M,55.24M,181.80M,77.80M,104.00M,,0.28,0.00,,,0.2552,0.28,,0.28,0.00,,,0.2552,0.28,,216.43M,216.43M,0.09,,,
1990-09,816.30M,816.30M,442.30M,374.00M,,192.80M,,10.20M,,,,,270.40M,103.60M,,,10.20M,,91.40M,28.30M,63.10M,,,,63.10M,56.06M,181.20M,77.60M,103.60M,,0.28,0.00,,,0.2488,0.28,,0.26,0.00,,,0.2310,0.26,,225.81M,243.15M,0.09,,,
1990-06,712.80M,712.80M,349.30M,363.50M,,184.50M,,6.90M,,,,,263.10M,100.40M,,,6.90M,,84.90M,28.10M,56.80M,,,,56.80M,52.18M,179.00M,78.60M,100.40M,,0.26,0.00,,,0.2389,0.26,,0.26,0.00,,,0.2389,0.26,,218.46M,218.46M,0.09,,,
1990-03,713.10M,713.10M,359.30M,353.80M,,182.30M,,12.50M,,,,,256.20M,97.60M,,,12.50M,,87.60M,27.00M,60.60M,,,,60.60M,51.95M,171.50M,73.90M,97.60M,,0.28,0.00,,,0.2400,0.28,,0.28,0.00,,,0.2400,0.28,,216.43M,216.43M,0.0825,,,
1989-12,652.50M,652.50M,321.00M,331.50M,,170.90M,,5.70M,,,,,244.00M,87.50M,,,5.70M,,72.90M,23.50M,49.40M,,,,49.40M,45.54M,160.60M,73.10M,87.50M,,0.23,0.00,,,0.2120,0.23,,0.23,0.00,,,0.2120,0.23,,214.78M,214.78M,0.0825,,,
1989-09,668.60M,668.60M,339.20M,329.40M,,176.60M,,8.10M,,,,,248.10M,81.30M,,,8.10M,,69.80M,18.80M,51.00M,,,,51.00M,45.08M,152.80M,71.50M,81.30M,,0.23,0.00,,,0.2033,0.23,,0.21,0.00,,,0.1853,0.21,,221.53M,239.30M,0.0825,,,
1989-06,663.70M,663.70M,335.30M,328.40M,,170.80M,,11.30M,,,,,245.30M,83.10M,,,11.30M,,75.60M,22.20M,53.40M,,,,53.40M,45.42M,157.60M,74.50M,83.10M,,0.25,0.00,,,0.2126,0.25,,0.25,0.00,,,0.2126,0.25,,213.60M,213.60M,0.0825,,,
1989-03,668.90M,668.90M,,,,,,,,,,,,668.90M,,,,,,,56.60M,,,,56.60M,,668.90M,,668.90M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,219.70M,219.70M,0.075,,,
1988-12,640.60M,640.60M,,,,,,,,,,,,640.60M,,,,,,,61.10M,,,,61.10M,,640.60M,,640.60M,,0.28,0.00,,,0.28,0.28,,0.28,0.00,,,0.28,0.28,,219.56M,219.56M,0.075,,,
1988-09,622.00M,622.00M,,,,,,,,,,,,-1.447B,,,,,,,50.30M,,,,50.30M,,-1.447B,,-1.447B,,,,,,,,,,,,,,,,219.42M,219.42M,0.075,,,
1988-06,605.10M,605.10M,,,,,,,,,,,,605.10M,,,,,,,52.30M,,,,52.30M,,605.10M,,605.10M,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,219.41M,219.41M,0.075,,,
1988-03,618.90M,618.90M,,,,,,,,,,,,618.90M,,,,,,,55.70M,,,,55.70M,,618.90M,,618.90M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,219.37M,219.37M,0.0625,,,
1987-12,585.90M,585.90M,,,,,,,,,,,,585.90M,,,,,,,55.40M,,,,55.40M,,585.90M,,585.90M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,220.00M,220.00M,0.0625,,,
1987-09,543.60M,543.60M,,,,,,,,,,,,-1.279B,,,,,,,39.10M,,,,39.10M,,-1.279B,,-1.279B,,,,,,,,,,,,,,,,221.96M,221.96M,0.0625,,,
1987-06,527.80M,527.80M,,,,,,,,,,,,527.80M,,,,,,,44.10M,,,,44.10M,,527.80M,,527.80M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.20,,224.67M,224.67M,0.0625,,,
1987-03,527.10M,527.10M,,,,,,,,,,,,527.10M,,,,,,,41.10M,,,,41.10M,,527.10M,,527.10M,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,229.12M,229.12M,0.05,,,
1986-12,533.70M,533.70M,,,,,,,,,,,,533.70M,,,,,,,35.40M,,,,35.40M,,533.70M,,533.70M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,236.28M,236.28M,0.05,,,
1986-09,502.50M,502.50M,,,,,,,,,,,,-1.223B,,,,,,,9.80M,,,,9.80M,,-1.223B,,-1.223B,,,,,,,,,,,,,,,,229.12M,229.12M,0.05,,,
1986-06,494.90M,494.90M,,,,,,,,,,,,494.90M,,,,,,,-78.60M,,,,-78.60M,,494.90M,,494.90M,,-0.34,0.00,,,-0.34,-0.34,,-0.34,0.00,,,-0.34,-0.34,,236.28M,236.28M,0.05,,,
1986-03,508.90M,508.90M,,,,,,,,,,,,508.90M,,,,,,,39.10M,,,,39.10M,,508.90M,,508.90M,,0.17,0.00,,,0.17,0.17,,0.17,0.00,,,0.17,0.17,,236.28M,236.28M,0.0463,,,
1985-12,475.90M,475.90M,,,,,,,,,,,,475.90M,,,,,,,34.40M,,,,34.40M,,475.90M,,475.90M,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,235.25M,235.25M,0.0463,,,
1985-09,476.40M,476.40M,,,,,,,,,,,,-1.110B,,,,,,,38.10M,,,,38.10M,,-1.110B,,-1.110B,,,,,,,,,,,,,,,,249.46M,249.46M,,,,
1985-06,460.00M,460.00M,,,,,,,,,,,,460.00M,,,,,,,37.70M,,,,37.70M,,460.00M,,460.00M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,241.38M,241.38M,,,,
1985-03,457.70M,457.70M,,,,,,,,,,,,457.70M,,,,,,,35.50M,,,,35.50M,,457.70M,,457.70M,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,244.64M,244.64M,,,,
1984-12,435.50M,435.50M,,,,,,,,,,,,435.50M,,,,,,,32.10M,,,,32.10M,,435.50M,,435.50M,,0.14,0.00,,,0.14,0.14,,0.14,0.00,,,0.14,0.14,,246.50M,246.50M,,,,
1984-09,418.20M,418.20M,,,,,,,,,,,,-1.066B,,,,,,,31.70M,,,,31.70M,,-1.066B,,-1.066B,,,,,,,,,,,,,,,,246.33M,246.33M,,,,
1984-06,448.90M,448.90M,,,,,,,,,,,,448.90M,,,,,,,38.20M,,,,38.20M,,448.90M,,448.90M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,246.50M,246.50M,,,,
1984-03,452.10M,452.10M,,,,,,,,,,,,452.10M,,,,,,,36.60M,,,,36.60M,,452.10M,,452.10M,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,246.50M,246.50M,,,,
