,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,3.458B,3.458B,2.566B,892.26M,,169.78M,169.78M,,,-0.179M,2.957M,9.317M,6.36M,,362.75M,529.51M,9.317M,2.957M,6.36M,-34.81M,6.36M,501.06M,115.74M,385.32M,,367.56M,395.80M,696.99M,192.97M,504.02M,0.7869,,,0.8472,0.7869,0.6972,,,,2018-03,468.48M,527.38M,,2018-03,AOR,Restated
2017-12,3.484B,3.484B,2.698B,786.40M,,189.25M,189.25M,,,-147.39M,3.363M,7.027M,3.664M,,381.19M,405.21M,7.027M,3.363M,3.664M,-89.60M,3.664M,319.27M,-1.082B,1.401B,,1.385B,1.440B,514.57M,191.94M,322.63M,2.976,,,3.094,2.976,2.656,,,,2017-12,460.89M,519.29M,,2017-12,AOR,Restated
2017-09,3.583B,3.583B,2.738B,845.33M,,186.95M,186.95M,,,0.00,4.37M,7.24M,2.87M,,396.28M,449.05M,7.24M,4.37M,2.87M,40.26M,2.87M,492.18M,176.92M,315.26M,,297.38M,271.92M,705.88M,209.32M,496.55M,0.6375,,,0.5831,0.6375,0.5678,,,,2017-09,468.08M,527.32M,,2017-09,AOR,Restated
2017-06,3.644B,3.644B,2.704B,939.28M,,179.81M,179.81M,,,-295.70M,26.27M,12.45M,-13.82M,,391.48M,547.80M,12.45M,26.27M,-13.82M,-292.53M,-13.82M,241.45M,182.69M,58.76M,,40.12M,216.04M,479.39M,211.67M,267.72M,0.0896,,,0.4657,0.0896,0.0896,,,,2017-06,467.86M,468.78M,,2017-06,AOR,Restated
2017-03,3.680B,3.680B,2.737B,942.98M,,131.04M,131.04M,,,,29.17M,14.29M,-14.88M,,335.66M,607.32M,14.29M,29.17M,-14.88M,4.745M,-14.88M,597.19M,207.11M,390.08M,,375.72M,374.23M,830.99M,204.63M,626.36M,0.8068,,,0.8036,0.8068,0.7570,,,,2017-03,467.25M,516.47M,,2017-03,AOR,Restated
2016-12,3.753B,3.753B,2.767B,986.20M,,162.10M,162.10M,,,-21.15M,29.32M,10.84M,-18.48M,,392.15M,594.05M,10.84M,29.32M,-18.48M,-18.51M,-18.48M,557.06M,189.25M,367.80M,,355.49M,367.46M,816.42M,230.05M,586.37M,0.7570,,,0.7826,0.7570,0.7172,,,,2016-12,466.96M,514.32M,,2016-12,AOR,Restated
2016-09,3.767B,3.767B,2.830B,937.37M,,190.71M,190.71M,,,0.00,19.71M,7.387M,-12.32M,,414.70M,522.66M,7.387M,19.71M,-12.32M,4.387M,-12.32M,514.73M,181.75M,332.98M,,318.45M,316.47M,758.43M,224.00M,534.44M,0.6773,,,0.6731,0.6773,0.6674,,,,2016-09,466.76M,494.92M,,2016-09,AOR,Restated
2016-06,3.865B,3.865B,2.803B,1.062B,,182.14M,182.14M,,,0.00,3.41M,8.989M,5.579M,,421.73M,640.28M,8.989M,3.41M,5.579M,45.38M,5.579M,691.24M,253.18M,438.06M,,424.10M,394.92M,934.23M,239.58M,694.65M,0.9064,,,0.8439,0.9064,0.9064,,,,2016-06,466.64M,467.48M,,2016-06,AOR,Restated
2016-03,3.827B,3.827B,2.815B,1.012B,,201.00M,201.00M,,,,0.705M,3.954M,3.249M,,428.57M,583.42M,3.954M,0.705M,3.249M,66.92M,3.249M,653.58M,241.64M,411.94M,,399.89M,357.69M,881.86M,227.57M,654.29M,0.8566,,,0.7661,0.8566,0.8566,,,,2016-03,466.21M,467.06M,,2016-03,AOR,Restated
2015-12,3.935B,3.935B,2.905B,1.030B,,196.86M,196.86M,,,,42.18M,4.143M,-38.04M,,398.92M,631.01M,4.143M,42.18M,-38.04M,-665.38M,-38.04M,-72.41M,-26.25M,-46.16M,,-70.01M,-67.34M,171.84M,202.06M,-30.22M,-0.1594,,,-0.1536,-0.1594,-0.1594,,,,2015-12,465.59M,466.83M,,2015-12,AOR,Restated
2015-09,3.734B,3.734B,2.853B,880.57M,,186.65M,186.65M,,,,142.83M,3.273M,-139.56M,,438.85M,441.72M,3.273M,142.83M,-139.56M,28.78M,-139.56M,330.94M,128.33M,202.61M,,196.48M,178.91M,725.97M,252.20M,473.78M,0.4183,,,0.3806,0.4183,0.4183,,,,2015-09,465.02M,466.54M,,2015-09,AOR,Restated
2015-06,3.832B,3.832B,2.859B,972.94M,,176.07M,176.07M,,,,152.75M,3.616M,-149.14M,,438.95M,533.99M,3.616M,152.75M,-149.14M,135.48M,-149.14M,520.33M,188.00M,332.33M,,324.42M,237.71M,935.97M,262.89M,673.08M,0.6972,,,0.5107,0.6972,0.6972,,,,2015-06,464.76M,466.47M,,2015-06,AOR,Restated
2015-03,3.724B,3.724B,2.795B,929.48M,,199.41M,199.41M,,,,156.31M,8.494M,-147.82M,,445.62M,483.86M,8.494M,156.31M,-147.82M,120.29M,-147.82M,456.33M,103.08M,353.25M,,351.48M,253.17M,858.86M,246.21M,612.65M,0.7570,,,0.5451,0.7570,0.7570,,,,2015-03,463.91M,465.88M,,2015-03,AOR,Restated
2014-12,3.682B,3.682B,2.633B,1.048B,,226.60M,226.60M,,,7.257M,139.04M,15.36M,-123.68M,,513.53M,534.90M,15.36M,139.04M,-123.68M,-16.90M,-123.68M,394.32M,-13.60M,407.92M,,409.93M,419.69M,820.29M,286.93M,533.36M,0.8865,,,0.9076,0.8865,0.8765,,,,2014-12,463.26M,465.93M,,2014-12,AOR,Restated
2014-09,3.679B,3.679B,2.825B,854.78M,,196.38M,196.38M,,,-7.257M,143.40M,14.11M,-129.30M,,466.27M,388.51M,14.11M,143.40M,-129.30M,-56.09M,-129.30M,203.12M,60.09M,143.04M,,145.52M,182.41M,616.42M,269.89M,346.53M,0.3187,,,0.3985,0.3187,0.3088,,,,2014-09,462.57M,465.03M,,2014-09,AOR,Restated
2014-06,3.688B,3.688B,2.772B,916.30M,,189.66M,189.66M,,,,152.77M,18.21M,-134.56M,,461.56M,454.74M,18.21M,152.77M,-134.56M,8.834M,-134.56M,329.02M,121.89M,207.13M,,213.31M,208.00M,753.68M,271.90M,481.79M,0.4582,,,0.4467,0.4582,0.4582,,,,2014-06,461.68M,464.43M,,2014-06,AOR,Restated
2014-03,3.594B,3.594B,2.696B,898.63M,,203.11M,203.11M,,,,175.99M,14.16M,-161.83M,,452.33M,446.30M,14.16M,175.99M,-161.83M,-5.189M,-161.83M,279.28M,108.46M,170.82M,,175.93M,176.86M,704.49M,249.22M,455.27M,0.3785,,,0.3805,0.3785,0.3785,,,,2014-03,460.23M,463.18M,,2014-03,AOR,Restated
2013-12,3.539B,3.539B,2.612B,926.95M,,209.82M,209.82M,,,0.00,179.30M,27.96M,-151.34M,,475.99M,450.96M,27.96M,179.30M,-151.34M,166.26M,-151.34M,465.88M,175.62M,290.25M,-7.097M,288.04M,189.65M,911.36M,266.18M,645.18M,0.6375,-0.0100,,0.4081,0.6275,0.6375,-0.0100,,,2013-12,459.87M,463.30M,,2013-12,AOR,Restated
2013-09,3.505B,3.505B,2.640B,864.86M,,191.43M,191.43M,,,0.00,189.38M,39.96M,-149.43M,,444.46M,420.39M,39.96M,189.38M,-149.43M,110.50M,-149.43M,381.46M,38.14M,343.32M,-32.33M,314.91M,247.87M,823.88M,253.04M,570.85M,0.7570,-0.0697,,0.5406,0.6873,0.7471,-0.0697,,,2013-09,459.18M,462.53M,,2013-09,AOR,Restated
2013-06,3.486B,3.486B,2.516B,969.63M,,202.20M,202.20M,,,-437.58M,214.78M,43.80M,-170.99M,,506.84M,462.79M,43.80M,214.78M,-170.99M,-340.88M,-170.99M,-49.08M,-40.36M,-8.72M,-6.354M,-11.05M,216.88M,470.35M,304.64M,165.70M,-0.0100,-0.0100,,0.4746,-0.0199,-0.0100,-0.0100,,,2013-06,457.25M,457.25M,,2013-06,AOR,Restated
2013-03,3.376B,3.376B,2.520B,855.06M,,173.27M,173.27M,,,,161.52M,37.15M,-124.36M,,403.44M,451.62M,37.15M,161.52M,-124.36M,11.40M,-124.36M,338.65M,126.42M,212.23M,-1.558M,215.60M,210.09M,730.34M,230.17M,500.17M,0.4781,0.00,,0.4626,0.4781,0.4781,-0.0100,,,2013-03,455.03M,457.99M,,2013-03,AOR,Restated
2012-12,2.504B,2.504B,2.105B,399.73M,,-312.16M,-312.16M,,,0.00,145.10M,37.49M,-107.61M,,-90.90M,490.62M,37.49M,145.10M,-107.61M,1.032M,-107.61M,384.05M,143.52M,240.53M,,209.11M,245.59M,750.41M,221.26M,529.15M,0.5379,,,0.5363,0.4582,0.5379,,,,2012-12,454.20M,456.43M,,2012-12,AOR,Restated
2012-09,3.523B,3.523B,2.500B,1.023B,,330.36M,330.36M,,,-730.46M,143.82M,34.30M,-109.51M,,565.77M,457.43M,34.30M,143.82M,-109.51M,-660.63M,-109.51M,-312.71M,-149.38M,-163.33M,,-158.46M,271.12M,66.51M,235.40M,-168.89M,-0.3486,,,0.6000,-0.3486,-0.3486,,,,2012-09,452.82M,452.82M,,2012-09,AOR,Restated
2012-06,3.572B,3.572B,2.477B,1.095B,,327.67M,327.67M,,,0.00,109.30M,20.20M,-89.10M,,626.79M,468.35M,20.20M,109.30M,-89.10M,-7.448M,-89.10M,371.81M,146.21M,225.60M,,225.73M,230.85M,780.23M,299.12M,481.11M,0.4980,,,0.5093,0.4980,0.4980,,,,2012-06,452.07M,454.87M,,2012-06,AOR,Restated
2012-03,3.582B,3.582B,2.425B,1.157B,,376.18M,376.18M,,,,138.01M,7.089M,-130.92M,,584.87M,572.41M,7.089M,138.01M,-130.92M,110.28M,-130.92M,551.77M,191.64M,360.13M,,360.31M,288.44M,898.48M,208.70M,689.78M,0.8068,,,0.6468,0.8068,0.7969,,,,2012-03,449.05M,451.66M,,2012-03,AOR,Restated
2011-12,2.657B,2.657B,2.070B,587.02M,,,-232.30M,,,-12.14M,138.62M,10.47M,-128.15M,,-15.99M,603.01M,10.47M,138.62M,-128.15M,-3.897M,-128.15M,470.96M,151.73M,319.23M,,312.65M,327.68M,825.89M,216.31M,609.58M,0.7072,-0.0100,,0.7256,0.6972,0.7072,-0.0199,,,2011-12,448.40M,449.80M,,2011-12,AOR,Restated
2011-09,3.603B,3.603B,2.366B,1.237B,,,382.62M,,,20.30M,155.60M,8.527M,-147.07M,,611.77M,624.84M,8.527M,155.60M,-147.07M,20.30M,-147.07M,498.06M,179.08M,318.98M,,319.10M,306.10M,882.81M,229.15M,653.66M,0.7172,0.00,,0.6881,0.7172,0.7072,0.00,,,2011-09,447.89M,449.50M,,2011-09,AOR,Restated
2011-06,3.590B,3.590B,2.286B,1.304B,,,325.26M,,,-43.52M,143.56M,8.601M,-134.96M,,562.31M,741.51M,8.601M,143.56M,-134.96M,-43.52M,-134.96M,563.02M,228.19M,334.84M,,334.76M,363.05M,943.64M,237.05M,706.59M,0.7471,0.00,,0.8103,0.7471,0.7471,0.00,,,2011-06,447.34M,449.06M,,2011-06,AOR,Restated
2011-03,3.224B,3.224B,2.071B,1.153B,,,161.78M,,,352.31M,120.18M,6.286M,-113.89M,,391.48M,761.79M,6.286M,120.18M,-113.89M,352.31M,-113.89M,881.09M,331.77M,549.33M,,549.39M,329.74M,1.231B,229.70M,1.001B,1.235,0.00,,0.7416,1.235,1.215,0.00,,,2011-03,445.11M,450.62M,,2011-03,AOR,Restated
2010-12,3.207B,3.207B,2.228B,978.42M,,,164.58M,,,-96.71M,118.52M,6.802M,-111.72M,,401.58M,576.84M,6.802M,118.52M,-111.72M,-65.72M,-111.72M,399.40M,147.55M,251.86M,,251.83M,312.81M,754.92M,237.00M,517.93M,0.5678,,,0.7048,0.5678,0.5578,,,,2010-12,444.84M,445.41M,,2010-12,AOR,Restated
2010-09,3.208B,3.208B,2.264B,944.04M,,,155.42M,,,-68.77M,108.62M,6.265M,-102.35M,,398.28M,545.75M,6.265M,108.62M,-102.35M,-68.77M,-102.35M,374.63M,129.65M,244.98M,,244.96M,289.93M,726.11M,242.86M,483.25M,0.5478,0.00,,0.6483,0.5478,0.5478,0.00,,,2010-09,447.42M,448.09M,,2010-09,AOR,Restated
2010-06,3.169B,3.169B,2.193B,975.98M,,,155.02M,,,-34.44M,114.69M,6.314M,-108.38M,,419.46M,556.52M,6.314M,114.69M,-108.38M,-34.44M,-108.38M,413.71M,156.72M,256.98M,,256.99M,278.38M,792.84M,264.45M,528.40M,0.5678,0.00,,0.6153,0.5678,0.5678,0.00,,,2010-06,449.75M,450.64M,,2010-06,AOR,Restated
2010-03,3.057B,3.057B,2.180B,877.65M,,,150.82M,,,-25.54M,112.95M,5.777M,-107.17M,,390.48M,487.17M,5.777M,112.95M,-107.17M,-25.54M,-107.17M,354.46M,123.55M,230.92M,,230.95M,247.58M,707.07M,239.66M,467.41M,0.5180,0.00,,0.5550,0.5180,0.5180,0.00,,,2010-03,448.50M,449.30M,,2010-03,AOR,Restated
2009-12,2.963B,2.963B,2.180B,782.86M,,,152.18M,,,-6.324M,114.50M,6.397M,-108.10M,,1.935B,-1.152B,6.397M,114.50M,-108.10M,-6.324M,-108.10M,273.21M,94.40M,178.81M,,178.88M,183.02M,630.75M,243.04M,387.71M,0.3984,0.00,,0.4076,0.3984,0.3984,0.00,,,2009-12,448.81M,451.22M,,2009-12,AOR,Restated
2009-09,2.892B,2.892B,2.180B,712.64M,,,157.65M,,,-133.84M,98.86M,7.591M,-91.27M,,386.04M,326.59M,7.591M,98.86M,-91.27M,-133.84M,-91.27M,101.48M,20.99M,80.49M,,80.56M,186.72M,428.73M,228.40M,200.34M,0.1793,0.00,,0.4160,0.1793,0.1793,0.00,,,2009-09,448.59M,449.20M,,2009-09,AOR,Restated
2009-06,2.904B,2.904B,2.043B,860.34M,,,155.88M,,,-240.74M,91.13M,11.26M,-79.87M,,401.18M,459.16M,11.26M,91.13M,-79.87M,-240.74M,-79.87M,138.56M,75.14M,63.42M,,63.42M,219.90M,474.99M,245.30M,229.69M,0.1394,0.00,,0.4883,0.1394,0.1394,0.00,,,2009-06,448.52M,449.19M,,2009-06,AOR,Restated
2009-03,2.905B,2.905B,332.70M,2.573B,,,136.91M,,,4.177M,83.94M,4.784M,-79.15M,,360.20M,2.212B,4.784M,83.94M,-79.15M,4.177M,-79.15M,499.59M,186.90M,312.68M,,312.68M,310.07M,806.82M,223.29M,583.52M,0.6972,0.00,,0.6914,0.6972,0.6972,0.00,,,2009-03,448.64M,449.80M,,2009-03,AOR,Restated
2008-12,2.921B,2.921B,2.043B,878.36M,,,131.93M,,,-44.13M,85.03M,7.135M,-77.90M,,365.90M,512.46M,7.135M,85.03M,-77.90M,-44.13M,-77.90M,390.44M,173.85M,216.58M,,216.58M,245.27M,709.44M,233.97M,475.47M,0.4781,0.00,,0.5420,0.4781,0.4781,0.00,,,2008-12,448.96M,459.59M,,2008-12,,Restated
2008-09,2.937B,2.937B,2.126B,811.07M,,,147.58M,,,-106.06M,101.80M,16.61M,-85.19M,,393.23M,417.84M,16.61M,101.80M,-85.19M,-106.06M,-85.19M,226.59M,134.70M,91.90M,,91.90M,160.83M,574.04M,245.65M,328.39M,0.1992,0.00,,0.3520,0.1992,0.1992,0.00,,,2008-09,451.20M,461.86M,,2008-09,,Restated
2008-06,2.915B,2.915B,1.911B,1.004B,,,134.99M,,,-11.50M,93.23M,13.37M,-79.86M,,383.24M,620.71M,13.37M,93.23M,-79.86M,-11.50M,-79.86M,529.35M,193.46M,335.88M,,335.88M,343.18M,870.83M,248.25M,622.58M,0.7471,0.00,,0.7632,0.7471,0.7271,0.00,,,2008-06,451.50M,462.67M,,2008-06,,Restated
2008-03,2.844B,2.844B,1.562B,1.282B,63.97M,440.51M,504.49M,,,-7.028M,,,,,776.85M,505.17M,,,,-7.028M,,422.43M,163.85M,258.58M,,258.58M,262.89M,777.54M,272.37M,505.17M,0.5777,0.00,,0.5873,0.5777,0.5678,0.00,,,2008-03,450.57M,462.03M,,2008-03,,
2007-12,2.891B,2.891B,1.968B,922.79M,,,172.64M,,,-65.61M,,,,,527.76M,395.04M,,,,-65.61M,,309.38M,134.35M,175.04M,,175.04M,217.68M,716.25M,321.21M,395.04M,0.3885,0.00,,0.4832,0.3885,0.3885,0.00,,,2007-12,449.97M,461.00M,,2007-12,,
2007-09,2.794B,2.794B,1.902B,892.07M,,,151.41M,335.05M,9.101M,-6.124M,,,,,495.56M,396.51M,,,,-6.124M,,331.21M,131.53M,199.68M,,199.68M,203.37M,740.66M,344.15M,396.51M,0.4482,0.00,,0.4564,0.4482,0.4383,0.00,,,2007-09,449.26M,458.35M,,2007-09,,
2007-06,2.760B,2.760B,1.491B,1.269B,46.62M,437.15M,483.77M,334.83M,9.102M,-16.14M,,,,,827.70M,441.65M,,,,-16.14M,,357.26M,133.06M,224.20M,,224.20M,234.33M,785.59M,339.07M,441.65M,0.4980,0.00,,0.5206,0.4980,0.4980,0.00,,,2007-06,448.98M,458.08M,,2007-06,,
2007-03,2.645B,2.645B,1.454B,1.191B,50.38M,480.02M,530.40M,,,-1.836M,,,,,850.52M,340.20M,,,,-1.836M,,252.29M,95.15M,157.14M,,157.14M,158.28M,665.18M,324.98M,340.20M,0.3486,0.00,,0.3512,0.3486,0.3486,0.00,,,2007-03,448.04M,457.01M,,2007-03,,
2006-12,2.578B,2.578B,1.822B,755.31M,,,142.92M,,,-21.26M,,,,4.292M,443.59M,311.72M,,,,-21.26M,,230.01M,77.42M,152.60M,,152.60M,166.70M,618.13M,306.40M,311.72M,0.3387,0.00,,0.3702,0.3387,0.3387,0.00,,,2006-12,447.30M,454.18M,,2006-12,,
2006-09,2.475B,2.475B,1.760B,715.07M,,,135.37M,287.28M,9.172M,-0.081M,,,,1.442M,433.26M,281.81M,,,,-0.081M,,204.26M,64.64M,139.62M,,139.62M,139.67M,578.26M,296.45M,281.81M,0.3088,0.00,,0.3089,0.3088,0.3088,0.00,,,2006-09,446.66M,448.16M,,2006-09,,
2006-06,2.466B,2.466B,1.356B,1.110B,53.45M,417.51M,470.96M,,,-25.50M,,,,14.24M,760.09M,349.64M,,,,-25.50M,,257.93M,89.15M,168.78M,,168.78M,185.46M,624.53M,273.11M,349.64M,0.3785,0.00,,0.4159,0.3785,0.3785,0.00,,,2006-06,446.35M,454.91M,,2006-06,,
2006-03,2.299B,2.299B,1.249B,1.050B,47.42M,407.95M,455.36M,,,-9.732M,,,,73.99M,775.93M,274.20M,,,,-9.732M,,230.82M,83.54M,147.28M,,147.28M,153.49M,522.54M,248.35M,274.20M,0.3287,0.00,,0.3426,0.3287,0.3287,0.00,,,2006-03,445.68M,447.37M,,2006-03,,
2005-12,2.199B,2.199B,1.601B,598.11M,,,113.89M,,,-5.255M,,,,,346.38M,251.74M,,,,-5.255M,,164.56M,31.93M,132.62M,,132.62M,136.86M,484.22M,226.37M,251.74M,0.2988,0.00,,0.3082,0.2988,0.2988,0.00,,,2005-12,450.17M,481.81M,,2005-12,,
2005-09,2.128B,2.128B,1.508B,620.37M,,,116.25M,203.06M,9.171M,7.342M,,,,,328.49M,291.88M,,,,7.342M,,217.87M,9.008M,208.86M,,208.86M,201.83M,507.08M,215.19M,291.88M,0.4582,0.00,,0.4427,0.4582,0.4582,0.00,,,2005-09,453.52M,485.70M,,2005-09,,
2005-06,2.095B,2.095B,1.458B,637.02M,,,113.24M,,,31.19M,,,,,303.62M,333.39M,,,,31.19M,,280.82M,-574.70M,855.53M,,855.53M,836.82M,525.37M,191.98M,333.39M,1.883,0.00,,1.841,1.883,1.783,0.00,,,2005-06,454.58M,486.82M,,2005-06,,
2005-03,2.024B,2.024B,1.154B,869.74M,31.20M,112.82M,144.03M,,,-129.50M,,,,266.40M,579.51M,290.23M,,,,-129.50M,,343.84M,26.32M,317.52M,,317.52M,437.12M,460.88M,170.65M,290.23M,0.6972,0.00,,0.9587,0.6972,0.6873,0.00,,,2005-03,457.39M,489.98M,,2005-03,,
2004-12,1.938B,1.938B,1.571B,366.87M,,,17.62M,,,-0.257M,,,,,164.67M,202.20M,,,,-0.257M,,70.99M,0.915M,70.08M,,70.08M,70.33M,352.26M,150.06M,202.20M,0.1494,0.00,,0.1500,0.1494,0.1494,0.00,,,2004-12,456.81M,459.86M,,2004-12,,
2004-09,1.863B,1.863B,1.402B,461.07M,30.35M,101.82M,132.17M,,,-1.516M,,,,,266.14M,194.92M,,,,-1.516M,,109.10M,6.839M,102.26M,,102.26M,103.68M,330.73M,135.81M,194.92M,0.2191,0.00,,0.2222,0.2191,0.2191,0.00,,,2004-09,456.35M,459.61M,,2004-09,,
2004-06,1.778B,1.778B,1.373B,405.11M,,,97.16M,,,-11.87M,,,,,221.09M,184.02M,,,,-11.87M,,90.12M,4.809M,85.32M,,85.32M,96.56M,309.88M,125.86M,184.02M,0.1793,0.00,,0.2032,0.1793,0.1793,0.00,,,2004-06,469.78M,473.37M,,2004-06,,
2004-03,1.580B,1.580B,1.027B,552.71M,29.75M,88.97M,118.72M,,,-211.05M,,,,211.22M,430.54M,122.17M,,,,-211.05M,,-43.84M,-0.954M,-42.89M,,-42.89M,163.58M,235.60M,113.44M,122.17M,-0.0896,0.00,,0.3398,-0.0896,-0.0896,0.00,,,2004-03,480.81M,480.81M,,2004-03,,
2003-12,1.513B,1.513B,-5.586M,1.519B,,,-37.76M,,,-1.294B,,,,,61.58M,1.457B,,,,-1.294B,,5.272M,2.592M,2.68M,,77.47M,779.36M,1.570B,112.42M,1.457B,0.00,0.00,,1.600,0.00,0.00,0.00,,,2003-12,485.37M,491.92M,,2003-12,,
2003-09,1.452B,1.452B,1.064B,388.19M,39.61M,87.70M,127.31M,,,0.071M,,,,,227.71M,160.48M,,,,0.071M,,38.51M,3.395M,35.12M,,35.12M,35.05M,266.46M,105.97M,160.48M,0.0697,0.00,,0.0696,0.0697,0.0697,0.00,,,2003-09,486.34M,490.65M,,2003-09,,
2003-06,1.415B,1.415B,962.48M,452.09M,39.92M,88.87M,128.80M,,,1.713M,,,,,229.10M,222.99M,,,,1.713M,,131.95M,3.157M,128.79M,,128.79M,127.12M,326.06M,103.07M,222.99M,0.2689,0.00,,0.2655,0.2689,0.2590,0.00,,,2003-06,485.28M,490.31M,,2003-06,,
