,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2003-12,2.68M,,,-37.21M,99.34M,13.07M,112.42M,112.42M,2.412M,,,,-10.72M,,,,42.47M,34.90M,-135.92M,-145.88M,,,2003-12,-80.13M,-80.13M,,,-500.24M,-57.76M,-638.13M,2003-12,,1.298B,1.376M,,-189.02M,,,,1.097B,,2003-12,382.46M,,1.291B,,1.376M,,,,,,,,
2003-09,35.12M,,,-1.141M,100.40M,5.575M,105.97M,105.97M,0.588M,,,,5.861M,,,,2.00M,24.38M,45.85M,72.23M,,,2003-09,-84.40M,-84.40M,,,-645.21M,9.357M,-720.25M,2003-09,,238.99M,19.06M,,19.06M,,,,258.06M,,2003-09,-243.57M,,908.40M,,19.06M,,,,,,,,
2003-06,128.79M,,,5.79M,100.30M,2.773M,103.07M,103.07M,-2.453M,,,,4.863M,,,,-51.33M,-2.872M,62.39M,8.188M,,,2003-06,-97.64M,-97.64M,,,-78.26M,8.845M,-167.06M,2003-06,,14.32M,-1.749M,,-1.749M,,,,12.57M,,2003-06,93.77M,,1.152B,,-1.749M,,,,,,,,
2003-03,57.92M,,,-4.091M,98.17M,5.263M,103.43M,103.43M,0.082M,,,,,,,,,,27.67M,27.67M,,,2003-03,-59.64M,-59.64M,,,-184.86M,8.075M,-236.43M,2003-03,,-375.20M,1.749M,,1.749M,,,,-373.45M,,2003-03,-424.88M,,1.058B,,1.749M,,,,,,,,
2002-12,-685.94M,,,13.27M,105.62M,3.059M,108.68M,108.68M,59.88M,,,,,,,,,,-96.34M,107.57M,,,2002-12,-79.73M,-79.73M,,,-390.11M,-11.44M,-481.28M,2002-12,,-2.894M,1.791M,,-1.064B,,,-0.792M,-1.068B,,2002-12,-1.945B,,1.483B,,1.791M,,,,,,,,
2002-09,-173.33M,,,181.03M,97.82M,2.964M,100.79M,100.79M,1.374M,,,,,,,,,,-13.44M,-13.44M,,,2002-09,-111.50M,-111.50M,,10.64M,441.03M,-20.22M,319.95M,2002-09,,-1.208M,0.928M,,0.928M,,,-0.824M,-1.104M,,2002-09,415.28M,,3.428B,,0.928M,,,,,,,,
2002-06,45.84M,,,16.23M,87.98M,2.946M,90.93M,90.93M,5.454M,,,,,,,,,,16.57M,16.57M,,,2002-06,-141.68M,-141.68M,,-10.64M,653.92M,12.98M,514.58M,2002-06,,-0.205M,4.522M,,4.522M,,,-0.144M,4.173M,,2002-06,693.77M,,3.013B,,4.522M,,,,,,,,
2002-03,-38.61M,,,52.76M,81.54M,2.937M,84.47M,84.47M,,,,,,,,,,,93.21M,93.21M,,,2002-03,-102.91M,-102.91M,,,-873.40M,-59.32M,-1.036B,2002-03,,-0.242M,1.486B,,1.486B,,,-0.077M,1.485B,,2002-03,641.55M,,2.319B,,1.486B,,,,,,,,
2001-12,-42.87M,,,92.83M,84.09M,2.597M,86.69M,86.69M,,,,,,,,,,,-148.84M,20.30M,,,2001-12,-144.04M,-144.04M,,,-152.20M,-19.26M,-315.50M,2001-12,,715.53M,1.986M,,1.986M,,,-84.70M,632.81M,,2001-12,474.26M,,1.678B,,1.986M,,,,,,,,
2001-09,-7.835M,,,12.70M,72.87M,2.836M,75.71M,75.71M,,,,,,,,,,,97.69M,97.69M,,,2001-09,-191.14M,-191.14M,,,-173.02M,-103.19M,-467.35M,2001-09,,-2.948M,3.10M,,3.10M,,,-0.003M,0.149M,,2001-09,-288.93M,,1.204B,,3.10M,,,,,,,,
2001-06,2.249M,,,22.88M,62.84M,1.878M,64.72M,64.72M,,,,,34.94M,,,,,,49.80M,49.80M,,,2001-06,-153.68M,-153.68M,,,-314.12M,4.277M,-463.52M,2001-06,,977.22M,3.346M,,3.346M,,,-0.159M,980.41M,,2001-06,691.48M,,1.493B,,3.346M,,,,,,,,
2001-03,-167.04M,,,119.58M,58.85M,1.878M,60.73M,60.73M,,,,,-34.94M,,,,,,1.348M,1.348M,,,2001-03,-148.60M,-148.60M,,,113.43M,2.423M,-32.75M,2001-03,,-3.984M,1.497M,,1.497M,,,-0.178M,-2.665M,,2001-03,-55.74M,,801.08M,,1.497M,,,,,,,,
2000-12,-172.33M,,,57.77M,58.68M,1.882M,60.56M,60.56M,,,,,-1.883M,,,21.66M,,,-34.79M,160.74M,,,2000-12,-144.74M,-144.74M,,,-286.14M,-57.07M,-487.95M,2000-12,,4.74M,1.164M,,1.164M,,,-8.197M,-2.293M,,2000-12,-385.39M,,856.82M,,1.164M,,,,,,,,
2000-09,-130.89M,,,9.089M,44.51M,1.556M,46.07M,46.07M,,,,,1.883M,,,5.586M,,,-17.97M,-12.38M,,,2000-09,-71.95M,-71.95M,,,20.08M,-89.89M,-141.76M,2000-09,,985.57M,1.319M,,1.319M,,,-2.836M,984.06M,,2000-09,756.06M,,1.242B,,1.319M,,,,,,,,
2000-06,-132.86M,,,13.96M,82.17M,3.068M,43.24M,43.24M,,,,,-0.99M,,,,,,43.93M,43.93M,,,2000-06,-77.81M,-77.81M,,,24.74M,-110.80M,-163.87M,2000-06,,-3.746M,6.933M,,6.933M,,,-0.239M,2.948M,,2000-06,-193.64M,,486.15M,,6.933M,,,,,,,,
2000-03,-185.13M,,,28.74M,,,41.99M,41.99M,,,,,0.99M,,,,,,8.831M,8.831M,,,2000-03,-36.90M,-36.90M,,,-80.78M,-0.694M,-118.38M,2000-03,,-4.236M,2.17M,,2.17M,,,-0.493M,-2.559M,,2000-03,-225.51M,,679.79M,,2.17M,,,,,,,,
1999-12,-219.90M,,,45.10M,,,35.40M,35.40M,,,,,-28.50M,,,,,174.90M,,176.00M,,,1999-12,-25.90M,-25.90M,,,-247.40M,73.10M,-200.20M,1999-12,,1.269B,1.90M,0.00,1.90M,,,-292.00M,978.70M,,1999-12,786.60M,,905.30M,,1.90M,,,0.00,,,,,
1999-09,-124.40M,,,-15.80M,,,28.70M,28.70M,,,,,-128.30M,,,,,101.40M,,101.40M,,,1999-09,-33.10M,-33.10M,,,-53.00M,69.00M,-17.10M,1999-09,,-5.30M,2.00M,0.00,2.00M,,,,-3.30M,,1999-09,-158.80M,,118.80M,,2.00M,,,0.00,,,,,
1999-06,-76.17M,,,22.98M,,,26.70M,26.70M,,,,,156.83M,,,,,,-63.91M,-63.91M,,,1999-06,-23.35M,-23.35M,,,172.18M,-78.07M,70.76M,1999-06,,-280.78M,3.475M,0.034M,3.509M,,,273.67M,-3.60M,,1999-06,133.60M,,277.50M,,3.475M,,,0.034M,,,,,
1999-03,-103.33M,,,8.615M,,,36.10M,36.10M,,,,,0.07M,,,,,,63.91M,63.91M,,,1999-03,-8.854M,-8.854M,,,15.42M,77.17M,83.74M,1999-03,,311.38M,1.525M,-90.93M,-89.41M,,,-273.67M,-51.70M,,1999-03,37.40M,,143.90M,,1.525M,,,-90.93M,,,,,
1998-12,-113.33M,,,6.409M,-59.08M,-108.32M,60.99M,60.99M,,,,,47.14M,,,,,,,,,,1998-12,-19.67M,-19.67M,,,-63.97M,-13.64M,-97.28M,1998-12,,-4.431M,1.248M,,1.248M,,,,-3.183M,,1998-12,-101.25M,,106.50M,,1.248M,,,,,,,,
1998-09,-51.97M,,,2.67M,21.90M,35.03M,56.93M,56.93M,,,,,-43.17M,,,,,,,,,,1998-09,-31.28M,-31.28M,,,-22.22M,40.88M,-12.62M,1998-09,,-3.902M,0.35M,,0.35M,,,,-3.552M,,1998-09,-51.72M,,207.86M,,0.35M,,,,,,,,
1998-06,-45.71M,,,4.982M,18.76M,34.47M,53.23M,53.23M,,,,,27.12M,,,,,,,,,,1998-06,-84.48M,-84.48M,,,23.40M,50.09M,-10.99M,1998-06,,-4.142M,1.032M,,1.032M,,,,-3.11M,,1998-06,25.52M,,259.57M,,1.032M,,,,,,,,
