,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2014-09,142.00M,,142.00M,1.218B,,2.216B,275.00M,,,125.00M,1.637B,4.498B,176.00M,,,40.09B,-8.071B,32.02B,,4.945B,245.00M,,437.00M,44.98B,49.48B,,1.455B,,191.00M,1.646B,,1.646B,,2.053B,2.053B,,2.053B,214.00M,214.00M,,1.936B,5.849B,2.96B,10.13B,,10.13B,6.762B,,8.987B,1.454B,947.00M,2.022B,,,30.87B,36.72B,,2.445B,8.314B,,,,,-23.00M,10.74B,,AOR,Restated
2014-06,190.00M,,190.00M,1.034B,,1.904B,277.00M,,,389.00M,1.698B,4.551B,154.00M,,,39.22B,-7.851B,31.36B,,4.942B,217.00M,,445.00M,44.31B,48.86B,,1.306B,,127.00M,1.433B,,1.433B,,2.153B,2.153B,,2.153B,209.00M,209.00M,,1.978B,5.773B,2.919B,9.926B,,9.926B,6.709B,,9.231B,1.327B,1.051B,2.022B,,,30.69B,36.46B,,2.434B,7.96B,,,,,-13.00M,10.38B,,AOR,Restated
2014-03,149.00M,,149.00M,725.00M,,1.301B,268.00M,,,369.00M,1.321B,3.52B,152.00M,,,38.58B,-7.767B,30.82B,,4.807B,240.00M,,653.00M,43.87B,47.39B,,1.116B,,423.00M,1.539B,,1.539B,,1.212B,1.212B,,1.212B,204.00M,204.00M,,1.602B,4.557B,3.471B,9.825B,,9.825B,7.437B,,9.533B,1.36B,985.00M,2.023B,,,30.83B,35.39B,,2.417B,7.573B,,,,,-11.00M,9.979B,,AOR,Restated
2013-12,146.00M,,146.00M,838.00M,,1.434B,256.00M,,,421.00M,933.00M,3.312B,150.00M,3.219B,,38.02B,-7.567B,30.46B,,4.701B,251.00M,,686.00M,43.33B,46.65B,,1.407B,,358.00M,1.765B,,1.765B,,810.00M,810.00M,,810.00M,201.00M,201.00M,,2.105B,4.881B,3.418B,9.825B,,9.825B,7.346B,,9.416B,1.378B,1.042B,1.753B,,,30.07B,34.96B,,2.403B,7.548B,,,,,-13.00M,9.938B,,AOR,Restated
2013-09,610.00M,,610.00M,1.174B,,1.972B,272.00M,41.00M,,,661.00M,3.603B,149.00M,,,37.70B,-7.891B,29.81B,,4.533B,207.00M,,531.00M,43.10B,46.70B,,1.24B,,103.00M,1.343B,102.00M,1.445B,,1.929B,1.929B,,1.929B,199.00M,358.00M,159.00M,1.657B,5.389B,3.371B,9.232B,,9.232B,6.652B,132.00M,8.901B,2.237B,1.137B,1.753B,,,29.87B,35.26B,,2.397B,7.371B,,,,,-79.00M,9.689B,,AOR,Restated
2013-06,148.00M,,148.00M,815.00M,,1.556B,267.00M,35.00M,,,925.00M,3.022B,144.00M,,,37.02B,-7.647B,29.38B,,4.377B,73.00M,,685.00M,42.00B,45.03B,,1.288B,,33.00M,1.321B,199.00M,1.52B,,1.653B,1.653B,,1.653B,199.00M,278.00M,79.00M,1.437B,4.888B,3.322B,8.83B,,8.83B,6.406B,134.00M,8.782B,2.234B,1.027B,1.753B,,,29.03B,33.92B,,2.388B,7.049B,,,,,-82.00M,9.355B,,AOR,Restated
2013-03,115.00M,,115.00M,797.00M,,1.20B,351.00M,36.00M,,,857.00M,2.67B,198.00M,,,38.53B,-7.788B,30.74B,,4.447B,81.00M,,694.00M,42.48B,45.16B,,1.10B,,134.00M,1.234B,126.00M,1.36B,,1.22B,1.22B,,1.22B,196.00M,370.00M,174.00M,1.329B,4.279B,2.824B,8.829B,,8.829B,6.392B,150.00M,8.82B,2.61B,1.014B,1.754B,,,29.57B,33.85B,,2.38B,7.262B,,,,,-87.00M,9.555B,,AOR,Restated
2012-12,170.00M,,170.00M,762.00M,,1.312B,340.00M,,,0.00,721.00M,2.672B,196.00M,4.271B,,37.82B,-7.547B,30.27B,,4.234B,85.00M,,708.00M,41.72B,44.39B,,1.423B,,61.00M,1.484B,,1.484B,,175.00M,175.00M,,175.00M,193.00M,257.00M,64.00M,1.828B,3.744B,2.782B,9.231B,,9.231B,6.231B,,8.679B,2.614B,939.00M,1.759B,,,29.46B,33.20B,,2.373B,7.146B,,,,,-87.00M,9.432B,,AOR,Restated
2012-09,1.08B,0.00,1.08B,1.167B,,1.954B,508.00M,36.00M,116.00M,231.00M,432.00M,4.494B,,,,42.85B,-8.994B,33.86B,,4.73B,117.00M,,1.669B,46.05B,50.54B,,1.257B,,105.00M,1.362B,207.00M,1.569B,,994.00M,994.00M,,994.00M,193.00M,193.00M,0.00,1.518B,4.274B,2.804B,13.71B,,13.71B,5.853B,149.00M,8.889B,2.884B,717.00M,1.997B,,,34.25B,38.52B,,0.00,7.806B,2.385B,,,,-168.00M,10.02B,,AOR,Restated
2012-06,1.175B,0.00,1.175B,864.00M,,1.59B,567.00M,91.00M,110.00M,,814.00M,4.438B,6.083B,,,41.94B,-8.701B,33.24B,,4.56B,111.00M,,1.612B,44.95B,49.39B,,1.14B,,32.00M,1.172B,227.00M,1.399B,,892.00M,892.00M,,892.00M,195.00M,195.00M,,1.737B,4.223B,2.771B,13.66B,,13.66B,5.551B,150.00M,8.341B,2.854B,558.00M,2.00B,,,33.22B,37.44B,,0.00,7.73B,2.371B,,,,-156.00M,9.945B,,AOR,Restated
2012-03,1.483B,0.00,1.483B,753.00M,,1.261B,579.00M,121.00M,187.00M,,994.00M,4.715B,,,,41.25B,-8.566B,32.68B,,4.596B,117.00M,,1.563B,44.67B,49.38B,,1.067B,,112.00M,1.179B,229.00M,1.408B,,404.00M,404.00M,,404.00M,195.00M,195.00M,,1.668B,3.675B,2.73B,14.13B,,14.13B,5.774B,141.00M,8.453B,2.882B,803.00M,1.617B,,,34.10B,37.78B,,0.00,7.783B,2.325B,,,,-118.00M,9.99B,,AOR,Restated
2011-12,169.00M,,169.00M,768.00M,,1.287B,350.00M,105.00M,,,567.00M,4.484B,188.00M,3.922B,,34.65B,-7.007B,27.64B,,3.805B,70.00M,,6.57B,43.56B,48.04B,,1.321B,,49.00M,1.37B,172.00M,1.542B,,429.00M,429.00M,,429.00M,199.00M,288.00M,89.00M,2.089B,4.348B,2.61B,8.834B,,8.834B,5.149B,138.00M,7.126B,2.715B,456.00M,1.031B,,,32.60B,36.95B,,2.36B,7.834B,,,,,-139.00M,10.06B,,AOR,Restated
2011-09,1.384B,0.00,1.384B,1.315B,,1.927B,592.00M,72.00M,15.00M,,661.00M,4.751B,7.662B,,,40.90B,-8.828B,32.07B,,4.193B,191.00M,,1.982B,42.92B,47.67B,,1.224B,,128.00M,1.352B,207.00M,1.559B,,611.00M,611.00M,,611.00M,203.00M,203.00M,,1.788B,4.161B,2.658B,13.01B,,13.01B,6.092B,133.00M,8.679B,2.293B,344.00M,1.031B,,,31.46B,35.63B,,0.00,8.793B,2.346B,,,,-124.00M,11.02B,,AOR,Restated
2011-06,945.00M,0.00,945.00M,1.105B,,1.637B,589.00M,356.00M,11.00M,,682.00M,4.337B,7.622B,,,39.96B,-8.495B,31.46B,,4.44B,242.00M,,1.906B,42.74B,47.08B,,1.11B,,33.00M,1.143B,225.00M,1.368B,,441.00M,441.00M,,441.00M,208.00M,208.00M,,1.865B,3.882B,2.616B,12.96B,,12.96B,5.951B,121.00M,8.219B,2.306B,580.00M,1.031B,,,31.44B,35.32B,,0.00,8.476B,2.347B,,,,-97.00M,10.73B,,AOR,Restated
