,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-03,2.564B,2.564B,1.601B,963.00M,,,66.00M,-36.00M,107.00M,170.00M,4.00M,-166.00M,-2.00M,567.00M,396.00M,4.00M,170.00M,-166.00M,-19.00M,-166.00M,211.00M,-31.00M,242.00M,,,6.00M,30.00M,248.00M,274.28M,860.00M,479.00M,381.00M,,0.67,0.00,,0.7506,0.67,,0.67,0.00,,0.7504,0.67,,326.00M,327.00M,0.605,,AOR,Restated
2017-12,3.22B,3.22B,1.944B,1.276B,,,,-686.00M,93.00M,166.00M,2.00M,-164.00M,-1.00M,598.00M,678.00M,2.00M,166.00M,-164.00M,-684.00M,-164.00M,-170.00M,364.00M,-534.00M,,,19.00M,30.00M,-515.00M,-103.40M,530.00M,534.00M,-4.00M,,-1.67,0.00,,-0.4074,-1.67,,-1.67,0.00,,-0.4074,-1.67,,326.00M,326.00M,0.605,,AOR,Restated
2017-09,3.672B,3.672B,2.504B,1.168B,,,0.00,36.00M,98.00M,162.00M,3.00M,-159.00M,-7.00M,615.00M,553.00M,3.00M,162.00M,-159.00M,38.00M,-159.00M,432.00M,-69.00M,501.00M,,,1.00M,32.00M,502.00M,480.40M,1.133B,539.00M,594.00M,,1.44,,,1.374,1.44,,1.43,,,1.364,1.43,,326.00M,328.00M,0.5425,,AOR,Restated
2017-06,2.965B,2.965B,1.881B,1.084B,,,16.00M,17.00M,86.00M,159.00M,1.00M,-158.00M,,598.00M,486.00M,1.00M,159.00M,-158.00M,7.00M,-158.00M,335.00M,26.00M,309.00M,,,,31.00M,309.00M,293.32M,1.016B,522.00M,494.00M,,0.85,0.00,,0.8019,0.85,,0.85,0.00,,0.8023,0.85,,326.00M,329.00M,0.5425,,AOR,Restated
2017-03,2.463B,2.463B,1.388B,1.075B,,,5.00M,26.00M,100.00M,152.00M,1.00M,-151.00M,,599.00M,476.00M,1.00M,152.00M,-151.00M,27.00M,-151.00M,352.00M,-40.00M,392.00M,,,1.00M,31.00M,393.00M,377.40M,1.024B,520.00M,504.00M,,1.11,0.00,,1.062,1.11,,1.10,0.00,,1.053,1.10,,326.00M,329.00M,0.5425,,AOR,Restated
2016-12,2.884B,2.884B,1.759B,1.125B,,,21.00M,5.00M,85.00M,150.00M,-1.00M,-151.00M,,567.00M,558.00M,-1.00M,150.00M,-151.00M,21.00M,-151.00M,428.00M,81.00M,347.00M,13.00M,,0.00,31.00M,360.00M,342.95M,1.101B,523.00M,578.00M,,1.02,0.04,,1.008,1.06,,1.01,0.04,,0.9977,1.05,,326.00M,330.00M,0.5425,,AOR,Restated
2016-09,3.767B,3.767B,2.459B,1.308B,,,0.00,28.00M,92.00M,147.00M,1.00M,-146.00M,,613.00M,695.00M,1.00M,147.00M,-146.00M,22.00M,-146.00M,571.00M,120.00M,451.00M,0.00,,1.00M,31.00M,452.00M,430.50M,1.268B,550.00M,718.00M,,1.29,0.00,,1.224,1.29,,1.27,0.00,,1.205,1.27,,326.00M,330.00M,0.48,,AOR,Restated
2016-06,2.777B,2.777B,1.785B,992.00M,,,21.00M,9.00M,85.00M,144.00M,2.00M,-142.00M,,590.00M,402.00M,2.00M,144.00M,-142.00M,-1.00M,-142.00M,259.00M,-51.00M,310.00M,-2.00M,,3.00M,31.00M,311.00M,307.60M,929.00M,526.00M,403.00M,,0.87,-0.01,,0.8534,0.86,,0.86,-0.01,,0.8436,0.85,,326.00M,330.00M,0.48,,AOR,Restated
2016-03,2.44B,2.44B,1.423B,1.017B,,,0.00,29.00M,92.00M,140.00M,0.00,-140.00M,,569.00M,448.00M,0.00,140.00M,-140.00M,25.00M,-140.00M,333.00M,28.00M,305.00M,1.00M,,5.00M,30.00M,311.00M,283.44M,972.00M,499.00M,473.00M,,0.86,0.00,,0.7785,0.86,,0.85,0.00,,0.7693,0.85,,326.00M,329.00M,0.48,,AOR,Restated
2015-12,2.341B,2.341B,1.449B,892.00M,,,5.00M,23.00M,81.00M,135.00M,0.00,-135.00M,,549.00M,343.00M,0.00,135.00M,-135.00M,36.00M,-135.00M,244.00M,291.00M,-47.00M,-8.00M,,5.00M,29.00M,-50.00M,-55.80M,869.00M,490.00M,379.00M,,-0.22,-0.02,,-0.2623,-0.24,,-0.22,-0.02,,-0.2619,-0.24,,326.00M,329.00M,0.48,,AOR,Restated
2015-09,3.763B,3.763B,2.565B,1.198B,,,0.00,26.00M,84.00M,138.00M,1.00M,-137.00M,,590.00M,608.00M,1.00M,138.00M,-137.00M,16.00M,-137.00M,487.00M,82.00M,405.00M,43.00M,,1.00M,28.00M,449.00M,384.37M,1.153B,528.00M,625.00M,,1.16,0.13,,1.094,1.29,,1.15,0.13,,1.084,1.28,,326.00M,328.00M,0.4175,,AOR,Restated
2015-06,2.908B,2.908B,1.821B,1.087B,,,0.00,28.00M,82.00M,138.00M,2.00M,-136.00M,,563.00M,524.00M,2.00M,138.00M,-136.00M,24.00M,-136.00M,412.00M,6.00M,406.00M,0.00,,1.00M,28.00M,407.00M,379.42M,1.052B,502.00M,550.00M,,1.16,0.00,,1.075,1.16,,1.15,0.00,,1.066,1.15,,326.00M,328.00M,0.4175,,AOR,Restated
2015-03,2.512B,2.512B,1.422B,1.09B,,,,31.00M,89.00M,143.00M,1.00M,-142.00M,,552.00M,538.00M,1.00M,143.00M,-142.00M,28.00M,-142.00M,424.00M,106.00M,318.00M,0.00,,9.00M,28.00M,327.00M,303.75M,1.052B,485.00M,567.00M,,0.92,0.00,,0.8487,0.92,,0.91,0.00,,0.8393,0.91,,326.00M,329.00M,0.4175,,AOR,Restated
2014-12,3.115B,3.115B,1.934B,1.181B,,,-71.00M,99.00M,87.00M,138.00M,-1.00M,-139.00M,,559.00M,622.00M,-1.00M,138.00M,-139.00M,82.00M,-139.00M,565.00M,159.00M,406.00M,39.00M,,3.00M,28.00M,448.00M,337.86M,1.206B,503.00M,703.00M,,1.17,0.12,,0.9518,1.29,,1.15,0.12,,0.9338,1.27,,326.00M,329.00M,0.4175,,AOR,Restated
2014-09,4.356B,4.356B,2.984B,1.372B,,,-3.00M,16.00M,77.00M,141.00M,1.00M,-140.00M,,501.00M,871.00M,1.00M,141.00M,-140.00M,13.00M,-140.00M,744.00M,220.00M,524.00M,-16.00M,,0.00,28.00M,508.00M,512.74M,1.333B,448.00M,885.00M,,1.52,-0.05,,1.485,1.47,,1.51,-0.05,,1.476,1.46,,326.00M,329.00M,0.355,,AOR,Restated
2014-06,3.016B,3.016B,1.954B,1.062B,,,0.00,41.00M,73.00M,139.00M,3.00M,-136.00M,,487.00M,575.00M,3.00M,139.00M,-136.00M,27.00M,-136.00M,466.00M,84.00M,382.00M,184.00M,,0.00,30.00M,566.00M,348.38M,1.037B,432.00M,605.00M,,1.08,0.56,,0.9769,1.64,,1.07,0.56,,0.9678,1.63,,326.00M,329.00M,0.355,,AOR,Restated
2014-03,2.926B,2.926B,1.869B,1.057B,,,231.00M,-211.00M,85.00M,141.00M,2.00M,-139.00M,,495.00M,562.00M,2.00M,141.00M,-139.00M,-218.00M,-139.00M,205.00M,-19.00M,224.00M,-22.00M,,0.00,26.00M,202.00M,361.15M,778.00M,432.00M,346.00M,,0.61,-0.07,,1.031,0.54,,0.61,-0.07,,1.027,0.54,,326.00M,329.00M,0.355,,AOR,Restated
2013-12,2.943B,2.943B,1.737B,1.206B,,,-4.00M,42.00M,,142.00M,2.00M,-140.00M,,707.00M,499.00M,2.00M,142.00M,-140.00M,-1.00M,-140.00M,358.00M,69.00M,289.00M,37.00M,,,25.00M,326.00M,255.09M,972.00M,472.00M,500.00M,,0.82,0.11,,0.7160,0.93,,0.80,0.11,,0.6969,0.91,,326.00M,329.00M,0.355,,AOR,Restated
2013-09,3.96B,3.96B,2.779B,1.181B,,,0.00,24.00M,,137.00M,2.00M,-135.00M,,392.00M,789.00M,2.00M,137.00M,-135.00M,11.00M,-135.00M,665.00M,177.00M,488.00M,-25.00M,,,25.00M,463.00M,470.38M,1.194B,392.00M,802.00M,,1.42,-0.08,,1.366,1.34,,1.41,-0.08,,1.356,1.34,,326.00M,328.00M,0.3375,,AOR,Restated
2013-06,3.046B,3.046B,2.124B,922.00M,,,575.00M,-550.00M,,133.00M,4.00M,-129.00M,,418.00M,504.00M,4.00M,133.00M,-129.00M,-559.00M,-129.00M,-184.00M,-102.00M,-82.00M,12.00M,,,24.00M,-70.00M,275.50M,367.00M,418.00M,-51.00M,,-0.33,0.04,,0.7666,-0.29,,-0.33,0.04,,0.7666,-0.29,,326.00M,326.00M,0.3375,,AOR,Restated
2013-03,2.632B,2.632B,1.726B,906.00M,,,0.00,28.00M,,131.00M,2.00M,-129.00M,,414.00M,492.00M,2.00M,131.00M,-129.00M,21.00M,-129.00M,384.00M,98.00M,286.00M,12.00M,,,27.00M,298.00M,265.14M,929.00M,414.00M,515.00M,,0.79,0.04,,0.7260,0.83,,0.78,0.04,,0.7166,0.82,,326.00M,329.00M,0.3375,,AOR,Restated
2012-12,3.06B,3.06B,1.587B,1.473B,,,37.00M,-5.00M,,131.00M,2.00M,-129.00M,,671.00M,802.00M,2.00M,131.00M,-129.00M,-16.00M,-129.00M,657.00M,-154.00M,811.00M,-1.326B,,,25.00M,-515.00M,814.25M,1.184B,396.00M,788.00M,,2.41,-4.06,,2.420,-1.65,,2.37,-4.06,,2.380,-1.65,,326.00M,336.00M,0.3375,,AOR,Restated
2012-09,3.734B,3.734B,2.688B,1.046B,,,-66.00M,95.00M,,131.00M,2.00M,-129.00M,,399.00M,647.00M,2.00M,131.00M,-129.00M,92.00M,-129.00M,610.00M,228.00M,382.00M,-167.00M,,,25.00M,215.00M,322.53M,1.157B,416.00M,741.00M,,1.09,-0.51,,0.9076,0.58,,1.09,-0.51,,0.9092,0.58,,326.00M,329.00M,0.325,,AOR,Restated
2012-06,2.653B,2.653B,1.834B,819.00M,,,-1.00M,35.00M,,134.00M,2.00M,-132.00M,,400.00M,419.00M,2.00M,134.00M,-132.00M,20.00M,-132.00M,307.00M,100.00M,207.00M,-109.00M,,-1.00M,23.00M,97.00M,182.41M,856.00M,415.00M,441.00M,,0.56,-0.33,,0.4876,0.23,,0.55,-0.33,,0.4794,0.22,,326.00M,334.00M,0.325,,AOR,Restated
2012-03,2.415B,2.415B,1.638B,777.00M,,,,27.00M,,126.00M,2.00M,-124.00M,,388.00M,389.00M,2.00M,126.00M,-124.00M,22.00M,-124.00M,287.00M,91.00M,196.00M,-84.00M,,,19.00M,112.00M,177.56M,820.00M,407.00M,413.00M,,0.54,-0.26,,0.4834,0.28,,0.54,-0.26,,0.4839,0.28,,326.00M,329.00M,0.325,,AOR,Restated
2011-12,1.251B,1.251B,3.981B,-2.73B,,,,31.00M,,-115.00M,-33.00M,82.00M,,-3.17B,440.00M,-33.00M,-115.00M,82.00M,-72.00M,82.00M,450.00M,198.00M,252.00M,-1.075B,,,,-780.00M,274.85M,490.00M,43.00M,335.00M,,0.73,-3.30,,0.6682,-2.57,,0.71,-3.30,,0.6488,-2.57,,326.00M,329.00M,0.325,,AOR,Restated
2011-09,3.822B,3.822B,1.536B,2.286B,,,,16.00M,,203.00M,4.00M,-199.00M,,1.501B,785.00M,4.00M,203.00M,-199.00M,72.00M,-199.00M,658.00M,232.00M,426.00M,15.00M,,-15.00M,,426.00M,400.64M,1.318B,457.00M,861.00M,,1.26,0.05,,1.228,1.31,,1.25,0.05,,1.219,1.30,,326.00M,329.00M,0.32,,AOR,Restated
2011-06,2.983B,2.983B,905.00M,2.078B,,,,21.00M,,203.00M,30.00M,-173.00M,,1.69B,388.00M,30.00M,203.00M,-173.00M,39.00M,-173.00M,254.00M,62.00M,192.00M,-1.00M,,-15.00M,,176.00M,161.13M,930.00M,473.00M,457.00M,,0.54,0.00,,0.4913,0.54,,0.54,0.00,,0.4918,0.54,,326.00M,329.00M,0.32,,AOR,Restated
2011-03,2.782B,2.782B,766.00M,2.016B,,,,28.00M,,196.00M,4.00M,-192.00M,,1.566B,450.00M,4.00M,196.00M,-192.00M,23.00M,-192.00M,281.00M,65.00M,216.00M,-2.00M,,-14.00M,,200.00M,180.48M,931.00M,454.00M,477.00M,,0.62,-0.01,,0.5540,0.61,,0.62,-0.01,,0.5544,0.61,,326.00M,328.00M,0.32,,AOR,Restated
2010-12,640.00M,656.00M,3.687B,-3.031B,,,,59.00M,,-78.00M,-17.00M,61.00M,,-3.133B,102.00M,-17.00M,-78.00M,61.00M,-70.00M,61.00M,93.00M,74.00M,19.00M,160.00M,,,,218.00M,19.65M,178.00M,163.00M,15.00M,,0.02,0.49,,-0.0976,0.51,,0.02,0.49,,-0.0955,0.51,,326.00M,332.00M,0.32,,AOR,Restated
2010-09,3.788B,3.788B,1.446B,2.342B,,,,21.00M,,175.00M,4.00M,-171.00M,,1.48B,862.00M,4.00M,175.00M,-171.00M,83.00M,-171.00M,774.00M,247.00M,527.00M,-4.00M,,-13.00M,,510.00M,499.70M,1.361B,412.00M,949.00M,,1.57,-0.01,,1.526,1.56,,1.57,-0.01,,1.526,1.56,,326.00M,328.00M,0.315,,AOR,Restated
2010-06,2.741B,2.741B,866.00M,1.875B,,,,20.00M,,175.00M,4.00M,-171.00M,,1.524B,351.00M,4.00M,175.00M,-171.00M,40.00M,-171.00M,220.00M,-136.00M,356.00M,1.00M,,-13.00M,,344.00M,330.00M,807.00M,412.00M,395.00M,,1.05,0.00,,1.010,1.05,,1.05,0.00,,1.010,1.05,,326.00M,327.00M,0.315,,AOR,Restated
2010-03,2.81B,2.81B,903.00M,1.907B,,3.00M,,26.00M,,168.00M,19.00M,-149.00M,,1.409B,498.00M,19.00M,168.00M,-149.00M,44.00M,-149.00M,393.00M,150.00M,243.00M,6.00M,,-13.00M,,236.00M,213.92M,954.00M,393.00M,561.00M,,0.70,0.02,,0.6507,0.72,,0.70,0.02,,0.6510,0.72,,326.00M,328.00M,0.315,,AOR,Restated
2009-12,3.051B,3.051B,993.00M,2.058B,,,,-866.00M,,176.00M,3.00M,-173.00M,,728.00M,1.33B,3.00M,176.00M,-173.00M,-858.00M,-173.00M,299.00M,71.00M,228.00M,-2.00M,,-14.00M,,212.00M,874.36M,1.062B,587.00M,475.00M,,0.66,-0.01,,2.686,0.65,,0.65,-0.01,,2.676,0.64,,326.00M,326.00M,0.315,,AOR,Restated
2009-09,3.664B,3.664B,1.438B,2.226B,,0.00,,58.00M,,187.00M,2.00M,-185.00M,1.093B,1.458B,768.00M,2.00M,187.00M,-185.00M,93.00M,-185.00M,676.00M,232.00M,444.00M,-1.00M,,-40.00M,,403.00M,365.91M,1.228B,365.00M,863.00M,,1.23,0.00,,1.113,1.23,,1.22,0.00,,1.104,1.22,,326.00M,329.00M,0.31,,AOR,Restated
2009-06,2.834B,2.834B,911.00M,1.923B,,866.00M,,13.00M,,182.00M,17.00M,-165.00M,1.074B,2.287B,-364.00M,17.00M,182.00M,-165.00M,19.00M,-165.00M,-510.00M,-524.00M,14.00M,-7.00M,,-23.00M,,-16.00M,-17.45M,19.00M,346.00M,-328.00M,,-0.03,-0.02,,-0.0559,-0.05,,-0.03,-0.02,,-0.0558,-0.05,,326.00M,327.00M,0.31,,AOR,Restated
2009-03,2.812B,2.812B,927.00M,1.885B,,,,20.00M,,187.00M,10.00M,-177.00M,990.00M,1.332B,553.00M,10.00M,187.00M,-177.00M,12.00M,-177.00M,388.00M,122.00M,266.00M,3.00M,,-19.00M,,250.00M,233.29M,917.00M,342.00M,575.00M,,0.75,0.01,,0.7079,0.76,,0.75,0.01,,0.7081,0.76,,326.00M,327.00M,0.31,,AOR,Restated
2008-12,3.536B,3.536B,1.156B,2.38B,,,,-46.00M,,,,,,1.885B,495.00M,,,,-15.00M,,386.00M,75.00M,311.00M,,,-56.00M,,178.00M,215.06M,1.066B,446.00M,620.00M,,0.66,0.00,,0.7737,0.66,,0.66,0.00,,0.7727,0.66,,326.00M,329.00M,0.31,,,Restated
2008-09,4.111B,4.111B,2.597B,1.514B,,,,-29.00M,,,,,288.00M,550.00M,964.00M,,,,-29.00M,,723.00M,277.00M,446.00M,6.00M,,-47.00M,13.00M,452.00M,463.89M,1.292B,328.00M,964.00M,,1.31,0.02,,1.365,1.33,,1.31,0.02,,1.365,1.33,,326.00M,328.00M,0.305,,,
2008-06,3.477B,3.477B,1.58B,1.897B,,-56.00M,,9.00M,,165.00M,22.00M,-143.00M,1.113B,1.391B,506.00M,22.00M,165.00M,-143.00M,18.00M,-143.00M,381.00M,83.00M,298.00M,-1.00M,,-36.00M,,261.00M,254.96M,880.00M,334.00M,546.00M,,0.79,0.00,,0.7684,0.79,,0.79,0.00,,0.7686,0.79,,326.00M,329.00M,0.305,,,Restated
2008-03,3.113B,3.113B,1.23B,1.883B,,,,13.00M,,171.00M,14.00M,-157.00M,944.00M,1.255B,628.00M,14.00M,171.00M,-157.00M,15.00M,-157.00M,486.00M,161.00M,325.00M,-5.00M,,-21.00M,,299.00M,295.31M,968.00M,311.00M,657.00M,,0.92,-0.01,,0.8933,0.91,,0.92,-0.01,,0.8936,0.91,,326.00M,329.00M,0.305,,,Restated
2007-12,2.966B,2.966B,1.254B,1.712B,,,,-41.00M,,,,,983.00M,1.227B,485.00M,,,,-41.00M,,276.00M,100.00M,176.00M,-3.00M,,-22.00M,13.00M,173.00M,202.14M,829.00M,344.00M,485.00M,,0.65,-0.01,,0.7302,0.64,,0.65,-0.01,,0.7290,0.64,,326.00M,331.00M,0.305,,,
2007-09,3.942B,3.942B,1.786B,2.156B,,,,64.00M,,,,,947.00M,1.257B,899.00M,,,,64.00M,,741.00M,263.00M,478.00M,-4.00M,,-69.00M,13.00M,474.00M,436.72M,1.239B,340.00M,899.00M,,1.41,-0.01,,1.283,1.40,,1.40,-0.01,,1.275,1.39,,326.00M,330.00M,0.29,,,
2007-06,3.047B,3.047B,,,,,,,,,,,,,3.047B,,,,,,,,91.00M,2.00M,,,,93.00M,91.00M,3.394B,347.00M,3.047B,,0.28,0.01,,0.28,0.29,,0.28,0.00,,0.28,0.28,,326.00M,330.00M,0.29,,,
2007-03,2.912B,2.912B,803.00M,2.109B,,,,23.00M,,,,,1.169B,1.482B,627.00M,,,,23.00M,,459.00M,129.00M,330.00M,3.00M,,-19.00M,,333.00M,313.46M,971.00M,344.00M,627.00M,,1.00,0.01,,0.9493,1.01,,0.99,0.01,,0.9399,1.00,,326.00M,330.00M,0.29,,,
2006-12,2.614B,2.614B,711.00M,1.903B,,,,-10.00M,,,,,1.253B,1.434B,469.00M,,,,-10.00M,,332.00M,66.00M,266.00M,22.00M,0.00,-16.00M,,288.00M,274.01M,754.00M,285.00M,469.00M,,0.79,0.07,0.00,0.8132,0.86,,0.79,0.07,-0.0000,0.8132,0.86,,345.25M,345.25M,0.29,,,
2006-09,3.802B,3.802B,1.522B,2.28B,,,,42.00M,56.00M,,,,968.00M,1.317B,963.00M,,,,42.00M,,770.00M,310.00M,460.00M,-2.00M,,-64.00M,,458.00M,434.80M,1.284B,321.00M,963.00M,,1.39,-0.01,,1.313,1.38,,1.39,-0.01,,1.314,1.38,,326.00M,330.00M,0.27,,,
2006-06,3.001B,3.001B,1.149B,1.852B,,,,21.00M,,,,,1.066B,1.405B,447.00M,,,,21.00M,,268.00M,95.00M,173.00M,4.00M,,-34.00M,,177.00M,159.44M,808.00M,361.00M,447.00M,,0.53,0.01,,0.4884,0.54,,0.53,0.01,,0.4889,0.54,,326.00M,330.00M,0.27,,,
2006-03,2.751B,2.751B,1.476B,1.275B,,,,22.00M,56.00M,,,,467.00M,815.00M,460.00M,,,,22.00M,,295.00M,111.00M,184.00M,73.00M,1.00M,-25.00M,,258.00M,170.28M,773.00M,313.00M,460.00M,,0.56,0.22,0.00,0.5179,0.78,,0.56,0.22,0.0030,0.5185,0.78,,326.00M,331.00M,0.27,,,
2005-12,2.974B,2.974B,1.49B,1.484B,,,,81.00M,50.00M,,,,132.00M,882.00M,602.00M,,,,81.00M,,489.00M,190.00M,299.00M,-25.00M,,-25.00M,,273.00M,249.47M,893.00M,291.00M,602.00M,,0.91,-0.08,,0.7581,0.83,,0.89,-0.08,,0.7422,0.82,,326.00M,335.00M,0.27,,,
2005-09,3.783B,3.783B,991.00M,2.792B,,,,19.00M,51.00M,,,,1.683B,2.004B,788.00M,,,,19.00M,,564.00M,129.00M,435.00M,27.00M,,-76.00M,,462.00M,420.35M,1.091B,303.00M,788.00M,,1.33,0.08,,1.285,1.41,,1.31,0.08,,1.266,1.39,,326.00M,332.00M,0.25,,,
2005-06,2.649B,2.649B,1.142B,1.507B,,,,26.00M,50.00M,,,,781.00M,1.098B,409.00M,,,,26.00M,,214.00M,34.00M,180.00M,21.00M,,-42.00M,,201.00M,158.13M,702.00M,293.00M,409.00M,,0.55,0.06,,0.4829,0.61,,0.55,0.06,,0.4839,0.61,,326.00M,331.00M,0.25,,,
2005-03,2.446B,2.446B,807.00M,1.639B,,,,69.00M,52.00M,,,,880.00M,1.191B,448.00M,,,,69.00M,,298.00M,104.00M,194.00M,7.00M,,-24.00M,,201.00M,149.08M,729.00M,281.00M,448.00M,,0.59,0.02,,0.4522,0.61,,0.5861,0.02,,0.4504,0.6073,,326.00M,331.00M,0.25,,,
