,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,5.654B,5.654B,4.763B,890.80M,168.20M,76.00M,,,5.90M,,18.70M,18.70M,250.10M,640.70M,18.70M,,18.70M,10.00M,18.70M,669.40M,157.30M,512.10M,,512.10M,504.45M,914.20M,273.50M,640.70M,1.45,,1.4280000000000002,1.45,1.45,,1.4280000000000002,1.45,352.50M,353.50M,0.25
2017-12,5.455B,5.455B,4.647B,807.60M,148.00M,70.60M,,,4.90M,,10.70M,10.70M,223.50M,584.10M,10.70M,,10.70M,9.50M,10.70M,604.30M,15.10M,589.20M,,589.20M,579.94M,877.30M,293.20M,584.10M,1.67,,1.6440000000000001,1.67,1.67,,1.6440000000000001,1.67,352.50M,353.20M,0.25
2017-09,5.060B,5.060B,4.280B,779.60M,144.90M,67.00M,,,4.70M,,9.80M,9.80M,216.60M,563.00M,9.80M,,9.80M,9.00M,9.80M,581.80M,179.10M,402.70M,,402.70M,396.47M,849.10M,286.10M,563.00M,1.14,,1.122,1.14,1.14,,1.122,1.14,351.90M,352.90M,0.25
2017-06,4.704B,4.704B,3.974B,730.00M,138.70M,66.10M,,,6.80M,,11.90M,11.90M,211.60M,518.40M,11.90M,,11.90M,8.70M,11.90M,539.00M,166.00M,373.00M,,373.00M,366.98M,787.40M,269.00M,518.40M,1.06,,1.043,1.06,1.06,,1.043,1.06,351.80M,352.70M,0.25
2017-03,4.238B,4.238B,3.605B,633.20M,140.20M,61.00M,,,5.90M,,14.00M,14.00M,207.10M,426.10M,14.00M,,14.00M,8.10M,14.00M,448.20M,137.90M,310.30M,,310.30M,304.69M,685.30M,259.20M,426.10M,0.88,,0.8641,0.88,0.88,,0.8641,0.88,351.60M,352.70M,0.24
2016-12,4.071B,4.071B,3.456B,614.20M,141.90M,67.60M,,0.00,3.90M,,11.10M,11.10M,213.40M,400.80M,11.10M,,11.10M,7.00M,11.10M,418.90M,130.10M,288.80M,,288.80M,283.97M,648.30M,247.50M,400.80M,0.82,,0.8063,0.82,0.82,,0.8063,0.82,351.10M,351.80M,0.24
2016-09,4.249B,4.249B,3.566B,683.10M,130.80M,59.20M,,,5.10M,,-1.60M,-1.60M,195.10M,488.00M,-1.60M,,-1.60M,8.50M,-1.60M,494.90M,148.70M,346.20M,,346.20M,340.25M,738.20M,250.20M,488.00M,0.99,,0.973,0.99,0.98,,0.9631,0.98,351.00M,351.80M,0.24
2016-06,4.413B,4.413B,3.678B,734.80M,135.30M,60.80M,,109.60M,6.00M,,-2.50M,-2.50M,202.10M,532.70M,-2.50M,,-2.50M,116.00M,-2.50M,646.20M,164.90M,481.30M,,481.30M,394.88M,785.60M,252.90M,532.70M,1.37,,1.124,1.37,1.37,,1.124,1.37,350.90M,351.60M,0.24
2016-03,4.30B,4.30B,3.595B,705.20M,134.80M,59.60M,,-942.60M,3.40M,,-0.10M,-0.10M,197.80M,507.40M,-0.10M,,-0.10M,-936.90M,-0.10M,-429.60M,165.00M,-594.60M,,-594.60M,-32.46M,749.90M,242.50M,507.40M,-1.69,,-0.0898,-1.69,-1.69,,-0.0898,-1.69,351.30M,351.30M,0.24
2015-12,4.355B,4.355B,3.644B,710.90M,145.40M,66.70M,,,3.70M,,-1.60M,-1.60M,215.80M,495.10M,-1.60M,,-1.60M,5.20M,-1.60M,498.70M,151.50M,347.20M,,347.20M,343.58M,722.90M,227.80M,495.10M,0.98,,0.9697,0.98,0.98,,0.9698,0.98,353.10M,354.10M,0.24
2015-09,4.847B,4.847B,4.033B,814.20M,131.00M,57.60M,,,2.40M,,-4.90M,-4.90M,191.00M,623.20M,-4.90M,,-4.90M,6.20M,-4.90M,624.50M,193.30M,431.20M,,431.20M,426.92M,854.10M,230.90M,623.20M,1.21,,1.198,1.21,1.21,,1.198,1.21,355.00M,355.90M,0.24
2015-06,5.080B,5.080B,4.237B,843.20M,132.10M,59.30M,,,3.60M,,-1.30M,-1.30M,195.00M,648.20M,-1.30M,,-1.30M,5.30M,-1.30M,652.20M,205.00M,447.20M,,447.20M,443.56M,875.50M,227.30M,648.20M,1.26,,1.25,1.26,1.26,,1.25,1.26,355.30M,356.30M,0.22
2015-03,4.833B,4.833B,4.080B,753.00M,133.00M,56.20M,,,2.70M,,-4.50M,-4.50M,191.90M,561.10M,-4.50M,,-4.50M,5.10M,-4.50M,561.70M,183.30M,378.40M,,378.40M,374.96M,782.20M,221.10M,561.10M,1.07,,1.06,1.07,1.06,,1.05,1.06,355.10M,356.10M,0.22
2014-12,5.119B,5.119B,4.340B,779.40M,140.10M,62.50M,,,2.90M,,-1.50M,-1.50M,205.50M,573.90M,-1.50M,,-1.50M,5.30M,-1.50M,577.70M,183.40M,394.30M,,394.30M,390.68M,814.00M,240.10M,573.90M,1.11,,1.1,1.11,1.11,,1.1,1.11,354.70M,355.80M,0.22
2014-09,4.928B,4.928B,4.186B,742.20M,136.70M,50.50M,,,4.80M,,-3.50M,-3.50M,192.00M,550.20M,-3.50M,,-3.50M,5.70M,-3.50M,552.40M,181.00M,371.40M,,371.40M,367.57M,780.30M,230.10M,550.20M,1.05,,1.0390000000000001,1.05,1.04,,1.0290000000000001,1.04,355.20M,356.30M,0.22
2014-06,4.570B,4.570B,3.902B,668.10M,139.60M,49.90M,,,4.00M,,0.90M,0.90M,193.50M,474.60M,0.90M,,0.90M,5.50M,0.90M,481.00M,161.80M,319.20M,,319.20M,315.55M,702.30M,227.70M,474.60M,0.9,,0.8897,0.9,0.9,,0.8898,0.9,355.10M,356.30M,0.22
2014-03,4.380B,4.380B,3.776B,603.50M,145.00M,52.70M,,,3.70M,,-1.40M,-1.40M,201.40M,402.10M,-1.40M,,-1.40M,5.80M,-1.40M,406.50M,132.60M,273.90M,,273.90M,269.99M,621.90M,219.80M,402.10M,0.77,,0.759,0.77,0.77,,0.759,0.77,354.90M,356.00M,0.2
2013-12,4.599B,4.599B,3.914B,685.00M,147.60M,60.90M,,,-2.50M,,-0.90M,-0.90M,206.00M,479.00M,-0.90M,,-0.90M,6.80M,-0.90M,484.90M,150.70M,334.20M,,334.20M,329.51M,701.00M,222.00M,479.00M,0.94,,0.9268,0.94,0.94,,0.9268,0.94,354.50M,355.80M,0.2
2013-09,4.300B,4.300B,3.669B,630.90M,134.70M,56.60M,,,3.60M,,-3.30M,-3.30M,194.90M,436.00M,-3.30M,,-3.30M,7.30M,-3.30M,440.00M,130.60M,309.40M,,309.40M,304.27M,642.40M,206.40M,436.00M,0.87,,0.8555,0.87,0.87,,0.8556,0.87,354.40M,355.40M,0.2
2013-06,4.300B,4.300B,3.673B,627.60M,136.00M,61.80M,,,5.30M,,0.40M,0.40M,203.10M,424.50M,0.40M,,0.40M,8.00M,0.40M,432.90M,141.30M,291.60M,,291.60M,286.21M,622.10M,197.60M,424.50M,0.82,,0.8048,0.82,0.82,,0.8048,0.82,354.10M,355.00M,0.2
2013-03,3.924B,3.924B,3.372B,552.00M,141.20M,72.10M,,,6.50M,,-1.50M,-1.50M,219.80M,332.20M,-1.50M,,-1.50M,6.50M,-1.50M,337.20M,101.10M,236.10M,,236.10M,231.55M,516.90M,184.70M,332.20M,0.67,,0.6571,0.67,0.67,,0.6572,0.67,354.00M,354.80M,0.2
2012-12,3.997B,3.997B,3.437B,559.70M,138.60M,66.40M,,,4.80M,,0.10M,0.10M,209.80M,349.90M,0.10M,,0.10M,8.20M,0.10M,358.20M,104.70M,253.50M,,253.50M,247.70M,528.40M,178.50M,349.90M,0.72,,0.7036,0.72,0.72,,0.7036,0.72,353.90M,354.30M,0.2
2012-09,3.820B,3.820B,3.276B,543.90M,136.50M,66.80M,,,2.70M,,-0.30M,-0.30M,206.00M,337.90M,-0.30M,,-0.30M,7.80M,-0.30M,345.40M,111.80M,233.60M,,233.60M,228.33M,514.10M,176.20M,337.90M,0.66,,0.6451,0.66,0.66,,0.6451,0.66,353.70M,354.30M,0.2
2012-06,4.457B,4.457B,3.792B,665.10M,146.60M,73.80M,,,5.00M,,-1.60M,-1.60M,225.40M,439.70M,-1.60M,,-1.60M,8.20M,-1.60M,446.30M,149.10M,297.20M,,297.20M,291.74M,615.30M,175.60M,439.70M,0.83,,0.8147,0.83,0.83,,0.8147,0.83,356.00M,356.80M,0.2
2012-03,4.776B,4.776B,4.078B,697.70M,149.90M,72.30M,,,7.50M,,2.10M,2.10M,229.70M,468.00M,2.10M,,2.10M,8.90M,2.10M,479.00M,151.70M,327.30M,,327.30M,321.22M,638.60M,170.60M,468.00M,0.92,,0.903,0.92,0.91,,0.893,0.91,357.00M,357.80M,0.18
2011-12,5.167B,5.167B,4.652B,515.30M,143.50M,72.30M,,,9.20M,,-324.10M,-179.80M,-127.90M,643.20M,-324.10M,,-179.80M,9.30M,-179.80M,472.70M,145.00M,327.70M,,327.70M,321.25M,469.00M,168.10M,300.90M,0.91,,0.892,0.91,0.91,,0.892,0.91,358.20M,359.00M,0.18
2011-09,4.151B,4.151B,3.484B,666.60M,137.10M,70.00M,123.00M,,10.70M,48.60M,106.50M,57.90M,340.80M,325.80M,106.50M,48.60M,57.90M,11.00M,57.90M,394.70M,113.10M,281.60M,,281.60M,273.75M,617.60M,174.30M,443.30M,0.78,0.0,0.7584,0.78,0.77,0.0,0.7485,0.77,363.30M,364.20M,0.18
2011-06,3.855B,3.855B,3.231B,624.20M,133.20M,77.50M,119.40M,,11.00M,46.10M,106.30M,60.20M,341.10M,283.10M,106.30M,46.10M,60.20M,9.90M,60.20M,353.20M,113.50M,239.70M,,239.70M,232.98M,568.30M,169.00M,399.30M,0.66,0.0,0.6416,0.66,0.65,0.0,0.6317,0.65,365.90M,367.20M,0.12
2011-03,3.182B,3.182B,2.632B,549.80M,133.10M,68.40M,110.50M,,10.50M,50.50M,101.50M,51.00M,322.50M,227.30M,101.50M,50.50M,51.00M,8.00M,51.00M,286.30M,93.00M,193.30M,,193.30M,187.90M,499.20M,162.40M,336.80M,0.53,0.0,0.5152,0.53,0.53,0.0,0.5153,0.53,365.80M,367.20M,0.12
2010-12,3.372B,3.372B,3.122B,250.90M,129.90M,65.40M,,,12.30M,,-326.10M,-153.60M,-134.80M,385.70M,-326.10M,,-153.60M,6.80M,-153.60M,238.90M,69.10M,169.80M,,169.80M,164.97M,209.40M,154.80M,54.60M,0.46,,0.4468,0.46,0.46,,0.4468,0.46,365.60M,367.10M,0.12
2010-09,2.441B,2.441B,2.019B,421.50M,116.20M,59.90M,110.20M,,12.90M,52.80M,101.80M,49.00M,299.20M,122.30M,101.80M,52.80M,49.00M,5.50M,49.00M,176.80M,56.90M,119.90M,,119.90M,116.17M,381.20M,151.60M,229.60M,0.33,0.0,0.3198,0.33,0.33,0.0,0.3198,0.33,364.90M,366.10M,0.09
2010-06,2.359B,2.359B,1.955B,404.20M,119.80M,58.40M,110.90M,,17.40M,58.40M,105.00M,46.60M,306.50M,97.70M,105.00M,58.40M,46.60M,4.30M,46.60M,148.60M,49.00M,99.60M,,99.60M,96.72M,358.40M,151.40M,207.00M,0.27,0.0,0.2621,0.27,0.27,0.0,0.2621,0.27,364.90M,366.00M,0.09
2010-03,2.121B,2.121B,1.768B,352.90M,115.60M,54.80M,121.30M,,18.40M,61.30M,110.00M,48.70M,310.10M,42.80M,110.00M,61.30M,48.70M,4.50M,48.70M,96.00M,27.70M,68.30M,,68.30M,65.10M,322.70M,165.40M,157.30M,0.19,0.0,0.1812,0.19,0.19,0.0,0.1812,0.19,364.60M,365.70M,0.09
2009-12,2.121B,2.121B,1.783B,337.70M,116.20M,50.70M,125.60M,0.00,10.10M,65.60M,-262.40M,-328.00M,302.60M,35.10M,-262.40M,65.60M,-328.00M,4.50M,-328.00M,93.70M,47.60M,46.10M,,46.10M,43.18M,323.80M,164.50M,159.30M,0.13,0.0,0.122,0.13,0.13,0.0,0.122,0.13,364.40M,365.80M,0.09
2009-09,1.888B,1.888B,1.646B,241.60M,108.50M,43.40M,120.00M,18.30M,26.60M,72.40M,224.70M,152.30M,298.50M,-56.90M,224.70M,72.40M,152.30M,23.20M,152.30M,16.80M,3.80M,13.00M,,13.00M,-4.952M,262.20M,173.00M,89.20M,0.04,0.0,-0.0093,0.04,0.04,0.0,-0.0092,0.04,363.80M,365.00M,0.09
2009-06,1.722B,1.722B,1.493B,229.10M,100.50M,52.80M,107.60M,47.70M,29.10M,90.80M,127.00M,36.20M,290.00M,-60.90M,127.00M,90.80M,36.20M,52.60M,36.20M,27.90M,1.40M,26.50M,,26.50M,-23.46M,278.10M,159.40M,118.70M,0.07,0.0,-0.0675,0.07,0.07,0.0,-0.0671,0.07,363.40M,364.40M,0.18
2009-03,1.854B,1.854B,1.561B,292.90M,109.70M,52.30M,102.90M,,25.00M,106.60M,132.20M,25.60M,289.90M,3.00M,132.20M,106.60M,25.60M,8.00M,25.60M,36.60M,10.30M,26.30M,,26.30M,20.55M,298.00M,154.80M,143.20M,0.07,0.0,0.0542,0.07,0.07,0.0,0.0542,0.07,363.10M,364.00M,0.18
2008-12,2.758B,2.758B,2.342B,416.40M,121.50M,80.10M,104.30M,0.00,26.90M,93.10M,160.20M,67.10M,332.80M,83.60M,160.20M,93.10M,67.10M,15.10M,67.10M,165.80M,52.70M,113.10M,,113.10M,102.80M,426.10M,167.20M,258.90M,0.31,0.0,0.2816,0.31,0.31,0.0,0.2817,0.31,363.00M,363.80M,0.18
2008-09,3.831B,3.831B,3.114B,717.20M,147.20M,88.10M,113.10M,0.00,34.20M,102.40M,174.20M,71.80M,382.60M,334.60M,174.20M,102.40M,71.80M,22.20M,71.80M,428.60M,129.60M,299.00M,,299.00M,283.51M,697.80M,166.80M,531.00M,0.82,0.0,0.7773,0.82,0.82,0.0,0.7775,0.82,363.00M,364.80M,0.18
2008-06,3.934B,3.934B,3.202B,731.50M,157.50M,90.70M,112.50M,0.00,24.40M,101.80M,178.80M,77.00M,385.10M,346.40M,178.80M,101.80M,77.00M,22.60M,77.00M,446.00M,132.50M,313.50M,,313.50M,297.61M,712.30M,164.50M,547.80M,0.86,0.0,0.8164,0.86,0.86,0.0,0.8167,0.86,364.50M,366.50M,0.18
2008-03,3.938B,3.938B,3.079B,859.10M,155.20M,82.90M,,24.70M,17.40M,,,-204.70M,255.50M,603.60M,,,-204.70M,24.70M,-204.70M,423.60M,131.30M,292.30M,,292.30M,275.26M,754.50M,150.90M,603.60M,0.8,0.0,0.7535,0.8,0.79,0.0,0.7437,0.79,366.50M,368.30M,0.18
2007-12,3.759B,3.759B,2.776B,983.80M,131.30M,,,-15.40M,,,,,386.80M,597.00M,,,,-15.40M,,371.40M,110.30M,261.10M,,261.10M,271.93M,745.50M,148.50M,597.00M,0.71,0.0,0.7394,0.71,0.71,0.0,0.7392,0.71,368.10M,370.30M,0.18
2007-09,3.762B,3.762B,2.998B,763.30M,161.00M,,,24.10M,,,,,161.00M,602.30M,,,,24.10M,,425.10M,122.80M,302.30M,,302.30M,285.16M,733.00M,130.70M,602.30M,0.82,0.0,0.7737,0.82,0.81,0.0,0.764,0.81,370.40M,372.60M,0.1667
2007-06,3.716B,3.716B,2.971B,745.50M,157.70M,,,23.70M,,,,,157.70M,587.80M,,,,23.70M,,430.10M,131.80M,298.30M,,298.30M,281.86M,717.00M,129.20M,587.80M,0.8,0.0,0.7559,0.8,0.79,0.0,0.7462,0.79,373.10M,375.30M,0.1667
2007-03,3.984B,3.984B,3.339B,645.60M,152.30M,,,22.00M,,,,,152.30M,493.30M,,,,22.00M,,537.70M,172.10M,365.60M,,365.60M,350.64M,611.30M,118.00M,493.30M,0.98,0.0,0.9399,0.98,0.9733,0.0,0.9335,0.9733,372.90M,375.15M,0.1333
2006-12,4.229B,4.229B,3.219B,1.010B,126.20M,,,-8.40M,,,,,289.30M,720.80M,,,,-8.40M,,556.00M,175.50M,380.50M,,380.50M,386.25M,834.00M,113.20M,720.80M,1.023,0.0,1.0390000000000001,1.023,1.0170000000000001,0.0,1.032,1.0170000000000001,373.60M,375.70M,0.1333
2006-09,4.205B,4.205B,3.365B,840.50M,142.20M,,,21.70M,,,,,142.20M,698.30M,,,,21.70M,,570.40M,166.80M,403.60M,,403.60M,388.25M,811.50M,113.20M,698.30M,1.08,0.0,1.0390000000000001,1.08,1.073,0.0,1.032,1.073,373.80M,375.75M,0.1333
2006-06,4.168B,4.168B,3.354B,814.10M,145.40M,,,18.60M,,,,,145.40M,668.70M,,,,18.60M,,548.20M,178.30M,369.90M,,369.90M,357.35M,776.70M,108.00M,668.70M,0.9867,0.0,0.9532,0.9867,0.9822,0.0,0.9489,0.9822,375.08M,377.10M,0.1333
2006-03,3.852B,3.852B,3.099B,752.80M,139.40M,,,15.60M,,,,,139.40M,613.40M,,,,15.60M,,500.70M,158.70M,342.00M,,342.00M,331.34M,713.60M,100.20M,613.40M,0.9067,0.0,0.8785,0.9067,0.9,0.0,0.872,0.9,378.45M,380.55M,0.1111
2005-12,3.635B,3.635B,2.814B,820.90M,105.10M,,,-23.40M,,,,,222.90M,598.00M,,,,-23.40M,,449.80M,136.90M,312.90M,,312.90M,329.18M,694.50M,96.50M,598.00M,0.82,0.0,0.8627,0.82,0.8133,0.0,0.8558,0.8133,381.45M,383.40M,0.1111
2005-09,3.541B,3.541B,2.842B,698.50M,138.80M,,,13.70M,,,,,138.80M,559.70M,,,,13.70M,,455.00M,150.20M,304.80M,,304.80M,295.62M,651.40M,91.70M,559.70M,0.7933,0.0,0.7694,0.7933,0.7867,0.0,0.7629,0.7867,383.85M,386.25M,0.0933
2005-06,3.555B,3.555B,2.876B,679.00M,136.00M,,,14.40M,,,,,136.00M,543.00M,,,,14.40M,,452.70M,211.20M,241.50M,,241.50M,232.86M,633.40M,90.40M,543.00M,0.6222,0.0,0.6,0.6222,0.6178,0.0,0.5957,0.6178,389.25M,391.72M,0.0933
2005-03,3.326B,3.326B,2.786B,540.00M,134.90M,,,11.80M,,,,,134.90M,405.10M,,,,11.80M,,416.10M,142.10M,274.00M,,274.00M,266.23M,496.60M,91.50M,405.10M,0.6978,0.0,0.6779,0.6978,0.6933,0.0,0.6736,0.6933,391.50M,393.98M,0.0889
2004-12,3.190B,3.190B,2.591B,599.40M,133.00M,,,13.40M,,,,,133.00M,466.40M,,,,13.40M,,366.60M,125.20M,241.40M,,241.40M,232.58M,551.30M,84.90M,466.40M,0.6133,0.0,0.5908,0.6133,0.6133,0.0,0.5909,0.6133,392.18M,393.98M,0.0889
2004-09,2.918B,2.918B,2.379B,538.90M,119.70M,,,16.10M,,,,,119.70M,419.20M,,,,16.10M,,360.40M,113.70M,246.70M,,246.70M,235.68M,497.90M,78.70M,419.20M,0.6311,0.0,0.6029,0.6311,0.6267,0.0,0.5987,0.6267,391.28M,393.75M,0.0889
2004-06,2.787B,2.787B,2.255B,531.60M,116.20M,,,18.90M,,,,,116.20M,415.40M,,,,18.90M,,362.60M,126.10M,236.50M,,236.50M,224.17M,491.20M,75.80M,415.40M,0.6,0.0,0.5687,0.6,0.5956,0.0,0.5644,0.5956,393.30M,395.78M,0.0889
2004-03,2.501B,2.501B,2.044B,457.80M,119.60M,,,11.50M,,,,,119.60M,338.20M,,,,11.50M,,278.60M,96.40M,182.20M,,182.20M,174.68M,413.80M,75.60M,338.20M,0.4622,0.0,0.4432,0.4622,0.4578,0.0,0.4389,0.4578,394.88M,397.58M,0.0667
2003-12,2.207B,2.207B,1.802B,405.70M,110.30M,,,10.10M,,,,,110.30M,295.40M,,,,10.10M,,239.80M,80.70M,159.10M,,159.10M,152.40M,367.00M,71.60M,295.40M,0.4044,0.0,0.3874,0.4044,0.4,0.0,0.3831,0.4,393.98M,397.58M,0.0652
2003-09,2.058B,2.058B,1.696B,362.60M,108.60M,,,9.50M,,,,,108.60M,254.00M,,,,9.50M,,202.30M,69.80M,132.50M,,132.50M,126.28M,320.50M,66.50M,254.00M,0.3378,0.0,0.322,0.3378,0.3333,0.0,0.3177,0.3333,393.98M,396.90M,0.0652
2003-06,2.012B,2.012B,1.656B,355.80M,113.10M,,,11.00M,,,,,113.10M,242.70M,,,,11.00M,,191.10M,67.00M,124.10M,,124.10M,116.96M,309.20M,66.50M,242.70M,0.3156,0.0,0.2974,0.3156,0.3156,0.0,0.2975,0.3156,393.30M,395.78M,0.0652
2003-03,1.917B,1.917B,1.577B,339.70M,114.50M,,,10.70M,,,,,114.50M,225.20M,,,,10.70M,,172.30M,61.50M,110.80M,,110.80M,103.92M,288.10M,62.90M,225.20M,0.2844,0.0,0.2669,0.2844,0.28,0.0,0.2625,0.28,391.95M,393.98M,0.0592
2002-12,1.919B,1.919B,1.568B,351.50M,116.20M,,,9.20M,,,,,116.20M,235.30M,,,,9.20M,,185.60M,63.40M,122.20M,,122.20M,116.14M,235.30M,,235.30M,0.3141,0.0,0.2986,0.3141,0.3111,0.0,0.2957,0.3111,391.16M,393.86M,0.0592
2002-09,1.996B,1.996B,1.624B,372.40M,114.10M,,,6.20M,,,,,114.10M,258.30M,,,,6.20M,,204.50M,75.60M,128.90M,,128.90M,124.99M,258.30M,,258.30M,0.3289,0.0,0.3189,0.3289,0.3289,0.0,0.3189,0.3289,390.49M,392.51M,0.0592
2002-06,1.802B,1.802B,1.50B,301.80M,123.50M,,,3.70M,,,,,123.50M,178.30M,,,,3.70M,,114.60M,40.90M,73.70M,,73.70M,71.32M,178.30M,,178.30M,0.1896,0.0,0.1835,0.1896,0.1867,0.0,0.1806,0.1867,390.15M,394.82M,0.0592
2002-03,1.502B,1.502B,1.256B,245.70M,123.40M,,,9.40M,,,,,123.40M,122.30M,,,,9.40M,,69.40M,22.20M,47.20M,,47.20M,40.81M,122.30M,,122.30M,0.1205,0.0,0.1041,0.1205,0.1205,0.0,0.1041,0.1205,389.31M,389.31M,0.0592
2001-12,1.538B,1.538B,1.276B,261.40M,131.00M,,,8.00M,,,,,131.00M,130.40M,,,,8.00M,,74.10M,23.70M,50.40M,,50.40M,44.96M,130.40M,,130.40M,0.1299,0.0,0.1159,0.1299,0.1269,0.0,0.1131,0.1269,389.86M,392.23M,0.0592
2001-09,1.503B,1.503B,1.257B,246.20M,127.10M,,,8.50M,,,,,127.10M,119.10M,,,,8.50M,,58.50M,19.10M,39.40M,,39.40M,33.68M,119.10M,,119.10M,0.1009,0.0,0.0861,0.1009,0.1009,0.0,0.0862,0.1009,386.53M,388.89M,0.0592
2001-06,1.531B,1.531B,1.276B,255.00M,127.60M,,,9.20M,,,,,127.60M,127.40M,,,,9.20M,,57.10M,17.60M,39.50M,,39.50M,33.14M,127.40M,,127.40M,0.1009,0.0,0.0844,0.1009,0.1009,0.0,0.0844,0.1009,386.20M,386.20M,0.0592
