,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2015-06,1.963B,1.397B,3.360B,10.54B,,,10.54B,585.10M,478.10M,888.20M,,363.40M,15.15B,,,,3.294B,2.162B,,5.456B,,5.456B,,,,806.20M,6.262B,21.42B,3.043B,,,3.043B,,3.043B,,,,2.656B,2.656B,,,,5.699B,5.914B,5.914B,911.60M,961.40M,1.873B,,710.20M,8.497B,14.20B,354.90M,7.533B,140.20M,,,,-809.60M,7.219B
2015-03,1.565B,1.227B,2.792B,10.28B,,,10.28B,536.60M,504.00M,865.70M,,340.80M,14.28B,,,,3.118B,2.157B,,5.275B,,5.275B,,,,776.60M,6.051B,20.33B,2.887B,,,2.887B,,2.887B,,,,2.175B,2.175B,,,,5.062B,6.00B,6.00B,922.20M,882.10M,1.804B,,729.30M,8.534B,13.60B,354.70M,7.164B,130.20M,,,,-917.30M,6.732B
2014-12,1.738B,1.272B,3.010B,10.09B,,,10.09B,587.70M,512.30M,925.70M,,290.50M,14.32B,0.0,239.00M,1.083B,7.809B,,175.80M,9.306B,-3.752B,5.554B,,,,749.50M,6.303B,20.62B,1.552B,354.40M,,1.906B,502.30M,2.409B,,2.506B,,2.506B,2.506B,,,627.30M,5.542B,5.725B,5.725B,909.20M,970.90M,1.880B,,718.80M,8.324B,13.87B,355.20M,6.864B,156.70M,42.70M,,,-579.80M,6.753B
2014-09,1.648B,1.321B,2.969B,10.17B,,,10.17B,572.40M,589.00M,988.10M,,308.30M,14.43B,,,,3.256B,2.384B,,5.640B,,5.640B,,,,955.10M,6.595B,21.03B,2.978B,,,2.978B,,2.978B,,,,2.926B,2.926B,,,,5.904B,5.292B,5.292B,911.50M,982.80M,1.894B,,772.80M,7.960B,13.86B,354.80M,6.902B,138.20M,34.10M,,,-198.60M,7.163B
2014-06,1.380B,1.335B,2.715B,10.11B,,,10.11B,561.10M,580.90M,969.10M,,301.30M,14.10B,,,,3.342B,2.500B,,5.842B,,5.842B,,,,968.10M,6.810B,20.91B,2.686B,,,2.686B,,2.686B,,,,2.710B,2.710B,,,,5.396B,5.609B,5.609B,932.40M,1.042B,1.974B,,768.10M,8.352B,13.75B,354.70M,6.609B,131.90M,,,,63.50M,7.159B
2014-03,1.290B,1.250B,2.540B,10.05B,,,10.05B,538.60M,592.20M,958.00M,,312.40M,13.86B,,,,3.248B,2.509B,,5.757B,,5.757B,,,,979.60M,6.736B,20.60B,2.76B,,,2.76B,,2.76B,,,,2.872B,2.872B,,,,5.632B,5.368B,5.368B,928.00M,1.048B,1.976B,,758.60M,8.102B,13.73B,354.70M,6.368B,126.70M,,,,14.00M,6.864B
2013-12,1.750B,1.268B,3.018B,9.832B,,,9.832B,545.20M,440.60M,813.60M,,308.10M,13.97B,0.0,238.50M,1.025B,7.916B,,321.20M,9.500B,-3.659B,5.842B,,,,912.80M,6.754B,20.73B,1.397B,318.80M,,1.716B,598.10M,2.314B,,2.267B,150.00M,2.417B,2.417B,,,551.30M,5.282B,6.007B,6.007B,973.30M,1.094B,2.067B,,734.40M,8.809B,14.09B,354.30M,6.165B,106.20M,,,,8.70M,6.634B
2013-09,1.710B,1.201B,2.912B,9.788B,,,9.788B,583.40M,480.60M,893.10M,,370.90M,13.96B,,,,3.208B,2.461B,,5.669B,,5.669B,,,,679.00M,6.348B,20.31B,2.865B,,,2.865B,,2.865B,,,,2.793B,2.793B,,,,5.658B,5.494B,5.494B,937.00M,1.070B,2.007B,,671.80M,8.173B,13.83B,354.10M,6.222B,96.40M,,,,-191.10M,6.481B
2013-06,1.442B,1.182B,2.624B,9.323B,,,9.323B,541.90M,460.40M,832.00M,,349.80M,13.13B,,,,3.007B,2.390B,,5.398B,,5.398B,,,,676.10M,6.074B,19.20B,2.708B,,,2.708B,,2.708B,,,,2.973B,2.973B,,,,5.682B,4.938B,4.938B,892.30M,952.10M,1.844B,,626.80M,7.409B,13.09B,353.80M,5.983B,84.70M,,,,-309.90M,6.112B
2013-03,1.261B,1.178B,2.439B,9.345B,,,9.345B,542.10M,446.30M,818.20M,,345.60M,12.95B,,,,2.871B,2.333B,,5.204B,,5.204B,,,,681.50M,5.886B,18.83B,2.590B,,,2.590B,,2.590B,,,,3.219B,3.219B,,,,5.809B,4.640B,4.640B,912.50M,894.30M,1.807B,,630.30M,7.077B,12.89B,353.70M,5.762B,70.90M,,,,-239.00M,5.948B
2012-12,1.272B,1.193B,2.465B,9.200B,,,9.200B,519.80M,432.00M,782.40M,,331.70M,12.78B,0.0,231.00M,960.10M,6.640B,,667.90M,8.500B,-3.298B,5.202B,,,,646.60M,5.848B,18.63B,1.148B,,,1.148B,713.10M,1.861B,,3.325B,,3.325B,3.325B,,,522.10M,5.708B,4.555B,4.555B,940.00M,903.50M,1.844B,,674.60M,7.073B,12.78B,353.40M,5.596B,56.60M,,,,-159.50M,5.847B
2012-09,1.750B,955.90M,2.706B,,,,9.137B,597.60M,486.30M,915.60M,,333.20M,13.09B,,,,,,,,,4.922B,,,,678.20M,5.601B,18.69B,2.799B,70.60M,,2.869B,,2.869B,,3.371B,,3.371B,3.371B,,,,6.241B,4.293B,4.293B,915.40M,850.20M,1.766B,,531.20M,6.590B,12.83B,357.20M,5.756B,71.80M,162.10M,,,-160.60M,5.862B
2012-06,1.720B,928.50M,2.648B,,,,9.039B,547.20M,503.50M,883.20M,,356.40M,12.93B,,,,,,,,,4.696B,,,,622.10M,5.318B,18.24B,,,,2.943B,,2.943B,,3.382B,,3.382B,3.382B,,,,6.324B,4.019B,4.019B,887.40M,802.10M,1.690B,,500.00M,6.208B,12.53B,357.10M,5.664B,66.90M,139.50M,,,-235.90M,5.712B
2012-03,1.923B,947.80M,2.871B,,,,8.930B,496.10M,489.30M,818.80M,,350.40M,12.97B,,,,,,,,,4.531B,,,,656.60M,5.187B,18.16B,,,,3.225B,,3.225B,,3.965B,,3.965B,3.965B,,,,7.190B,3.119B,3.119B,869.90M,767.40M,1.637B,,493.00M,5.249B,12.44B,357.10M,5.438B,63.90M,15.60M,,,-123.90M,5.719B
2011-12,2.107B,910.10M,3.017B,8.238B,,,8.238B,439.60M,436.20M,710.40M,,249.10M,12.21B,0.0,211.60M,938.70M,5.700B,,552.20M,7.403B,-3.040B,4.363B,,,,595.80M,4.959B,17.17B,1.462B,250.30M,,1.713B,652.80M,2.365B,,3.674B,,3.674B,3.674B,,,625.70M,6.665B,2.982B,2.982B,942.80M,712.00M,1.655B,,507.00M,5.144B,11.81B,356.80M,5.174B,52.10M,,,,-219.00M,5.364B
2011-09,1.880B,915.70M,2.795B,,,,7.668B,449.40M,438.50M,725.10M,,259.30M,11.45B,,,,,,,,,4.276B,,,,630.10M,4.907B,16.35B,,,,,,2.857B,,3.364B,,3.364B,3.364B,,,,6.221B,2.764B,2.764B,762.80M,687.90M,1.451B,,324.90M,4.540B,10.76B,365.50M,5.408B,121.80M,270.00M,,,-31.00M,5.594B
2011-06,1.873B,1.053B,2.926B,,,,7.498B,503.20M,401.60M,742.70M,,266.50M,11.43B,,,,,,,,,4.240B,,,,627.90M,4.868B,16.30B,,,,,,2.745B,,3.475B,24.40M,3.500B,3.500B,,,,6.244B,2.384B,2.384B,703.90M,716.10M,1.42B,,339.30M,4.143B,10.39B,365.50M,5.192B,117.60M,,,,239.40M,5.914B
2011-03,1.690B,1.002B,2.691B,865.40M,,6.243B,7.108B,354.10M,396.40M,590.30M,,207.80M,10.60B,,,,,,,,,3.896B,,,,639.60M,4.536B,15.13B,,,,2.361B,,2.361B,,2.590B,24.20M,2.615B,2.615B,,,,4.976B,2.797B,2.797B,686.40M,645.20M,1.332B,,380.30M,4.509B,9.485B,365.40M,4.996B,114.40M,,,,173.50M,5.649B
2010-12,2.041B,450.50M,2.491B,610.40M,2.714B,3.692B,6.681B,322.20M,370.10M,534.00M,,218.60M,9.925B,0.0,200.70M,940.30M,5.231B,,176.00M,6.548B,-2.855B,3.693B,,,,615.90M,4.309B,14.23B,707.40M,,565.80M,1.273B,507.40M,1.781B,,2.126B,23.50M,2.150B,2.150B,,,,4.102B,3.126B,3.126B,713.80M,563.80M,1.278B,,370.30M,4.774B,8.876B,365.30M,4.846B,105.10M,,,,41.30M,5.358B
2010-09,2.057B,354.90M,2.412B,,,,6.550B,320.20M,350.30M,512.80M,,214.90M,9.690B,,,,,,,,,3.654B,,,,639.40M,4.294B,13.98B,,,,,,1.862B,,2.038B,22.80M,2.061B,2.061B,,,,3.923B,3.181B,3.181B,660.50M,542.30M,1.203B,,360.60M,4.744B,8.668B,364.60M,4.830B,83.10M,0.00,,,38.40M,5.316B
2010-06,1.898B,294.90M,2.193B,,,,6.416B,351.80M,289.10M,481.40M,,222.50M,9.313B,,,,,,,,,3.486B,,,,622.80M,4.109B,13.42B,,,,,,1.746B,,2.074B,,2.074B,2.074B,,,,3.820B,3.124B,3.124B,643.50M,500.80M,1.144B,,340.50M,4.608B,8.428B,364.50M,4.743B,78.00M,0.00,,,-190.90M,4.994B
2010-03,1.855B,246.70M,2.101B,,,,576.40M,388.60M,321.40M,545.50M,,222.20M,3.446B,,,,,,,,,3.662B,,,6.195B,687.00M,10.54B,13.99B,,,,,,1.640B,,2.676B,,2.676B,2.676B,,,,4.315B,3.011B,3.011B,694.70M,518.50M,1.213B,,357.70M,4.582B,8.897B,364.70M,4.676B,87.40M,17.40M,,,-18.10M,5.093B
2009-12,1.912B,219.50M,2.132B,554.70M,2.875B,4.040B,7.052B,487.50M,312.50M,632.10M,,224.30M,10.04B,0.0,206.30M,1.008B,5.310B,,,6.524B,-2.750B,3.775B,,,,754.00M,4.529B,14.57B,,,,,,1.705B,,2.696B,,2.696B,2.696B,,,,4.401B,3.377B,3.377B,734.80M,547.20M,1.282B,,405.30M,5.064B,9.465B,364.40M,4.640B,80.00M,17.40M,,,36.20M,5.104B
2009-09,1.799B,240.30M,2.040B,,,,7.467B,420.40M,376.90M,629.00M,256.50M,,10.39B,,,,,,,,,3.674B,,,,731.60M,4.406B,14.80B,1.764B,0.00,,1.764B,,1.764B,,3.256B,,3.256B,3.256B,,,,5.021B,3.114B,3.114B,1.104B,526.20M,1.630B,,,4.744B,9.764B,363.90M,4.627B,67.10M,17.40M,,,-7.90M,5.033B
2009-06,1.870B,165.10M,2.035B,,,,7.667B,443.60M,362.00M,644.60M,301.70M,,10.65B,,,,,,,,,3.589B,,,,685.70M,4.274B,14.92B,1.700B,0.00,,1.700B,,1.700B,,3.021B,,3.021B,3.021B,,,,4.722B,3.660B,3.660B,1.103B,520.80M,1.624B,,,5.285B,10.01B,363.70M,4.647B,59.30M,17.40M,,,-136.40M,4.916B
2009-03,1.925B,177.30M,2.102B,650.70M,,7.234B,7.885B,409.60M,351.30M,602.70M,255.60M,,10.85B,,,,,,,,,3.516B,,,,706.50M,4.223B,15.07B,1.685B,0.00,,1.685B,,1.685B,,,,2.622B,2.622B,,,,4.307B,4.407B,4.407B,1.176B,446.60M,1.623B,,,6.030B,10.34B,363.60M,4.686B,55.20M,17.40M,,,-356.00M,4.731B
2008-12,1.955B,175.40M,2.131B,698.70M,3.507B,5.011B,8.735B,421.70M,394.30M,658.10M,,211.70M,11.74B,0.0,186.80M,951.10M,2.355B,1.960B,,5.453B,-1.710B,3.743B,,,,771.40M,4.514B,16.25B,2.042B,36.30M,,2.078B,,2.078B,,3.333B,50.40M,3.383B,3.383B,,,,5.461B,4.102B,4.102B,733.10M,470.80M,1.204B,,636.60M,5.942B,11.40B,363.10M,4.725B,46.10M,17.40M,,,-269.80M,4.847B
2008-09,1.396B,551.10M,1.947B,791.10M,8.852B,,9.643B,600.80M,492.30M,938.10M,227.90M,,12.76B,,,,,,,4.020B,-2.239B,1.780B,,,,2.696B,4.476B,17.23B,2.716B,,,2.716B,,2.716B,,,,7.584B,7.584B,,,,10.30B,22.10M,22.10M,1.036B,,1.036B,,534.50M,1.592B,11.89B,363.10M,4.713B,43.00M,17.40M,354.80M,-117.50M,237.30M,5.339B
2008-06,1.688B,587.00M,2.275B,9.988B,,,9.988B,541.90M,502.50M,892.10M,240.90M,,13.40B,,,,2.016B,4.026B,,6.042B,-2.239B,3.802B,,,,811.70M,4.614B,18.01B,2.879B,,,2.879B,,2.879B,,,,3.597B,3.597B,,,,6.476B,4.466B,4.466B,1.054B,,1.054B,,597.50M,6.118B,12.59B,369.00M,4.735B,53.10M,262.50M,625.80M,-103.40M,522.40M,5.417B
2008-03,1.740B,646.00M,2.386B,9.828B,,,9.828B,411.20M,445.60M,705.40M,235.90M,,13.16B,,,,1.939B,3.970B,,5.909B,-2.239B,3.670B,,,,753.80M,4.424B,17.58B,2.722B,,,2.722B,,2.722B,,,,4.427B,4.427B,,,,7.148B,3.555B,3.555B,1.078B,,1.078B,,595.80M,5.229B,12.38B,368.90M,4.487B,47.50M,172.70M,610.20M,-139.60M,470.60M,5.201B
2007-12,1.858B,778.50M,2.637B,9.677B,,,9.677B,355.00M,422.70M,628.30M,205.60M,,13.15B,0.0,179.30M,847.60M,4.663B,,,5.690B,-2.239B,3.450B,,,,711.80M,4.162B,17.31B,1.218B,,,1.218B,1.259B,2.477B,,,,4.130B,4.130B,,,367.10M,6.974B,3.746B,3.746B,1.038B,,1.038B,,539.40M,5.323B,12.30B,368.40M,4.261B,37.70M,61.70M,516.20M,-108.10M,408.10M,5.013B
2007-09,1.599B,823.90M,2.422B,9.898B,,,9.898B,350.60M,457.60M,659.90M,212.90M,,13.19B,,,,,,,5.091B,-1.900B,3.191B,,,,630.30M,3.821B,17.01B,2.617B,,,2.617B,,2.617B,,,,4.316B,4.316B,,,,6.933B,3.408B,3.408B,949.60M,,949.60M,,528.80M,4.886B,11.82B,368.30M,4.434B,33.50M,,517.00M,-156.50M,360.50M,5.196B
2007-06,1.414B,1.066B,2.480B,9.669B,,,9.669B,311.00M,400.20M,566.40M,200.30M,,12.92B,,,,1.531B,3.292B,,4.824B,-1.900B,2.924B,,,,624.20M,3.548B,16.46B,2.423B,,,2.423B,,2.423B,,,,4.309B,4.309B,,,,6.732B,3.212B,3.212B,935.10M,,935.10M,,491.90M,4.639B,11.37B,249.30M,4.578B,63.40M,50.30M,392.70M,-140.10M,252.60M,5.093B
2007-03,1.375B,1.019B,2.394B,9.506B,,,9.506B,392.70M,401.90M,650.90M,200.90M,,12.75B,,,,1.471B,3.242B,,4.713B,-1.900B,2.813B,,,,545.40M,3.358B,16.11B,2.490B,,,2.490B,,2.490B,,,,4.551B,4.551B,,,,7.041B,2.900B,2.900B,927.20M,,927.20M,,484.80M,4.312B,11.35B,249.20M,4.342B,52.40M,50.30M,316.00M,-152.20M,163.80M,4.757B
2006-12,1.852B,821.70M,2.674B,9.208B,,,9.208B,472.10M,365.40M,693.70M,212.80M,,12.79B,0.0,142.50M,731.30M,3.825B,,,4.699B,-1.900B,2.798B,,,,520.50M,3.319B,16.11B,1.455B,,,1.455B,1.029B,2.484B,,,,4.223B,4.223B,,,497.00M,7.203B,3.057B,3.057B,913.00M,,913.00M,,477.50M,4.448B,11.65B,248.50M,4.026B,27.50M,2.10M,304.70M,-148.50M,156.20M,4.456B
2006-09,1.609B,825.60M,2.434B,8.979B,,,8.979B,354.10M,351.00M,563.80M,225.60M,,12.20B,,,,,,,4.196B,-1.601B,2.595B,,,,659.60M,3.255B,15.46B,2.489B,,,2.489B,,2.489B,,,,3.720B,3.720B,,,,6.208B,3.216B,3.216B,866.90M,,866.90M,,452.30M,4.536B,10.74B,249.40M,4.241B,27.80M,59.40M,,,254.90M,4.714B
