,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2012-09,5.338B,2.164B,7.502B,1.113B,,1.113B,,,,,818.00M,9.433B,,5.643B,76.82B,-49.67B,27.15B,6.114B,,6.114B,,855.00M,34.12B,43.55B,1.485B,,696.00M,2.181B,,2.181B,,,,2.78B,,2.78B,,,,535.00M,5.496B,2.009B,8.455B,,8.455B,4.944B,4.944B,,,863.00M,16.27B,21.77B,41.00M,16.22B,3.644B,,,1.879B,21.78B
2012-06,6.101B,944.00M,7.045B,1.005B,,1.005B,,,,,1.167B,9.217B,,5.545B,74.57B,-47.33B,27.24B,6.007B,,6.007B,,1.005B,34.25B,43.47B,1.51B,,591.00M,2.101B,,2.101B,,,,2.148B,,2.148B,,,,712.00M,4.961B,1.942B,8.455B,,8.455B,5.088B,5.088B,,,799.00M,16.28B,21.24B,40.00M,17.02B,3.604B,,,1.565B,22.22B
2012-03,5.828B,1.282B,7.11B,1.107B,,1.107B,,,,,861.00M,9.078B,,5.341B,73.51B,-46.95B,26.56B,6.067B,,6.067B,,899.00M,33.53B,42.60B,1.079B,,513.00M,1.592B,,1.592B,,,,4.12B,,4.12B,,,,550.00M,6.262B,1.944B,6.719B,,6.719B,4.972B,4.972B,,,752.00M,14.39B,20.65B,40.00M,16.62B,3.564B,,,1.731B,21.96B
2011-12,5.555B,1.503B,7.058B,1.379B,,1.414B,102.00M,,,,69.00M,9.305B,,5.098B,70.78B,-46.00B,24.77B,6.013B,,6.013B,,1.025B,31.81B,41.12B,1.471B,,678.00M,2.149B,,2.149B,,,,3.811B,,3.811B,,,,778.00M,6.738B,1.496B,5.969B,,5.969B,4.763B,4.763B,,,721.00M,12.95B,19.69B,40.00M,16.31B,3.507B,,,1.575B,21.43B
2011-09,5.618B,1.231B,6.849B,1.43B,,1.43B,,,,,1.302B,9.607B,,4.778B,68.17B,-45.00B,23.17B,5.951B,,5.951B,,1.138B,30.26B,39.87B,1.512B,,659.00M,2.171B,,2.171B,,,,3.288B,,3.288B,,,,572.00M,6.031B,1.46B,5.969B,,5.969B,4.809B,4.809B,,,493.00M,12.73B,18.76B,41.00M,15.87B,3.827B,48.00M,,1.412B,21.10B
2011-06,3.351B,3.367B,6.718B,1.446B,,1.652B,137.00M,,,,50.00M,8.911B,,4.732B,68.07B,-45.64B,22.43B,6.176B,,6.176B,,1.023B,29.63B,38.54B,1.365B,,669.00M,2.034B,,2.034B,,,,1.962B,,1.962B,,,,488.00M,4.484B,1.499B,5.968B,,5.968B,4.348B,4.348B,,,808.00M,12.62B,17.11B,42.00M,14.90B,4.489B,25.00M,,2.021B,21.43B
2011-03,1.311B,1.636B,2.947B,1.269B,,1.269B,,,,,850.00M,5.599B,,4.609B,66.14B,-45.06B,21.08B,6.151B,,6.151B,,1.719B,28.95B,34.55B,1.353B,,639.00M,1.992B,,1.992B,,,,3.003B,,3.003B,,,,759.00M,5.754B,1.468B,3.80B,,3.80B,3.199B,3.199B,,,1.066B,9.567B,15.32B,43.00M,12.23B,5.028B,23.00M,,1.951B,19.23B
2010-12,2.866B,145.00M,3.011B,1.202B,,1.202B,,,,,779.00M,5.555B,,4.429B,63.88B,-44.22B,19.65B,6.08B,,6.08B,,1.64B,27.37B,32.93B,1.411B,,538.00M,1.949B,,1.949B,,,,1.811B,,1.811B,,,,823.00M,4.583B,1.423B,3.819B,,3.819B,2.756B,2.756B,,,1.067B,9.091B,13.67B,43.00M,11.88B,5.601B,33.00M,,1.76B,19.25B
2010-09,3.608B,,3.608B,1.028B,,1.028B,,,,,738.00M,5.95B,,4.33B,61.50B,-43.30B,18.20B,5.977B,,5.977B,,1.737B,25.91B,31.86B,1.192B,,,1.709B,,1.709B,,,,1.808B,,1.808B,,,,933.00M,4.45B,1.394B,3.821B,,3.821B,2.405B,2.405B,,,1.072B,8.761B,13.21B,43.00M,11.39B,5.714B,7.00M,,1.512B,18.65B
2010-06,2.174B,,2.174B,1.205B,,1.205B,,,,,650.00M,5.049B,,4.229B,59.32B,-42.48B,16.84B,5.892B,,5.892B,,2.189B,24.92B,29.97B,1.133B,752.00M,,2.351B,113.00M,2.464B,,,,53.00M,,53.00M,,,,885.00M,3.402B,1.346B,5.571B,,5.571B,1.714B,1.714B,,,919.00M,9.739B,13.14B,44.00M,9.369B,6.186B,65.00M,,1.296B,16.83B
2010-03,724.00M,,724.00M,1.296B,,1.296B,,,,,1.728B,3.748B,,,61.39B,-42.58B,18.81B,6.018B,,6.018B,,2.099B,26.93B,30.68B,1.199B,,546.00M,1.745B,,1.745B,,,,330.00M,,330.00M,,,,1.033B,3.108B,,5.845B,,5.845B,2.003B,2.003B,,,2.766B,10.61B,13.72B,45.00M,8.733B,6.577B,,,1.60B,16.96B
