,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2005-06,2.227B,549.00M,2.776B,1.308B,,1.308B,,,,248.00M,149.00M,4.481B,,,31.82B,-13.79B,18.03B,,5.592B,5.592B,,1.171B,24.79B,29.27B,1.37B,,,1.37B,336.00M,1.706B,,,,906.00M,,906.00M,,,,573.00M,3.185B,,5.917B,,5.917B,5.024B,5.024B,,,1.845B,12.79B,15.97B,46.00M,4.834B,7.609B,,1.00M,810.00M,13.30B
2005-03,1.499B,1.033B,2.532B,1.364B,,1.364B,,,,317.00M,152.00M,4.365B,,,32.80B,-13.32B,19.48B,,5.624B,5.624B,,1.208B,26.31B,30.68B,1.388B,,,1.388B,382.00M,1.77B,,,,932.00M,,932.00M,,,,1.058B,3.76B,,6.312B,,6.312B,5.081B,5.081B,,,1.889B,13.28B,17.04B,48.00M,4.218B,8.588B,,1.00M,780.00M,13.63B
2004-12,1.152B,967.00M,2.119B,1.32B,,1.32B,,,,289.00M,144.00M,3.872B,,,32.11B,-12.77B,19.35B,,5.637B,5.637B,,1.17B,26.15B,30.02B,1.202B,,,1.202B,297.00M,1.499B,,,,933.00M,,933.00M,,,,668.00M,3.10B,,6.339B,,6.339B,5.089B,5.089B,,,1.823B,13.25B,16.35B,49.00M,3.693B,9.087B,,1.00M,845.00M,13.67B
2004-09,1.761B,,1.761B,1.102B,,1.102B,,,,,158.00M,3.021B,,,30.88B,-11.99B,18.90B,,5.525B,5.525B,,1.148B,25.57B,28.59B,1.11B,,,1.11B,242.00M,1.352B,,,,685.00M,,685.00M,,,,929.00M,2.966B,,6.582B,,6.582B,4.502B,4.502B,,,1.885B,12.97B,15.94B,26.00M,3.047B,9.304B,148.00M,1.00M,426.00M,12.66B
2004-06,1.147B,,1.147B,1.104B,11.00M,1.115B,68.00M,,,,34.00M,2.364B,,,29.70B,-11.19B,18.51B,,5.388B,5.388B,,1.041B,24.94B,27.30B,1.108B,,,1.108B,253.00M,1.361B,,,,412.00M,,412.00M,28.00M,28.00M,,580.00M,2.381B,,6.811B,,6.811B,4.332B,4.332B,,,1.817B,12.96B,15.34B,25.00M,2.557B,9.254B,130.00M,1.00M,257.00M,11.96B
2004-03,1.481B,,1.481B,1.063B,,1.063B,70.00M,,,,71.00M,2.685B,,,29.18B,-10.73B,18.45B,,5.44B,5.44B,,1.002B,24.89B,27.58B,1.119B,,,1.119B,193.00M,1.312B,,,,763.00M,,763.00M,42.00M,42.00M,,573.00M,2.69B,,7.907B,,7.907B,4.334B,4.334B,,,1.116B,13.36B,16.05B,25.00M,2.082B,9.174B,130.00M,1.00M,379.00M,11.53B
2003-12,1.273B,,1.273B,946.00M,11.00M,957.00M,72.00M,,,,62.00M,2.364B,,,28.55B,-10.21B,18.33B,,5.477B,5.477B,,987.00M,24.80B,27.16B,1.174B,,,1.174B,272.00M,1.446B,,,,338.00M,,338.00M,56.00M,56.00M,,231.00M,2.071B,,7.903B,,7.903B,4.37B,4.37B,,,1.762B,14.04B,16.11B,25.00M,1.614B,9.066B,186.00M,1.00M,537.00M,11.06B
2003-09,840.00M,,840.00M,896.00M,11.00M,907.00M,77.00M,,,,83.00M,1.907B,,,27.37B,-9.52B,17.85B,,5.341B,5.341B,,871.00M,24.06B,25.97B,964.00M,,,964.00M,194.00M,1.158B,,,,340.00M,,340.00M,,,,208.00M,1.706B,,8.581B,,8.581B,4.326B,4.326B,,55.00M,1.109B,14.07B,15.78B,25.00M,1.085B,8.899B,187.00M,1.00M,368.00M,10.19B
2003-06,724.00M,,724.00M,965.00M,11.00M,976.00M,71.00M,,,,68.00M,1.839B,,,26.60B,-9.006B,17.59B,,5.324B,5.324B,,856.00M,23.77B,25.61B,929.00M,,,929.00M,278.00M,1.207B,,,,575.00M,,575.00M,,,,428.00M,2.21B,,8.499B,,8.499B,4.076B,4.076B,,,1.174B,13.75B,15.96B,25.00M,688.00M,8.878B,187.00M,1.00M,248.00M,9.652B
2003-03,634.00M,,634.00M,910.00M,11.00M,921.00M,31.00M,,,,51.00M,1.637B,,,20.10B,-8.338B,11.76B,,3.699B,3.699B,,732.00M,16.19B,17.83B,862.00M,,,862.00M,150.00M,1.012B,,,,211.00M,,211.00M,,,,233.00M,1.456B,,7.375B,,7.375B,2.862B,2.862B,,,797.00M,11.03B,12.49B,17.00M,341.00M,5.181B,188.00M,1.00M,-13.00M,5.338B
2002-12,292.00M,,292.00M,639.00M,56.00M,695.00M,26.00M,,,,51.00M,1.064B,,,18.79B,-7.934B,10.85B,,3.555B,3.555B,,754.00M,15.16B,16.22B,637.00M,,,637.00M,233.00M,870.00M,,,,,,,,,,172.00M,1.042B,,7.562B,,7.562B,2.627B,2.627B,,,341.00M,10.53B,11.57B,17.00M,-84.00M,5.178B,188.00M,1.00M,-270.00M,4.653B
2002-09,88.00M,,88.00M,569.00M,,569.00M,33.00M,,,2.00M,144.00M,836.00M,,,18.42B,-7.624B,10.80B,,3.59B,3.59B,,792.00M,15.18B,16.02B,606.00M,,,606.00M,196.00M,802.00M,,,,,,,,,,187.00M,989.00M,,7.646B,,7.646B,2.529B,2.529B,,,320.00M,10.50B,11.48B,17.00M,-158.00M,5.165B,190.00M,1.00M,-301.00M,4.533B
2002-06,425.00M,,425.00M,636.00M,,636.00M,43.00M,,,7.00M,50.00M,1.161B,,,18.80B,-7.718B,11.09B,,3.67B,3.67B,,955.00M,15.71B,16.87B,682.00M,,,682.00M,249.00M,931.00M,,,,,,,,,,128.00M,1.059B,,8.032B,,8.032B,2.645B,2.645B,,,352.00M,11.03B,12.09B,17.00M,-210.00M,5.165B,190.00M,1.00M,2.00M,4.785B
2002-03,367.00M,,367.00M,680.00M,,680.00M,53.00M,,,23.00M,47.00M,1.17B,,,19.14B,-6.877B,12.26B,,3.575B,3.575B,,969.00M,16.81B,17.98B,776.00M,,,776.00M,176.00M,952.00M,,,,,,,,,,109.00M,1.061B,,8.236B,,8.236B,2.943B,2.943B,,,1.046B,12.22B,13.29B,17.00M,-95.00M,5.156B,190.00M,1.00M,-197.00M,4.691B
2001-12,183.00M,,183.00M,489.00M,68.00M,557.00M,20.00M,,,,594.00M,1.354B,,,14.90B,-6.137B,8.762B,,2.206B,2.206B,,862.00M,11.83B,13.18B,594.00M,,,594.00M,174.00M,768.00M,,,,,,,,57.00M,57.00M,94.00M,919.00M,,6.589B,,6.589B,2.149B,2.149B,,,268.00M,9.006B,9.925B,14.00M,-147.00M,3.61B,190.00M,1.00M,-28.00M,3.259B
2001-09,239.26M,,239.26M,491.10M,,491.10M,42.62M,,,8.979M,37.94M,819.90M,,,11.13B,-5.388B,5.744B,269.30M,,269.30M,,899.76M,6.913B,7.732B,452.71M,,,452.71M,80.09M,532.79M,,,,,,,,,,29.00M,561.80M,,1.985B,,1.985B,1.113B,1.113B,,,304.09M,3.402B,3.963B,14.48M,380.05M,3.595B,190.39M,1.50M,-29.95M,3.769B
2001-06,477.82M,,477.82M,550.66M,,550.66M,40.19M,,,8.979M,33.86M,1.112B,,,10.87B,-5.226B,5.640B,,277.77M,277.77M,,774.62M,6.693B,7.804B,421.53M,,,421.53M,98.65M,520.18M,,,,,,,,,,67.66M,587.84M,,2.081B,,2.081B,1.010B,1.010B,,,267.43M,3.359B,3.947B,14.46M,304.13M,3.590B,7.785M,1.50M,-43.80M,3.857B
2001-03,609.70M,,609.70M,555.97M,,555.97M,40.26M,,,8.979M,35.20M,1.250B,,,9.841B,-4.800B,5.041B,,286.23M,286.23M,,749.21M,6.077B,7.327B,431.63M,,,431.63M,,431.63M,,,,,,,,,,265.16M,696.79M,,1.230B,,1.230B,728.55M,728.55M,,,1.007B,2.965B,3.662B,14.44M,176.65M,3.583B,,1.50M,-109.53M,3.665B
2000-12,228.00M,,228.00M,615.00M,,615.00M,47.00M,,,9.00M,35.00M,934.00M,,,9.71B,-4.80B,4.91B,,289.00M,289.00M,,727.00M,5.926B,6.86B,457.00M,,,457.00M,69.00M,526.00M,,,,,,,,,,103.00M,629.00M,,2.049B,,2.049B,627.00M,627.00M,,,277.00M,2.953B,3.582B,15.00M,-215.00M,3.564B,,2.00M,-86.00M,3.278B
2000-09,178.65M,,178.65M,467.39M,,467.39M,54.97M,,,,83.48M,784.49M,,,9.367B,-4.612B,4.756B,,299.66M,299.66M,,730.84M,5.786B,6.571B,370.66M,,,370.66M,,370.66M,,,,,,,,,,240.72M,611.39M,,2.202B,,2.202B,483.16M,483.16M,,,310.16M,2.995B,3.607B,14.33M,-510.40M,3.545B,,1.50M,-84.81M,2.964B
2000-06,298.97M,,298.97M,,,296.60M,14.46M,,,,18.60M,628.64M,,,5.190B,-2.010B,3.180B,,299.48M,299.48M,,720.05M,4.199B,4.828B,152.42M,,,152.42M,,152.42M,,,,,,,,,,120.12M,272.54M,,1.786B,,1.786B,431.88M,431.88M,,,160.06M,2.378B,2.650B,10.20M,-26.41M,2.274B,,1.50M,-80.16M,2.178B
2000-03,49.79M,,49.79M,,,228.29M,14.79M,,,,20.70M,313.56M,,,5.080B,-1.918B,3.162B,,314.96M,314.96M,,770.70M,4.248B,4.561B,133.45M,,,133.45M,,133.45M,,,,,,,,,,111.69M,245.14M,,1.602B,,1.602B,424.18M,424.18M,,,173.68M,2.200B,2.445B,10.15M,-110.36M,2.258B,,1.50M,-41.75M,2.116B
1999-12,173.00M,,173.00M,316.00M,,316.00M,39.00M,,,,62.00M,590.00M,,,8.592B,-4.169B,4.423B,,323.00M,323.00M,,760.00M,5.506B,6.096B,334.00M,,,334.00M,,334.00M,,,,,,,,,,133.00M,467.00M,,2.417B,,2.417B,324.00M,324.00M,,,366.00M,3.107B,3.574B,15.00M,-909.00M,3.492B,11.00M,2.00M,-65.00M,2.522B
1999-09,380.30M,,380.30M,,,187.70M,16.80M,,,,11.80M,596.60M,,,5.562B,-1.702B,3.860B,,,,,719.10M,4.579B,5.175B,156.40M,,,156.40M,,156.40M,,,,200.00M,,200.00M,,,,185.00M,541.40M,,1.023B,,1.023B,691.70M,691.70M,149.50M,,951.40M,2.666B,3.207B,9.50M,-205.90M,2.075B,59.80M,1.50M,,1.819B
1999-06,14.00M,,14.00M,,,83.70M,2.60M,,,,4.50M,104.80M,,,2.802B,-1.616B,1.186B,,,,,14.80M,1.200B,1.305B,46.20M,,,46.20M,,46.20M,,,,,,,,,,27.50M,73.70M,,448.00M,,448.00M,44.10M,44.10M,149.50M,,34.70M,526.80M,600.50M,,-225.60M,,,,,555.20M
1999-03,13.40M,,13.40M,78.90M,,78.90M,2.80M,,,,6.00M,101.10M,,,2.708B,-1.556B,1.152B,,,,,14.30M,1.166B,1.268B,73.90M,,,73.90M,,73.90M,,,,,,,,,,21.30M,95.20M,,422.30M,,422.30M,36.20M,36.20M,149.50M,,34.50M,493.00M,588.20M,,-239.40M,,,,,529.80M
1998-12,19.20M,,19.20M,83.90M,,83.90M,2.80M,,,,4.70M,110.60M,,,2.610B,-1.510B,1.101B,,,,,14.90M,1.116B,1.226B,52.70M,,,52.70M,,52.70M,,,,,,,,,,28.00M,80.70M,,405.30M,,405.30M,33.20M,33.20M,149.50M,,34.70M,473.20M,553.90M,,-242.90M,,,,,523.00M
1998-09,7.20M,,7.20M,,,40.00M,2.30M,,,,1.60M,51.10M,,,1.231B,-558.80M,672.40M,,,,,13.80M,686.20M,737.30M,20.80M,,,20.80M,,20.80M,,,,,,,,,,2.80M,23.60M,,,,,67.60M,67.60M,149.50M,,27.30M,94.90M,118.50M,,79.80M,,,,,469.30M
1998-06,23.10M,,23.10M,,,42.40M,2.30M,,,,2.10M,69.90M,,,1.190B,-409.50M,780.20M,,,,,13.10M,793.30M,863.20M,22.10M,,,22.10M,,22.10M,,,,,,,,,,2.40M,24.50M,,,,,105.90M,105.90M,149.50M,,26.70M,132.60M,157.10M,,164.50M,,,,,556.60M
