,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,1.171B,,,,,,,168.90M,168.90M,53.10M,,0.00,43.40M,,36.10M,-134.00M,2.60M,-121.80M,,,237.60M,-15.60M,1.457B,-204.70M,,-194.70M,-10.00M,-600.00M,2.150B,1.60M,1.347B,,,,,-250.00M,-250.00M,,-21.20M,2.60M,-268.60M,1.574B,2.535B,-0.90M,4.108B,,,,-250.00M
2017-12,-166.30M,,,,,,,209.00M,209.00M,131.40M,,,30.60M,,97.90M,-441.80M,75.80M,277.10M,,,1.384B,1.216B,1.518B,-295.60M,,-230.60M,-65.00M,-300.00M,-168.00M,-5.90M,-769.50M,-557.70M,,-557.70M,,0.00,0.00,,10.70M,-161.10M,-708.10M,1.548B,40.70M,-15.00M,1.574B,,,-557.70M,0.00
2017-09,1.226B,,,,,,,177.40M,177.40M,-19.20M,,,30.10M,,53.40M,75.40M,-85.00M,-52.20M,,,222.30M,160.50M,1.628B,-279.20M,,-229.10M,-50.10M,-300.00M,-669.80M,2.10M,-1.247B,-3.20M,,-3.20M,,0.00,0.00,,7.10M,-23.40M,-19.50M,1.170B,361.90M,16.60M,1.548B,,,-3.20M,0.00
2017-06,862.80M,,,,,,,182.60M,182.60M,-96.60M,,,30.30M,,175.40M,-105.50M,-39.10M,231.90M,,,-72.60M,14.70M,1.169B,-322.80M,,-197.70M,-125.10M,-300.00M,420.90M,-0.60M,-202.50M,,,,,-781.80M,-781.80M,,7.70M,23.10M,-751.00M,924.00M,215.70M,29.90M,1.170B,,,,-781.80M
2017-03,747.50M,,,,,,,512.00M,512.00M,76.10M,,,37.00M,,18.10M,-195.70M,-46.20M,-684.20M,,,-229.40M,-1.156B,235.20M,-1.065B,,-210.00M,-855.20M,-300.00M,627.60M,-6.60M,-744.20M,,,,,-583.60M,-583.60M,,-25.50M,-292.30M,-901.40M,2.326B,-1.410B,7.90M,924.00M,,,,-583.60M
2016-12,647.90M,,,,,,,177.40M,177.40M,-118.20M,,,37.00M,,58.50M,10.60M,-10.50M,797.80M,,,-147.20M,779.30M,1.582B,-183.30M,,-182.10M,-1.20M,-300.00M,-88.40M,-10.00M,-581.70M,0.00,,0.00,,-651.10M,-651.10M,,3.90M,-79.30M,-726.50M,2.085B,273.70M,-32.00M,2.326B,,,0.00,-651.10M
2016-09,1.030B,,,,,,,180.20M,180.20M,-26.60M,,,33.70M,,16.40M,-173.10M,-26.80M,-59.10M,,,16.40M,-242.60M,991.30M,-280.70M,,-170.30M,-110.40M,-300.00M,563.80M,53.10M,36.20M,-2.70M,,-2.70M,,-348.90M,-348.90M,,9.50M,36.80M,-305.30M,1.362B,722.20M,0.60M,2.085B,,,-2.70M,-348.90M
2016-06,1.048B,,,,,,,175.40M,175.40M,-39.10M,,,38.80M,,40.80M,95.00M,-39.70M,20.30M,,,-341.70M,-266.10M,998.20M,-108.20M,,-136.80M,28.60M,-300.00M,-276.40M,-51.50M,-736.10M,,,,,0.00,0.00,,7.70M,-23.50M,-15.80M,1.131B,246.30M,-15.00M,1.362B,,,,0.00
2016-03,969.20M,,,,,,,149.70M,149.70M,8.90M,,,45.30M,,-11.90M,-160.00M,-88.60M,-136.70M,,,239.90M,-145.40M,1.016B,-155.50M,,-126.90M,-28.60M,-300.00M,-733.30M,-14.40M,-1.203B,,,,,0.00,0.00,,-29.60M,24.60M,-5.00M,1.308B,-192.40M,15.10M,1.131B,,,,0.00
2015-12,828.70M,,,,,,,156.30M,156.30M,40.20M,,,29.90M,,128.80M,61.50M,-24.00M,373.80M,,,-307.70M,59.80M,1.244B,-195.20M,,-186.10M,-9.10M,-300.00M,-1.295B,-17.10M,-1.808B,-0.40M,,-0.40M,,-2.002B,-2.002B,,-116.40M,-83.10M,-2.202B,4.089B,-2.766B,-15.50M,1.308B,,-0.40M,0.00,-2.002B
2015-09,1.020B,,,,,,,151.60M,151.60M,-95.20M,,,37.80M,,37.40M,-24.70M,-69.10M,-106.60M,,,-55.30M,-255.70M,895.40M,-235.50M,,-229.20M,-6.30M,-300.00M,-437.20M,-17.30M,-990.00M,5.929B,,5.929B,,-2.956B,-2.956B,,10.80M,-76.00M,2.908B,1.282B,2.813B,-6.10M,4.089B,,5.931B,-2.10M,-2.956B
2015-06,924.80M,,,,,,,144.60M,144.60M,-107.30M,,,41.60M,,27.10M,89.40M,-59.80M,-16.40M,,,3.30M,16.50M,1.047B,-129.90M,,-129.90M,,0.00,-1.120B,-3.30M,-1.253B,,,,,-42.20M,-42.20M,,9.10M,29.50M,-3.60M,1.478B,-209.60M,13.60M,1.282B,,,,-42.20M
2015-03,820.20M,,,,,,,147.90M,147.90M,16.70M,,,52.10M,,-32.90M,-128.30M,-21.50M,-51.50M,,,-69.70M,-271.00M,733.00M,-97.80M,,-97.80M,,-448.80M,50.60M,-6.80M,-502.80M,,,,,,,,25.60M,55.20M,80.80M,1.205B,311.00M,-37.80M,1.478B,,,,
2014-12,882.62M,,,,,,,157.59M,157.59M,-78.93M,,,35.79M,,45.41M,-246.04M,-66.01M,225.02M,,,17.40M,-109.64M,932.85M,-135.15M,,-106.95M,,-200.00M,-68.49M,25.33M,-378.30M,-0.026M,,-0.026M,,-526.82M,-526.82M,,9.94M,3.613M,-513.29M,1.186B,41.25M,-22.67M,1.205B,,0.00,-0.026M,-526.82M
2014-09,856.12M,,,,,,,175.41M,175.41M,-82.77M,,,35.65M,,-31.50M,-108.10M,-47.20M,18.47M,,,97.95M,-38.88M,914.03M,-62.55M,,-62.55M,,-150.00M,-325.63M,-2.386M,-540.56M,-2.674M,,-2.674M,,-23.08M,-23.08M,,11.48M,-20.86M,-35.12M,863.20M,338.35M,-15.26M,1.186B,,0.00,-2.674M,-23.08M
2014-06,723.13M,,,,,,,164.14M,164.14M,-66.95M,,,37.52M,,7.263M,8.724M,-55.71M,190.82M,,,-18.35M,125.49M,990.59M,-64.00M,,-64.00M,,0.00,-561.38M,-4.743M,-630.13M,,,,,-336.90M,-336.90M,,11.11M,3.431M,-322.36M,828.60M,38.11M,-3.51M,863.20M,,,,-336.90M
2014-03,479.73M,,,,,,,190.96M,190.96M,-79.56M,,,46.34M,,-71.48M,-197.68M,-16.98M,-190.01M,,,-56.70M,-461.37M,104.63M,-54.31M,,-54.31M,,-25.00M,91.30M,-6.002M,5.993M,,,,,,,,22.36M,92.51M,114.88M,602.56M,225.49M,0.545M,828.60M,,,,
2013-12,457.26M,,,,,,,158.34M,158.34M,-78.91M,,,31.45M,,8.977M,108.86M,-61.09M,330.11M,,,74.23M,291.91M,869.03M,-78.65M,,-78.67M,0.019M,-15.00M,-639.61M,23.25M,-710.01M,-0.06M,,-0.06M,,0.008M,0.008M,,10.43M,0.828M,11.21M,427.81M,170.23M,4.582M,602.60M,,0.00,-0.06M,0.008M
2013-09,487.62M,,,,,,,147.48M,147.48M,-48.14M,,,37.46M,,5.918M,-34.17M,-53.64M,126.76M,,,2.638M,41.59M,671.92M,-80.19M,,-80.19M,0.00,0.00,-235.12M,-9.08M,-324.39M,0.00,,0.00,,-359.28M,-359.28M,,17.36M,23.40M,-318.52M,392.51M,29.01M,6.296M,427.81M,,,0.00,-359.28M
2013-06,490.67M,,,,,,,128.43M,128.43M,-51.52M,,,30.63M,,-9.053M,-110.14M,-68.36M,164.94M,,,49.62M,36.06M,625.21M,-3.317B,,-54.15M,-3.263B,0.00,-382.09M,2.973B,-726.24M,-202.34M,,-202.34M,,0.00,0.00,,17.18M,14.39M,-170.76M,663.30M,-271.79M,0.997M,392.51M,,-200.00M,-2.34M,0.00
2013-03,426.75M,,,,,,,97.45M,97.45M,-66.52M,,,36.76M,,-33.44M,-75.55M,-60.81M,-180.91M,,,35.21M,-282.05M,178.94M,-33.29M,,-33.29M,,0.00,3.169B,-2.980B,155.94M,-250.00M,,-250.00M,,-41.02M,-41.02M,,21.82M,30.78M,-238.42M,570.72M,96.46M,-3.875M,663.30M,,200.00M,-450.00M,-41.02M
2012-12,292.13M,,,,,,,96.88M,96.88M,-30.04M,,,30.19M,,22.78M,-14.92M,-57.89M,273.37M,,,-77.24M,95.98M,507.91M,-69.04M,,-69.04M,0.00,0.00,-305.91M,-0.503M,-375.45M,-2.428M,,-2.428M,,-21.54M,-21.54M,,9.215M,-0.767M,-15.52M,451.72M,116.93M,2.069M,570.72M,,,-2.428M,-21.54M
2012-09,398.40M,,,,,,,94.20M,94.20M,-43.03M,,,27.91M,,27.11M,29.24M,-38.06M,,,,46.00M,37.18M,541.78M,-58.06M,,-58.06M,0.00,0.00,-448.96M,-15.37M,-522.39M,0.00,,0.00,,-53.22M,-53.22M,,15.20M,9.773M,-28.25M,456.81M,-8.856M,3.768M,451.72M,,,0.00,-53.22M
2012-06,387.14M,,,,,,,90.62M,90.62M,-39.96M,,,28.07M,,8.003M,78.31M,-25.34M,82.03M,,,26.69M,161.70M,635.58M,-72.90M,,-72.90M,0.00,0.00,22.66M,-2.875M,-53.12M,0.00,,0.00,,-446.78M,-446.78M,,19.00M,10.34M,-417.44M,298.14M,165.02M,-6.353M,456.81M,,,0.00,-446.78M
2012-03,302.37M,,,,,,,83.94M,83.94M,-3.876M,,,32.40M,,-29.07M,-89.07M,-19.03M,-82.03M,,,-1.009M,-191.13M,194.62M,-54.55M,,-54.55M,,-72.40M,147.34M,-19.77M,0.618M,0.00,,0.00,,-463.17M,-463.17M,,24.08M,22.83M,-416.26M,514.54M,-221.02M,4.618M,298.14M,,0.00,0.00,-463.17M
2011-12,300.21M,,,,,,,88.72M,88.72M,37.88M,,,26.38M,,35.65M,-56.04M,-23.45M,90.46M,,,17.41M,-14.86M,473.97M,-70.44M,,-70.44M,,-5.00M,-305.36M,-8.734M,-389.53M,,,,-299.47M,-111.40M,-410.87M,,,-35.13M,-142.81M,575.14M,-58.37M,-2.231M,514.54M,-299.47M,,,-111.40M
2011-09,353.66M,,,,,,,87.37M,87.37M,67.07M,,,29.23M,,11.29M,37.58M,-35.77M,10.75M,,,9.345M,21.90M,570.52M,-51.35M,,-51.35M,,0.00,-506.19M,-29.64M,-587.18M,,,,13.58M,0.00,13.58M,,,-112.71M,-99.13M,697.53M,-115.78M,-6.604M,575.14M,13.58M,,,0.00
2011-06,304.05M,,,,,,,90.30M,90.30M,-23.35M,,,24.28M,,-7.096M,35.80M,,81.58M,,,-75.90M,41.48M,429.67M,-54.09M,,-54.09M,,0.00,-488.08M,-4.619M,-546.79M,,,,194.73M,-191.29M,3.44M,,,18.47M,21.91M,790.68M,-95.22M,2.068M,697.53M,194.73M,,,-191.29M
2011-03,308.77M,,,,,,,92.54M,92.54M,71.97M,,,33.12M,,-19.69M,-90.71M,,-149.06M,,,6.638M,-233.14M,253.58M,-32.14M,,-32.14M,,0.00,-120.65M,26.00M,-126.80M,,,,91.16M,-195.29M,-104.13M,,,4.30M,-99.83M,759.60M,26.95M,4.126M,790.68M,91.16M,,,-195.29M
2010-12,271.75M,,-1.748M,16.11M,,14.36M,,95.66M,95.66M,-20.17M,-7.511M,,33.23M,-6.852M,-0.709M,-27.35M,-20.84M,113.50M,-12.58M,,-1.437M,51.29M,431.06M,-48.84M,,-48.84M,0.00,-32.50M,-432.80M,,-518.62M,-18.07M,16.18M,-1.891M,-80.45M,0.00,-80.45M,,,124.78M,225.93M,626.76M,138.36M,-5.519M,759.60M,-80.45M,,-1.891M,0.00
2010-09,112.18M,,1.748M,-4.813M,,-3.065M,,90.13M,90.13M,-30.93M,-3.566M,,39.22M,-0.686M,235.58M,-77.59M,-5.136M,0.253M,56.35M,,15.49M,-10.63M,428.24M,-38.96M,0.00,-38.96M,0.00,-84.95M,54.16M,,-69.75M,14.14M,-16.18M,-2.04M,17.25M,-468.24M,-450.99M,,,-8.228M,-461.26M,720.96M,-102.77M,8.567M,626.76M,17.25M,,-2.04M,-468.24M
2010-06,294.65M,,,-6.315M,,-6.315M,,87.45M,87.45M,-38.36M,4.485M,,44.36M,-1.219M,2.876M,8.685M,9.183M,61.94M,-56.35M,,17.10M,40.55M,428.48M,-47.05M,,-47.05M,0.00,0.00,731.02M,,683.96M,-12.13M,,-12.13M,10.38M,-1.032B,-1.021B,,,7.384M,-1.026B,639.56M,86.32M,-4.916M,720.96M,10.38M,,-12.13M,-1.032B
2010-03,219.99M,,,-4.985M,,-4.985M,,82.51M,82.51M,8.042M,18.40M,,51.01M,-4.379M,43.96M,-31.64M,12.26M,-44.81M,,,-13.46M,-77.65M,336.90M,-38.21M,,-38.21M,0.00,-39.98M,327.92M,,249.74M,-2.011M,,-2.011M,52.82M,-577.58M,-524.76M,,,3.313M,-523.46M,581.89M,63.17M,-5.502M,639.56M,52.82M,,-2.011M,-577.58M
2009-12,306.00M,,0.00,-6.789M,,-6.789M,,93.20M,93.20M,-64.77M,23.24M,,41.00M,-0.242M,-8.462M,-4.737M,-17.58M,-11.21M,,,-70.31M,-103.83M,279.34M,-55.52M,,-55.52M,,0.00,444.21M,-6.067M,382.62M,,,,14.57M,-693.54M,-678.96M,,,10.80M,-666.76M,585.79M,-4.795M,0.896M,581.89M,14.57M,,,-693.54M
2009-09,279.60M,,0.00,-1.751M,,-1.751M,,85.88M,85.88M,-29.81M,-0.136M,,41.01M,-0.394M,-3.313M,-27.45M,-10.84M,-60.68M,,,-5.866M,-104.84M,266.26M,-38.41M,,-38.41M,,0.00,-436.53M,0.502M,-474.43M,,,,8.849M,0.00,8.849M,,,-2.466M,6.383M,786.80M,-201.79M,0.777M,585.79M,8.849M,,,0.00
2009-06,144.88M,,0.00,-11.12M,,-11.12M,,126.73M,126.73M,-35.80M,3.981M,,41.00M,-0.518M,4.909M,-43.45M,-1.633M,142.96M,,,-143.40M,-45.52M,228.55M,-34.68M,,-34.68M,,0.00,-182.40M,5.565M,-211.51M,,,,7.344M,0.00,7.344M,,,-4.193M,3.151M,764.10M,20.19M,2.512M,786.80M,7.344M,,,0.00
2009-03,246.58M,,,-4.313M,,-4.313M,,122.15M,122.15M,-6.973M,6.021M,,37.89M,-2.282M,-1.026M,-11.68M,-12.72M,-120.01M,,,47.11M,-97.29M,300.75M,-37.04M,,-37.04M,,0.00,-84.66M,29.99M,-91.71M,,,,17.04M,-57.63M,-40.59M,,,-26.34M,-66.93M,622.38M,142.12M,-0.397M,764.10M,17.04M,,,-57.63M
2008-12,208.43M,,,-2.696M,,-11.94M,,122.02M,122.02M,-81.96M,30.14M,,41.87M,-0.566M,67.60M,27.39M,-19.83M,362.96M,,,-338.87M,31.65M,407.24M,-53.99M,-0.016M,-54.01M,,0.00,-559.89M,148.14M,-465.76M,,0.00,0.00,11.45M,-179.17M,-167.72M,,,-164.08M,-331.79M,1.011B,-390.30M,1.988M,622.38M,11.45M,0.00,0.00,-179.17M
2008-09,207.80M,,,9.702M,,9.702M,,127.57M,127.57M,-42.83M,16.05M,,36.69M,-8.976M,-10.80M,-21.36M,-6.189M,54.02M,,,150.51M,176.99M,512.19M,-64.87M,0.016M,-64.85M,,0.00,-3.43M,-31.19M,-99.47M,,0.00,0.00,77.50M,0.00,77.50M,,,57.33M,134.83M,466.49M,547.55M,-3.343M,1.011B,77.50M,0.00,0.00,0.00
2008-06,373.88M,,,-0.661M,,-0.661M,,105.54M,105.54M,-21.94M,15.45M,,33.12M,-10.82M,-165.24M,-56.26M,-21.84M,90.29M,,,-65.50M,-53.30M,276.02M,-71.06M,,-71.06M,,0.00,-156.91M,-22.25M,-250.22M,,-1.512B,-1.512B,61.22M,-319.55M,-258.33M,,,1.521B,-250.13M,688.50M,-224.33M,2.324M,466.49M,61.22M,0.104M,-1.512B,-319.55M
2008-03,,,,-5.267M,,-5.267M,,106.93M,106.93M,7.183M,,,34.53M,-7.626M,212.23M,-47.58M,-6.344M,11.12M,,,61.81M,19.01M,366.98M,-86.03M,,-86.03M,,-25.00M,477.09M,83.52M,449.58M,,986.88M,986.88M,28.31M,-240.22M,-211.91M,,,-1.562B,-787.53M,659.66M,29.03M,-0.193M,688.50M,28.31M,986.88M,,-240.22M
2007-12,-437.02M,,,0.935M,,0.935M,,102.26M,102.26M,-41.19M,-26.10M,,31.92M,-38.27M,690.00M,-18.39M,-12.33M,-18.75M,,,112.79M,63.32M,345.86M,-108.36M,-0.143M,-108.50M,,-3.50M,-296.43M,,-616.64M,0.00,0.617M,0.617M,241.74M,-0.001M,241.74M,,,251.29M,493.65M,437.33M,222.88M,-0.542M,659.66M,241.74M,0.617M,0.00,-0.001M
2007-09,119.38M,,,-10.67M,,-10.67M,,96.76M,96.76M,-22.19M,5.398M,,31.79M,-21.56M,53.51M,-15.53M,-18.78M,50.70M,,,-58.37M,-41.99M,210.43M,-58.57M,16.81M,-41.76M,,-50.00M,25.11M,,-66.65M,0.00,1.496B,1.496B,165.69M,-2.991B,-2.825B,,,11.99M,-1.318B,1.612B,-1.174B,-0.348M,437.33M,165.69M,1.504B,-8.339M,-2.991B
2007-06,186.14M,,,-7.244M,,-7.244M,,92.46M,92.46M,-23.19M,11.17M,,29.86M,-4.647M,1.047M,-45.07M,-28.89M,-12.98M,,,3.363M,-83.58M,202.02M,-79.85M,,-79.85M,,0.00,643.94M,,564.09M,-6.563M,8.133M,1.57M,58.84M,0.00,58.84M,,,4.002M,64.41M,780.94M,830.52M,0.117M,1.612B,58.84M,8.133M,-6.563M,0.00
2007-03,131.50M,,,0.245M,,0.245M,,88.82M,88.82M,5.015M,9.177M,,29.56M,-5.193M,18.84M,10.31M,-23.19M,13.49M,,,-16.25M,-15.63M,262.33M,-37.33M,,-37.33M,,-42.29M,-87.76M,,-167.38M,,-3.703M,-3.703M,22.91M,0.00,22.91M,,,5.196M,24.40M,661.38M,119.35M,0.215M,780.94M,22.91M,0.00,-3.703M,0.00
2006-12,-108.96M,,-330.52M,-3.589M,,-306.06M,,87.22M,87.22M,-26.56M,-16.71M,,24.72M,-19.39M,580.51M,-29.55M,-13.66M,91.65M,,,-21.42M,27.02M,241.80M,-64.47M,98.07M,33.60M,,-59.80M,-37.48M,,-63.68M,0.00,-10.23M,-10.23M,60.12M,0.00,60.12M,,,18.67M,68.57M,414.59M,246.70M,0.088M,661.38M,60.12M,2.39M,-12.62M,0.00
2006-09,156.60M,,330.52M,0.662M,,331.18M,,89.73M,89.73M,-33.68M,1.316M,,36.43M,-2.052M,-323.77M,9.579M,-4.316M,2.26M,,,-3.447M,4.076M,259.84M,-54.12M,0.085M,-54.03M,,0.00,175.52M,,121.49M,-15.23M,15.30M,0.073M,12.35M,-319.90M,-307.55M,,,-3.79M,-311.27M,345.10M,70.06M,-0.571M,414.59M,12.35M,0.073M,0.00,-319.90M
2006-06,-170.61M,,,0.954M,,-32.94M,,75.69M,75.69M,-19.57M,9.985M,,42.00M,4.954M,330.59M,-35.28M,-7.152M,-23.64M,,,9.337M,-56.74M,183.37M,-14.09M,2.006M,-12.09M,,-303.45M,-69.84M,,-385.37M,10.79M,0.00,10.79M,18.13M,-0.366M,17.76M,,,-17.92M,10.63M,535.86M,-191.37M,0.607M,345.10M,18.13M,10.79M,0.00,-0.366M
2006-03,122.97M,,,0.804M,,0.506M,,123.23M,123.23M,-26.53M,5.405M,,23.62M,-15.20M,-0.108M,-9.401M,-11.50M,-56.46M,,,-0.275M,-77.64M,156.25M,-65.63M,33.85M,-31.78M,,0.00,-240.43M,,-272.21M,4.441M,,4.441M,56.36M,,56.36M,,,22.86M,83.66M,568.17M,-32.30M,0.00,535.86M,56.36M,4.441M,0.00,
2005-12,-105.15M,,,2.281M,,120.39M,,97.52M,97.52M,16.67M,-166.21M,,18.68M,,237.21M,-19.53M,26.32M,29.49M,,,19.34M,55.62M,274.74M,-102.43M,0.00,-102.43M,,0.00,31.48M,,-70.94M,-0.001M,,-0.001M,31.58M,0.00,31.58M,,,36.30M,67.88M,296.49M,271.68M,0.00,568.17M,31.58M,,-0.001M,0.00
2005-09,27.18M,,,-80.11M,,-80.11M,,109.75M,109.75M,-50.22M,139.61M,,2.836M,,-4.364M,-8.233M,8.045M,29.54M,,,-0.857M,28.50M,173.19M,-59.73M,0.00,-59.73M,,0.00,-474.56M,,-534.29M,0.00,,0.00,23.61M,0.00,23.61M,,,-4.317M,19.29M,638.40M,-341.82M,-0.091M,296.49M,23.61M,0.00,0.00,0.00
2005-06,34.51M,,,75.12M,,75.12M,,98.82M,98.82M,-72.60M,8.309M,,8.778M,,12.17M,14.80M,-19.76M,77.44M,,,-8.893M,63.58M,228.69M,-90.37M,408.13M,317.76M,,0.00,709.93M,,1.028B,-746.42M,,-746.42M,14.52M,-154.12M,-139.59M,,,-8.511M,-894.52M,276.44M,361.87M,0.091M,638.40M,14.52M,0.00,-746.42M,-154.12M
2005-03,43.46M,,,7.972M,,7.972M,,96.11M,96.11M,-9.391M,55.89M,,7.851M,,18.92M,0.838M,-30.45M,-7.797M,,,29.48M,-7.928M,212.89M,-65.85M,0.00,-65.85M,,,61.13M,,-4.714M,0.00,,0.00,49.91M,-168.48M,-118.56M,,,-22.61M,-141.18M,209.45M,67.00M,,276.44M,49.91M,0.00,,-168.48M
