,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,225.23M,,3.564M,3.564M,142.80M,142.80M,43.62M,0.00,9.685M,,9.959M,-97.82M,57.62M,-62.83M,,49.38M,-18.66M,-72.31M,,362.54M,-232.44M,,-232.44M,,-19.06M,30.37M,18.54M,-200.13M,104.67M,104.67M,,-290.38M,-290.38M,,-1.185M,-35.66M,-222.55M,518.92M,-77.97M,6.668M,447.62M,-17.83M,,13.31B,-13.20B,-290.38M
2017-12,340.68M,0.00,9.854M,9.854M,183.96M,183.96M,-262.44M,280.07M,6.614M,,25.22M,-78.16M,-32.90M,8.281M,,-37.54M,-98.63M,-238.94M,,345.02M,-265.42M,,-265.42M,,-79.14M,85.55M,-0.193M,-259.18M,263.31M,263.31M,,-481.54M,-481.54M,,5.471M,-23.67M,-236.42M,538.99M,-14.87M,-5.195M,518.92M,135.72M,,12.83B,-12.57B,-481.54M
2017-09,-172.03M,-17.13M,9.704M,-7.425M,203.28M,203.28M,-173.72M,601.04M,10.97M,,13.09M,32.48M,45.34M,74.49M,,25.45M,-99.88M,77.88M,,553.09M,-240.89M,,-240.89M,,-108.52M,73.09M,22.29M,-253.94M,-44.43M,-44.43M,,-89.74M,-89.74M,,7.618M,-38.10M,-164.65M,453.21M,84.52M,1.257M,538.99M,-49.97M,,12.63B,-12.68B,-89.74M
2017-06,161.62M,-6.273M,7.944M,1.671M,200.04M,200.04M,20.85M,61.12M,7.903M,,19.15M,-153.72M,-22.16M,-29.68M,,23.62M,-140.53M,-322.46M,,149.89M,-184.40M,,-184.40M,,-542.66M,101.82M,23.62M,-601.62M,-27.89M,-27.89M,,-231.67M,-231.67M,,4.833M,-51.51M,-306.24M,1.218B,-766.20M,1.372M,453.21M,-8.227M,,12.73B,-12.75B,-231.67M
2017-03,500.28M,,1.423M,1.423M,190.21M,190.21M,20.09M,39.37M,9.601M,,9.464M,-68.34M,-8.909M,-26.21M,,-9.633M,207.83M,94.74M,,865.17M,-214.54M,,-214.54M,,-78.37M,-3.693M,46.61M,-249.99M,-36.14M,-36.14M,,0.00,0.00,,3.33M,-26.13M,-58.94M,683.46M,531.75M,2.82M,1.218B,-24.49M,,12.80B,-12.84B,0.00
2016-12,188.27M,0.00,0.941M,0.941M,188.78M,188.78M,3.232M,43.41M,8.521M,,-16.51M,-110.32M,35.96M,57.40M,,56.94M,34.22M,74.22M,,490.86M,-253.78M,,-253.85M,0.075M,-81.99M,345.61M,45.73M,55.57M,-25.73M,-25.73M,,-476.92M,-476.92M,,5.028M,-46.38M,-544.00M,913.50M,18.23M,5.94M,683.46M,,,12.89B,-12.91B,-476.92M
2016-09,612.15M,-374.37M,2.55M,-371.82M,181.74M,181.74M,28.83M,0.00,6.10M,,-13.96M,124.34M,-3.832M,-68.32M,,6.724M,33.67M,92.59M,,535.62M,-216.69M,,-216.62M,-0.075M,-26.86M,-257.06M,1.598M,-499.01M,-37.48M,-37.48M,,-345.97M,-345.97M,,9.05M,-30.02M,-404.42M,1.283B,-367.81M,-2.108M,913.50M,,,12.97B,-13.00B,-345.97M
2016-06,94.50M,-29.79M,9.037M,-20.75M,180.38M,180.38M,-27.57M,176.00M,10.62M,,11.61M,-58.19M,-4.289M,15.03M,,57.15M,82.14M,91.84M,,516.64M,-185.44M,,-185.44M,,-30.18M,-1.039M,12.74M,-203.92M,-41.23M,-41.23M,,0.00,0.00,,6.298M,-35.52M,-70.46M,1.041B,242.26M,-0.273M,1.283B,,,13.04B,-13.08B,0.00
2016-03,138.16M,,5.238M,5.238M,169.36M,169.36M,47.52M,77.00M,13.10M,,11.51M,-153.42M,-4.924M,7.782M,,55.67M,62.02M,-32.87M,,429.00M,-173.19M,,-173.19M,,-411.00M,25.22M,4.657M,-554.31M,-20.19M,-20.19M,,-274.93M,-274.93M,,3.167M,-41.15M,-333.10M,1.499B,-458.41M,0.717M,1.041B,,,13.10B,-13.12B,-274.93M
2015-12,34.47M,0.00,-1.27M,-1.27M,163.33M,163.33M,32.67M,206.17M,13.87M,19.56M,22.17M,-46.88M,-12.46M,19.52M,,16.80M,-31.28M,-54.30M,,436.67M,-245.78M,,-245.78M,,-10.05M,511.51M,12.85M,268.60M,-96.29M,-96.29M,,-165.82M,-165.82M,,6.353M,2.914M,-252.85M,1.047B,426.57M,-0.727M,1.245B,,,13.17B,-13.27B,-165.82M
2015-09,261.31M,0.00,5.306M,5.306M,162.06M,162.06M,-3.383M,0.00,14.50M,-2.642M,1.865M,70.09M,-13.08M,-39.35M,,-81.06M,303.39M,239.99M,,679.00M,-171.34M,,-171.34M,0.00,-51.72M,16.51M,3.45M,-203.05M,-28.68M,-28.68M,,-300.00M,-300.00M,,15.12M,-47.66M,-361.21M,933.74M,114.74M,-1.051M,1.047B,,,13.23B,-13.26B,-300.00M
2015-06,207.78M,0.00,2.718M,2.718M,158.84M,158.84M,227.03M,4.065M,15.54M,-9.329M,-432.92M,-22.95M,-13.59M,61.76M,,116.96M,-284.47M,-142.29M,,31.44M,-169.45M,,-169.45M,,-4.533M,-521.92M,0.85M,-695.05M,696.43M,696.43M,,-14.05M,-14.05M,,-0.968M,-95.45M,585.96M,1.011B,-77.65M,0.111M,933.74M,,,14.79B,-14.09B,-14.05M
2015-03,-76.15M,,2.539M,2.539M,153.79M,153.79M,-194.57M,0.00,12.76M,-7.584M,502.86M,-170.36M,-9.193M,-10.93M,,60.77M,146.16M,16.44M,,410.09M,-121.42M,,-121.42M,,-48.08M,-85.36M,2.565M,-252.29M,-28.44M,-28.44M,,-70.06M,-70.06M,,5.648M,-18.02M,-110.87M,965.24M,46.93M,-0.904M,1.011B,,,13.35B,-13.38B,-70.06M
2014-12,250.39M,,4.118M,-26.49M,153.60M,153.60M,226.71M,,12.42M,-12.61M,-371.08M,-126.52M,-21.20M,-5.288M,,10.66M,-160.59M,-302.94M,,-69.99M,-198.79M,,-197.82M,-0.968M,-56.88M,-196.44M,5.171M,-446.54M,-39.29M,-39.29M,,0.00,0.00,,4.976M,-11.66M,-45.97M,1.527B,-562.50M,0.711M,965.24M,,,13.42B,-13.46B,0.00
2014-09,219.78M,,3.75M,11.49M,148.86M,148.86M,-12.58M,,14.62M,-2.427M,17.00M,184.83M,-14.47M,48.35M,,40.96M,191.46M,451.14M,,847.90M,-164.95M,,-164.91M,-0.04M,-147.41M,-79.47M,3.405M,-388.33M,-317.13M,-317.13M,,,,,7.25M,-45.78M,-355.66M,1.421B,103.91M,2.149M,1.527B,,,13.48B,-13.80B,
2014-06,181.42M,,2.444M,16.96M,145.90M,145.90M,24.06M,,14.62M,-11.90M,100.81M,-88.35M,1.549M,-3.464M,,11.36M,-127.31M,-206.22M,,262.39M,-152.03M,,-152.03M,0.001M,-35.34M,-60.05M,0.159M,-247.06M,413.59M,413.59M,,0.00,0.00,,3.824M,-118.64M,298.77M,1.108B,314.10M,-1.198M,1.421B,,,16.96B,-16.54B,0.00
2014-03,211.74M,,-0.187M,8.159M,142.56M,142.56M,31.88M,,15.07M,-18.34M,-3.262M,-72.30M,-12.28M,-42.56M,,20.62M,134.56M,28.03M,,419.11M,-126.57M,,-126.56M,-0.011M,-67.86M,-1.565M,0.056M,-195.79M,-65.15M,-65.15M,,0.00,0.00,,3.45M,-0.425M,-62.12M,946.25M,161.19M,0.631M,1.108B,,,16.18B,-16.24B,0.00
2013-12,244.27M,,1.798M,56.00M,138.73M,138.73M,32.73M,,12.90M,-4.475M,-31.35M,-153.17M,-3.477M,88.25M,,-12.69M,-13.54M,-94.63M,,354.19M,-220.41M,,-218.07M,-2.338M,-76.90M,-2.753M,-0.024M,-299.80M,-53.72M,-53.72M,,,,,3.991M,-29.04M,-78.77M,970.69M,-24.38M,-0.068M,946.25M,,,16.34B,-16.40B,
2013-09,169.84M,,1.57M,16.42M,133.00M,133.00M,54.30M,,14.83M,-3.28M,97.00M,68.28M,-6.418M,23.31M,,8.598M,157.25M,251.02M,,733.13M,-141.18M,,-141.13M,-0.046M,-82.69M,-3.346M,-2.081M,-229.20M,-132.92M,-132.92M,,,,,3.613M,-21.16M,-150.47M,617.90M,353.46M,-0.665M,970.69M,,,16.50B,-16.63B,
2013-06,283.36M,,1.99M,-55.66M,130.63M,130.63M,36.45M,,16.24M,-21.48M,0.00,41.44M,-1.238M,-11.00M,,3.628M,-115.54M,-82.71M,,306.82M,-141.54M,,-141.67M,0.13M,-60.61M,-1.726M,2.006M,-201.88M,-186.96M,-186.96M,,,,,2.986M,-2.381M,-186.36M,699.67M,-81.41M,-0.353M,617.90M,,,16.65B,-16.84B,
2013-03,59.73M,,-2.486M,-13.88M,125.76M,125.76M,-101.96M,,16.02M,-6.957M,300.00M,-124.62M,2.162M,-83.90M,,79.28M,127.58M,0.498M,,379.21M,-116.86M,,-116.72M,-0.137M,-91.50M,-0.125M,62.36M,-146.01M,-63.69M,-63.69M,,,,,5.833M,-9.538M,-67.39M,533.75M,165.80M,0.119M,699.67M,,,16.80B,-16.86B,
2012-12,183.80M,,3.374M,16.52M,109.54M,109.54M,73.85M,,10.53M,-22.69M,-12.16M,-9.641M,2.094M,59.08M,,-76.14M,-146.70M,-171.31M,,200.24M,-170.75M,,-171.20M,0.446M,-3.876B,-0.074M,1.441M,-4.046B,2.792B,2.792B,,,,,-1.748M,1.208B,3.998B,382.19M,152.38M,-0.829M,533.75M,,,16.26B,-13.46B,
2012-09,172.55M,,0.149M,4.49M,80.59M,80.59M,56.83M,,10.51M,-24.50M,-13.99M,5.054M,0.245M,-26.38M,,21.87M,65.38M,66.17M,,366.63M,-129.72M,,-128.44M,-1.276M,-72.34M,2.416M,0.095M,-199.55M,1.207B,1.207B,,,,,3.55M,-1.269B,-58.49M,273.44M,108.60M,0.151M,382.19M,,,9.775B,-8.567B,
2012-06,120.00M,,-0.622M,5.156M,77.81M,77.81M,4.497M,,11.79M,-8.74M,3.054M,23.90M,-3.138M,28.80M,,47.89M,-105.86M,-8.413M,,202.10M,-138.05M,,-138.05M,0.00,-214.08M,-2.595M,1.198M,-353.52M,-13.70M,-13.70M,,,,,3.182M,-13.79M,-24.31M,449.29M,-175.73M,-0.119M,273.44M,,,8.583B,-8.597B,
2012-03,164.88M,,0.483M,7.608M,75.98M,75.98M,-2.445M,,12.55M,-6.101M,6.449M,-15.25M,4.851M,-20.62M,,17.46M,92.97M,79.40M,,331.87M,-112.46M,,-112.46M,0.00,-132.70M,10.64M,0.825M,-233.69M,-23.40M,-23.40M,,,,,1.663M,-20.92M,-42.66M,393.75M,55.53M,0.011M,449.29M,,,8.635B,-8.658B,
2011-12,176.13M,,0.116M,20.44M,72.99M,72.99M,18.16M,0.00,12.33M,-1.194M,35.49M,-55.40M,-1.497M,-60.71M,,-43.25M,29.05M,-131.80M,,150.66M,-148.28M,,-148.28M,,-152.72M,11.21M,23.56M,-266.22M,-27.88M,-27.88M,,0.00,0.00,,1.43M,-5.444M,-31.89M,541.21M,-147.45M,0.00,393.75M,,,8.889B,-8.917B,0.00
2011-09,161.85M,,-0.234M,-11.08M,67.82M,67.82M,15.48M,0.00,13.33M,-0.631M,-11.65M,79.54M,2.398M,68.87M,,16.98M,64.23M,232.02M,,495.19M,-96.95M,,-96.95M,,-775.93M,-0.242M,48.33M,-824.45M,187.32M,187.32M,,-32.76M,-32.76M,,2.476M,-16.40M,140.64M,729.82M,-188.62M,0.00,541.21M,,,8.336B,-8.149B,-32.76M
2011-06,120.66M,,-0.948M,4.388M,64.47M,64.47M,25.90M,24.00M,13.34M,-11.81M,25.53M,-63.74M,1.94M,-11.75M,,-35.20M,72.21M,-36.54M,,204.41M,-87.40M,-2.812M,-90.21M,,-69.67M,-6.578M,3.294M,-163.17M,-14.27M,-14.27M,,-290.59M,-290.59M,22.19M,4.00M,-38.75M,-317.43M,1.006B,-276.18M,0.00,729.82M,,,8.186B,-8.201B,-290.59M
2011-03,114.75M,,1.42M,6.926M,62.04M,62.04M,32.09M,,9.716M,-7.196M,2.52M,4.461M,7.429M,87.98M,,9.483M,2.101M,111.46M,,329.78M,-67.53M,2.812M,-64.72M,,-81.52M,0.853M,,-145.39M,-17.51M,-17.51M,,,,-22.19M,3.41M,-2.215M,-38.50M,860.12M,145.89M,0.00,1.006B,,,10.98B,-11.00B,
2010-12,92.44M,,-0.25M,-5.90M,60.07M,60.07M,24.85M,0.00,12.06M,-4.204M,79.84M,-27.62M,-6.933M,-35.42M,,6.861M,-75.50M,-138.61M,,120.55M,-104.23M,,-104.23M,,-51.57M,-0.143M,4.256M,-151.32M,944.99M,944.99M,,-469.83M,-469.83M,,14.34M,-133.19M,356.32M,534.56M,325.55M,,860.12M,,,10.07B,-9.128B,-469.83M
2010-09,142.88M,,-0.267M,2.298M,58.49M,58.49M,75.06M,0.00,11.09M,-0.432M,0.00,-28.50M,1.036M,-83.00M,,-92.18M,74.63M,-128.02M,,161.37M,-70.02M,,-70.02M,,-45.94M,-0.333M,0.79M,-115.51M,-21.58M,-21.58M,,-48.62M,-48.62M,,5.303M,-21.11M,-86.01M,574.72M,-40.15M,,534.56M,,,5.047B,-5.068B,-48.62M
2010-06,248.89M,,-1.447M,2.333M,58.35M,58.35M,-2.363M,0.00,12.17M,-0.269M,-120.87M,21.84M,0.187M,55.88M,,18.94M,0.835M,97.68M,,295.92M,-56.77M,-16.26M,-73.03M,,-90.63M,0.091M,17.33M,-146.24M,-223.61M,-223.61M,,-97.74M,-97.74M,18.66M,13.04M,-41.22M,-330.87M,755.91M,-181.19M,,574.72M,,,4.813B,-5.036B,-97.74M
2010-03,,,-1.334M,-2.029M,57.47M,57.47M,4.562M,,10.23M,-1.378M,125.00M,44.94M,1.818M,66.77M,,-45.06M,-0.467M,67.99M,,261.85M,-42.58M,16.26M,-26.32M,,-1.069M,3.477M,0.35M,-23.56M,-25.04M,-25.04M,,-2.307M,-2.307M,-18.66M,21.07M,3.099M,-21.83M,539.46M,216.45M,,755.91M,,,4.877B,-4.902B,-2.307M
2009-12,-354.18M,,0.862M,6.484M,56.86M,56.86M,5.452M,,10.57M,6.972M,441.59M,2.982M,-0.743M,-86.40M,,24.84M,-0.013M,-59.34M,,152.59M,-68.95M,1.441M,-67.51M,,-23.62M,-6.185M,,-97.31M,-24.21M,-24.21M,,-92.27M,-92.27M,-20.86M,37.60M,2.24M,-97.50M,581.68M,-42.22M,,539.46M,,,4.843B,-4.867B,-92.27M
2009-09,126.27M,,-0.708M,3.235M,56.81M,56.81M,15.41M,,11.44M,1.936M,13.37M,-20.35M,-3.186M,-3.688M,,-26.02M,5.634M,-47.62M,,167.49M,-67.45M,6.256M,-61.19M,,-20.69M,-0.625M,-5.872M,-88.38M,-14.39M,-14.39M,,-29.21M,-29.21M,-16.99M,13.62M,5.431M,-41.54M,544.11M,37.57M,,581.68M,,,4.810B,-4.825B,-29.21M
2009-06,119.63M,,-0.376M,3.953M,58.18M,58.18M,13.58M,,11.40M,1.001M,12.40M,-77.71M,5.989M,67.13M,,11.76M,-2.533M,4.633M,,212.38M,-65.00M,-4.199M,-69.20M,,-3.486M,5.106M,5.872M,-61.71M,-11.43M,-11.43M,-7.541M,1.424M,-6.117M,-16.33M,7.589M,14.04M,-12.24M,405.68M,138.43M,,544.11M,,-7.541M,6.495B,-6.506B,1.424M
2009-03,108.27M,,0.018M,7.069M,57.12M,57.12M,16.43M,,11.01M,1.382M,12.39M,27.66M,13.06M,-46.48M,,-54.12M,-7.162M,-67.04M,,134.25M,-73.20M,4.199M,-69.00M,,-39.83M,10.17M,,-98.66M,-11.20M,-11.20M,7.541M,-33.44M,-25.90M,-13.57M,9.102M,0.779M,-40.78M,410.88M,-5.198M,,405.68M,,7.541M,2.620B,-2.631B,-33.44M
2008-12,145.52M,,-0.796M,12.96M,56.24M,56.24M,38.76M,,41.24M,5.975M,-33.27M,-32.19M,-1.467M,8.533M,,-6.086M,5.736M,-25.48M,,241.94M,-94.11M,-0.451M,-94.50M,-0.065M,-0.793M,17.15M,-21.00M,-99.21M,-13.55M,-12.30M,-3.895M,-87.45M,-91.35M,-59.36M,40.25M,2.959M,-119.80M,387.95M,22.93M,,410.88M,,-3.895M,17.09B,-17.10B,-87.45M
2008-09,71.96M,,-0.523M,-3.52M,54.97M,54.97M,38.99M,,-19.22M,-2.209M,38.11M,-26.22M,-0.947M,11.44M,,-43.12M,-3.432M,-62.28M,,116.80M,-78.84M,0.326M,-78.58M,0.065M,-54.40M,-0.816M,22.75M,-110.99M,-0.346M,-1.596M,15.20M,22.89M,38.09M,29.42M,-12.77M,1.999M,55.14M,326.99M,60.96M,,387.95M,,15.20M,-8.398B,8.397B,22.89M
2008-06,116.90M,,-0.004M,3.103M,52.89M,52.89M,24.61M,,9.668M,1.002M,-6.195M,-116.17M,-3.80M,5.897M,,64.58M,-5.445M,-54.94M,,147.04M,-80.38M,0.102M,-80.23M,-0.045M,-41.09M,0.087M,,-121.28M,2.049M,2.049M,8.755M,-182.25M,-173.50M,-12.54M,4.245M,1.644M,-178.09M,479.32M,-152.33M,,326.99M,,8.755M,4.347B,-4.345B,-182.25M
2008-03,86.93M,,0.527M,1.882M,52.81M,52.81M,-7.439M,,9.548M,1.207M,13.15M,-16.32M,3.499M,-30.14M,,-6.50M,-0.721M,-50.18M,,107.91M,-64.69M,0.023M,-64.65M,-0.02M,-5.671M,4.08M,,-66.26M,-1.703M,-1.703M,9.715M,-10.31M,-0.596M,-16.89M,8.525M,1.281M,-9.381M,447.05M,32.27M,,479.32M,,9.715M,4.050B,-4.052B,-10.31M
2007-12,85.72M,,,-2.085M,51.39M,51.39M,-7.044M,,,,13.67M,30.10M,-3.873M,-2.758M,,54.14M,1.943M,79.56M,2.119M,223.33M,-97.87M,,-97.87M,,-131.74M,-49.00M,82.70M,-183.62M,,-0.967M,15.15M,0.00,15.15M,,,1.86M,16.04M,391.30M,55.75M,,447.05M,,15.15M,,,0.00
2007-09,94.46M,,,46.47M,49.23M,49.23M,-1.813M,,,,-29.08M,-14.02M,-4.359M,24.69M,,-59.47M,-5.378M,-58.54M,-4.944M,95.78M,-71.08M,,-71.08M,,4.021M,9.102M,-75.52M,-133.48M,,-2.654M,28.22M,-6.35M,21.87M,,,12.88M,32.10M,396.90M,-5.602M,,391.30M,,28.22M,,,-6.35M
2007-06,125.02M,,,-47.44M,47.06M,47.06M,29.65M,,,,-1.289M,-82.62M,-0.164M,15.24M,,42.13M,-0.14M,-25.55M,-1.552M,125.90M,-56.06M,-0.098M,-56.15M,,0.811M,11.91M,-6.262M,-49.70M,,-48.00M,7.401M,,7.401M,,,4.91M,-35.68M,356.38M,40.52M,,396.90M,,7.401M,,,
2007-03,76.58M,,,0.512M,45.79M,45.79M,-2.194M,,,,15.53M,21.40M,19.67M,-46.39M,,-39.24M,-5.189M,-49.74M,1.552M,88.03M,-49.50M,0.098M,-49.40M,,-0.189M,-10.09M,,-59.68M,,4.315M,12.14M,,12.14M,,,1.378M,17.83M,310.20M,46.18M,,356.38M,,12.14M,,,
2006-12,74.13M,,,-35.71M,45.21M,45.21M,1.093M,,,,60.64M,-44.49M,10.53M,24.16M,,57.46M,-2.641M,45.01M,-0.269M,190.11M,-81.13M,,-81.13M,,-10.92M,-15.30M,-21.35M,-85.26M,,-74.14M,9.406M,,9.406M,,,9.807M,-54.92M,260.28M,49.92M,,310.20M,,9.406M,,,
2006-09,94.86M,,,-1.666M,44.48M,44.48M,22.23M,,,,-3.25M,-46.21M,-5.836M,37.55M,,-41.23M,-4.489M,-60.22M,0.508M,96.94M,-66.18M,,-66.18M,,-27.10M,4.624M,21.35M,-67.31M,,-119.30M,5.246M,,5.246M,,,5.39M,-108.67M,339.32M,-79.04M,,260.28M,,5.246M,,,
2006-06,63.24M,,,-10.38M,41.72M,41.72M,-18.56M,,,,-0.145M,5.331M,-4.371M,11.73M,,166.80M,0.736M,180.22M,,256.09M,-67.99M,,-67.99M,,-43.37M,7.346M,,-104.01M,,-100.31M,4.878M,,4.878M,,,3.522M,-91.91M,279.15M,60.17M,,339.32M,,4.878M,,,
2006-03,57.47M,,,13.35M,41.89M,41.89M,-2.425M,,,,,-23.41M,-18.91M,-32.72M,,-59.96M,1.144M,-133.85M,,-23.56M,-53.01M,,-53.01M,,-5.111M,2.635M,,-55.48M,,-113.21M,21.06M,,21.06M,,,18.53M,-73.62M,431.81M,-152.66M,,279.15M,,21.06M,,,
2005-12,64.15M,,,9.543M,42.64M,42.64M,-54.41M,,,,-2.397M,-20.94M,14.65M,26.12M,4.792M,110.92M,-11.73M,123.82M,,183.34M,-63.84M,,-63.84M,,-3.072B,,304.89M,-2.831B,,2.785B,5.306M,,5.306M,,,-47.32M,2.743B,337.20M,94.62M,,431.81M,,5.306M,,,
2005-09,55.22M,,,0.684M,26.37M,26.37M,2.483M,,,,2.397M,-14.04M,-0.142M,-2.301M,-2.12M,11.56M,4.495M,-2.544M,,84.61M,-31.62M,,-31.62M,,-46.12M,,10.27M,-67.48M,,-0.953M,8.841M,,8.841M,,,-0.582M,7.306M,312.76M,24.44M,,337.20M,,8.841M,,,
