,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2016-01,1.038B,1.038B,3.008B,4.046B,,384.00M,736.00M,8.601B,214.00M,,211.00M,14.13B,0.00,6.125B,27.06B,7.964B,,315.00M,41.46B,-16.25B,25.22B,133.00M,144.00M,277.00M,308.00M,,,264.00M,26.13B,40.26B,7.418B,337.00M,1.076B,8.831B,982.00M,9.813B,,815.00M,,815.00M,964.00M,12.62B,11.94B,,11.94B,823.00M,660.00M,1.937B,407.00M,254.00M,14.68B,27.30B,50.00M,8.188B,5.348B,,-588.00M,-41.00M,-629.00M,12.96B
2015-10,,1.977B,,1.977B,,,,10.37B,,,2.402B,15.20B,0.00,6.118B,26.91B,7.935B,,428.00M,41.39B,-15.92B,25.47B,,,,,,,1.02B,26.49B,41.70B,8.904B,,,8.904B,3.868B,12.77B,,825.00M,,825.00M,261.00M,13.86B,11.95B,,11.95B,1.316B,,1.316B,,1.279B,14.58B,28.44B,52.00M,8.359B,5.314B,,-431.00M,-38.00M,-469.00M,13.26B
2015-07,,2.742B,,2.742B,,,,8.269B,,,2.25B,13.36B,0.00,6.12B,26.73B,7.695B,,494.00M,41.04B,-15.45B,25.58B,,,,,,,1.445B,27.03B,40.39B,6.944B,,,6.944B,3.768B,10.71B,,841.00M,,841.00M,60.00M,11.61B,11.88B,,11.88B,1.319B,,1.319B,,1.353B,14.83B,26.44B,53.00M,9.099B,5.271B,,-444.00M,-37.00M,-481.00M,13.94B
2015-04,,2.768B,,2.768B,,,,8.61B,,,1.672B,13.20B,0.00,6.135B,26.64B,7.406B,,576.00M,40.75B,-14.98B,25.78B,,,,,,,1.47B,27.25B,40.45B,6.799B,,,6.799B,3.673B,10.47B,,112.00M,,112.00M,64.00M,10.65B,12.65B,,12.65B,1.359B,,1.359B,,1.404B,15.62B,26.27B,53.00M,9.441B,5.17B,,-452.00M,-38.00M,-490.00M,14.17B
2015-01,,2.21B,,2.21B,,700.00M,1.126B,8.282B,231.00M,,207.00M,13.62B,0.00,6.127B,26.61B,7.881B,,424.00M,41.04B,-15.09B,25.95B,147.00M,151.00M,298.00M,322.00M,65.00M,,910.00M,27.55B,41.17B,7.759B,333.00M,576.00M,8.668B,1.012B,9.68B,,91.00M,,91.00M,861.00M,11.74B,12.63B,,12.63B,1.16B,0.00,1.667B,564.00M,253.00M,15.44B,27.18B,53.00M,9.644B,4.899B,,-561.00M,-38.00M,-599.00M,14.00B
2014-10,,780.00M,,780.00M,,,,11.07B,,,1.992B,13.84B,0.00,6.202B,30.91B,8.511B,,454.00M,46.07B,-15.19B,30.89B,,,,,,,1.737B,32.62B,46.46B,9.229B,,,9.229B,3.801B,13.03B,,495.00M,,495.00M,,13.52B,13.81B,,13.81B,1.279B,,1.279B,,1.475B,16.56B,30.09B,53.00M,12.63B,4.612B,,-401.00M,-522.00M,-923.00M,16.37B
2014-07,,803.00M,,803.00M,,,,8.918B,,,1.833B,11.55B,0.00,6.202B,30.78B,8.149B,,735.00M,45.87B,-14.67B,31.20B,,,,,,,1.706B,32.90B,44.46B,7.263B,,,7.263B,3.767B,11.03B,,306.00M,,306.00M,,11.34B,13.85B,,13.85B,1.317B,,1.317B,,1.517B,16.69B,28.02B,53.00M,12.61B,4.561B,,-408.00M,-384.00M,-792.00M,16.43B
2014-04,,715.00M,,715.00M,,,,8.45B,,,1.858B,11.02B,0.00,6.238B,30.45B,7.826B,,1.012B,45.52B,-14.16B,31.36B,,,,,,,1.66B,33.02B,44.04B,6.793B,,,6.793B,3.77B,10.56B,,1.477B,,1.477B,,12.04B,12.61B,,12.61B,1.381B,,1.381B,,1.523B,15.52B,27.56B,53.00M,12.74B,4.512B,,-415.00M,-407.00M,-822.00M,16.49B
2014-01,,670.00M,,670.00M,,1.106B,1.106B,8.278B,255.00M,155.00M,316.00M,11.57B,0.00,6.143B,25.98B,7.594B,,757.00M,40.48B,-14.07B,26.41B,151.00M,180.00M,331.00M,305.00M,62.00M,,5.87B,32.98B,44.55B,7.335B,272.00M,745.00M,8.352B,1.001B,9.353B,,1.143B,,1.143B,1.264B,12.78B,11.43B,,11.43B,1.349B,,1.84B,538.00M,268.00M,15.54B,28.32B,53.00M,12.60B,4.47B,,-422.00M,-469.00M,-891.00M,16.23B
2013-10,,706.00M,,706.00M,,,,10.38B,,,2.071B,13.15B,0.00,6.241B,30.26B,8.179B,,958.00M,45.64B,-13.91B,31.73B,,,,,,,1.494B,33.22B,46.37B,8.806B,,,8.806B,3.623B,12.43B,,2.122B,,2.122B,,14.55B,12.66B,,12.66B,1.466B,,1.466B,,1.535B,15.67B,30.22B,53.00M,12.35B,4.403B,,-468.00M,-185.00M,-653.00M,16.16B
2013-07,,1.018B,,1.018B,0.00,,0.00,8.441B,,,1.944B,11.40B,0.00,6.213B,29.34B,7.883B,,1.456B,44.89B,-13.48B,31.40B,,,,,,,1.354B,32.76B,44.16B,7.078B,,,7.078B,3.705B,10.78B,,1.833B,,1.833B,,12.62B,12.66B,,12.66B,1.331B,,1.331B,,1.54B,15.53B,28.14B,53.00M,12.28B,4.335B,,-480.00M,-173.00M,-653.00M,16.02B
2013-04,,1.819B,,1.819B,0.00,,0.00,8.099B,,,1.939B,11.86B,0.00,6.213B,28.95B,7.581B,,1.348B,44.09B,-13.02B,31.07B,,,,,,,1.303B,32.38B,44.23B,6.721B,,,6.721B,3.915B,10.64B,,523.00M,,523.00M,,11.16B,13.69B,,13.69B,1.295B,,1.295B,,1.569B,16.56B,27.71B,53.00M,12.87B,4.159B,,-492.00M,-73.00M,-565.00M,16.52B
2013-01,,784.00M,,784.00M,,1.099B,1.099B,7.903B,310.00M,193.00M,258.00M,16.39B,0.00,6.206B,28.65B,7.929B,,1.176B,43.96B,-13.31B,30.65B,59.00M,165.00M,224.00M,269.00M,85.00M,206.00M,338.00M,31.78B,48.16B,7.056B,232.00M,896.00M,8.184B,1.176B,9.36B,,2.994B,,2.994B,579.00M,14.03B,14.65B,,14.65B,1.311B,,1.79B,637.00M,313.00M,17.57B,31.60B,54.00M,13.16B,3.925B,,-532.00M,-44.00M,-576.00M,16.56B
2012-10,,1.469B,,1.469B,0.00,,0.00,9.533B,,,1.846B,18.50B,0.00,6.188B,27.80B,7.698B,,1.365B,43.05B,-12.98B,30.07B,,,,,,,1.015B,31.08B,49.58B,8.05B,,,8.05B,3.631B,11.68B,2.528B,2.528B,,2.528B,1.50B,15.71B,14.53B,,14.53B,1.279B,,1.279B,,1.713B,17.52B,33.23B,55.00M,13.07B,3.854B,,-581.00M,-45.00M,-626.00M,16.35B
2012-07,,612.00M,830.00M,1.442B,5.54B,,5.54B,7.733B,,,1.70B,16.42B,0.00,6.137B,27.39B,7.525B,,1.26B,42.32B,-12.54B,29.77B,,,,,,,1.136B,30.91B,47.32B,6.505B,,,6.505B,3.539B,10.04B,,3.285B,,3.285B,,13.33B,15.23B,,15.23B,1.173B,,1.173B,,1.697B,18.10B,31.43B,54.00M,12.77B,3.721B,,-596.00M,-56.00M,-652.00M,15.90B
2012-04,,657.00M,18.00M,675.00M,5.548B,,5.548B,7.67B,,,1.698B,15.59B,0.00,6.136B,27.04B,7.254B,,1.232B,41.66B,-12.15B,29.51B,,,,,,,1.076B,30.58B,46.18B,6.292B,,,6.292B,3.671B,9.963B,,2.483B,,2.483B,,12.45B,14.97B,,14.97B,1.209B,,1.209B,,1.69B,17.87B,30.31B,55.00M,12.85B,3.595B,,-610.00M,-31.00M,-641.00M,15.86B
2012-01,,794.00M,,794.00M,5.927B,1.003B,6.93B,7.918B,206.00M,275.00M,326.00M,16.45B,0.00,6.122B,26.84B,7.609B,,963.00M,41.53B,-12.38B,29.15B,59.00M,183.00M,242.00M,371.00M,114.00M,56.00M,249.00M,30.18B,46.63B,6.857B,202.00M,804.00M,7.863B,922.00M,8.785B,3.036B,3.036B,,3.036B,1.404B,14.29B,13.45B,,13.45B,1.191B,,1.612B,707.00M,532.00M,16.52B,30.81B,56.00M,12.96B,3.487B,,-624.00M,-57.00M,-681.00M,15.82B
2011-10,,821.00M,,821.00M,5.713B,,5.713B,9.89B,,,1.948B,18.37B,2.457B,6.069B,26.85B,5.153B,,546.00M,41.08B,-12.04B,29.04B,,,,,,,1.035B,30.08B,48.45B,8.053B,,,8.053B,3.273B,11.33B,,2.813B,,2.813B,,14.14B,16.16B,,16.16B,1.199B,,1.199B,,1.689B,19.04B,33.18B,56.00M,12.34B,3.431B,,,,-563.00M,15.26B
2011-07,,890.00M,,890.00M,5.722B,,5.722B,7.926B,,,1.521B,16.06B,2.392B,5.999B,26.09B,4.906B,,571.00M,39.96B,-11.59B,28.37B,,,,,,,1.067B,29.44B,45.50B,6.519B,,,6.519B,3.721B,10.24B,,1.38B,,1.38B,,11.62B,16.16B,,16.16B,969.00M,,969.00M,,1.644B,18.77B,30.39B,56.00M,12.21B,3.385B,,,,-548.00M,15.11B
2011-04,,552.00M,872.00M,1.424B,5.721B,,5.721B,7.696B,,,1.527B,16.37B,2.27B,5.989B,23.20B,4.691B,,837.00M,36.98B,-11.34B,25.65B,,,,,,,980.00M,26.63B,43.00B,6.296B,,,6.296B,3.229B,9.525B,,1.313B,,1.313B,,10.84B,14.42B,,14.42B,916.00M,,916.00M,,1.596B,16.93B,27.77B,57.00M,12.40B,3.345B,,,,-570.00M,15.23B
2011-01,,583.00M,1.129B,1.712B,6.153B,,6.153B,7.596B,,,1.752B,17.21B,2.533B,5.928B,23.08B,4.939B,,567.00M,37.05B,-11.56B,25.49B,,,,,,,999.00M,26.49B,43.70B,6.625B,,,6.625B,3.326B,9.951B,,119.00M,,119.00M,,10.07B,15.61B,,15.61B,934.00M,,934.00M,,1.607B,18.15B,28.22B,59.00M,12.70B,3.311B,,,,-581.00M,15.49B
2010-07,,568.00M,972.00M,1.54B,6.137B,,6.137B,7.728B,,,1.84B,17.24B,2.432B,5.845B,22.57B,4.602B,,772.00M,36.22B,-10.82B,25.40B,,,,,,,1.009B,26.41B,43.66B,6.228B,,,6.228B,3.057B,9.285B,,815.00M,,815.00M,,10.10B,15.74B,,15.74B,740.00M,,740.00M,,1.81B,18.29B,28.39B,60.00M,12.69B,3.085B,,,,-567.00M,15.27B
2010-04,,563.00M,1.015B,1.578B,6.33B,,6.33B,7.249B,,,2.065B,17.22B,2.428B,5.803B,22.33B,4.597B,,497.00M,35.66B,-10.44B,25.21B,,,,,,,889.00M,26.10B,43.32B,6.15B,,,6.15B,3.183B,9.333B,,864.00M,,864.00M,,10.20B,14.79B,,14.79B,916.00M,,916.00M,,1.819B,17.53B,27.73B,62.00M,13.10B,3.01B,,,,-573.00M,15.60B
2010-01,,583.00M,1.617B,2.20B,6.966B,,6.966B,7.179B,,,2.079B,18.42B,2.575B,5.793B,22.15B,4.743B,,502.00M,35.76B,-10.48B,25.28B,,,,,,,829.00M,26.11B,44.53B,6.511B,,,6.511B,3.12B,9.631B,,1.696B,,1.696B,,11.33B,15.12B,,15.12B,835.00M,,835.00M,,1.906B,17.86B,29.19B,62.00M,12.95B,2.919B,,,,-581.00M,15.35B
2009-10,,864.00M,,864.00M,7.023B,,7.023B,9.382B,,,2.314B,19.58B,2.599B,5.754B,22.25B,4.732B,,291.00M,35.63B,-10.04B,25.59B,,,,,,,805.00M,26.40B,45.98B,7.641B,,,7.641B,3.117B,10.76B,,1.64B,,1.64B,,12.40B,15.90B,,15.90B,804.00M,,804.00M,,1.911B,18.61B,31.01B,63.00M,12.56B,2.866B,,,,-517.00M,14.97B
2009-07,,957.00M,,957.00M,7.288B,,7.288B,7.528B,,,1.91B,17.68B,2.54B,5.726B,21.53B,4.481B,,978.00M,35.26B,-9.543B,25.71B,,,,,,,838.00M,26.55B,44.23B,6.233B,,,6.233B,3.004B,9.237B,,573.00M,,573.00M,,9.81B,17.44B,,17.44B,494.00M,,494.00M,,1.886B,19.82B,29.63B,63.00M,12.27B,2.822B,,,,-549.00M,14.60B
2009-04,,1.371B,,1.371B,7.452B,,7.452B,6.993B,,,1.735B,17.55B,2.504B,5.775B,20.99B,4.295B,,1.427B,35.00B,-9.195B,25.80B,,,,,,,861.00M,26.66B,44.21B,6.004B,,,6.004B,2.99B,8.994B,,1.255B,,1.255B,,10.25B,17.51B,,17.51B,487.00M,,487.00M,,1.843B,19.84B,30.09B,63.00M,11.82B,2.788B,,,,-553.00M,14.12B
2009-01,,562.00M,302.00M,864.00M,8.084B,,8.084B,6.705B,,,1.835B,17.49B,2.586B,5.767B,20.43B,4.27B,,1.763B,34.82B,-9.06B,25.76B,,,,,,,862.00M,26.62B,44.11B,6.337B,,,6.337B,2.913B,9.25B,,1.262B,,1.262B,,10.51B,17.49B,,17.49B,455.00M,,455.00M,,1.937B,19.88B,30.39B,63.00M,11.44B,2.762B,,,,-556.00M,13.71B
2008-10,,918.00M,,918.00M,7.999B,,7.999B,9.05B,,,2.272B,20.24B,0.00,5.727B,20.45B,6.822B,,1.32B,34.32B,-8.798B,25.52B,,,,,,,1.277B,26.80B,47.04B,7.59B,,,7.59B,3.057B,10.65B,,2.849B,,2.849B,,13.50B,17.44B,,17.44B,589.00M,,589.00M,,1.932B,19.96B,33.46B,63.00M,10.97B,2.725B,,,,-175.00M,13.58B
2008-07,,1.527B,,1.527B,7.98B,,7.98B,7.313B,,,1.80B,18.62B,0.00,5.687B,19.51B,6.529B,,1.851B,33.58B,-8.426B,25.15B,,,,,,,1.368B,26.52B,45.14B,6.606B,,,6.606B,3.03B,9.636B,,1.723B,,1.723B,,11.36B,17.93B,,17.93B,534.00M,,534.00M,,1.858B,20.32B,31.68B,63.00M,10.86B,2.707B,,,,-174.00M,13.46B
2008-04,,620.00M,,620.00M,7.83B,,7.83B,6.836B,,,1.473B,16.76B,0.00,5.618B,18.82B,6.296B,,2.012B,32.74B,-8.077B,24.67B,,,,,,,1.405B,26.07B,42.83B,5.959B,,,5.959B,3.137B,9.096B,,1.863B,,1.863B,,10.96B,13.23B,,13.23B,493.00M,,493.00M,,3.791B,17.51B,28.47B,66.00M,11.79B,2.678B,,,,-176.00M,14.36B
2008-01,,2.45B,,2.45B,8.054B,597.00M,8.651B,6.78B,,556.00M,469.00M,18.91B,0.00,5.522B,18.33B,6.279B,,1.852B,31.98B,-7.887B,24.10B,208.00M,,208.00M,,,,1.351B,25.65B,44.56B,6.721B,,,6.721B,380.00M,7.101B,,1.964B,,1.964B,2.717B,11.78B,15.13B,,15.13B,470.00M,,470.00M,,1.875B,17.47B,29.25B,68.00M,12.76B,2.656B,,,,-178.00M,15.31B
2007-10,,627.00M,,627.00M,7.12B,,7.12B,8.746B,,,1.841B,18.33B,0.00,5.387B,17.21B,6.02B,,2.524B,31.14B,-7.536B,23.61B,,,,,,,1.349B,24.96B,43.29B,7.852B,,,7.852B,2.812B,10.66B,,2.899B,,2.899B,,13.56B,11.24B,,11.24B,421.00M,,421.00M,,1.906B,13.57B,27.13B,70.00M,13.63B,2.636B,,,,-176.00M,16.16B
2007-07,,555.00M,,555.00M,6.397B,,6.397B,6.645B,,,1.535B,15.13B,0.00,5.239B,16.48B,5.725B,,2.848B,30.30B,-7.268B,23.03B,,,,,,,1.307B,24.33B,39.47B,6.101B,,,6.101B,2.761B,8.862B,,2.16B,,2.16B,,11.02B,10.15B,,10.15B,408.00M,,408.00M,,1.93B,12.49B,23.51B,71.00M,13.45B,2.61B,,,,-178.00M,15.95B
2007-04,,969.00M,,969.00M,6.006B,,6.006B,6.387B,,,1.347B,14.71B,0.00,5.061B,16.17B,5.554B,,2.45B,29.23B,-6.973B,22.26B,,,,,,,1.315B,23.58B,38.28B,5.877B,,,5.877B,2.523B,8.40B,,1.322B,,1.322B,375.00M,10.10B,10.15B,,10.15B,430.00M,,430.00M,,1.895B,12.48B,22.57B,71.00M,13.39B,2.437B,,,,-183.00M,15.71B
2007-01,,813.00M,,813.00M,6.194B,563.00M,6.757B,6.254B,,427.00M,455.00M,14.71B,0.00,4.934B,16.11B,5.741B,,1.596B,28.38B,-6.95B,21.43B,212.00M,,212.00M,,,,1.00B,22.64B,37.35B,6.575B,,,6.575B,1.166B,7.741B,,1.362B,,1.362B,2.014B,11.12B,8.675B,,8.675B,577.00M,,577.00M,,1.347B,10.60B,21.72B,72.00M,13.42B,2.387B,,,,-243.00M,15.63B
2006-10,,451.00M,,451.00M,5.634B,,5.634B,7.797B,,,1.466B,15.35B,,,,,,,27.56B,-6.637B,20.93B,,,,,,,1.593B,22.52B,37.87B,7.086B,,,7.086B,,7.086B,,2.253B,,2.253B,2.582B,11.92B,9.123B,,9.123B,714.00M,,714.00M,,1.309B,11.15B,23.07B,72.00M,12.42B,2.307B,,,,-2.00M,14.80B
