,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-04,717.00M,,,631.00M,631.00M,48.00M,,42.00M,40.00M,,-55.00M,-937.00M,26.00M,,,-966.00M,2.00M,514.00M,-827.00M,4.00M,-823.00M,,5.00M,,-818.00M,-12.00M,,-12.00M,,-949.00M,-949.00M,-334.00M,-334.00M,16.00M,,-1.279B,2.643B,-1.583B,,1.06B,,0.00,-12.00M,-949.00M
2018-01,1.088B,,0.00,667.00M,667.00M,-221.00M,,31.00M,-1.00M,,1.929B,-984.00M,-68.00M,,,877.00M,-1.00M,2.44B,-484.00M,4.00M,-480.00M,,7.00M,,-991.00M,-1.099B,,-1.099B,,-178.00M,-178.00M,-337.00M,-337.00M,83.00M,,-1.531B,2.725B,-82.00M,,2.643B,,0.00,-1.099B,-178.00M
2017-10,475.00M,,123.00M,643.00M,643.00M,123.00M,,38.00M,115.00M,,-2.329B,2.522B,-159.00M,,,34.00M,18.00M,1.569B,-846.00M,5.00M,-841.00M,,18.00M,,-823.00M,263.00M,0.00,263.00M,,-253.00M,-253.00M,-338.00M,-338.00M,16.00M,,-312.00M,2.291B,434.00M,,2.725B,,739.00M,-476.00M,-253.00M
2017-07,670.00M,,,585.00M,585.00M,-92.00M,,27.00M,113.00M,,-271.00M,531.00M,49.00M,,,309.00M,9.00M,1.621B,-717.00M,9.00M,-708.00M,,-71.00M,,-779.00M,-607.00M,,-607.00M,,-298.00M,-298.00M,-331.00M,-331.00M,5.00M,,-1.231B,2.68B,-389.00M,,2.291B,,,-607.00M,-298.00M
2017-04,675.00M,,,581.00M,581.00M,2.00M,,16.00M,-19.00M,,323.00M,-343.00M,22.00M,,,2.00M,48.00M,1.305B,-486.00M,13.00M,-473.00M,,-9.00M,,-482.00M,-10.00M,,-10.00M,,-317.00M,-317.00M,-332.00M,-332.00M,4.00M,,-655.00M,2.512B,168.00M,,2.68B,,,-10.00M,-317.00M
2017-01,819.00M,,0.00,632.00M,632.00M,-43.00M,,28.00M,-6.00M,,1.748B,-681.00M,70.00M,,,1.137B,-4.00M,2.563B,-363.00M,23.00M,-340.00M,,5.00M,,-335.00M,1.953B,-2.066B,-113.00M,,-552.00M,-552.00M,-337.00M,-337.00M,55.00M,,-947.00M,1.231B,1.281B,,2.512B,,-89.00M,-24.00M,-552.00M
2016-10,608.00M,,0.00,570.00M,570.00M,162.00M,,18.00M,21.00M,,-1.426B,1.566B,-145.00M,,,-5.00M,19.00M,1.393B,-500.00M,9.00M,-491.00M,,22.00M,,-469.00M,-1.993B,2.066B,73.00M,,-916.00M,-916.00M,-345.00M,-345.00M,15.00M,,-1.173B,1.48B,-249.00M,,1.231B,,87.00M,-14.00M,-916.00M
2016-07,625.00M,,161.00M,570.00M,570.00M,-91.00M,,32.00M,3.00M,,-171.00M,-18.00M,32.00M,,,-157.00M,98.00M,1.241B,-399.00M,11.00M,-388.00M,,-2.00M,,-390.00M,-1.748B,,-1.748B,,-1.34B,-1.34B,-330.00M,-330.00M,11.00M,,-3.407B,4.036B,-2.556B,,1.48B,,0.00,-1.748B,-1.34B
2016-04,614.00M,,261.00M,546.00M,546.00M,12.00M,,35.00M,-29.00M,,142.00M,-1.427B,99.00M,,,-1.186B,-6.00M,247.00M,-285.00M,3.00M,-282.00M,,3.00M,,-279.00M,1.116B,,1.116B,,-898.00M,-898.00M,-336.00M,-336.00M,140.00M,,22.00M,4.046B,-10.00M,,4.036B,,1.979B,-863.00M,-898.00M
2016-01,1.421B,,,562.00M,562.00M,-211.00M,,31.00M,20.00M,,1.78B,-890.00M,126.00M,,,1.016B,-100.00M,2.119B,-309.00M,7.00M,-302.00M,1.867B,12.00M,,1.577B,-13.00M,,-13.00M,,-1.287B,-1.287B,-345.00M,-345.00M,18.00M,,-1.627B,1.977B,2.069B,,4.046B,,0.00,-13.00M,-1.287B
2015-10,476.00M,,,561.00M,561.00M,-66.00M,,30.00M,11.00M,,-2.114B,2.158B,-61.00M,,,-17.00M,-19.00M,976.00M,-419.00M,8.00M,-411.00M,0.00,-26.00M,,-437.00M,-18.00M,,-18.00M,,-945.00M,-945.00M,-352.00M,-352.00M,11.00M,,-1.304B,2.742B,-765.00M,,1.977B,,,-18.00M,-945.00M
2015-07,773.00M,,,550.00M,550.00M,-63.00M,,28.00M,45.00M,,-162.00M,74.00M,18.00M,,,-70.00M,-11.00M,1.252B,-358.00M,7.00M,-351.00M,8.00M,17.00M,,-326.00M,-40.00M,,-40.00M,,-645.00M,-645.00M,-332.00M,-332.00M,65.00M,,-952.00M,2.768B,-26.00M,,2.742B,,0.00,-40.00M,-645.00M
2015-04,651.00M,,,540.00M,540.00M,18.00M,,26.00M,-19.00M,,180.00M,-757.00M,138.00M,,,-439.00M,834.00M,1.611B,-352.00M,6.00M,-346.00M,,21.00M,,-306.00M,-14.00M,,-14.00M,,-606.00M,-606.00M,-333.00M,-333.00M,206.00M,,-747.00M,2.21B,558.00M,,2.768B,,0.00,-14.00M,-606.00M
2015-01,960.00M,,0.00,545.00M,545.00M,220.00M,,10.00M,73.00M,,1.674B,-717.00M,-207.00M,,,750.00M,-143.00M,2.415B,-424.00M,11.00M,-413.00M,-2.00M,18.00M,,-510.00M,-17.00M,-385.00M,-402.00M,,-26.00M,-26.00M,-331.00M,-331.00M,285.00M,,-474.00M,780.00M,1.431B,-1.00M,2.21B,,-305.00M,-97.00M,-26.00M
2014-10,527.00M,,0.00,535.00M,535.00M,-55.00M,,21.00M,-59.00M,,-2.056B,1.838B,-87.00M,,,-305.00M,-128.00M,536.00M,-481.00M,40.00M,-441.00M,2.00M,42.00M,,-434.00M,-23.00M,196.00M,173.00M,,0.00,0.00,-329.00M,-329.00M,33.00M,,-123.00M,803.00M,-21.00M,-2.00M,780.00M,,196.00M,-23.00M,0.00
2014-07,391.00M,,285.00M,538.00M,538.00M,-121.00M,,20.00M,39.00M,,-502.00M,418.00M,52.00M,,,-32.00M,-126.00M,994.00M,-410.00M,39.00M,-371.00M,-20.00M,28.00M,,-444.00M,-15.00M,-197.00M,-212.00M,,0.00,0.00,-273.00M,-273.00M,29.00M,,-456.00M,715.00M,94.00M,-6.00M,803.00M,,1.796B,-2.008B,0.00
2014-04,571.00M,,,511.00M,511.00M,-37.00M,,20.00M,-13.00M,,372.00M,-736.00M,127.00M,,,-237.00M,-295.00M,520.00M,-471.00M,5.00M,-466.00M,,18.00M,,-538.00M,-31.00M,306.00M,275.00M,,0.00,0.00,-272.00M,-272.00M,26.00M,,29.00M,695.00M,11.00M,9.00M,715.00M,,306.00M,-31.00M,0.00
2014-01,1.243B,,0.00,348.00M,348.00M,58.00M,-41.00M,25.00M,84.00M,0.00,1.957B,-1.034B,131.00M,,-5.00M,1.049B,,1.767B,953.00M,-3.00M,950.00M,0.00,19.00M,0.00,-582.00M,-10.00M,-997.00M,-1.007B,,0.00,0.00,-272.00M,-272.00M,61.00M,,-1.218B,706.00M,-33.00M,22.00M,695.00M,,-107.00M,-900.00M,0.00
2013-10,341.00M,,0.00,569.00M,569.00M,136.00M,0.00,26.00M,5.00M,0.00,-1.934B,1.667B,-154.00M,,-12.00M,-433.00M,,644.00M,-922.00M,25.00M,-897.00M,-99.00M,38.00M,0.00,-958.00M,-29.00M,270.00M,241.00M,,0.00,0.00,-271.00M,-271.00M,32.00M,,2.00M,1.018B,-312.00M,0.00,706.00M,,107.00M,134.00M,0.00
2013-07,612.00M,,0.00,543.00M,543.00M,-70.00M,0.00,26.00M,-10.00M,-14.00M,-352.00M,135.00M,8.00M,,1.00M,-222.00M,,879.00M,-1.016B,29.00M,-987.00M,0.00,21.00M,-18.00M,-984.00M,-508.00M,807.00M,299.00M,,-921.00M,-921.00M,-231.00M,-231.00M,154.00M,,-699.00M,1.819B,-804.00M,3.00M,1.018B,,0.00,299.00M,-921.00M
2013-04,498.00M,,54.00M,536.00M,536.00M,-66.00M,41.00M,29.00M,8.00M,2.874B,-175.00M,-521.00M,-64.00M,,16.00M,2.13B,,3.23B,-901.00M,19.00M,-882.00M,-58.00M,52.00M,3.141B,2.253B,-2.916B,-970.00M,-3.886B,,-540.00M,-540.00M,-232.00M,-232.00M,209.00M,,-4.449B,784.00M,1.034B,1.00M,1.819B,,,-3.886B,-540.00M
2013-01,1.277B,,-5.00M,441.00M,441.00M,-6.00M,-141.00M,28.00M,235.00M,-314.00M,1.775B,-891.00M,-57.00M,,-122.00M,391.00M,,1.977B,-8.00M,31.00M,23.00M,0.00,16.00M,62.00M,-830.00M,-505.00M,-530.00M,-1.035B,,-645.00M,-645.00M,-234.00M,-234.00M,81.00M,0.00,-1.833B,1.469B,-686.00M,1.00M,784.00M,,970.00M,-2.005B,-645.00M
2012-10,637.00M,,-156.00M,543.00M,543.00M,165.00M,46.00M,26.00M,-14.00M,-19.00M,-1.80B,1.586B,-170.00M,,33.00M,-370.00M,,877.00M,-735.00M,17.00M,-718.00M,0.00,104.00M,16.00M,-598.00M,-13.00M,0.00,-13.00M,,-100.00M,-100.00M,-236.00M,-236.00M,96.00M,0.00,-253.00M,1.442B,26.00M,1.00M,1.469B,,0.00,-13.00M,-100.00M
2012-07,704.00M,,,531.00M,531.00M,-99.00M,43.00M,23.00M,-3.00M,-26.00M,-63.00M,36.00M,-16.00M,,34.00M,-35.00M,,1.164B,-774.00M,17.00M,-757.00M,0.00,-2.00M,-9.00M,-768.00M,1.465B,-450.00M,1.015B,,-538.00M,-538.00M,-198.00M,-198.00M,101.00M,-14.00M,366.00M,675.00M,762.00M,5.00M,1.442B,,1.021B,-6.00M,-538.00M
2012-04,697.00M,,,529.00M,529.00M,7.00M,52.00M,25.00M,2.00M,142.00M,248.00M,-538.00M,88.00M,,55.00M,-5.00M,,1.307B,-829.00M,1.00M,-828.00M,0.00,-16.00M,185.00M,-659.00M,-505.00M,450.00M,-55.00M,,-592.00M,-592.00M,-201.00M,-201.00M,82.00M,-2.00M,-768.00M,794.00M,-120.00M,1.00M,675.00M,,950.00M,-1.005B,-592.00M
2012-01,981.00M,,,563.00M,563.00M,-26.00M,87.00M,29.00M,-54.00M,-307.00M,1.972B,-618.00M,-19.00M,,-149.00M,879.00M,,2.459B,-618.00M,30.00M,-588.00M,,6.00M,6.00M,-576.00M,-1.859B,289.00M,-1.57B,,-149.00M,-149.00M,-201.00M,-201.00M,23.00M,-7.00M,-1.904B,821.00M,-21.00M,-6.00M,794.00M,,1.283B,-2.853B,-149.00M
2011-10,555.00M,,,546.00M,546.00M,275.00M,67.00M,17.00M,14.00M,-23.00M,-1.964B,1.316B,-211.00M,,74.00M,-808.00M,,639.00M,-1.371B,5.00M,-1.366B,,-95.00M,-8.00M,-1.469B,-34.00M,1.211B,1.177B,,-200.00M,-200.00M,-549.00M,-203.00M,32.00M,-19.00M,787.00M,890.00M,-43.00M,-26.00M,821.00M,,1.211B,-34.00M,-200.00M
2011-07,704.00M,,,510.00M,510.00M,22.00M,,23.00M,43.00M,-6.00M,-231.00M,185.00M,-4.00M,,23.00M,-33.00M,,1.284B,-1.747B,1.00M,-1.746B,,-19.00M,0.00,-1.765B,762.00M,,762.00M,,-681.00M,-681.00M,,-172.00M,18.00M,20.00M,-53.00M,1.424B,-534.00M,0.00,890.00M,,1.00B,-238.00M,-681.00M
2011-04,689.00M,,,512.00M,512.00M,100.00M,,21.00M,19.00M,149.00M,-99.00M,-433.00M,84.00M,,-2.00M,-301.00M,,1.052B,-632.00M,1.00M,-631.00M,,,261.00M,-370.00M,0.00,0.00,0.00,,-812.00M,-812.00M,,-174.00M,16.00M,,-970.00M,1.712B,-288.00M,0.00,1.424B,,0.00,0.00,-812.00M
2011-01,2.92B,,,539.00M,539.00M,196.00M,,32.00M,-1.918B,-319.00M,1.954B,-845.00M,-63.00M,,-160.00M,567.00M,,2.419B,-522.00M,33.00M,-489.00M,,23.00M,38.00M,-428.00M,-795.00M,,-795.00M,,-397.00M,-397.00M,,-177.00M,161.00M,-7.00M,-1.215B,936.00M,776.00M,0.00,1.712B,,14.00M,-809.00M,-397.00M
2010-10,,,,533.00M,533.00M,101.00M,,25.00M,462.00M,0.00,-1.822B,1.639B,-66.00M,,42.00M,-207.00M,,1.024B,-616.00M,4.00M,-612.00M,,-50.00M,71.00M,-591.00M,-111.00M,,-111.00M,,-770.00M,-770.00M,,-180.00M,17.00M,7.00M,-1.037B,1.54B,-604.00M,0.00,936.00M,,0.00,-111.00M,-770.00M
2010-07,-671.00M,,,496.00M,496.00M,39.00M,,27.00M,1.233B,40.00M,-479.00M,-169.00M,61.00M,-63.00M,-179.00M,-789.00M,,670.00M,-584.00M,20.00M,-564.00M,,-240.00M,254.00M,-550.00M,828.00M,,828.00M,,-907.00M,-907.00M,,-126.00M,47.00M,,-158.00M,1.578B,-38.00M,,1.54B,,997.00M,-169.00M,-907.00M
2010-04,671.00M,,,516.00M,516.00M,109.00M,,25.00M,78.00M,201.00M,-70.00M,-361.00M,-56.00M,63.00M,-18.00M,-241.00M,,1.158B,-407.00M,12.00M,-395.00M,,220.00M,,-175.00M,-1.17B,,-1.17B,,-378.00M,-378.00M,,-126.00M,69.00M,,-1.605B,2.20B,-622.00M,,1.578B,,,-1.17B,-378.00M
2010-01,936.00M,-85.00M,-85.00M,536.00M,536.00M,-87.00M,97.00M,31.00M,344.00M,-247.00M,2.203B,-1.129B,-29.00M,405.00M,-121.00M,1.082B,,2.854B,-289.00M,8.00M,-281.00M,,22.00M,-10.00M,-269.00M,-715.00M,,-715.00M,,-423.00M,-423.00M,,-127.00M,16.00M,,-1.249B,864.00M,1.336B,,2.20B,,0.00,-715.00M,-423.00M
2009-10,436.00M,11.00M,11.00M,537.00M,537.00M,387.00M,,24.00M,316.00M,36.00M,-1.854B,1.406B,-192.00M,-178.00M,47.00M,-735.00M,,976.00M,-398.00M,1.00M,-397.00M,,-19.00M,-46.00M,-462.00M,-501.00M,,-501.00M,,0.00,0.00,,-128.00M,22.00M,,-607.00M,957.00M,-93.00M,,864.00M,,0.00,-501.00M,0.00
2009-07,594.00M,74.00M,74.00M,478.00M,478.00M,-5.00M,-18.00M,24.00M,322.00M,-6.00M,-535.00M,117.00M,-86.00M,30.00M,63.00M,-417.00M,,1.052B,-502.00M,18.00M,-484.00M,,13.00M,-129.00M,-600.00M,-753.00M,,-753.00M,,0.00,0.00,,-120.00M,7.00M,,-866.00M,1.371B,-414.00M,,957.00M,,0.00,-753.00M,0.00
2009-04,522.00M,,,472.00M,472.00M,69.00M,18.00M,24.00M,306.00M,160.00M,-288.00M,-220.00M,27.00M,,-91.00M,-412.00M,,999.00M,-540.00M,6.00M,-534.00M,,-13.00M,175.00M,-372.00M,-1.00M,,-1.00M,,0.00,0.00,,-121.00M,2.00M,,-120.00M,864.00M,507.00M,,1.371B,,,-1.00M,0.00
2009-01,609.00M,,-193.00M,474.00M,474.00M,123.00M,,,674.00M,-145.00M,2.347B,-1.258B,98.00M,40.00M,-224.00M,858.00M,,2.65B,-720.00M,13.00M,-707.00M,,-42.00M,-261.00M,-1.01B,,,-1.583B,-34.00M,0.00,-34.00M,,-120.00M,,0.00,-1.694B,918.00M,-54.00M,,864.00M,-34.00M,,,0.00
2008-10,368.00M,,9.00M,468.00M,468.00M,-46.00M,,,379.00M,-163.00M,-1.737B,984.00M,-218.00M,-91.00M,73.00M,-1.152B,,26.00M,-871.00M,9.00M,-862.00M,,53.00M,-349.00M,-1.158B,,,631.00M,13.00M,0.00,13.00M,,-121.00M,,0.00,523.00M,1.527B,-609.00M,,918.00M,13.00M,,,0.00
2008-07,635.00M,,177.00M,449.00M,449.00M,-6.00M,,,360.00M,-171.00M,-477.00M,647.00M,-183.00M,-191.00M,-226.00M,-601.00M,,1.014B,-1.006B,15.00M,-991.00M,,-12.00M,-236.00M,-1.239B,,,2.653B,8.00M,-1.412B,-1.404B,,-109.00M,,-8.00M,1.132B,620.00M,907.00M,,1.527B,8.00M,,,-1.412B
2008-04,602.00M,,7.00M,435.00M,435.00M,20.00M,,,220.00M,21.00M,-56.00M,-762.00M,79.00M,12.00M,162.00M,-544.00M,,740.00M,-950.00M,2.00M,-948.00M,,-41.00M,23.00M,-966.00M,,,-99.00M,13.00M,-1.403B,-1.39B,,-115.00M,,,-1.604B,2.45B,-1.83B,,620.00M,13.00M,,,-1.403B
2008-01,1.028B,,-85.00M,434.00M,434.00M,2.00M,,,154.00M,-342.00M,1.967B,-1.166B,25.00M,359.00M,163.00M,1.006B,,2.539B,-951.00M,42.00M,-909.00M,,7.00M,-761.00M,-1.663B,,,2.817B,-204.00M,-1.406B,-1.61B,,-118.00M,,-142.00M,947.00M,627.00M,1.823B,,2.45B,-204.00M,,,-1.406B
2007-10,484.00M,,-1.00M,429.00M,429.00M,-7.00M,,,167.00M,-196.00M,-2.101B,1.752B,-39.00M,-136.00M,31.00M,-689.00M,,383.00M,-1.055B,37.00M,-1.018B,,-120.00M,-657.00M,-1.795B,,,1.741B,9.00M,-131.00M,-122.00M,,-119.00M,,-16.00M,1.484B,555.00M,72.00M,,627.00M,9.00M,,,-131.00M
2007-07,686.00M,,21.00M,404.00M,404.00M,-38.00M,,,162.00M,-112.00M,-258.00M,223.00M,-235.00M,-129.00M,17.00M,-494.00M,,741.00M,-1.18B,12.00M,-1.168B,,-69.00M,-369.00M,-1.606B,,,834.00M,159.00M,-440.00M,-281.00M,,-102.00M,,0.00,451.00M,969.00M,-414.00M,,555.00M,159.00M,,,-440.00M
2007-04,651.00M,,14.00M,392.00M,392.00M,-27.00M,,,123.00M,48.00M,-133.00M,-698.00M,110.00M,-32.00M,14.00M,-691.00M,,462.00M,-1.183B,4.00M,-1.179B,,,48.00M,-1.131B,,,1.399B,36.00M,-500.00M,-464.00M,,-103.00M,,-7.00M,825.00M,813.00M,156.00M,,969.00M,36.00M,,,-500.00M
2007-01,1.119B,,-5.00M,402.00M,402.00M,-34.00M,,,69.00M,-182.00M,1.53B,-383.00M,81.00M,496.00M,57.00M,1.599B,,3.15B,-924.00M,42.00M,-882.00M,,,-361.00M,-1.387B,,,-1.352B,55.00M,0.00,55.00M,,-103.00M,,-1.00M,-1.401B,451.00M,362.00M,,813.00M,55.00M,,,0.00
2006-10,506.00M,,11.00M,390.00M,390.00M,-55.00M,,,125.00M,-61.00M,-1.524B,1.218B,-159.00M,49.00M,43.00M,-434.00M,,543.00M,-1.105B,5.00M,-1.10B,,,-138.00M,-1.238B,,,705.00M,68.00M,-1.00M,67.00M,,-103.00M,,0.00,669.00M,477.00M,-26.00M,,451.00M,68.00M,,,-1.00M
2006-07,608.00M,,-76.00M,370.00M,370.00M,-50.00M,,,246.00M,-82.00M,-245.00M,161.00M,-40.00M,-244.00M,-6.00M,-456.00M,,642.00M,-1.015B,10.00M,-1.005B,,,-284.00M,-1.289B,,,748.00M,34.00M,-550.00M,-516.00M,,-87.00M,,-10.00M,135.00M,989.00M,-512.00M,,477.00M,34.00M,,,-550.00M
2006-04,554.00M,,123.00M,334.00M,334.00M,-62.00M,,,4.00M,99.00M,-192.00M,-561.00M,88.00M,129.00M,11.00M,-426.00M,,527.00M,-884.00M,5.00M,-879.00M,,,100.00M,-779.00M,,,,24.00M,-350.00M,-326.00M,,-87.00M,,6.00M,-407.00M,1.648B,-659.00M,,989.00M,24.00M,,,-350.00M
2006-01,939.00M,,531.00M,369.00M,369.00M,,,,-388.00M,-218.00M,1.65B,-698.00M,41.00M,539.00M,-12.00M,1.302B,,2.631B,-731.00M,36.00M,-695.00M,,,-450.00M,-1.145B,,,-24.00M,11.00M,-299.00M,-288.00M,,-88.00M,,59.00M,-341.00M,503.00M,1.145B,,1.648B,11.00M,,,-299.00M
2005-10,435.00M,,-224.00M,354.00M,354.00M,,,,387.00M,-43.00M,-1.86B,1.78B,-252.00M,-203.00M,-12.00M,-590.00M,,362.00M,-883.00M,9.00M,-874.00M,,,-192.00M,-1.066B,,,923.00M,41.00M,-365.00M,-324.00M,,-88.00M,,0.00,511.00M,696.00M,-193.00M,,503.00M,41.00M,,,-365.00M
2005-07,540.00M,,117.00M,346.00M,346.00M,,,,26.00M,-73.00M,-221.00M,76.00M,32.00M,15.00M,,-171.00M,,858.00M,-1.057B,9.00M,-1.048B,,,-193.00M,-1.241B,,,-2.00M,84.00M,-83.00M,1.00M,,-71.00M,,-1.00M,-73.00M,1.152B,-456.00M,,696.00M,84.00M,,,-83.00M
2005-04,494.00M,,155.00M,340.00M,340.00M,,,,-8.00M,90.00M,-23.00M,-669.00M,151.00M,70.00M,,-381.00M,,600.00M,-717.00M,4.00M,-713.00M,,,16.00M,-697.00M,,,-511.00M,36.00M,-450.00M,-414.00M,,-71.00M,,,-996.00M,2.245B,-1.093B,,1.152B,36.00M,,,-450.00M
2005-01,809.00M,,143.00M,344.00M,344.00M,97.00M,,,38.00M,-212.00M,1.175B,-385.00M,-30.00M,167.00M,25.00M,740.00M,29.00M,2.20B,-862.00M,41.00M,-821.00M,,,-442.00M,-1.263B,,,9.00M,28.00M,-300.00M,-272.00M,,-72.00M,,,-279.00M,1.587B,658.00M,,2.245B,28.00M,,,-300.00M
2004-10,324.00M,,87.00M,324.00M,324.00M,0.00,,,78.00M,-33.00M,-1.645B,1.115B,-115.00M,-5.00M,-172.00M,-855.00M,-97.00M,-139.00M,-809.00M,5.00M,-804.00M,,,1.428B,624.00M,,,-101.00M,43.00M,-503.00M,-460.00M,,-72.00M,,,-633.00M,1.735B,-148.00M,,1.587B,43.00M,,,-503.00M
2004-07,360.00M,,141.00M,299.00M,299.00M,136.00M,,,-10.00M,-46.00M,-441.00M,694.00M,-16.00M,143.00M,,334.00M,-713.00M,547.00M,-765.00M,9.00M,-756.00M,,,3.116B,2.36B,,,-1.277B,27.00M,-472.00M,-445.00M,,-64.00M,,,-1.786B,614.00M,1.121B,,1.735B,27.00M,,,-472.00M
