,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2014-10,17.25B,17.25B,12.17B,5.083B,3.644B,,146.00M,,-146.00M,,4.179B,904.00M,,146.00M,-146.00M,,-146.00M,758.00M,232.00M,526.00M,-174.00M,,352.00M,526.00M,1.439B,535.00M,904.00M,0.83,-0.28,,0.83,0.55,0.82,-0.28,,0.82,0.55,634.00M,639.60M,0.52
2014-07,16.96B,16.96B,11.80B,5.159B,3.599B,,433.00M,,-433.00M,,4.136B,1.023B,,433.00M,-433.00M,,-433.00M,590.00M,199.00M,391.00M,-157.00M,,234.00M,391.00M,1.561B,538.00M,1.023B,0.62,-0.25,,0.62,0.37,0.61,-0.25,,0.61,0.37,633.50M,638.40M,0.43
2014-04,16.66B,16.66B,11.75B,4.909B,3.376B,,152.00M,,-152.00M,,3.887B,1.022B,,152.00M,-152.00M,,-152.00M,870.00M,299.00M,571.00M,-153.00M,,418.00M,571.00M,1.533B,511.00M,1.022B,0.9,-0.24,,0.9,0.66,0.89,-0.24,,0.89,0.66,633.30M,638.20M,0.43
2014-01,20.20B,20.20B,14.60B,5.60B,3.325B,,84.00M,,-84.00M,,3.673B,1.927B,,84.00M,-84.00M,0.00,-84.00M,1.843B,600.00M,1.243B,,,520.00M,1.243B,2.275B,348.00M,1.927B,0.82,,,0.82,0.82,0.81,,,0.81,0.81,632.40M,638.20M,0.43
2013-10,17.26B,17.26B,12.13B,5.125B,3.853B,,165.00M,,-165.00M,,4.422B,703.00M,,165.00M,-165.00M,,-165.00M,538.00M,197.00M,341.00M,,,341.00M,341.00M,1.272B,569.00M,703.00M,0.54,,,0.54,0.54,0.54,,,0.54,0.54,631.30M,637.40M,0.43
2013-07,17.12B,17.12B,11.74B,5.372B,3.698B,,171.00M,,-171.00M,,4.24B,1.132B,,171.00M,-171.00M,,-171.00M,961.00M,350.00M,611.00M,,,611.00M,611.00M,1.675B,543.00M,1.132B,0.96,,,0.96,0.96,0.95,,,0.95,0.95,634.80M,642.00M,0.36
2013-04,16.71B,16.71B,11.56B,5.143B,3.59B,,629.00M,,-629.00M,,4.126B,1.017B,,629.00M,-629.00M,391.00M,-629.00M,779.00M,281.00M,498.00M,,,498.00M,498.00M,1.944B,536.00M,1.408B,0.78,,,0.78,0.78,0.77,,,0.77,0.77,642.10M,649.50M,0.36
2013-01,22.73B,22.73B,16.30B,6.43B,3.957B,,126.00M,,-126.00M,,4.398B,2.032B,,126.00M,-126.00M,5.00M,-126.00M,1.911B,634.00M,1.277B,,,961.00M,1.277B,2.478B,441.00M,2.037B,1.48,,,1.48,1.48,1.47,,,1.47,1.47,648.90M,655.80M,0.36
2012-10,16.93B,16.93B,11.68B,5.254B,3.704B,,192.00M,,-192.00M,,4.246B,1.008B,,192.00M,-192.00M,156.00M,-192.00M,972.00M,335.00M,637.00M,,,637.00M,637.00M,1.707B,543.00M,1.164B,0.97,,,0.97,0.97,0.96,,,0.96,0.96,654.80M,662.20M,0.36
2012-07,16.78B,16.78B,11.40B,5.374B,3.588B,,184.00M,,-184.00M,,4.119B,1.255B,,184.00M,-184.00M,,-184.00M,1.071B,367.00M,704.00M,,,704.00M,704.00M,1.786B,531.00M,1.255B,1.07,,,1.07,1.07,1.06,,,1.06,1.06,656.70M,662.90M,0.3
2012-04,16.87B,16.87B,11.66B,5.206B,3.392B,,184.00M,,-184.00M,,3.921B,1.285B,,184.00M,-184.00M,,-184.00M,1.101B,404.00M,697.00M,,,697.00M,697.00M,1.814B,529.00M,1.285B,1.05,,,1.05,1.05,1.04,,,1.04,1.04,666.30M,672.40M,0.3
2012-01,21.29B,21.29B,15.15B,6.139B,3.876B,,292.00M,,-292.00M,,4.439B,1.70B,,292.00M,-292.00M,,-292.00M,1.408B,427.00M,981.00M,,,981.00M,981.00M,2.263B,563.00M,1.70B,1.46,,,1.46,1.46,1.44,,,1.44,1.44,669.80M,674.90M,0.3
2011-10,16.40B,16.40B,11.27B,5.128B,3.525B,,200.00M,,-200.00M,,4.071B,1.057B,,200.00M,-200.00M,,-200.00M,857.00M,302.00M,555.00M,,,555.00M,555.00M,1.603B,546.00M,1.057B,0.82,,,0.82,0.82,0.82,,,0.82,0.82,673.20M,678.30M,0.3
2011-07,16.24B,16.24B,10.96B,5.282B,3.473B,,191.00M,,-191.00M,,3.982B,1.30B,,191.00M,-191.00M,,-191.00M,1.109B,405.00M,704.00M,,,704.00M,704.00M,1.81B,510.00M,1.30B,1.03,0.0,,1.03,1.03,1.03,0.0,,1.03,1.03,680.80M,685.10M,0.25
2011-04,15.94B,15.94B,10.93B,5.009B,3.233B,,183.00M,,-183.00M,,3.745B,1.264B,,183.00M,-183.00M,,-183.00M,1.081B,392.00M,689.00M,,,689.00M,689.00M,1.776B,512.00M,1.264B,0.99,0.0,,0.99,0.99,0.99,0.0,,0.99,0.99,693.00M,697.00M,0.25
2011-01,20.66B,20.66B,14.62B,6.036B,3.72B,,188.00M,,-190.00M,,4.259B,1.777B,,188.00M,-190.00M,,-190.00M,1.587B,552.00M,1.035B,,,1.035B,1.035B,2.314B,539.00M,1.775B,1.44,,,1.44,1.44,1.43,,,1.43,1.43,708.00M,714.40M,0.25
2010-10,15.60B,15.60B,10.76B,4.845B,3.345B,,195.00M,1.00M,-194.00M,,3.878B,967.00M,1.00M,195.00M,-194.00M,,-194.00M,773.00M,238.00M,535.00M,,,535.00M,535.00M,1.501B,533.00M,968.00M,0.75,0.0,,0.75,0.75,0.74,0.0,,0.74,0.74,715.40M,721.00M,0.25
2010-07,15.53B,15.53B,10.51B,5.025B,3.263B,,186.00M,1.00M,-185.00M,,3.759B,1.266B,1.00M,186.00M,-185.00M,,-185.00M,1.081B,402.00M,679.00M,,,679.00M,679.00M,1.763B,496.00M,1.267B,0.93,0.0,,0.93,0.93,0.92,0.0,,0.92,0.92,731.10M,736.60M,0.17
2010-04,15.59B,15.59B,10.69B,4.901B,3.143B,,188.00M,1.00M,-187.00M,,3.659B,1.242B,1.00M,188.00M,-187.00M,,-187.00M,1.055B,384.00M,671.00M,,,671.00M,671.00M,1.759B,516.00M,1.243B,0.91,0.0,,0.91,0.91,0.9,0.0,,0.9,0.9,739.90M,745.70M,0.17
2010-01,20.18B,20.18B,14.35B,5.831B,3.673B,,216.00M,0.00,-216.00M,,4.209B,1.622B,0.00,216.00M,-216.00M,,-216.00M,1.409B,473.00M,936.00M,,,936.00M,936.00M,2.161B,536.00M,1.625B,1.25,0.0,,1.25,1.25,1.24,0.0,,1.24,1.24,752.00M,756.30M,0.17
2009-10,15.28B,15.28B,10.61B,4.666B,3.255B,,191.00M,0.00,-191.00M,,3.792B,874.00M,0.00,191.00M,-191.00M,,-191.00M,683.00M,247.00M,436.00M,,,436.00M,436.00M,1.411B,537.00M,874.00M,0.58,0.0,,0.58,0.58,0.58,0.0,,0.58,0.58,751.80M,755.70M,0.17
2009-07,15.07B,15.07B,10.30B,4.765B,3.136B,,195.00M,1.00M,-194.00M,,3.614B,1.151B,1.00M,195.00M,-194.00M,,-194.00M,957.00M,363.00M,594.00M,,,594.00M,594.00M,1.63B,478.00M,1.152B,0.79,0.0,,0.79,0.79,0.79,0.0,,0.79,0.79,752.00M,754.40M,0.16
2009-04,14.83B,14.83B,10.32B,4.513B,3.015B,,203.00M,1.00M,-202.00M,,3.487B,1.026B,1.00M,203.00M,-202.00M,,-202.00M,824.00M,302.00M,522.00M,,,522.00M,522.00M,1.499B,472.00M,1.027B,0.69,0.0,,0.69,0.69,0.69,0.0,,0.69,0.69,752.20M,753.00M,0.16
2009-01,19.56B,19.56B,15.43B,4.126B,2.495B,,,,,,2.969B,1.157B,,,,,,943.00M,334.00M,609.00M,,,609.00M,609.00M,1.659B,474.00M,1.185B,0.8,0.0,,0.8,0.8,0.8,0.0,,0.8,0.8,752.40M,754.10M,0.16
2008-10,15.11B,15.11B,10.13B,4.984B,3.648B,,,,,,4.117B,867.00M,,,,,,633.00M,264.00M,369.00M,,,369.00M,369.00M,1.336B,468.00M,867.00M,0.49,0.0,,0.49,0.49,0.49,0.0,,0.49,0.49,753.50M,756.60M,0.16
2008-07,15.47B,15.47B,10.30B,5.168B,3.50B,,,,,,3.948B,1.22B,,,,,,1.003B,369.00M,634.00M,,,634.00M,634.00M,1.669B,449.00M,1.22B,0.82,0.0,,0.82,0.82,0.82,0.0,,0.82,0.82,770.30M,773.90M,0.14
2008-04,14.80B,14.80B,9.898B,4.904B,3.311B,-18.00M,,,,,3.746B,1.158B,,,,-18.00M,,957.00M,355.00M,602.00M,,,602.00M,613.32M,1.593B,435.00M,1.158B,0.75,0.0,,0.7641,0.75,0.74,0.0,,0.754,0.74,805.50M,809.60M,0.14
2008-01,19.87B,19.87B,13.76B,6.109B,3.829B,,,,,,4.263B,1.846B,,,,,,1.666B,638.00M,1.028B,,,1.028B,1.028B,2.28B,434.00M,1.846B,1.23,0.0,,1.23,1.23,1.22,0.0,,1.22,1.22,829.20M,834.30M,0.14
2007-10,14.84B,14.84B,9.993B,4.842B,3.455B,,,,,,3.884B,958.00M,,,,,,781.00M,298.00M,483.00M,,,483.00M,483.00M,1.387B,429.00M,958.00M,0.57,0.0,,0.57,0.57,0.56,0.0,,0.56,0.56,845.60M,851.00M,0.14
2007-07,14.62B,14.62B,9.696B,4.924B,3.253B,,,,,,3.657B,1.267B,,,,,,1.113B,427.00M,686.00M,,,686.00M,686.00M,1.671B,404.00M,1.267B,0.81,0.0,,0.81,0.81,0.8,0.0,,0.8,0.8,850.80M,857.40M,0.12
2007-04,14.04B,14.04B,9.356B,4.685B,3.093B,,,,,,3.485B,1.20B,,,,,,1.064B,413.00M,651.00M,,,651.00M,651.00M,1.592B,392.00M,1.20B,0.76,0.0,,0.76,0.76,0.75,0.0,,0.75,0.75,855.90M,862.80M,0.12
2007-01,19.71B,19.71B,13.54B,6.166B,3.803B,,,,,,4.205B,1.961B,,,,,,1.81B,691.00M,1.119B,,,1.119B,1.119B,2.363B,402.00M,1.961B,1.3,0.0,,1.3,1.3,1.29,0.0,,1.29,1.29,858.30M,865.30M,0.12
2006-10,13.57B,13.57B,9.073B,4.497B,3.151B,,,,,,3.54B,957.00M,,,,,,808.00M,302.00M,506.00M,,,506.00M,506.00M,1.347B,390.00M,957.00M,0.59,0.0,,0.59,0.59,0.59,0.0,,0.59,0.59,857.80M,864.40M,0.12
2006-07,13.35B,13.35B,8.856B,4.491B,2.987B,,,,,,3.357B,1.134B,,,,,,994.00M,385.00M,609.00M,,,609.00M,609.00M,1.504B,370.00M,1.134B,0.71,0.0,,0.71,0.71,0.7,0.0,,0.7,0.7,860.80M,867.20M,0.1
2006-04,12.86B,12.86B,8.633B,4.23B,2.879B,,,,,,3.213B,1.017B,,,,,,886.00M,332.00M,554.00M,,,554.00M,554.00M,1.351B,334.00M,1.017B,0.64,0.0,,0.64,0.64,0.63,0.0,,0.63,0.63,870.70M,877.60M,0.1
2006-01,16.95B,16.95B,11.72B,5.229B,3.254B,,,,,,3.623B,1.606B,,,,,,1.482B,543.00M,939.00M,,,939.00M,939.00M,1.975B,369.00M,1.606B,1.07,0.0,,1.07,1.07,1.06,0.0,,1.06,1.06,876.60M,885.00M,0.1
2005-10,12.21B,12.21B,8.235B,3.971B,2.786B,,,,,,3.14B,831.00M,,,,,,713.00M,278.00M,435.00M,,,435.00M,435.00M,1.185B,354.00M,831.00M,0.49,0.0,,0.49,0.49,0.49,0.0,,0.49,0.49,881.20M,887.00M,0.1
2005-07,11.99B,11.99B,8.015B,3.975B,2.65B,,,,,,2.996B,979.00M,,,,,,869.00M,329.00M,540.00M,,,540.00M,540.00M,1.325B,346.00M,979.00M,0.61,0.0,,0.61,0.61,0.61,0.0,,0.61,0.61,883.30M,891.20M,0.08
2005-04,11.48B,11.48B,7.556B,3.921B,2.674B,,,,,,3.014B,907.00M,,,,,,796.00M,302.00M,494.00M,,,494.00M,494.00M,1.247B,340.00M,907.00M,0.56,0.0,,0.56,0.56,0.55,0.0,,0.55,0.55,887.00M,893.50M,0.08
2005-01,15.19B,15.19B,10.35B,4.846B,3.093B,,,,,,3.437B,1.409B,,,,,,1.272B,493.00M,809.00M,16.00M,,825.00M,809.00M,1.753B,344.00M,1.409B,0.9,0.02,,0.9,0.92,0.9,0.02,,0.9,0.92,895.10M,902.80M,0.08
2004-10,10.91B,10.91B,7.319B,3.59B,2.633B,,,,,,2.957B,633.00M,,,,,,520.00M,196.00M,324.00M,207.00M,,531.00M,324.00M,957.00M,324.00M,633.00M,0.36,0.23,,0.36,0.59,0.36,0.23,,0.36,0.59,896.00M,905.00M,0.08
2004-07,10.56B,10.56B,7.182B,3.374B,2.289B,,,,,,2.588B,786.00M,,,,,,579.00M,219.00M,360.00M,1.05B,,1.41B,360.00M,1.085B,299.00M,786.00M,0.4,1.15,,0.4,1.55,0.39,1.14,,0.39,1.53,911.50M,919.20M,0.07
2004-04,10.18B,10.18B,6.769B,3.411B,2.346B,,,,,,2.638B,773.00M,,,,,,630.00M,238.00M,392.00M,40.00M,,432.00M,392.00M,1.065B,292.00M,773.00M,0.43,0.04,,0.43,0.47,0.43,0.04,,0.43,0.47,912.60M,921.40M,0.07
2004-01,13.68B,13.68B,9.339B,4.337B,2.798B,,,,,,3.084B,1.253B,,,,,,1.124B,425.00M,699.00M,101.00M,,800.00M,699.00M,1.539B,122.00M,1.253B,0.68,-0.1,,0.68,0.58,0.68,-0.1,,0.68,0.58,1.333B,1.360B,0.07
2003-10,9.827B,9.827B,6.643B,3.184B,2.344B,,,,,,2.621B,563.00M,,,,,,432.00M,161.00M,271.00M,31.00M,,302.00M,271.00M,1.004B,441.00M,563.00M,0.33,0.0,,0.33,0.33,0.33,0.0,,0.33,0.33,911.30M,918.00M,0.07
2003-07,9.594B,9.594B,6.45B,3.144B,2.185B,,,,,,2.459B,685.00M,,,,,,531.00M,202.00M,329.00M,29.00M,,358.00M,329.00M,959.00M,218.00M,685.00M,0.36,0.03,,0.36,0.39,0.36,0.03,,0.36,0.39,910.80M,918.10M,0.06
2003-04,10.32B,10.32B,6.764B,3.558B,2.536B,,,,,,2.853B,705.00M,,,,,,563.00M,214.00M,349.00M,,,349.00M,349.00M,1.022B,317.00M,705.00M,0.38,0.0,,0.38,0.38,0.38,0.0,,0.38,0.38,910.30M,915.10M,0.06
2003-01,7.554B,7.554B,5.80B,1.754B,862.00M,,,,,,940.00M,814.00M,,,,,,664.00M,254.00M,410.00M,,,657.00M,410.00M,892.00M,78.00M,814.00M,0.46,0.27,,0.46,0.73,0.45,0.27,,0.45,0.72,909.20M,915.50M,0.06
2002-10,10.19B,10.19B,6.736B,3.458B,2.56B,,,,,,2.865B,593.00M,,,,,,448.00M,171.00M,277.00M,,,277.00M,277.00M,898.00M,305.00M,593.00M,0.31,0.0,,0.31,0.31,0.3,0.0,,0.3,0.3,908.50M,914.00M,0.06
2002-07,10.07B,10.07B,6.64B,3.428B,2.42B,,,,,,2.715B,713.00M,,,,,,559.00M,215.00M,344.00M,,,344.00M,344.00M,1.008B,295.00M,713.00M,0.38,0.0,,0.38,0.38,0.38,0.0,,0.38,0.38,907.90M,913.00M,0.06
2002-04,9.594B,9.594B,6.322B,3.272B,2.292B,,,,,,2.581B,691.00M,,,,,,556.00M,211.00M,345.00M,,,345.00M,345.00M,980.00M,289.00M,691.00M,0.38,0.0,,0.38,0.38,0.38,0.0,,0.38,0.38,906.40M,914.70M,0.06
2002-01,13.22B,13.22B,9.121B,4.099B,2.62B,,,,,,2.903B,1.196B,,,,,,1.061B,403.00M,658.00M,,,658.00M,658.00M,1.479B,283.00M,1.196B,0.7289,,,0.7289,0.7289,0.7289,,,0.7289,0.7289,902.79M,902.79M,0.055
2001-10,9.331B,9.331B,6.337B,2.994B,2.293B,,,,,,2.574B,420.00M,,,,,,298.00M,113.00M,185.00M,,,185.00M,185.00M,701.00M,281.00M,420.00M,0.2,0.0,,0.2,0.2,0.2,0.0,,0.2,0.2,902.30M,908.30M,0.055
2001-07,8.952B,8.952B,6.10B,2.852B,2.045B,,,,,,2.304B,548.00M,,,,,,439.00M,167.00M,272.00M,,,271.00M,272.00M,807.00M,259.00M,548.00M,0.3,0.0,-0.0011,0.3,0.3,0.3,0.0,-0.0011,0.3,0.3,901.00M,908.90M,0.055
2001-04,8.345B,8.345B,5.622B,2.723B,1.951B,,,,,,2.207B,516.00M,,,,,,410.00M,156.00M,254.00M,,,254.00M,254.00M,772.00M,256.00M,516.00M,0.28,0.0,,0.28,0.28,0.28,0.0,,0.28,0.28,899.00M,908.50M,0.055
2001-01,12.32B,12.32B,8.639B,3.685B,2.422B,,,,,,2.669B,1.016B,,,,,,895.00M,343.00M,552.00M,,,552.00M,552.00M,1.263B,247.00M,1.016B,0.61,0.0,,0.61,0.61,0.6,0.0,,0.6,0.6,896.60M,907.90M,0.055
2000-10,8.582B,8.582B,5.86B,2.722B,2.024B,,,,,,2.263B,459.00M,,,,,,351.00M,135.00M,216.00M,,,217.00M,216.00M,698.00M,239.00M,459.00M,0.24,0.0,0.0011,0.24,0.24,0.24,0.0,0.0011,0.24,0.24,900.40M,907.80M,0.055
2000-07,8.251B,8.251B,5.593B,2.658B,1.91B,,,,,,2.14B,518.00M,,,,,,418.00M,161.00M,257.00M,,,258.00M,257.00M,748.00M,230.00M,518.00M,0.28,0.0,0.0011,0.28,0.28,0.28,0.0,0.0011,0.28,0.28,906.60M,915.20M,0.05
2000-04,7.746B,7.746B,5.203B,2.543B,1.834B,,,,,,2.058B,485.00M,,,,,,389.00M,150.00M,239.00M,,,239.00M,239.00M,709.00M,224.00M,485.00M,0.26,0.0,,0.26,0.26,0.26,0.0,,0.26,0.26,910.40M,921.20M,0.05
