,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2005-09,797.30M,797.30M,240.50M,556.80M,22.00M,22.00M,,,321.80M,428.40M,128.40M,,,22.00M,,105.80M,40.00M,65.80M,0.40M,,,,66.20M,52.12M,222.90M,,2005-09,0.285,0.00,,,2005-09,0.28,0.00,,,2005-09,234.00M,,2005-09,,
2005-06,788.50M,788.50M,186.40M,602.10M,16.60M,22.70M,,,410.50M,512.20M,89.90M,,,16.60M,,65.00M,8.20M,56.80M,5.20M,,,,62.00M,42.29M,185.30M,,2005-06,0.245,0.02,,,2005-06,0.24,0.02,,,2005-06,234.00M,,2005-06,,
2005-03,1.095B,1.095B,158.00M,936.70M,17.70M,23.00M,,,665.10M,769.90M,166.80M,,,17.70M,,142.10M,52.10M,90.00M,-0.10M,,,,89.90M,78.79M,254.90M,,2005-03,0.385,0.00,,,2005-03,0.38,0.00,,,2005-03,234.00M,,2005-03,,
2004-12,945.90M,945.90M,134.90M,811.00M,4.00M,21.40M,,,533.60M,637.20M,173.80M,,,4.00M,,135.50M,51.00M,84.50M,8.10M,,,,92.60M,82.01M,262.10M,,2004-12,0.365,0.03,,,2004-12,0.355,0.03,,,2004-12,234.77M,,2004-12,,
2004-09,690.40M,690.40M,160.70M,529.70M,-3.20M,22.20M,,,325.90M,429.20M,100.50M,,,-3.20M,,51.20M,19.80M,31.40M,53.00M,,,,84.40M,33.36M,181.60M,,2004-09,0.135,0.225,,,2004-09,0.13,0.225,,,2004-09,234.80M,,2004-09,,
2004-06,715.00M,715.00M,152.00M,563.00M,10.30M,21.70M,,,384.70M,488.60M,74.40M,,,10.30M,,33.90M,12.40M,21.50M,17.10M,,,,38.60M,14.97M,166.80M,,2004-06,0.09,0.075,,,2004-06,0.09,0.07,,,2004-06,236.00M,,2004-06,,
2004-03,1.065B,1.065B,144.10M,920.90M,4.70M,22.00M,,,640.20M,737.80M,183.10M,,,4.70M,,133.60M,50.20M,83.40M,7.40M,,,,90.80M,80.47M,277.80M,,2004-03,0.35,0.035,,,2004-03,0.345,0.035,,,2004-03,237.00M,,2004-03,,
2003-12,852.90M,852.90M,-490.50M,1.343B,11.70M,20.40M,,,1.103B,1.205B,138.40M,,,11.70M,,96.60M,35.00M,61.60M,10.50M,,,,72.10M,54.14M,234.00M,,2003-12,0.26,0.05,,,2003-12,0.255,0.045,,,2003-12,234.32M,,2003-12,,
2003-09,695.80M,695.80M,245.00M,450.80M,9.50M,20.60M,,,266.70M,371.80M,79.00M,,,9.50M,,34.40M,13.10M,21.30M,9.60M,,,,30.90M,15.42M,177.40M,,2003-09,0.09,0.04,,,2003-09,0.09,0.04,,,2003-09,234.80M,,2003-09,,
2003-06,708.20M,708.20M,282.10M,426.10M,13.30M,20.30M,,,230.50M,333.50M,92.60M,,,13.30M,,50.80M,15.80M,35.00M,14.30M,,,,49.30M,25.84M,190.80M,,2003-06,0.15,0.06,,,2003-06,0.15,0.06,,,2003-06,233.40M,,2003-06,,
2003-03,1.051B,1.051B,139.20M,912.20M,7.70M,21.10M,,,638.30M,740.00M,172.20M,,,7.70M,,128.80M,46.30M,82.50M,9.50M,,,,92.00M,77.57M,265.60M,,2003-03,0.355,0.04,,,2003-03,0.355,0.04,,,2003-03,232.40M,,2003-03,,
2002-12,324.30M,324.30M,130.60M,193.70M,-22.50M,20.70M,,,-44.90M,55.80M,137.90M,,,-22.50M,,61.70M,23.30M,38.40M,,,,,73.70M,52.40M,229.20M,,2002-12,0.3176,,,,2002-12,0.3176,,,,2002-12,232.06M,,2002-12,,
2002-09,869.80M,869.80M,173.00M,696.80M,5.30M,22.10M,,,456.30M,559.80M,137.00M,,,5.30M,,84.80M,32.70M,52.10M,,,,,52.10M,48.84M,218.40M,,2002-09,0.225,0.00,,,2002-09,0.225,0.00,,,2002-09,230.60M,,2002-09,,
2002-06,870.90M,870.90M,240.70M,630.20M,16.30M,22.30M,,,416.60M,517.90M,112.30M,,,16.30M,,71.20M,25.80M,45.40M,,,,,45.40M,35.01M,217.00M,,2002-06,0.195,0.00,,,2002-06,0.195,0.00,,,2002-06,230.60M,,2002-06,,
2002-03,986.00M,986.00M,348.10M,637.90M,23.50M,22.70M,,,502.80M,603.60M,34.30M,,,23.50M,,-0.70M,3.50M,-4.20M,,,,,-4.20M,-18.30M,123.40M,,2002-03,-0.02,0.00,,,2002-03,-0.02,0.00,,,2002-03,230.20M,,2002-03,,
2001-12,892.30M,892.30M,135.10M,757.20M,-59.40M,21.30M,,,486.80M,590.30M,166.90M,,,-59.40M,,69.30M,32.10M,37.20M,,0.00,,,37.20M,72.84M,264.50M,,2001-12,0.205,-0.045,0.00,,2001-12,0.205,-0.045,0.0002,,2001-12,227.10M,,2001-12,,
2001-09,822.00M,822.00M,181.20M,640.80M,-9.80M,21.80M,,,382.90M,490.30M,150.50M,,,-9.80M,,81.90M,34.00M,47.90M,,,,,47.90M,53.78M,252.90M,,2001-09,0.205,0.00,,,2001-09,0.205,0.00,,,2001-09,235.60M,,2001-09,,
2001-06,859.20M,859.20M,163.30M,695.90M,37.10M,18.70M,,,486.70M,592.20M,103.70M,,,37.10M,,76.70M,30.60M,46.10M,,,,,46.10M,23.80M,207.40M,,2001-06,0.195,0.00,,,2001-06,0.195,0.00,,,2001-06,237.00M,,2001-06,,
2001-03,1.355B,1.355B,180.50M,1.174B,12.60M,22.80M,,,880.40M,990.70M,183.80M,,,12.60M,,131.00M,53.70M,77.30M,,10.50M,,,87.80M,69.74M,289.90M,,2001-03,0.325,0.045,0.00,,2001-03,0.325,0.045,0.0442,,2001-03,237.40M,,2001-03,,
2000-12,1.129B,1.129B,189.30M,939.60M,32.70M,18.40M,,,779.50M,850.70M,88.90M,,,32.70M,,68.60M,39.70M,28.90M,,,,,28.90M,9.28M,205.60M,,2000-12,0.12,0.00,,,2000-12,0.12,0.00,,,2000-12,239.55M,,2000-12,,
2000-09,850.80M,850.80M,169.50M,681.30M,6.40M,21.20M,,,397.30M,546.60M,134.70M,,,6.40M,,79.10M,34.50M,44.60M,,,-3.80M,,44.60M,40.76M,262.80M,,2000-09,0.185,0.00,,,2000-09,0.18,0.00,,,2000-09,243.80M,,2000-09,,
