,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,Restated
2018-03,48.10M,48.10M,1.357B,1.357B,127.50M,376.00M,165.90M,,,34.00M,1.981B,,,,30.29B,-8.820B,21.47B,3.053B,,3.053B,1.599B,,757.10M,29.80B,31.79B,,2018-03,592.80M,,592.80M,1.200B,,957.90M,2.158B,2.158B,747.50M,3.606B,617.20M,8.618B,8.618B,3.070B,538.10M,3.608B,,523.10M,,,1.191B,18.48B,22.09B,,2018-03,4.267B,,4.60M,9.698B,,Restated
2017-12,38.90M,38.90M,1.351B,1.351B,209.00M,539.00M,210.00M,,,74.90M,2.214B,6.104B,665.60M,,29.97B,-8.618B,21.35B,3.054B,,3.054B,1.553B,,619.90M,29.38B,31.59B,,2017-12,859.90M,,859.90M,,,,2.287B,2.287B,553.60M,3.869B,617.40M,8.747B,8.747B,3.000B,543.30M,3.543B,,397.40M,0.00,,1.206B,18.23B,22.10B,,2017-12,4.278B,,2.90M,9.492B,,Restated
2017-09,18.10M,18.10M,948.00M,948.00M,301.50M,672.20M,142.00M,,,43.00M,1.823B,,,,29.41B,-8.526B,20.88B,3.054B,,3.054B,1.561B,,584.80M,29.19B,31.01B,,2017-09,743.90M,,743.90M,993.50M,,709.30M,1.703B,1.703B,442.60M,3.026B,617.70M,8.786B,8.786B,5.616B,549.20M,6.165B,,463.20M,,,1.194B,18.76B,21.79B,,2017-09,4.281B,,2.40M,9.226B,,Restated
2017-06,36.50M,36.50M,1.004B,1.004B,137.80M,510.00M,181.60M,,,47.30M,1.780B,,,,28.96B,-8.433B,20.52B,3.054B,,3.054B,1.544B,,549.70M,28.78B,30.56B,,2017-06,724.10M,,724.10M,774.80M,,708.40M,1.483B,1.483B,440.00M,2.787B,622.60M,8.800B,8.800B,5.416B,554.60M,5.971B,,451.00M,,,1.171B,18.59B,21.38B,,2017-06,4.290B,,2.50M,9.183B,,Restated
2017-03,45.70M,45.70M,1.191B,1.191B,45.80M,417.10M,161.80M,,,39.30M,1.855B,,,,28.30B,-8.313B,19.99B,3.046B,,3.046B,1.513B,,527.50M,28.16B,30.02B,,2017-03,582.30M,,582.30M,670.40M,,158.00M,828.40M,828.40M,421.30M,2.055B,630.70M,9.144B,9.144B,5.287B,561.00M,5.848B,,458.90M,,,1.161B,18.81B,20.86B,,2017-03,4.298B,,2.70M,9.156B,,Restated
2016-12,37.50M,37.50M,1.242B,1.242B,223.10M,587.60M,204.40M,,,97.50M,2.169B,3.520B,424.70M,,28.13B,-8.215B,19.92B,3.046B,,3.046B,1.444B,,461.00M,27.95B,30.12B,,2016-12,861.50M,,861.50M,860.20M,,157.20M,1.017B,1.017B,388.90M,2.432B,633.60M,9.158B,9.158B,5.147B,566.20M,5.713B,,498.60M,,,1.164B,18.73B,21.16B,,2016-12,4.310B,,2.90M,8.960B,,Restated
2016-09,25.00M,25.00M,871.50M,871.50M,298.50M,654.30M,217.40M,,,49.50M,1.818B,27.00B,756.20M,,27.75B,-8.142B,19.61B,3.046B,,3.046B,1.544B,,418.30M,27.63B,29.44B,,2016-09,663.50M,,663.50M,789.40M,,89.40M,878.80M,878.80M,240.20M,2.026B,608.30M,9.088B,9.088B,5.067B,569.50M,5.636B,,545.10M,,,1.167B,18.50B,20.52B,,2016-09,4.309B,,3.70M,8.922B,,Restated
2016-06,32.10M,32.10M,914.90M,914.90M,120.60M,494.50M,235.30M,,,89.10M,1.766B,26.72B,723.70M,,27.45B,-8.049B,19.40B,3.046B,,3.046B,1.513B,,419.90M,27.41B,29.18B,,2016-06,620.50M,,620.50M,927.80M,,95.80M,1.024B,1.024B,358.50M,2.137B,617.90M,8.902B,8.902B,4.938B,572.30M,5.511B,,541.90M,,,1.132B,18.17B,20.31B,,2016-06,4.311B,,4.40M,8.864B,,Restated
2016-03,34.70M,34.70M,1.088B,1.088B,89.50M,470.70M,243.40M,,,59.50M,1.896B,26.56B,706.60M,,27.26B,-8.006B,19.26B,2.999B,,2.999B,1.51B,,379.30M,27.21B,29.10B,,2016-03,584.40M,,584.40M,896.40M,,152.40M,1.049B,1.049B,375.30M,2.230B,617.60M,8.956B,8.956B,4.856B,576.10M,5.433B,,541.10M,,,1.067B,18.03B,20.26B,,2016-03,4.321B,,4.30M,8.849B,,Restated
2015-12,49.80M,49.80M,1.029B,1.029B,284.10M,687.00M,285.80M,,,58.80M,2.207B,3.482B,822.90M,,27.11B,-7.919B,19.19B,3.024B,,3.024B,1.381B,,489.70M,27.15B,29.36B,,2015-12,815.40M,,815.40M,1.095B,,157.70M,1.253B,1.253B,471.20M,2.709B,628.20M,9.124B,9.124B,4.622B,579.40M,5.202B,,543.10M,,,1.072B,17.96B,20.67B,,2015-12,4.347B,,4.60M,8.685B,,Restated
2015-09,22.20M,22.20M,844.70M,844.70M,310.30M,719.80M,,,250.80M,204.20M,2.182B,25.78B,936.40M,,26.72B,-7.931B,18.79B,3.389B,14.70M,3.404B,1.096B,,496.80M,26.59B,28.77B,,2015-09,777.60M,,777.60M,661.50M,,606.00M,1.268B,1.268B,466.80M,2.667B,611.50M,8.727B,8.727B,4.690B,588.10M,5.278B,,427.70M,,,1.034B,17.39B,20.06B,,2015-09,4.351B,,11.20M,8.711B,,Restated
2015-06,214.40M,214.40M,667.50M,956.60M,130.40M,562.50M,306.90M,,236.40M,,2.277B,25.49B,899.60M,,26.39B,-7.857B,18.53B,3.386B,,3.386B,1.170B,,455.70M,26.34B,28.61B,,2015-06,777.10M,,777.10M,,,,1.435B,1.435B,592.80M,2.940B,,8.548B,8.548B,4.624B,596.20M,5.220B,,428.00M,,,1.627B,17.14B,20.08B,,2015-06,,,,8.538B,,Restated
2015-03,65.20M,65.20M,437.30M,658.90M,,289.70M,142.30M,,170.30M,,1.326B,15.62B,255.80M,,15.88B,-4.561B,11.32B,441.90M,,441.90M,464.10M,,317.20M,13.81B,15.14B,,2015-03,291.90M,,291.90M,,,,989.80M,989.80M,219.80M,1.560B,,4.169B,4.169B,2.942B,604.70M,3.547B,,203.50M,,,294.20M,9.034B,10.59B,,2015-03,,,,4.541B,,Restated
2014-12,61.90M,61.90M,643.40M,643.40M,124.80M,400.60M,148.20M,,,38.60M,1.293B,3.260B,191.80M,,15.84B,-4.583B,11.26B,441.90M,,441.90M,456.90M,,184.60M,13.61B,14.90B,,2014-12,363.30M,,363.30M,617.60M,,424.10M,1.042B,1.042B,168.60M,1.669B,32.60M,4.171B,4.171B,2.664B,614.10M,3.278B,,203.80M,,,270.40M,8.786B,10.45B,,2014-12,300.10M,,0.30M,4.450B,,Restated
2014-09,88.70M,88.70M,339.00M,498.10M,,379.30M,142.90M,,165.50M,,1.274B,15.37B,209.60M,,15.58B,-4.449B,11.13B,441.90M,,441.90M,455.90M,,321.00M,13.45B,14.72B,,2014-09,315.00M,,315.00M,,,,523.50M,523.50M,155.70M,1.066B,,4.570B,4.570B,2.753B,627.20M,3.380B,,168.90M,,,273.20M,9.231B,10.30B,,2014-09,,,,4.429B,,Restated
2014-06,33.40M,33.40M,404.90M,579.70M,,304.30M,168.80M,,199.30M,,1.286B,15.22B,183.90M,,15.41B,-4.384B,11.02B,441.90M,,441.90M,452.10M,,321.40M,13.33B,14.62B,,2014-06,288.50M,,288.50M,,,,455.20M,455.20M,166.70M,980.80M,,4.588B,4.588B,2.715B,639.70M,3.354B,,169.30M,,,275.50M,9.242B,10.22B,,2014-06,,,,4.398B,,Restated
2014-03,27.60M,27.60M,605.80M,895.00M,,234.90M,126.10M,,261.40M,,1.545B,15.09B,175.40M,,15.27B,-4.324B,10.94B,441.90M,,441.90M,445.40M,,328.80M,13.26B,14.80B,,2014-03,435.00M,,435.00M,,,,766.00M,766.00M,150.30M,1.425B,,4.349B,4.349B,2.699B,651.90M,3.351B,,169.50M,,,280.20M,9.024B,10.45B,,2014-03,,,,4.352B,,Restated
2013-12,26.00M,26.00M,406.00M,727.10M,77.80M,329.40M,145.70M,,310.00M,12.90M,1.551B,3.186B,149.60M,,15.26B,-4.350B,10.91B,441.90M,,441.90M,438.80M,,322.50M,13.22B,14.77B,,2013-12,342.60M,,342.60M,537.40M,,342.20M,879.60M,879.60M,177.30M,1.496B,,4.363B,4.363B,2.634B,664.20M,3.298B,,173.20M,,,295.90M,9.010B,10.51B,,2013-12,349.70M,,,4.263B,,Restated
2013-09,18.50M,18.50M,299.00M,460.00M,,367.60M,161.30M,,230.80M,,1.238B,14.58B,427.40M,,15.01B,-4.202B,10.81B,441.90M,,441.90M,433.20M,,186.90M,13.13B,14.37B,,2013-09,296.90M,,296.90M,,,,732.80M,732.80M,170.70M,1.291B,,4.371B,4.371B,2.470B,676.80M,3.147B,,214.50M,,,289.90M,8.853B,10.14B,,2013-09,,,,4.228B,,Restated
2013-06,21.00M,21.00M,327.30M,501.70M,,317.90M,430.50M,,,,1.271B,14.48B,369.20M,,14.84B,-4.140B,10.70B,441.90M,,441.90M,428.80M,,185.10M,13.05B,14.32B,,2013-06,276.40M,,276.40M,,,,750.50M,750.50M,178.30M,1.281B,,4.383B,4.383B,2.370B,689.60M,3.059B,,225.20M,,,288.70M,8.810B,10.09B,,2013-06,,,,4.226B,,Restated
2013-03,24.70M,24.70M,389.00M,635.30M,,266.80M,387.00M,0.00,,,1.314B,14.38B,337.10M,,14.71B,-4.098B,10.62B,441.90M,,441.90M,419.80M,,179.80M,12.98B,14.30B,,2013-03,257.10M,,257.10M,,,,730.20M,730.20M,219.10M,1.278B,,4.441B,4.441B,2.276B,702.60M,2.978B,,233.90M,,,276.40M,8.783B,10.06B,,2013-03,,,,4.234B,,Restated
2012-12,35.60M,35.60M,285.30M,563.40M,73.30M,360.70M,145.50M,,105.30M,62.10M,1.273B,3.158B,315.90M,,14.70B,-4.123B,10.57B,441.90M,,441.90M,413.80M,,204.20M,13.01B,14.28B,,2012-12,368.40M,,368.40M,394.60M,,412.10M,806.70M,806.70M,165.40M,1.441B,,4.454B,4.454B,2.117B,709.70M,2.827B,,244.00M,,,285.20M,8.678B,10.12B,,2012-12,500.30M,,,4.166B,,Restated
2012-09,13.00M,13.00M,298.60M,347.00M,,342.10M,194.70M,9.50M,,,1.085B,14.09B,269.40M,54.90M,14.41B,-3.972B,10.44B,441.90M,,441.90M,408.90M,,179.90M,12.75B,13.83B,,2012-09,277.70M,,277.70M,,,,834.30M,834.30M,173.50M,1.387B,,4.241B,4.241B,1.994B,714.10M,2.708B,,149.60M,,,298.70M,8.270B,9.657B,,2012-09,,,,4.178B,,Restated
2012-06,13.10M,13.10M,297.30M,297.30M,,335.00M,372.10M,17.90M,,,1.237B,13.60B,604.70M,56.30M,14.26B,-3.916B,10.34B,441.90M,,441.90M,399.70M,,180.80M,12.65B,13.89B,,2012-06,267.50M,,267.50M,,,,894.30M,894.30M,177.40M,1.428B,,4.298B,4.298B,1.862B,727.50M,2.59B,,251.60M,,,302.40M,8.348B,9.776B,,2012-06,,,,4.112B,,Restated
2012-03,18.10M,18.10M,386.90M,386.90M,,311.60M,348.20M,24.70M,,,1.280B,13.49B,547.30M,57.70M,14.09B,-3.856B,10.24B,441.90M,,441.90M,393.40M,,184.90M,12.54B,13.82B,,2012-03,239.30M,,239.30M,,,,591.10M,591.10M,262.60M,1.172B,,4.603B,4.603B,1.791B,740.90M,2.532B,,221.00M,,,300.00M,8.568B,9.739B,,2012-03,,,,4.082B,,Restated
2011-12,14.10M,14.10M,349.40M,757.20M,98.70M,382.00M,140.30M,45.50M,,87.10M,1.426B,3.16B,921.30M,,14.04B,-3.879B,10.16B,441.90M,,441.90M,393.30M,,201.60M,12.44B,13.86B,,2011-12,325.70M,,325.70M,669.90M,,32.60M,702.50M,702.50M,230.40M,1.364B,,4.614B,4.614B,1.696B,754.50M,2.451B,,222.70M,,,314.30M,8.504B,9.868B,,2011-12,598.50M,,,3.994B,,Restated
2011-09,15.10M,15.10M,314.00M,314.00M,,368.10M,227.50M,45.50M,,,1.132B,12.48B,1.20B,60.60M,13.74B,-3.741B,9.999B,441.90M,,441.90M,382.80M,,210.40M,12.12B,13.25B,,2011-09,274.60M,,274.60M,,,,528.50M,528.50M,286.30M,1.089B,,4.619B,4.619B,1.447B,767.70M,2.215B,,100.80M,,,336.30M,8.189B,9.278B,,2011-09,,,,3.971B,,Restated
2011-06,10.60M,10.60M,344.90M,344.90M,,339.10M,206.40M,45.50M,,53.00M,1.172B,12.41B,1.033B,62.00M,13.51B,-3.687B,9.821B,441.90M,,441.90M,376.70M,,209.50M,11.90B,13.08B,,2011-06,309.80M,,309.80M,,,,573.00M,573.00M,260.90M,1.144B,,4.335B,4.335B,1.340B,781.30M,2.121B,,233.50M,,,333.90M,7.955B,9.098B,,2011-06,,,,3.978B,,Restated
2011-03,236.00M,236.00M,425.20M,425.20M,,284.40M,190.10M,45.50M,,53.70M,1.460B,12.34B,871.70M,63.40M,13.28B,-3.639B,9.639B,441.90M,,441.90M,374.80M,,215.40M,11.73B,13.19B,,2011-03,269.10M,,269.10M,,,,761.30M,761.30M,309.90M,1.340B,,4.339B,4.339B,1.268B,795.00M,2.063B,,227.40M,,,359.30M,7.913B,9.254B,,2011-03,,,,3.935B,,Restated
2010-12,24.50M,24.50M,344.60M,428.30M,,379.10M,125.60M,8.30M,,365.30M,1.331B,11.59B,1.570B,64.80M,13.23B,-3.624B,9.602B,441.90M,,441.90M,376.30M,,218.90M,11.73B,13.06B,,2010-12,315.40M,,315.40M,,,,1.131B,1.131B,186.10M,1.721B,,3.932B,3.932B,1.155B,805.50M,1.960B,,353.20M,,,376.90M,7.506B,9.227B,,2010-12,721.60M,,,3.832B,,Restated
2010-09,11.20M,11.20M,300.30M,300.30M,,422.30M,179.90M,62.70M,,212.20M,1.189B,11.50B,1.414B,66.30M,12.98B,-3.582B,9.400B,441.90M,,441.90M,365.20M,,1.323B,11.53B,12.72B,,2010-09,254.30M,,254.30M,,,,991.30M,991.30M,363.80M,1.609B,,3.936B,3.936B,1.048B,791.80M,1.839B,,335.30M,,,1.241B,7.351B,8.960B,,2010-09,,,,3.758B,,Restated
2010-06,10.50M,10.50M,317.30M,317.30M,,390.20M,210.70M,112.70M,,231.60M,1.273B,11.44B,1.316B,67.70M,12.83B,-3.539B,9.29B,441.90M,,441.90M,362.80M,,1.326B,11.42B,12.69B,,2010-06,270.50M,,270.50M,,,,1.014B,1.014B,368.50M,1.653B,,3.943B,3.943B,1.040B,778.10M,1.818B,,329.40M,,,1.244B,7.333B,8.986B,,2010-06,,,,3.708B,,Restated
2010-03,12.80M,12.80M,407.30M,407.30M,,337.00M,165.10M,151.00M,,246.70M,1.320B,11.50B,1.198B,69.10M,12.76B,-3.524B,9.237B,441.90M,,441.90M,358.90M,,1.364B,11.40B,12.72B,,2010-03,279.00M,,279.00M,,,,520.70M,520.70M,455.60M,1.255B,,4.396B,4.396B,1.039B,764.60M,1.804B,,324.40M,,,1.27B,7.794B,9.049B,,2010-03,,,,3.672B,,Restated
2009-12,20.20M,20.20M,298.70M,298.70M,,378.10M,290.20M,194.50M,,347.60M,1.529B,10.19B,2.185B,70.50M,12.45B,-3.432B,9.016B,441.90M,,441.90M,358.70M,,1.352B,11.17B,12.70B,,2009-12,290.60M,,290.60M,,,,1.121B,1.121B,482.70M,1.894B,,3.876B,3.876B,1.056B,739.10M,1.795B,,318.70M,,,1.217B,7.206B,9.101B,,2009-12,757.40M,,-0.50M,3.597B,,Restated
2009-09,10.70M,10.70M,309.50M,309.50M,,388.90M,221.60M,180.50M,,217.40M,1.329B,10.24B,2.062B,72.00M,12.37B,-3.466B,8.904B,441.90M,,441.90M,397.50M,,1.349B,11.09B,12.42B,,2009-09,263.80M,,263.80M,,,,1.250B,1.250B,495.60M,2.010B,,3.631B,3.631B,950.00M,687.90M,1.638B,,316.90M,,,1.308B,6.894B,8.903B,,2009-09,,,,3.517B,,Restated
2009-06,12.50M,12.50M,354.30M,354.30M,,314.50M,190.40M,173.50M,,254.90M,1.300B,10.17B,1.920B,73.40M,12.16B,-3.410B,8.752B,441.90M,,441.90M,442.30M,,1.362B,11.00B,12.30B,,2009-06,279.30M,,279.30M,,,,1.053B,1.053B,488.50M,1.821B,,3.820B,3.820B,839.70M,639.00M,1.479B,,317.60M,,,1.363B,6.980B,8.801B,,2009-06,,,,3.498B,,Restated
2009-03,17.10M,17.10M,527.60M,527.60M,,251.30M,231.50M,183.60M,,321.70M,1.533B,10.09B,1.807B,74.80M,11.97B,-3.370B,8.600B,441.90M,,441.90M,469.50M,,1.366B,10.88B,12.41B,,2009-03,303.90M,,303.90M,,,,803.60M,803.60M,598.30M,1.706B,,4.083B,4.083B,829.40M,592.20M,1.422B,,317.80M,,,1.412B,7.235B,8.941B,,2009-03,,,,3.47B,,Restated
2008-12,32.50M,32.50M,369.50M,369.50M,,344.70M,323.00M,214.10M,,423.70M,1.708B,9.909B,1.830B,76.20M,11.82B,-3.313B,8.503B,441.90M,,441.90M,490.30M,,1.476B,10.91B,12.62B,,2008-12,441.00M,,441.00M,,,,664.10M,664.10M,630.00M,1.735B,,4.075B,4.075B,814.00M,545.40M,1.359B,41.60M,635.00M,,,,6.111B,9.250B,,2008-12,752.30M,,-0.90M,3.367B,,Restated
2008-09,258.80M,258.80M,334.30M,334.30M,,359.50M,,,,433.20M,1.386B,9.889B,1.722B,,11.61B,-3.277B,8.334B,,,441.90M,,,1.642B,10.42B,11.80B,,2008-09,330.90M,,330.90M,,,,1.296B,1.296B,,2.260B,,3.271B,3.271B,684.50M,,684.50M,,,,,,3.956B,8.508B,,2008-09,,30.40M,3.265B,3.296B,,Restated
2008-06,347.20M,347.20M,395.70M,395.70M,,279.00M,,,,500.90M,1.523B,9.807B,1.551B,,11.36B,-3.226B,8.132B,,,441.90M,,,1.628B,10.20B,11.72B,,2008-06,343.50M,,343.50M,,,,1.330B,1.330B,,2.350B,,3.127B,3.127B,662.70M,,662.70M,,,,,,3.789B,8.477B,,2008-06,,30.40M,3.218B,3.248B,,Restated
2008-03,367.10M,367.10M,521.40M,521.40M,,235.10M,,,,533.40M,1.657B,9.074B,2.010B,,11.08B,-3.172B,7.912B,,,441.90M,,,1.668B,10.02B,11.68B,,2008-03,422.10M,,422.10M,,,,1.410B,1.410B,,2.633B,,2.974B,2.974B,542.90M,,542.90M,,,,,,3.517B,8.456B,,2008-03,,30.40M,3.192B,3.222B,,Restated
2007-12,27.40M,27.40M,361.80M,361.80M,,361.30M,,,,1.099B,1.850B,9.041B,1.764B,,10.81B,-3.124B,7.681B,,,441.90M,,,1.748B,9.871B,11.72B,,2007-12,478.30M,,478.30M,,,,1.254B,1.254B,,2.503B,,3.172B,3.172B,599.50M,,47.80M,,,,,,3.220B,8.591B,,2007-12,747.50M,30.40M,-0.90M,3.130B,,
2007-09,500.00M,500.00M,320.70M,320.70M,,410.30M,,,,247.70M,1.479B,8.818B,1.563B,,10.38B,-3.099B,7.282B,,,441.90M,,,2.56B,10.28B,11.76B,,2007-09,364.50M,,364.50M,,,,1.114B,1.114B,,2.060B,,3.493B,3.493B,242.70M,,242.70M,,,,,,3.736B,8.697B,,2007-09,,30.40M,3.035B,3.065B,,
2007-06,36.70M,36.70M,364.20M,364.20M,,333.70M,,,,327.20M,1.062B,9.413B,1.36B,,10.77B,-3.491B,7.282B,,,441.90M,,,2.676B,10.40B,11.46B,,2007-06,317.10M,,317.10M,,,,957.10M,957.10M,,1.523B,,3.544B,3.544B,555.80M,,555.80M,,,,,,4.100B,8.453B,,2007-06,,30.40M,2.979B,3.009B,,
2007-03,24.10M,24.10M,513.70M,513.70M,,264.90M,,,,316.60M,1.119B,9.501B,1.218B,,10.72B,-3.442B,7.278B,,,441.90M,,,2.395B,10.11B,11.23B,,2007-03,339.10M,,339.10M,,,,1.187B,1.187B,,1.877B,,3.066B,3.066B,565.60M,,565.60M,,,,,,3.631B,8.251B,,2007-03,,30.40M,2.953B,2.983B,,
2006-12,37.00M,37.00M,379.30M,379.30M,,417.20M,,,,394.50M,1.228B,9.265B,992.40M,,10.26B,-3.424B,6.834B,,,441.90M,,,2.626B,9.902B,11.13B,,2006-12,404.50M,,404.50M,,,,1.209B,1.209B,,1.888B,,3.073B,3.073B,572.90M,,572.90M,,,,,,3.646B,8.211B,,2006-12,755.50M,30.40M,-1.00M,2.919B,,
2006-09,21.20M,21.20M,278.30M,278.30M,,427.70M,,,,249.20M,976.40M,8.973B,1.056B,,10.03B,-3.396B,6.634B,,,441.90M,,,2.572B,9.648B,10.62B,,2006-09,278.60M,,278.60M,,,,927.50M,927.50M,,1.541B,,3.035B,3.035B,579.40M,,579.40M,,,,,,3.614B,7.759B,,2006-09,,30.40M,2.835B,2.865B,,
