,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2015-02,210.90M,,,,-4.30M,-5.70M,14.60M,,,92.40M,92.40M,,17.30M,10.30M,0.50M,127.70M,146.10M,-83.50M,-252.00M,,,-54.60M,31.40M,322.80M,,2015-02,-83.00M,13.10M,-69.90M,0.00,,,-100.40M,,2015-02,-2.00M,-108.70M,-110.70M,,-35.10M,-35.10M,-106.50M,58.60M,-5.60M,-200.80M,,99.90M,21.60M,-6.20M,109.80M,,2015-02,,-2.00M,-35.10M,,2015-02,AOR,Restated
2014-11,218.70M,,-0.90M,,-28.00M,-5.50M,-34.40M,,,95.40M,95.40M,,6.10M,18.10M,-8.30M,-92.20M,-299.00M,16.50M,168.70M,,,-169.50M,58.00M,184.10M,,2014-11,-67.20M,0.50M,-66.70M,0.00,,,-99.00M,,2014-11,-2.50M,-14.50M,-17.00M,,,,-106.20M,28.10M,-1.00M,-96.30M,,111.80M,-11.20M,-0.60M,99.90M,,2014-11,,-2.50M,,,2014-11,AOR,Restated
2014-08,96.20M,,0.90M,,-24.40M,-5.10M,-28.60M,,,96.00M,96.00M,,1.30M,14.50M,23.00M,-16.60M,-92.10M,13.50M,70.10M,,,-42.10M,73.30M,233.60M,,2014-08,-90.40M,1.80M,-88.60M,0.00,,,331.60M,,2014-08,-936.70M,407.30M,-529.40M,,,,-105.50M,27.10M,-5.90M,-613.70M,,118.20M,-48.50M,-0.90M,111.80M,,2014-08,,-1.487B,,,2014-08,AOR,Restated
2014-05,55.30M,,1.20M,-54.90M,16.30M,1.20M,-40.20M,,,-72.90M,-72.90M,,84.40M,-0.70M,-20.10M,58.40M,175.50M,28.00M,12.10M,,,228.20M,366.60M,600.60M,,2014-05,14.10M,25.00M,39.10M,,,,-62.00M,,2014-05,-497.90M,-3.90M,-501.80M,,0.00,0.00,-105.40M,16.30M,-4.50M,-595.50M,,205.50M,-56.90M,0.80M,118.20M,,2014-05,,-497.90M,0.00,,2014-05,AOR,Restated
2014-02,226.10M,,,54.90M,-4.10M,-5.80M,45.00M,,,149.70M,149.70M,,19.70M,13.70M,6.10M,131.70M,196.40M,-80.70M,-302.60M,,,-115.40M,40.40M,385.30M,,2014-02,-132.70M,2.90M,-129.80M,,,,-137.50M,,2014-02,-20.50M,-88.00M,-108.50M,,0.00,0.00,-105.10M,17.10M,-0.80M,-197.30M,,168.10M,50.50M,-4.00M,205.50M,,2014-02,,-20.50M,0.00,,2014-02,AOR,Restated
2013-11,210.40M,,-1.00M,,-0.40M,-7.90M,-9.30M,,,138.00M,138.00M,,12.70M,14.80M,2.70M,-170.10M,-192.00M,53.80M,242.70M,,,26.20M,21.10M,416.60M,,2013-11,-168.50M,8.40M,-160.10M,,,,-154.40M,,2013-11,-48.40M,-48.50M,-96.90M,,-69.10M,-69.10M,-105.60M,7.40M,0.30M,-263.90M,,181.40M,-1.70M,0.20M,168.10M,,2013-11,,-48.40M,-69.10M,,2013-11,AOR,Restated
2013-08,133.40M,,1.00M,,1.80M,-6.70M,-3.90M,,,139.80M,139.80M,,2.10M,17.00M,-8.20M,30.40M,-172.60M,-0.60M,-5.80M,,,-134.40M,20.30M,166.10M,,2013-08,-174.00M,3.70M,-170.30M,,,,-177.60M,,2013-08,-2.30M,97.20M,94.90M,,-30.90M,-30.90M,-104.80M,62.90M,0.50M,22.60M,,150.90M,11.10M,-0.80M,181.40M,,2013-08,,-2.30M,-30.90M,,2013-08,AOR,Restated
2013-05,105.40M,,,,0.10M,1.90M,12.50M,,,120.50M,120.50M,,0.40M,14.20M,28.50M,-39.40M,290.90M,19.40M,-21.20M,,,308.00M,41.00M,630.50M,,2013-05,-141.40M,10.40M,-126.20M,,,,-164.80M,,2013-05,-1.162B,183.90M,-978.30M,-0.10M,0.00,-0.10M,-104.10M,77.20M,0.80M,-1.004B,,723.80M,-538.80M,-1.10M,150.90M,,2013-05,-0.10M,-1.162B,0.00,,2013-05,AOR,Restated
2013-02,122.90M,,,,-6.40M,0.50M,-5.90M,,,112.80M,112.80M,,15.20M,25.00M,-26.60M,97.10M,98.90M,-52.40M,-157.60M,,,56.90M,2.80M,303.10M,,2013-02,-106.90M,3.70M,-103.20M,,,,-4.854B,,2013-02,4.597B,1.10M,4.598B,269.30M,-6.40M,262.90M,-101.30M,94.30M,-55.90M,4.798B,,476.80M,246.90M,0.10M,723.80M,,2013-02,269.30M,-877.60M,-6.40M,,2013-02,AOR,Restated
2012-11,217.50M,,,,-6.60M,-1.00M,-7.60M,,,94.10M,94.10M,,4.30M,14.70M,-9.60M,-74.10M,-185.20M,53.60M,161.30M,,,-160.50M,1.80M,154.70M,,2012-11,-80.70M,2.00M,-78.70M,,,,-81.30M,,2012-11,725.70M,-272.00M,453.70M,,-163.60M,-163.60M,-97.40M,92.10M,1.30M,286.10M,,116.50M,359.50M,0.80M,476.80M,,2012-11,,-17.30M,-163.60M,,2012-11,AOR,Restated
