,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2014-08,2.763B,2.763B,2.172B,590.80M,393.80M,,83.80M,0.50M,-83.30M,393.80M,197.00M,0.50M,83.80M,-83.30M,,-83.30M,113.70M,43.10M,96.20M,388.30M,,-2.20M,,482.30M,94.00M,197.50M,,2014-08,0.22,0.92,1.14,,2014-08,0.22,0.90,1.12,,2014-08,0.25,,2014-08,AOR,Restated
2014-05,-46.00M,-46.00M,-298.40M,252.40M,152.80M,,91.90M,0.70M,-91.20M,152.80M,99.60M,0.70M,91.90M,-91.20M,,-91.20M,8.40M,-34.80M,55.30M,-376.70M,,-2.80M,,-324.20M,52.50M,100.30M,,2014-05,-0.76,-0.01,-0.77,,2014-05,-0.76,-0.01,-0.77,,2014-05,0.25,,2014-05,AOR,Restated
2014-02,3.947B,3.947B,3.024B,923.10M,534.90M,,95.30M,0.30M,-95.00M,534.90M,388.20M,0.30M,95.30M,-95.00M,,-95.00M,293.20M,78.20M,226.10M,10.80M,,-2.60M,,234.30M,223.50M,388.50M,,2014-02,0.53,0.03,0.56,,2014-02,0.52,0.03,0.55,,2014-02,0.25,,2014-02,AOR,Restated
2013-11,4.221B,4.221B,3.261B,959.80M,553.10M,,96.30M,0.80M,-95.50M,553.10M,406.70M,0.80M,96.30M,-95.50M,,-95.50M,311.20M,106.00M,210.40M,42.00M,,-3.70M,,248.70M,206.70M,407.50M,,2013-11,0.49,0.10,0.59,,2013-11,0.48,0.10,0.58,,2013-11,0.25,,2013-11,AOR,Restated
2013-08,3.716B,3.716B,2.924B,792.10M,538.10M,,96.30M,0.50M,-95.80M,538.10M,254.00M,0.50M,96.30M,-95.80M,,-95.80M,158.20M,28.90M,133.40M,13.80M,,-2.90M,,144.30M,130.50M,254.50M,,2013-08,0.31,0.03,0.34,,2013-08,0.30,0.03,0.34,,2013-08,0.25,,2013-08,AOR,Restated
2013-05,2.606B,2.606B,1.842B,763.80M,509.90M,,103.40M,0.50M,-102.90M,509.90M,253.90M,0.50M,103.40M,-102.90M,,-102.90M,151.00M,50.70M,105.40M,88.60M,,-1.80M,,192.20M,103.60M,254.40M,,2013-05,0.46,0.21,0.46,,2013-05,0.45,0.21,0.45,,2013-05,0.25,,2013-05,AOR,Restated
2013-02,3.834B,3.834B,2.963B,870.90M,611.70M,,71.50M,0.90M,-70.60M,611.70M,259.20M,0.90M,71.50M,-70.60M,,-70.60M,188.60M,77.70M,122.90M,0.50M,,-3.40M,,120.00M,119.50M,260.10M,,2013-02,0.29,0.00,0.29,,2013-02,0.28,0.00,0.29,,2013-02,0.25,,2013-02,AOR,Restated
2012-11,3.727B,3.727B,2.866B,861.60M,493.80M,,54.10M,0.70M,-53.40M,493.80M,367.80M,0.70M,54.10M,-53.40M,,-53.40M,314.40M,109.70M,217.50M,-1.00M,,-4.90M,,211.60M,212.60M,368.50M,,2012-11,0.52,0.00,0.52,,2012-11,0.52,-0.01,0.51,,2012-11,0.25,,2012-11,AOR,Restated
2012-08,3.302B,3.302B,2.434B,868.60M,450.50M,,50.10M,0.80M,-49.30M,450.50M,418.10M,0.80M,50.10M,-49.30M,,-49.30M,368.80M,123.80M,252.60M,-0.40M,,-2.10M,,250.10M,250.50M,418.90M,,2012-08,0.61,0.00,0.61,,2012-08,0.61,0.00,0.61,,2012-08,0.24,,2012-08,AOR,Restated
2012-05,3.398B,3.398B,2.736B,662.40M,778.10M,,51.60M,0.80M,-50.80M,778.10M,-115.70M,0.80M,51.60M,-50.80M,,-50.80M,-166.50M,-62.00M,-89.90M,6.40M,,-2.70M,,-86.20M,-92.60M,-114.90M,,2012-05,-0.2268,0.0198,-0.21,,2012-05,-0.2268,0.0198,-0.21,,2012-05,0.24,,2012-05,AOR,Restated
2012-02,3.396B,3.396B,2.609B,786.60M,356.70M,,50.70M,1.00M,-49.70M,356.70M,429.90M,1.00M,50.70M,-49.70M,,-49.70M,380.20M,112.10M,280.70M,0.00,,-0.60M,,280.10M,280.10M,430.90M,,2012-02,0.6758,0.00,0.68,,2012-02,0.6667,0.00,0.67,,2012-02,0.24,,2012-02,AOR,Restated
2011-11,3.432B,3.432B,2.678B,754.00M,438.90M,,51.50M,0.90M,-50.60M,438.90M,315.10M,0.90M,51.50M,-50.60M,,-50.60M,264.50M,92.90M,183.10M,0.00,,-2.90M,,180.20M,180.20M,316.00M,,2011-11,0.43,0.00,0.43,,2011-11,0.43,0.00,0.43,,2011-11,0.24,,2011-11,AOR,Restated
2011-08,3.105B,3.105B,2.509B,596.00M,406.60M,,54.20M,1.30M,-52.90M,406.60M,189.40M,1.30M,54.20M,-52.90M,,-52.90M,136.50M,48.70M,94.00M,0.10M,,-0.30M,,93.80M,93.70M,190.70M,,2011-08,0.23,0.00,0.23,,2011-08,0.22,0.00,0.22,,2011-08,0.23,,2011-08,AOR,Restated
2011-05,3.293B,3.293B,2.599B,694.00M,256.60M,,55.80M,0.90M,-54.90M,256.60M,437.40M,0.90M,55.80M,-54.90M,,-54.90M,382.50M,130.80M,260.70M,-4.50M,,-0.70M,,255.50M,260.00M,438.30M,,2011-05,0.62,-0.01,0.61,,2011-05,0.61,-0.01,0.61,,2011-05,0.23,,2011-05,AOR,Restated
2011-02,3.141B,3.141B,2.344B,797.30M,404.10M,,54.10M,2.50M,-51.60M,404.10M,393.20M,2.50M,54.10M,-51.60M,,-51.60M,341.60M,122.50M,225.70M,-10.60M,,-0.30M,,214.80M,225.40M,395.70M,,2011-02,0.53,-0.03,0.50,,2011-02,0.52,-0.03,0.50,,2011-02,0.23,,2011-02,AOR,Restated
