,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2016-06,673.99M,673.99M,107.19M,566.80M,245.92M,78.88M,324.80M,100.65M,3.822M,-3.58M,11.20M,4.164M,-7.032M,,429.28M,137.52M,4.164M,11.20M,-7.032M,-3.852M,-7.032M,126.64M,20.35M,106.29M,14.61M,,120.90M,109.29M,196.67M,58.84M,137.83M,0.69,0.09,0.7094,0.78,0.68,0.09,0.6992,0.77,155.00M,156.67M,
2016-03,658.77M,658.77M,99.81M,558.96M,233.93M,77.82M,311.75M,102.23M,3.72M,-46.01M,11.16M,3.751M,-7.404M,,417.70M,141.26M,3.751M,11.16M,-7.404M,-47.02M,-7.404M,86.84M,13.59M,73.25M,10.21M,,83.46M,112.04M,151.63M,53.63M,98.00M,0.47,0.07,0.7218,0.54,0.47,0.07,0.7187,0.54,154.07M,155.94M,
2015-12,275.32M,275.32M,62.43M,212.89M,109.55M,44.73M,154.28M,56.98M,-2.626M,-39.14M,10.96M,2.996M,-7.961M,,208.64M,4.256M,2.996M,10.96M,-7.961M,-31.39M,-7.961M,-35.10M,-62.14M,27.05M,,,131.27M,50.53M,7.006M,31.15M,-24.14M,0.8534,,1.006,0.8534,0.84,,0.9903,0.84,154.42M,156.30M,
2015-09,813.27M,813.27M,146.25M,667.02M,293.59M,79.80M,373.39M,139.13M,12.53M,-78.17M,11.08M,3.004M,-8.071M,,525.05M,141.97M,3.004M,11.08M,-8.071M,-80.54M,-8.071M,53.36M,-2.567M,55.92M,,,55.92M,102.83M,209.28M,144.85M,64.43M,0.35,,0.6425,0.35,0.35,,0.6399,0.35,160.36M,161.78M,
2015-06,796.76M,796.76M,132.75M,664.01M,296.26M,79.87M,376.13M,140.20M,10.99M,-14.53M,11.00M,2.841M,-8.16M,,527.32M,136.68M,2.841M,11.00M,-8.16M,-17.80M,-8.16M,110.73M,7.452M,103.28M,,,103.28M,116.84M,198.61M,76.88M,121.73M,0.64,,0.7242,0.64,0.64,,0.7237,0.64,161.08M,162.03M,
2015-03,760.80M,760.80M,132.61M,628.20M,306.40M,82.03M,388.43M,144.64M,9.441M,-33.95M,11.12M,2.834M,-8.286M,,542.51M,85.68M,2.834M,11.12M,-8.286M,-41.80M,-8.286M,35.60M,6.71M,28.89M,,,28.89M,56.42M,120.80M,74.08M,46.72M,0.18,,0.3517,0.18,0.18,,0.3499,0.18,160.32M,162.04M,
2014-12,851.48M,851.48M,174.65M,676.83M,323.98M,77.32M,401.29M,141.95M,6.722M,-9.46M,10.73M,2.716M,-8.015M,,549.96M,126.87M,2.716M,10.73M,-8.015M,-11.15M,-8.015M,107.70M,12.47M,95.23M,,,95.23M,103.59M,197.38M,78.95M,118.43M,0.5923,,0.644,0.5923,0.58,,0.6313,0.58,161.65M,163.01M,
2014-09,758.99M,758.99M,135.98M,623.01M,318.25M,95.20M,413.46M,137.88M,9.956M,-3.124M,10.55M,2.411M,-8.14M,,561.29M,61.72M,2.411M,10.55M,-8.14M,-5.359M,-8.14M,48.22M,0.69M,47.53M,,,47.53M,50.61M,135.52M,76.74M,58.77M,0.29,,0.3088,0.29,0.29,,0.3086,0.29,164.23M,165.71M,
2014-06,781.56M,781.56M,175.26M,606.30M,321.54M,75.02M,396.55M,140.38M,10.44M,-4.511M,6.984M,2.141M,-4.843M,,547.37M,58.93M,2.141M,6.984M,-4.843M,-3.059M,-4.843M,51.03M,-1.996M,53.02M,,,53.02M,55.96M,162.56M,104.54M,58.01M,0.31,,0.3273,0.31,0.31,,0.3272,0.31,169.97M,170.89M,
2014-03,750.82M,750.82M,134.33M,616.49M,316.50M,72.39M,388.88M,133.62M,12.45M,-9.65M,0.066M,2.153M,2.087M,,534.96M,81.54M,2.153M,0.066M,2.087M,-14.87M,2.087M,68.76M,12.82M,55.94M,,,55.94M,63.79M,138.85M,70.03M,68.82M,0.3,,0.3427,0.3,0.3,,0.3423,0.3,184.00M,185.68M,
2013-12,802.42M,802.42M,136.71M,665.71M,301.49M,66.53M,368.01M,126.50M,10.35M,,0.026M,2.132M,2.106M,,504.86M,160.85M,2.132M,0.026M,2.106M,-0.942M,2.106M,162.02M,23.37M,138.64M,,,138.64M,138.64M,230.90M,68.86M,162.04M,0.7564,,0.7564,0.7564,0.74,,0.74,0.74,185.33M,186.49M,
2013-09,712.73M,712.73M,123.93M,588.80M,300.42M,63.58M,364.00M,127.05M,10.39M,0.00,0.041M,2.079M,2.038M,,501.43M,87.37M,2.079M,0.041M,2.038M,1.40M,2.038M,90.80M,14.08M,76.73M,,,76.73M,76.73M,159.00M,68.16M,90.85M,0.41,,0.41,0.41,0.41,,0.41,0.41,187.46M,188.98M,
2013-06,730.38M,730.38M,127.24M,603.14M,317.10M,67.34M,384.44M,132.30M,10.52M,0.00,0.047M,2.021M,1.974M,,527.26M,75.89M,2.021M,0.047M,1.974M,-0.599M,1.974M,77.26M,12.80M,64.46M,,,64.46M,64.46M,143.26M,65.95M,77.31M,0.34,,0.34,0.34,0.34,,0.34,0.34,187.23M,188.49M,
2013-03,672.90M,672.90M,114.91M,557.98M,297.68M,62.78M,360.47M,130.49M,10.42M,0.00,,1.962M,1.962M,,501.38M,56.61M,1.962M,,1.962M,-0.766M,1.962M,57.80M,-1.884M,59.69M,,,59.69M,59.69M,121.14M,64.54M,56.61M,0.32,,0.32,0.32,0.32,,0.32,0.32,186.66M,189.01M,
2012-12,740.00M,740.00M,117.37M,622.63M,287.10M,58.85M,345.95M,122.21M,9.05M,,,2.187M,1.875M,,477.21M,145.42M,2.187M,,1.875M,1.94M,1.875M,149.24M,35.21M,114.03M,,,114.03M,114.03M,226.00M,60.82M,165.18M,0.6119,,0.6119,0.6119,0.6,,0.6,0.6,187.91M,188.67M,
2012-09,641.42M,641.42M,106.07M,535.35M,263.14M,65.25M,328.39M,114.71M,9.838M,,,2.059M,2.059M,,452.94M,82.42M,2.059M,,2.059M,6.424M,2.059M,90.90M,12.65M,78.24M,,,78.24M,78.24M,141.12M,58.71M,82.42M,0.42,,0.42,0.42,0.41,,0.41,0.41,186.86M,189.67M,
2012-06,615.21M,615.21M,94.36M,520.85M,262.14M,61.30M,323.44M,110.03M,5.194M,,,2.828M,2.828M,,438.66M,82.19M,2.828M,,2.828M,0.525M,2.828M,85.54M,-6.461M,92.01M,,,92.01M,92.01M,127.99M,45.80M,82.19M,0.49,,0.49,0.49,0.49,,0.49,0.49,186.37M,189.28M,
2012-03,589.50M,589.50M,86.34M,503.15M,248.46M,59.86M,308.31M,103.62M,10.47M,,,3.078M,3.078M,,422.40M,80.75M,3.078M,,3.078M,0.722M,3.078M,84.55M,16.28M,68.27M,,,68.27M,68.27M,130.30M,49.55M,80.75M,0.37,,0.37,0.37,0.36,,0.36,0.36,185.73M,188.88M,
2011-12,619.37M,619.37M,82.10M,537.27M,244.16M,50.70M,294.86M,102.08M,4.514M,-0.048M,,3.068M,3.068M,,401.45M,135.81M,3.068M,,3.068M,-0.336M,3.068M,138.55M,29.85M,108.70M,,0.00,108.70M,108.74M,179.48M,43.66M,135.81M,0.585,,0.5852,0.585,0.58,0.0,0.5802,0.58,186.20M,189.10M,
2011-09,565.35M,565.35M,79.69M,485.66M,223.97M,55.91M,279.87M,96.68M,4.43M,-4.946M,,3.085M,3.085M,,380.98M,104.68M,3.085M,,3.085M,-4.946M,3.085M,102.82M,10.64M,92.18M,,0.00,92.18M,96.61M,147.57M,42.89M,104.68M,0.49,0.0,0.5137,0.49,0.49,0.0,0.5134,0.49,186.98M,189.73M,
2011-06,530.79M,530.79M,71.83M,458.96M,211.40M,56.66M,268.06M,91.37M,3.937M,1.361M,,3.727M,3.727M,,363.37M,95.59M,3.727M,,3.727M,1.361M,3.727M,100.68M,19.27M,81.41M,,0.536M,81.94M,80.84M,132.45M,36.86M,95.59M,0.44,0.0,0.4341,0.44,0.43,0.0,0.4243,0.43,187.69M,191.41M,
2011-03,490.89M,490.89M,59.98M,430.91M,205.54M,50.40M,255.95M,90.55M,3.509M,3.609M,,3.939M,3.939M,,350.00M,80.91M,3.939M,,3.939M,3.609M,3.939M,88.46M,15.11M,73.35M,,0.156M,73.50M,70.51M,116.76M,35.85M,80.91M,0.39,0.0,0.374,0.39,0.38,0.0,0.3644,0.38,187.57M,191.50M,
2010-12,529.72M,529.72M,72.21M,457.51M,239.80M,-15.43M,224.37M,116.73M,3.012M,0.474M,,3.546M,3.546M,,344.12M,113.40M,3.546M,,3.546M,-0.999M,3.546M,115.94M,22.19M,93.76M,,0.624M,94.38M,94.00M,148.93M,35.53M,113.40M,0.5,,0.498,0.5,0.5,,0.498,0.5,187.64M,191.86M,
2010-09,472.23M,472.23M,57.80M,414.44M,174.73M,67.40M,242.14M,87.40M,3.334M,1.975M,,3.638M,3.638M,,332.87M,81.56M,3.638M,,3.638M,1.975M,3.638M,87.18M,-0.602M,87.78M,,0.00,87.78M,86.50M,116.04M,34.47M,81.56M,0.47,0.0,0.4631,0.47,0.46,0.0,0.4533,0.46,186.56M,191.00M,
2010-06,458.43M,458.43M,53.56M,404.88M,186.60M,60.80M,247.41M,79.54M,3.776M,-3.297M,,3.837M,3.837M,,330.72M,74.15M,3.837M,,3.837M,-3.297M,3.837M,74.69M,27.14M,47.56M,,0.00,47.56M,49.66M,108.31M,34.16M,74.15M,0.26,0.0,0.2713,0.26,0.25,0.0,0.2611,0.25,185.26M,189.28M,
2010-03,414.27M,414.27M,48.70M,365.57M,170.52M,60.62M,231.14M,77.70M,4.157M,-0.123M,,3.556M,3.556M,,313.00M,52.58M,3.556M,,3.556M,-0.123M,3.556M,56.01M,8.659M,47.35M,,0.00,47.35M,47.45M,86.57M,34.00M,52.58M,0.26,0.0,0.2606,0.26,0.25,0.0,0.2506,0.25,184.02M,188.84M,
2009-12,451.16M,451.16M,52.62M,398.54M,180.10M,64.33M,244.43M,66.92M,5.704M,-3.627M,0.183M,3.516M,3.333M,,317.05M,81.49M,3.516M,0.183M,3.333M,-3.627M,3.333M,81.20M,-6.948M,88.15M,,,88.15M,90.51M,117.64M,36.25M,81.38M,0.48,0.0,0.4929,0.48,0.47,0.0,0.4826,0.47,182.60M,186.91M,
2009-09,401.04M,401.04M,45.42M,355.62M,168.23M,57.25M,225.49M,68.86M,5.111M,1.59M,0.085M,4.059M,3.974M,,299.46M,56.16M,4.059M,0.085M,3.974M,1.59M,3.974M,61.72M,8.302M,53.42M,,,53.42M,52.05M,95.90M,34.09M,61.81M,0.29,0.0,0.2825,0.29,0.29,0.0,0.2826,0.29,182.53M,186.33M,
2009-06,392.83M,392.83M,44.06M,348.77M,167.13M,59.55M,226.68M,75.16M,5.163M,-1.326M,0.034M,4.393M,4.359M,,307.00M,41.76M,4.393M,0.034M,4.359M,-1.326M,4.359M,44.80M,2.276M,42.52M,,,42.52M,43.78M,78.97M,34.14M,44.83M,0.23,0.0,0.2369,0.23,0.23,0.0,0.2368,0.23,181.57M,184.74M,
2009-03,369.06M,369.06M,45.22M,323.84M,163.59M,58.49M,222.08M,71.04M,4.994M,-22.15M,0.124M,2.715M,2.591M,,298.11M,25.73M,2.715M,0.124M,2.591M,-22.15M,2.591M,6.172M,-0.755M,6.927M,,,6.927M,21.33M,40.39M,34.09M,6.296M,0.04,0.0,0.1198,0.04,0.04,0.0,0.119,0.04,180.35M,182.37M,
2008-12,415.70M,415.70M,46.56M,369.14M,,,228.92M,70.11M,5.849M,1.725M,0.191M,6.274M,6.083M,,304.88M,64.26M,6.274M,0.191M,6.083M,1.725M,6.083M,72.07M,11.97M,60.10M,,,60.10M,58.66M,106.02M,33.76M,72.26M,0.33,0.0,0.322,0.33,0.33,0.0,0.3221,0.33,180.80M,183.07M,
2008-09,398.89M,398.89M,42.29M,356.60M,169.07M,61.87M,230.94M,72.50M,5.468M,-3.992M,0.143M,7.316M,7.173M,,308.91M,47.70M,7.316M,0.143M,7.173M,-3.992M,7.173M,50.88M,1.731M,49.15M,,,49.15M,53.01M,81.69M,30.67M,51.02M,0.27,0.0,0.2912,0.27,0.26,0.0,0.2808,0.26,182.23M,185.67M,
2008-06,391.73M,391.73M,45.86M,345.87M,169.24M,68.07M,237.31M,73.96M,5.707M,-1.222M,0.055M,7.599M,7.544M,,316.98M,28.89M,7.599M,0.055M,7.544M,-1.222M,7.544M,35.21M,0.563M,34.65M,,,34.65M,35.85M,66.85M,31.59M,35.27M,0.19,0.0,0.1966,0.19,0.18,0.0,0.1864,0.18,183.60M,188.02M,
2008-03,377.03M,377.03M,40.43M,336.60M,166.44M,62.64M,229.08M,71.53M,5.70M,-1.791M,0.055M,10.32M,10.26M,,306.31M,30.29M,10.32M,0.055M,10.26M,-1.791M,10.26M,38.76M,4.384M,34.38M,,,34.38M,35.97M,66.51M,27.69M,38.82M,0.19,0.0,0.1986,0.19,0.18,0.0,0.1884,0.18,185.49M,189.99M,
2007-12,399.56M,399.56M,40.32M,359.24M,,,234.07M,61.46M,5.649M,-9.401M,,,,,301.18M,58.06M,,,,-9.401M,,60.65M,-2.113M,62.76M,,,62.76M,68.88M,84.04M,25.98M,58.06M,0.34,0.0,0.3727,0.34,0.32,0.0,0.3517,0.32,186.72M,192.95M,
2007-09,349.93M,349.93M,36.01M,313.92M,,,200.67M,49.33M,3.94M,0.043M,,,,,253.94M,59.98M,,,,0.043M,,73.44M,12.75M,60.70M,,,60.70M,60.66M,80.48M,20.49M,59.98M,0.34,0.0,0.3398,0.34,0.33,0.0,0.3298,0.33,180.19M,186.75M,
2007-06,334.36M,334.36M,31.86M,302.50M,,,196.35M,47.77M,3.651M,0.105M,,,,,247.77M,54.73M,,,,0.105M,,67.24M,13.85M,53.39M,,,53.39M,53.31M,74.61M,19.88M,54.73M,0.3,0.0,0.2995,0.3,0.29,0.0,0.2896,0.29,179.77M,185.43M,
2007-03,308.09M,308.09M,29.41M,278.67M,,,188.55M,46.54M,4.147M,-1.013M,,,,,239.24M,39.43M,,,,-1.013M,,49.57M,11.94M,37.63M,,,37.63M,38.40M,58.27M,18.84M,39.43M,0.21,0.0,0.2143,0.21,0.2,0.0,0.2042,0.2,179.28M,184.36M,
2006-12,321.00M,321.00M,27.98M,293.02M,,,186.40M,42.26M,4.392M,0.387M,,,,,233.06M,59.96M,,,,0.387M,,70.98M,18.07M,52.90M,,,52.90M,52.61M,77.22M,17.26M,59.96M,0.29,0.0,0.2884,0.29,0.28,0.0,0.2784,0.28,179.71M,184.48M,
2006-09,277.85M,277.85M,24.34M,253.51M,,,162.98M,40.10M,4.36M,-1.373M,,,,,207.44M,46.07M,,,,-1.373M,,57.08M,13.42M,43.66M,,,43.66M,44.71M,61.97M,15.90M,46.07M,0.24,0.0,0.2457,0.24,0.23,0.0,0.2356,0.23,183.01M,188.92M,
2006-06,275.47M,275.47M,24.12M,251.35M,,,157.80M,38.22M,4.15M,0.111M,,,,,200.17M,51.18M,,,,0.111M,,61.52M,15.07M,46.45M,,,46.45M,46.37M,66.35M,15.17M,51.18M,0.25,0.0,0.2495,0.25,0.24,0.0,0.2396,0.24,183.02M,191.50M,
2006-03,260.00M,260.00M,22.02M,237.98M,,,147.56M,33.66M,4.032M,-0.708M,,,,,185.25M,52.73M,,,,-0.708M,,59.18M,14.51M,44.68M,,,44.68M,45.21M,67.98M,15.25M,52.73M,0.25,0.0,0.253,0.25,0.24,0.0,0.2429,0.24,178.17M,186.01M,
2005-12,268.66M,268.66M,4.716M,263.94M,,,146.42M,29.68M,20.85M,-0.35M,,,,,180.18M,83.76M,,,,-0.35M,,72.37M,13.43M,58.94M,,,58.94M,59.23M,104.61M,19.75M,83.76M,0.33,0.0,0.3316,0.33,0.32,0.0,0.3216,0.32,176.12M,181.76M,
2005-09,226.95M,226.95M,15.92M,211.03M,,,128.55M,27.54M,3.147M,-7.112M,,,,,159.24M,51.79M,,,,-7.112M,,50.36M,9.41M,40.95M,,,40.95M,46.74M,64.84M,13.04M,51.79M,0.24,0.0,0.2735,0.24,0.23,0.0,0.2625,0.23,172.87M,178.21M,
2005-06,211.23M,211.23M,7.672M,203.56M,,,122.18M,26.40M,5.907M,-0.37M,,,,-3.693M,150.80M,52.76M,,,,-0.37M,,54.05M,26.16M,27.89M,,,27.89M,28.11M,64.20M,11.45M,52.76M,0.16,0.0,0.1613,0.16,0.16,0.0,0.1613,0.16,169.70M,175.15M,
2005-03,201.89M,201.89M,5.883M,196.01M,,,121.80M,25.06M,5.495M,0.464M,,,,-3.318M,149.05M,46.96M,,,,0.464M,,48.73M,10.17M,38.56M,,,38.56M,38.19M,57.34M,10.38M,46.96M,0.23,0.0,0.2278,0.23,0.22,0.0,0.2179,0.22,170.14M,175.91M,
2004-12,213.97M,213.97M,5.739M,208.23M,,,127.81M,23.31M,-2.173M,0.452M,,,,,158.96M,49.27M,,,,0.452M,,63.16M,10.86M,52.30M,,,52.30M,51.92M,52.77M,3.502M,49.27M,0.31,0.0,0.3078,0.31,0.29,0.0,0.2879,0.29,169.53M,177.20M,
2004-09,187.58M,187.58M,5.396M,182.18M,,,108.75M,21.83M,5.273M,0.727M,,,,-3.379M,132.48M,49.70M,,,,0.727M,,49.63M,11.18M,38.45M,,,38.45M,37.88M,60.40M,10.70M,49.70M,0.23,0.0,0.2267,0.23,0.22,0.0,0.2167,0.22,169.15M,172.87M,
2004-06,178.30M,178.30M,4.925M,173.38M,,,108.64M,22.17M,5.471M,0.19M,,,,,136.28M,37.09M,,,,0.19M,,39.84M,8.366M,31.48M,,,31.48M,31.32M,47.81M,10.72M,37.09M,0.18,0.0,0.1791,0.18,0.18,0.0,0.1791,0.18,170.33M,176.27M,
2004-03,161.31M,161.31M,4.236M,157.07M,,,98.88M,19.04M,3.76M,-24.93M,,,,,121.68M,35.40M,,,,-24.93M,,11.80M,2.479M,9.325M,,,9.325M,29.02M,44.05M,8.655M,35.40M,0.06,0.0,0.1783,0.06,0.05,0.0,0.1641,0.05,166.46M,172.58M,
2003-12,157.74M,157.74M,4.919M,152.82M,,,90.36M,17.42M,2.795M,1.206M,,,,,110.58M,42.25M,,,,1.206M,,44.45M,8.171M,36.28M,,,36.28M,35.29M,49.98M,7.728M,42.25M,0.22,0.0,0.2139,0.22,0.17,0.0,0.1654,0.17,162.46M,211.98M,
2003-09,144.34M,144.34M,5.35M,138.99M,,,81.75M,15.66M,2.868M,0.277M,,,,,100.28M,38.72M,,,,0.277M,,39.74M,8.742M,31.00M,,,31.00M,30.78M,46.75M,8.035M,38.72M,0.19,0.0,0.1887,0.19,0.18,0.0,0.1787,0.18,164.31M,171.11M,
2003-06,143.05M,143.05M,5.036M,138.01M,,,83.57M,16.24M,2.699M,1.629M,,,,,102.52M,35.50M,,,,1.629M,,37.12M,7.772M,29.34M,,,29.34M,28.06M,43.92M,8.421M,35.50M,0.18,0.0,0.1722,0.18,0.17,0.0,0.1625,0.17,165.41M,171.92M,
2003-03,143.49M,143.49M,4.731M,138.76M,,,82.73M,15.12M,2.974M,0.346M,,,,,100.83M,37.93M,,,,0.346M,,39.39M,9.059M,30.33M,,,30.33M,30.06M,48.08M,10.15M,37.93M,0.18,0.0,0.1784,0.18,0.18,0.0,0.1784,0.18,167.30M,170.40M,
