,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,144.26M,-1.906M,,-1.906M,,,51.88M,51.88M,8.16M,35.72M,,3.302M,285.10M,0.034M,-13.49M,-86.90M,,,-68.30M,116.44M,,357.86M,-16.53M,,-16.00M,-0.535M,-66.33M,328.12M,3.257M,248.51M,-5.674M,-5.674M,,-750.00M,-750.00M,0.00,0.00,0.07M,-13.60M,-769.21M,1.115B,-162.84M,2.404M,954.70M,,,-5.674M,-750.00M
2017-12,-283.89M,0.418M,,0.418M,,,20.20M,20.20M,61.79M,37.90M,,40.61M,-250.04M,0.805M,-2.491M,439.13M,,,189.32M,376.72M,0.00,253.76M,-20.74M,,-19.23M,-1.514M,0.00,-3.809M,1.833M,-22.72M,701.04M,701.04M,,-750.00M,-750.00M,,,0.02M,-8.861M,-57.80M,940.87M,173.24M,1.026M,1.115B,,741.04M,-40.00M,-750.00M
2017-09,126.72M,-2.014M,,-2.014M,,,52.41M,52.41M,-24.22M,51.73M,,1.796M,75.67M,-1.952M,-9.879M,10.69M,,,-26.19M,48.33M,0.00,254.76M,-23.73M,,-23.02M,-0.71M,0.00,-61.24M,-0.497M,-85.47M,10.00M,10.00M,,-74.96M,-74.96M,,,0.604M,-10.63M,-74.98M,844.77M,94.31M,1.79M,940.87M,,40.00M,-30.00M,-74.96M
2017-06,108.83M,-0.659M,,-0.659M,,,48.10M,48.10M,-10.91M,40.68M,,5.608M,-56.94M,1.413M,16.78M,-36.97M,,,48.36M,-27.35M,-13.82M,150.48M,-22.12M,,-18.90M,-3.221M,0.00,-98.05M,-0.298M,-120.48M,-70.00M,-70.00M,,0.00,0.00,,,0.588M,-25.68M,-95.09M,907.98M,-65.09M,1.885M,844.77M,,25.00M,-95.00M,0.00
2017-03,70.32M,-5.39M,,-5.39M,,,49.30M,49.30M,67.50M,34.81M,,2.204M,197.41M,-2.811M,-22.74M,-66.40M,,,-32.67M,72.79M,-42.25M,249.28M,-21.68M,,-19.75M,-1.934M,-60.45M,249.48M,1.285M,164.74M,96.00M,96.00M,,-500.00M,-500.00M,,,0.902M,-63.39M,-466.49M,956.96M,-52.46M,3.485M,907.98M,,100.00M,-4.00M,-500.00M
2016-12,178.58M,8.678M,,8.678M,,,12.07M,12.07M,2.258M,37.47M,-3.675M,39.32M,-252.35M,1.221M,-25.73M,3.487M,,,206.23M,-67.14M,51.50M,259.05M,-18.95M,,-18.77M,-0.185M,-1.786M,-567.74M,0.717M,-597.91M,0.00,0.00,,0.00,0.00,,,1.809M,-7.561M,-5.752M,1.309B,-465.48M,-7.113M,836.10M,,0.00,0.00,0.00
2016-09,111.74M,-1.247M,,-1.247M,,,53.92M,53.92M,-14.40M,40.84M,-2.066M,3.584M,27.73M,-3.891M,27.32M,11.00M,,,-16.16M,46.00M,50.09M,288.46M,-18.76M,,-17.58M,-1.178M,-11.46M,394.58M,-0.08M,353.14M,0.00,0.00,,0.00,0.00,,,8.879M,-9.494M,-0.615M,666.23M,640.98M,1.47M,1.309B,,0.00,0.00,0.00
2016-06,106.29M,-0.788M,,-0.788M,,,58.84M,58.84M,-14.34M,38.37M,-4.419M,0.167M,-55.86M,0.609M,9.271M,43.56M,,,12.10M,9.682M,34.57M,228.36M,-22.78M,,-22.35M,-0.429M,0.00,-45.23M,-0.464M,-81.38M,0.00,0.00,,0.00,0.00,,,24.54M,-17.00M,7.54M,513.31M,154.52M,-1.596M,666.23M,,0.00,0.00,0.00
2016-03,73.25M,-1.454M,,-1.454M,,,53.63M,53.63M,4.83M,36.06M,-5.889M,2.634M,218.82M,-2.072M,-22.94M,-9.336M,,,-40.08M,144.39M,32.51M,339.96M,-50.48M,,-26.34M,-24.15M,0.00,-93.23M,1.008M,-158.06M,0.00,0.00,,-28.69M,-28.69M,,,6.024M,-16.54M,-39.20M,368.52M,142.71M,2.082M,513.31M,,0.00,0.00,-28.69M
2015-12,27.05M,0.433M,,0.433M,,,31.15M,31.15M,-53.36M,24.59M,-3.637M,31.62M,-206.94M,-0.381M,-2.882M,77.67M,,,153.78M,21.25M,,281.74M,21.90M,,22.02M,-0.129M,155.66M,-65.30M,8.609M,-104.73M,4.394M,4.394M,,-357.63M,-357.63M,,,32.95M,-10.35M,-335.04M,527.59M,-158.03M,-1.047M,368.52M,,0.00,4.394M,-357.63M
2015-09,55.92M,4.064M,,4.064M,,,144.85M,144.85M,-26.32M,38.67M,-0.312M,2.82M,29.22M,1.855M,-3.994M,38.74M,,,-25.72M,40.10M,,259.80M,-40.92M,,-39.59M,-1.332M,0.198M,145.56M,-2.342M,102.49M,0.00,0.00,,-225.94M,-225.94M,,,35.92M,-3.718M,-193.74M,362.31M,168.55M,-3.27M,527.59M,,0.00,0.00,-225.94M
2015-06,103.28M,-0.689M,,-0.689M,,,76.88M,76.88M,-24.57M,30.79M,-0.773M,4.845M,-62.18M,-1.09M,3.932M,39.81M,,,30.91M,11.38M,,201.15M,-43.17M,,-35.91M,-7.252M,-161.72M,81.55M,-0.321M,-123.66M,-99.39M,-99.39M,,-47.20M,-47.20M,,,35.01M,-8.154M,-119.75M,402.93M,-42.25M,1.634M,362.31M,,0.00,-99.39M,-47.20M
2015-03,28.89M,10.01M,,10.01M,,,74.08M,74.08M,19.01M,34.21M,-1.151M,3.49M,231.03M,0.319M,-7.313M,-51.48M,,,-49.23M,123.33M,,291.87M,-46.17M,,-44.09M,-2.082M,-89.47M,37.85M,-0.737M,-98.52M,91.82M,91.82M,,-124.93M,-124.93M,,,8.413M,-18.24M,-42.93M,260.15M,150.41M,-7.63M,402.93M,,95.00M,-3.175M,-124.93M
2014-12,95.23M,4.408M,,4.408M,137.94M,192.32M,78.95M,78.95M,-11.87M,40.85M,-1.01M,25.99M,-213.50M,3.175M,-2.37M,8.924M,,,161.66M,-42.11M,,190.43M,-50.94M,,-49.98M,-0.964M,-57.72M,-24.56M,,-133.21M,-0.299M,-0.299M,,-39.90M,-39.90M,,,7.944M,-4.885M,-37.14M,242.79M,20.08M,-2.719M,260.15M,,0.00,-0.299M,-39.90M
2014-09,47.53M,2.932M,,2.932M,,,76.74M,76.74M,-12.72M,42.45M,-2.118M,2.645M,36.34M,-3.255M,2.951M,0.515M,,,-29.88M,6.664M,,164.13M,-51.29M,,-48.30M,-2.985M,-2.00M,-62.64M,,-115.93M,0.00,0.00,,-99.99M,-99.99M,,,20.58M,-2.819M,-82.23M,279.40M,-34.02M,-2.595M,242.79M,,0.00,0.00,-99.99M
2014-06,53.02M,-1.257M,-5.133M,-6.39M,-33.27M,-36.76M,104.54M,104.54M,-30.44M,45.29M,-0.672M,7.038M,3.23M,-2.204M,-1.19M,10.42M,,,22.54M,32.80M,,203.54M,-45.69M,,-36.67M,-9.016M,-17.19M,17.57M,,-45.31M,1.416B,1.416B,,-1.501B,-1.501B,,,111.91M,-204.14M,-177.51M,298.52M,-19.28M,0.161M,279.40M,,1.416B,0.00,-1.501B
2014-03,55.94M,-0.85M,5.133M,4.283M,33.27M,36.76M,70.03M,70.03M,18.05M,40.70M,-2.332M,0.039M,142.97M,1.117M,-7.524M,-36.74M,,,-0.301M,99.52M,,287.88M,-31.18M,,-30.47M,-0.711M,-24.15M,-219.68M,,-275.01M,-3.766M,-3.766M,,0.00,0.00,,,7.958M,0.016M,4.208M,280.74M,17.07M,0.706M,298.52M,,0.00,-3.766M,0.00
2013-12,138.64M,2.707M,2.298M,5.005M,34.02M,34.84M,68.86M,68.86M,-8.645M,46.64M,3.733M,5.043M,-204.99M,-2.503M,-0.418M,42.60M,,,142.00M,-23.31M,,229.69M,-41.23M,,-36.28M,-4.951M,-5.538M,105.38M,,58.61M,-2.061M,-2.061M,,-249.99M,-249.99M,,,5.085M,-7.038M,-254.01M,246.47M,34.30M,-0.03M,280.74M,,,-2.061M,-249.99M
2013-09,76.73M,0.245M,-1.266M,-1.021M,33.44M,34.72M,68.16M,68.16M,-33.07M,45.89M,-4.341M,0.154M,44.04M,0.826M,-1.487M,28.14M,,,-2.591M,68.94M,,222.95M,-62.54M,,-59.83M,-2.708M,-5.294M,-152.62M,,-220.46M,0.00,0.00,,-55.30M,-55.30M,,,33.61M,1.437M,-20.25M,263.15M,-17.76M,1.076M,246.47M,,0.00,0.00,-55.30M
2013-06,64.46M,3.845M,-0.947M,2.898M,31.09M,34.86M,65.95M,65.95M,-6.794M,47.86M,-2.468M,0.045M,-45.90M,-2.774M,29.14M,13.19M,,,40.90M,34.55M,,208.90M,-40.74M,,-38.48M,-2.258M,0.00,-105.97M,,-146.71M,0.00,0.00,,-39.67M,-39.67M,,,9.708M,-19.17M,-49.13M,251.46M,13.06M,-1.369M,263.15M,,0.00,0.00,-39.67M
2013-03,59.69M,-0.909M,-0.085M,-0.994M,29.41M,35.13M,64.54M,64.54M,-3.343M,43.56M,-9.476M,0.175M,183.89M,-1.14M,-35.16M,-65.19M,,,27.89M,110.30M,,266.80M,-30.53M,,-28.30M,-2.236M,-324.05M,-275.01M,,-629.59M,0.00,0.00,,-61.36M,-61.36M,,,25.25M,7.222M,-28.89M,643.61M,-391.69M,-0.458M,251.46M,,,0.00,-61.36M
2012-12,114.03M,2.588M,-1.099M,1.489M,28.31M,32.51M,60.82M,60.82M,-69.15M,41.02M,-3.398M,0.197M,-178.11M,0.139M,10.51M,105.36M,,,140.73M,78.62M,,226.72M,-49.15M,,-35.67M,-13.48M,1.126M,202.25M,0.00,154.23M,0.00,0.00,,-76.06M,-76.06M,,,12.61M,1.664M,-61.78M,324.13M,319.16M,0.317M,643.61M,,,0.00,-76.06M
2012-09,78.24M,-1.068M,-6.493M,-7.561M,25.94M,32.77M,58.71M,58.71M,7.162M,40.10M,-7.997M,0.433M,-0.414M,-3.108M,4.644M,0.365M,,,7.681M,9.168M,,180.99M,-38.32M,,-36.04M,-2.277M,-405.97M,-327.47M,3.45M,-768.31M,-16.61M,-16.61M,,-74.96M,-74.96M,,,34.31M,5.535M,-51.72M,961.84M,-639.04M,1.329M,324.13M,,,-16.61M,-74.96M
2012-06,92.01M,1.388M,-3.519M,-2.131M,23.50M,22.29M,45.80M,45.80M,-24.87M,38.26M,-9.382M,-0.243M,-17.22M,2.279M,-13.08M,10.19M,,,42.30M,24.48M,,167.74M,-40.04M,,-28.10M,-11.94M,-58.34M,469.64M,,371.25M,-5.281M,-5.281M,,0.00,0.00,,,31.23M,9.472M,35.42M,390.88M,574.42M,-3.458M,961.84M,,,-5.281M,0.00
2012-03,68.27M,-1.202M,-3.366M,-4.568M,22.54M,27.00M,49.55M,49.55M,16.06M,30.56M,-14.60M,0.791M,88.11M,-1.334M,-18.68M,0.053M,,,24.96M,93.11M,,243.07M,-23.21M,,-23.15M,-0.061M,-24.03M,-67.87M,,-115.11M,-2.456M,-2.456M,,-100.00M,-100.00M,,,30.26M,0.495M,-71.70M,333.30M,56.26M,1.32M,390.88M,,,-2.456M,-100.00M
2011-12,108.70M,,0.322M,2.217M,24.33M,19.34M,43.66M,43.66M,73.64M,29.32M,-91.43M,-5.941M,-136.68M,-1.657M,8.11M,25.75M,,,106.93M,2.459M,,169.56M,-25.35M,,-23.08M,-2.273M,-145.90M,82.54M,,-88.72M,0.00,0.00,-94.83M,-99.95M,-194.78M,,,,10.71M,-58.46M,312.13M,22.38M,-1.219M,333.30M,-94.83M,,,-99.95M
2011-09,92.18M,,0.366M,0.366M,23.78M,19.11M,42.89M,42.89M,-2.599M,24.95M,2.524M,8.435M,-3.211M,0.082M,11.77M,3.694M,-0.497M,,6.347M,18.18M,,188.03M,-35.08M,,-29.40M,-5.677M,-191.03M,33.86M,,-192.24M,-0.635M,-0.635M,9.701M,-124.98M,-115.28M,,,,2.469M,-113.45M,430.82M,-117.66M,-1.029M,312.13M,9.701M,,,-124.98M
2011-06,81.41M,,0.165M,0.165M,20.38M,16.48M,36.86M,36.86M,-21.77M,20.75M,21.76M,2.578M,-41.22M,-0.472M,-12.46M,26.20M,1.79M,,46.48M,20.32M,,162.30M,-38.58M,,-32.61M,-5.965M,0.00,-149.51M,,-188.08M,0.00,0.00,42.79M,-99.96M,-57.17M,,,,-1.695M,-58.87M,515.34M,-84.66M,0.131M,430.82M,42.79M,,,-99.96M
2011-03,73.35M,,0.49M,0.49M,19.64M,16.21M,35.85M,35.85M,-15.50M,17.88M,15.49M,-0.339M,85.62M,-1.05M,-6.009M,-63.22M,-1.293M,,18.85M,32.91M,,159.23M,-28.37M,,-26.84M,-1.522M,-118.44M,164.67M,,17.86M,-10.93M,-10.93M,42.34M,-99.95M,-57.62M,,,,6.705M,-61.84M,396.16M,115.25M,3.924M,515.34M,42.34M,,,-99.95M
2010-12,93.76M,,0.347M,-1.637M,19.33M,16.20M,35.53M,35.53M,47.97M,19.85M,-96.98M,-2.32M,-104.86M,-0.264M,35.89M,55.11M,,,91.60M,77.47M,,179.33M,-26.11M,,-22.28M,-3.833M,0.162M,-105.21M,,-131.16M,0.00,0.00,-310.83M,-108.83M,-419.66M,,,,15.00M,-51.10M,398.99M,-2.934M,0.108M,396.16M,-310.83M,,,-108.83M
2010-09,87.78M,,0.597M,0.597M,18.60M,15.87M,34.47M,34.47M,-24.98M,30.83M,24.00M,-2.442M,46.11M,-0.666M,-30.42M,30.81M,-3.668M,,-2.599M,39.56M,,190.18M,-25.68M,,-23.03M,-2.647M,-10.44M,-128.25M,,-164.37M,0.00,0.00,126.64M,-124.96M,1.676M,,,,24.88M,26.56M,344.70M,52.37M,1.911M,398.99M,126.64M,,,-124.96M
2010-06,94.91M,,0.944M,0.944M,17.97M,16.19M,34.16M,34.16M,-4.533M,28.15M,3.365M,-44.59M,-80.42M,-1.005M,-3.363M,25.48M,0.101M,,49.24M,-9.962M,,103.22M,-21.75M,,-18.81M,-2.942M,-0.761M,49.56M,,27.05M,0.00,0.00,29.26M,-99.95M,-70.69M,,,,3.071M,-67.62M,281.85M,62.65M,0.206M,344.70M,29.26M,,,-99.95M
2010-03,,,0.126M,0.126M,17.48M,16.52M,34.00M,34.00M,-13.58M,24.93M,9.449M,50.13M,60.11M,0.743M,-39.42M,-14.35M,3.567M,,27.07M,37.72M,,143.56M,-18.55M,,-11.26M,-7.293M,-9.466M,-160.54M,,-188.56M,0.00,0.00,154.93M,-99.99M,54.94M,,,,10.90M,65.84M,261.44M,20.84M,-0.44M,281.85M,154.93M,,,-99.99M
2009-12,88.15M,-0.582M,-0.049M,-0.631M,17.70M,18.56M,36.25M,36.25M,,26.94M,-1.76M,3.676M,-67.37M,-0.128M,23.76M,44.00M,4.701M,1.647M,73.52M,80.14M,,181.91M,-19.45M,,-19.45M,0.00,-1.218M,-162.88M,3.00M,-180.54M,,,36.86M,-74.95M,-38.09M,,,-1.761M,-1.678M,-41.53M,300.37M,-40.16M,1.234M,261.44M,36.86M,,,-74.95M
2009-09,53.42M,3.29M,0.067M,3.357M,17.43M,16.65M,34.09M,34.09M,,27.89M,-2.957M,-14.37M,-12.78M,0.883M,2.809M,9.633M,-1.084M,-0.303M,33.29M,32.44M,,133.87M,-18.07M,,-16.63M,-1.44M,-0.70M,-85.48M,-3.00M,-107.25M,,,51.93M,-75.00M,-23.06M,,,4.045M,-0.095M,-19.11M,294.21M,7.507M,-1.349M,300.37M,51.93M,,,-75.00M
2009-06,42.52M,-2.328M,-0.057M,-2.385M,17.56M,16.59M,34.14M,34.14M,,30.33M,-7.873M,25.45M,-25.93M,0.184M,-10.95M,11.47M,1.691M,0.483M,-12.69M,-35.74M,,86.44M,-18.89M,,-17.27M,-1.625M,-0.22M,-58.70M,,-77.81M,,,53.10M,-40.00M,13.10M,,,2.393M,,15.50M,269.82M,24.13M,0.258M,294.21M,53.10M,,,-40.00M
2009-03,6.927M,1.639M,-0.028M,1.611M,17.00M,17.09M,34.09M,34.09M,,26.26M,-0.505M,2.609M,31.47M,-0.338M,-18.67M,2.403M,-5.795M,-0.052M,1.727M,10.75M,,81.75M,-23.12M,,-22.90M,-0.225M,-1.20M,-112.94M,,-137.26M,,,24.10M,-25.00M,-0.898M,,,0.505M,,-0.393M,326.12M,-55.90M,-0.393M,269.82M,24.10M,,,-25.00M
2008-12,60.10M,2.529M,-2.656M,1.013M,15.40M,18.36M,33.76M,33.76M,,29.50M,-0.18M,-5.615M,-14.37M,1.207M,21.06M,-8.313M,2.911M,-0.429M,52.32M,54.38M,,166.11M,-101.94M,,-93.49M,-8.45M,-25.88M,93.34M,,-34.48M,0.00,0.00,6.92M,-31.36M,-24.44M,,,0.18M,,-24.26M,218.08M,107.36M,0.679M,326.12M,6.92M,,0.00,-31.36M
2008-09,49.15M,-2.598M,1.089M,-1.509M,13.25M,17.42M,30.67M,30.67M,,30.27M,-0.579M,1.969M,1.963M,-0.028M,-3.859M,7.103M,-6.201M,0.118M,5.621M,4.717M,,114.69M,-25.71M,,-25.27M,-0.437M,0.00,47.84M,,22.13M,0.00,0.00,5.441M,-74.95M,-69.51M,,,0.579M,,-68.93M,147.38M,67.88M,2.815M,218.08M,5.441M,,0.00,-74.95M
2008-06,34.65M,-0.971M,0.612M,-0.359M,12.90M,18.68M,31.59M,31.59M,,35.66M,-2.755M,2.827M,-38.73M,1.392M,2.219M,-2.453M,-5.374M,-0.859M,16.79M,-27.02M,,74.58M,-35.68M,,-31.88M,-3.80M,0.00,-32.12M,,-67.80M,0.00,0.00,20.20M,-74.97M,-54.77M,,,2.755M,,-52.01M,192.13M,-45.23M,0.482M,147.38M,20.20M,,0.00,-74.97M
2008-03,34.38M,2.081M,2.22M,4.301M,11.40M,16.29M,27.69M,27.69M,,29.33M,-2.045M,1.721M,40.16M,-4.842M,-16.80M,-18.48M,-0.465M,-4.29M,16.06M,11.35M,,106.73M,-58.14M,,-30.40M,-27.73M,-2.139M,-18.19M,,-78.46M,-0.407M,-0.407M,11.81M,-75.18M,-63.36M,,,2.045M,,-61.72M,223.75M,-33.46M,1.845M,192.13M,11.81M,,-0.407M,-75.18M
2007-12,62.76M,,,8.60M,10.49M,15.49M,25.98M,25.98M,69.94M,,,24.80M,-37.12M,-3.31M,-5.394M,17.46M,,-68.92M,19.50M,-77.78M,,114.31M,-31.31M,,-31.31M,,-81.95M,-9.362M,,-122.61M,,0.00,61.13M,-199.97M,-138.84M,,,,9.642M,-129.20M,363.46M,-137.51M,-2.202M,223.75M,61.13M,,,-199.97M
2007-09,60.70M,,,-2.133M,9.683M,10.81M,20.49M,20.49M,-7.679M,,,19.54M,-12.31M,-1.182M,-5.42M,-6.14M,,11.35M,6.712M,-6.995M,,83.92M,-22.10M,,-22.10M,,-6.137M,-132.75M,,-160.99M,,0.00,-2.81M,-60.00M,-62.81M,,,,5.684M,-57.13M,495.45M,-134.19M,2.202M,363.46M,-2.81M,,,-60.00M
2007-06,53.39M,,,2.133M,9.573M,10.31M,19.88M,19.88M,,,,14.34M,-11.65M,2.096M,-3.198M,-3.367M,,32.55M,-3.246M,13.18M,,102.92M,-17.40M,,-17.40M,,-2.697M,-36.95M,,-57.05M,,0.00,0.00,,0.00,,,,0.00,0.00,449.57M,45.88M,,495.45M,0.00,,,
2007-03,37.63M,,,1.20M,8.465M,10.38M,18.84M,18.84M,,,,16.27M,38.28M,-3.92M,-10.83M,1.548M,,29.36M,-5.408M,49.03M,,122.97M,-18.36M,,-18.36M,,-57.28M,-1.315M,,-76.95M,,-8.00M,60.08M,,60.08M,,,,2.427M,54.50M,349.05M,100.52M,,449.57M,60.08M,,,
2006-12,52.90M,,,0.803M,7.904M,9.351M,17.26M,17.26M,0.424M,,,8.225M,-57.53M,-3.227M,1.213M,7.061M,,66.34M,3.87M,17.73M,,97.34M,-16.54M,,-16.54M,,-0.494M,125.35M,,108.32M,,0.00,11.63M,-91.93M,-80.30M,,,,7.162M,-73.14M,216.54M,132.52M,,349.05M,11.63M,,,-91.93M
2006-09,38.96M,,,0.197M,6.886M,9.017M,15.90M,15.90M,-2.343M,,,22.88M,-14.32M,-0.90M,8.293M,-1.685M,,3.493M,5.426M,0.312M,,75.91M,-14.10M,,-14.10M,,-47.52M,-27.19M,,-88.81M,,-3.85M,22.50M,-182.23M,-159.73M,,,,48.42M,-115.16M,344.59M,-128.05M,,216.54M,22.50M,,,-182.23M
2006-06,46.45M,,,-13.31M,6.436M,8.735M,15.17M,15.17M,-1.253M,,,29.69M,-20.25M,-1.741M,-15.18M,3.511M,,17.23M,-0.179M,-16.62M,,60.12M,-12.51M,,-12.51M,,-13.45M,-239.52M,,-265.01M,,0.00,104.31M,40.10M,144.41M,,,,-18.12M,126.29M,423.19M,-78.60M,,344.59M,104.31M,,,40.10M
2006-03,44.68M,,,13.31M,6.221M,9.033M,15.25M,15.25M,-1.179M,,,0.134M,23.83M,-0.001M,-4.414M,0.667M,,3.758M,-0.702M,23.14M,,95.34M,-8.903M,,-8.903M,,,-182.39M,,-191.75M,,-31.00M,92.22M,-40.10M,52.12M,,,,14.45M,35.57M,484.04M,-60.84M,,423.19M,92.22M,,,-40.10M
