,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2015-09,527.59M,545.21M,1.073B,467.82M,467.82M,,10.86M,141.74M,,43.92M,,1.737B,,,,,,,,,,371.10M,1.957B,366.05M,2.323B,792.26M,113.18M,68.31M,3.668B,5.405B,143.30M,2.575M,145.87M,263.84M,409.71M,,,,1.138B,1.138B,,,1.548B,1.317B,,1.317B,,372.05M,372.05M,,84.30M,1.773B,3.321B,0.298M,3.343B,4.492B,5.722B,-29.46M,2.085B
2015-06,362.31M,510.18M,872.49M,500.98M,500.98M,,12.71M,154.99M,,48.12M,,1.589B,,,,,,,,,,370.77M,1.958B,460.54M,2.419B,972.91M,80.34M,70.12M,3.913B,5.502B,81.97M,3.716M,85.68M,262.50M,348.19M,,,,1.176B,1.176B,,,1.524B,1.309B,,1.309B,,363.41M,363.41M,,80.56M,1.753B,3.277B,0.297M,3.287B,4.405B,5.438B,-29.24M,2.225B
2015-03,402.93M,580.39M,983.32M,438.18M,438.18M,,12.02M,186.22M,,48.91M,,1.669B,,,,,,,,,,373.38M,1.858B,411.47M,2.270B,986.30M,81.68M,75.07M,3.786B,5.455B,81.11M,6.768M,87.88M,275.83M,363.71M,,95.00M,95.00M,1.175B,1.175B,,,1.634B,1.301B,,1.301B,,340.79M,340.79M,,78.70M,1.720B,3.354B,0.296M,3.184B,4.341B,5.389B,-35.97M,2.100B
2014-12,260.15M,529.26M,789.41M,674.40M,674.40M,,12.62M,166.00M,,45.89M,,1.688B,0.0,27.59M,85.09M,747.27M,,18.89M,211.62M,1.090B,-722.69M,367.78M,1.797B,390.72M,2.188B,1.073B,128.20M,67.03M,3.824B,5.512B,79.88M,12.05M,91.94M,139.94M,231.87M,,,,1.200B,1.200B,,,1.590B,1.293B,,1.293B,,357.77M,357.77M,,97.53M,1.748B,3.338B,0.295M,3.155B,4.293B,5.238B,-36.79M,2.174B
2014-09,242.79M,504.44M,747.22M,465.56M,465.56M,,16.48M,164.88M,,50.57M,,1.445B,,,,,,,,,,353.72M,1.783B,414.75M,2.197B,1.073B,94.02M,68.40M,3.787B,5.231B,85.80M,2.497M,88.30M,286.69M,374.99M,,,,1.087B,1.087B,,,1.462B,1.285B,,1.285B,,316.10M,316.10M,,71.50M,1.673B,3.135B,0.294M,3.060B,3.969B,4.912B,-20.50M,2.096B
2014-06,279.40M,541.00M,820.40M,506.41M,506.41M,,14.21M,152.76M,,47.80M,,1.542B,,,,,,,,,,339.83M,1.790B,445.64M,2.236B,975.68M,90.48M,65.98M,3.708B,5.249B,79.62M,5.188M,84.81M,280.04M,364.85M,,,,1.111B,1.111B,,,1.476B,1.277B,,1.277B,,319.24M,319.24M,,73.19M,1.670B,3.145B,0.293M,3.013B,3.896B,4.807B,1.752M,2.104B
2014-03,298.52M,530.76M,829.28M,510.86M,510.86M,,12.54M,138.39M,,47.84M,,1.539B,,,,,,,,,,336.74M,1.783B,487.77M,2.271B,998.83M,70.78M,53.36M,3.731B,5.269B,76.66M,8.458M,85.12M,271.84M,356.96M,,,,1.093B,1.093B,,,1.450B,,,,,318.23M,318.23M,,87.69M,405.92M,1.855B,0.293M,2.959B,4.035B,3.585B,4.25M,3.414B
2013-12,280.74M,453.98M,734.72M,654.82M,654.82M,,14.11M,110.98M,,48.47M,,1.563B,0.0,27.59M,85.09M,626.16M,,28.44M,168.99M,936.26M,-597.27M,339.00M,1.769B,509.60M,2.279B,855.70M,115.42M,60.50M,3.649B,5.212B,78.45M,29.32M,107.77M,116.54M,224.32M,,,,1.099B,1.099B,,,1.464B,,,,,313.06M,313.06M,,115.32M,428.38M,1.892B,0.291M,2.904B,3.974B,3.563B,4.951M,3.320B
2013-09,246.47M,448.20M,694.67M,450.40M,450.40M,,11.98M,131.93M,,39.84M,,1.329B,,,,,,,,,,337.02M,1.767B,534.00M,2.301B,961.42M,129.98M,65.86M,3.795B,5.124B,68.65M,25.47M,94.12M,244.39M,338.50M,,,,1.002B,1.002B,,,1.341B,,,,,268.09M,268.09M,,114.51M,382.59M,1.723B,0.291M,2.765B,3.949B,3.310B,-3.222M,3.401B
2013-06,263.15M,437.00M,700.15M,493.67M,493.67M,,13.70M,123.75M,,40.09M,,1.371B,,,,,,,,,,311.32M,1.763B,558.42M,2.321B,819.59M,111.27M,61.35M,3.625B,4.996B,72.61M,14.89M,87.50M,255.23M,342.74M,,,,1.008B,1.008B,,,1.351B,,,,,263.48M,263.48M,,105.72M,369.20M,1.720B,0.289M,2.688B,3.856B,3.252B,-16.98M,3.276B
2013-03,251.46M,406.48M,657.94M,450.94M,450.94M,,11.23M,141.30M,,40.07M,,1.301B,,,,,,,,,,302.38M,1.762B,590.69M,2.353B,747.00M,77.94M,67.03M,3.547B,4.848B,61.61M,10.91M,72.52M,245.91M,318.43M,,,,986.02M,986.02M,,,1.304B,,,,,245.36M,245.36M,,104.38M,349.74M,1.654B,0.289M,2.624B,3.799B,3.211B,-18.24M,3.194B
