,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,211.30M,0.00,,0.00,12.60M,75.30M,87.90M,87.90M,,,26.00M,-7.90M,6.80M,-9.00M,-45.90M,,12.50M,-35.60M,281.70M,-11.60M,,,-38.90M,-1.00M,-51.50M,-535.00M,,-535.00M,1.60M,,1.60M,-42.10M,-42.10M,23.80M,0.10M,-551.60M,671.30M,-321.40M,16.30M,366.20M,1.60M,,-535.00M,
2017-12,443.90M,,0.00,0.00,12.70M,74.00M,86.70M,86.70M,,,15.50M,0.80M,-23.10M,4.30M,25.00M,,-184.30M,-178.10M,368.80M,-15.70M,,,-65.60M,0.00,-81.30M,-180.00M,,-180.00M,1.00M,,1.00M,-36.30M,-36.30M,-4.40M,-0.10M,-219.80M,605.60M,67.70M,-2.00M,671.30M,1.00M,0.00,-180.00M,
2017-09,190.30M,,0.00,0.00,12.50M,74.30M,86.80M,86.80M,,,23.70M,-1.40M,-30.30M,-6.40M,33.00M,,19.90M,16.20M,315.60M,-13.40M,,,-52.60M,-0.20M,-66.20M,-310.00M,,-310.00M,1.20M,,1.20M,-35.60M,-35.60M,12.20M,0.40M,-331.80M,663.30M,-82.40M,24.70M,605.60M,1.20M,0.00,-310.00M,
2017-06,179.50M,,-9.40M,-9.40M,11.90M,74.20M,86.10M,86.10M,,,22.90M,-2.00M,-26.40M,-5.30M,17.50M,,-91.00M,-105.20M,171.90M,-12.40M,,,-32.70M,4.30M,-40.80M,-200.00M,,-200.00M,1.00M,,1.00M,-35.50M,-35.50M,13.10M,0.10M,-221.30M,730.70M,-90.20M,22.80M,663.30M,1.00M,,-200.00M,
2017-03,158.10M,,,,12.40M,73.00M,85.40M,85.40M,,,21.00M,-9.10M,59.60M,-7.90M,-2.20M,,73.30M,122.80M,378.20M,-18.10M,,,-2.80M,-0.40M,-21.30M,-370.00M,,-370.00M,1.00M,,1.00M,-35.40M,-35.40M,7.60M,-0.30M,-397.10M,757.20M,-40.20M,13.70M,730.70M,1.00M,,-370.00M,
2016-12,182.04M,,0.00,0.90M,9.346M,54.05M,63.40M,63.40M,,,18.32M,3.919M,-23.92M,12.22M,2.927M,,10.64M,1.855M,270.43M,-11.64M,,,-3.444B,6.57M,-3.449B,3.129B,,3.129B,0.724M,,0.724M,-30.47M,-30.47M,-3.895M,-10.58M,3.085B,882.27M,-94.26M,-30.80M,757.20M,0.724M,,178.82M,
2016-09,167.08M,,0.00,0.00,8.902M,49.43M,58.33M,58.33M,,,21.39M,3.442M,12.23M,-5.812M,24.82M,,35.06M,66.30M,316.54M,-8.864M,,,-2.619M,1.102M,-10.38M,-16.11M,,-16.11M,0.861M,,0.861M,-30.25M,-30.25M,5.379M,-7.195M,-47.32M,622.29M,258.84M,1.134M,882.27M,0.861M,,-16.11M,
2016-06,158.07M,,0.00,0.00,9.35M,50.17M,59.52M,59.52M,,,20.11M,0.443M,3.857M,3.803M,12.47M,,-88.52M,-68.38M,169.76M,-9.443M,,,-9.72M,-0.118M,-19.28M,-20.00M,,-20.00M,0.836M,,0.836M,-30.21M,-30.21M,7.826M,-0.247M,-41.80M,523.03M,108.68M,-9.423M,622.29M,0.836M,,-20.00M,
2016-03,151.42M,,,,9.702M,49.55M,59.25M,59.25M,,,18.98M,-5.004M,-14.06M,-3.907M,-20.02M,,20.42M,-17.57M,207.07M,-10.15M,,,-265.25M,1.446M,-273.96M,-161.20M,,-161.20M,0.879M,,0.879M,-30.17M,-30.17M,0.69M,-0.374M,-190.18M,778.51M,-257.07M,1.588M,523.03M,0.879M,,-161.20M,
2015-12,208.60M,,,,9.731M,46.31M,56.04M,56.04M,,,14.73M,3.381M,4.702M,5.897M,0.296M,,46.47M,57.37M,269.26M,-11.20M,,,-632.48M,1.995M,-641.68M,490.00M,,490.00M,0.772M,,0.772M,-25.12M,-25.12M,-0.925M,2.187M,466.91M,700.58M,94.49M,-16.55M,778.51M,0.772M,490.00M,0.00,
