,OperatingRevenue,Revenue,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,8.012B,8.012B,,,41.70M,-41.70M,37.00M,37.00M,41.70M,-41.70M,42.90M,-41.70M,880.10M,178.90M,701.20M,,3.00M,6.70M,704.20M,704.20M,63.70M,921.80M,,1.20,,,1.20,1.20,,1.19,,,1.19,1.19,,582.00M,585.80M,0.00,,AOR,Restated
2018-03,7.424B,7.424B,,,36.80M,-36.80M,29.30M,29.30M,36.80M,-36.80M,34.20M,-36.80M,910.80M,181.00M,729.80M,,-11.80M,1.20M,718.00M,718.00M,58.90M,947.60M,,1.23,,,1.23,1.23,,1.22,,,1.22,1.22,,582.00M,585.60M,1.125,,AOR,Restated
2017-12,7.115B,7.115B,,,35.50M,-35.50M,28.90M,28.90M,35.50M,-35.50M,32.30M,-35.50M,691.40M,111.10M,580.30M,,-4.00M,,576.30M,576.30M,61.20M,726.90M,,0.99,,,0.99,0.99,,0.99,,,0.99,0.99,,581.10M,585.70M,0.00,,AOR,Restated
2017-09,6.786B,6.786B,,,37.40M,-37.40M,28.90M,28.90M,37.40M,-37.40M,33.30M,-37.40M,251.40M,36.60M,214.80M,,9.20M,,224.00M,224.00M,59.90M,288.80M,,0.39,,,0.39,0.39,,0.38,,,0.38,0.38,,581.30M,585.60M,0.00,,AOR,Restated
2017-06,6.599B,6.599B,,,43.40M,-43.40M,27.00M,27.00M,43.40M,-43.40M,32.70M,-43.40M,554.60M,181.90M,372.70M,,-5.10M,,367.60M,367.60M,58.50M,598.00M,,0.63,,,0.63,0.63,,0.63,,,0.63,0.63,,580.50M,583.80M,0.00,,AOR,Restated
2017-03,6.316B,6.316B,,,36.80M,-36.80M,25.70M,25.70M,36.80M,-36.80M,28.50M,-36.80M,641.50M,211.20M,430.30M,,-6.00M,,424.30M,424.30M,56.50M,678.30M,,0.73,,,0.73,0.73,,0.73,,,0.73,0.73,,580.30M,583.30M,0.681,,AOR,Restated
2016-12,6.122B,6.122B,,,37.10M,-37.10M,21.90M,21.90M,37.10M,-37.10M,25.60M,-37.10M,537.50M,139.40M,398.10M,,-14.90M,,383.20M,383.20M,58.30M,574.60M,,0.66,,,0.66,0.66,,0.65,,,0.65,0.65,,579.60M,583.20M,0.00,,AOR,
2016-09,5.930B,5.930B,,0.00,35.30M,-35.30M,23.20M,23.20M,35.30M,-35.30M,26.20M,-35.30M,258.50M,53.00M,205.50M,,-6.80M,,198.70M,198.70M,52.00M,293.80M,,0.34,,,0.34,0.34,,0.34,,,0.34,0.34,,581.50M,584.60M,0.00,,AOR,Restated
2016-06,5.812B,5.812B,,1.60M,34.30M,-34.30M,23.70M,25.30M,34.30M,-34.30M,26.50M,-34.30M,287.30M,92.40M,194.90M,,-4.00M,,190.90M,189.81M,46.20M,321.60M,,0.33,,,0.3281,0.33,,0.33,,,0.3281,0.33,,582.40M,585.10M,0.00,,AOR,Restated
2016-03,5.553B,5.553B,,0.00,34.20M,-34.20M,21.60M,21.60M,34.20M,-34.20M,25.00M,-34.20M,387.40M,128.70M,258.70M,,-0.50M,,258.20M,258.20M,43.00M,421.60M,,0.44,,,0.44,0.44,,0.44,,,0.44,0.44,,583.20M,585.50M,0.8882,,AOR,Restated
2015-12,5.394B,5.394B,,,34.10M,-34.10M,21.60M,21.60M,34.10M,-34.10M,22.70M,-34.10M,514.10M,164.20M,349.90M,,-19.50M,,330.40M,330.40M,43.20M,548.20M,,0.56,,,0.56,0.56,,0.56,,,0.56,0.56,,583.70M,587.40M,0.00,,AOR,Restated
2015-09,5.270B,5.270B,,-0.90M,34.50M,-34.50M,20.40M,19.50M,34.50M,-34.50M,23.10M,-34.50M,429.00M,142.50M,286.50M,,-8.20M,,278.30M,278.90M,41.90M,463.50M,,0.48,,,0.4810,0.48,,0.47,,,0.4710,0.47,,585.20M,589.10M,0.00,,AOR,Restated
2015-06,5.278B,5.278B,,0.00,34.90M,-34.90M,20.50M,20.50M,34.90M,-34.90M,23.30M,-34.90M,525.30M,156.80M,368.50M,,-5.20M,,363.30M,363.30M,41.60M,560.20M,,0.62,,,0.62,0.62,,0.62,,,0.62,0.62,,585.70M,589.50M,0.00,,AOR,Restated
2015-03,4.89B,4.89B,,,32.50M,-32.50M,15.90M,15.90M,32.50M,-32.50M,17.20M,-32.50M,443.20M,147.60M,295.60M,,0.00,,295.60M,295.60M,23.80M,475.70M,,0.50,,,0.50,0.50,,0.50,,,0.50,0.50,,587.60M,591.00M,0.686,,AOR,Restated
2014-12,5.171B,5.171B,,0.00,29.90M,-29.90M,14.80M,14.80M,29.90M,-29.90M,17.20M,-29.90M,546.40M,176.20M,370.20M,,0.00,,370.20M,370.20M,25.30M,576.30M,,0.63,,,0.63,0.63,,0.62,,,0.62,0.62,,587.60M,592.10M,0.00,,AOR,Restated
2014-09,4.767B,4.767B,,-4.80M,30.70M,-30.70M,13.50M,8.70M,30.70M,-30.70M,15.00M,-30.70M,441.80M,145.70M,296.10M,,0.00,,296.10M,299.32M,25.10M,472.50M,,0.50,,,0.5055,0.50,,0.50,,,0.5054,0.50,,589.80M,593.70M,0.00,,AOR,Restated
2014-06,4.736B,4.736B,,,29.60M,-29.60M,12.90M,12.90M,29.60M,-29.60M,14.00M,-29.60M,437.40M,144.00M,293.40M,,0.00,,293.40M,293.40M,23.90M,467.00M,,0.50,,,0.50,0.50,,0.49,,,0.49,0.49,,591.20M,595.50M,0.00,,AOR,Restated
2014-03,4.704B,4.704B,,,26.70M,-26.70M,9.70M,9.70M,26.70M,-26.70M,9.80M,-26.70M,481.80M,160.50M,321.30M,,,,321.30M,321.30M,22.80M,508.50M,,0.54,,,0.54,0.54,,0.54,,,0.54,0.54,,593.90M,597.70M,0.4929,,AOR,Restated
2013-12,4.614B,4.614B,,0.00,26.80M,-26.80M,8.70M,8.70M,26.80M,-26.80M,9.30M,-26.80M,425.60M,125.80M,299.80M,,,,299.80M,299.80M,26.40M,452.40M,,0.51,,,0.51,0.51,,0.50,,,0.50,0.50,,597.30M,602.70M,0.00,,AOR,Restated
2013-09,4.520B,4.520B,,-4.30M,30.40M,-30.40M,11.10M,6.80M,30.40M,-30.40M,11.30M,-30.40M,345.00M,112.60M,232.40M,,,,232.40M,235.30M,25.90M,375.40M,,0.39,,,0.3948,0.39,,0.39,,,0.3948,0.39,,598.90M,603.50M,0.00,,AOR,Restated
2013-06,4.589B,4.589B,,,30.40M,-30.40M,10.40M,10.40M,30.40M,-30.40M,10.60M,-30.40M,486.30M,161.70M,324.60M,,,,324.60M,324.60M,25.30M,516.70M,,0.54,,,0.54,0.54,,0.54,,,0.54,0.54,,599.50M,603.60M,0.00,,AOR,Restated
2013-03,4.432B,4.432B,,,30.60M,-30.60M,8.60M,8.60M,30.60M,-30.60M,8.40M,-30.60M,463.10M,154.50M,308.60M,,,,308.60M,308.60M,23.70M,493.70M,,0.51,,,0.51,0.51,,0.51,,,0.51,0.51,,600.60M,604.40M,0.2845,,AOR,Restated
2012-12,4.346B,4.346B,,0.00,30.60M,-30.60M,8.40M,8.40M,30.60M,-30.60M,7.80M,-30.60M,353.50M,104.40M,249.10M,,,,249.10M,249.10M,25.30M,384.10M,,0.42,,,0.42,0.42,,0.41,,,0.41,0.41,,600.30M,605.70M,0.00,,AOR,Restated
2012-09,4.421B,4.421B,,-0.10M,30.60M,-30.60M,9.60M,9.50M,30.60M,-30.60M,9.90M,-30.60M,412.40M,135.40M,277.00M,,,,277.00M,277.07M,23.60M,443.00M,,0.46,,,0.4601,0.46,,0.46,,,0.4601,0.46,,601.90M,606.50M,0.00,,AOR,Restated
2012-06,4.180B,4.180B,,-1.00M,30.70M,-30.70M,9.90M,8.90M,30.70M,-30.70M,10.20M,-30.70M,167.70M,49.10M,118.60M,,,,118.60M,119.31M,23.20M,198.40M,,0.20,,,0.2012,0.20,,0.19,,,0.1912,0.19,,604.80M,608.90M,0.00,,AOR,Restated
2012-03,4.123B,4.123B,,-0.70M,31.90M,-31.90M,8.20M,7.50M,31.90M,-31.90M,8.20M,-31.90M,384.10M,126.50M,257.60M,,,,257.60M,258.07M,22.30M,416.00M,,0.42,,,0.4208,0.42,,0.42,,,0.4208,0.42,,606.20M,610.00M,0.4072,,AOR,Restated
2011-12,4.184B,4.184B,,10.60M,36.30M,-36.30M,,10.60M,36.30M,-36.30M,6.00M,-36.30M,375.40M,118.70M,256.70M,,,,256.70M,249.45M,-13.20M,411.70M,,0.43,,,0.4181,0.43,,0.41,,,0.3982,0.41,,607.70M,613.20M,0.00,,AOR,Restated
2011-09,3.811B,3.811B,5.10M,-4.10M,33.40M,-33.40M,,1.00M,33.40M,-33.40M,5.60M,-33.40M,208.50M,57.80M,150.70M,,,,150.70M,153.66M,34.60M,241.90M,,0.24,0.00,,0.2447,0.24,,0.24,0.00,,0.2447,0.24,,626.90M,631.40M,0.00,,AOR,Restated
2011-06,3.873B,3.873B,4.80M,-3.50M,31.50M,-31.50M,,1.30M,31.50M,-31.50M,6.00M,-31.50M,357.70M,112.50M,245.20M,,,,245.20M,247.60M,33.90M,389.20M,,0.38,0.00,,0.3837,0.38,,0.38,0.00,,0.3837,0.38,,643.60M,647.90M,0.00,,AOR,Restated
2011-03,3.894B,3.894B,4.00M,-3.10M,31.50M,-31.50M,,0.90M,31.50M,-31.50M,5.20M,-31.50M,545.40M,182.50M,362.90M,,,,362.90M,364.96M,33.20M,576.90M,,0.56,0.00,,0.5632,0.56,,0.55,0.00,,0.5531,0.55,,651.80M,655.80M,0.3987,,AOR,Restated
2010-12,4.082B,4.082B,,8.50M,31.30M,-31.30M,,8.50M,31.30M,-31.30M,11.90M,-31.30M,426.20M,127.00M,299.20M,,,,299.20M,293.23M,-14.50M,457.50M,,0.45,,,0.4409,0.45,,0.45,,,0.4410,0.45,,654.00M,660.00M,0.00,,AOR,Restated
2010-09,3.763B,3.763B,5.20M,6.10M,31.90M,-31.90M,,11.30M,31.90M,-31.90M,4.80M,-31.90M,387.20M,125.60M,261.60M,,,,261.60M,257.48M,32.00M,419.10M,,0.40,0.00,,0.3937,0.40,,0.40,0.00,,0.3938,0.40,,655.80M,661.20M,0.00,,AOR,
2010-06,3.686B,3.686B,5.50M,-4.60M,35.10M,-35.10M,,0.90M,35.10M,-35.10M,5.00M,-35.10M,312.90M,101.00M,211.90M,,,,211.90M,215.02M,34.00M,348.00M,,0.32,0.00,,0.3247,0.32,,0.32,0.00,,0.3247,0.32,,660.40M,665.70M,0.00,,AOR,Restated
2010-03,3.666B,3.666B,5.20M,-3.60M,35.20M,-35.20M,,1.60M,35.20M,-35.20M,4.20M,-35.20M,438.90M,143.30M,295.60M,,,,295.60M,298.02M,31.60M,474.10M,,0.45,0.00,,0.4537,0.45,,0.44,0.00,,0.4436,0.44,,661.40M,666.40M,0.1613,,AOR,Restated
2009-12,3.901B,3.901B,4.60M,-3.00M,35.30M,-35.30M,,1.60M,35.30M,-35.30M,,-35.30M,454.30M,149.30M,305.00M,,,,305.00M,307.01M,34.40M,489.60M,,0.46,0.00,,0.4630,0.46,,0.45,0.00,,0.4530,0.45,,662.60M,669.20M,0.00,,AOR,Restated
2009-09,3.611B,3.611B,5.50M,-2.90M,35.30M,-35.30M,,2.60M,35.30M,-35.30M,4.50M,-35.30M,372.00M,102.10M,269.90M,,,,269.90M,272.00M,30.70M,407.30M,,0.40,0.00,,0.4032,0.40,,0.40,0.00,,0.4031,0.40,,666.70M,672.80M,0.00,,AOR,Restated
2009-06,3.584B,3.584B,4.70M,,34.70M,-34.70M,2.60M,7.30M,34.70M,-34.70M,4.10M,-34.70M,353.90M,103.80M,250.10M,,,,250.10M,250.10M,32.60M,388.60M,,0.37,0.00,,0.37,0.37,,0.37,0.00,,0.37,0.37,,669.20M,674.60M,0.00,,AOR,Restated
2009-03,3.468B,3.468B,4.60M,-2.60M,33.70M,-33.70M,,2.00M,33.70M,-33.70M,3.50M,-33.70M,376.70M,144.20M,232.50M,,,,232.50M,234.10M,29.90M,410.40M,,0.35,0.00,,0.3524,0.35,,0.35,0.00,,0.3524,0.35,,668.60M,668.60M,0.00,,AOR,Restated
2008-12,3.508B,3.508B,3.90M,-2.40M,33.90M,-33.90M,,1.50M,33.90M,-33.90M,,-33.90M,218.90M,59.60M,159.30M,,,,159.30M,161.05M,35.70M,252.80M,,0.24,0.00,,0.2426,0.24,,0.24,0.00,,0.2426,0.24,,666.80M,671.80M,0.00,,AOR,Restated
2008-09,2.210B,2.210B,6.00M,-2.00M,34.20M,-34.20M,,4.00M,34.20M,-34.20M,3.80M,-34.20M,-1.081B,-396.70M,-684.20M,,,,-684.20M,-682.93M,33.90M,-1.047B,,-1.03,0.00,,-1.028,-1.03,,-1.03,0.00,,-1.028,-1.03,,666.30M,672.80M,0.00,,AOR,Restated
2008-06,3.537B,3.537B,5.40M,-2.90M,34.30M,-34.30M,,2.50M,34.30M,-34.30M,4.20M,-34.30M,302.50M,87.00M,215.50M,,,,215.50M,217.57M,33.70M,336.80M,,0.32,0.00,,0.3231,0.32,,0.32,0.00,,0.3231,0.32,,667.40M,667.40M,0.00,,AOR,Restated
2008-03,3.586B,3.586B,5.10M,,34.30M,-34.30M,1.50M,6.60M,34.30M,-34.30M,4.40M,-34.30M,337.20M,97.80M,239.40M,,,,239.40M,239.40M,30.30M,371.50M,,0.36,0.00,,0.36,0.36,,0.35,0.00,,0.35,0.35,,671.50M,677.30M,0.145,,AOR,Restated
2007-12,3.614B,3.614B,,,34.50M,-34.50M,7.30M,7.30M,34.50M,-34.50M,4.80M,-34.50M,330.80M,94.70M,236.10M,,,,236.10M,236.10M,32.50M,365.30M,,0.35,0.00,,0.35,0.35,,0.35,0.00,,0.35,0.35,,679.80M,687.30M,0.00,,AOR,Restated
2007-09,3.710B,3.710B,,,34.70M,-34.70M,8.30M,8.30M,34.70M,-34.70M,5.40M,-34.70M,422.60M,123.40M,299.20M,,,,299.20M,299.20M,32.00M,457.30M,,0.43,0.00,,0.43,0.43,,0.42,0.00,,0.42,0.42,,702.60M,710.80M,0.00,,AOR,Restated
2007-06,3.676B,3.676B,4.70M,-4.60M,20.50M,-20.50M,,0.10M,20.50M,-20.50M,5.90M,-20.50M,406.90M,123.20M,283.70M,,,,283.70M,286.91M,42.70M,427.40M,,0.39,0.00,,0.3944,0.39,,0.39,0.00,,0.3944,0.39,,721.80M,721.80M,0.00,,AOR,Restated
2007-03,3.687B,3.687B,5.20M,,18.90M,-18.90M,2.80M,8.00M,18.90M,-18.90M,29.50M,-18.90M,532.70M,169.20M,363.50M,,,,363.50M,363.50M,26.20M,551.60M,,0.49,0.00,,0.49,0.49,,0.49,0.00,,0.49,0.49,,737.80M,745.30M,0.00,,AOR,Restated
2006-12,3.694B,3.694B,5.10M,,18.90M,-18.90M,3.10M,8.20M,18.90M,-18.90M,6.80M,-18.90M,590.70M,189.80M,400.90M,,,,400.90M,400.90M,27.40M,609.60M,,0.53,0.00,,0.53,0.53,,0.52,0.00,,0.52,0.52,,758.10M,758.10M,0.0088,,AOR,Restated
2006-09,3.724B,3.724B,6.20M,,18.50M,-18.50M,2.90M,9.10M,18.50M,-18.50M,7.30M,-18.50M,603.10M,193.50M,409.60M,,,,409.60M,409.60M,26.80M,621.60M,,0.54,0.00,,0.54,0.54,,0.53,0.00,,0.53,0.53,,763.20M,763.20M,0.0088,,AOR,Restated
2006-06,3.708B,3.708B,6.30M,,19.40M,-19.40M,3.40M,9.70M,19.40M,-19.40M,7.90M,-19.40M,591.90M,191.50M,400.40M,,,,400.40M,400.40M,25.00M,611.30M,,0.52,0.00,,0.52,0.52,,0.5159,0.00,,0.5159,0.5159,,776.10M,776.10M,0.0075,,AOR,Restated
2006-03,3.661B,3.661B,6.80M,,20.50M,-20.50M,2.50M,9.30M,20.50M,-20.50M,8.90M,-20.50M,647.50M,210.90M,436.60M,,,,436.60M,436.60M,24.20M,668.00M,,0.56,0.00,,0.56,0.56,,0.55,0.00,,0.55,0.55,,781.20M,791.70M,0.0075,,AOR,Restated
2005-12,3.599B,3.599B,6.20M,,20.40M,-20.40M,3.30M,9.50M,20.40M,-20.40M,9.00M,-20.40M,409.70M,128.10M,281.60M,,,,281.60M,281.60M,23.90M,430.10M,,0.36,0.00,,0.36,0.36,,0.35,0.00,,0.35,0.35,,783.50M,795.10M,0.0075,,AOR,Restated
2005-09,3.622B,3.622B,6.40M,,20.70M,-20.70M,2.90M,9.30M,20.70M,-20.70M,9.70M,-20.70M,447.80M,142.50M,305.30M,,,,305.30M,305.30M,23.40M,468.50M,,0.39,0.00,,0.39,0.39,,0.38,0.00,,0.38,0.38,,783.10M,794.50M,0.0075,,AOR,Restated
2005-06,3.590B,3.590B,6.60M,,20.70M,-20.70M,3.10M,9.70M,20.70M,-20.70M,10.30M,-20.70M,586.70M,192.40M,394.30M,,,,394.30M,394.30M,22.90M,607.40M,,0.50,0.00,,0.50,0.50,,0.49,0.00,,0.49,0.49,,788.60M,800.10M,0.0075,,AOR,Restated
2005-03,3.492B,3.492B,5.40M,,20.80M,-20.80M,2.80M,8.20M,20.80M,-20.80M,21.40M,-20.80M,614.70M,202.00M,412.70M,,,,412.70M,412.70M,22.20M,635.50M,,0.5175,0.00,,0.5175,0.5175,,0.51,0.00,,0.51,0.51,,796.00M,807.60M,0.0075,,AOR,Restated
2004-12,3.696B,3.696B,7.00M,,20.50M,-20.50M,3.50M,10.50M,20.50M,-20.50M,11.90M,-20.50M,617.70M,204.20M,413.50M,,,,413.50M,413.50M,219.70M,638.20M,,0.5075,0.00,,0.5075,0.5075,,0.5025,0.00,,0.5025,0.5025,,812.00M,864.80M,0.0075,,AOR,Restated
2004-09,3.438B,3.438B,5.90M,,20.10M,-20.10M,4.20M,10.10M,20.10M,-20.10M,12.10M,-20.10M,579.40M,190.50M,388.90M,,,,388.90M,388.90M,25.80M,599.50M,,0.45,0.00,,0.45,0.45,,0.4425,0.00,,0.4425,0.4425,,864.00M,864.00M,0.0075,,AOR,Restated
2004-06,3.367B,3.367B,6.60M,,19.70M,-19.70M,2.90M,9.50M,19.70M,-19.70M,12.10M,-19.70M,575.00M,188.70M,386.30M,,,,386.30M,386.30M,23.80M,594.70M,,0.4475,0.00,,0.4475,0.4475,,0.44,0.00,,0.44,0.44,,865.20M,879.20M,0.0063,,AOR,Restated
2004-03,3.280B,3.280B,5.50M,,20.50M,-20.50M,3.30M,8.80M,20.50M,-20.50M,12.40M,-20.50M,678.70M,218.70M,460.00M,,,,460.00M,460.00M,22.80M,699.20M,,0.5325,0.00,,0.5325,0.5325,,0.5225,0.00,,0.5225,0.5225,,865.60M,880.00M,0.0063,,AOR,Restated
2003-12,3.170B,3.170B,6.30M,,23.70M,-23.70M,3.20M,9.50M,23.70M,-23.70M,12.10M,-23.70M,526.50M,168.70M,357.80M,,,,357.80M,357.80M,25.20M,550.20M,,0.415,0.00,,0.415,0.415,,0.4075,0.00,,0.4075,0.4075,,858.80M,873.60M,0.0063,,AOR,Restated
2003-09,3.081B,3.081B,6.70M,,24.00M,-24.00M,2.70M,9.40M,24.00M,-24.00M,41.60M,-24.00M,475.10M,155.30M,319.80M,,,,319.80M,319.80M,22.40M,499.10M,,0.3675,0.00,,0.3675,0.3675,,0.3625,0.00,,0.3625,0.3625,,867.60M,882.00M,0.0063,,AOR,Restated
2003-06,2.921B,2.921B,6.80M,,23.70M,-23.70M,2.30M,9.10M,23.70M,-23.70M,10.50M,-23.70M,424.80M,138.50M,286.30M,,,,286.30M,286.30M,21.50M,448.50M,,0.33,0.00,,0.33,0.33,,0.3225,0.00,,0.3225,0.3225,,870.40M,886.00M,0.0063,,AOR,Restated
2003-03,2.72B,2.72B,5.90M,,24.10M,-24.10M,3.30M,9.20M,24.10M,-24.10M,8.80M,-24.10M,433.30M,141.80M,291.50M,,,,291.50M,291.50M,20.20M,457.40M,,0.335,0.00,,0.335,0.335,,0.33,0.00,,0.33,0.33,,871.60M,885.20M,0.0063,,AOR,Restated
2002-12,2.548B,2.548B,5.60M,,20.80M,-20.80M,3.40M,9.00M,20.80M,-20.80M,8.50M,-20.80M,219.50M,67.30M,152.20M,,,,152.20M,152.20M,22.40M,240.30M,,0.175,0.00,,0.175,0.175,,0.1725,0.00,,0.1725,0.1725,,871.20M,888.00M,0.0063,,AOR,Restated
2002-09,2.419B,2.419B,5.90M,,17.60M,-17.60M,2.80M,8.70M,17.60M,-17.60M,9.20M,-17.60M,263.70M,85.20M,178.50M,,,,178.50M,178.50M,21.60M,281.30M,,0.205,0.00,,0.205,0.205,,0.20,0.00,,0.20,0.20,,871.60M,887.20M,0.0063,,AOR,
2002-06,2.259B,2.259B,5.40M,,18.10M,-18.10M,2.30M,7.70M,18.10M,-18.10M,8.80M,-18.10M,236.90M,76.50M,160.40M,,,,160.40M,160.40M,20.90M,255.00M,,0.1825,0.00,,0.1825,0.1825,,0.1775,0.00,,0.1775,0.1775,,879.20M,897.60M,0.0058,,AOR,
2002-03,2.069B,2.069B,5.10M,,18.10M,-18.10M,3.00M,8.10M,18.10M,-18.10M,7.80M,-18.10M,261.30M,85.10M,176.20M,,,,176.20M,176.20M,19.00M,279.40M,,0.20,0.00,,0.20,0.20,,0.195,0.00,,0.195,0.195,,882.00M,898.80M,0.0058,,AOR,
2001-12,1.992B,1.992B,4.90M,,14.20M,-14.20M,3.40M,8.30M,14.20M,-14.20M,7.10M,-14.20M,176.80M,52.10M,124.70M,,,,124.70M,124.70M,22.80M,191.00M,,0.1408,0.00,,0.1408,0.1408,,0.1392,0.00,,0.1392,0.1392,,882.80M,903.20M,0.0058,,AOR,Restated
2001-09,1.860B,1.860B,5.60M,,12.90M,-12.90M,2.10M,7.70M,12.90M,-12.90M,6.80M,-12.90M,138.20M,41.80M,96.40M,,,,96.40M,96.40M,20.60M,151.10M,,0.1092,0.00,,0.1092,0.1092,,0.1075,0.00,,0.1075,0.1075,,883.20M,900.00M,0.0058,,AOR,
2001-06,1.863B,1.863B,4.70M,,12.80M,-12.80M,2.50M,7.20M,12.80M,-12.80M,5.90M,-12.80M,149.20M,45.50M,103.70M,,,,103.70M,103.70M,19.50M,162.00M,,0.1167,0.00,,0.1167,0.1167,,0.115,0.00,,0.115,0.115,,886.80M,903.60M,0.0058,,AOR,
2001-03,1.774B,1.774B,4.60M,,12.30M,-12.30M,4.70M,9.30M,12.30M,-12.30M,4.90M,-12.30M,123.40M,36.80M,86.60M,,,,86.60M,86.60M,18.10M,135.70M,,0.0983,0.00,,0.0983,0.0983,,0.0967,0.00,,0.0967,0.0967,,883.20M,897.60M,0.0058,,AOR,
2000-12,1.765B,1.765B,5.10M,,18.10M,-18.10M,6.00M,11.10M,18.10M,-18.10M,5.30M,-18.10M,65.90M,17.90M,48.00M,,,,48.00M,48.00M,19.50M,84.00M,,0.055,0.00,,0.055,0.055,,0.0542,0.00,,0.0542,0.0542,,882.00M,895.20M,0.0058,,AOR,Restated
