,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-04,110.00M,,,,16.00M,16.00M,-37.00M,,5.00M,4.00M,78.00M,-47.00M,17.00M,-12.00M,,-63.00M,-27.00M,,71.00M,-27.00M,,-27.00M,0.00,,,-1.00M,-28.00M,595.00M,-114.00M,481.00M,,0.00,0.00,-557.00M,-557.00M,,-10.00M,-86.00M,287.00M,-43.00M,-5.00M,239.00M,,,0.00,0.00
2018-01,190.00M,,,,17.00M,17.00M,69.00M,,5.00M,-21.00M,-148.00M,-55.00M,49.00M,41.00M,,-21.00M,95.00M,,364.00M,-36.00M,,-36.00M,0.00,,,-16.00M,-52.00M,-250.00M,90.00M,-160.00M,,0.00,0.00,-76.00M,-76.00M,,-17.00M,-253.00M,212.00M,59.00M,16.00M,287.00M,,,-250.00M,0.00
2017-10,239.00M,,,,16.00M,16.00M,-7.00M,,5.00M,5.00M,,,,,,,-140.00M,,113.00M,-37.00M,,-36.00M,-1.00M,,,-1.00M,-38.00M,,-24.00M,-24.00M,,0.00,0.00,-70.00M,-70.00M,,-2.00M,-96.00M,238.00M,-21.00M,-5.00M,212.00M,,,,0.00
2017-07,178.00M,,,,15.00M,15.00M,-3.00M,,4.00M,4.00M,,,,,,,-89.00M,,105.00M,-28.00M,,-28.00M,,,,-3.00M,-31.00M,,45.00M,45.00M,,-1.00M,-1.00M,-70.00M,-70.00M,,-5.00M,-31.00M,182.00M,43.00M,13.00M,238.00M,,,,-1.00M
2017-04,145.00M,,,,16.00M,16.00M,1.00M,,4.00M,1.00M,,,,,,,34.00M,,211.00M,-42.00M,,-41.00M,-1.00M,0.00,,,-59.00M,0.00,-98.00M,-98.00M,,0.00,0.00,-71.00M,-71.00M,,-5.00M,-174.00M,197.00M,-22.00M,7.00M,182.00M,,0.00,-98.00M,0.00
2017-01,182.00M,,,,14.00M,14.00M,-4.00M,,3.00M,3.00M,,,,,,,81.00M,,276.00M,-36.00M,,-35.00M,-1.00M,0.00,,,-36.00M,0.00,-60.00M,-60.00M,,-119.00M,-119.00M,-69.00M,-69.00M,,0.00,-248.00M,211.00M,-8.00M,-6.00M,197.00M,,0.00,-54.00M,-119.00M
2016-10,198.00M,,,,13.00M,13.00M,4.00M,,3.00M,3.00M,,,,,,,-177.00M,,41.00M,-20.00M,,-20.00M,0.00,0.00,,,-20.00M,0.00,49.00M,49.00M,,-241.00M,-241.00M,-67.00M,-67.00M,,-2.00M,-261.00M,459.00M,-240.00M,-8.00M,211.00M,,0.00,,-241.00M
2016-07,144.00M,,,,15.00M,15.00M,-11.00M,,4.00M,4.00M,,,,,,,-24.00M,,128.00M,-17.00M,,-16.00M,-1.00M,-307.00M,,,-324.00M,717.00M,-43.00M,674.00M,,-201.00M,-201.00M,-67.00M,-67.00M,,-8.00M,398.00M,263.00M,202.00M,-6.00M,459.00M,,717.00M,,-201.00M
2016-04,522.00M,,,,16.00M,16.00M,-2.00M,,3.00M,-10.00M,,,,,,160.00M,20.00M,,76.00M,-20.00M,,-20.00M,0.00,543.00M,,,523.00M,0.00,-239.00M,-239.00M,,-345.00M,-345.00M,-67.00M,-67.00M,,-9.00M,-660.00M,317.00M,-61.00M,7.00M,263.00M,,0.00,0.00,-345.00M
2016-01,189.00M,,,,13.00M,13.00M,20.00M,,4.00M,4.00M,,,,,,61.00M,61.00M,,287.00M,-24.00M,,-23.00M,-1.00M,0.00,,,-24.00M,-250.00M,206.00M,-44.00M,,-23.00M,-23.00M,-69.00M,-69.00M,,0.00,-136.00M,195.00M,127.00M,-5.00M,317.00M,,0.00,-250.00M,-23.00M
2015-10,200.00M,,,,14.00M,14.00M,-10.00M,,5.00M,5.00M,,,,,,-195.00M,-195.00M,,14.00M,-27.00M,,-26.00M,-1.00M,0.00,,,-27.00M,0.00,289.00M,289.00M,,-509.00M,-509.00M,-65.00M,-65.00M,,0.00,-285.00M,494.00M,-298.00M,-1.00M,195.00M,,0.00,,-509.00M
2015-07,156.00M,,,,13.00M,13.00M,2.00M,,3.00M,3.00M,,,,,,-27.00M,-27.00M,,147.00M,-39.00M,,-39.00M,0.00,0.00,,,-39.00M,490.00M,-176.00M,314.00M,,-230.00M,-230.00M,-65.00M,-65.00M,,2.00M,21.00M,370.00M,129.00M,-5.00M,494.00M,,490.00M,,-230.00M
2015-04,141.00M,,,,13.00M,13.00M,14.00M,,6.00M,0.00,,,,,,,50.00M,,233.00M,-29.00M,,-28.00M,-1.00M,,,,-29.00M,0.00,182.00M,182.00M,,-191.00M,-191.00M,-66.00M,-66.00M,,-7.00M,-82.00M,250.00M,122.00M,-2.00M,370.00M,,0.00,,-191.00M
2015-01,185.00M,,,,13.00M,13.00M,10.00M,,3.00M,3.00M,,,,,,,94.00M,,305.00M,-33.00M,,-33.00M,0.00,,,,-33.00M,,-116.00M,-116.00M,,-66.00M,-66.00M,-66.00M,-66.00M,,0.00,-248.00M,235.00M,24.00M,-9.00M,250.00M,,,,-66.00M
2014-10,208.00M,,,,12.00M,12.00M,-19.00M,,3.00M,3.00M,,,,,,,-246.00M,,-42.00M,-32.00M,,-28.00M,-4.00M,,,,-32.00M,0.00,112.00M,112.00M,,-193.00M,-193.00M,-62.00M,-62.00M,,-1.00M,-144.00M,460.00M,-218.00M,-7.00M,235.00M,,0.00,,-193.00M
2014-07,150.00M,,,,13.00M,13.00M,1.00M,,3.00M,3.00M,,,,,,,-55.00M,,112.00M,-31.00M,,-31.00M,,,,,-31.00M,0.00,5.00M,5.00M,,-12.00M,-12.00M,-62.00M,-62.00M,,12.00M,-57.00M,437.00M,24.00M,-1.00M,460.00M,,0.00,,-12.00M
2014-04,133.00M,,,,14.00M,14.00M,17.00M,,4.00M,-8.00M,,,,,,,90.00M,,259.00M,-40.00M,,-37.00M,-1.00M,,,,-38.00M,0.00,-3.00M,-3.00M,,0.00,0.00,-62.00M,-62.00M,,-9.00M,-74.00M,287.00M,147.00M,3.00M,437.00M,,,0.00,0.00
2014-01,177.00M,,,,12.00M,12.00M,-16.00M,,3.00M,3.00M,,,,,,,13.00M,,189.00M,-29.00M,,-27.00M,-2.00M,,,,-29.00M,-1.00M,5.00M,4.00M,,0.00,0.00,-62.00M,-62.00M,,-3.00M,-61.00M,192.00M,99.00M,-4.00M,287.00M,,,-1.00M,0.00
2013-10,206.00M,,,,12.00M,12.00M,-18.00M,,3.00M,3.00M,,,,,,,-95.00M,,108.00M,-35.00M,,-35.00M,0.00,,,,-35.00M,0.00,1.00M,1.00M,,-48.00M,-48.00M,-55.00M,-55.00M,,0.00,-102.00M,217.00M,-29.00M,4.00M,192.00M,,,0.00,-48.00M
2013-07,143.00M,,,,12.00M,12.00M,12.00M,,3.00M,3.00M,,,,,,,-77.00M,,93.00M,-25.00M,,-25.00M,,,,,-25.00M,-1.00M,2.00M,1.00M,,-1.00M,-1.00M,-54.00M,-54.00M,,3.00M,-51.00M,204.00M,17.00M,-4.00M,217.00M,,,-1.00M,-1.00M
2013-04,113.00M,,,,15.00M,15.00M,-3.00M,,4.00M,-5.00M,,,,,,,39.00M,,170.00M,-38.00M,,-36.00M,-2.00M,,,,-38.00M,-251.00M,-7.00M,-258.00M,,0.00,0.00,-55.00M,-55.00M,,-2.00M,-315.00M,387.00M,-183.00M,0.00,204.00M,,-1.00M,-250.00M,0.00
2013-01,158.00M,,,,12.00M,12.00M,-13.00M,,2.00M,2.00M,,,,,,,43.00M,,202.00M,-20.00M,,-20.00M,0.00,,,,-20.00M,746.00M,2.00M,748.00M,,0.00,0.00,-908.00M,-908.00M,,-7.00M,-167.00M,369.00M,15.00M,3.00M,387.00M,,748.00M,-2.00M,0.00
2012-10,173.00M,,,,12.00M,12.00M,14.00M,,3.00M,3.00M,,,,,,,-124.00M,,78.00M,-22.00M,,-22.00M,,,,,-22.00M,0.00,2.00M,2.00M,,0.00,0.00,-50.00M,-50.00M,,-1.00M,-49.00M,361.00M,7.00M,1.00M,369.00M,,,0.00,0.00
2012-07,147.00M,,,,12.00M,12.00M,28.00M,,2.00M,2.00M,,,,,,,-102.00M,,87.00M,-17.00M,,-17.00M,,,,,-17.00M,-1.00M,2.00M,1.00M,,0.00,0.00,-50.00M,-50.00M,,4.00M,-45.00M,338.00M,25.00M,-2.00M,361.00M,,,-1.00M,0.00
2012-04,104.30M,,,,11.30M,11.30M,17.00M,,2.50M,-5.50M,,,,,,,38.20M,,174.30M,-27.10M,,-26.90M,-0.20M,,,,-27.10M,-249.90M,-1.00M,-250.90M,,-0.90M,-0.90M,-50.00M,-50.00M,,-2.80M,-304.60M,494.90M,-157.40M,0.60M,338.00M,,0.00,-249.90M,-0.90M
2012-01,133.10M,,,,11.90M,11.90M,19.30M,,2.20M,2.20M,,,,,,,19.70M,,186.20M,-14.20M,,-12.30M,-2.60M,,,,-14.20M,-0.60M,2.40M,1.80M,,-3.00M,-3.00M,-142.00M,-49.60M,2.00M,-4.00M,-52.80M,380.10M,119.20M,-4.40M,494.90M,,-2.60M,-0.60M,-3.00M
2011-10,275.60M,,,,12.80M,12.80M,19.50M,,2.10M,-113.80M,,,,,,,-100.40M,,91.50M,-13.00M,,-12.60M,-0.20M,,,,-13.00M,-0.70M,0.70M,0.00,,-197.70M,-197.70M,,-46.00M,-0.20M,0.40M,-243.50M,552.50M,-165.00M,-7.40M,380.10M,,0.70M,-0.70M,-197.70M
2011-07,,,,,13.00M,13.00M,-2.80M,,2.20M,118.10M,,,,,,,-66.50M,,64.00M,-13.70M,,-6.20M,-7.00M,,,,-13.70M,-0.80M,1.90M,1.10M,,-18.40M,-18.40M,,-46.40M,-1.80M,4.40M,-61.10M,567.10M,-10.80M,-3.80M,552.50M,,1.90M,-0.80M,-18.40M
2011-04,165.90M,,1.50M,-36.50M,13.10M,13.10M,-38.50M,,3.00M,-8.00M,,,,,,,22.50M,,127.50M,-14.10M,-0.10M,-12.60M,-1.60M,,,,219.80M,-1.30M,-0.70M,-2.00M,,-17.70M,-17.70M,-46.50M,-46.50M,6.40M,-7.80M,-67.60M,278.60M,279.70M,8.30M,567.00M,,-0.40M,-0.90M,-17.70M
2011-01,140.70M,,0.00,0.00,14.20M,14.20M,55.30M,,2.10M,2.10M,,,,,,,9.40M,,221.70M,-12.50M,0.00,-11.40M,-1.10M,,,,-12.50M,247.70M,-129.00M,118.70M,,-11.70M,-11.70M,-279.50M,-191.60M,-3.10M,0.50M,-87.20M,155.70M,122.00M,0.90M,278.60M,,248.40M,-0.70M,-11.70M
2010-10,265.40M,,0.20M,0.20M,14.20M,14.20M,9.50M,,2.20M,-107.50M,,,,,,,-98.90M,,81.20M,-8.90M,1.10M,-7.10M,-1.30M,,,,-7.80M,-1.40M,-79.60M,-81.00M,,-58.80M,-58.80M,,-43.90M,-1.50M,1.40M,-183.80M,260.80M,-110.40M,5.30M,155.70M,,,-22.70M,-58.80M
2010-07,,,-1.70M,-1.70M,14.50M,14.50M,0.70M,,1.70M,111.40M,,,,,,,-30.00M,,96.60M,-7.50M,11.00M,4.10M,0.00,,,,3.50M,0.00,21.30M,21.30M,,-47.80M,-47.80M,,-44.00M,-1.80M,4.90M,-67.40M,231.60M,32.70M,-3.50M,260.80M,,,21.30M,-47.80M
2010-04,72.50M,,,0.00,15.20M,15.20M,-21.50M,0.40M,2.20M,-18.40M,,,,,,,52.70M,,120.50M,-17.60M,2.00M,-14.80M,2.20M,,,,-15.60M,-151.30M,82.30M,-69.00M,,-0.50M,-0.50M,,-44.20M,-2.20M,0.00,-115.90M,241.70M,-11.00M,1.40M,232.00M,,0.00,-300.30M,-0.50M
2010-01,107.90M,,0.00,0.00,15.20M,15.20M,24.70M,11.60M,1.90M,13.50M,,,,,,,57.50M,,218.80M,-5.20M,0.00,-4.80M,-2.20M,,,,-5.20M,-0.10M,-196.60M,-196.70M,,-18.50M,-18.50M,,-44.00M,-2.40M,1.10M,-260.50M,289.30M,-46.90M,-0.70M,241.70M,,0.00,34.60M,-18.50M
2009-10,147.20M,,0.00,0.00,14.20M,14.20M,12.70M,,2.00M,2.00M,,,,,,,-88.20M,,87.90M,-6.20M,0.00,-5.60M,,,,,-6.20M,-1.60M,49.40M,47.80M,,-87.90M,-87.90M,,-42.60M,-1.20M,1.00M,-82.90M,286.50M,-1.20M,4.00M,289.30M,,,47.80M,-87.90M
2009-07,121.40M,,0.00,0.00,14.40M,14.40M,-4.90M,,1.90M,1.90M,,,,,,,-15.00M,,117.80M,-8.00M,0.00,-6.80M,,,,,-8.00M,,-84.10M,-84.10M,,-51.10M,-51.10M,,-43.20M,-0.20M,0.90M,-177.70M,340.10M,-67.90M,14.30M,286.50M,,,-84.10M,-51.10M
2009-04,80.20M,,-3.70M,-3.30M,14.90M,14.90M,10.20M,,0.80M,-0.40M,,,,,,,45.70M,,148.10M,-14.40M,,-11.90M,0.20M,,,,-14.20M,-1.20M,-69.30M,-70.50M,,-16.50M,-16.50M,,-43.40M,-0.40M,-0.20M,-131.00M,334.70M,2.90M,2.30M,340.00M,,-0.10M,-70.40M,-16.50M
2009-01,123.40M,,0.20M,-20.20M,13.50M,13.50M,4.90M,-22.40M,1.60M,-4.60M,,,,,,,103.50M,,226.70M,-11.40M,,-10.80M,16.80M,,,,5.40M,248.40M,-400.10M,-151.70M,,-24.20M,-24.20M,,-43.40M,-1.40M,0.80M,-219.90M,326.80M,12.20M,-4.30M,334.70M,,28.70M,-180.40M,-24.20M
2008-10,143.20M,,3.50M,3.50M,13.30M,13.30M,7.50M,0.00,2.10M,2.10M,,,,,,,-158.10M,,11.50M,-14.00M,,-13.10M,,,,,-14.00M,-2.20M,230.70M,228.50M,,0.00,0.00,,-41.10M,-0.80M,0.70M,187.30M,160.20M,184.80M,-18.20M,326.80M,,220.40M,8.10M,0.00
2008-07,88.20M,,,,13.30M,13.30M,-10.60M,22.40M,2.50M,24.90M,,,,,,,-11.10M,,104.70M,-14.20M,,-13.20M,,,,,-14.20M,,-10.30M,-10.30M,,-0.30M,-0.30M,,-41.10M,-3.40M,2.70M,-52.40M,118.90M,38.10M,3.20M,160.20M,,,-10.30M,-0.30M
2008-04,99.30M,,,2.80M,13.60M,13.60M,-9.60M,,,-10.50M,20.40M,-1.90M,13.60M,-22.00M,15.30M,5.70M,31.10M,,136.70M,-11.50M,0.30M,13.80M,,0.40M,0.40M,,-10.40M,,,-7.60M,-12.80M,-101.00M,-113.80M,,-41.70M,,3.10M,-149.00M,136.60M,-22.70M,4.90M,119.00M,-12.80M,,,-101.00M
2008-01,116.10M,,,-0.20M,12.70M,12.70M,9.50M,,,2.10M,68.00M,49.60M,-67.50M,-16.90M,11.70M,14.20M,59.10M,,199.30M,-10.10M,0.50M,-9.60M,,0.00,0.00,,-9.60M,,,-103.10M,-2.00M,-99.40M,-101.40M,,-245.60M,,205.10M,-245.00M,192.70M,-55.30M,-0.80M,136.60M,-2.00M,,,-99.40M
2007-10,129.30M,,,-2.60M,12.90M,12.90M,9.90M,,,3.10M,-141.30M,-21.80M,89.70M,-16.70M,-7.00M,14.20M,-82.90M,-0.10M,69.60M,-29.70M,5.20M,-24.50M,,12.10M,0.00,,-12.40M,,,-2.40M,0.20M,-15.60M,-15.40M,,-37.40M,,5.50M,-49.70M,179.80M,7.50M,5.40M,192.70M,0.20M,,,-15.60M
2007-07,95.30M,,,,12.80M,12.80M,-4.80M,,,2.30M,9.90M,-28.90M,-26.80M,51.60M,-20.00M,36.90M,22.70M,0.10M,128.40M,-14.70M,,-14.70M,,-10.50M,85.60M,,60.40M,,,-58.90M,14.60M,-7.00M,7.60M,,-37.30M,,-203.70M,-292.30M,282.80M,-103.50M,0.50M,179.80M,14.60M,,,-7.00M
2007-04,66.30M,,,0.40M,12.20M,12.20M,-5.00M,,,2.10M,16.00M,3.20M,13.90M,-16.90M,-26.40M,11.50M,1.30M,0.10M,77.40M,-21.50M,-0.60M,-22.10M,,0.50M,63.90M,,53.80M,,,-69.10M,1.40M,,1.40M,,-36.90M,,-0.20M,-104.80M,253.90M,26.40M,2.50M,283.00M,1.40M,,,
2007-01,105.10M,,,-0.30M,11.70M,11.70M,-0.50M,,,1.60M,50.10M,23.10M,-45.30M,-8.40M,6.50M,15.40M,41.40M,11.80M,170.80M,-46.00M,0.00,-46.00M,,-794.90M,40.40M,,-801.00M,,,696.30M,1.00M,,1.00M,,-37.30M,,0.50M,660.50M,222.60M,30.30M,1.00M,253.90M,1.00M,,,
2006-10,123.90M,,,-11.20M,9.90M,9.90M,2.20M,,,1.80M,-111.30M,-47.50M,92.40M,-4.20M,-30.80M,1.10M,-100.30M,4.30M,30.60M,-13.00M,14.60M,1.60M,,-0.50M,-3.90M,,-2.80M,,,-0.90M,7.70M,,7.70M,,-34.40M,,2.40M,-25.20M,219.90M,2.60M,0.10M,222.60M,7.70M,,,
2006-07,93.70M,,,0.10M,10.20M,10.20M,-3.70M,,,2.50M,-1.80M,-19.80M,-47.00M,20.50M,30.70M,-10.00M,-27.40M,0.80M,76.20M,-11.50M,,-11.50M,,-250.10M,-26.40M,,-288.00M,,,-29.30M,16.90M,,16.90M,,-34.40M,,3.30M,-43.50M,474.80M,-255.30M,0.40M,219.90M,16.90M,,,
2006-04,77.90M,,,-82.80M,9.70M,9.70M,-21.30M,,,9.00M,-4.30M,12.00M,6.00M,-11.70M,6.60M,23.40M,32.00M,75.10M,99.60M,-18.40M,0.00,-18.40M,,,69.70M,0.20M,58.90M,,,-25.00M,2.00M,0.20M,2.20M,,-34.00M,,7.00M,-49.80M,366.20M,108.70M,,475.00M,2.00M,,,0.20M
2006-01,120.50M,,,16.90M,6.30M,6.30M,-0.90M,,,,90.60M,28.10M,-54.60M,-2.70M,8.90M,-17.50M,52.80M,-18.10M,177.50M,-11.20M,7.00M,-4.20M,,,-229.70M,0.50M,-235.30M,,,0.00,6.30M,0.00,6.30M,,-34.20M,,,-27.90M,451.90M,-85.70M,,366.20M,6.30M,,,0.00
2005-10,108.80M,,,-10.80M,15.20M,15.20M,-8.20M,,,-1.80M,-82.20M,-59.90M,88.70M,-0.10M,-41.70M,8.50M,-86.70M,15.70M,32.20M,-14.40M,,-14.40M,,,,-0.70M,182.50M,,,0.00,6.10M,-3.20M,2.90M,,-29.90M,,-1.10M,-28.10M,265.30M,186.60M,,451.90M,6.10M,,,-3.20M
2005-07,12.80M,,,74.70M,10.80M,10.80M,-2.60M,,,1.80M,-25.10M,-17.20M,-37.10M,7.50M,33.20M,-9.40M,-48.10M,-15.70M,33.70M,-8.00M,,-8.00M,,,,,-9.10M,,,-30.00M,4.60M,,4.60M,,-29.90M,,1.10M,-54.20M,294.90M,-29.60M,,265.30M,4.60M,,,
2005-04,60.40M,,,-32.60M,10.20M,10.20M,32.40M,,,,23.90M,-5.10M,8.20M,-9.20M,-66.00M,2.00M,-46.20M,22.80M,54.00M,-18.00M,-92.70M,-110.70M,,,,64.80M,-19.50M,,,-3.00M,1.20M,-0.10M,1.10M,,-29.40M,,,-29.30M,289.50M,5.20M,,295.00M,1.20M,,,-0.10M
2005-01,95.00M,,,-40.70M,3.90M,3.90M,-13.10M,,,,113.20M,22.60M,-27.60M,10.00M,25.30M,-7.20M,136.30M,49.20M,230.60M,-9.50M,92.70M,83.20M,,,,-63.10M,26.70M,,,-24.80M,1.10M,0.00,1.10M,,-29.90M,,,-53.60M,85.80M,203.70M,,289.50M,1.10M,,,0.00
2004-10,101.60M,,,3.30M,14.90M,14.90M,-10.30M,,,,-164.10M,-23.50M,87.40M,-0.80M,14.70M,9.20M,-77.10M,,32.40M,-11.50M,,-11.50M,,,,-1.70M,-13.20M,,,10.80M,0.70M,-2.90M,-2.20M,,-25.70M,,,-17.10M,84.00M,2.10M,,85.80M,0.70M,,,-2.90M
2004-07,51.00M,,,,14.00M,14.00M,-12.00M,,,,24.00M,-21.00M,-14.00M,11.00M,20.00M,6.00M,26.00M,,79.00M,-10.00M,,-10.00M,,,,,-10.00M,,,-33.00M,6.00M,,6.00M,,-26.00M,,,-53.00M,68.00M,16.00M,,84.00M,6.00M,,,
2004-04,54.10M,,,,0.30M,0.30M,4.20M,,,-5.30M,-30.10M,18.70M,-6.10M,-4.90M,-10.10M,22.00M,-10.50M,,55.80M,2.60M,,2.60M,,,,1.10M,-16.30M,,,-55.00M,4.10M,,4.10M,,-25.70M,,,-81.60M,110.10M,-42.10M,,68.00M,4.10M,,,
2004-01,80.50M,,,,14.30M,14.30M,-6.30M,,,11.30M,117.70M,35.50M,-49.10M,-8.50M,-2.60M,,93.00M,,192.80M,-13.30M,,-13.30M,,,,-1.10M,-14.40M,,,-119.30M,2.30M,,2.30M,,-25.80M,,,-142.80M,74.50M,35.60M,,110.10M,2.30M,,,
2003-10,88.30M,,,,14.30M,14.30M,2.10M,,,,-126.60M,-12.50M,37.70M,1.70M,16.20M,-4.40M,-87.90M,,16.80M,-17.80M,,-17.80M,,,,1.20M,-16.60M,,,23.20M,2.00M,,2.00M,,-22.80M,,,2.40M,71.90M,2.60M,,74.50M,2.00M,,,
2003-07,31.10M,,,,13.10M,13.10M,-6.00M,,,,20.00M,-28.70M,0.50M,-1.30M,5.50M,4.40M,0.40M,,38.60M,-14.50M,,-14.50M,,,,-1.20M,-15.70M,,,-3.90M,3.60M,,3.60M,,-22.70M,,,-23.00M,72.00M,-0.10M,,71.90M,3.60M,,,
2003-04,54.90M,,,7.00M,13.50M,13.50M,11.90M,,,1.30M,-17.00M,12.60M,5.00M,-3.20M,-17.30M,-3.70M,-23.60M,,65.00M,-66.50M,,-65.50M,,-27.20M,,-0.60M,-93.30M,,,607.80M,3.00M,,-558.00M,,-25.50M,,,20.30M,79.60M,-8.00M,,72.00M,3.00M,,,
