,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,21.51B,21.51B,16.32B,5.195B,1.714B,768.00M,,474.00M,-719.00M,350.00M,,-350.00M,2.956B,2.239B,,350.00M,-350.00M,-347.00M,-350.00M,1.542B,389.00M,1.153B,-5.00M,,-44.00M,,1.104B,1.647B,3.376B,1.484B,1.892B,1.41,0.0,,2.106,1.41,1.41,0.0,,2.101,1.41,772.33M,778.10M,1.14
2017-12,-30.75B,-30.75B,-23.58B,-7.163B,-865.00M,-698.00M,,-51.00M,-465.00M,-728.00M,,734.00M,-1.614B,-5.549B,,-728.00M,734.00M,-777.00M,734.00M,-5.592B,-2.997B,-2.595B,1.078B,,-47.00M,,-1.564B,-2.363B,-4.869B,1.451B,-6.32B,-1.56,-0.06,,-1.2,-1.62,-1.56,-0.06,,-1.203,-1.62,775.70M,782.00M,1.14
2017-09,15.35B,15.35B,12.19B,3.168B,1.001B,528.00M,,244.00M,-533.00M,283.00M,,-283.00M,1.773B,1.395B,,283.00M,-283.00M,13.00M,-283.00M,1.125B,571.00M,554.00M,-20.00M,,-20.00M,,514.00M,853.80M,2.409B,1.001B,1.408B,0.99,-0.03,,1.598,0.96,0.99,-0.03,,1.591,0.96,525.93M,531.77M,1.38
2017-06,13.83B,13.83B,10.76B,3.073B,720.00M,408.00M,,157.00M,-124.00M,226.00M,,-226.00M,1.285B,1.788B,,226.00M,-226.00M,252.00M,-226.00M,1.814B,455.00M,1.359B,0.00,,-38.00M,,1.321B,1.414B,2.779B,739.00M,2.04B,3.24,0.0,,3.47,3.24,3.21,0.0,,3.437,3.21,403.93M,409.67M,1.38
2017-03,13.23B,13.23B,10.19B,3.036B,759.00M,419.00M,,155.00M,-108.00M,219.00M,,-219.00M,1.333B,1.703B,,219.00M,-219.00M,-356.00M,-219.00M,1.128B,213.00M,915.00M,0.00,,-27.00M,,888.00M,975.59M,2.125B,778.00M,1.347B,2.22,0.0,,2.439,2.22,2.16,0.0,,2.375,2.16,400.83M,407.37M,1.38
2016-12,13.02B,13.02B,10.60B,2.418B,787.00M,434.00M,,157.00M,-58.00M,229.00M,,-122.00M,1.378B,1.04B,,229.00M,-122.00M,-1.116B,-122.00M,-198.00M,-282.00M,84.00M,0.00,,-32.00M,85.00M,52.00M,86.80M,826.00M,795.00M,31.00M,-0.09,0.0,,0.0044,-0.09,-0.09,0.0,,0.0044,-0.09,368.67M,368.67M,1.38
2016-09,12.48B,12.48B,9.84B,2.643B,738.00M,399.00M,,162.00M,-127.00M,220.00M,,-220.00M,1.299B,1.344B,,220.00M,-220.00M,-35.00M,-220.00M,1.089B,271.00M,818.00M,0.00,,-14.00M,85.00M,804.00M,899.38M,2.089B,780.00M,1.309B,1.92,0.0,,2.177,1.92,1.89,0.0,,2.144,1.89,370.80M,375.80M,1.38
2016-06,11.95B,11.95B,9.275B,2.677B,787.00M,399.00M,,122.00M,-454.00M,208.00M,18.00M,-190.00M,1.308B,1.369B,18.00M,208.00M,-190.00M,2.178B,-190.00M,3.357B,130.00M,3.227B,,,-19.00M,85.00M,3.208B,3.644B,4.245B,680.00M,3.565B,8.37,,,9.548,8.37,7.83,,,8.9,7.83,370.37M,407.60M,1.38
2016-03,10.70B,10.70B,7.951B,2.752B,742.00M,361.00M,,103.00M,2.00M,201.00M,20.00M,-181.00M,1.206B,1.546B,20.00M,201.00M,-181.00M,-1.20B,-181.00M,165.00M,-110.00M,275.00M,,,-21.00M,85.00M,254.00M,252.80M,973.00M,607.00M,366.00M,0.45,,,0.4467,0.45,0.45,,,0.4468,0.45,367.63M,372.43M,1.38
2015-12,11.46B,11.46B,8.715B,2.747B,734.00M,404.00M,,103.00M,4.667B,240.00M,25.00M,-215.00M,1.241B,1.506B,25.00M,240.00M,-215.00M,2.857B,-215.00M,4.148B,517.00M,3.631B,,,-19.00M,85.00M,3.612B,-473.31M,4.988B,600.00M,4.388B,9.51,,,-1.579,9.51,8.82,,,-1.235,8.82,368.40M,406.30M,1.38
2015-09,12.04B,12.04B,9.349B,2.687B,689.00M,382.00M,,105.00M,,233.00M,18.00M,-215.00M,1.176B,1.511B,18.00M,233.00M,-215.00M,767.00M,-215.00M,2.063B,627.00M,1.436B,,,-61.00M,85.00M,1.375B,1.375B,2.941B,645.00M,2.296B,3.36,,,3.36,3.36,3.27,,,3.27,3.27,380.43M,416.87M,1.26
2015-06,12.91B,12.91B,10.15B,2.764B,773.00M,429.00M,,109.00M,-375.00M,232.00M,11.00M,-221.00M,1.311B,1.453B,11.00M,232.00M,-221.00M,282.00M,-221.00M,1.514B,317.00M,1.197B,,,23.00M,85.00M,1.22B,1.517B,2.388B,642.00M,1.746B,2.97,,,3.752,2.97,2.91,,,3.622,2.91,379.37M,416.47M,1.26
2015-03,12.37B,12.37B,9.535B,2.835B,752.00M,383.00M,,102.00M,0.00,241.00M,17.00M,-224.00M,1.237B,1.598B,17.00M,241.00M,-224.00M,831.00M,-224.00M,2.205B,686.00M,1.519B,,,-41.00M,85.00M,1.478B,1.478B,3.08B,634.00M,2.446B,3.66,,,3.66,3.66,3.54,,,3.54,3.54,378.57M,415.57M,1.26
2014-12,14.38B,14.38B,11.61B,2.773B,823.00M,428.00M,,106.00M,-76.00M,262.00M,19.00M,-243.00M,1.357B,1.416B,19.00M,262.00M,-243.00M,-55.00M,-243.00M,1.118B,279.00M,839.00M,,,-20.00M,85.00M,819.00M,876.03M,2.072B,692.00M,1.38B,1.92,,,2.069,1.92,1.89,,,2.037,1.89,382.30M,386.97M,1.26
2014-09,14.40B,14.40B,11.78B,2.629B,753.00M,409.00M,,108.00M,0.00,233.00M,10.00M,-223.00M,1.27B,1.359B,10.00M,233.00M,-223.00M,206.00M,-223.00M,1.342B,378.00M,964.00M,,,-27.00M,85.00M,937.00M,937.00M,2.281B,706.00M,1.575B,2.16,,,2.16,2.16,2.13,,,2.13,2.13,389.07M,394.70M,1.11
2014-06,14.92B,14.92B,12.34B,2.573B,751.00M,419.00M,,108.00M,0.00,242.00M,9.00M,-233.00M,1.278B,1.295B,9.00M,242.00M,-233.00M,252.00M,-233.00M,1.314B,344.00M,970.00M,,,-3.00M,85.00M,967.00M,967.00M,2.233B,677.00M,1.556B,2.22,,,2.22,2.22,2.19,,,2.19,2.19,392.97M,398.40M,1.11
2014-03,14.46B,14.46B,11.73B,2.728B,779.00M,391.00M,,114.00M,,246.00M,13.00M,-233.00M,1.284B,1.444B,13.00M,246.00M,-233.00M,280.00M,-233.00M,1.491B,425.00M,1.066B,,,-17.00M,85.00M,1.049B,1.049B,2.409B,672.00M,1.737B,2.4,,,2.4,2.4,2.37,,,2.37,2.37,396.87M,402.57M,1.11
2013-12,14.39B,14.39B,12.07B,2.318B,838.00M,477.00M,,117.00M,,262.00M,12.00M,-250.00M,1.432B,886.00M,12.00M,262.00M,-250.00M,750.00M,-250.00M,1.386B,358.00M,1.028B,,,20.00M,85.00M,1.048B,1.048B,2.337B,689.00M,1.648B,2.4,,,2.4,2.4,2.37,,,2.37,2.37,396.70M,432.73M,0.96
2013-09,13.73B,13.73B,11.72B,2.018B,698.00M,418.00M,,114.00M,,264.00M,11.00M,-253.00M,1.23B,788.00M,11.00M,264.00M,-253.00M,381.00M,-253.00M,916.00M,231.00M,685.00M,,,-6.00M,85.00M,679.00M,679.00M,1.845B,665.00M,1.18B,1.5,,,1.5,1.5,1.47,,,1.47,1.47,395.80M,398.07M,0.96
2013-06,14.58B,14.58B,12.10B,2.474B,716.00M,417.00M,,115.00M,,279.00M,10.00M,-269.00M,1.248B,1.226B,10.00M,279.00M,-269.00M,2.281B,-269.00M,3.238B,795.00M,2.443B,,,-18.00M,85.00M,2.425B,2.425B,4.176B,659.00M,3.517B,5.88,,,5.88,5.88,5.61,,,5.61,5.61,395.37M,429.40M,0.96
2013-03,14.38B,14.38B,11.71B,2.676B,772.00M,435.00M,,115.00M,,296.00M,8.00M,-288.00M,1.322B,1.354B,8.00M,296.00M,-288.00M,198.00M,-288.00M,1.264B,604.00M,660.00M,,,-25.00M,85.00M,635.00M,635.00M,2.228B,668.00M,1.56B,1.38,,,1.38,1.38,1.38,,,1.38,1.38,393.70M,395.87M,0.96
2012-12,13.92B,13.92B,11.94B,1.978B,741.00M,463.00M,,117.00M,-1.24B,310.00M,15.00M,-295.00M,1.321B,657.00M,15.00M,310.00M,-295.00M,-1.212B,-295.00M,-850.00M,-99.00M,-751.00M,,,120.00M,85.00M,-631.00M,464.58M,140.00M,680.00M,-540.00M,-1.83,,,0.9663,-1.83,-1.83,,,0.9532,-1.83,391.80M,393.63M,0.96
2012-09,13.64B,13.64B,11.37B,2.269B,739.00M,434.00M,,117.00M,0.00,318.00M,10.00M,-308.00M,1.29B,979.00M,10.00M,318.00M,-308.00M,154.00M,-308.00M,825.00M,234.00M,591.00M,,,-9.00M,85.00M,582.00M,582.00M,1.808B,665.00M,1.143B,1.26,,,1.26,1.26,1.26,,,1.26,1.26,390.90M,393.17M,0.96
2012-06,14.51B,14.51B,12.20B,2.313B,674.00M,406.00M,,122.00M,0.00,312.00M,10.00M,-302.00M,1.202B,1.111B,10.00M,312.00M,-302.00M,175.00M,-302.00M,984.00M,244.00M,740.00M,,,-6.00M,85.00M,734.00M,734.00M,1.97B,674.00M,1.296B,1.65,,,1.65,1.65,1.65,,,1.65,1.65,389.90M,392.20M,0.96
2012-03,14.72B,14.72B,12.28B,2.434B,707.00M,405.00M,,122.00M,-357.00M,329.00M,6.00M,-323.00M,1.234B,1.20B,6.00M,329.00M,-323.00M,-171.00M,-323.00M,706.00M,186.00M,520.00M,,,-23.00M,85.00M,497.00M,760.11M,1.714B,679.00M,1.035B,1.05,,,1.73,1.05,1.05,,,1.725,1.05,386.97M,389.57M,0.75
2011-12,14.10B,14.10B,12.43B,1.664B,702.00M,433.00M,,123.00M,-56.00M,331.00M,14.00M,-317.00M,1.258B,406.00M,14.00M,331.00M,-317.00M,265.00M,-317.00M,354.00M,271.00M,83.00M,,,-18.00M,85.00M,65.00M,101.40M,1.426B,741.00M,685.00M,-0.06,0.0,,0.0346,-0.06,-0.06,0.0,,0.0342,-0.06,384.80M,386.47M,0.75
2011-09,15.11B,15.11B,12.93B,2.181B,691.00M,402.00M,,125.00M,47.00M,305.00M,9.00M,-296.00M,1.218B,963.00M,9.00M,305.00M,-296.00M,422.00M,-296.00M,1.089B,186.00M,903.00M,,,-3.00M,85.00M,900.00M,861.04M,2.108B,714.00M,1.394B,2.1,0.0,,1.999,2.1,2.07,0.0,,1.969,2.07,384.10M,386.97M,0.75
2011-06,16.05B,16.05B,13.55B,2.495B,695.00M,411.00M,,125.00M,80.00M,328.00M,10.00M,-318.00M,1.231B,1.264B,10.00M,328.00M,-318.00M,371.00M,-318.00M,1.317B,240.00M,1.077B,,,-10.00M,85.00M,1.067B,1.002B,2.342B,697.00M,1.645B,2.52,0.0,,2.349,2.52,2.52,0.0,,2.351,2.52,383.20M,386.97M,0.75
2011-03,14.73B,14.73B,12.12B,2.616B,700.00M,400.00M,,123.00M,-480.00M,377.00M,7.00M,-370.00M,1.223B,1.393B,7.00M,377.00M,-370.00M,-182.00M,-370.00M,841.00M,120.00M,721.00M,,,-11.00M,85.00M,710.00M,1.121B,1.949B,731.00M,1.218B,1.65,0.0,,2.733,1.65,1.62,0.0,,2.6830000000000003,1.62,379.83M,387.07M,0.45
2010-12,13.77B,13.77B,11.82B,1.953B,659.00M,443.00M,,132.00M,-56.00M,368.00M,13.00M,-355.00M,1.234B,719.00M,13.00M,368.00M,-355.00M,282.00M,-355.00M,646.00M,133.00M,513.00M,,,-2.00M,85.00M,511.00M,555.47M,1.769B,755.00M,1.014B,1.14,,,1.258,1.14,1.11,,,1.226,1.11,377.60M,384.37M,0.45
2010-09,12.87B,12.87B,10.84B,2.027B,640.00M,403.00M,,124.00M,-45.00M,362.00M,7.00M,-355.00M,1.167B,860.00M,7.00M,362.00M,-355.00M,206.00M,-355.00M,711.00M,114.00M,597.00M,,,0.00,85.00M,597.00M,634.78M,1.789B,716.00M,1.073B,1.35,0.0,,1.45,1.35,1.35,0.0,,1.449,1.35,376.00M,381.83M,0.45
2010-06,13.62B,13.62B,11.58B,2.038B,648.00M,407.00M,,125.00M,45.00M,367.00M,10.00M,-357.00M,1.18B,858.00M,10.00M,367.00M,-357.00M,289.00M,-357.00M,790.00M,131.00M,659.00M,,,-8.00M,85.00M,651.00M,613.46M,1.891B,734.00M,1.157B,1.5,0.0,,1.4,1.5,1.5,0.0,,1.401,1.5,375.13M,380.53M,0.45
2010-03,13.42B,13.42B,11.54B,1.876B,662.00M,407.00M,,128.00M,41.00M,376.00M,7.00M,-369.00M,1.197B,679.00M,7.00M,376.00M,-369.00M,345.00M,-369.00M,655.00M,103.00M,552.00M,,,-1.00M,85.00M,551.00M,516.45M,1.788B,757.00M,1.031B,1.26,0.0,,1.167,1.26,1.23,0.0,,1.139,1.23,372.50M,379.30M,0.45
2009-12,12.47B,12.47B,10.86B,1.606B,698.00M,419.00M,,157.00M,-9.00M,404.00M,12.00M,-392.00M,1.274B,332.00M,12.00M,404.00M,-392.00M,210.00M,-392.00M,150.00M,-28.00M,178.00M,0.00,,-6.00M,85.00M,172.00M,177.85M,1.358B,804.00M,554.00M,0.27,-0.03,,0.2858,0.24,0.27,-0.03,,0.2856,0.24,370.93M,375.80M,0.45
2009-09,12.05B,12.05B,10.39B,1.66B,683.00M,400.00M,,108.00M,792.00M,488.00M,6.00M,-482.00M,1.191B,469.00M,6.00M,488.00M,-482.00M,1.016B,-482.00M,1.003B,204.00M,799.00M,-4.00M,,1.00M,85.00M,796.00M,169.08M,2.243B,752.00M,1.491B,1.95,-0.03,,0.2424,1.92,1.92,-0.03,,0.2311,1.89,369.47M,373.57M,0.45
2009-06,11.32B,11.32B,9.764B,1.558B,663.00M,381.00M,,112.00M,-691.00M,525.00M,9.00M,-516.00M,1.156B,402.00M,9.00M,525.00M,-516.00M,-569.00M,-516.00M,-683.00M,-248.00M,-435.00M,103.00M,,-12.00M,142.00M,-344.00M,-6.905M,605.00M,763.00M,-158.00M,-1.71,0.3,,-0.4233,-1.41,-1.71,0.3,,-0.435,-1.41,342.03M,345.17M,0.45
2009-03,9.041B,9.041B,8.138B,903.00M,443.00M,292.00M,,22.00M,-70.00M,154.00M,12.00M,-142.00M,757.00M,146.00M,12.00M,154.00M,-142.00M,-5.00M,-142.00M,-1.00M,-25.00M,24.00M,11.00M,,-11.00M,,24.00M,58.50M,661.00M,508.00M,153.00M,0.06,0.03,,0.2075,0.09,0.06,0.03,,0.2065,0.09,308.47M,310.67M,0.45
2008-12,10.85B,10.85B,10.46B,391.00M,457.00M,310.00M,,24.00M,-1.032B,192.00M,14.00M,-178.00M,791.00M,-400.00M,14.00M,192.00M,-178.00M,-1.036B,-178.00M,-1.614B,-65.00M,-1.549B,9.00M,,-12.00M,,-1.552B,-570.56M,-867.00M,555.00M,-1.422B,-5.04,0.03,,-1.8259999999999998,-5.01,-5.04,0.03,,-1.848,-5.01,308.13M,310.30M,1.26
2008-09,15.37B,15.37B,13.95B,1.422B,497.00M,334.00M,,21.00M,-79.00M,160.00M,23.00M,-137.00M,852.00M,570.00M,23.00M,160.00M,-137.00M,187.00M,-137.00M,620.00M,180.00M,440.00M,8.00M,,-20.00M,,428.00M,476.06M,1.318B,538.00M,780.00M,1.35,0.03,,1.5319999999999998,1.38,1.35,0.03,,1.53,1.38,308.40M,311.33M,1.26
2008-06,16.35B,16.35B,14.62B,1.728B,514.00M,335.00M,,25.00M,37.00M,151.00M,25.00M,-126.00M,874.00M,854.00M,25.00M,151.00M,-126.00M,288.00M,-126.00M,1.016B,240.00M,776.00M,5.00M,,-19.00M,,762.00M,728.74M,1.736B,569.00M,1.167B,2.43,0.03,,2.339,2.46,2.43,0.0,,2.34,2.43,309.93M,313.13M,1.26
2008-03,14.82B,14.82B,12.91B,1.916B,498.00M,331.00M,,22.00M,46.00M,145.00M,24.00M,-121.00M,851.00M,1.065B,24.00M,145.00M,-121.00M,320.00M,-121.00M,1.264B,299.00M,965.00M,,,-24.00M,,941.00M,905.88M,1.983B,574.00M,1.409B,3.0,0.0,,2.888,3.0,2.97,0.0,,2.859,2.97,314.03M,317.20M,1.26
2007-12,14.23B,14.23B,12.53B,1.694B,493.00M,354.00M,,21.00M,-518.00M,,,,868.00M,826.00M,,,,-224.00M,,470.00M,-27.00M,570.00M,,,-25.00M,,472.00M,808.70M,2.356B,589.00M,1.767B,1.5,0.0,,2.568,1.5,1.5,0.0,,2.555,1.5,315.20M,319.17M,1.26
2007-09,13.59B,13.59B,11.86B,1.725B,476.00M,329.00M,,22.00M,11.00M,,,,827.00M,898.00M,,,,307.00M,,1.085B,659.00M,403.00M,,,-23.00M,,403.00M,395.85M,1.458B,560.00M,898.00M,1.26,0.0,,1.237,1.26,1.26,0.0,,1.238,1.26,316.30M,320.50M,1.26
2007-06,13.26B,13.26B,11.40B,1.867B,477.00M,320.00M,,18.00M,127.00M,,,,815.00M,1.052B,,,,385.00M,,1.341B,277.00M,1.039B,,,-25.00M,,1.039B,938.23M,1.585B,533.00M,1.052B,3.27,0.0,,2.9530000000000003,3.27,3.21,0.0,,2.898,3.21,318.27M,322.67M,1.26
2007-03,12.43B,12.43B,10.60B,1.827B,418.00M,302.00M,,11.00M,69.00M,,,,731.00M,1.096B,,,,343.00M,,1.333B,335.00M,973.00M,,,-25.00M,,973.00M,921.34M,1.604B,508.00M,1.096B,3.03,0.0,,2.8689999999999998,3.03,3.0,0.0,,2.841,3.0,321.07M,325.30M,1.125
2006-12,12.24B,12.24B,10.50B,1.737B,453.00M,308.00M,,13.00M,215.00M,,,,774.00M,963.00M,,,,457.00M,,1.323B,324.00M,975.00M,,,-24.00M,,975.00M,812.65M,1.493B,530.00M,963.00M,3.06,0.0,,2.552,3.06,3.0,0.0,,2.498,3.0,319.57M,323.70M,1.125
2006-09,12.36B,12.36B,10.60B,1.759B,420.00M,291.00M,,13.00M,-575.00M,,,,724.00M,1.035B,,,,-258.00M,,670.00M,137.00M,512.00M,,,-21.00M,,512.00M,969.43M,1.573B,538.00M,1.035B,1.59,0.0,,3.0210000000000004,1.59,1.59,0.0,,3.005,1.59,319.70M,323.30M,1.125
2006-06,12.51B,12.51B,10.62B,1.885B,402.00M,287.00M,,12.00M,53.00M,,,,701.00M,1.184B,,,,285.00M,,1.356B,310.00M,1.023B,,,-23.00M,,1.023B,982.12M,1.696B,512.00M,1.184B,3.18,0.0,,3.053,3.18,3.15,0.0,,3.0239999999999996,3.15,321.17M,325.20M,1.125
2006-03,12.02B,12.02B,9.803B,2.217B,388.00M,278.00M,,12.00M,30.00M,,,,678.00M,1.539B,,,,198.00M,,1.623B,384.00M,1.214B,,,-25.00M,,1.214B,1.191B,2.033B,494.00M,1.539B,3.75,0.0,,3.679,3.75,3.72,0.0,,3.65,3.72,322.63M,326.90M,1.125
2005-12,11.92B,11.92B,10.03B,1.888B,392.00M,283.00M,,15.00M,463.00M,,,,690.00M,1.198B,,,,688.00M,,1.767B,629.00M,1.116B,,,-22.00M,,1.096B,817.81M,1.77B,572.00M,1.198B,3.48,-0.06,,2.5540000000000003,3.42,3.39,-0.06,,2.481,3.33,322.17M,328.20M,1.005
2005-09,11.26B,11.26B,9.61B,1.651B,379.00M,264.00M,,13.00M,39.00M,,,,656.00M,995.00M,,,,279.00M,,1.148B,328.00M,801.00M,,,-19.00M,,801.00M,773.14M,1.492B,497.00M,995.00M,2.49,0.0,,2.403,2.49,2.46,0.0,,2.375,2.46,321.73M,326.13M,1.005
2005-06,11.45B,11.45B,9.30B,2.15B,383.00M,271.00M,,13.00M,57.00M,,,,667.00M,1.483B,,,,281.00M,,1.603B,317.00M,1.265B,,,-21.00M,,1.265B,1.219B,1.976B,493.00M,1.483B,3.93,0.0,,3.7880000000000003,3.93,3.9,0.0,,3.759,3.9,321.37M,325.40M,1.005
2005-03,11.68B,11.68B,9.337B,2.342B,391.00M,255.00M,,14.00M,82.00M,,,,660.00M,1.682B,,,,357.00M,,1.881B,508.00M,1.353B,,,-20.00M,,1.353B,1.293B,2.199B,517.00M,1.682B,4.23,0.0,,4.043,4.23,4.17,0.0,,3.985,4.17,319.70M,323.90M,1.005
2004-12,10.94B,10.94B,9.295B,1.641B,385.00M,261.00M,,17.00M,116.00M,,,,663.00M,978.00M,,,,413.00M,,1.233B,175.00M,1.026B,,,-32.00M,,1.026B,926.46M,1.491B,513.00M,978.00M,3.27,0.0,,2.955,3.27,3.18,0.0,,2.872,3.18,316.47M,322.93M,1.005
2004-09,10.07B,10.07B,8.697B,1.375B,341.00M,248.00M,,19.00M,35.00M,,,,608.00M,767.00M,,,,267.00M,,860.00M,214.00M,617.00M,,,-29.00M,,617.00M,590.71M,1.326B,559.00M,767.00M,1.98,0.0,,1.896,1.98,1.95,0.0,,1.867,1.95,313.63M,317.13M,1.005
2004-06,9.844B,9.844B,8.345B,1.499B,347.00M,262.00M,,16.00M,33.00M,,,,625.00M,874.00M,,,,287.00M,,1.00B,284.00M,685.00M,,,-31.00M,,685.00M,661.37M,1.376B,502.00M,874.00M,2.19,0.0,,2.114,2.19,2.16,0.0,,2.085,2.16,312.67M,315.97M,1.005
2004-03,9.309B,9.309B,7.907B,1.402B,363.00M,251.00M,,29.00M,-28.00M,,,,643.00M,759.00M,,,,112.00M,,703.00M,204.00M,469.00M,,,-30.00M,,469.00M,488.87M,1.273B,514.00M,759.00M,1.5,0.0,,1.564,1.5,1.5,0.0,,1.5630000000000002,1.5,310.57M,314.40M,1.005
