,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,10.28B,257.00M,10.54B,14.38B,,,5.41B,19.79B,2.627B,3.874B,10.73B,,17.46B,,,1.95B,49.73B,,,,,,,74.33B,-38.25B,36.08B,60.49B,32.97B,93.46B,7.815B,,692.00M,4.666B,,142.71B,192.44B,8.754B,,889.00M,4.376B,14.02B,7.48B,21.50B,610.00M,1.801B,2.707B,5.118B,,5.118B,,,,26.62B,29.34B,,29.34B,6.113B,6.113B,18.22B,1.664B,,9.219B,62.90B,89.52B,23.00M,29.37B,81.52B,2.00B,,,,-7.497B,101.26B
2017-12,13.44B,956.00M,14.39B,11.31B,,,5.579B,16.89B,2.563B,4.512B,9.701B,,16.99B,,,1.614B,49.89B,0.00,3.448B,8.667B,51.31B,5.277B,4.60B,73.30B,-37.06B,36.25B,59.53B,33.27B,92.80B,7.90B,,680.00M,4.643B,,142.27B,192.16B,9.134B,,843.00M,3.727B,13.70B,8.409B,22.11B,281.00M,1.667B,2.067B,4.015B,,4.015B,,,,26.13B,30.06B,,30.06B,6.266B,6.266B,18.58B,1.597B,,9.206B,64.11B,90.24B,23.00M,29.21B,81.26B,1.00B,,,,-8.972B,100.33B
2017-09,13.15B,1.826B,14.97B,11.25B,,,7.006B,18.26B,2.575B,5.221B,9.094B,,17.26B,,,1.145B,54.80B,0.00,3.479B,8.389B,48.17B,5.218B,6.967B,72.23B,-36.01B,36.22B,60.70B,33.42B,94.12B,8.10B,,743.00M,4.546B,,143.73B,198.53B,7.648B,,729.00M,3.862B,12.24B,7.849B,20.09B,5.176B,,1.906B,7.082B,,7.082B,,,108.00M,27.28B,29.82B,,29.82B,9.125B,9.125B,18.41B,1.588B,,9.358B,66.72B,93.99B,23.00M,31.37B,81.12B,0.00,,,,-9.367B,102.95B
2017-06,6.218B,,6.218B,5.307B,,,5.557B,10.86B,1.839B,1.774B,4.699B,,8.163B,,,690.00M,25.94B,,,,,,,59.57B,-35.46B,24.12B,15.44B,5.812B,21.25B,6.65B,,755.00M,3.54B,,56.31B,82.25B,4.623B,559.00M,531.00M,3.113B,8.826B,3.168B,11.99B,480.00M,,955.00M,1.435B,,1.435B,,,,13.43B,20.07B,,20.07B,916.00M,916.00M,11.20B,1.168B,,7.046B,39.23B,52.66B,3.107B,31.42B,4.202B,1.033B,,,,-9.074B,28.42B
2017-03,5.848B,,5.848B,4.991B,,,4.719B,9.71B,1.832B,1.828B,4.798B,,8.21B,,,872.00M,24.64B,,,,,,,58.36B,-34.59B,23.77B,15.33B,5.928B,21.26B,6.626B,,841.00M,3.691B,,56.19B,80.83B,4.81B,558.00M,409.00M,2.549B,8.326B,3.868B,12.19B,383.00M,,616.00M,999.00M,,999.00M,,,,13.19B,20.47B,,20.47B,934.00M,934.00M,11.13B,1.274B,,6.77B,39.30B,52.49B,3.107B,30.66B,4.137B,1.126B,,,,-9.514B,27.06B
2016-12,6.607B,0.00,6.607B,4.666B,,,4.312B,8.978B,1.676B,1.51B,4.23B,,7.363B,,,711.00M,23.66B,0.00,2.524B,5.935B,38.50B,4.38B,6.10B,57.44B,-33.95B,23.49B,15.27B,6.026B,21.30B,6.716B,,708.00M,3.644B,,55.85B,79.51B,4.519B,,600.00M,2.097B,7.216B,4.481B,11.70B,272.00M,0.00,635.00M,907.00M,,907.00M,,,,12.60B,20.46B,,20.46B,923.00M,923.00M,11.38B,1.242B,,6.924B,39.68B,52.28B,3.107B,30.34B,4.262B,1.659B,,,,-9.822B,25.99B
2016-09,7.032B,,7.032B,4.746B,,,4.362B,9.108B,1.78B,1.755B,4.494B,,8.013B,,,625.00M,24.78B,,,,,,,57.50B,-34.19B,23.31B,15.49B,6.326B,21.82B,6.561B,,1.027B,3.13B,,55.85B,80.62B,4.674B,595.00M,480.00M,2.503B,8.252B,3.534B,11.79B,236.00M,,633.00M,869.00M,,869.00M,,,,12.66B,20.42B,,20.42B,1.027B,1.027B,9.839B,1.314B,,6.331B,37.62B,50.28B,7.107B,30.88B,4.916B,5.965B,4.00B,,,-7.681B,29.04B
2016-06,7.309B,,7.309B,5.171B,,,4.102B,9.273B,1.818B,1.662B,4.744B,,8.212B,,,1.516B,26.31B,,,,,,,56.70B,-33.92B,22.78B,15.44B,6.463B,21.90B,6.561B,,792.00M,3.173B,,55.21B,81.52B,4.441B,597.00M,625.00M,2.607B,8.27B,4.117B,12.39B,235.00M,,259.00M,494.00M,,494.00M,,,,12.88B,20.85B,,20.85B,982.00M,982.00M,9.894B,1.298B,,6.681B,38.41B,51.29B,7.107B,30.68B,4.89B,5.664B,4.00B,,,-7.845B,28.94B
2016-03,6.61B,,6.61B,4.491B,,,4.27B,8.761B,1.507B,1.625B,4.057B,,7.298B,,,665.00M,23.33B,,,,,,,52.15B,-33.73B,18.42B,12.21B,3.591B,15.80B,7.136B,,620.00M,3.125B,,45.11B,68.44B,3.729B,595.00M,312.00M,2.324B,6.96B,3.975B,10.94B,491.00M,,256.00M,747.00M,,747.00M,,,,11.68B,16.23B,,16.23B,575.00M,575.00M,8.752B,835.00M,,4.768B,30.32B,42.01B,7.107B,28.07B,4.809B,5.865B,4.00B,,,-8.262B,25.60B
2015-12,8.577B,,8.577B,4.078B,,,3.768B,7.846B,1.498B,1.502B,3.879B,,6.871B,,,647.00M,23.94B,2.053B,2.137B,4.793B,35.45B,2.01B,4.355B,50.80B,-32.95B,17.85B,12.15B,3.617B,15.77B,6.881B,,816.00M,2.675B,,44.00B,67.94B,3.577B,592.00M,452.00M,2.287B,6.908B,3.212B,10.12B,454.00M,,541.00M,995.00M,,995.00M,,,,11.12B,16.22B,,16.22B,587.00M,587.00M,9.119B,809.00M,,4.719B,30.64B,41.76B,7.107B,28.42B,4.936B,6.155B,4.00B,,,-8.667B,25.37B
2015-09,7.623B,,7.623B,4.398B,,,3.769B,8.167B,1.661B,1.771B,4.39B,,7.822B,,807.00M,433.00M,24.85B,,,,,,,55.75B,-36.89B,18.86B,12.26B,3.743B,16.00B,6.736B,,787.00M,2.647B,,45.03B,69.88B,3.893B,565.00M,981.00M,2.195B,7.634B,3.176B,10.81B,426.00M,,1.85B,2.276B,,2.276B,119.00M,119.00M,,13.20B,17.46B,,17.46B,546.00M,546.00M,9.515B,833.00M,108.00M,3.882B,31.51B,44.72B,7.107B,25.41B,4.90B,4.222B,4.00B,,,-8.585B,24.33B
2015-06,6.224B,,6.224B,4.957B,,,4.072B,9.029B,1.73B,1.868B,4.463B,,8.061B,,982.00M,468.00M,24.76B,,,,,,,55.28B,-36.70B,18.58B,12.36B,3.971B,16.33B,6.633B,,618.00M,2.41B,,44.57B,69.33B,4.492B,565.00M,664.00M,2.199B,7.92B,2.799B,10.72B,436.00M,,1.479B,1.915B,,1.915B,131.00M,131.00M,,12.76B,17.83B,,17.83B,557.00M,557.00M,9.598B,839.00M,316.00M,3.814B,32.12B,44.88B,7.107B,24.61B,4.839B,4.246B,4.00B,,,-8.41B,23.61B
2015-03,6.288B,,6.288B,4.695B,,,4.044B,8.739B,1.658B,1.832B,4.597B,,8.087B,,908.00M,372.00M,24.39B,,,,,,,54.20B,-36.14B,18.07B,12.18B,3.618B,15.80B,6.312B,,604.00M,2.612B,,43.40B,67.79B,4.417B,562.00M,702.00M,2.198B,7.879B,2.482B,10.36B,482.00M,,1.44B,1.922B,,1.922B,104.00M,104.00M,,12.39B,17.87B,,17.87B,572.00M,572.00M,9.863B,977.00M,202.00M,3.684B,32.19B,44.58B,7.107B,23.96B,4.792B,4.488B,4.00B,,,-8.84B,22.24B
2014-12,5.654B,,5.654B,4.685B,,,4.687B,9.372B,1.649B,1.905B,4.547B,,8.101B,,812.00M,316.00M,24.26B,2.448B,2.248B,4.91B,39.28B,1.94B,4.406B,55.23B,-37.18B,18.05B,12.63B,3.768B,16.40B,6.64B,,682.00M,2.659B,,44.43B,68.69B,4.481B,563.00M,361.00M,2.299B,7.704B,2.839B,10.54B,551.00M,,382.00M,933.00M,,933.00M,105.00M,105.00M,,11.58B,18.74B,,18.74B,622.00M,622.00M,10.46B,931.00M,202.00M,3.728B,33.75B,45.33B,7.107B,23.04B,4.846B,4.233B,4.00B,,,-8.017B,22.42B
2014-09,5.768B,,5.768B,5.032B,,,4.764B,9.796B,1.817B,2.143B,5.059B,,9.019B,,824.00M,323.00M,25.73B,,,,,,,55.07B,-37.38B,17.69B,12.69B,3.976B,16.66B,6.874B,,470.00M,2.141B,,43.84B,69.57B,4.846B,513.00M,572.00M,2.461B,8.392B,2.81B,11.20B,524.00M,,257.00M,781.00M,,781.00M,104.00M,104.00M,,12.09B,19.00B,,19.00B,637.00M,637.00M,7.42B,980.00M,191.00M,3.526B,30.78B,42.86B,7.107B,22.79B,4.741B,3.201B,4.00B,,,-5.371B,25.73B
2014-06,3.843B,,3.843B,5.536B,,,4.823B,10.36B,1.74B,2.226B,4.96B,,8.926B,,770.00M,385.00M,24.28B,,,,,,,55.97B,-38.07B,17.90B,12.79B,4.152B,16.94B,6.824B,,497.00M,2.313B,,44.47B,68.76B,4.883B,521.00M,567.00M,2.41B,8.381B,2.595B,10.98B,587.00M,,208.00M,795.00M,,795.00M,108.00M,108.00M,,11.88B,17.04B,,17.04B,669.00M,669.00M,7.675B,982.00M,191.00M,3.571B,29.14B,41.02B,7.107B,22.37B,4.672B,2.327B,4.00B,,,-4.729B,26.75B
2014-03,4.385B,,4.385B,5.524B,,,4.927B,10.45B,1.677B,2.28B,5.145B,,9.102B,,762.00M,362.00M,25.06B,,,,,,,55.38B,-37.81B,17.57B,12.80B,4.224B,17.02B,6.691B,,481.00M,2.405B,,44.17B,69.23B,4.971B,524.00M,660.00M,2.411B,8.566B,2.685B,11.25B,526.00M,,351.00M,877.00M,,877.00M,98.00M,98.00M,,12.23B,16.94B,,16.94B,691.00M,691.00M,7.92B,982.00M,183.00M,3.554B,29.28B,41.51B,7.092B,21.93B,4.407B,1.514B,4.00B,,,-4.824B,26.74B
2013-12,5.94B,,5.94B,4.935B,,,4.712B,9.647B,1.638B,1.948B,4.717B,,8.303B,,743.00M,344.00M,24.98B,2.446B,2.311B,4.945B,39.97B,2.43B,3.011B,55.11B,-37.66B,17.45B,12.80B,4.314B,17.11B,7.042B,,451.00M,2.465B,,44.52B,69.50B,4.59B,467.00M,435.00M,2.29B,7.782B,2.916B,10.70B,443.00M,,697.00M,1.14B,,1.14B,133.00M,133.00M,,11.97B,16.82B,,16.82B,718.00M,718.00M,8.176B,1.026B,156.00M,3.736B,29.61B,41.58B,7.054B,21.41B,3.928B,307.00M,4.00B,,,-4.827B,26.90B
2013-09,5.272B,,5.272B,4.896B,,,4.88B,9.776B,1.797B,2.223B,4.872B,,8.892B,,751.00M,318.00M,25.01B,,,,,,,54.90B,-37.54B,17.36B,12.77B,4.383B,17.15B,6.74B,,501.00M,3.446B,,45.20B,70.21B,4.864B,466.00M,466.00M,2.34B,8.136B,2.634B,10.77B,452.00M,,680.00M,1.132B,,1.132B,91.00M,91.00M,,11.99B,17.49B,,17.49B,792.00M,792.00M,11.02B,1.013B,147.00M,3.749B,33.20B,45.19B,7.042B,20.83B,3.701B,134.00M,4.00B,,,-7.07B,24.00B
2013-06,4.883B,,4.883B,5.619B,,,4.859B,10.48B,1.807B,2.108B,4.921B,,8.836B,,735.00M,395.00M,25.33B,,,,,,,54.37B,-37.16B,17.20B,12.72B,4.454B,17.18B,6.436B,,441.00M,3.561B,,44.82B,70.14B,4.812B,465.00M,903.00M,2.323B,8.503B,2.67B,11.17B,505.00M,,846.00M,1.351B,,1.351B,89.00M,89.00M,,12.61B,17.48B,,17.48B,795.00M,795.00M,11.13B,989.00M,147.00M,3.781B,33.33B,45.94B,7.031B,20.62B,3.537B,80.00M,4.00B,,,-7.526B,23.21B
2013-03,3.514B,,3.514B,5.478B,,,4.927B,10.40B,1.742B,2.209B,5.384B,,9.335B,,645.00M,349.00M,24.25B,,,,,,,54.14B,-36.88B,17.27B,12.70B,4.577B,17.27B,6.313B,,498.00M,3.705B,,45.06B,69.30B,4.938B,465.00M,487.00M,2.223B,8.113B,2.899B,11.01B,472.00M,,861.00M,1.333B,,1.333B,95.00M,95.00M,,12.44B,18.75B,,18.75B,775.00M,775.00M,11.32B,998.00M,147.00M,3.876B,34.87B,47.31B,7.024B,18.66B,3.387B,,4.00B,,,-7.694B,21.00B
2012-12,4.318B,,4.318B,5.074B,,,4.605B,9.679B,1.686B,1.91B,4.88B,,8.476B,,877.00M,334.00M,23.68B,2.35B,2.293B,4.886B,39.83B,2.267B,2.742B,54.37B,-36.85B,17.52B,12.74B,4.711B,17.45B,6.686B,,468.00M,3.797B,,45.92B,69.60B,5.01B,86.00M,251.00M,2.327B,7.674B,2.656B,10.33B,396.00M,,672.00M,1.068B,,1.068B,95.00M,95.00M,,11.49B,19.92B,,19.92B,837.00M,837.00M,11.46B,990.00M,147.00M,3.883B,36.24B,47.74B,7.008B,18.50B,3.281B,0.00,4.00B,,,-7.516B,20.88B
2012-09,3.885B,0.00,3.885B,5.169B,,,4.797B,9.966B,1.771B,2.001B,4.858B,,8.63B,,666.00M,318.00M,23.46B,,,,,,,53.42B,-35.86B,17.56B,12.93B,4.849B,17.78B,7.171B,,156.00M,3.237B,,45.90B,69.37B,6.965B,463.00M,404.00M,,7.832B,2.68B,10.51B,439.00M,,1.747B,2.186B,,2.186B,97.00M,97.00M,,12.80B,18.22B,,18.22B,1.021B,1.021B,8.59B,1.278B,,3.638B,31.46B,44.26B,6.998B,19.59B,3.112B,,4.00B,,,-5.481B,23.83B
2012-06,4.128B,2.00M,4.13B,5.251B,,,4.636B,9.887B,1.777B,1.931B,4.672B,,8.38B,,462.00M,339.00M,23.20B,,,,,,,52.92B,-35.57B,17.35B,12.90B,4.898B,17.79B,6.973B,,167.00M,3.357B,,45.64B,68.84B,6.848B,462.00M,375.00M,,7.685B,2.474B,10.16B,473.00M,,1.88B,2.353B,,2.353B,117.00M,117.00M,,12.63B,18.30B,,18.30B,1.009B,1.009B,8.775B,1.25B,,3.754B,31.84B,44.47B,6.996B,19.47B,3.018B,,4.00B,,,-5.967B,23.12B
2012-03,3.608B,2.00M,3.61B,5.48B,,,5.026B,10.51B,1.801B,2.087B,4.994B,,8.882B,,596.00M,317.00M,23.91B,,,,,,,53.01B,-35.73B,17.28B,12.97B,4.983B,17.96B,6.98B,,168.00M,3.304B,,45.69B,69.60B,7.313B,379.00M,514.00M,,8.206B,2.781B,10.99B,555.00M,,1.798B,2.353B,,2.353B,125.00M,125.00M,,13.46B,18.22B,3.154B,21.38B,1.061B,1.061B,8.905B,1.172B,,591.00M,31.94B,45.40B,6.988B,19.20B,2.846B,,4.00B,,,-5.586B,23.03B
2011-12,5.444B,2.00M,5.446B,4.90B,,,4.726B,9.626B,1.534B,1.716B,4.327B,,7.577B,,471.00M,302.00M,23.42B,2.264B,2.172B,4.513B,37.58B,2.29B,3.397B,52.22B,-34.92B,17.30B,12.93B,5.061B,17.99B,5.913B,,1.316B,3.283B,,45.80B,69.22B,4.778B,376.00M,382.00M,2.216B,7.752B,2.463B,10.22B,541.00M,,2.749B,3.29B,,3.29B,129.00M,129.00M,,13.63B,18.31B,,18.31B,1.091B,1.091B,9.034B,1.01B,147.00M,3.717B,32.30B,45.93B,6.961B,19.09B,2.663B,0.00,4.00B,,,-5.996B,22.28B
2011-09,2.206B,,2.206B,5.081B,,,5.035B,10.12B,1.603B,2.017B,4.796B,,8.416B,,683.00M,333.00M,21.75B,,,,,,,52.84B,-35.05B,17.79B,12.99B,5.212B,18.21B,6.00B,,333.00M,2.659B,206.00M,45.20B,66.95B,6.689B,375.00M,427.00M,,7.491B,2.725B,10.22B,887.00M,,1.674B,2.561B,,2.561B,110.00M,110.00M,,12.89B,17.04B,,17.04B,1.298B,1.298B,7.042B,989.00M,,3.541B,28.92B,41.81B,6.954B,19.40B,2.526B,0.00,4.00B,,,-4.29B,24.15B
2011-06,2.223B,,2.223B,5.601B,,,5.15B,10.75B,1.684B,2.021B,5.034B,,8.739B,,573.00M,413.00M,22.70B,,,,,,,53.89B,-35.84B,18.05B,13.08B,5.389B,18.47B,6.29B,,217.00M,2.724B,,45.75B,68.45B,7.198B,374.00M,355.00M,,7.927B,2.81B,10.74B,916.00M,,661.00M,1.577B,,1.577B,115.00M,115.00M,,12.43B,18.51B,,18.51B,1.238B,1.238B,7.552B,854.00M,,3.678B,30.98B,43.41B,6.953B,18.88B,2.45B,0.00,4.00B,,,-3.647B,24.18B
2011-03,3.562B,,3.562B,5.413B,,,4.94B,10.35B,1.489B,1.901B,4.742B,,8.132B,,557.00M,379.00M,22.98B,,,,,,,52.82B,-35.04B,17.78B,13.05B,5.453B,18.50B,5.789B,217.00M,318.00M,2.849B,,45.46B,68.44B,7.099B,259.00M,432.00M,,7.79B,2.781B,10.57B,709.00M,,1.607B,2.316B,,2.316B,97.00M,97.00M,,12.98B,19.08B,,19.08B,1.284B,1.284B,7.526B,816.00M,,3.733B,31.62B,44.60B,6.939B,18.19B,2.243B,0.00,4.00B,,,-3.881B,23.02B
2010-12,7.039B,0.00,7.039B,4.616B,,,4.428B,9.044B,1.30B,1.498B,4.289B,,7.087B,,611.00M,349.00M,24.13B,0.00,2.157B,4.442B,39.45B,2.133B,3.463B,51.65B,-33.98B,17.67B,12.97B,5.53B,18.50B,5.995B,,388.00M,2.69B,220.00M,45.46B,69.59B,4.356B,257.00M,349.00M,2.249B,7.211B,3.358B,10.57B,1.467B,,1.755B,3.222B,,3.222B,105.00M,105.00M,,13.90B,20.60B,,20.60B,1.295B,1.295B,7.492B,803.00M,,3.658B,33.05B,46.95B,6.931B,17.74B,2.286B,239.00M,4.00B,,,-4.399B,21.84B
2010-09,3.223B,4.00M,3.227B,4.899B,,,4.675B,9.574B,1.403B,1.666B,4.214B,,7.283B,,585.00M,,20.67B,,,,,,,51.02B,-33.61B,17.42B,13.00B,5.625B,18.62B,6.239B,,250.00M,2.802B,,45.33B,66.00B,6.003B,256.00M,291.00M,,6.55B,3.41B,9.96B,1.329B,,1.772B,3.101B,,3.101B,98.00M,98.00M,,13.16B,18.03B,,18.03B,1.301B,1.301B,7.299B,698.00M,,3.608B,30.24B,43.40B,6.919B,17.48B,2.116B,313.00M,4.00B,,,-3.81B,21.91B
2010-06,3.068B,6.00M,3.074B,4.611B,,,4.569B,9.18B,1.383B,1.549B,4.001B,,6.933B,225.00M,668.00M,,20.08B,,,,,,,49.34B,-32.37B,16.97B,12.86B,5.608B,18.47B,6.073B,,274.00M,2.723B,,44.51B,64.59B,6.368B,256.00M,281.00M,,6.905B,3.028B,9.933B,1.863B,,1.472B,3.335B,,3.335B,79.00M,79.00M,,13.35B,18.11B,,18.11B,1.262B,1.262B,7.173B,677.00M,,3.537B,30.08B,43.43B,6.917B,17.14B,2.025B,319.00M,4.00B,,,-4.78B,20.49B
