,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-12,1.373B,1.378B,16.38B,17.76B,156.27M,,156.27M,,18.36B,,241.13M,,60.34M,301.46M,-198.84M,102.62M,,,,16.74B,217.61M,,16.52B,25.85B,73.94M,42.58B,44.69B,,,,639.90M,639.90M,639.90M,,,774.90M,34.42M,796.70M,,796.70M,,,39.14B,151.13M,185.44M,135.10M,40.31B,41.35B,,0.052M,1.994B,1.189B,,15.40M,3.198B,,AOR,Restated
2015-09,1.455B,1.460B,15.31B,16.77B,143.84M,,143.84M,,17.40B,,,94.65M,,94.65M,,94.65M,,,,15.31B,197.51M,,15.12B,24.26B,5.513M,39.59B,41.73B,,,,3.756M,3.756M,3.756M,,,3.756M,36.63M,797.21M,,797.21M,,,37.05B,113.14M,184.88M,139.33M,38.18B,38.42B,,0.051M,1.906B,1.172B,,97.06M,3.175B,,AOR,Restated
2015-06,2.282B,2.287B,14.50B,16.78B,130.86M,,130.86M,,17.54B,,,88.28M,,88.28M,,88.28M,,,,14.26B,192.64M,,14.07B,22.88B,27.44M,37.12B,40.24B,,,,2.537M,2.537M,2.537M,,,2.537M,35.62M,802.45M,,802.45M,,,35.63B,90.26M,244.26M,138.37M,36.80B,37.05B,,0.051M,1.825B,1.163B,,63.92M,3.051B,,AOR,Restated
2015-03,1.067B,1.072B,13.75B,14.82B,114.86M,,114.86M,,15.62B,,,82.72M,,82.72M,,82.72M,,,,14.44B,167.88M,,14.27B,23.27B,10.84M,37.76B,39.70B,,,,77.77M,77.77M,77.77M,,,77.77M,38.63M,802.92M,,802.92M,,,33.85B,46.23M,390.99M,1.306B,35.13B,35.42B,,0.051M,1.738B,1.140B,,92.67M,2.972B,,AOR,Restated
2014-12,1.694B,1.700B,13.54B,15.24B,114.27M,,114.27M,,15.66B,,226.10M,,48.78M,274.88M,-195.04M,79.84M,,,,14.38B,165.36M,,14.22B,22.69B,45.98M,37.12B,39.34B,,,,7.781M,7.781M,7.781M,,,7.781M,36.42M,451.36M,,451.36M,,,34.34B,120.84M,126.11M,1.239B,35.08B,35.29B,,0.051M,1.650B,1.120B,,42.70M,2.813B,,AOR,Restated
2014-09,1.816B,1.822B,13.33B,15.16B,111.91M,,111.91M,,15.52B,,,74.38M,,74.38M,,74.38M,,,,12.02B,129.06M,,11.89B,21.70B,40.52M,33.77B,36.04B,,,,6.63M,6.63M,6.63M,,,6.63M,35.49M,453.76M,,453.76M,,,31.12B,92.89M,215.99M,1.218B,31.92B,32.10B,,0.051M,1.596B,1.107B,,18.74M,2.722B,,AOR,Restated
2014-06,2.590B,2.596B,11.67B,14.27B,97.58M,,97.58M,,14.67B,,,71.46M,,71.46M,,71.46M,,,,11.35B,120.73M,,11.23B,18.89B,0.00,30.28B,33.31B,,,,4.91M,4.91M,4.91M,,,4.91M,33.32M,454.46M,,454.46M,3.891M,3.891M,28.35B,68.29M,286.87M,1.262B,29.20B,29.37B,,0.051M,1.533B,1.093B,,50.28M,2.676B,,AOR,Restated
2014-03,3.723B,3.745B,12.84B,16.59B,110.33M,,110.33M,,17.03B,,,66.12M,,66.12M,,66.12M,,,,10.83B,123.54M,,10.71B,14.61B,23.00M,25.46B,29.71B,,,,4.81M,4.81M,4.81M,,,4.81M,31.11M,454.77M,,454.77M,,,25.48B,42.45M,159.00M,1.273B,26.16B,26.34B,,0.046M,1.482B,642.31M,,-30.39M,2.094B,,AOR,Restated
2013-12,1.350B,1.366B,11.99B,13.35B,83.54M,,83.54M,,13.81B,,192.80M,,40.85M,233.66M,-166.17M,67.48M,,,,10.91B,142.89M,,10.76B,13.58B,68.24M,24.49B,26.42B,,,,5.08M,5.08M,5.08M,,,5.08M,29.98M,455.22M,,455.22M,,,22.47B,117.13M,104.74M,1.113B,23.18B,23.34B,,0.046M,1.391B,624.26M,,-48.76M,1.966B,,AOR,Restated
2013-09,1.770B,1.775B,10.21B,11.98B,108.08M,,108.08M,,12.45B,,,65.38M,,65.38M,,65.38M,,,,9.825B,124.73M,,9.700B,11.64B,13.69M,21.45B,23.74B,,,,5.58M,5.58M,5.58M,,,5.58M,28.46M,455.74M,,455.74M,,,20.00B,86.73M,105.26M,978.72M,20.67B,20.82B,,0.046M,1.332B,607.46M,,5.443M,1.945B,,AOR,Restated
2013-06,709.88M,742.65M,10.04B,10.79B,86.27M,,86.27M,,11.17B,,,65.64M,,65.64M,,65.64M,,,,9.622B,119.57M,,9.503B,11.30B,55.62M,20.93B,22.15B,,,,5.40M,5.40M,5.40M,,,5.40M,25.65M,455.94M,,455.94M,,,18.69B,54.55M,114.42M,824.14M,19.34B,19.48B,,0.045M,1.264B,593.33M,,-9.771M,1.848B,,AOR,Restated
2013-03,1.145B,1.181B,10.91B,12.09B,79.10M,,79.10M,0.23M,12.69B,,,65.71M,,65.71M,,65.71M,,,,8.845B,112.20M,,8.733B,12.12B,,20.98B,22.80B,,,,7.46M,7.46M,7.46M,,,7.46M,24.30M,457.19M,,457.19M,15.61M,15.61M,19.31B,31.83M,138.05M,779.84M,19.98B,20.13B,,0.045M,1.216B,570.79M,,95.62M,1.882B,,AOR,Restated
2012-12,752.06M,875.63M,11.34B,12.22B,79.82M,,79.82M,,12.57B,,167.99M,,36.91M,204.90M,-138.36M,66.54M,,,,8.947B,110.65M,,8.836B,12.53B,0.00,21.50B,22.77B,,,,6.11M,6.11M,6.11M,,,166.11M,22.30M,457.76M,,457.76M,25.58M,25.58M,19.18B,94.21M,71.30M,774.68M,19.85B,20.16B,,0.045M,1.175B,547.08M,,108.55M,1.831B,,AOR,Restated
2012-09,,678.24M,112.16M,790.40M,77.91M,,77.91M,1.88M,1.119B,,,,,,,68.27M,,,,8.192B,101.52M,,8.091B,12.32B,,20.53B,21.58B,,,,508.17M,508.17M,508.17M,,,508.17M,,458.31M,,458.31M,,,17.73B,,,770.42M,18.18B,19.02B,,0.045M,1.124B,538.45M,,122.01M,1.785B,,AOR,Restated
2012-06,,1.412B,,1.412B,88.51M,16.74M,105.25M,3.711M,1.627B,,,,,,,64.77M,,,,7.790B,98.17M,,7.692B,11.75B,,19.62B,21.29B,,,,5.88M,5.88M,5.88M,,,5.88M,,458.23M,,458.23M,,,18.07B,,,728.96M,18.53B,18.85B,,0.044M,1.082B,529.11M,,104.08M,1.715B,,AOR,Restated
2012-03,,850.62M,,850.62M,94.78M,,94.78M,6.364M,1.046B,,,,,,,59.32M,,,,7.121B,100.92M,,7.020B,12.55B,,19.73B,20.82B,,,,849.38M,849.38M,849.38M,,,849.38M,,601.84M,,601.84M,,,16.72B,,,703.21M,17.32B,18.48B,,0.044M,1.035B,515.61M,,89.31M,1.639B,,AOR,Restated
2011-12,852.01M,939.40M,10.54B,11.48B,107.18M,,107.18M,8.776M,11.95B,,142.44M,,32.60M,175.04M,-118.57M,56.47M,,,,6.970B,89.95M,,6.880B,11.54B,,18.51B,19.97B,,,,0.00,0.00,0.00,,,0.00,21.81M,603.65M,,603.65M,7.975M,7.975M,16.71B,114.47M,169.60M,681.00M,17.63B,17.72B,,0.044M,999.73M,484.22M,,85.40M,1.569B,,AOR,Restated
2011-09,,1.742B,,1.742B,265.24M,,265.24M,,2.307B,,,,,,,53.46M,,,,6.329B,85.25M,,6.243B,10.59B,,16.89B,19.20B,,,,0.00,0.00,0.00,,,0.00,,609.56M,,609.56M,,,16.14B,,,656.23M,16.75B,17.00B,,0.043M,964.16M,472.44M,,99.45M,1.536B,,AOR,Restated
2011-06,,2.100B,,2.100B,399.47M,,399.47M,,2.965B,,,,,,,49.45M,,,,5.979B,82.16M,,5.896B,10.46B,,16.40B,19.37B,,,,0.00,0.00,0.00,,,0.00,,609.60M,,609.60M,,,16.28B,,,579.16M,16.89B,17.35B,,0.043M,926.59M,462.88M,,47.38M,1.437B,,AOR,Restated
2011-03,,2.074B,,2.074B,354.03M,,354.03M,,2.704B,,,,,,,46.16M,,,,5.651B,82.05M,,5.569B,10.30B,,15.91B,18.62B,,,,35.42M,35.42M,35.42M,,,35.42M,,1.205B,,1.205B,,,15.33B,,,533.46M,16.54B,16.77B,,0.043M,860.84M,443.45M,,9.24M,1.314B,,AOR,Restated
2010-12,,3.003B,12.99M,3.016B,58.14M,,58.14M,17.53M,3.267B,,112.83M,,31.03M,143.85M,-99.31M,44.54M,,,,5.522B,82.63M,,5.439B,8.652B,41.87M,14.19B,17.53B,,79.07M,79.07M,37.24M,37.24M,37.24M,0.00,0.00,116.31M,,1.209B,,1.209B,,,14.34B,,10.27M,473.93M,15.56B,15.78B,,0.042M,827.83M,422.33M,,24.14M,1.274B,,AOR,Restated
2010-09,,3.387B,,3.387B,395.68M,,395.68M,,4.174B,,,,,,,41.92M,,,,4.859B,74.37M,,4.785B,6.659B,,11.49B,15.66B,,,,59.74M,59.74M,59.74M,,,59.74M,,1.226B,,1.226B,,,12.41B,,,427.68M,13.64B,13.96B,,0.042M,810.38M,410.59M,,47.60M,1.269B,,AOR,Restated
2010-06,,4.147B,,4.147B,342.55M,,342.55M,,4.533B,,,,,,,38.12M,,,,4.450B,71.79M,,4.378B,5.955B,,10.37B,14.90B,,45.42M,45.42M,44.74M,44.74M,44.74M,,,90.15M,,869.81M,,869.81M,,,12.14B,,11.83M,389.85M,13.02B,13.28B,,0.042M,772.59M,404.52M,,59.95M,1.237B,,AOR,Restated
2010-03,,4.614B,,4.614B,322.52M,,322.52M,,5.014B,,,,,,,34.97M,,,,4.205B,68.27M,,4.137B,4.939B,,9.111B,14.13B,,,,39.90M,39.90M,39.90M,,,39.90M,,859.71M,,859.71M,,,11.51B,,,375.68M,12.37B,12.58B,,0.042M,751.47M,398.51M,,23.46M,1.173B,,AOR,Restated
2009-12,,3.455B,,3.455B,329.45M,,329.45M,,3.842B,,93.15M,,26.40M,119.56M,-87.82M,31.74M,,,,4.548B,72.45M,,4.476B,4.492B,,8.999B,12.84B,,,,38.76M,38.76M,38.76M,,,38.76M,,856.65M,,856.65M,,,10.33B,,,345.77M,11.19B,11.37B,,0.041M,732.91M,389.49M,,5.905M,1.128B,,AOR,Restated
2009-09,,4.062B,,4.062B,336.67M,,336.67M,,4.447B,,,,,,,30.72M,0.00,,0.00,4.656B,86.71M,,4.569B,3.491B,,8.091B,12.54B,,,,52.28M,52.28M,52.28M,,,52.28M,,866.75M,,866.75M,,,10.06B,,,325.40M,10.92B,11.15B,,223.04M,726.46M,92.37M,223.01M,25.51M,1.067B,,AOR,Restated
2009-06,,3.247B,,3.247B,354.16M,,354.16M,,4.064B,,,,,,,30.20M,0.00,,0.00,4.844B,110.47M,,4.734B,2.638B,,7.402B,11.47B,,,,31.34M,31.34M,31.34M,,,31.34M,,909.64M,,909.64M,,,8.995B,,,305.99M,9.904B,10.14B,,222.42M,705.85M,86.48M,222.39M,4.47M,1.019B,,AOR,Restated
2009-03,,3.362B,,3.362B,355.21M,,355.21M,,4.004B,,,,,,,29.34M,0.00,,0.00,5.003B,110.01M,,4.893B,2.032B,,6.955B,10.96B,,,,56.45M,56.45M,56.45M,,,56.45M,,964.18M,,964.18M,,,8.482B,,,300.27M,9.446B,9.666B,,221.82M,701.71M,71.76M,221.78M,-3.162M,992.12M,,AOR,Restated
2008-12,,1.958B,,1.958B,361.92M,,361.92M,,2.799B,69.56M,9.153M,,25.89M,104.60M,-74.02M,30.59M,4.092M,,4.092M,5.506B,107.40M,,5.399B,1.786B,,7.220B,10.02B,,,,62.12M,62.12M,62.12M,,,62.12M,,995.42M,,995.42M,,,7.473B,,,320.36M,8.469B,8.707B,,221.22M,709.73M,66.20M,221.18M,-5.789M,991.36M,,AOR,Restated
2008-09,,373.51M,,373.51M,277.12M,,277.12M,,1.030B,,,,,,,32.34M,,,4.092M,5.285B,60.29M,,5.225B,1.780B,,7.041B,8.071B,,,,425.00M,425.00M,425.00M,,,425.00M,,981.95M,,981.95M,,,5.433B,,,325.00M,6.415B,7.015B,,0.033M,725.74M,23.82M,,-18.93M,730.65M,,,
2008-06,,305.14M,,305.14M,271.32M,,271.32M,,902.18M,,,,,,,34.79M,,,4.092M,4.634B,52.89M,,4.581B,1.788B,,6.408B,7.310B,,,,330.00M,330.00M,330.00M,,,330.00M,,975.88M,,975.88M,,,4.864B,,,291.38M,5.839B,6.333B,,0.032M,698.73M,,,-13.63M,685.13M,,,Restated
2008-03,,303.97M,,303.97M,262.21M,,262.21M,,938.34M,,,,,,,36.72M,,,4.092M,4.349B,49.64M,,4.300B,1.619B,,5.959B,6.897B,,,,120.00M,120.00M,120.00M,,,120.00M,,893.19M,,893.19M,,,4.769B,,,272.73M,5.662B,5.949B,,0.032M,678.08M,,,-2.954M,675.16M,,,Restated
2007-12,,325.40M,,325.40M,258.66M,,258.66M,,942.72M,63.25M,9.289M,,32.62M,105.15M,-66.52M,38.63M,4.092M,,4.092M,4.152B,47.29M,,4.104B,1.603B,,5.750B,6.692B,,,,90.00M,90.00M,90.00M,,,90.00M,,875.25M,,875.25M,,,4.611B,,,240.10M,5.486B,5.776B,,0.033M,682.91M,0.00,,-6.29M,676.65M,,,Restated
2007-09,,356.74M,,356.74M,256.20M,,256.20M,,915.32M,,,,,,,39.02M,,,4.092M,3.818B,44.22M,,3.774B,1.572B,,5.389B,6.304B,,,,370.00M,370.00M,370.00M,,,370.00M,,855.37M,,855.37M,,,3.973B,,,236.13M,4.829B,5.395B,,0.033M,687.35M,,,-14.75M,672.63M,,,
2007-06,,350.30M,,350.30M,241.63M,,241.63M,,1.248B,,,,,,,40.03M,,,4.092M,3.762B,43.35M,,3.719B,1.594B,,5.357B,6.605B,,,,305.00M,305.00M,305.00M,,,305.00M,,838.12M,,838.12M,,,4.406B,,,217.17M,5.245B,5.719B,,0.034M,690.35M,3.851M,,-25.32M,668.91M,,,
2007-03,,309.93M,,309.93M,248.14M,,248.14M,,813.02M,,,,,,,37.87M,,,21.30M,3.358B,40.26M,,3.318B,1.658B,,5.035B,5.848B,,,,583.90M,583.90M,583.90M,,,583.90M,,353.15M,,353.15M,,,3.875B,,,194.99M,4.228B,4.999B,,0.034M,668.49M,,,-15.06M,653.46M,,,
2006-12,,393.28M,,393.28M,258.27M,,258.27M,,890.85M,,,,,,,37.31M,,,21.30M,3.482B,42.75M,,3.440B,1.692B,,5.191B,6.081B,,,,200.00M,200.00M,200.00M,,,683.54M,,352.46M,,352.46M,,,4.058B,,,166.02M,4.410B,5.287B,,0.034M,641.53M,4.873M,,-17.92M,628.51M,,,
2006-09,,305.13M,,305.13M,208.66M,,208.66M,,809.16M,,,,,,,36.24M,,,21.24M,3.320B,39.55M,,3.280B,1.726B,,5.064B,5.873B,,,,2.669M,2.669M,2.669M,,,812.44M,,199.42M,,199.42M,,,3.974B,,,156.69M,4.174B,5.121B,,0.034M,614.96M,,,-19.22M,595.78M,,,
2006-06,,321.33M,,321.33M,206.74M,,206.74M,,751.01M,,,,,,,31.33M,,,17.20M,2.951B,37.91M,,2.913B,1.759B,,4.721B,5.472B,,,,,,,,,533.81M,,197.85M,,197.85M,,,3.913B,,,153.03M,4.111B,4.750B,,0.035M,596.13M,8.876M,,-36.92M,568.12M,,,
2006-03,,293.02M,,293.02M,167.38M,,167.38M,,717.38M,,,,,,,26.92M,,,35.64M,2.758B,35.98M,,2.722B,1.944B,,4.729B,5.446B,,,,2.574M,2.574M,2.574M,,,292.18M,,197.37M,,197.37M,,,4.149B,,,138.36M,4.346B,4.722B,,0.035M,609.76M,7.812M,,-31.49M,586.12M,,,
2005-12,,286.45M,,286.45M,175.04M,,175.04M,,637.14M,,,,,,,25.10M,,,35.64M,2.843B,36.78M,,2.807B,2.037B,,4.905B,5.542B,,,,0.011M,0.011M,0.011M,,,279.48M,,195.83M,,195.83M,,,4.253B,,,119.46M,4.449B,4.853B,,0.035M,587.71M,8.439M,,-26.89M,569.30M,,,
2005-09,,241.26M,,241.26M,132.03M,,132.03M,,550.72M,,,,,,,23.15M,,,35.64M,2.639B,34.86M,,2.604B,2.156B,,4.818B,5.369B,,,,2.396M,2.396M,2.396M,,,121.56M,,196.23M,,196.23M,,,4.292B,,,109.32M,4.488B,4.714B,,0.035M,562.07M,6.028M,,-22.28M,545.85M,,,
2005-06,,259.82M,,259.82M,126.55M,,126.55M,,664.80M,,,,,,,18.78M,,,35.64M,2.424B,36.37M,,2.388B,2.201B,,4.643B,5.308B,,,,11.42M,11.42M,11.42M,,,11.42M,,197.50M,,197.50M,,,4.373B,,,98.08M,4.571B,4.677B,,0.035M,539.04M,5.263M,,-11.40M,532.93M,,,
