,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-09,27.32M,,27.32M,111.65M,426.68M,10.34M,548.67M,701.60M,1.341B,,,,,,,,,,,135.09M,279.89M,,5.956B,7.297B,,70.43M,83.15M,,153.58M,24.55M,178.13M,2.653M,180.78M,2.132B,2.132B,,42.99M,231.43M,2.363B,2.544B,,3.561M,-488.33M,5.195B,,0.00,4.710B,,AOR,Restated
2017-06,76.33M,,76.33M,110.40M,423.95M,9.274M,543.62M,1.051B,1.885B,,,,,,,,,,,132.82M,263.36M,,5.433B,7.318B,,73.75M,65.55M,,139.30M,13.94M,153.24M,9.089M,162.33M,2.280B,2.280B,,49.31M,211.65M,2.492B,2.654B,,3.557M,-585.59M,5.196B,,0.00,4.614B,,AOR,Restated
2017-03,13.39M,,13.39M,135.17M,,5.001M,140.17M,266.72M,501.84M,,,,,,,,,,,192.71M,338.73M,,6.457B,6.959B,,67.00M,69.82M,,136.83M,28.86M,165.69M,2.708M,168.40M,3.080B,3.080B,,30.68M,211.97M,3.292B,3.461B,,3.556M,-1.728B,5.191B,,0.426M,3.467B,,AOR,Restated
2016-12,12.64M,,12.64M,98.39M,25.46M,6.159M,130.01M,205.60M,1.673B,,,,,,,,,78.59M,78.59M,197.81M,180.15M,,5.099B,6.772B,,44.25M,59.11M,,103.36M,23.63M,127.00M,56.29M,183.29M,2.908B,2.908B,,27.48M,186.95M,3.095B,3.279B,,3.548M,-1.730B,5.192B,,0.682M,3.466B,,AOR,Restated
2016-09,110.21M,,110.21M,144.77M,,8.528M,153.30M,244.75M,526.45M,,,,,,,,,,,261.45M,335.11M,,6.336B,6.862B,,51.34M,93.72M,,145.06M,71.92M,216.98M,0.238M,217.21M,2.991B,2.991B,,27.28M,144.89M,3.136B,3.353B,,3.546M,-1.710B,5.187B,,0.938M,3.482B,,AOR,Restated
2016-06,91.70M,,91.70M,141.54M,,13.44M,154.97M,225.00M,475.14M,,,,,,,,,,,289.30M,345.47M,,6.390B,6.865B,,46.10M,78.12M,,124.22M,66.18M,190.39M,0.645M,191.04M,3.198B,3.198B,,25.82M,136.00M,3.334B,3.525B,,3.503M,-1.759B,5.068B,,1.216M,3.314B,,AOR,Restated
2016-03,15.64M,,15.64M,138.67M,,16.62M,155.29M,380.40M,615.50M,,,,,,,,,,,277.87M,339.87M,,6.281B,6.897B,,55.12M,71.20M,,126.32M,62.24M,188.56M,1.388M,189.95M,3.381B,3.381B,,24.69M,135.84M,3.517B,3.707B,,3.459M,-1.805B,4.965B,,1.511M,3.165B,,AOR,Restated
2015-12,22.53M,,22.53M,135.63M,,16.46M,152.09M,416.05M,636.47M,,,,,,,,,151.00M,151.00M,268.39M,195.37M,,6.259B,6.896B,,54.92M,71.62M,,126.54M,96.27M,222.81M,0.972M,223.78M,3.320B,3.320B,,22.87M,146.79M,3.467B,3.691B,,3.453M,-1.785B,4.962B,,1.806M,3.182B,,AOR,Restated
2015-09,175.87M,,175.87M,137.62M,,24.82M,162.45M,425.30M,772.54M,,,,,,,,,,,276.93M,390.08M,,6.367B,7.140B,,66.71M,91.25M,,157.96M,73.82M,231.78M,0.225M,232.00M,3.446B,3.446B,,24.18M,150.44M,3.596B,3.828B,,3.453M,-1.677B,4.959B,,2.066M,3.287B,,AOR,Restated
2015-06,20.25M,,20.25M,133.90M,,14.53M,148.43M,472.18M,713.25M,,,,,,,,,,,284.74M,402.58M,,6.401B,7.115B,,63.40M,73.56M,,136.95M,79.23M,216.18M,3.742M,219.92M,3.461B,3.461B,,27.40M,142.01M,3.603B,3.823B,,3.451M,-1.695B,4.953B,,2.34M,3.264B,,AOR,Restated
2015-03,17.81M,,17.81M,139.60M,,44.86M,184.46M,243.61M,1.286B,,,,,,,,,,,341.91M,411.29M,,6.445B,7.731B,,46.72M,70.13M,,116.85M,73.40M,190.25M,65.10M,255.36M,4.444B,4.444B,,20.48M,136.60M,4.581B,4.836B,,3.45M,-2.085B,4.952B,,2.739M,2.874B,,AOR,Restated
2014-12,17.92M,,17.92M,135.82M,,36.22M,172.05M,209.86M,1.125B,,,,,,,,,191.38M,191.38M,293.65M,234.99M,,6.630B,7.755B,,69.47M,76.31M,,145.78M,117.74M,263.52M,59.09M,322.61M,4.413B,4.413B,,19.56M,139.71M,4.552B,4.875B,,3.441M,-2.091B,4.945B,,3.026M,2.860B,,AOR,Restated
2014-09,66.13M,,66.13M,163.62M,,30.45M,194.07M,222.69M,518.30M,,,,,,,,,,,316.02M,469.76M,,7.366B,7.884B,,93.08M,103.57M,,196.65M,79.44M,276.09M,0.705M,276.80M,4.209B,4.209B,,27.00M,169.64M,4.378B,4.655B,,336.21M,-2.029B,4.892B,332.79M,3.313M,3.202B,,AOR,Restated
2014-06,21.22M,,21.22M,162.59M,,37.71M,200.30M,243.77M,495.08M,,,,,,,,,,,334.47M,482.46M,,7.367B,7.863B,,101.79M,84.63M,,186.43M,118.57M,305.00M,0.538M,305.54M,4.134B,4.134B,,26.97M,171.22M,4.305B,4.611B,,432.31M,-2.032B,4.821B,428.93M,3.60M,3.225B,,AOR,Restated
2014-03,19.47M,,19.47M,161.05M,,27.83M,188.88M,204.86M,448.04M,,,,,,,,,,,336.06M,491.27M,,7.319B,7.767B,,72.70M,77.17M,,149.86M,88.59M,238.45M,0.179M,238.63M,4.323B,4.323B,,30.95M,188.86M,4.512B,4.751B,,432.21M,-2.100B,4.650B,428.93M,3.832M,2.986B,,AOR,Restated
2013-12,19.28M,,19.28M,144.42M,,19.21M,163.63M,217.79M,458.16M,,,,,,,,,236.69M,236.69M,342.95M,266.54M,,7.294B,7.753B,,69.38M,74.70M,,144.08M,120.32M,264.40M,2.075M,266.47M,4.254B,4.254B,,31.39M,187.14M,4.442B,4.708B,,450.95M,-2.063B,4.621B,447.68M,4.119M,3.013B,,AOR,Restated
2013-09,24.11M,,24.11M,144.65M,,28.65M,173.30M,209.62M,464.82M,,,,,,,,,,,328.66M,536.05M,,7.422B,7.887B,,78.38M,104.14M,,182.52M,77.01M,259.53M,2.919M,262.44M,4.435B,4.435B,,33.30M,176.24M,4.611B,4.874B,,450.94M,-2.076B,4.601B,447.68M,3.78M,2.980B,,AOR,Restated
2013-06,21.40M,,21.40M,145.13M,,30.20M,175.34M,176.48M,430.27M,,,,,,,,,,,327.70M,562.51M,,7.454B,7.884B,,87.73M,86.53M,,174.26M,103.25M,277.51M,0.749M,278.26M,4.397B,4.397B,,34.10M,166.40M,4.563B,4.841B,,450.92M,-2.014B,4.568B,447.68M,3.95M,3.008B,,AOR,Restated
2013-03,307.17M,,307.17M,142.63M,,27.46M,170.10M,169.70M,752.47M,,,,,,,,,,,331.04M,521.56M,,7.050B,7.802B,,81.04M,78.52M,,159.57M,74.68M,234.25M,1.973M,236.22M,4.394B,4.394B,,34.00M,166.90M,4.561B,4.798B,,450.90M,-2.020B,4.537B,447.68M,3.228M,2.971B,,AOR,Restated
2012-12,33.89M,,33.89M,142.59M,,39.75M,182.34M,167.07M,414.24M,,,,,,,,,267.31M,267.31M,372.26M,270.60M,,7.146B,7.560B,,84.68M,74.56M,,159.24M,163.93M,323.18M,0.807M,323.98M,4.446B,4.446B,,34.70M,163.83M,4.610B,4.934B,,628.43M,-1.993B,3.953B,625.64M,2.691M,2.591B,,AOR,Restated
2012-09,113.15M,,113.15M,29.74M,,158.70M,183.17M,,296.32M,0.00,1.852B,5.016B,367.22M,219.93M,7.456B,-1.247B,6.209B,,,0.00,507.68M,176.89M,6.894B,7.190B,,80.93M,102.65M,,183.58M,78.33M,261.91M,,261.91M,4.140B,4.140B,,36.14M,163.02M,4.303B,4.565B,,628.37M,-1.913B,3.871B,625.64M,2.177M,2.589B,,AOR,Restated
2012-06,106.56M,,106.56M,19.62M,,151.79M,164.84M,,271.41M,0.00,1.856B,4.926B,,165.89M,6.948B,-1.199B,5.749B,,,379.73M,501.31M,166.82M,6.797B,7.068B,,60.93M,85.78M,,146.71M,97.01M,243.72M,0.379M,244.10M,4.037B,4.037B,,38.64M,167.97M,4.205B,4.449B,,628.31M,-1.833B,3.784B,625.64M,1.767M,2.581B,,AOR,Restated
2012-03,14.74M,,14.74M,24.04M,,151.37M,168.42M,,183.16M,0.00,1.832B,4.868B,361.82M,80.31M,7.143B,-1.151B,5.991B,,,19.40M,509.62M,168.88M,6.689B,6.872B,,51.31M,76.26M,,127.57M,62.73M,190.30M,0.643M,190.95M,3.817B,3.817B,,33.84M,179.12M,3.996B,4.187B,,628.30M,-1.758B,3.780B,625.64M,1.506M,2.652B,,AOR,Restated
2011-12,213.81M,,213.81M,128.16M,,40.25M,168.40M,170.73M,608.52M,,,,,,,,,,,364.86M,503.15M,,6.396B,7.004B,,55.78M,69.27M,,125.05M,119.08M,244.12M,0.975M,245.10M,3.810B,3.810B,,64.97M,170.09M,3.980B,4.225B,,796.44M,-1.677B,3.595B,793.91M,0.987M,2.715B,,AOR,Restated
2011-09,16.18M,,16.18M,21.68M,,192.66M,206.84M,,223.02M,0.00,1.930B,5.602B,,41.49M,7.573B,-1.414B,6.159B,,,390.66M,537.04M,194.52M,7.282B,7.505B,,66.79M,123.52M,,190.31M,78.45M,268.76M,129.08M,397.84M,4.272B,4.272B,,65.11M,59.55M,4.332B,4.730B,,796.44M,-1.678B,3.591B,793.91M,0.493M,2.710B,,AOR,Restated
2011-06,117.64M,,117.64M,24.74M,,192.36M,209.18M,,326.82M,0.00,1.894B,5.526B,365.32M,70.42M,7.856B,-1.382B,6.474B,,,0.00,539.40M,186.94M,7.200B,7.527B,,67.76M,102.70M,,170.45M,100.61M,271.06M,,271.06M,4.112B,4.112B,,69.31M,189.73M,4.301B,4.572B,,905.07M,-1.603B,3.583B,902.54M,0.056M,2.885B,,AOR,Restated
2011-03,167.12M,,167.12M,27.17M,,177.19M,196.84M,,363.96M,0.00,1.856B,5.454B,360.36M,93.43M,7.763B,-1.335B,6.429B,,,0.00,544.90M,189.80M,7.164B,7.527B,,69.37M,88.78M,,158.15M,70.60M,228.75M,,228.75M,4.072B,4.072B,,71.66M,201.39M,4.273B,4.502B,,905.07M,-1.530B,3.580B,902.54M,-0.661M,2.954B,,AOR,Restated
2010-12,18.38M,,18.38M,22.59M,,139.85M,155.18M,,173.56M,0.00,1.792B,5.396B,,61.20M,7.249B,-1.290B,5.959B,,,761.73M,564.25M,185.84M,7.471B,7.644B,,44.78M,83.62M,,128.40M,123.86M,252.25M,,252.25M,4.207B,4.207B,,44.29M,180.31M,4.402B,4.654B,,907.06M,-1.534B,3.574B,904.54M,-1.432M,2.946B,,AOR,Restated
2010-09,20.85M,,20.85M,26.04M,,158.22M,184.26M,,205.10M,0.00,1.860B,5.681B,357.22M,86.93M,7.984B,-1.394B,6.590B,,,,546.73M,217.97M,7.355B,7.560B,,38.20M,126.70M,,164.90M,83.70M,248.60M,,248.60M,4.116B,4.116B,,44.94M,171.33M,4.287B,4.536B,,909.80M,-1.500B,3.571B,907.28M,-2.184M,2.979B,,AOR,Restated
2010-06,256.26M,,256.26M,19.38M,,192.48M,211.86M,,468.12M,0.00,1.747B,5.215B,518.16M,79.97M,7.560B,-1.358B,6.202B,,,,404.44M,226.85M,6.834B,7.302B,,73.16M,90.05M,,163.21M,95.41M,258.62M,,258.62M,3.735B,3.735B,,41.43M,227.23M,3.962B,4.220B,,963.47M,-1.490B,3.569B,960.96M,-2.888M,3.040B,,AOR,Restated
2010-03,31.00M,,31.00M,20.80M,,174.12M,194.92M,,225.92M,0.00,1.752B,5.202B,516.36M,88.48M,7.559B,-1.314B,6.246B,,,,412.00M,208.83M,6.866B,7.092B,,58.57M,80.99M,,139.55M,64.34M,203.90M,,203.90M,3.740B,3.740B,,40.76M,230.85M,3.971B,4.175B,,1.019B,-1.409B,3.272B,1.017B,-4.906M,2.876B,,AOR,Restated
2009-12,147.32M,,147.32M,20.60M,,150.69M,171.29M,,318.62M,0.00,1.767B,5.284B,501.12M,103.30M,7.655B,-1.312B,6.344B,,,0.00,425.78M,216.36M,6.986B,7.304B,,43.15M,84.35M,,127.49M,111.73M,239.22M,,239.22M,3.854B,3.854B,,42.52M,243.16M,4.097B,4.336B,,1.019B,-1.355B,3.267B,1.017B,-5.63M,2.925B,,AOR,Restated
2009-09,155.91M,,155.91M,23.88M,,165.21M,189.09M,,345.00M,0.00,1.796B,5.303B,483.88M,144.75M,7.727B,-1.275B,6.453B,,,,428.78M,212.46M,7.094B,7.439B,,66.79M,114.53M,,181.32M,76.52M,257.84M,,257.84M,3.933B,3.933B,,43.35M,240.57M,4.173B,4.431B,,1.019B,-1.313B,3.265B,1.017B,-6.44M,2.965B,,AOR,Restated
2009-06,26.70M,,26.70M,22.16M,,196.30M,218.45M,,245.15M,0.00,1.936B,5.343B,486.94M,168.10M,7.934B,-1.252B,6.682B,,,,432.40M,236.23M,7.350B,7.595B,,96.63M,91.58M,,188.21M,79.25M,267.46M,,267.46M,3.738B,3.738B,,55.81M,213.09M,3.951B,4.218B,,1.019B,-953.22M,3.263B,1.017B,-7.149M,3.321B,,AOR,Restated
2009-03,22.17M,,22.17M,23.68M,,197.16M,220.84M,,243.01M,0.00,1.897B,5.181B,691.27M,199.90M,7.970B,-1.203B,6.766B,,,,415.13M,251.80M,7.433B,7.676B,,100.36M,80.76M,,181.12M,66.19M,247.31M,,247.31M,4.333B,4.333B,,58.72M,204.10M,4.537B,4.784B,,1.018B,-882.36M,2.706B,1.017B,-8.036M,2.833B,,AOR,Restated
2008-12,22.53M,,22.53M,27.97M,,198.32M,226.28M,,248.82M,0.00,1.881B,5.206B,,159.33M,7.247B,-1.167B,6.080B,,,711.63M,416.53M,234.20M,7.442B,7.691B,,,,,105.23M,179.54M,284.77M,,284.77M,4.298B,4.298B,,,207.77M,4.584B,4.869B,,1.018B,-855.54M,2.668B,1.017B,-8.652M,2.822B,,AOR,Restated
2008-09,3.47M,,3.47M,22.68M,,121.47M,144.15M,,147.62M,0.00,1.894B,5.070B,700.64M,193.21M,7.858B,-1.121B,6.737B,,,,421.54M,,7.158B,7.843B,,,,,125.16M,184.05M,309.20M,,309.20M,4.400B,4.400B,,71.82M,,4.400B,4.886B,,1.045B,-804.74M,2.653B,1.044B,-7.902M,2.885B,,AOR,Restated
2008-06,17.70M,,17.70M,23.49M,,208.57M,232.07M,,249.77M,0.00,1.834B,4.937B,664.88M,353.46M,7.789B,-1.074B,6.715B,,,,429.10M,,7.144B,7.833B,,,,,139.11M,166.60M,305.71M,,305.71M,4.347B,4.347B,,74.89M,,4.347B,4.823B,,1.045B,-746.20M,2.644B,1.044B,-8.472M,2.935B,,AOR,Restated
2008-03,15.53M,,15.53M,26.67M,,187.37M,214.04M,250.90M,480.47M,,,,,,7.735B,-1.030B,6.705B,,,144.08M,,,6.849B,7.760B,,129.63M,,,129.63M,142.33M,271.96M,,271.96M,4.262B,4.262B,,76.62M,,4.262B,4.704B,,1.045B,-693.19M,2.637B,1.044B,-9.719M,2.980B,,AOR,Restated
2007-12,48.01M,,48.01M,29.01M,,177.66M,206.67M,,254.68M,0.00,1.785B,4.600B,,412.73M,6.798B,-951.38M,5.847B,,,875.39M,430.62M,254.70M,7.407B,7.662B,,,,,142.66M,177.65M,320.30M,,320.30M,4.316B,4.316B,,,211.39M,4.592B,4.912B,,745.46M,-626.76M,2.633B,744.00M,-1.279M,2.750B,,AOR,Restated
2007-09,18.42M,551.19M,569.62M,22.48M,,170.73M,193.22M,,762.83M,,,,,,7.109B,-928.02M,6.181B,,,,,,6.181B,7.417B,,140.68M,,,140.68M,172.58M,313.25M,,313.25M,4.166B,4.166B,,90.52M,,4.166B,4.679B,,877.64M,-615.20M,2.379B,876.25M,6.053M,2.647B,,AOR,Restated
2007-06,45.46M,,45.46M,19.92M,,156.32M,176.24M,,221.70M,,,,,,6.968B,-883.60M,6.085B,,,,,,6.085B,7.303B,,126.40M,70.63M,,197.03M,90.28M,287.31M,,287.31M,4.079B,4.079B,,114.58M,,4.079B,4.574B,,877.62M,-602.38M,2.323B,876.25M,16.78M,2.615B,,AOR,Restated
2007-03,9.492M,,9.492M,26.53M,,131.92M,158.44M,,167.94M,,,,,,6.838B,-907.10M,5.931B,,,,,,5.931B,7.272B,,54.85M,63.88M,,118.74M,136.67M,255.40M,,255.40M,3.969B,3.969B,,116.72M,,3.969B,4.527B,,877.62M,-574.20M,2.320B,876.25M,5.703M,2.629B,,AOR,Restated
2006-12,68.48M,,68.48M,24.12M,,145.97M,170.09M,,238.57M,,,,,,6.782B,-867.08M,5.914B,,,,,,5.914B,7.239B,,77.23M,59.28M,,136.51M,174.60M,311.11M,,311.11M,3.962B,3.962B,,156.85M,,3.962B,4.578B,,877.59M,-575.83M,2.196B,876.25M,5.435M,2.504B,,AOR,
2006-09,25.00M,,25.00M,21.76M,,146.44M,168.20M,164.73M,357.93M,,,,,,6.613B,-860.50M,5.753B,,,,,,5.753B,7.274B,,0.082M,78.26M,14.99M,93.32M,31.98M,125.30M,,125.30M,4.076B,4.076B,158.06M,172.23M,,4.234B,4.503B,,877.60M,-561.64M,2.278B,876.25M,4.84M,2.598B,,AOR,Restated
2006-06,7.039M,,7.039M,18.87M,,148.58M,167.45M,,174.49M,,,,,,6.342B,-833.61M,5.509B,,,,,,5.509B,7.014B,,0.19M,72.61M,50.72M,123.52M,37.95M,161.47M,,161.47M,3.834B,3.834B,150.09M,170.64M,,3.984B,4.230B,,877.60M,-558.96M,2.275B,876.25M,20.50M,2.614B,,AOR,Restated
2006-03,0.00,,0.00,22.02M,,151.00M,173.02M,,173.02M,,,,,,6.224B,-783.35M,5.440B,,,,,,5.440B,6.704B,,5.571M,66.43M,62.01M,134.01M,25.58M,159.59M,,159.59M,3.622B,3.622B,130.30M,177.53M,,3.752B,4.000B,,767.60M,-517.17M,2.267B,766.25M,9.805M,2.527B,,AOR,Restated
2005-12,26.73M,,26.73M,31.34M,,114.64M,145.98M,,172.72M,,,,,,5.789B,-754.74M,5.034B,,,,,,5.034B,5.648B,,0.781M,60.88M,31.47M,93.14M,148.78M,241.92M,,241.92M,2.601B,2.601B,,182.57M,,2.601B,3.012B,,658.60M,-464.88M,2.266B,657.25M,-7.118M,2.453B,,AOR,
2005-09,124.87M,,124.87M,19.74M,,164.34M,184.08M,,308.95M,,,,,,5.646B,-726.57M,4.920B,,,,,,4.920B,5.657B,,0.651M,,99.86M,100.51M,143.02M,243.53M,,243.53M,2.219B,2.219B,,201.72M,,2.219B,2.629B,,658.66M,-286.27M,2.466B,657.25M,-11.75M,2.827B,,AOR,Restated
2005-06,6.487M,,6.487M,14.13M,,172.12M,186.25M,,192.73M,,,,,,6.451B,-856.04M,5.595B,,,,,,5.595B,6.204B,,1.272M,67.36M,39.82M,108.46M,35.94M,144.40M,,144.40M,2.876B,2.876B,142.76M,188.38M,,3.018B,3.256B,,658.68M,-432.16M,2.558B,657.25M,-25.23M,2.759B,,AOR,Restated
2005-03,3.679M,,3.679M,16.68M,,164.76M,181.43M,,185.11M,,,,,,6.226B,-825.90M,5.401B,,,,,,5.401B,5.946B,,0.559M,60.40M,42.54M,103.50M,23.80M,127.29M,,127.29M,2.624B,2.624B,118.86M,190.86M,,2.743B,2.955B,,658.68M,-405.70M,2.556B,657.25M,-8.226M,2.800B,,AOR,Restated
2004-12,5.589M,,5.589M,17.13M,,148.84M,165.97M,,171.56M,,,,,,6.168B,-788.90M,5.379B,,,,,,5.379B,5.897B,,0.526M,55.75M,31.21M,87.48M,36.53M,124.01M,,124.01M,2.519B,2.519B,143.09M,195.11M,,2.662B,2.876B,,658.68M,-364.72M,2.538B,657.25M,-6.547M,2.826B,,AOR,
2004-09,0.00,,0.00,15.37M,,137.74M,153.11M,,153.11M,,,,,,6.142B,-764.74M,5.377B,,,,,,5.377B,5.882B,,6.904M,78.18M,50.22M,135.31M,25.90M,161.21M,,161.21M,2.660B,2.660B,145.23M,200.02M,,2.805B,3.028B,,458.68M,-339.56M,2.535B,457.25M,0.132M,2.654B,,AOR,Restated
2004-06,10.79M,,10.79M,13.75M,,136.18M,149.93M,,160.72M,,,,,,5.961B,-741.63M,5.220B,,,,,,5.220B,5.735B,,1.042M,60.82M,33.12M,94.98M,34.61M,129.59M,,129.59M,2.530B,2.530B,133.26M,201.94M,,2.663B,2.869B,,458.67M,-315.96M,2.524B,457.25M,-2.465M,2.664B,,AOR,Restated
2004-03,11.90M,,11.90M,16.43M,,118.89M,135.32M,,147.22M,,,,,,5.843B,-709.92M,5.133B,,,,,,5.133B,5.626B,,1.275M,59.89M,31.18M,92.34M,24.67M,117.02M,,117.02M,2.403B,2.403B,121.22M,205.81M,,2.524B,2.728B,,458.67M,-285.32M,2.520B,457.25M,-0.118M,2.693B,,AOR,Restated
2003-12,,,,,,,,,,,,,,,,,,,,,,,,5.561B,,,,,,,,,,,,,,,,2.894B,,,,,,,2.667B,,AOR,Restated
2003-09,0.931M,,0.931M,17.73M,,116.44M,134.16M,,135.10M,,,,,,5.810B,-657.31M,5.153B,,,,,,5.153B,5.555B,,1.85M,72.44M,42.38M,116.67M,22.47M,139.14M,,139.14M,2.257B,2.257B,138.94M,294.39M,,2.395B,2.601B,,542.16M,-242.06M,2.359B,540.80M,0.00,2.659B,,AOR,Restated
2003-06,11.67M,,11.67M,16.78M,,91.46M,108.23M,,119.90M,,,,,,5.681B,-623.63M,5.057B,,,,,,5.057B,5.431B,,1.315M,60.70M,19.05M,81.07M,32.30M,113.36M,,113.36M,2.235B,2.235B,133.51M,298.51M,,2.368B,2.567B,,442.18M,-210.31M,2.344B,440.83M,-9.852M,2.566B,,AOR,Restated
