,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2015-09,1.471B,1.471B,1.142B,328.30M,,112.70M,3.10M,0.00,21.70M,-21.70M,,112.70M,215.60M,21.70M,-21.70M,3.80M,-21.70M,197.70M,69.90M,127.80M,,0.00,,127.80M,125.80M,307.10M,87.70M,219.40M,,1.31,,,1.289,1.31,,1.31,,,1.289,1.31,,96.50M,96.60M,0.55,,AOR,Restated
2015-06,1.454B,1.454B,1.137B,317.70M,,115.90M,-6.30M,0.00,22.20M,-22.20M,,115.90M,201.80M,22.20M,-22.20M,-4.20M,-22.20M,175.40M,61.40M,114.00M,,,,114.00M,118.10M,284.40M,86.80M,197.60M,,1.16,,,1.202,1.16,,1.16,,,1.202,1.16,,96.80M,96.90M,0.55,,AOR,Restated
2015-03,1.426B,1.426B,1.149B,277.00M,,117.30M,-5.20M,-3.60M,19.20M,-19.20M,,113.70M,163.30M,19.20M,-19.20M,-6.20M,-19.20M,137.90M,47.10M,90.80M,,,,90.80M,94.22M,250.50M,93.40M,157.10M,,0.92,,,0.9552,0.92,,0.92,,,0.9552,0.92,,97.10M,97.20M,0.55,,AOR,Restated
2014-12,1.434B,1.434B,1.137B,297.00M,,110.50M,-12.80M,0.00,23.10M,-23.10M,,110.50M,186.50M,23.10M,-23.10M,-13.30M,-23.10M,150.10M,51.60M,98.50M,,,,98.50M,106.90M,258.30M,85.10M,173.20M,,1.00,,,1.086,1.00,,1.00,,,1.086,1.00,,97.30M,97.40M,0.40,,AOR,Restated
2014-09,1.519B,1.519B,1.199B,320.30M,,119.60M,-10.20M,0.00,23.10M,-23.10M,,119.60M,200.70M,23.10M,-23.10M,-12.30M,-23.10M,165.30M,60.90M,104.40M,,,,104.40M,110.85M,295.80M,107.40M,188.40M,,1.06,,,1.126,1.06,,1.06,,,1.126,1.06,,97.10M,97.20M,0.40,,AOR,Restated
2014-06,1.468B,1.468B,1.158B,310.80M,,122.90M,-8.00M,0.00,21.40M,-21.40M,,122.90M,187.90M,21.40M,-21.40M,-7.70M,-21.40M,158.80M,59.20M,99.60M,,,,99.60M,104.62M,283.30M,103.10M,180.20M,,1.01,,,1.062,1.01,,1.01,,,1.062,1.01,,96.90M,96.90M,0.40,,AOR,Restated
2014-03,1.431B,1.431B,1.130B,301.40M,,116.50M,-24.10M,0.00,20.80M,-20.80M,,116.50M,184.90M,20.80M,-20.80M,-24.00M,-20.80M,140.10M,50.00M,90.10M,,,,90.10M,105.60M,246.90M,86.00M,160.90M,,0.92,,,1.080,0.92,,0.92,,,1.080,0.92,,96.80M,96.80M,0.40,,AOR,Restated
2013-12,1.264B,1.264B,1.005B,259.40M,,99.99M,-36.80M,,27.97M,-27.97M,,99.99M,159.41M,27.97M,-27.97M,-36.49M,-27.97M,94.95M,-133.12M,228.07M,,,,228.07M,252.00M,203.41M,80.49M,122.92M,,2.35,,,2.597,2.35,,2.33,,,2.575,2.33,,96.79M,97.46M,0.40,,AOR,Restated
2013-09,845.44M,845.44M,617.84M,227.60M,,77.10M,-8.097M,,11.85M,-11.85M,,77.10M,150.50M,11.85M,-11.85M,-7.721M,-11.85M,130.93M,46.25M,84.68M,,,,84.68M,89.92M,191.22M,48.43M,142.78M,,0.88,,,0.9341,0.88,,0.87,,,0.9237,0.87,,96.76M,97.60M,0.40,,AOR,Restated
2013-06,800.23M,800.23M,604.98M,195.25M,,74.22M,-11.02M,,9.232M,-9.232M,,74.22M,121.02M,9.232M,-9.232M,-10.83M,-9.232M,100.96M,34.71M,66.25M,,,,66.25M,73.48M,154.88M,44.68M,110.20M,,0.69,,,0.7650,0.69,,0.68,,,0.7541,0.68,,96.43M,97.49M,0.40,,AOR,Restated
2013-03,755.21M,755.21M,569.96M,185.25M,,75.28M,-2.779M,,9.251M,-9.251M,,75.28M,109.96M,9.251M,-9.251M,-3.961M,-9.251M,96.75M,34.46M,62.29M,,,,62.29M,64.08M,150.30M,44.30M,106.00M,,0.65,,,0.6686,0.65,,0.64,,,0.6584,0.64,,96.42M,97.42M,0.3125,,AOR,Restated
2012-12,736.60M,736.60M,567.58M,169.02M,,72.85M,,0.00,9.371M,-9.371M,,72.85M,96.17M,9.371M,-9.371M,-3.614M,-9.371M,83.19M,25.78M,57.41M,,,,57.41M,57.41M,139.97M,47.41M,92.56M,,0.63,,,0.63,0.63,,0.63,,,0.63,0.63,,96.38M,97.44M,0.25,,AOR,Restated
2012-09,723.47M,723.47M,560.92M,162.55M,68.52M,68.52M,,,30.59M,-30.59M,,68.52M,94.03M,30.59M,-30.59M,-1.961M,-30.59M,61.48M,21.69M,39.79M,,,,39.79M,39.79M,134.98M,42.91M,92.07M,,0.41,,,0.41,0.41,,0.41,,,0.41,0.41,,96.36M,97.35M,0.25,,AOR,Restated
2012-06,712.47M,712.47M,554.36M,158.11M,70.60M,70.60M,,,13.26M,-13.26M,,70.60M,87.50M,13.26M,-13.26M,-3.646M,-13.26M,70.60M,25.45M,45.15M,,,,45.15M,45.15M,126.30M,42.44M,83.86M,,0.47,,,0.47,0.47,,0.46,,,0.46,0.46,,96.27M,97.41M,0.25,,AOR,Restated
2012-03,671.36M,671.36M,526.34M,145.02M,68.83M,68.83M,,-95.50M,9.683M,-9.683M,,-26.67M,171.69M,9.683M,-9.683M,-2.579M,-9.683M,159.43M,141.58M,17.84M,,,,17.84M,17.84M,211.75M,42.64M,169.11M,,0.18,,,0.18,0.18,,0.18,,,0.18,0.18,,96.60M,97.73M,0.25,,AOR,Restated
2011-12,654.31M,654.31M,520.07M,134.23M,,65.16M,-12.73M,,9.294M,-9.294M,,55.70M,78.53M,9.294M,-9.294M,,-9.294M,58.51M,19.05M,39.46M,,,,39.46M,48.05M,109.61M,41.81M,67.81M,,0.40,,,0.4882,0.40,,0.40,,,0.4872,0.40,,97.29M,98.41M,0.20,,AOR,Restated
2011-09,670.82M,670.82M,533.08M,137.75M,,65.34M,,,6.727M,-6.727M,1.229M,66.57M,71.18M,6.727M,-6.727M,,-6.727M,64.45M,22.68M,41.78M,,,,41.78M,41.78M,112.28M,41.10M,71.18M,,0.42,0.00,,0.42,0.42,,0.42,0.00,,0.42,0.42,,99.02M,100.03M,0.20,,AOR,Restated
2011-06,665.48M,665.48M,528.58M,136.90M,,64.54M,,,6.321M,-6.321M,4.498M,69.04M,67.86M,6.321M,-6.321M,,-6.321M,61.54M,22.17M,39.37M,,,,39.37M,39.37M,108.50M,40.64M,67.86M,,0.39,0.00,,0.39,0.39,,0.39,0.00,,0.39,0.39,,100.09M,101.13M,0.20,,AOR,Restated
2011-03,629.50M,629.50M,496.36M,133.14M,,63.50M,0.00,,,-6.903M,3.733M,67.24M,65.90M,,-6.903M,,-6.903M,59.00M,21.58M,37.42M,,,,37.42M,37.42M,105.20M,39.30M,65.90M,,0.37,0.00,,0.37,0.37,,0.37,0.00,,0.37,0.37,,100.74M,101.91M,0.20,,AOR,Restated
2010-12,626.65M,626.65M,479.37M,147.28M,,60.90M,,-16.37M,,-7.559M,,30.96M,116.33M,,-7.559M,,-7.559M,88.80M,33.91M,54.89M,,,,54.89M,54.89M,135.89M,39.53M,96.36M,,0.54,,,0.54,0.54,,0.54,,,0.54,0.54,,100.98M,101.97M,0.15,,AOR,Restated
2010-09,642.76M,642.76M,476.31M,166.45M,,62.75M,,111.87M,,-7.903M,4.179M,178.79M,-12.34M,,-7.903M,,-7.903M,-20.24M,-113.56M,93.32M,,,,93.32M,93.32M,26.70M,39.04M,-12.34M,,0.92,0.00,,0.92,0.92,,0.91,0.00,,0.91,0.91,,101.78M,102.69M,0.15,,AOR,Restated
2010-06,615.46M,615.46M,483.79M,131.66M,,60.04M,0.00,,,-8.093M,3.88M,63.92M,67.75M,,-8.093M,,-8.093M,59.65M,21.62M,38.03M,,,,38.03M,38.03M,106.83M,39.09M,67.75M,,0.37,0.00,,0.37,0.37,,0.37,0.00,,0.37,0.37,,102.04M,102.89M,0.15,,AOR,Restated
2010-03,550.73M,550.73M,463.93M,86.80M,,56.91M,9.235M,,,-8.723M,5.511M,62.42M,24.38M,,-8.723M,9.235M,-8.723M,24.89M,5.699M,19.19M,,,,19.19M,12.07M,63.02M,38.64M,24.38M,,0.19,0.00,,0.1201,0.19,,0.19,0.00,,0.1208,0.19,,101.93M,102.88M,0.15,,AOR,Restated
2009-12,532.26M,532.26M,444.72M,87.54M,,55.62M,41.60M,,,-8.954M,2.72M,58.34M,29.19M,,-8.954M,41.60M,-8.954M,61.84M,3.162M,58.68M,,,,58.68M,19.21M,68.51M,39.32M,29.19M,,0.58,0.00,,0.1920,0.58,,0.57,0.00,,0.1853,0.57,,101.76M,102.61M,0.15,,AOR,Restated
2009-09,553.57M,553.57M,443.04M,110.53M,,57.45M,47.14M,,,-8.961M,3.892M,61.34M,49.19M,,-8.961M,47.14M,-8.961M,87.37M,14.72M,72.66M,,,,72.66M,33.46M,86.82M,37.62M,49.19M,,0.71,0.00,,0.3246,0.71,,0.71,0.00,,0.3277,0.71,,101.71M,102.54M,0.15,,AOR,Restated
2009-06,549.38M,549.38M,430.88M,118.50M,,58.21M,79.70M,,,-8.83M,4.265M,62.48M,56.02M,,-8.83M,79.70M,-8.83M,126.89M,18.01M,108.88M,,,,108.88M,40.50M,93.63M,37.61M,56.02M,,1.07,0.00,,0.3960,1.07,,1.07,0.00,,0.4006,1.07,,101.47M,102.16M,0.15,,AOR,Restated
2009-03,512.38M,512.38M,402.37M,110.01M,,56.74M,0.00,,,-8.738M,3.658M,60.40M,49.61M,,-8.738M,,-8.738M,40.87M,15.19M,25.68M,,,,25.68M,25.68M,86.27M,36.67M,49.61M,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,101.36M,102.14M,0.15,,AOR,Restated
2008-12,546.05M,546.05M,432.10M,113.95M,,57.91M,0.00,,,-9.098M,4.248M,62.16M,51.79M,,-9.098M,,-9.098M,42.69M,12.45M,30.24M,,,,30.24M,30.24M,89.59M,37.80M,51.79M,,0.30,0.00,,0.30,0.30,,0.30,0.00,,0.30,0.30,,101.57M,102.23M,0.30,,AOR,Restated
2008-09,620.78M,620.78M,488.73M,132.05M,,60.88M,0.00,,,-8.071M,2.469M,63.35M,68.70M,,-8.071M,,-8.071M,60.63M,22.53M,38.10M,,,,38.10M,38.10M,106.45M,37.74M,68.70M,,0.37,0.00,,0.37,0.37,,0.37,0.00,,0.37,0.37,,102.56M,103.59M,0.30,,,Restated
2008-06,616.18M,616.18M,488.99M,127.20M,,57.86M,0.00,,,-8.197M,5.166M,63.02M,64.17M,,-8.197M,,-8.197M,55.98M,20.78M,35.19M,,,,35.19M,35.19M,99.88M,35.71M,64.17M,,0.34,0.00,,0.34,0.34,,0.34,0.00,,0.34,0.34,,103.10M,103.89M,0.30,,,Restated
2008-03,577.47M,577.47M,459.31M,118.16M,,57.64M,,,,-6.303M,3.376M,61.02M,57.15M,,-6.303M,,-6.303M,50.84M,18.77M,32.07M,,,,32.07M,32.07M,93.66M,36.51M,57.15M,,0.31,0.00,,0.31,0.31,,0.31,0.00,,0.31,0.31,,103.79M,104.65M,0.30,,,Restated
2007-12,580.18M,580.18M,448.18M,131.99M,,57.28M,,,,,-0.331M,56.95M,75.04M,,,,,69.26M,25.27M,43.99M,,,,43.99M,43.99M,113.53M,38.49M,75.04M,,0.42,0.00,,0.42,0.42,,0.41,0.00,,0.41,0.41,,104.55M,105.54M,0.30,,,Restated
2007-09,591.04M,591.04M,451.48M,139.56M,,55.99M,-2.077M,,,,2.077M,58.07M,81.49M,,,-2.077M,,75.74M,27.09M,48.66M,,,,48.66M,49.99M,117.82M,36.33M,81.49M,,0.46,0.00,,0.4728,0.46,,0.46,0.00,,0.4726,0.46,,104.65M,105.60M,0.25,,,
2007-06,585.63M,585.63M,445.52M,140.11M,,57.57M,-2.317M,,,,2.297M,59.87M,80.24M,,,-2.317M,,73.30M,27.07M,46.23M,,,,46.23M,47.69M,116.53M,36.28M,80.24M,,0.44,0.00,,0.4540,0.44,,0.44,0.00,,0.4538,0.44,,104.57M,105.52M,0.25,,,
2007-03,559.16M,559.16M,446.17M,112.99M,,54.85M,-1.444M,,,,1.444M,56.29M,56.70M,,,-1.444M,,49.56M,18.37M,31.19M,,,,31.19M,32.10M,93.69M,36.99M,56.70M,,0.30,0.00,,0.3087,0.30,,0.30,0.00,,0.3086,0.30,,104.17M,105.06M,0.25,,,
2006-12,553.05M,553.05M,432.15M,120.90M,,53.68M,-0.943M,,,,0.943M,54.63M,66.27M,,,-0.943M,,59.18M,20.78M,38.40M,,,,38.40M,39.01M,104.50M,38.22M,66.27M,,0.37,0.00,,0.3759,0.37,,0.37,0.00,,0.3758,0.37,,103.94M,104.84M,0.25,,,
2006-09,575.04M,575.04M,440.56M,134.48M,,54.98M,-2.922M,,,,2.922M,57.90M,76.59M,,,-2.922M,,68.74M,25.12M,43.62M,,,,43.62M,45.47M,114.68M,38.09M,76.59M,,0.42,0.00,,0.4379,0.42,,0.42,0.00,,0.4377,0.42,,103.67M,104.58M,0.25,,,
2006-06,551.10M,551.10M,439.21M,111.88M,,51.88M,-2.449M,,,,2.449M,54.33M,57.55M,,,-2.449M,,49.34M,17.26M,32.08M,,,,32.08M,33.67M,95.89M,38.34M,57.55M,,0.31,0.00,,0.3254,0.31,,0.31,0.00,,0.3253,0.31,,103.42M,104.33M,0.25,,,
2006-03,507.86M,507.86M,431.24M,76.61M,,48.88M,-2.215M,,,,2.215M,51.10M,25.52M,,,-2.215M,,17.47M,6.531M,10.94M,,,,10.94M,12.32M,63.27M,37.76M,25.52M,,0.11,0.00,,0.1234,0.11,,0.10,0.00,,0.1133,0.10,,103.36M,104.24M,0.25,,,
2005-12,472.71M,472.71M,415.58M,57.13M,,46.57M,-2.545M,,,,2.545M,49.12M,8.012M,,,-2.545M,,1.072M,-0.587M,1.659M,,,,1.659M,3.186M,47.09M,39.08M,8.012M,,0.02,0.00,,0.0342,0.02,,0.02,0.00,,0.0342,0.02,,107.22M,107.87M,0.25,,,
2005-09,512.19M,512.19M,431.69M,80.50M,,50.37M,-3.828M,,,,3.828M,54.20M,26.30M,,,-3.828M,,19.22M,8.654M,10.57M,,,,10.57M,12.86M,68.05M,41.75M,26.30M,,0.10,0.00,,0.1213,0.10,,0.10,0.00,,0.1212,0.10,,107.67M,108.31M,0.25,,,
2005-06,519.32M,519.32M,423.41M,95.92M,,50.28M,8.64M,,,,-8.64M,41.64M,54.28M,,,8.64M,,47.20M,19.44M,27.76M,,,,27.76M,22.58M,93.93M,39.65M,54.28M,,0.26,0.00,,0.2117,0.26,,0.26,0.00,,0.2121,0.26,,107.42M,108.22M,0.25,,,
2005-03,489.44M,489.44M,416.17M,73.27M,,46.82M,1.089M,,,,,46.82M,26.44M,,,1.089M,,20.54M,7.919M,12.62M,,,,12.62M,11.95M,64.32M,37.87M,26.44M,,0.12,0.00,,0.1137,0.12,,0.12,0.00,,0.1138,0.12,,107.02M,108.05M,0.25,,,
2004-12,492.65M,492.65M,404.24M,88.41M,,47.84M,26.98M,,,,,24.24M,64.17M,,,26.98M,,60.34M,21.97M,38.37M,,,,38.37M,21.22M,104.98M,40.81M,64.17M,,0.36,0.00,,0.1994,0.36,,0.36,0.00,,0.2009,0.36,,106.82M,107.85M,0.15,,,
2004-09,498.75M,498.75M,400.77M,97.98M,,47.53M,-2.345M,,,,,47.53M,50.45M,,,-2.345M,,40.67M,16.07M,24.61M,,,,24.61M,26.03M,90.64M,40.20M,50.45M,,0.23,0.00,,0.2433,0.23,,0.23,0.00,,0.2432,0.23,,106.60M,107.76M,0.15,,,
2004-06,467.42M,467.42M,396.72M,70.70M,,42.91M,0.256M,,,,,42.91M,27.79M,,,0.256M,,20.50M,8.166M,12.33M,,,,12.33M,12.18M,67.43M,39.64M,27.79M,,0.12,0.00,,0.1185,0.12,,0.11,0.00,,0.1086,0.11,,106.16M,107.45M,0.15,,,
2004-03,431.27M,431.27M,390.64M,40.63M,,42.54M,-1.286M,,,,,42.54M,-1.912M,,,-1.286M,,-10.60M,-4.016M,-6.585M,,,,-6.585M,-5.786M,37.03M,38.95M,-1.912M,,-0.06,0.00,,-0.0525,-0.06,,-0.06,0.00,,-0.0525,-0.06,,105.84M,105.84M,0.15,,,
2003-12,431.20M,431.20M,362.39M,68.80M,,43.54M,-18.73M,,,,,70.69M,-1.887M,,,-18.73M,,-1.121M,-1.298M,0.177M,,,,0.177M,11.42M,38.43M,40.31M,-1.887M,,0.00,0.00,,0.1068,0.00,,0.00,0.00,,0.1068,0.00,,105.21M,105.21M,0.15,,,
2003-09,444.60M,444.60M,366.19M,78.41M,,46.24M,-2.644M,,,,,46.24M,32.17M,,,-2.644M,,-53.07M,-20.73M,-32.34M,,,,-32.34M,-30.72M,72.16M,39.99M,32.17M,,-0.31,0.00,,-0.2946,-0.31,,-0.31,0.00,,-0.2946,-0.31,,104.30M,104.30M,,,,
2003-06,436.47M,436.47M,357.54M,78.93M,,42.51M,-3.104M,,,,3.104M,45.61M,33.32M,,,-3.104M,,17.60M,6.925M,10.67M,,,,10.67M,12.56M,72.88M,39.56M,33.32M,,0.10,0.00,,0.1180,0.10,,0.10,0.00,,0.1177,0.10,,104.42M,106.22M,,,,
2003-03,423.27M,423.27M,351.10M,72.16M,,42.01M,-2.671M,,,,,42.01M,30.15M,,,-2.671M,,11.71M,4.587M,7.127M,,,,7.127M,8.752M,69.11M,38.96M,30.15M,,0.07,0.00,,0.0855,0.07,,0.07,0.00,,0.0853,0.07,,104.58M,106.43M,,,,
2002-12,418.19M,418.19M,338.28M,79.92M,,41.67M,-2.729M,,,,,49.74M,30.18M,,,-2.729M,,19.08M,6.72M,12.36M,,,,12.36M,14.13M,69.29M,39.12M,30.18M,,0.12,0.00,,0.1369,0.12,,0.12,0.00,,0.1366,0.12,,104.44M,106.41M,,,,
2002-09,455.57M,455.57M,368.95M,86.62M,,42.97M,-3.609M,,,,,42.97M,43.64M,,,-3.609M,,23.29M,8.688M,14.60M,,,,14.60M,16.86M,81.52M,37.88M,43.64M,,0.14,0.00,,0.1616,0.14,,0.14,0.00,,0.1612,0.14,,104.78M,106.86M,,,,
