,NetIncome,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2017-06,143.20M,,3.80M,3.80M,,,,93.70M,-8.30M,,,5.60M,4.50M,-22.00M,10.10M,-4.60M,17.60M,,,-22.10M,-21.00M,221.50M,,-81.60M,,-81.60M,,,-1.50M,-83.10M,,-2.00M,-2.00M,,,,-59.40M,-59.40M,,-10.00M,-71.40M,,254.00M,67.00M,321.00M,,,,-2.00M,,,AOR,Restated
2017-03,117.40M,,1.10M,1.10M,,,,92.50M,12.20M,,,4.60M,0.20M,-44.10M,-20.90M,-15.40M,-22.90M,,,39.40M,-63.90M,164.10M,,-57.80M,,-57.80M,,,,-57.80M,,-31.70M,-31.70M,,,,-59.40M,-59.40M,,-0.50M,-91.60M,,239.30M,14.70M,254.00M,,,,-31.70M,,,AOR,Restated
2016-12,110.70M,,3.00M,3.00M,,,,93.70M,-10.50M,,0.00,4.70M,-0.30M,32.40M,-29.80M,11.20M,-11.00M,,,9.30M,12.10M,213.40M,,-86.20M,,-86.20M,-99.80M,,-0.90M,-186.90M,,-6.80M,-6.80M,,0.00,0.00,-59.40M,-59.40M,,-0.80M,-67.00M,,279.80M,-40.50M,239.30M,,,0.00,-6.80M,0.00,,AOR,Restated
2016-09,119.30M,,-42.20M,-42.20M,,,,88.00M,5.20M,,0.00,4.70M,1.50M,-9.10M,-1.40M,16.30M,51.70M,,,-16.70M,40.80M,217.30M,,-66.30M,,-66.30M,-385.60M,,-3.10M,-455.00M,,358.10M,358.10M,,0.00,0.00,-51.80M,-51.80M,,-2.40M,303.90M,,213.60M,66.20M,279.80M,,,385.00M,-26.90M,0.00,,AOR,Restated
2016-06,115.90M,,2.30M,2.30M,,,,87.60M,-6.80M,,,4.70M,4.00M,-32.00M,21.20M,-13.60M,15.90M,,,-14.00M,-22.50M,185.20M,,-68.90M,,-68.90M,,,-3.30M,-72.20M,,-1.90M,-1.90M,,0.00,0.00,-51.80M,-51.80M,,-8.00M,-61.70M,,162.30M,51.30M,213.60M,,,,-1.90M,0.00,,AOR,Restated
2016-03,103.70M,,6.40M,6.40M,,,,88.70M,8.10M,,,5.60M,4.00M,5.10M,-15.70M,-13.90M,-43.20M,,,42.20M,-25.50M,191.00M,,-52.90M,,-52.90M,,,-2.60M,-55.50M,,-1.90M,-1.90M,,-100.30M,-100.30M,-53.10M,-53.10M,,-2.10M,-157.40M,,184.20M,-21.90M,162.30M,,,,-1.90M,-100.30M,,AOR,Restated
2015-12,104.20M,,7.20M,7.20M,,,,88.60M,0.50M,,,4.50M,-1.40M,47.00M,19.10M,20.90M,-43.90M,,,-20.10M,23.00M,226.60M,,-96.60M,,-96.60M,0.00,,1.30M,-95.30M,,-16.90M,-16.90M,,-56.60M,-56.60M,-53.50M,-53.50M,,-7.00M,-134.00M,,186.90M,-2.70M,184.20M,,,,-16.90M,-56.60M,,AOR,Restated
2015-09,127.80M,,8.40M,8.40M,,,,87.70M,-5.80M,,,4.60M,-10.30M,24.40M,-28.40M,8.00M,21.60M,,,-0.50M,25.10M,237.50M,,-76.00M,,-76.00M,0.00,,-2.90M,-78.90M,,-26.90M,-26.90M,,-54.80M,-54.80M,-53.80M,-53.80M,,0.10M,-135.40M,,163.70M,23.20M,186.90M,,,,-26.90M,-54.80M,,AOR,Restated
2015-06,114.00M,,7.90M,7.90M,,,,86.80M,-0.40M,,,4.90M,3.20M,-30.50M,19.60M,-20.30M,31.90M,,,-20.90M,-20.20M,196.20M,,-86.30M,,-86.30M,23.00M,,-3.00M,-66.30M,,-1.90M,-1.90M,,-35.70M,-35.70M,-54.10M,-54.10M,,-0.90M,-92.60M,,126.40M,37.30M,163.70M,,,,-1.90M,-35.70M,,AOR,Restated
2015-03,90.80M,,7.70M,7.70M,,,,93.40M,7.40M,,,4.20M,-3.50M,-31.40M,-22.20M,-4.50M,-62.40M,,,28.80M,-91.70M,108.30M,,-55.60M,,-55.60M,,,-2.00M,-57.60M,,-1.90M,-1.90M,,-7.60M,-7.60M,-39.40M,-39.40M,,-0.30M,-49.20M,,124.90M,1.50M,126.40M,,,,-1.90M,-7.60M,,AOR,Restated
2014-12,98.50M,,6.20M,11.10M,,,,85.10M,-14.80M,,,4.00M,3.70M,66.50M,-47.50M,22.80M,-37.80M,,,-12.20M,-8.20M,179.40M,,-165.30M,,-165.30M,-0.20M,,-2.00M,-167.50M,,-1.90M,-1.90M,,0.00,0.00,-39.40M,-39.40M,0.00,0.00,-41.30M,,154.30M,-29.40M,124.90M,,,0.00,-1.90M,0.00,,AOR,Restated
2014-09,104.50M,,6.50M,8.60M,,,,107.40M,-2.20M,,,4.00M,4.70M,-27.40M,-11.60M,-0.40M,24.90M,,,10.10M,-4.40M,222.60M,,-106.70M,,-106.70M,0.00,,-5.60M,-112.30M,,-75.20M,-75.20M,,0.00,0.00,-39.40M,-39.40M,0.00,-3.40M,-118.00M,,162.00M,-7.70M,154.30M,,,398.90M,-474.10M,0.00,,AOR,Restated
2014-06,99.50M,,6.50M,6.50M,,,,103.10M,4.00M,,,4.00M,-2.90M,-4.20M,-0.30M,-18.80M,-2.90M,,,-3.20M,-29.40M,184.80M,,-97.30M,,-97.30M,-20.30M,,-0.10M,-117.70M,,-50.20M,-50.20M,,0.00,0.00,-39.30M,-39.30M,0.40M,-1.70M,-90.80M,,185.70M,-23.70M,162.00M,,,,-50.20M,0.00,,AOR,Restated
2014-03,90.10M,,6.20M,6.20M,,,,86.00M,15.60M,,,3.60M,2.80M,-43.40M,-13.00M,-8.70M,-13.20M,,,23.30M,-55.00M,149.30M,,-50.90M,,-50.90M,,,-2.70M,-53.60M,,-66.30M,-66.30M,,0.00,0.00,-39.30M,-39.30M,3.30M,1.30M,-101.00M,,191.00M,-5.30M,185.70M,,,,-66.30M,0.00,,AOR,Restated
2013-12,228.07M,,7.90M,17.30M,,,,80.49M,-166.42M,,,4.844M,-5.651M,26.38M,29.63M,7.296M,-21.43M,,,-12.48M,29.40M,188.03M,,-103.99M,,-103.99M,-1.174B,,-0.391M,-1.279B,,935.27M,935.27M,,-0.001M,-0.001M,-39.22M,-39.22M,0.144M,-10.95M,885.25M,,396.60M,-205.60M,191.00M,,,1.998B,-1.063B,-0.001M,,AOR,Restated
2013-09,84.68M,,-17.42M,-17.42M,,,,48.43M,16.77M,,,3.182M,2.157M,5.298M,-4.706M,6.499M,12.46M,,,-20.22M,-0.666M,137.13M,,-49.52M,,-49.52M,0.00,,-0.147M,-49.67M,,-3.993M,-3.993M,,-2.65M,-2.65M,-39.22M,-39.22M,0.631M,-15.69M,-60.93M,,370.06M,26.54M,396.60M,,,0.00,-3.993M,-2.65M,,AOR,Restated
2013-06,66.25M,,17.90M,17.90M,,,,44.68M,58.53M,,,3.137M,-0.476M,-23.34M,4.246M,-11.83M,28.17M,,,,-2.755M,187.27M,,-53.62M,,-53.62M,0.00,,-0.278M,-53.89M,,-3.989M,-3.989M,,-1.809M,-1.809M,-30.66M,-30.66M,0.418M,4.681M,-31.36M,,268.04M,102.02M,370.06M,,,,-3.989M,-1.809M,,AOR,Restated
2013-03,62.29M,,10.12M,10.12M,,,,44.30M,7.125M,,,3.637M,2.97M,-39.54M,-4.168M,-3.863M,12.90M,,,,-34.68M,95.77M,,-27.28M,,-27.28M,,,-1.684M,-28.96M,,-3.985M,-3.985M,,-3.34M,-3.34M,0.00,0.00,1.707M,-0.545M,-6.163M,,207.39M,60.64M,268.04M,,,,-3.985M,-3.34M,,AOR,Restated
2012-12,57.41M,2.632M,9.475M,12.11M,,,,47.41M,3.44M,-1.574M,,3.223M,-0.758M,27.53M,-2.183M,7.787M,-2.402M,,,,31.13M,152.39M,,-34.10M,-0.025M,-34.13M,-0.007M,,0.182M,-33.95M,,-4.042M,-4.042M,,-3.676M,-3.676M,-49.02M,-49.02M,3.779M,1.035M,-51.93M,,140.91M,66.51M,207.40M,,,-0.044M,-3.998M,-3.676M,,AOR,Restated
2012-09,39.79M,0.996M,-14.68M,7.612M,,,,42.91M,30.00M,-0.998M,,2.746M,-2.824M,-26.15M,-2.152M,6.597M,4.23M,,,,-17.47M,101.77M,,-25.07M,0.005M,-25.07M,0.00,,0.42M,-24.65M,,-425.27M,-425.27M,,-8.219M,-8.219M,-24.48M,-24.48M,4.937M,1.703M,-451.33M,,515.12M,-374.22M,140.91M,,,0.00,-425.27M,-8.219M,,AOR,Restated
2012-06,45.15M,1.26M,1.485M,2.745M,,,,42.44M,43.74M,3.034M,,3.137M,0.128M,-5.255M,4.663M,-7.522M,-17.17M,,,,-25.28M,115.10M,,-34.51M,0.009M,-34.50M,0.138M,,57.20M,22.84M,,393.07M,393.07M,,-10.08M,-10.08M,-24.63M,-24.63M,0.963M,-66.16M,293.16M,,84.02M,431.10M,515.12M,,,397.04M,-3.974M,-10.08M,,AOR,Restated
2012-03,17.84M,2.412M,5.42M,7.832M,,,,42.64M,27.52M,-0.462M,,2.594M,0.254M,-21.12M,-6.728M,-7.662M,-27.76M,,,,-63.27M,34.94M,,-34.81M,0.011M,-34.80M,-35.53M,,-1.406M,-71.74M,,-3.955M,-3.955M,,-23.23M,-23.23M,-19.66M,-19.66M,10.22M,1.127M,-35.50M,,156.31M,-72.30M,84.02M,,,,-3.955M,-23.23M,,AOR,Restated
2011-12,,0.167M,3.107M,3.274M,,,,41.81M,5.97M,1.024M,,2.545M,-119.57M,22.43M,-6.987M,4.653M,-4.472M,,,,15.62M,108.70M,,-54.28M,-0.427M,-54.71M,-21.70M,,,-89.02M,,149.83M,149.83M,,-41.51M,-41.51M,-19.96M,-19.96M,0.146M,8.014M,96.52M,,40.12M,116.20M,156.31M,,,150.00M,-0.172M,-41.51M,,AOR,Restated
2011-09,,1.555M,2.619M,4.174M,,,,41.10M,7.198M,-0.351M,,2.487M,32.62M,-5.013M,-16.88M,7.576M,-1.279M,,,,-15.60M,71.63M,,-74.25M,0.008M,-74.24M,-8.701M,,,-82.94M,,-0.168M,-0.168M,,-48.03M,-48.03M,-20.26M,-20.26M,0.535M,0.17M,-67.75M,,119.18M,-79.06M,40.12M,,,0.00,-0.168M,-48.03M,,AOR,Restated
2011-06,,2.06M,,2.06M,,,,40.64M,3.419M,-0.349M,,2.954M,39.28M,-18.70M,8.309M,-9.309M,32.94M,,,,13.23M,101.23M,,-84.90M,0.13M,-84.77M,-26.94M,,,-111.72M,,-0.167M,-0.167M,,-26.30M,-26.30M,-20.44M,-20.44M,3.13M,0.428M,-43.35M,,173.01M,-53.83M,119.18M,,,0.00,-0.167M,-26.30M,,AOR,Restated
2011-03,,3.355M,,3.355M,,,,39.30M,10.76M,-0.324M,,1.75M,42.91M,-15.66M,7.226M,-3.536M,-21.83M,,,,-33.80M,63.95M,,-66.78M,0.289M,-66.49M,0.00,,,-66.49M,,-0.163M,-0.163M,,-9.185M,-9.185M,-15.35M,-15.35M,3.205M,0.489M,-21.00M,,196.56M,-23.54M,173.01M,,,,-0.163M,-9.185M,,AOR,Restated
2010-12,54.89M,4.231M,,15.37M,,,,39.53M,152.45M,-0.958M,,1.603M,-126.08M,41.84M,-15.02M,4.097M,-18.71M,,,-10.14M,2.075M,138.88M,,-89.27M,0.16M,-89.11M,0.00,,-0.508M,-89.62M,,-0.161M,-0.161M,,-14.10M,-14.10M,-15.43M,-15.43M,3.988M,0.184M,-25.52M,,172.82M,23.74M,196.56M,,,,-0.161M,-14.10M,,AOR,Restated
2010-09,93.32M,0.797M,,0.797M,,,,39.04M,-141.58M,-0.309M,,1.615M,124.60M,-26.34M,-18.86M,8.911M,48.61M,,,-30.57M,-18.24M,102.46M,,-73.87M,1.26M,-72.61M,0.00,,-2.119M,-74.72M,,-0.158M,-0.158M,,-21.69M,-21.69M,-15.46M,-15.46M,0.747M,0.133M,-36.42M,,181.51M,-8.691M,172.82M,,,,-0.158M,-21.69M,,AOR,Restated
2010-06,38.03M,1.027M,,1.027M,,,,39.09M,-10.16M,-0.308M,,2.552M,12.44M,-32.94M,7.764M,-3.088M,8.611M,,,34.27M,14.62M,94.08M,,-92.74M,0.038M,-92.70M,0.00,,,-92.70M,,-0.154M,-0.154M,,-3.111M,-3.111M,-15.46M,-15.46M,0.525M,0.735M,-17.46M,,197.60M,-16.09M,181.51M,,,,-0.154M,-3.111M,,AOR,Restated
2010-03,19.19M,2.81M,,2.81M,,,,38.64M,6.525M,-0.271M,,1.236M,-9.235M,-32.82M,-2.235M,-13.88M,-1.895M,,,6.432M,-44.40M,14.50M,,-64.32M,0.055M,-64.26M,,,,-64.26M,,-0.153M,-0.153M,,0.00,0.00,-15.45M,-15.45M,2.236M,,-13.37M,,260.73M,-63.13M,197.60M,,,,-0.153M,0.00,,AOR,Restated
2009-12,58.68M,2.015M,,2.015M,,,,39.32M,-9.479M,-0.269M,,1.24M,-21.43M,30.55M,-4.66M,-2.168M,1.051M,,,1.99M,26.76M,96.84M,,-47.70M,0.086M,-47.62M,0.00,,1.941M,-45.68M,,-0.149M,-0.149M,,0.00,0.00,-15.44M,-15.44M,1.117M,-0.249M,-14.72M,,224.29M,36.44M,260.73M,,,,-0.149M,0.00,,AOR,Restated
2009-09,72.66M,0.233M,,0.233M,,,,37.62M,-10.79M,-0.271M,,1.51M,-43.93M,-8.396M,-0.906M,16.40M,11.80M,,,-7.881M,11.02M,68.04M,,-18.31M,0.00,-18.31M,-3.136M,,-0.141M,-21.58M,,-0.148M,-0.148M,,0.00,0.00,-15.38M,-15.38M,0.317M,0.089M,-15.12M,,192.94M,31.34M,224.29M,,,,-0.148M,0.00,,AOR,Restated
2009-06,108.88M,1.98M,,1.98M,-36.93M,0.265M,-36.67M,37.61M,11.44M,-0.534M,,3.271M,-63.70M,-8.127M,-1.433M,-18.24M,15.52M,,,2.651M,-9.624M,90.57M,,-20.97M,0.017M,-20.96M,,,-1.80M,-22.76M,,-0.144M,-0.144M,,0.00,0.00,-15.36M,-15.36M,0.579M,0.033M,-14.89M,,140.02M,52.92M,192.94M,,,,-0.144M,0.00,,AOR,Restated
2009-03,25.68M,2.377M,,2.377M,36.93M,-0.265M,36.67M,36.67M,-4.985M,,,1.24M,1.24M,-0.423M,1.501M,-5.451M,-1.135M,,,-4.788M,-10.30M,50.68M,,-29.32M,0.011M,-29.31M,,,,-29.31M,,-0.165M,-0.165M,,,,-30.72M,-30.72M,0.014M,0.127M,-30.74M,,149.40M,-9.374M,140.02M,,,,-0.165M,,,AOR,Restated
2008-12,30.24M,0.239M,,0.239M,,,,37.80M,-1.911M,-0.266M,,1.254M,0.988M,51.00M,2.20M,7.125M,-48.88M,,,8.343M,19.78M,87.15M,,-34.70M,0.751M,-33.95M,0.00,,-0.195M,-34.15M,,-0.172M,-0.172M,,-20.33M,-20.33M,-31.10M,-31.10M,0.019M,0.013M,-51.57M,,147.97M,1.43M,149.40M,,,0.00,-0.172M,-20.33M,,AOR,Restated
2008-09,38.10M,1.23M,,1.23M,-73.28M,1.059M,-72.22M,37.74M,-8.893M,-1.456M,,3.63M,2.174M,-10.55M,-4.112M,6.01M,11.43M,,,-1.738M,1.036M,71.39M,,-29.97M,0.127M,-29.84M,0.00,,-3.072M,-32.91M,,-150.03M,-150.03M,,-8.498M,-8.498M,-31.16M,-31.16M,1.569M,0.006M,-188.11M,,297.60M,-149.64M,147.97M,,,0.00,-150.03M,-8.498M,,,Restated
2008-06,35.19M,2.332M,,2.332M,73.28M,-1.059M,72.22M,35.71M,-8.206M,0.567M,,1.919M,2.486M,-16.56M,-0.951M,-2.854M,19.48M,,,-0.404M,-1.297M,66.22M,,-33.76M,0.071M,-33.68M,,,1.346M,-32.34M,,-0.076M,-0.076M,,-16.46M,-16.46M,-31.27M,-31.27M,0.687M,0.473M,-46.64M,,310.37M,-12.76M,297.60M,,,0.00,-0.076M,-16.46M,,,Restated
2008-03,32.07M,2.024M,,2.024M,,,,36.51M,8.196M,-0.567M,,1.892M,1.325M,-2.858M,0.265M,-10.29M,-23.01M,,,0.33M,-35.56M,44.57M,,-34.54M,0.754M,-33.79M,,,-1.346M,-35.14M,,129.90M,129.90M,,-24.76M,-24.76M,-31.53M,-31.53M,0.135M,-0.944M,72.80M,,228.14M,82.22M,310.37M,,,149.94M,-20.04M,-24.76M,,,Restated
2007-12,43.99M,,,1.144M,-111.42M,1.816M,-109.60M,38.49M,-2.719M,,,,-0.491M,24.45M,-1.688M,4.082M,-2.525M,,12.82M,-0.22M,36.92M,117.34M,,-44.61M,0.04M,-44.57M,,,-0.259M,-43.83M,,,-0.039M,-12.86M,-22.74M,-35.60M,,-26.34M,,2.135M,-39.51M,,194.15M,34.00M,228.14M,,-12.86M,,,-22.74M,,,Restated
2007-09,48.66M,,,0.773M,36.94M,-0.606M,36.33M,36.33M,-1.965M,,,,1.995M,-11.25M,-4.022M,5.032M,1.658M,,-12.16M,-11.89M,-32.63M,53.16M,,-26.90M,0.852M,-26.04M,,,-0.065M,-26.11M,,,-10.04M,2.754M,-7.788M,-5.034M,,-26.31M,,0.406M,-40.98M,,208.08M,-13.93M,194.15M,,2.754M,,,-7.788M,,,
2007-06,46.23M,,,1.17M,36.89M,-0.605M,36.28M,36.28M,-10.66M,,,,3.138M,-13.83M,1.708M,-1.192M,7.821M,,30.84M,0.905M,26.26M,102.42M,,-21.12M,0.058M,-21.06M,,,-0.23M,-21.29M,,,-0.036M,4.594M,,4.594M,,-26.24M,,1.338M,-20.35M,,147.29M,60.78M,208.08M,,4.594M,,,,,,
2007-03,31.19M,,,1.043M,37.60M,-0.605M,36.99M,36.99M,4.318M,,,,1.767M,-12.10M,-4.492M,-8.214M,6.537M,,-31.51M,1.697M,-48.07M,27.24M,,-20.82M,0.168M,-20.65M,,,-1.305M,-21.96M,,,-0.036M,5.515M,,5.515M,,-26.15M,,0.854M,-19.82M,,161.84M,-14.54M,147.29M,,5.515M,,,,,,
2006-12,38.40M,,,0.451M,38.83M,-0.605M,38.22M,38.22M,-10.73M,,,,1.487M,14.50M,4.691M,5.279M,-6.66M,,10.82M,3.37M,32.00M,99.84M,,-32.86M,0.91M,-31.95M,-0.089M,,-0.553M,-32.59M,,,-0.036M,2.143M,,2.143M,,-26.11M,,0.355M,-23.64M,,118.23M,43.61M,161.84M,,2.143M,,,,,,
2006-09,43.62M,,,1.201M,38.70M,-0.606M,38.09M,38.09M,-7.395M,,,,1.683M,-13.96M,-6.298M,5.491M,-5.214M,,13.55M,-3.843M,-10.27M,66.92M,,-14.84M,1.66M,-13.18M,-0.058M,,-0.269M,-13.51M,,,-9.036M,3.78M,,3.78M,,-25.95M,,1.947M,-29.26M,,94.08M,24.15M,118.23M,,3.78M,,,,,,
2006-06,32.08M,,,1.155M,38.94M,-0.605M,38.34M,38.34M,-3.754M,,,,1.723M,-28.63M,-7.766M,-3.237M,13.10M,,34.80M,1.541M,9.807M,79.35M,,-23.22M,0.147M,-23.07M,-4.167M,,-0.646M,-27.89M,,,-0.016M,0.52M,,0.52M,,-25.95M,,0.201M,-25.24M,,67.86M,26.22M,94.08M,,0.52M,,,,,,
2006-03,10.94M,,,1.283M,38.36M,-0.605M,37.76M,37.76M,1.734M,,,,1.405M,-19.99M,5.847M,-7.17M,-9.003M,,-25.88M,3.594M,-52.60M,0.516M,,-17.30M,0.125M,-17.18M,,,-2.794M,-19.97M,,,-0.008M,1.311M,,1.311M,,-27.04M,,0.382M,-25.36M,,112.67M,-44.81M,67.86M,,1.311M,,,,,,
2005-12,1.659M,,,5.429M,40.34M,-1.259M,39.08M,39.08M,23.66M,,,,1.986M,14.76M,-4.183M,-23.57M,9.672M,,5.561M,,2.234M,74.05M,,-26.34M,0.027M,-26.31M,-0.593M,,0.136M,-26.77M,,,-0.008M,1.097M,,-92.01M,,-27.03M,,,-119.04M,,184.43M,-71.76M,112.67M,,1.097M,,,,,,
2005-09,10.57M,,,4.045M,40.02M,1.725M,41.75M,41.75M,-30.56M,,,,-5.218M,7.896M,-0.384M,43.51M,1.652M,,1.594M,,54.27M,74.85M,,-30.07M,0.173M,-29.90M,0.00,,-0.433M,-30.33M,,,-0.008M,1.406M,,1.406M,,-26.94M,,0.001M,-25.54M,,165.45M,18.98M,184.43M,,1.406M,,,,,,
2005-06,27.76M,,,-12.96M,40.26M,-0.606M,39.65M,39.65M,21.24M,,,,5.218M,-4.367M,-0.443M,-11.53M,-8.274M,,25.66M,-3.134M,-2.09M,78.82M,,-32.00M,0.006M,-31.99M,-48.08M,,11.56M,-68.51M,,,-0.077M,1.873M,,1.873M,,-26.85M,,-0.001M,-25.06M,,180.20M,-14.75M,165.45M,,1.873M,,,,,,
