,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2018-05,1.154B,56.39M,1.210B,268.68M,307.99M,,,576.67M,,16.99B,404.78M,17.39B,42.50M,,20.49B,,,,,,,,,3.665B,,3.665B,2.085B,,,,1.787B,7.864B,28.35B,990.83M,990.83M,990.83M,,,,359.74M,1.351B,11.30B,11.30B,,,107.56M,2.001B,13.30B,14.65B,33.32M,5.265B,8.458B,164.55M,-0.339M,13.59B
2018-02,1.030B,57.77M,1.087B,266.85M,368.03M,,,634.88M,,17.21B,366.67M,17.58B,54.63M,,20.17B,,,,,,,,,3.644B,,3.644B,2.045B,,,,1.687B,7.772B,27.94B,923.85M,923.85M,923.85M,,,,347.05M,1.271B,11.59B,11.59B,,,113.15M,1.905B,13.50B,14.77B,32.93M,4.968B,8.221B,161.38M,0.376M,13.06B
2017-11,2.651B,57.44M,2.708B,129.41M,313.25M,80.60M,,520.60M,,10.47B,393.27M,10.86B,43.21M,,15.31B,188.07M,,79.08M,,52.18M,319.34M,-104.27M,215.07M,196.40M,,196.40M,1.850B,,,,882.44M,3.438B,18.75B,754.67M,754.67M,754.67M,,,,380.72M,1.135B,7.973B,7.973B,,,113.82M,1.651B,9.624B,10.76B,24.31M,4.841B,3.142B,136.02M,1.034M,7.872B
2017-08,837.73M,57.78M,895.51M,158.10M,339.68M,,,497.78M,,10.54B,386.58M,10.92B,54.13M,,13.34B,,,,,,,,,200.11M,,200.11M,1.897B,,,,1.203B,3.604B,16.94B,653.01M,653.01M,653.01M,,,,381.68M,1.035B,6.861B,6.861B,,,105.20M,1.385B,8.245B,9.280B,23.84M,4.779B,2.886B,136.07M,1.251M,7.554B
2017-05,983.97M,56.00M,1.040B,562.66M,278.88M,,,841.54M,,10.29B,138.62M,10.43B,25.73M,,13.27B,,,,,,,,,196.47M,,196.47M,1.817B,,,,1.142B,3.487B,16.75B,615.90M,615.90M,615.90M,,,,133.55M,749.45M,7.342B,7.342B,,,114.44M,1.226B,8.568B,9.317B,23.71M,4.539B,2.868B,109.05M,1.086M,7.323B
2017-02,929.06M,55.84M,984.90M,354.71M,248.42M,,,603.13M,,10.31B,156.16M,10.47B,28.86M,,12.81B,,,,,,,,,203.14M,,203.14M,1.684B,,,,1.160B,3.418B,16.23B,579.36M,579.36M,579.36M,,,,153.44M,732.81M,6.965B,6.965B,,,149.72M,1.277B,8.242B,8.974B,23.71M,4.335B,2.856B,109.05M,0.663M,7.106B
2016-11,1.330B,53.57M,1.383B,330.74M,521.14M,39.79M,,891.56M,,9.058B,121.02M,9.179B,32.96M,,12.55B,151.46M,,68.58M,,40.51M,260.55M,-86.94M,173.61M,39.84M,,39.84M,1.519B,,,,692.73M,2.809B,15.36B,596.52M,596.52M,596.52M,,,,110.01M,706.52M,6.276B,6.276B,,,185.52M,1.168B,7.444B,8.150B,23.71M,4.306B,2.805B,108.96M,-0.309M,7.026B
2016-08,816.10M,51.54M,867.63M,78.99M,520.58M,,,599.57M,,9.529B,145.52M,9.674B,25.86M,,12.20B,,,,,,,,,39.84M,,39.84M,1.468B,,,,1.035B,2.802B,15.00B,554.53M,554.53M,554.53M,,,,120.29M,674.82M,6.410B,6.410B,,,217.37M,1.151B,7.561B,8.236B,23.04M,4.002B,2.628B,108.93M,1.123M,6.546B
2016-05,815.48M,49.08M,864.56M,45.00M,381.50M,,,426.50M,,9.515B,158.52M,9.674B,27.92M,,12.05B,,,,,,,,,39.44M,,39.44M,1.455B,,,,1.031B,2.793B,14.85B,525.74M,525.74M,525.74M,,,,131.67M,657.41M,6.714B,6.714B,,,244.57M,1.114B,7.827B,8.485B,22.17M,3.775B,2.429B,108.73M,0.515M,6.118B
2016-02,720.46M,45.18M,765.64M,61.23M,393.44M,,,454.67M,,9.348B,25.80M,9.374B,22.72M,,11.47B,,,,,,,,,39.44M,,39.44M,1.383B,,,,1.010B,2.727B,14.20B,500.20M,500.20M,500.20M,,,,23.86M,524.07M,6.568B,6.568B,,,273.34M,1.009B,7.578B,8.102B,21.72M,3.565B,2.342B,107.98M,-0.398M,5.820B
2015-11,1.158B,42.83M,1.201B,230.08M,407.63M,22.36M,,670.60M,,8.682B,64.36M,8.746B,42.53M,,11.82B,93.17M,,66.67M,,34.06M,193.91M,-78.35M,115.56M,38.85M,,38.85M,1.314B,,,,861.28M,2.599B,14.42B,538.85M,538.85M,538.85M,,,,55.44M,594.29M,6.655B,6.655B,,,301.13M,1.220B,7.875B,8.469B,21.36M,3.430B,2.306B,107.76M,0.039M,5.649B
2015-08,805.29M,42.70M,848.00M,584.74M,392.18M,,,976.92M,,8.894B,57.53M,8.952B,43.31M,,11.80B,0.719M,,,,,0.719M,,0.719M,38.85M,,38.85M,1.065B,,,,907.32M,2.366B,14.17B,491.80M,491.80M,491.80M,,,,48.46M,540.25M,6.854B,6.854B,,,314.68M,1.100B,7.954B,8.495B,21.26M,3.157B,2.290B,107.70M,-0.187M,5.360B
2015-05,920.16M,,920.16M,70.44M,401.68M,,,472.13M,,8.703B,56.76M,8.759B,42.20M,,11.30B,0.771M,,,,,0.771M,,0.771M,38.85M,,38.85M,1.091B,,,,1.050B,2.592B,13.90B,489.78M,489.78M,489.78M,,,,47.90M,537.68M,6.786B,6.786B,,,336.98M,1.096B,7.882B,8.420B,20.73M,2.942B,2.262B,85.54M,,5.139B
2015-02,818.43M,,818.43M,69.54M,230.35M,,,299.89M,,8.356B,55.75M,8.412B,38.36M,,10.64B,0.219M,,,,,0.219M,,0.219M,38.85M,,38.85M,1.082B,,,,997.76M,2.483B,13.12B,429.37M,429.37M,429.37M,,,,47.13M,476.50M,6.412B,6.412B,,,356.66M,923.46M,7.335B,7.812B,20.72M,2.767B,2.250B,85.41M,,4.952B
2014-11,1.282B,16.80M,1.299B,198.14M,287.98M,41.33M,,535.20M,,7.684B,57.96M,7.742B,65.43M,,10.49B,177.48M,,36.46M,,32.89M,246.84M,-87.93M,158.90M,38.85M,,38.85M,1.027B,,,,828.15M,2.430B,12.92B,460.79M,460.79M,460.79M,,,,49.04M,509.83M,5.982B,5.982B,,,424.28M,1.180B,7.162B,7.672B,20.72M,2.660B,2.240B,93.44M,0.13M,4.827B
2014-08,833.51M,,833.51M,83.42M,295.47M,,,378.89M,,7.669B,55.77M,7.724B,52.07M,,9.694B,,,,,,,,,38.85M,,38.85M,1.050B,,,,1.085B,2.596B,12.29B,383.60M,383.60M,383.60M,,,,47.51M,431.11M,5.798B,5.798B,,,456.66M,1.023B,6.821B,7.252B,20.72M,2.423B,2.223B,85.16M,,4.581B
2014-05,960.24M,,960.24M,208.93M,324.08M,,,533.00M,,7.333B,67.07M,7.400B,79.67M,,9.486B,,,,,,,,,38.85M,,38.85M,1.009B,,,,1.005B,2.509B,11.99B,342.49M,342.49M,342.49M,,,,57.22M,399.71M,5.727B,5.727B,,,491.96M,976.38M,6.704B,7.103B,20.61M,2.253B,2.199B,73.78M,,4.399B
2014-02,874.30M,,874.30M,130.40M,346.70M,,,477.10M,,6.750B,402.16M,7.152B,61.03M,,8.966B,,,,,,,,,34.05M,,34.05M,1.012B,,,,1.047B,2.560B,11.53B,305.25M,305.25M,305.25M,,,,339.83M,645.08M,5.466B,5.466B,,,441.00M,715.04M,6.181B,6.826B,21.78M,2.124B,2.731B,616.11M,,4.260B
2013-11,970.50M,,970.50M,144.51M,405.62M,14.55M,,569.38M,,6.141B,470.66M,6.612B,49.03M,,8.659B,205.71M,,29.83M,,29.68M,265.22M,-83.79M,181.42M,34.05M,,34.05M,1.007B,,,,875.08M,2.614B,11.27B,288.88M,288.88M,288.88M,,,,395.03M,683.91M,5.024B,5.024B,,,458.57M,937.53M,5.962B,6.646B,21.78M,2.054B,2.721B,628.02M,,4.169B
2013-08,571.77M,,571.77M,58.61M,452.37M,,,510.98M,,6.056B,472.75M,6.529B,106.58M,,8.308B,,,,,,,,,34.05M,,34.05M,959.80M,,,,1.274B,2.708B,11.02B,270.40M,270.40M,270.40M,,,,398.08M,668.48M,5.306B,5.306B,,,456.54M,870.46M,6.176B,6.845B,20.78M,1.898B,2.412B,615.89M,,3.714B
2013-05,891.68M,,891.68M,60.18M,516.94M,,,577.12M,,5.524B,306.14M,5.831B,59.77M,,7.740B,,,,,,,,,34.05M,,34.05M,919.43M,,,,1.323B,2.754B,10.49B,228.49M,228.49M,228.49M,,,,250.61M,479.10M,5.133B,5.133B,,,459.24M,837.25M,5.970B,6.449B,20.64M,1.785B,2.396B,615.78M,,3.586B
2013-02,1.242B,,1.242B,58.18M,577.79M,,,635.96M,,5.287B,325.47M,5.612B,25.31M,,7.850B,,,,,,,,,34.05M,,34.05M,770.29M,,,,1.231B,2.582B,10.43B,229.88M,229.88M,229.88M,,,,266.80M,496.68M,5.088B,5.088B,,,573.76M,777.99M,5.866B,6.363B,20.57M,1.655B,2.436B,615.70M,,3.496B
2012-11,1.311B,,1.311B,36.48M,608.76M,12.62M,,662.51M,,4.720B,326.86M,5.046B,244.88M,,7.767B,333.58M,,29.66M,,29.36M,392.60M,-78.99M,313.61M,34.05M,,34.05M,761.41M,,,,859.96M,2.595B,10.36B,220.69M,220.69M,220.69M,,,,268.16M,488.85M,5.064B,5.064B,,,586.44M,808.50M,5.872B,6.361B,20.54M,1.605B,2.422B,632.85M,,3.415B
2012-08,845.16M,,845.16M,,,,,177.57M,3.015B,1.693B,326.98M,5.036B,19.28M,185.98M,6.264B,,,,,,,,,34.05M,,34.05M,727.37M,496.80M,,,2.197B,3.455B,9.718B,169.86M,169.86M,169.86M,357.71M,357.71M,357.71M,268.21M,795.78M,4.266B,4.266B,,,586.66M,797.93M,5.064B,5.860B,20.42M,1.488B,2.379B,615.70M,,3.272B
2012-05,829.38M,,829.38M,,,,,170.11M,2.873B,1.560B,366.21M,4.799B,23.92M,138.66M,5.961B,,,,,,,,,34.05M,,34.05M,789.32M,578.38M,,,1.988B,3.390B,9.351B,154.66M,154.66M,154.66M,263.47M,263.47M,263.47M,302.85M,720.99M,4.065B,4.065B,,,602.53M,785.78M,4.850B,5.571B,20.27M,1.409B,2.364B,615.70M,,3.177B
2012-02,922.91M,,922.91M,,,,,154.62M,2.858B,1.430B,379.58M,4.668B,24.14M,111.22M,5.880B,,,,,,,,,34.05M,,34.05M,785.43M,649.79M,,,1.518B,2.987B,8.867B,170.22M,170.22M,170.22M,259.45M,259.45M,259.45M,317.14M,746.80M,4.068B,4.068B,,,600.46M,728.99M,4.797B,5.544B,20.25M,963.81M,2.354B,615.70M,,2.723B
2011-11,1.164B,,1.164B,29.03M,,18.07M,220.55M,274.52M,2.637B,1.335B,389.32M,4.361B,24.91M,219.39M,6.043B,0.00,,368.90M,,27.14M,396.04M,-76.80M,319.24M,34.05M,,34.05M,743.59M,713.35M,,,1.301B,3.112B,9.155B,201.10M,201.10M,201.10M,410.13M,410.13M,410.13M,326.20M,937.44M,4.128B,4.128B,,,607.06M,785.41M,4.914B,5.851B,20.21M,956.40M,2.341B,621.22M,,2.696B
2011-08,927.33M,,927.33M,,,,,152.13M,2.427B,1.438B,400.86M,4.265B,29.00M,189.67M,5.563B,,,,,,,,,34.05M,,34.05M,866.71M,793.01M,,,1.467B,3.161B,8.724B,196.79M,196.79M,196.79M,215.36M,215.36M,215.36M,336.71M,748.87M,3.894B,3.894B,,,609.80M,801.27M,4.695B,5.444B,20.04M,933.60M,2.332B,615.52M,,2.670B
2011-05,1.131B,,1.131B,,,,,157.55M,2.353B,1.523B,425.77M,4.302B,26.75M,159.61M,5.777B,,,,,,,,,34.05M,,34.05M,845.58M,938.79M,,,1.104B,2.922B,8.699B,168.40M,168.40M,168.40M,189.50M,189.50M,189.50M,358.39M,716.29M,3.857B,3.857B,,,607.40M,867.07M,4.724B,5.440B,20.03M,920.35M,2.327B,615.51M,,2.652B
2011-02,1.207B,,1.207B,,,,,121.93M,2.230B,1.630B,436.77M,4.297B,26.19M,125.56M,5.777B,,,,,,,,,34.05M,,34.05M,772.89M,1.026B,,,970.68M,2.803B,8.580B,147.05M,147.05M,147.05M,122.34M,122.34M,122.34M,367.09M,636.47M,3.881B,3.881B,,,592.61M,829.66M,4.711B,5.347B,20.03M,914.04M,2.322B,615.50M,,2.640B
2010-11,1.394B,,1.394B,38.25M,,40.17M,136.67M,218.87M,2.223B,1.491B,455.02M,4.170B,29.40M,101.31M,5.913B,0.00,,223.82M,,29.11M,252.92M,-57.86M,195.06M,34.05M,,34.05M,735.64M,1.219B,,,690.45M,2.875B,8.788B,168.01M,168.01M,168.01M,478.61M,478.61M,478.61M,384.23M,1.031B,3.674B,3.674B,,,585.43M,889.10M,4.563B,5.593B,20.00M,894.11M,2.310B,615.50M,,2.609B
2010-08,1.038B,,1.038B,191.39M,,,,203.11M,2.174B,1.636B,464.02M,4.274B,158.64M,62.86M,5.736B,,,,,,,,,34.05M,,34.05M,772.71M,1.134B,,,603.11M,2.543B,8.280B,200.02M,200.02M,200.02M,203.21M,203.21M,203.21M,393.05M,796.27M,3.482B,3.482B,,,566.66M,932.98M,4.415B,5.211B,19.83M,869.48M,2.228B,615.50M,,2.502B
2010-05,1.257B,,1.257B,162.74M,,,,174.51M,2.083B,1.604B,475.37M,4.162B,160.74M,33.72M,5.788B,,,,,,,,,34.05M,,34.05M,704.91M,1.192B,,,529.75M,2.461B,8.249B,173.51M,173.51M,173.51M,161.06M,161.06M,161.06M,404.56M,739.13M,3.519B,3.519B,,,555.04M,962.01M,4.481B,5.220B,19.83M,846.83M,2.223B,615.48M,,2.474B
2010-02,913.20M,,913.20M,153.06M,,,,394.72M,2.000B,1.606B,494.93M,4.101B,200.90M,,5.610B,,,,,,,,,34.05M,,34.05M,677.32M,1.217B,,,443.24M,2.372B,7.982B,174.02M,174.02M,174.02M,112.38M,112.38M,112.38M,424.21M,710.61M,3.310B,3.310B,,,543.17M,982.83M,4.293B,5.003B,19.82M,814.52M,2.216B,615.26M,,2.435B
2009-11,1.457B,,1.457B,77.94M,,44.11M,123.97M,580.45M,1.990B,1.503B,594.21M,4.088B,34.87M,,6.161B,0.00,,177.07M,,27.92M,204.99M,-52.95M,152.03M,34.05M,,34.05M,636.78M,0.00,,,331.18M,1.154B,7.315B,169.60M,169.60M,169.60M,217.56M,217.56M,217.56M,518.36M,905.51M,2.761B,2.761B,,,144.54M,1.060B,3.821B,4.727B,19.81M,828.42M,2.209B,613.69M,,2.443B
2009-08,1.483B,,1.483B,190.61M,,,,192.11M,2.064B,1.550B,608.11M,4.221B,41.42M,,5.938B,,,,,,,,,34.05M,,34.05M,674.46M,,,,441.79M,1.150B,7.088B,216.24M,216.24M,216.24M,144.60M,144.60M,144.60M,532.04M,892.89M,2.666B,2.666B,,,171.39M,952.30M,3.618B,4.511B,19.65M,800.18M,2.199B,613.25M,,2.406B
2009-05,1.579B,,1.579B,235.44M,,,,236.43M,1.995B,1.727B,620.65M,4.342B,46.97M,,6.205B,,,,,,,,,34.05M,,34.05M,661.06M,,,,383.17M,1.078B,7.283B,199.60M,199.60M,199.60M,,,,543.18M,742.77M,2.942B,2.942B,,,158.50M,958.15M,3.900B,4.642B,18.83M,978.79M,2.098B,613.20M,,2.482B
2009-02,1.100B,,1.100B,99.87M,,,4.592M,104.46M,1.847B,2.016B,638.37M,4.502B,7.682M,,5.714B,,,,,,,,,,,,,,,,,1.456B,7.170B,203.78M,203.78M,203.78M,,,,,203.78M,2.574B,2.574B,,,164.27M,1.761B,4.335B,4.538B,17.35M,1.111B,1.952B,612.81M,,2.467B
2008-11,1.203B,,1.203B,18.52M,,76.00M,133.64M,483.62M,1.741B,2.080B,678.34M,4.500B,30.80M,,6.218B,0.00,,33.21M,,30.82M,64.04M,-51.47M,12.56M,34.05M,,34.05M,844.23M,,,,316.12M,1.207B,7.425B,246.73M,246.73M,246.73M,225.78M,225.78M,225.78M,592.78M,1.065B,2.545B,2.545B,,,165.75M,1.026B,3.571B,4.636B,17.35M,1.273B,1.945B,612.12M,,2.623B
2008-08,939.42M,,939.42M,196.16M,,,,196.16M,1.828B,2.248B,699.38M,4.776B,47.53M,,5.959B,,,,,,,,,34.05M,,34.05M,,,,985.96M,1.248B,2.268B,8.227B,260.67M,260.67M,260.67M,,,,,260.67M,2.533B,2.533B,,,174.98M,1.827B,4.359B,4.620B,17.35M,2.091B,1.936B,612.09M,,3.432B
2008-05,1.010B,,1.010B,276.16M,,,,276.16M,1.614B,2.223B,708.26M,4.545B,48.65M,,5.880B,,,,,,,,,61.22M,,61.22M,,,,948.45M,1.365B,2.374B,8.254B,236.88M,236.88M,236.88M,,,,,236.88M,2.638B,2.638B,,,40.75M,1.799B,4.437B,4.674B,17.34M,2.205B,1.932B,611.93M,-2.812M,3.540B
2008-02,1.176B,,1.176B,286.73M,,,,286.73M,1.534B,2.268B,771.44M,4.574B,34.97M,,6.072B,,,,,,,,,61.22M,,61.22M,,,,892.92M,1.489B,2.443B,8.515B,243.30M,243.30M,243.30M,,,,,243.30M,2.573B,2.573B,,,22.64M,1.995B,4.568B,4.812B,17.34M,2.352B,1.926B,610.73M,-3.66M,3.681B
2007-11,795.19M,,795.19M,428.34M,,,59.88M,488.22M,1.500B,2.181B,819.66M,4.500B,35.43M,,5.819B,0.00,33.54M,36.68M,6.683M,,76.91M,-52.99M,23.92M,61.22M,,61.22M,,,,741.60M,2.457B,3.284B,9.103B,376.13M,376.13M,376.13M,,,,,376.13M,2.837B,2.837B,,,28.53M,2.039B,4.876B,5.252B,17.23M,2.497B,1.920B,610.37M,-2.061M,3.822B
2007-08,251.11M,,251.11M,557.40M,,,,557.40M,3.174B,3.176B,371.02M,6.720B,38.20M,,7.567B,,,,,,,,,234.92M,,234.92M,,,,620.71M,2.010B,2.865B,10.43B,419.91M,419.91M,419.91M,,,,,419.91M,3.124B,3.124B,,,19.37M,1.772B,4.896B,5.316B,17.21M,3.774B,1.917B,610.28M,-0.701M,5.097B
2007-05,402.01M,,402.01M,612.71M,,,,612.71M,3.654B,3.645B,406.70M,7.705B,37.22M,,8.757B,,,,,,,,,251.42M,,251.42M,,,,,2.533B,2.785B,11.54B,499.83M,499.83M,499.83M,,,,,499.83M,3.446B,3.446B,,,56.26M,1.957B,5.402B,5.902B,17.21M,4.313B,1.864B,609.40M,-1.066M,5.584B
2007-02,463.92M,53.21M,517.13M,577.49M,,,,577.49M,3.610B,4.233B,463.06M,8.306B,24.19M,,9.424B,,,,,,,,,251.41M,,251.41M,,,,,2.360B,2.612B,12.04B,565.69M,565.69M,565.69M,,,,,565.69M,3.480B,3.480B,,,52.00M,2.164B,5.643B,6.209B,17.17M,4.583B,1.784B,607.68M,-1.513M,5.775B
2006-11,778.32M,,778.32M,792.05M,,,,792.05M,3.011B,4.448B,372.33M,7.831B,24.80M,,9.427B,0.00,33.90M,45.92M,13.12M,,92.94M,-50.06M,42.88M,257.84M,,257.84M,,,,,2.681B,2.982B,12.41B,751.50M,751.50M,751.50M,,,,,751.50M,3.763B,3.763B,,,55.39M,2.137B,5.900B,6.652B,16.98M,4.539B,1.754B,606.40M,-2.041M,5.701B
2006-08,256.06M,,256.06M,599.12M,,,,599.12M,3.015B,5.416B,293.90M,8.725B,28.36M,,9.609B,,,,,,,,,257.85M,,257.85M,,,,,2.635B,2.893B,12.50B,985.74M,985.74M,985.74M,,,,,985.74M,3.779B,3.779B,,,73.03M,1.733B,5.512B,6.497B,16.96M,4.760B,1.740B,583.18M,-3.014M,5.931B
2006-05,316.01M,,316.01M,643.51M,,,,643.51M,3.177B,5.395B,336.85M,8.909B,34.82M,,9.903B,,,,,,,,,257.85M,,257.85M,,,,,2.673B,2.931B,12.83B,817.44M,817.44M,817.44M,,,,,817.44M,4.141B,4.141B,,,91.11M,2.018B,6.159B,6.977B,16.95M,4.578B,1.727B,553.18M,-3.364M,5.766B
2006-02,112.03M,,112.03M,220.76M,,,,220.76M,,5.130B,3.867B,8.997B,26.26M,,9.356B,,,,,,,,,,201.98M,201.98M,,,,,3.126B,3.328B,12.68B,798.12M,798.12M,798.12M,,,,,798.12M,3.125B,3.125B,,,72.54M,3.133B,6.258B,7.056B,16.44M,4.279B,1.547B,283.66M,-4.197M,5.555B
2005-11,1.059B,,1.059B,975.11M,,,,975.11M,2.867B,4.626B,370.50M,7.864B,22.68M,,9.921B,,,,,,,,,253.14M,,253.14M,,,,,2.367B,2.621B,12.54B,1.183B,1.183B,1.183B,,,,,1.183B,3.863B,3.863B,,,78.24M,2.166B,6.028B,7.212B,16.30M,4.047B,1.487B,293.22M,-5.221M,5.251B
2005-08,92.28M,,92.28M,279.90M,,,,279.90M,,4.938B,2.786B,7.724B,,,8.096B,,,,,,,,,,,,,,,,,2.860B,10.96B,2.186B,2.186B,2.186B,,,,,2.186B,2.780B,2.780B,,,,1.272B,4.052B,6.237B,16.25M,3.491B,1.511B,250.49M,-47.75M,4.719B
2005-05,77.16M,,77.16M,295.14M,,,,295.14M,,4.346B,2.379B,6.725B,,1.442B,8.539B,,,,,,,,,,,,,,,,,1.066B,9.606B,1.910B,1.910B,1.910B,,,,,1.910B,2.337B,2.337B,,,,1.090B,3.428B,5.338B,15.78M,3.175B,1.330B,236.82M,-16.25M,4.267B
2005-02,509.07M,,509.07M,184.49M,,,,184.49M,,3.538B,2.195B,5.733B,,,6.426B,,,,,,,,,,,,,,,,,2.327B,8.753B,1.629B,1.629B,1.629B,,,,,1.629B,2.003B,2.003B,,,,959.90M,2.963B,4.592B,15.74M,2.953B,1.316B,109.54M,-13.07M,4.162B
