,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2016-03,-36.10M,,,,,,,,16.42M,16.42M,2.06M,,0.00,,55.47M,-3.835M,-2.512M,-4.771M,-7.325M,-31.72M,,-2.815M,-49.15M,,-15.14M,,2016-03,-11.97M,,-11.97M,,-93.45M,2.717M,-102.71M,,2016-03,-4.144M,,-4.144M,,,,8.846M,,4.702M,,714.77M,-113.14M,2.62M,604.24M,,2016-03,,-4.144M,,-0.581M,-20.60M,,2016-03,AOR,Restated
2015-12,-74.67M,,,,,,,,15.75M,15.75M,-4.51M,,,,44.65M,12.41M,-21.36M,-7.019M,19.73M,47.15M,,-5.491M,33.00M,,29.14M,,2015-12,-12.53M,,-12.53M,0.00,-108.05M,-2.112M,-122.69M,,2015-12,6.737M,,6.737M,,,,45.90M,,52.64M,,756.25M,-40.91M,-0.575M,714.77M,,2015-12,,-3.539M,,1.806M,21.38M,,2015-12,AOR,Restated
2015-09,-93.82M,,,,,,,,16.17M,16.17M,1.447M,,,,65.73M,-8.921M,-67.54M,-6.701M,-8.34M,44.34M,,-4.448M,-42.68M,,-62.07M,,2015-09,-8.797M,,-8.797M,0.00,-103.62M,11.48M,-100.94M,,2015-09,-2.171M,,-2.171M,,,,51.84M,,49.67M,,870.54M,-113.34M,-0.953M,756.25M,,2015-09,,-2.171M,,1.022M,107.12M,,2015-09,AOR,Restated
2015-06,-220.99M,,,,,,,,14.06M,14.06M,6.346M,,,,63.26M,5.416M,-15.33M,-6.791M,-0.164M,47.90M,,-3.97M,21.64M,,-110.27M,,2015-06,-13.42M,,-13.42M,-80.00M,370.30M,1.561M,278.44M,,2015-06,-10.04M,,-10.04M,,,,46.23M,,36.20M,,664.88M,204.37M,1.29M,870.54M,,2015-06,,-10.04M,,-1.082M,-64.42M,,2015-06,AOR,Restated
2015-03,-198.70M,,,,,,,,16.36M,16.36M,0.00,,,,57.38M,0.629M,-5.863M,-2.635M,-15.23M,-68.84M,,-5.333M,-97.91M,,-222.24M,,2015-03,-10.56M,,-10.56M,,245.77M,-21.17M,214.04M,,2015-03,8.798M,,8.798M,,,,41.62M,,50.41M,,625.26M,42.22M,-2.596M,664.88M,,2015-03,,-4.588M,,0.06M,21.54M,,2015-03,AOR,Restated
2014-12,-180.85M,,,,,,,,16.34M,16.34M,0.281M,,0.711M,,42.38M,177.06M,14.74M,-11.57M,3.339M,-54.55M,,-10.45M,-58.48M,,-181.78M,,2014-12,-14.68M,,-14.68M,-10.00M,-2.862M,9.527M,-18.01M,,2014-12,32.68M,,32.68M,,,,73.34M,,108.18M,,718.56M,-91.61M,-1.695M,625.26M,,2014-12,,40.87M,,0.412M,66.15M,,2014-12,AOR,Restated
2014-09,-170.06M,,,,,,,,16.96M,16.96M,0.00,,0.978M,,46.14M,-0.015M,-9.833M,-6.095M,-1.572M,45.07M,,-9.219M,18.35M,,-87.65M,,2014-09,-9.298M,,-9.298M,0.00,39.40M,0.444M,30.54M,,2014-09,273.91M,,273.91M,,,,83.33M,,357.23M,,420.56M,300.13M,-2.126M,718.56M,,2014-09,,-20.48M,,0.00,-29.12M,,2014-09,AOR,Restated
2014-06,-159.38M,,,,,,,,14.17M,14.17M,0.00,,,,42.44M,0.195M,-22.72M,-1.294M,0.399M,5.887M,,-7.622M,-25.35M,,-127.92M,,2014-06,-11.70M,,-11.70M,0.00,101.63M,-0.051M,89.88M,,2014-06,-24.41M,,-24.41M,,,,57.81M,,33.40M,,424.04M,-4.633M,1.146M,420.56M,,2014-06,,-24.41M,,0.658M,15.96M,,2014-06,AOR,Restated
2014-03,-232.46M,,,,,,,,15.79M,15.79M,,,,,46.58M,-0.173M,25.24M,2.488M,-17.94M,-17.04M,,1.756M,-5.50M,,-175.76M,,2014-03,-15.53M,,-15.53M,,-4.405M,-0.476M,-20.41M,,2014-03,-9.718M,,-9.718M,,,,60.13M,,50.42M,,569.30M,-145.75M,0.499M,424.04M,,2014-03,,-17.77M,,0.14M,15.97M,,2014-03,AOR,Restated
2013-12,-184.55M,,,,,,,,17.63M,17.63M,-154.89M,,251.54M,,23.37M,1.439M,32.63M,1.93M,4.416M,7.443M,,-37.56M,8.851M,,19.76M,,2013-12,-14.47M,,-14.47M,,-56.47M,-48.87M,-119.81M,,2013-12,61.79M,,61.79M,,,,23.52M,,84.05M,,583.18M,-16.00M,2.117M,569.30M,,2013-12,,61.79M,,2.84M,5.821M,,2013-12,AOR,Restated
2013-09,-128.66M,,,,,,,,9.489M,9.489M,0.497M,,11.92M,,31.31M,-2.149M,39.20M,-1.408M,1.675M,33.01M,,-8.605M,63.87M,,-13.72M,,2013-09,-18.51M,,-18.51M,,60.15M,7.904M,49.54M,,2013-09,-21.48M,,-21.48M,,,,34.49M,,13.01M,,531.25M,48.82M,3.112M,583.18M,,2013-09,,-21.48M,,0.00,0.495M,,2013-09,AOR,Restated
2013-06,-61.71M,,,,,,,,10.55M,10.55M,-1.958M,,5.083M,,41.35M,11.86M,30.37M,-2.611M,6.834M,-31.83M,,-8.864M,-6.099M,,-0.927M,,2013-06,-1.801M,,-1.801M,,-39.36M,36.47M,-4.691M,,2013-06,-28.71M,,-28.71M,,,,186.20M,,157.49M,,379.10M,151.87M,0.278M,531.25M,,2013-06,,-28.71M,,-1.541M,6.899M,,2013-06,AOR,Restated
2013-03,-312.63M,,,,,,,,10.69M,10.69M,-128.70M,,412.90M,,31.28M,1.457M,-48.83M,9.231M,-24.99M,-18.20M,,2.022M,-80.77M,,-65.78M,,2013-03,-16.61M,,-16.61M,,-28.44M,7.447M,-37.60M,,2013-03,-27.80M,,-27.80M,,,,21.67M,,-6.135M,,489.41M,-109.51M,-0.799M,379.10M,,2013-03,,-27.80M,,1.541M,0.243M,,2013-03,AOR,Restated
2012-12,-78.08M,,,,,0.00,,,12.37M,12.37M,0.901M,,55.19M,,27.64M,2.673M,-3.626M,2.494M,-0.921M,29.91M,,-6.024M,21.83M,,40.56M,,2012-12,-28.05M,,-28.05M,,29.83M,5.374M,7.156M,,2012-12,-12.81M,,-12.81M,,,,16.77M,0.874M,4.837M,,436.89M,52.55M,-0.031M,489.41M,,2012-12,,-12.81M,,9.318M,6.70M,,2012-12,AOR,Restated
2012-09,-26.47M,,,,,,,,8.593M,8.593M,16.45M,,0.00,,27.58M,2.167M,46.02M,1.869M,17.36M,18.71M,,-6.322M,77.64M,,105.96M,,2012-09,-21.40M,,-21.40M,,-92.31M,-17.52M,-131.23M,,2012-09,-8.68M,,-8.68M,,,,16.95M,-0.117M,8.15M,,454.06M,-17.12M,-0.058M,436.89M,,2012-09,,-8.68M,,,0.00,,2012-09,AOR,Restated
2012-06,-34.47M,,,,,,,,8.665M,8.665M,21.59M,,78.00M,,31.38M,3.289M,46.61M,-17.37M,-19.51M,10.52M,,-10.30M,9.949M,,118.40M,,2012-06,-15.54M,,-15.54M,,-56.22M,1.724M,-70.04M,,2012-06,0.00,,0.00,,,,136.70M,0.987M,137.69M,,267.92M,186.05M,0.084M,454.06M,,2012-06,,0.00,,,6.70M,,2012-06,AOR,Restated
2012-03,87.88M,,0.00,,,0.00,,,8.56M,8.56M,-2.281M,,0.00,,27.69M,2.31M,-49.09M,-16.92M,-20.54M,-18.01M,,-16.68M,-121.24M,,2.916M,,2012-03,-6.155M,,-6.155M,,-219.19M,-6.355M,-231.70M,,2012-03,0.00,,0.00,,,,21.30M,0.227M,21.52M,,475.32M,-207.26M,-0.136M,267.92M,,2012-03,,0.00,,0.00,,,2012-03,AOR,Restated
2011-12,188.14M,,,,,16.80M,,,9.724M,9.724M,10.74M,-11.86M,0.00,,22.66M,11.31M,262.53M,-44.56M,20.41M,37.46M,,-18.78M,257.05M,,503.66M,,2011-12,50.67M,,-9.329M,,-377.54M,-0.908M,-387.78M,,2011-12,-155.00M,50.00M,-105.00M,-108.74M,,-108.74M,,,-182.98M,,542.54M,-67.09M,-0.132M,475.32M,,2011-12,-108.74M,-105.00M,,,6.70M,,2011-12,AOR,Restated
2011-09,228.45M,,0.00,,,0.00,,,7.75M,7.75M,-27.57M,2.669M,105.80M,,31.40M,8.352M,-349.42M,-14.74M,-1.361M,68.70M,,-17.14M,-313.96M,,42.90M,,2011-09,-9.985M,,-9.985M,,19.11M,12.32M,21.45M,,2011-09,0.00,0.00,0.00,20.07M,,20.07M,,,20.07M,,458.20M,84.41M,-0.06M,542.54M,,2011-09,20.07M,0.00,,,6.812M,,2011-09,AOR,Restated
2011-06,-199.32M,,,,,,,,8.709M,8.709M,9.33M,2.582M,,,34.60M,2.201M,-90.64M,-34.42M,4.287M,66.03M,,-19.56M,-74.30M,,-216.20M,,2011-06,-70.43M,,-10.43M,,241.55M,1.667M,172.79M,,2011-06,,0.00,0.00,55.03M,,55.03M,,,55.03M,,446.54M,11.62M,0.034M,458.20M,,2011-06,55.03M,0.00,,,,,2011-06,AOR,Restated
2011-03,-176.10M,,,,,,,,8.858M,8.858M,0.00,6.605M,,,29.56M,5.394M,6.922M,-17.66M,-12.98M,-21.18M,,-16.06M,-60.95M,,-186.63M,,2011-03,-4.85M,,-4.85M,,411.37M,-0.564M,405.95M,,2011-03,,-50.00M,-50.00M,33.64M,,33.64M,,,-16.36M,,243.20M,202.97M,0.372M,446.54M,,2011-03,33.64M,-50.00M,,,0.00,,2011-03,AOR,Restated
2010-12,-180.39M,,0.017M,,,41.25M,,,8.205M,8.205M,0.00,-10.02M,0.00,,18.66M,-14.28M,-7.564M,0.00,5.355M,14.96M,,-42.27M,-29.52M,,-166.10M,,2010-12,-14.43M,,-14.43M,,-155.17M,-0.093M,-169.70M,,2010-12,0.00,,0.00,-23.99M,,-23.99M,,0.00,9.447M,,569.90M,-326.35M,-0.353M,243.20M,,2010-12,-23.99M,0.00,,,0.00,,2010-12,AOR,Restated
2010-09,-208.96M,,0.00,,,0.00,,,6.758M,6.758M,0.00,3.451M,0.00,,25.18M,5.67M,-1.404M,0.00,3.445M,-1.581M,,3.443M,3.903M,,-163.99M,,2010-09,-10.83M,,-10.83M,,8.372M,0.044M,-2.414M,,2010-09,391.64M,0.00,391.64M,6.85M,,6.85M,,0.00,398.50M,,337.61M,232.09M,0.202M,569.90M,,2010-09,6.85M,0.00,,,0.00,,2010-09,AOR,Restated
2010-06,-200.01M,,0.00,,,0.00,,,7.912M,7.912M,,3.339M,,,26.53M,27.23M,4.331M,0.00,4.267M,29.07M,,-11.57M,26.10M,,-108.89M,,2010-06,-9.686M,,-9.686M,,54.64M,-4.303M,40.65M,,2010-06,,0.00,0.00,9.473M,,9.473M,,0.00,9.473M,,396.55M,-58.77M,-0.173M,337.61M,,2010-06,9.473M,0.00,,,0.00,,2010-06,AOR,Restated
2010-03,-165.27M,,0.022M,,,0.022M,,,7.584M,7.584M,,3.231M,,,20.74M,1.489M,1.714M,0.00,-13.67M,-36.84M,,-15.47M,-64.26M,,-196.46M,,2010-03,-3.11M,,-3.11M,,142.25M,-0.38M,138.76M,,2010-03,,0.00,0.00,7.664M,,7.664M,,-0.022M,7.642M,,446.66M,-50.06M,-0.053M,396.55M,,2010-03,7.664M,0.00,,,0.761M,,2010-03,AOR,Restated
2009-12,-158.64M,,-0.022M,5.843M,,7.668M,,,8.383M,8.383M,,3.125M,,,19.18M,29.51M,0.572M,,2.072M,29.34M,,-19.00M,12.98M,,-102.33M,,2009-12,-7.578M,,-7.578M,0.00,-540.91M,0.712M,-547.78M,,2009-12,-122.26M,,27.64M,511.02M,,511.02M,,,538.66M,,559.13M,-111.44M,-1.035M,446.66M,,2009-12,511.02M,-0.046M,,,0.00,,2009-12,AOR,Restated
2009-09,-149.56M,,0.157M,0.00,,0.157M,,,6.815M,6.815M,,0.00,,,21.41M,21.41M,4.584M,,0.103M,6.089M,,88.77M,99.55M,,-21.64M,,2009-09,-4.753M,,-4.753M,0.00,47.73M,-0.453M,42.52M,,2009-09,122.22M,,122.22M,8.376M,,8.376M,,,130.59M,,408.95M,151.48M,-1.299M,559.13M,,2009-09,8.376M,0.00,,,3.42M,,2009-09,AOR,Restated
2009-06,-171.30M,,0.02M,12.29M,,12.31M,,,7.745M,7.745M,,,,,28.73M,28.73M,1.959M,,3.149M,7.739M,,-8.40M,4.447M,,-118.06M,,2009-06,-4.586M,,-4.586M,0.00,-79.26M,0.193M,-83.66M,,2009-06,-0.085M,,-0.085M,16.58M,,16.58M,,-5.418M,11.08M,,602.20M,-190.64M,-2.609M,408.95M,,2009-06,16.58M,-0.085M,,,6.828M,,2009-06,AOR,Restated
2009-03,-162.67M,,2.056M,,,2.056M,,,7.164M,7.164M,,0.00,,,23.45M,23.45M,6.785M,,-3.254M,-50.77M,,-8.312M,-55.55M,,-185.56M,,2009-03,-6.579M,,-6.579M,-87.42M,174.01M,0.172M,80.18M,,2009-03,,,,313.25M,,313.25M,,5.418M,318.67M,,389.12M,213.29M,-0.202M,602.20M,,2009-03,313.25M,,,,,,2009-03,AOR,Restated
2008-12,-142.33M,,,,,0.011M,,,8.575M,8.575M,,,,,,-42.88M,-1.523M,,-1.006M,24.47M,,-9.844M,21.42M,,-97.22M,,2008-12,-6.612M,,-6.612M,,-63.57M,-0.335M,-70.52M,,2008-12,,,0.00,13.72M,,13.72M,,,13.72M,,542.88M,-154.02M,0.264M,389.12M,,2008-12,13.72M,,,,,,2008-12,AOR,Restated
2008-09,-130.04M,,,,,-0.414M,,,7.953M,7.953M,,,,,,15.63M,-6.601M,,-0.784M,-4.88M,,-10.26M,-20.60M,,-127.48M,,2008-09,-10.51M,,-10.51M,,-93.94M,0.585M,-103.86M,,2008-09,,,0.607M,224.36M,,224.36M,,,224.96M,,549.63M,-6.375M,-0.381M,542.88M,,2008-09,224.36M,,,,,,2008-09,,
2008-06,-91.32M,,,,,-0.072M,,,8.17M,8.17M,,,,,,18.26M,9.46M,,-0.731M,5.064M,,143.18M,168.72M,,103.76M,,2008-06,-9.568M,,-9.568M,,-24.73M,-0.576M,-34.87M,,2008-06,,,-20.00M,10.08M,,10.08M,,,-9.918M,,490.70M,58.97M,-0.03M,549.63M,,2008-06,10.08M,,,,,,2008-06,,
2008-03,-96.15M,,,,,-0.147M,,,7.498M,7.498M,,,,,,14.02M,6.495M,,-4.81M,-1.469M,,-7.98M,-30.75M,,-105.54M,,2008-03,-5.494M,,-5.494M,,-145.54M,-0.37M,-151.40M,,2008-03,,,278.00M,113.98M,,113.98M,,,391.98M,,355.66M,135.04M,-0.007M,490.70M,,2008-03,113.98M,,,,,,2008-03,,
2007-12,-85.75M,,,,,0.078M,,,7.451M,7.451M,,,,,,13.71M,3.338M,,1.411M,6.993M,,-3.283M,11.82M,,-52.69M,,2007-12,-5.199M,,-5.199M,,148.93M,,143.74M,,2007-12,,,,10.73M,,10.73M,,0.00,10.73M,,253.98M,101.77M,-0.086M,355.66M,,2007-12,10.73M,,,,,,2007-12,,
2007-09,-107.03M,,,,,0.00,,,6.835M,6.835M,,,,,,13.87M,2.531M,,1.43M,8.003M,,-7.95M,22.69M,,-63.64M,,2007-09,-7.929M,,-7.929M,,189.19M,,181.26M,,2007-09,,,,9.705M,,9.705M,,0.00,-32.40M,,168.72M,85.22M,0.038M,253.98M,,2007-09,9.705M,,,,,,2007-09,,
2007-06,-117.77M,,,,,0.176M,,,6.852M,6.852M,,,,,,23.00M,6.91M,,-0.20M,8.613M,,-4.95M,19.40M,,-68.34M,,2007-06,-13.15M,,-13.15M,,-113.44M,1.101M,-125.50M,,2007-06,,,,8.14M,,8.14M,,-0.004M,8.136M,,354.33M,-185.69M,0.084M,168.72M,,2007-06,8.14M,,,,,,2007-06,,
2007-03,-80.73M,,,,,0.043M,,,6.321M,6.321M,,,,,,13.17M,18.82M,,-3.444M,-6.227M,,-5.037M,-6.61M,,-67.81M,,2007-03,-6.133M,,-6.133M,,212.90M,-1.101M,205.66M,,2007-03,,,,3.393M,,3.393M,,-0.049M,3.344M,,213.17M,141.20M,-0.044M,354.33M,,2007-03,3.393M,,,,,,2007-03,,
2006-12,-27.34M,,,,,-3.31M,,,6.875M,6.875M,,,,,,15.03M,-20.31M,,1.474M,8.224M,,-9.461M,4.462M,,-4.287M,,2006-12,-7.188M,,-7.188M,,-298.62M,25.50M,-280.30M,,2006-12,,,,14.30M,,14.30M,,0.00,14.30M,,483.43M,-270.29M,0.026M,213.17M,,2006-12,14.30M,,,,,,2006-12,,
