,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,1.996B,481.12M,2.477B,327.29M,,327.29M,17.59M,78.23M,21.53M,117.35M,109.89M,9.573M,,,3.041B,,,,,,,,,800.67M,50.38M,29.00M,79.38M,,,,3.953B,,2018-03,74.06M,,,74.06M,679.68M,753.74M,,,,,16.92M,16.92M,,,56.65M,827.31M,,578.21M,578.21M,89.17M,,,29.76M,,1.522B,,2018-03,2.541M,-4.876B,7.314B,-39.74M,2.401B,,2018-03,AOR,Restated
2017-12,1.665B,423.25M,2.089B,281.34M,104.65M,385.99M,20.92M,74.24M,16.67M,111.83M,62.48M,,,,2.649B,0.00,634.06M,469.69M,,,117.81M,1.222B,-432.12M,789.44M,50.38M,29.00M,79.38M,,,0.834M,3.546B,,2017-12,73.99M,,73.04M,147.04M,603.32M,750.36M,,,,,22.53M,22.53M,,,34.37M,807.26M,,583.90M,583.90M,84.77M,,,13.73M,,1.504B,,2017-12,2.512M,-5.120B,7.157B,-11.57M,2.029B,,2017-12,AOR,Restated
2017-09,1.385B,427.28M,1.812B,263.49M,,263.49M,12.68M,67.83M,17.69M,98.19M,152.24M,1.803M,,,2.328B,,,,,,,,,759.98M,50.38M,29.00M,79.38M,20.45M,,,3.198B,,2017-09,77.14M,,,77.14M,382.76M,459.90M,,0.00,,0.00,19.88M,19.88M,203.28M,203.28M,27.69M,710.74M,,567.31M,567.31M,90.86M,0.146M,,12.17M,,1.395B,,2017-09,2.50M,-5.220B,7.034B,-25.13M,1.791B,,2017-09,AOR,Restated
2017-06,1.223B,445.52M,1.669B,247.95M,,247.95M,13.88M,63.12M,15.27M,92.26M,107.08M,64.63M,,,2.181B,,,,,,,,,740.10M,50.38M,284.34M,334.72M,20.25M,,,3.286B,,2017-06,75.94M,,,75.94M,351.55M,427.49M,,0.00,,0.00,18.18M,18.18M,154.96M,154.96M,24.77M,625.41M,,550.36M,550.36M,216.84M,0.527M,,195.96M,,1.418B,,2017-06,2.479M,-5.117B,6.808B,-21.75M,1.671B,,2017-06,AOR,Restated
2017-03,1.004B,405.10M,1.409B,207.96M,,207.96M,9.172M,60.92M,11.93M,82.02M,128.49M,44.56M,,,1.872B,,,,,,,,,708.40M,50.38M,284.34M,334.72M,20.28M,,,2.947B,,2017-03,63.14M,,,63.14M,285.60M,348.74M,,0.00,,0.00,19.27M,19.27M,110.83M,110.83M,10.95M,489.80M,,529.13M,529.13M,215.90M,0.613M,,182.78M,,1.264B,,2017-03,2.459M,-5.135B,6.617B,16.02M,1.500B,,2017-03,AOR,Restated
2016-12,1.184B,250.61M,1.435B,200.36M,35.12M,235.48M,6.348M,56.67M,14.58M,77.60M,36.13M,47.76M,,,1.832B,0.00,548.23M,429.23M,,,108.70M,1.086B,-387.80M,698.36M,50.38M,284.34M,334.72M,20.28M,,,2.897B,,2016-12,61.45M,,52.84M,114.30M,268.45M,382.75M,,300.00M,,300.00M,19.43M,319.43M,79.42M,79.42M,10.94M,792.54M,,521.34M,521.34M,214.12M,1.907M,,181.61M,,1.559B,,2016-12,2.45M,-5.374B,6.507B,21.17M,1.157B,,2016-12,AOR,Restated
2016-09,719.69M,408.75M,1.128B,182.23M,,182.23M,9.824M,46.06M,15.92M,71.80M,61.01M,58.42M,,,1.502B,,,,,,,,,687.61M,50.38M,284.34M,334.72M,53.31M,,,2.610B,,2016-09,50.91M,,,50.91M,295.94M,346.85M,,,297.75M,297.75M,17.77M,315.52M,9.247M,9.247M,51.22M,722.84M,,504.79M,504.79M,139.83M,3.314M,,186.80M,,1.401B,,2016-09,2.446M,-5.407B,6.430B,-3.845M,1.022B,,2016-09,AOR,Restated
2016-06,605.87M,465.57M,1.071B,189.36M,,189.36M,5.408M,45.81M,15.37M,66.59M,56.26M,70.51M,,,1.454B,,,,,,,,,690.61M,50.38M,284.34M,334.72M,33.21M,0.00,,2.549B,,2016-06,51.30M,,,51.30M,282.85M,334.15M,,,221.58M,221.58M,17.45M,239.02M,11.47M,11.47M,38.22M,622.86M,74.92M,506.69M,581.61M,140.22M,4.801M,,187.49M,,1.380B,,2016-06,2.44M,-5.368B,6.350B,-3.39M,981.35M,,2016-06,AOR,Restated
2016-03,604.24M,421.37M,1.026B,181.88M,,181.88M,9.936M,37.90M,15.36M,63.20M,55.87M,76.27M,,,1.403B,,,,,,,,,690.52M,50.38M,284.34M,334.72M,30.14M,0.00,,2.488B,,2016-03,75.22M,,,75.22M,280.46M,355.68M,,,146.25M,146.25M,17.29M,163.54M,14.70M,14.70M,18.12M,552.04M,149.57M,511.38M,660.95M,120.75M,6.145M,,159.12M,,1.372B,,2016-03,2.429M,-5.303B,6.263B,-4.899M,957.08M,,2016-03,AOR,Restated
2015-12,714.77M,327.69M,1.042B,173.84M,,188.52M,8.696M,40.70M,7.816M,57.21M,22.06M,78.91M,,12.84M,1.407B,0.00,531.63M,395.39M,,,106.77M,1.034B,-336.07M,697.72M,50.38M,284.34M,334.72M,0.00,30.00M,,2.499B,,2015-12,74.94M,30.95M,60.19M,166.09M,222.57M,388.66M,,0.00,71.30M,71.30M,15.54M,86.84M,16.30M,16.30M,14.37M,506.17M,223.86M,515.53M,739.40M,120.15M,7.464M,,153.66M,,1.405B,,2015-12,2.427M,-5.262B,6.198B,1.824M,939.97M,,2015-12,AOR,Restated
2015-09,756.25M,249.58M,1.006B,165.27M,,165.27M,8.669M,34.12M,6.413M,49.20M,63.39M,75.76M,,,1.359B,,,,,,,,,706.67M,50.38M,284.34M,334.72M,,,,2.434B,,2015-09,78.90M,,,78.90M,258.38M,337.28M,,,,,14.15M,14.15M,14.00M,14.00M,9.527M,374.96M,294.83M,512.00M,806.83M,131.36M,9.122M,,154.58M,,1.357B,,2015-09,2.419M,-5.188B,6.106B,1.511M,922.15M,,2015-09,AOR,Restated
2015-06,870.54M,145.91M,1.016B,94.52M,,94.52M,8.147M,30.99M,2.977M,42.11M,53.29M,88.32M,,,1.295B,,,,,,,,,713.38M,50.38M,284.34M,334.72M,,,,2.374B,,2015-06,72.70M,,,72.70M,216.20M,288.90M,,,42.87M,42.87M,13.92M,56.79M,14.93M,14.93M,13.20M,373.82M,251.94M,515.73M,767.67M,133.43M,9.677M,,153.25M,,1.326B,,2015-06,2.406M,-5.093B,5.987B,-1.707M,894.96M,,2015-06,AOR,Restated
2015-03,664.88M,516.26M,1.181B,80.33M,,80.33M,7.833M,22.56M,3.692M,34.09M,62.65M,,,,1.358B,,,,,,,,,708.62M,39.92M,29.00M,68.92M,,,,2.166B,,2015-03,43.52M,,,43.52M,190.11M,233.64M,,,28.53M,28.53M,19.67M,48.20M,15.92M,15.92M,4.683M,302.44M,266.27M,519.44M,785.71M,39.09M,8.355M,,21.08M,,1.168B,,2015-03,2.399M,-4.904B,5.877B,0.791M,976.46M,,2015-03,AOR,Restated
2014-12,625.26M,761.85M,1.387B,75.96M,,90.06M,8.506M,20.51M,1.834M,30.85M,17.57M,8.418M,3.50M,7.002M,1.547B,0.00,531.64M,362.61M,,,99.94M,994.20M,-278.39M,715.81M,39.92M,29.00M,68.92M,,0.00,,2.335B,,2014-12,71.19M,10.04M,12.22M,93.45M,220.53M,313.98M,,,14.21M,14.21M,17.81M,32.01M,17.47M,21.48M,0.782M,368.25M,280.57M,512.37M,792.94M,42.85M,12.75M,,21.18M,,1.238B,,2014-12,2.385M,-4.705B,5.777B,0.917M,1.075B,,2014-12,AOR,Restated
2014-09,718.56M,759.17M,1.478B,114.31M,,114.31M,0.00,14.30M,2.451M,16.75M,41.30M,,,,1.650B,,,,,,,,,720.88M,30.99M,,30.99M,,,,2.406B,,2014-09,38.47M,,,38.47M,282.66M,321.14M,,,,,18.12M,18.12M,21.21M,21.21M,11.71M,372.18M,294.74M,515.37M,810.11M,34.72M,17.22M,,,,1.250B,,2014-09,2.375M,-4.529B,5.681B,1.161M,1.156B,,2014-09,AOR,Restated
2014-06,420.56M,798.60M,1.219B,81.84M,,81.84M,0.00,11.01M,0.969M,11.98M,34.40M,,,,1.347B,,,,,,,,,730.00M,30.99M,,30.99M,,,,2.118B,,2014-06,55.36M,,,55.36M,246.29M,301.65M,,,,,19.71M,19.71M,27.17M,27.17M,14.44M,362.97M,,518.32M,518.32M,38.10M,10.49M,,,,945.55M,,2014-06,2.347M,-4.359B,5.529B,-0.023M,1.172B,,2014-06,AOR,Restated
2014-03,424.04M,900.16M,1.324B,59.86M,,59.86M,0.00,9.439M,1.822M,11.26M,35.01M,,,,1.430B,,,,,,,,,726.20M,30.99M,,30.99M,,,,2.197B,,2014-03,49.57M,,,49.57M,244.30M,293.87M,,,,,18.32M,18.32M,28.84M,28.84M,32.47M,373.50M,,522.86M,522.86M,43.89M,13.96M,,,,966.23M,,2014-03,2.334M,-4.199B,5.428B,-0.297M,1.231B,,2014-03,AOR,Restated
2013-12,569.30M,895.78M,1.465B,85.52M,,93.48M,0.489M,9.981M,3.677M,14.15M,15.35M,0.00,0.00,0.524M,1.589B,0.00,506.06M,336.17M,,,163.02M,1.005B,-308.34M,696.91M,30.99M,,30.99M,,,,2.319B,,2013-12,49.33M,11.15M,18.33M,78.81M,255.88M,334.69M,,,,,16.89M,16.89M,21.51M,38.16M,8.084M,397.83M,,489.69M,489.69M,49.46M,14.07M,,0.00,,962.64M,,2013-12,2.32M,-3.967B,5.321B,-0.306M,1.356B,,2013-12,AOR,Restated
2013-09,583.18M,839.47M,1.423B,120.28M,,120.28M,0.232M,7.98M,5.325M,13.54M,41.10M,51.06M,,,1.649B,,,,,,,,,648.92M,30.99M,250.60M,281.59M,,,,2.583B,,2013-09,51.53M,,,51.53M,290.71M,342.24M,,,,,14.43M,14.43M,31.01M,31.01M,21.82M,409.50M,,431.95M,431.95M,227.56M,16.28M,,182.17M,39.62M,1.136B,,2013-09,2.311M,-4.011B,5.274B,-0.55M,1.265B,,2013-09,AOR,Restated
2013-06,531.25M,899.45M,1.431B,164.87M,,164.87M,3.103M,4.655M,11.75M,19.51M,43.23M,58.29M,,,1.717B,,,,,,,,,581.74M,30.99M,250.60M,281.59M,,,,2.584B,,2013-06,48.57M,,,48.57M,265.90M,314.47M,,,,,10.66M,10.66M,32.90M,32.90M,23.62M,381.65M,,387.19M,387.19M,233.77M,17.00M,,187.00M,39.21M,1.075B,,2013-06,2.30M,-3.887B,5.208B,-1.23M,1.322B,,2013-06,AOR,Restated
2013-03,379.10M,860.26M,1.239B,194.05M,,194.05M,4.796M,2.93M,13.81M,21.53M,47.84M,63.01M,,,1.566B,,,,,,,,,504.23M,30.99M,250.60M,281.59M,,,,2.392B,,2013-03,59.63M,,,59.63M,278.97M,338.60M,,,,,8.302M,8.302M,35.53M,35.53M,25.20M,407.64M,400.00M,331.58M,731.58M,241.96M,17.55M,,191.84M,38.87M,1.454B,,2013-03,2.16M,-3.830B,4.575B,-1.149M,746.12M,,2013-03,AOR,Restated
2012-12,489.41M,831.81M,1.321B,143.25M,,143.25M,3.754M,11.32M,15.39M,30.46M,24.67M,69.98M,,,1.590B,0.00,0.00,315.82M,,290.70M,123.77M,730.29M,-296.68M,433.61M,30.99M,663.50M,694.49M,,,,2.759B,,2012-12,101.29M,2.897M,29.01M,133.20M,238.45M,371.65M,,,,,13.71M,13.71M,27.57M,41.87M,5.40M,432.62M,400.00M,283.20M,683.20M,376.61M,18.57M,,196.67M,38.53M,1.563B,,2012-12,2.149M,-3.522B,4.519B,-0.55M,999.18M,,2012-12,AOR,Restated
2012-09,436.89M,861.66M,1.299B,139.63M,,139.63M,4.506M,58.45M,23.32M,86.28M,35.12M,74.95M,,,1.635B,,,,124.15M,223.10M,,347.25M,,347.25M,30.99M,663.50M,694.49M,,,,2.719B,,2012-09,83.73M,3.871M,,87.60M,277.88M,365.48M,0.00,,,0.00,,0.00,27.30M,27.30M,13.94M,406.73M,400.00M,,400.00M,383.09M,19.56M,,237.01M,,1.454B,,2012-09,2.141M,-3.446B,4.472B,-0.416M,1.028B,,2012-09,AOR,Restated
2012-06,454.06M,769.27M,1.223B,185.62M,,185.62M,5.075M,59.22M,23.51M,87.80M,40.52M,56.02M,,,1.593B,,,,,,,,,272.56M,30.99M,663.50M,694.49M,,,,2.605B,,2012-06,59.35M,0.201M,,59.55M,279.51M,339.06M,,,,,,,27.30M,27.30M,13.35M,379.71M,400.00M,,400.00M,373.09M,20.15M,,205.83M,,1.361B,,2012-06,2.133M,-3.388B,4.424B,-0.673M,1.038B,,2012-06,AOR,Restated
2012-03,267.92M,712.94M,980.87M,232.23M,,232.23M,28.51M,74.74M,26.34M,129.60M,35.41M,58.02M,,,1.436B,,,,,,,,,170.33M,30.99M,663.50M,694.49M,,,,2.346B,,2012-03,73.23M,0.201M,,73.43M,252.90M,326.32M,,,,,,,30.49M,30.49M,,356.82M,400.00M,,400.00M,357.62M,20.77M,,175.08M,,1.240B,,2012-03,2.087M,-3.323B,4.252B,-0.628M,930.50M,,2012-03,AOR,Restated
2011-12,475.32M,493.60M,968.92M,183.14M,,183.14M,32.21M,47.01M,33.21M,112.43M,14.89M,51.88M,,,1.331B,0.00,,242.00M,,55.07M,107.17M,404.24M,-271.06M,133.18M,30.99M,663.50M,694.49M,,,,2.204B,,2011-12,74.64M,12.08M,28.60M,115.32M,219.52M,334.84M,,,,,0.00,0.00,45.04M,45.04M,12.48M,392.35M,400.00M,55.95M,455.95M,361.80M,21.38M,,141.63M,37.04M,1.276B,,2011-12,2.072M,-3.415B,4.201B,-1.053M,786.84M,,2011-12,AOR,Restated
2011-09,542.54M,116.14M,658.68M,445.66M,,445.66M,20.10M,35.54M,12.01M,67.65M,23.24M,50.58M,,,1.246B,,,,,,,,,101.27M,33.50M,663.50M,697.00M,,,,2.092B,,2011-09,49.25M,9.755M,,59.00M,241.67M,300.68M,98.42M,,,98.42M,,98.42M,55.70M,149.86M,,548.95M,400.00M,,400.00M,357.40M,21.48M,,151.08M,,1.361B,,2011-09,2.065M,-3.573B,4.152B,-0.945M,579.76M,,2011-09,AOR,Restated
2011-06,458.20M,135.30M,593.49M,96.02M,,96.02M,21.77M,29.26M,1.583M,52.62M,21.90M,63.10M,,,827.12M,,,,,,,,,84.20M,33.50M,769.30M,802.80M,,,,1.763B,,2011-06,67.28M,15.21M,,82.49M,149.67M,232.16M,94.66M,,,94.66M,,94.66M,65.02M,152.15M,,478.97M,400.00M,,400.00M,394.48M,23.05M,,141.63M,,1.314B,,2011-06,2.055M,-3.795B,4.101B,-0.707M,307.55M,,2011-06,AOR,Restated
2011-03,446.54M,376.92M,823.45M,5.594M,,5.594M,7.816M,10.00M,0.00,17.82M,26.11M,,,,872.97M,,,,,,,,,70.88M,26.10M,518.70M,544.80M,,,,1.538B,,2011-03,34.88M,,,34.88M,128.13M,163.01M,92.10M,,,92.10M,,92.10M,74.19M,159.09M,1.995M,416.20M,400.00M,,400.00M,304.69M,23.58M,,,,1.147B,,2011-03,2.033M,-3.621B,4.011B,-0.633M,391.67M,,2011-03,AOR,Restated
2010-12,243.20M,788.21M,1.031B,12.53M,,12.53M,0.00,0.00,0.00,0.00,13.10M,0.00,,,1.057B,0.00,,216.93M,,0.00,102.72M,319.65M,-247.32M,72.33M,26.10M,518.70M,544.80M,,,,1.725B,,2010-12,35.85M,0.00,,35.85M,143.37M,179.22M,136.99M,,,136.99M,,136.99M,74.62M,74.62M,83.95M,474.78M,400.00M,,400.00M,320.33M,24.10M,,0.00,,1.221B,,2010-12,2.016M,-3.444B,3.947B,-1.067M,503.97M,,2010-12,AOR,Restated
2010-09,569.90M,633.11M,1.203B,4.964M,,4.964M,,,,,18.46M,,,,1.226B,,,,,,,,,65.44M,26.10M,518.70M,544.80M,,,,1.889B,,2010-09,24.64M,,,24.64M,133.98M,158.62M,,,,,0.00,0.00,98.98M,98.98M,53.97M,311.57M,487.22M,,487.22M,410.36M,27.34M,,,,1.239B,,2010-09,2.012M,-3.264B,3.913B,-0.677M,650.10M,,2010-09,AOR,Restated
2010-06,337.61M,641.54M,979.14M,3.548M,,3.548M,,,,,21.86M,,,,1.005B,,,,,,,,,60.44M,26.10M,518.70M,544.80M,,,,1.654B,,2010-06,46.50M,,,46.50M,112.83M,159.32M,,,,,,,78.27M,78.27M,54.78M,292.38M,86.41M,,86.41M,418.58M,27.76M,,,,827.07M,,2010-06,2.007M,-3.055B,3.881B,-0.558M,827.14M,,2010-06,AOR,Restated
2010-03,396.55M,696.14M,1.093B,7.876M,,7.876M,,,,,26.21M,,,,1.127B,,,,,,,,,58.11M,26.10M,518.70M,544.80M,,,,1.770B,,2010-03,29.12M,,,29.12M,98.57M,127.69M,0.00,,,0.00,,0.00,69.58M,69.58M,14.28M,211.54M,125.32M,,125.32M,415.14M,27.00M,,,,779.69M,,2010-03,2.002M,-2.855B,3.845B,-1.08M,990.61M,,2010-03,AOR,Restated
2009-12,446.66M,838.26M,1.285B,9.601M,,9.601M,,,,,12.51M,,,,1.307B,0.00,,195.98M,,,88.02M,284.00M,-221.73M,62.28M,26.10M,518.70M,544.80M,,,,1.955B,,2009-12,36.99M,,,36.99M,125.64M,162.63M,32.07M,,,32.07M,,32.07M,74.96M,74.96M,15.23M,284.88M,121.76M,,121.76M,385.85M,,38.21M,,,859.14M,,2009-12,1.982M,-2.690B,3.785B,-0.64M,1.096B,,2009-12,AOR,Restated
2009-09,559.13M,297.48M,856.61M,10.17M,32.78M,42.96M,,,,,14.50M,,,,914.07M,,,,,,,,,62.44M,26.10M,525.90M,552.00M,,,,1.573B,,2009-09,19.96M,,,19.96M,115.56M,135.52M,,,,,,,74.61M,74.61M,21.24M,231.37M,262.84M,,262.84M,407.43M,26.95M,,,,964.75M,,2009-09,1.791M,-2.531B,3.138B,-0.115M,608.74M,,2009-09,AOR,Restated
2009-06,408.95M,345.42M,754.36M,14.76M,,14.76M,,,,,13.63M,,,,782.76M,,,,,,,,,64.36M,26.88M,525.90M,552.78M,,,,1.440B,,2009-06,27.49M,,,27.49M,97.14M,124.64M,,,,,,,37.79M,37.79M,21.26M,183.68M,144.00M,,144.00M,355.48M,27.66M,,,,710.82M,,2009-06,1.784M,-2.382B,3.108B,0.418M,729.06M,,2009-06,AOR,Restated
2009-03,602.20M,266.99M,869.19M,16.70M,,16.70M,,,,,16.28M,,,,902.17M,,,,,,,,,66.60M,26.88M,525.90M,552.78M,,,,1.566B,,2009-03,22.70M,,,22.70M,97.66M,120.36M,,,,,,,37.68M,37.68M,21.26M,179.30M,287.50M,,287.50M,363.99M,28.25M,,,,859.03M,,2009-03,1.707M,-2.210B,2.914B,1.143M,706.85M,,2009-03,AOR,Restated
2008-12,389.12M,442.99M,832.10M,23.49M,,23.49M,,,,,11.99M,,,,867.58M,0.00,,177.51M,,,84.40M,261.91M,-193.58M,68.33M,0.00,,0.00,,,,980.48M,,2008-12,51.76M,,,51.76M,105.87M,157.63M,,,,,0.00,0.00,37.68M,37.68M,21.26M,216.56M,287.50M,,287.50M,209.80M,27.74M,,,,741.60M,,2008-12,1.494M,-2.048B,2.282B,3.168M,238.87M,,2008-12,AOR,Restated
2008-09,542.88M,377.19M,920.07M,21.97M,,21.97M,,,,,10.98M,,,,953.02M,,,,,,,243.09M,-173.38M,69.71M,,,,,,,1.068B,,2008-09,31.46M,,,31.46M,91.28M,122.75M,,,,,,,36.40M,36.40M,21.31M,180.46M,287.50M,,287.50M,,,,,,717.66M,,2008-09,1.484M,-1.905B,2.253B,0.675M,349.89M,,2008-09,,
2008-06,549.63M,282.43M,832.06M,15.36M,,15.36M,,,,,10.20M,,,,857.63M,,,,,,,240.01M,-173.38M,66.63M,,,,,,,970.80M,,2008-06,36.34M,,,36.34M,89.66M,126.01M,,,,,,,35.58M,35.58M,21.31M,182.89M,287.50M,,287.50M,,,,,,730.88M,,2008-06,1.392M,-1.775B,2.013B,0.647M,239.92M,,2008-06,,
2008-03,490.70M,258.95M,749.64M,24.82M,,24.82M,,,,,9.47M,,,,783.94M,,,,,,,238.09M,-173.38M,64.71M,,,,,,,889.50M,,2008-03,31.28M,,,31.28M,77.05M,108.33M,,,,,,,23.68M,23.68M,41.31M,173.32M,287.50M,,287.50M,,,,,,585.25M,,2008-03,1.385M,-1.684B,1.985B,1.993M,304.26M,,2008-03,,
