,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-05,186.17M,2.66M,,2.66M,58.16M,16.36M,74.51M,74.51M,1.133M,,26.79M,26.79M,-26.22M,-7.334M,2.399M,44.53M,-20.25M,,18.90M,12.03M,303.30M,,-75.66M,,,-7.048M,37.38M,-0.383M,-45.72M,,0.00,-187.50M,-187.50M,,-90.27M,-90.27M,0.00,0.00,6.01M,-0.091M,-271.85M,,152.56M,-14.27M,0.43M,138.72M,,,,0.00,-90.27M,,AOR,Restated
2018-02,302.10M,0.00,,0.00,49.74M,16.32M,66.06M,66.06M,-162.59M,,30.84M,30.84M,-23.99M,1.416M,0.648M,43.86M,-10.76M,,34.27M,45.45M,281.86M,,-63.57M,,,-11.20M,-11.61M,2.616M,-83.76M,,-300.00M,187.50M,-112.50M,,-1.353M,-1.353M,-175.59M,-175.59M,7.28M,-0.607M,-282.77M,,236.00M,-84.68M,1.24M,152.56M,,,,-300.00M,-1.353M,,AOR,Restated
2017-11,137.11M,1.209M,,1.209M,54.01M,16.32M,70.33M,70.33M,17.22M,,26.57M,26.57M,-25.01M,8.422M,-2.562M,-82.24M,-20.24M,,-6.174M,-127.80M,124.64M,,-69.95M,,,-1.473M,-6.852M,-0.566M,-78.84M,,0.00,-7.50M,-7.50M,,-0.657M,-0.657M,,,11.30M,-1.233M,1.912M,,191.41M,47.72M,-3.127M,236.00M,,,,0.00,-0.657M,,AOR,Restated
2017-08,217.21M,-100.27M,,-100.27M,53.57M,14.94M,68.51M,68.51M,24.94M,,28.63M,28.63M,8.955M,-5.827M,-16.01M,71.59M,-13.06M,,-30.31M,15.35M,254.37M,,-62.52M,,,128.21M,7.234M,-0.304M,72.62M,,-250.00M,-43.00M,-293.00M,,-35.04M,-35.04M,,,17.26M,-0.649M,-311.43M,,169.27M,15.56M,6.593M,191.41M,,,,-250.00M,-35.04M,,AOR,Restated
2017-05,84.24M,-1.041M,,29.15M,51.07M,13.81M,64.88M,64.88M,7.374M,,25.29M,-15.07M,-94.34M,22.70M,35.59M,22.62M,-8.679M,,19.47M,-2.642M,280.13M,,-54.70M,,,-2.080B,-9.613M,-0.224M,-2.145B,,1.932B,-49.00M,1.883B,,-0.67M,-0.67M,0.011M,0.011M,6.756M,-3.19M,1.886B,,147.24M,21.39M,0.631M,169.27M,,,1.833B,0.00,-0.67M,,AOR,Restated
2017-02,118.00M,0.00,,0.00,40.90M,3.761M,44.66M,44.66M,0.361M,,24.00M,24.00M,16.27M,-8.748M,-9.435M,-20.47M,4.262M,,13.12M,-4.989M,182.04M,,-63.45M,,,-1.852M,-7.826M,-0.304M,-73.43M,,0.00,33.50M,33.50M,,-0.824M,-0.824M,-142.44M,-142.44M,5.889M,-0.683M,-104.56M,,143.57M,4.045M,-0.374M,147.24M,,,33.50M,0.00,-0.824M,,AOR,Restated
2016-11,140.38M,-25.88M,,-25.88M,39.91M,3.971M,43.88M,43.88M,-5.803M,,18.80M,18.80M,-21.97M,-1.599M,3.703M,-23.28M,-2.443M,,18.34M,-27.25M,144.13M,,-76.59M,,,19.09M,64.82M,1.25M,8.561M,,0.00,-97.80M,-97.80M,,-0.36M,-0.36M,,,2.943M,-10.83M,-106.04M,,99.21M,46.65M,-2.286M,143.57M,,,-97.80M,0.00,-0.36M,,AOR,Restated
2016-08,138.09M,0.00,,0.00,39.68M,3.489M,43.17M,43.17M,1.97M,,20.78M,20.78M,-22.95M,-13.02M,-5.655M,34.35M,-1.872M,,-37.28M,-46.42M,157.59M,,-78.58M,,,-10.99M,-10.12M,-0.918M,-100.61M,,-250.00M,163.80M,-86.20M,,-18.87M,-18.87M,,,16.28M,-8.24M,-97.03M,,139.36M,-40.05M,-0.102M,99.21M,,,163.80M,-250.00M,-18.87M,,AOR,Restated
2016-05,130.90M,-4.333M,,-4.333M,39.16M,3.452M,42.61M,42.61M,15.24M,,22.12M,22.12M,-11.24M,6.092M,0.615M,-51.15M,0.599M,,17.24M,-37.84M,168.69M,,-67.88M,,,-2.268M,-2.95M,-0.296M,-73.40M,,0.00,,0.00,,-277.71M,-277.71M,0.00,0.00,5.966M,-0.663M,-272.41M,,315.12M,-177.12M,1.356M,139.36M,,,,0.00,-277.71M,,AOR,Restated
2016-02,117.34M,0.00,,0.00,37.40M,4.372M,41.78M,41.78M,23.88M,,16.93M,16.93M,-2.105M,-4.168M,0.789M,-185.36M,3.988M,,19.04M,-167.81M,32.12M,,-85.68M,,,-30.49M,2.243M,2.446M,-111.49M,,0.00,0.00,0.00,,-100.15M,-100.15M,-115.27M,-115.27M,4.816M,0.507M,-210.10M,,606.78M,-289.47M,-2.20M,315.12M,,,,0.00,-100.15M,,AOR,Restated
2015-11,345.10M,-375.20M,,-375.20M,36.96M,4.161M,41.13M,41.13M,-104.06M,,16.32M,16.32M,-20.16M,-11.73M,3.655M,220.04M,-5.954M,,12.81M,198.66M,121.95M,,-59.19M,,,589.40M,-16.15M,1.066M,515.13M,,0.00,0.00,0.00,,-180.70M,-180.70M,,,5.60M,0.595M,-174.50M,,146.86M,462.58M,-2.659M,606.78M,,,,0.00,-180.70M,,AOR,Restated
2015-08,100.18M,9.673M,,9.673M,36.16M,3.603M,39.77M,39.77M,5.632M,,23.92M,23.92M,-19.26M,-8.109M,-6.024M,37.82M,-4.939M,,-35.58M,-36.09M,143.08M,,-62.63M,,,-97.04M,-43.11M,0.921M,-201.86M,,-0.016M,0.00,-0.016M,,-221.60M,-221.60M,,,11.84M,0.051M,-209.72M,,417.07M,-268.50M,-1.715M,146.86M,,,,-0.016M,-221.60M,,AOR,Restated
2015-05,105.22M,-4.256M,,-4.256M,35.67M,3.368M,39.04M,39.04M,5.438M,,10.99M,10.99M,1.725M,8.415M,-1.593M,37.13M,-9.791M,,10.32M,46.20M,202.63M,,-54.68M,,,1.84M,27.70M,-0.20M,88.06M,,-0.062M,,-0.062M,,-237.32M,-237.32M,0.05M,0.05M,8.274M,-1.55M,-230.61M,,358.32M,60.08M,-1.33M,417.07M,,,,-0.062M,-237.32M,,AOR,Restated
2015-02,94.88M,10.29M,,10.29M,34.50M,3.388M,37.89M,37.89M,5.082M,,11.23M,11.23M,9.579M,0.523M,1.013M,-104.71M,1.27M,,18.02M,-74.30M,85.07M,,-50.02M,,,-9.888M,-49.26M,-0.098M,-109.26M,,-0.092M,,-0.092M,,-251.08M,-251.08M,-201.94M,-201.94M,9.484M,1.381M,-442.24M,,826.72M,-466.43M,-1.975M,358.32M,,,,-0.092M,-251.08M,,AOR,Restated
2014-11,120.41M,-34.14M,,-34.14M,35.00M,3.496M,38.50M,38.50M,8.238M,,12.50M,12.50M,-20.97M,13.47M,3.262M,3.302M,-16.36M,,16.15M,-1.145M,144.37M,,-44.98M,,,153.31M,-4.997M,1.665M,105.00M,,-0.184M,,-0.184M,,-2.134M,-2.134M,,,8.849M,-5.04M,1.491M,,581.45M,250.86M,-5.594M,826.72M,,,,-0.184M,-2.134M,,AOR,Restated
2014-08,110.11M,-28.36M,,-28.36M,35.45M,4.206M,39.65M,39.65M,2.108M,,12.28M,12.28M,8.222M,1.377M,-5.884M,57.07M,-7.112M,,-41.26M,12.41M,148.20M,,-68.05M,,,30.95M,-6.981M,0.016M,-38.82M,,-0.18M,,-0.18M,,-61.44M,-61.44M,,,13.62M,6.798M,-41.20M,,513.29M,68.18M,-0.019M,581.45M,,,,-0.18M,-61.44M,,AOR,Restated
2014-05,127.22M,-82.38M,,-82.38M,40.46M,5.118M,45.58M,45.58M,38.38M,,7.627M,23.77M,-22.21M,5.068M,-0.285M,83.64M,-7.293M,,8.712M,67.63M,220.20M,,-31.96M,,,178.88M,4.038M,-4.351M,146.60M,,-0.177M,,-0.177M,,-206.14M,-206.14M,-0.006M,-0.006M,12.62M,-9.87M,-203.57M,,348.86M,163.23M,1.202M,513.29M,,,,-0.177M,-206.14M,,AOR,Restated
2014-02,84.60M,0.00,,0.00,42.58M,5.783M,48.36M,48.36M,-0.566M,,7.624M,7.624M,-10.27M,-6.898M,-0.116M,10.60M,8.552M,,21.60M,23.47M,163.49M,,-36.83M,,,-0.451M,-3.401M,0.061M,-40.62M,,-0.173M,,-0.173M,,-0.262M,-0.262M,-93.31M,-93.31M,7.975M,4.016M,-81.76M,,309.33M,41.11M,-1.589M,348.86M,,,,-0.173M,-0.262M,,AOR,Restated
2013-11,84.86M,0.00,,0.00,42.61M,5.918M,48.53M,48.53M,1.926M,,7.64M,7.64M,-8.852M,-3.974M,5.44M,-2.70M,-8.544M,,15.40M,-3.234M,139.72M,,-39.32M,,,-0.298M,-12.59M,-1.311M,-53.52M,,-7.67M,,-7.67M,,-57.22M,-57.22M,,,7.226M,2.197M,-55.47M,,278.67M,30.73M,-0.064M,309.33M,,,,-7.67M,-57.22M,,AOR,Restated
2013-08,77.75M,0.00,,0.00,42.57M,5.823M,48.39M,48.39M,7.373M,,6.984M,6.984M,-14.90M,-5.258M,-7.216M,8.358M,-4.15M,,-34.78M,-57.95M,82.56M,,-37.46M,,,-32.22M,2.292M,0.382M,-67.00M,,-0.167M,,-0.167M,,-106.98M,-106.98M,,,14.08M,4.126M,-88.93M,,352.27M,-73.38M,-0.225M,278.67M,,,,-0.167M,-106.98M,,AOR,Restated
2013-05,85.98M,,,,42.42M,5.829M,48.25M,48.25M,16.12M,,6.65M,6.65M,-1.302M,6.56M,-3.29M,53.30M,-15.38M,,-12.48M,27.41M,184.40M,,-44.69M,,,-4.745M,20.76M,-0.677M,-29.35M,,-0.164M,,-0.164M,,-28.60M,-28.60M,0.00,0.00,7.651M,1.581M,-19.54M,,217.47M,135.52M,-0.717M,352.27M,,,0.00,-0.164M,-28.60M,,AOR,Restated
2013-02,74.70M,,,,41.92M,5.911M,47.83M,47.83M,8.554M,,5.576M,5.576M,-16.87M,-11.02M,0.211M,-3.422M,-0.698M,,36.22M,4.413M,141.08M,,-52.74M,,,-11.38M,0.854M,0.011M,-63.25M,,-0.16M,,-0.16M,,-27.90M,-27.90M,-79.74M,-79.74M,4.799M,1.091M,-101.92M,,242.49M,-24.09M,-0.928M,217.47M,,,0.00,-0.16M,-27.90M,,AOR,Restated
2012-11,78.03M,,,,40.98M,5.873M,46.85M,46.85M,13.64M,,5.636M,5.636M,-17.40M,5.571M,5.19M,0.426M,-19.43M,,13.89M,-11.75M,132.40M,,-51.62M,,,-51.11M,-26.35M,-1.25M,-130.34M,,-0.158M,,-0.158M,,-81.22M,-81.22M,,,1.238M,1.015M,-79.13M,,319.22M,-77.07M,0.337M,242.49M,,,0.00,-0.158M,-81.22M,,AOR,Restated
2012-08,76.73M,,,,40.34M,6.10M,46.44M,46.44M,9.716M,,5.448M,5.448M,-7.128M,9.889M,-5.392M,18.62M,-8.672M,,-50.79M,-43.47M,94.86M,,-47.44M,,,-2.13M,-12.25M,0.577M,-61.24M,,24.85M,,24.85M,,-77.95M,-77.95M,,,1.119M,-3.491M,-55.48M,,339.82M,-21.86M,1.247M,319.22M,,,250.00M,-225.15M,-77.95M,,AOR,Restated
2012-05,78.61M,,,,40.26M,8.814M,49.08M,49.08M,57.72M,,5.289M,5.289M,-12.50M,24.63M,4.481M,-33.69M,-19.84M,,8.374M,-28.56M,162.15M,,-43.09M,,,-3.982M,135.81M,0.158M,88.90M,,-0.107M,,-0.107M,,-129.65M,-129.65M,0.00,0.00,2.985M,-0.835M,-127.60M,,217.98M,123.44M,-1.603M,339.82M,,,0.00,-0.107M,-129.65M,,AOR,Restated
2012-02,76.04M,,,,38.64M,29.52M,68.16M,68.16M,10.77M,-20.10M,5.267M,-14.84M,9.09M,12.31M,-0.849M,-36.69M,-10.80M,,18.56M,-8.378M,131.76M,,-37.88M,,,-6.331M,-3.084M,-3.919M,-51.22M,,-0.313M,,-0.313M,,0.00,0.00,-70.82M,-70.82M,0.356M,-0.142M,-70.92M,,207.77M,9.619M,0.592M,217.98M,,,0.00,-0.313M,0.00,,AOR,Restated
2011-11,74.35M,,,,38.64M,,38.64M,38.64M,-3.959M,9.871M,5.234M,15.10M,-10.71M,-8.498M,0.855M,47.43M,-18.51M,,-15.31M,-4.745M,119.40M,,-35.41M,,,-13.68M,-9.781M,-0.767M,-59.64M,,-0.459M,,-0.459M,,-0.043M,-0.043M,,,,0.606M,0.104M,,150.31M,59.86M,-2.40M,207.77M,,,0.00,-0.459M,-0.043M,,AOR,Restated
2011-08,68.64M,,,,38.28M,,38.28M,38.28M,-7.808M,10.23M,4.522M,14.76M,-10.14M,-30.77M,-5.983M,0.719M,-11.12M,,,-57.30M,56.56M,,-44.42M,,,-0.87M,-43.58M,6.539M,-82.34M,,-0.444M,,-0.444M,,-262.64M,-262.64M,,,,0.926M,-262.16M,,438.11M,-287.93M,0.137M,150.31M,,,0.00,-0.444M,-262.64M,,AOR,Restated
2011-05,,,,,38.76M,,81.34M,81.34M,25.38M,-32.17M,5.39M,-161.01M,-16.14M,-17.20M,2.778M,20.03M,-19.75M,,12.49M,-17.79M,132.93M,,-40.29M,,,-13.04M,-53.96M,-2.353M,-109.64M,,478.05M,,478.05M,,-240.48M,-240.48M,,0.00,,-5.539M,232.03M,,184.73M,255.32M,-1.95M,438.11M,,,697.50M,-219.45M,-240.48M,,AOR,Restated
2011-02,,,,,37.56M,,37.56M,37.56M,28.80M,10.98M,4.014M,59.07M,-5.07M,-22.78M,2.108M,-21.63M,-7.794M,,13.46M,-41.71M,98.73M,,-54.16M,,,-69.72M,-8.106M,4.013M,-127.98M,,21.04M,,21.04M,,-0.007M,-0.007M,,-71.81M,,-0.769M,-51.55M,,260.95M,-80.80M,4.576M,184.73M,,,303.00M,-281.96M,-0.007M,,AOR,
2010-11,,,,,37.20M,,37.20M,37.20M,-3.739M,10.75M,2.753M,55.87M,-14.03M,-24.04M,6.395M,10.03M,-15.16M,,7.892M,-28.90M,73.93M,,-39.93M,,,-40.98M,51.57M,-4.096M,-33.43M,,-0.407M,,-0.407M,,-71.87M,-71.87M,,,,-0.482M,-72.76M,,290.65M,-32.26M,2.567M,260.95M,,,0.239M,-0.646M,-71.87M,,AOR,Restated
2010-08,,,,,37.36M,,37.36M,37.36M,-2.538M,10.43M,3.046M,61.28M,-13.75M,-14.80M,-10.92M,2.022M,-15.48M,,-21.35M,-74.28M,35.30M,,-48.20M,,,-47.82M,71.24M,-2.762M,-27.55M,,1.394M,,1.394M,,-131.34M,-131.34M,,,,2.181M,-127.76M,,411.28M,-120.01M,-0.623M,290.65M,,,1.542M,-0.148M,-131.34M,,AOR,Restated
2010-05,-160.14M,,,,38.22M,,38.22M,38.22M,1.35M,10.48M,4.026M,173.69M,-5.563M,-1.607M,3.955M,40.18M,-10.06M,,,26.91M,136.46M,,-32.15M,,,-9.069M,-10.75M,-3.307M,-55.28M,,-0.139M,,-0.139M,,-0.009M,-0.009M,,-73.96M,,-0.583M,-74.69M,,406.50M,6.499M,-1.721M,411.28M,,,0.00,-0.139M,-0.009M,,AOR,Restated
2010-02,48.98M,,,,37.94M,,37.94M,37.94M,7.168M,10.04M,3.752M,13.79M,18.13M,-2.974M,0.328M,-2.571M,14.22M,,,27.14M,135.01M,,-30.84M,,,-34.77M,-8.60M,2.751M,-71.46M,,-0.143M,,-0.143M,,-0.001M,-0.001M,,0.00,,0.323M,0.179M,,342.01M,63.73M,0.755M,406.50M,,,0.00,-0.143M,-0.001M,,AOR,Restated
2009-11,57.18M,,,,37.35M,,37.35M,37.35M,5.189M,10.21M,3.941M,14.15M,-11.91M,17.90M,4.322M,25.10M,,,,35.41M,149.28M,,-23.27M,,,-3.968M,-7.949M,1.078M,-34.11M,,-0.142M,,-0.142M,,0.00,0.00,,,,-1.233M,-1.375M,,227.31M,113.79M,0.909M,342.01M,,,0.00,-0.142M,0.00,,AOR,Restated
2009-08,53.98M,,,,38.55M,,38.55M,38.55M,-0.412M,10.36M,3.63M,13.99M,4.561M,16.98M,-4.89M,22.14M,,,,38.79M,144.89M,,-24.82M,,,-2.633M,-19.26M,-0.025M,-46.74M,,-0.179M,,-0.179M,,-0.959M,-0.959M,,,,0.516M,-0.622M,,129.74M,97.54M,0.03M,227.31M,,,0.00,-0.179M,-0.959M,,AOR,Restated
2009-05,4.072M,,,,39.45M,,39.45M,39.45M,-10.23M,-32.02M,3.049M,1.607M,29.03M,51.56M,0.853M,-8.042M,16.66M,,,88.06M,183.80M,,-27.31M,,,-1.528M,-9.045M,0.177M,-37.70M,,-0.139M,,-0.139M,,0.00,0.00,,,0.00,0.119M,-72.23M,,54.25M,73.87M,1.623M,129.74M,,,0.00,-0.139M,0.00,,AOR,Restated
2009-02,71.81M,,,,39.75M,,39.75M,39.75M,10.89M,10.50M,1.993M,12.49M,56.42M,-1.258M,-2.003M,-36.52M,13.00M,,,29.63M,164.58M,,-36.83M,,,-11.05M,-41.36M,-0.781M,-90.02M,,-83.76M,,-83.76M,,0.00,0.00,,,,0.323M,-83.44M,,62.41M,-8.881M,0.719M,54.25M,,,0.00,-83.76M,0.00,,,Restated
2008-11,71.84M,,,,39.33M,,39.33M,39.33M,-0.358M,10.68M,3.376M,14.05M,-6.495M,-11.37M,2.533M,-22.73M,,,,-38.06M,86.80M,,-41.50M,,,-6.225M,48.65M,-0.274M,0.653M,,-79.99M,,-79.99M,,0.00,0.00,,,0.00,0.126M,-79.86M,,58.24M,7.594M,-3.424M,62.41M,,,0.50M,-80.49M,0.00,,,Restated
2008-08,78.64M,,,,39.04M,,39.04M,39.04M,-1.482M,10.84M,3.535M,14.38M,-7.806M,-3.795M,-6.332M,-24.30M,,,,-42.24M,88.34M,,-54.46M,,,-12.11M,-10.21M,0.627M,-76.15M,,6.739M,,6.739M,,-25.85M,-25.85M,,,0.00,0.287M,-18.82M,,66.22M,-6.631M,-1.35M,58.24M,,,7.00M,-0.261M,-25.85M,,,Restated
2008-05,89.66M,,,,38.49M,10.97M,49.46M,49.46M,2.119M,,,0.05M,-39.66M,2.825M,2.653M,47.82M,18.63M,-6.156M,6.114M,32.23M,173.52M,,-45.48M,,144.85M,-9.432M,-18.67M,0.802M,-72.78M,,,,-21.60M,-8.03M,0.00,-8.03M,,,,0.099M,-91.99M,,55.68M,8.746M,,66.22M,,-8.03M,,,0.00,,,Restated
2008-02,81.83M,,,,37.80M,11.03M,48.84M,48.84M,-4.082M,,,2.597M,9.078M,-2.206M,1.63M,-9.219M,-1.206M,-40.01M,11.31M,-30.62M,98.56M,,-51.64M,,-51.64M,-46.07M,-9.11M,-1.934M,-108.76M,,,,16.61M,0.278M,0.00,0.278M,,,,-7.655M,9.233M,,56.64M,-0.965M,,55.68M,,0.278M,,,0.00,,,
2007-11,82.85M,,,,36.64M,10.76M,47.39M,47.39M,-13.79M,,,2.677M,-8.86M,-2.426M,1.664M,3.336M,-10.29M,50.55M,60.44M,94.41M,213.54M,,-47.86M,,-47.86M,-23.40M,-3.85M,0.555M,-74.56M,,,,68.11M,0.522M,-191.48M,-190.96M,,,,-0.335M,-123.18M,,40.84M,15.80M,,56.64M,,0.522M,,,-191.48M,,,
2007-08,81.06M,,,,35.64M,10.59M,46.22M,46.22M,17.42M,,,2.132M,0.644M,-4.293M,-2.117M,5.435M,-7.128M,-4.385M,-77.86M,-89.71M,57.13M,,-45.34M,,-45.34M,-32.63M,22.92M,0.177M,-54.88M,,,,-0.532M,7.23M,,7.23M,,,,-3.465M,3.233M,,35.36M,5.481M,,40.84M,,7.23M,,,,,,
2007-05,90.32M,,,,35.14M,10.73M,45.88M,45.88M,18.73M,,,1.754M,-12.37M,-3.914M,-0.826M,-5.584M,-5.373M,-1.292M,-0.007M,-29.37M,127.31M,,-52.19M,,-52.19M,-25.70M,-8.311M,14.47M,-71.73M,,,,-2.30M,1.334M,0.00,1.334M,,,,11.18M,-51.78M,,31.56M,3.802M,,35.36M,,1.334M,,,0.00,,,
2007-02,76.73M,,,,33.96M,10.34M,44.30M,44.30M,-20.06M,,,1.496M,15.09M,-8.922M,-1.252M,-9.576M,7.939M,-11.06M,0.06M,-7.717M,94.74M,,-47.32M,,-47.32M,-81.23M,7.703M,-13.56M,-134.40M,,,,92.24M,3.748M,-56.99M,-53.24M,,,,-6.721M,32.28M,,38.94M,-7.381M,,31.56M,,3.748M,,,-56.99M,,,
2006-11,82.53M,,,,33.00M,9.989M,42.98M,42.98M,-9.773M,,,1.848M,-12.98M,-6.873M,-3.058M,19.28M,-7.223M,64.86M,-0.097M,53.90M,171.49M,,-44.82M,,-44.82M,-28.68M,7.097M,-0.303M,-66.71M,,,,-65.65M,2.378M,-27.54M,-25.16M,,,,-9.994M,-100.80M,,34.96M,3.974M,,38.94M,,2.378M,,,-27.54M,,,
2006-08,84.96M,,,,33.08M,9.69M,42.77M,42.77M,10.77M,,,-0.598M,-1.202M,-12.38M,0.634M,-11.77M,-2.311M,-55.03M,,-82.06M,55.84M,,-36.50M,,-36.50M,-25.10M,63.17M,-2.437M,-0.864M,,,,58.18M,3.403M,-114.42M,-111.02M,,,,-6.091M,-58.93M,,38.91M,-3.949M,,34.96M,,3.403M,,,-114.42M,,,
