,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,1.305B,699.40M,2.004B,421.40M,20.90M,651.70M,,,,761.30M,103.60M,15.50M,,,3.548B,0.00,16.80M,458.10M,1.564B,,41.50M,1.147B,3.228B,-2.041B,1.186B,950.50M,188.00M,1.138B,86.20M,0.00,2.595B,6.143B,,2018-03,165.60M,40.60M,224.20M,430.40M,668.30M,1.099B,69.60M,,,10.10M,298.10M,308.20M,19.50M,327.70M,30.40M,30.40M,,60.80M,288.00M,236.40M,524.40M,36.50M,,49.20M,,123.70M,1.099B,2.686B,,2018-03,1.30M,5.752B,2.383B,4.581B,,,-98.50M,3.457B,,2018-03,AOR,Restated
2017-12,1.176B,862.30M,2.038B,295.20M,6.90M,519.80M,,,,825.40M,129.90M,13.40M,,,3.533B,0.00,16.80M,458.60M,1.661B,,28.90M,1.201B,3.366B,-2.150B,1.216B,935.00M,201.50M,1.136B,83.30M,0.20M,2.666B,6.199B,,2017-12,184.30M,40.60M,340.90M,565.80M,659.60M,1.225B,84.00M,,,,298.30M,298.30M,22.10M,320.40M,33.90M,33.90M,,46.50M,290.30M,238.30M,528.60M,7.50M,,37.80M,,146.00M,1.081B,2.792B,,2017-12,1.30M,5.752B,2.365B,4.580B,,,-130.60M,3.408B,,2017-12,AOR,Restated
2017-09,1.112B,507.10M,1.619B,470.30M,10.10M,694.80M,,,,864.60M,117.70M,13.30M,,,3.324B,0.00,16.80M,458.50M,1.645B,,29.20M,1.180B,3.329B,-2.088B,1.240B,933.00M,207.70M,1.141B,82.60M,0.40M,2.704B,6.028B,,2017-09,172.80M,40.60M,269.20M,482.60M,610.10M,1.093B,95.10M,,,,298.60M,298.60M,22.10M,320.70M,33.10M,33.10M,,48.50M,291.80M,242.60M,534.40M,7.00M,,30.90M,,140.50M,928.60M,2.519B,,2017-09,1.30M,5.874B,2.348B,4.578B,,,-135.40M,3.510B,,2017-09,AOR,Restated
2017-06,830.40M,740.50M,1.571B,279.20M,12.00M,504.00M,,,,859.90M,124.40M,14.00M,,,3.087B,0.00,16.80M,457.70M,1.669B,,21.80M,1.175B,3.340B,-2.067B,1.273B,924.20M,213.70M,1.138B,80.10M,,2.727B,5.814B,,2017-06,160.90M,40.60M,240.40M,441.90M,587.40M,1.029B,118.90M,,,,,,22.10M,22.10M,30.60M,30.60M,,16.00M,590.40M,246.70M,837.10M,12.10M,,39.20M,,131.50M,1.237B,2.454B,,2017-06,1.30M,5.771B,2.330B,4.578B,,,-164.10M,3.360B,,2017-06,AOR,Restated
2017-03,668.30M,684.70M,1.353B,450.20M,16.40M,673.80M,,,,791.50M,103.40M,9.80M,,,2.954B,0.00,16.80M,457.20M,1.650B,,33.40M,1.179B,3.337B,-2.021B,1.316B,904.60M,219.80M,1.124B,21.40M,9.60M,2.698B,5.652B,,2017-03,147.70M,40.50M,201.70M,389.90M,564.60M,954.50M,140.80M,,,,,,22.60M,22.60M,29.70M,29.70M,,12.30M,588.20M,250.90M,839.10M,11.80M,,9.40M,,113.30M,1.192B,2.352B,,2017-03,1.20M,5.752B,2.309B,4.564B,,,-198.40M,3.300B,,2017-03,AOR,Restated
2016-12,928.00M,453.00M,1.381B,285.00M,16.00M,483.00M,,,,984.00M,117.00M,9.00M,,,3.034B,0.00,17.00M,456.00M,1.644B,,134.00M,1.263B,3.514B,-2.00B,1.514B,900.00M,225.00M,1.125B,82.00M,19.00M,2.932B,5.966B,,2016-12,158.00M,41.00M,193.00M,392.00M,609.00M,1.001B,85.00M,,,,,,22.00M,22.00M,34.00M,34.00M,,9.00M,589.00M,252.00M,841.00M,14.00M,,9.00M,,125.00M,1.205B,2.356B,,2016-12,1.00M,5.997B,2.299B,4.464B,,,-223.00M,3.61B,,2016-12,AOR,Restated
2016-09,434.00M,531.00M,965.00M,490.00M,17.00M,689.00M,,,,1.173B,120.00M,9.00M,,,2.976B,0.00,17.00M,460.00M,1.586B,,235.00M,1.261B,3.559B,-1.995B,1.564B,936.00M,235.00M,1.171B,122.00M,7.00M,3.091B,6.067B,,2016-09,159.00M,41.00M,170.00M,370.00M,565.00M,935.00M,102.00M,,95.00M,,,95.00M,22.00M,117.00M,38.00M,38.00M,,25.00M,597.00M,259.00M,856.00M,13.00M,,33.00M,,124.00M,1.252B,2.469B,,2016-09,1.00M,5.956B,2.284B,4.463B,,,-180.00M,3.598B,,2016-09,AOR,Restated
2016-06,457.00M,619.00M,1.076B,338.00M,13.00M,524.00M,,,,1.242B,127.00M,12.00M,,,3.002B,0.00,17.00M,474.00M,1.564B,,209.00M,1.253B,3.517B,-1.952B,1.565B,930.00M,240.00M,1.17B,149.00M,11.00M,3.116B,6.118B,,2016-06,192.00M,41.00M,178.00M,411.00M,591.00M,1.002B,107.00M,,90.00M,,,90.00M,22.00M,112.00M,48.00M,48.00M,,27.00M,602.00M,264.00M,866.00M,13.00M,,26.00M,,126.00M,1.256B,2.552B,,2016-06,1.00M,5.952B,2.259B,4.454B,,,-192.00M,3.566B,,2016-06,AOR,Restated
2016-03,456.30M,629.40M,1.086B,516.50M,12.60M,698.60M,,,,1.125B,111.10M,16.60M,,,3.053B,0.00,16.80M,460.40M,1.546B,,215.70M,1.248B,3.487B,-1.904B,1.583B,917.90M,243.90M,1.162B,186.60M,6.30M,3.160B,6.213B,,2016-03,151.00M,41.40M,171.60M,364.00M,581.20M,945.20M,40.30M,,90.00M,26.10M,,116.10M,20.70M,136.80M,50.10M,50.10M,,25.90M,597.00M,265.70M,862.70M,16.30M,,33.50M,,128.70M,1.271B,2.470B,,2016-03,1.20M,6.015B,2.258B,4.349B,,,-181.50M,3.744B,,2016-03,AOR,Restated
2015-12,527.00M,688.00M,1.215B,473.00M,12.00M,657.00M,3.00M,0.00,1.268B,1.271B,122.00M,14.00M,154.00M,,3.452B,0.00,17.00M,456.00M,1.504B,,171.00M,1.256B,3.404B,-1.84B,1.564B,901.00M,248.00M,1.149B,,26.00M,2.889B,6.341B,,2015-12,195.00M,42.00M,201.00M,438.00M,653.00M,1.091B,35.00M,,15.00M,,,15.00M,20.00M,35.00M,44.00M,44.00M,,9.00M,596.00M,269.00M,865.00M,87.00M,5.00M,10.00M,,126.00M,1.323B,2.537B,,2015-12,1.00M,6.015B,2.236B,4.248B,,,-200.00M,3.804B,,2015-12,AOR,Restated
2015-09,380.00M,746.00M,1.126B,594.00M,15.00M,775.00M,2.00M,2.00M,1.376B,1.38B,113.00M,11.00M,147.00M,,3.58B,0.00,17.00M,454.00M,1.466B,,147.00M,1.215B,3.299B,-1.78B,1.519B,906.00M,255.00M,1.161B,,25.00M,2.863B,6.443B,,2015-09,206.00M,42.00M,149.00M,397.00M,656.00M,1.053B,36.00M,,130.00M,,,130.00M,20.00M,150.00M,39.00M,39.00M,,,597.00M,274.00M,871.00M,87.00M,10.00M,14.00M,,134.00M,1.354B,2.632B,,2015-09,1.00M,5.926B,2.199B,4.148B,,,-167.00M,3.811B,,2015-09,AOR,Restated
2015-06,490.00M,661.00M,1.151B,390.00M,13.00M,566.00M,3.00M,1.00M,1.266B,1.27B,121.00M,7.00M,146.00M,,3.304B,0.00,17.00M,408.00M,1.432B,,103.00M,1.208B,3.168B,-1.749B,1.419B,901.00M,260.00M,1.161B,,29.00M,2.764B,6.068B,,2015-06,207.00M,43.00M,154.00M,404.00M,576.00M,980.00M,34.00M,,155.00M,,,155.00M,19.00M,174.00M,41.00M,41.00M,,,297.00M,222.00M,519.00M,87.00M,15.00M,17.00M,,147.00M,1.032B,2.261B,,2015-06,1.00M,5.808B,2.17B,4.018B,,,-154.00M,3.807B,,2015-06,AOR,Restated
2015-03,500.00M,644.00M,1.144B,655.00M,14.00M,819.00M,,,,1.042B,107.00M,2.00M,145.00M,,3.324B,0.00,17.00M,409.00M,1.405B,,99.00M,1.185B,3.115B,-1.679B,1.436B,903.00M,267.00M,1.17B,8.00M,22.00M,2.782B,6.106B,,2015-03,210.00M,43.00M,135.00M,388.00M,484.00M,872.00M,5.00M,,,,234.00M,234.00M,19.00M,253.00M,38.00M,38.00M,,18.00M,298.00M,238.00M,536.00M,87.00M,20.00M,1.00M,,157.00M,1.029B,2.215B,,2015-03,1.00M,5.787B,2.117B,3.849B,,,-165.00M,3.891B,,2015-03,AOR,Restated
2014-12,763.00M,644.00M,1.407B,416.00M,14.00M,576.00M,2.00M,1.00M,1.208B,1.211B,120.00M,5.00M,149.00M,,3.519B,0.00,17.00M,409.00M,1.411B,,81.00M,1.195B,3.113B,-1.659B,1.454B,917.00M,273.00M,1.19B,,26.00M,2.825B,6.344B,,2014-12,229.00M,39.00M,244.00M,512.00M,570.00M,1.082B,,,113.00M,,,113.00M,20.00M,133.00M,43.00M,43.00M,,,300.00M,243.00M,543.00M,71.00M,25.00M,,,147.00M,1.011B,2.269B,,2014-12,1.00M,5.706B,2.089B,3.699B,,,-22.00M,4.075B,,2014-12,AOR,Restated
2014-09,483.00M,708.00M,1.191B,641.00M,18.00M,797.00M,2.00M,2.00M,1.288B,1.292B,97.00M,,150.00M,,3.56B,0.00,17.00M,412.00M,1.379B,,87.00M,1.132B,3.027B,-1.616B,1.411B,940.00M,283.00M,1.223B,2.00M,11.00M,2.838B,6.398B,,2014-09,255.00M,40.00M,155.00M,450.00M,564.00M,1.014B,,,210.00M,,,210.00M,18.00M,228.00M,41.00M,41.00M,,,300.00M,249.00M,549.00M,74.00M,30.00M,,,168.00M,1.086B,2.369B,,2014-09,1.00M,5.53B,2.056B,3.598B,,,40.00M,4.029B,,2014-09,AOR,Restated
2014-06,711.00M,658.00M,1.369B,357.00M,,418.00M,3.00M,2.00M,1.175B,1.18B,202.00M,,152.00M,,3.321B,0.00,17.00M,185.00M,1.341B,,326.00M,1.078B,2.947B,-1.584B,1.363B,963.00M,293.00M,1.256B,,,2.809B,6.13B,,2014-06,260.00M,39.00M,183.00M,482.00M,519.00M,1.001B,,,,,,,18.00M,18.00M,42.00M,42.00M,,,300.00M,256.00M,556.00M,78.00M,35.00M,,,161.00M,1.097B,2.158B,,2014-06,1.00M,5.369B,2.017B,3.528B,,,113.00M,3.972B,,2014-06,AOR,Restated
2014-03,797.00M,488.00M,1.285B,588.00M,22.00M,749.00M,3.00M,2.00M,1.015B,1.02B,117.00M,5.00M,150.00M,,3.329B,0.00,17.00M,183.00M,1.272B,,312.00M,1.064B,2.848B,-1.526B,1.322B,964.00M,299.00M,1.263B,,5.00M,2.759B,6.088B,,2014-03,203.00M,40.00M,153.00M,396.00M,517.00M,913.00M,,,,,,,16.00M,16.00M,41.00M,41.00M,,,298.00M,255.00M,553.00M,81.00M,39.00M,,,158.00M,1.084B,2.054B,,2014-03,1.00M,5.257B,1.979B,3.317B,,,114.00M,4.034B,,2014-03,AOR,Restated
2013-12,882.00M,533.00M,1.415B,425.00M,26.00M,551.00M,2.00M,1.00M,1.114B,1.117B,128.00M,,125.00M,,3.342B,0.00,13.00M,181.00M,1.24B,,308.00M,1.036B,2.778B,-1.479B,1.299B,958.00M,305.00M,1.263B,5.00M,,2.718B,6.06B,,2013-12,207.00M,40.00M,130.00M,377.00M,537.00M,914.00M,,,,,,,,,43.00M,43.00M,,27.00M,300.00M,258.00M,558.00M,28.00M,44.00M,,,163.00M,1.042B,2.026B,,2013-12,1.00M,5.144B,1.952B,3.167B,,,104.00M,4.034B,,2013-12,AOR,Restated
2013-09,839.00M,572.00M,1.411B,577.00M,,651.00M,2.00M,1.00M,1.212B,1.215B,119.00M,,119.00M,,3.558B,0.00,13.00M,176.00M,1.178B,,331.00M,1.006B,2.704B,-1.424B,1.28B,967.00M,318.00M,1.285B,7.00M,,2.708B,6.266B,,2013-09,219.00M,36.00M,82.00M,337.00M,558.00M,895.00M,,,,,,283.00M,,283.00M,40.00M,40.00M,,,300.00M,263.00M,563.00M,28.00M,48.00M,,,210.00M,1.057B,2.275B,,2013-09,1.00M,4.961B,1.884B,2.969B,,,114.00M,3.991B,,2013-09,AOR,Restated
2013-06,940.00M,411.00M,1.351B,349.00M,,377.00M,5.00M,2.00M,1.046B,1.053B,186.00M,,117.00M,,3.084B,0.00,10.00M,130.00M,1.127B,,87.00M,956.00M,2.31B,-1.366B,944.00M,963.00M,325.00M,1.288B,9.00M,,2.376B,5.46B,,2013-06,196.00M,36.00M,121.00M,353.00M,516.00M,869.00M,,,,,,271.00M,,271.00M,39.00M,39.00M,,,,,,,,,,520.00M,520.00M,1.699B,,2013-06,1.00M,4.791B,1.797B,2.91B,,,82.00M,3.761B,,2013-06,AOR,Restated
2013-03,974.00M,325.00M,1.299B,458.00M,17.00M,535.00M,5.00M,1.00M,890.00M,896.00M,98.00M,,120.00M,,2.963B,0.00,10.00M,130.00M,1.042B,,137.00M,934.00M,2.253B,-1.321B,932.00M,968.00M,328.00M,1.296B,104.00M,,2.455B,5.418B,,2013-03,147.00M,36.00M,94.00M,277.00M,533.00M,810.00M,,,,,267.00M,267.00M,4.00M,271.00M,40.00M,40.00M,,,,38.00M,38.00M,30.00M,58.00M,,,185.00M,512.00M,1.633B,,2013-03,1.00M,4.647B,1.752B,2.709B,,,94.00M,3.785B,,2013-03,AOR,Restated
2012-12,999.10M,313.20M,1.312B,383.90M,,402.80M,4.50M,2.10M,974.50M,981.10M,179.90M,,125.90M,,3.002B,0.00,9.90M,114.50M,1.044B,,108.70M,962.20M,2.239B,-1.313B,926.40M,993.10M,339.80M,1.333B,89.00M,,2.487B,5.489B,,2012-12,146.20M,,89.30M,235.50M,682.00M,917.50M,,,,,,274.10M,,274.10M,,,,,,,,,,,,527.90M,527.90M,1.720B,,2012-12,1.20M,4.556B,1.760B,2.708B,,,160.80M,3.770B,,2012-12,AOR,Restated
2012-09,543.70M,469.10M,1.013B,606.80M,,629.00M,5.20M,1.10M,1.054B,1.060B,177.50M,,123.50M,,3.003B,0.00,9.90M,117.60M,1.008B,,94.90M,945.60M,2.176B,-1.264B,911.90M,1.014B,349.70M,1.364B,84.90M,,2.520B,5.524B,,2012-09,224.40M,,97.10M,321.50M,446.10M,767.60M,,,,,,,,,44.90M,44.90M,,,265.80M,,265.80M,186.50M,,,,376.70M,829.00M,1.787B,,2012-09,1.20M,4.376B,1.720B,2.558B,,,197.50M,3.736B,,2012-09,AOR,Restated
2012-06,468.50M,563.00M,1.032B,395.30M,,415.00M,9.40M,1.50M,953.20M,964.10M,181.90M,,126.80M,,2.719B,0.00,9.90M,116.30M,963.90M,,66.30M,923.90M,2.080B,-1.211B,869.70M,1.003B,354.90M,1.358B,82.10M,,2.475B,5.194B,,2012-06,206.50M,,113.00M,319.50M,566.20M,885.70M,,,,,,,,,47.30M,47.30M,,,261.00M,,261.00M,164.20M,,,,364.10M,789.30M,1.722B,,2012-06,1.20M,4.199B,1.668B,2.558B,,,161.40M,3.472B,,2012-06,AOR,Restated
2012-03,671.60M,515.70M,1.187B,547.20M,,590.40M,5.10M,1.10M,835.40M,841.60M,108.90M,14.00M,125.60M,,2.900B,0.00,9.90M,132.70M,932.80M,,84.90M,898.20M,2.058B,-1.174B,884.10M,1.004B,359.00M,1.363B,135.80M,,2.516B,5.416B,,2012-03,180.60M,18.50M,119.00M,318.10M,577.80M,895.90M,,,,,,,,,50.30M,50.30M,,,274.40M,38.30M,312.70M,35.20M,78.20M,,,214.70M,817.70M,1.764B,,2012-03,1.20M,4.042B,1.624B,2.212B,,,196.60M,3.652B,,2012-03,AOR,Restated
2011-12,815.80M,386.30M,1.202B,440.20M,,450.00M,6.80M,0.80M,887.10M,894.70M,177.80M,,101.90M,,2.826B,0.00,9.90M,117.40M,900.80M,,56.70M,879.60M,1.964B,-1.138B,826.50M,1.013B,370.20M,1.384B,72.50M,,2.50B,5.326B,,2011-12,169.70M,,193.90M,363.60M,394.20M,757.80M,,,,,,,,,40.90M,40.90M,,,265.60M,,265.60M,162.80M,,,,389.20M,817.60M,1.797B,,2011-12,1.20M,3.966B,1.567B,2.212B,,,206.70M,3.530B,,2011-12,AOR,Restated
2011-09,407.70M,477.90M,885.60M,633.50M,,639.40M,6.10M,1.10M,981.20M,988.40M,156.90M,,103.60M,,2.774B,0.00,9.90M,118.40M,888.70M,,46.10M,876.50M,1.940B,-1.106B,833.50M,1.024B,378.60M,1.403B,93.80M,,2.554B,5.328B,,2011-09,190.00M,,179.30M,369.30M,601.30M,970.60M,,,,,,100.00M,,100.00M,51.80M,51.80M,,,273.70M,,273.70M,160.20M,,,,388.20M,822.10M,1.944B,,2011-09,1.20M,3.816B,1.529B,2.210B,,,247.40M,3.384B,,2011-09,AOR,Restated
2011-06,431.50M,520.00M,951.50M,388.10M,,410.30M,9.20M,1.50M,885.60M,896.30M,155.60M,,102.00M,,2.516B,0.00,9.90M,117.60M,832.60M,,37.00M,863.80M,1.861B,-1.076B,785.10M,1.023B,381.20M,1.404B,29.60M,,2.444B,4.960B,,2011-06,196.80M,,111.70M,308.50M,540.60M,849.10M,,,,,,7.70M,,7.70M,51.60M,51.60M,,,296.70M,,296.70M,160.80M,,,,392.60M,850.10M,1.758B,,2011-06,1.20M,3.601B,1.476B,2.117B,,,240.00M,3.202B,,2011-06,AOR,Restated
2011-03,453.00M,593.90M,1.047B,442.80M,,500.60M,7.50M,1.80M,692.80M,702.10M,136.30M,,92.10M,,2.478B,0.00,9.90M,115.30M,800.70M,,58.10M,826.30M,1.810B,-1.022B,788.80M,1.016B,387.70M,1.404B,83.60M,,2.503B,4.981B,,2011-03,214.70M,,8.90M,223.60M,561.60M,785.20M,,,,,,,,,46.80M,46.80M,,,291.90M,40.40M,332.30M,297.90M,166.10M,,,48.10M,844.40M,1.676B,,2011-03,1.20M,3.435B,1.445B,1.792B,,,215.80M,3.305B,,2011-03,AOR,Restated
2010-12,643.40M,599.40M,1.243B,338.10M,,338.10M,5.70M,1.40M,690.60M,697.70M,152.20M,,82.30M,,2.513B,0.00,9.90M,117.20M,908.00M,,65.90M,808.70M,1.910B,-1.153B,756.40M,996.70M,392.00M,1.389B,65.50M,,2.496B,5.009B,,2010-12,176.50M,,39.90M,216.40M,525.90M,742.30M,,,,,,,,,50.20M,50.20M,,,275.10M,,275.10M,,,,,528.00M,803.10M,1.596B,,2010-12,1.20M,3.381B,1.394B,1.545B,,,182.00M,3.413B,,2010-12,AOR,Restated
