,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,1.529B,1.529B,620.70M,908.50M,828.60M,,,-54.50M,3.80M,4.70M,0.90M,,828.60M,79.90M,4.70M,3.80M,0.90M,-55.90M,0.90M,24.90M,-16.40M,41.30M,,,41.30M,75.80M,28.70M,,2018-03,0.51,0.9970,0.51,,2018-03,0.50,0.9822,0.50,,82.50M,0.50,,2018-03,AOR,Restated
2017-12,1.642B,1.642B,645.60M,996.20M,779.80M,,,-27.20M,4.80M,3.30M,-1.50M,,779.80M,216.40M,3.30M,4.80M,-1.50M,-28.60M,-1.50M,186.30M,268.10M,-81.80M,,,-81.80M,72.70M,191.10M,,2017-12,-1.00,-0.8002,-1.00,,2017-12,-1.00,-0.8002,-1.00,,81.70M,0.50,,2017-12,AOR,Restated
2017-09,1.664B,1.664B,668.40M,995.80M,772.70M,,,-29.80M,4.60M,2.30M,-2.30M,,772.70M,223.10M,2.30M,4.60M,-2.30M,-29.60M,-2.30M,191.20M,47.40M,143.80M,,,143.80M,73.80M,195.80M,,2017-09,1.76,2.034,1.76,,2017-09,1.75,2.022,1.75,,82.30M,0.50,,2017-09,AOR,Restated
2017-06,1.347B,1.347B,495.90M,851.20M,714.40M,,,-46.50M,5.00M,2.00M,-3.00M,,714.40M,136.80M,2.00M,5.00M,-3.00M,-47.00M,-3.00M,86.80M,27.30M,59.50M,,,59.50M,72.90M,91.80M,,2017-06,0.73,1.121,0.73,,2017-06,0.72,1.107,0.72,,82.50M,0.50,,2017-06,AOR,Restated
2017-03,1.565B,1.565B,746.30M,819.10M,781.10M,,,-321.80M,1.30M,1.60M,0.30M,,763.00M,56.10M,1.60M,1.30M,0.30M,-324.90M,0.30M,-268.50M,-64.50M,-204.00M,,,-204.00M,75.60M,-267.20M,,2017-03,-2.46,0.5180,-2.46,,2017-03,-2.46,0.5180,-2.46,,82.10M,0.50,,2017-03,AOR,Restated
2016-12,1.715B,1.715B,731.40M,983.20M,771.90M,,6.00M,-77.00M,3.60M,2.50M,-1.10M,,777.90M,205.30M,2.50M,3.60M,-1.10M,-81.10M,-1.10M,123.10M,41.80M,81.30M,,,81.30M,77.90M,126.70M,,2016-12,0.98,1.617,0.98,,2016-12,0.98,1.611,0.98,,83.30M,0.50,,2016-12,AOR,Restated
2016-09,1.821B,1.821B,866.40M,954.20M,803.30M,,6.10M,-68.50M,4.10M,2.30M,-1.80M,,809.40M,144.80M,2.30M,4.10M,-1.80M,-69.30M,-1.80M,73.70M,28.00M,45.70M,,,45.70M,75.60M,77.80M,,2016-09,0.55,1.055,0.55,,2016-09,0.55,1.052,0.55,,83.20M,0.50,,2016-09,AOR,Restated
2016-06,1.552B,1.552B,657.60M,894.60M,814.70M,,6.00M,-105.10M,3.40M,0.90M,-2.50M,,820.70M,73.90M,0.90M,3.40M,-2.50M,-104.60M,-2.50M,-33.20M,-10.90M,-22.30M,,,-22.30M,78.40M,-29.80M,,2016-06,-0.27,0.5585,-0.27,,2016-06,-0.27,0.5585,-0.27,,83.30M,0.50,,2016-06,AOR,Restated
2016-03,1.871B,1.871B,857.50M,1.014B,918.50M,,,-44.40M,7.00M,1.30M,-5.70M,,901.50M,112.20M,1.30M,7.00M,-5.70M,-44.70M,-5.70M,61.80M,20.40M,41.40M,,,41.40M,82.40M,68.80M,,2016-03,0.49,0.8454,0.49,,2016-03,0.49,0.8412,0.49,,84.70M,0.50,,2016-03,AOR,Restated
2015-12,1.946B,1.946B,852.00M,1.094B,833.00M,,5.00M,-67.00M,6.00M,2.00M,-4.00M,,838.00M,256.00M,2.00M,6.00M,-4.00M,-71.00M,-4.00M,181.00M,50.00M,131.00M,,,131.00M,76.00M,187.00M,,2015-12,1.55,2.148,1.55,,2015-12,1.54,2.134,1.54,,85.50M,0.50,,2015-12,AOR,Restated
2015-09,1.97B,1.97B,857.00M,1.113B,839.00M,,6.00M,-38.00M,4.00M,1.00M,-3.00M,,845.00M,268.00M,1.00M,4.00M,-3.00M,-46.00M,-3.00M,219.00M,59.00M,160.00M,,,160.00M,77.00M,223.00M,,2015-09,1.87,2.236,1.87,,2015-09,1.86,2.224,1.86,,86.00M,0.50,,2015-09,AOR,Restated
2015-06,1.618B,1.618B,652.00M,966.00M,822.00M,,6.00M,-42.00M,4.00M,2.00M,-2.00M,,828.00M,138.00M,2.00M,4.00M,-2.00M,-46.00M,-2.00M,90.00M,26.00M,64.00M,,,64.00M,74.00M,94.00M,,2015-06,0.74,1.093,0.74,,2015-06,0.73,1.079,0.73,,87.50M,0.50,,2015-06,AOR,Restated
2015-03,1.885B,1.885B,841.40M,1.044B,839.30M,,6.20M,-8.00M,4.70M,2.10M,-2.60M,,845.50M,198.40M,2.10M,4.70M,-2.60M,-22.40M,-2.60M,173.40M,49.20M,124.20M,,,124.20M,75.40M,178.10M,,2015-03,1.43,1.593,1.43,,2015-03,1.41,1.572,1.41,,87.90M,0.50,,2015-03,AOR,Restated
2014-12,2.033B,2.033B,874.00M,1.159B,837.00M,,6.00M,-1.00M,3.00M,0.00,-3.00M,,843.00M,316.00M,0.00,3.00M,-3.00M,-12.00M,-3.00M,301.00M,86.00M,215.00M,,,215.00M,78.00M,304.00M,,2014-12,2.44,2.513,2.44,,2014-12,2.41,2.482,2.41,,89.00M,0.45,,2014-12,AOR,Restated
2014-09,1.994B,1.994B,862.00M,1.132B,836.00M,,7.00M,-3.00M,5.00M,3.00M,-2.00M,,843.00M,289.00M,3.00M,5.00M,-2.00M,-9.00M,-2.00M,278.00M,77.00M,201.00M,,,201.00M,72.00M,283.00M,,2014-09,2.27,2.319,2.27,,2014-09,2.25,2.299,2.25,,89.20M,0.45,,2014-09,AOR,Restated
2014-06,1.708B,1.708B,665.00M,1.043B,788.00M,,6.00M,-5.00M,4.00M,1.00M,-3.00M,,794.00M,249.00M,1.00M,4.00M,-3.00M,-11.00M,-3.00M,235.00M,73.00M,162.00M,,,162.00M,69.00M,239.00M,,2014-06,1.82,1.882,1.82,,2014-06,1.80,1.861,1.80,,90.20M,0.45,,2014-06,AOR,Restated
2014-03,1.867B,1.867B,817.00M,1.05B,815.00M,,7.00M,-3.00M,4.00M,-1.00M,-5.00M,,822.00M,228.00M,-1.00M,4.00M,-5.00M,-4.00M,-5.00M,219.00M,66.00M,153.00M,,,153.00M,65.00M,223.00M,,2014-03,1.71,1.725,1.71,,2014-03,1.68,1.695,1.68,,91.60M,0.45,,2014-03,AOR,Restated
2013-12,2.015B,2.015B,843.00M,1.172B,815.00M,,9.00M,-14.00M,4.00M,0.00,-4.00M,,824.00M,348.00M,0.00,4.00M,-4.00M,-20.00M,-4.00M,324.00M,87.00M,237.00M,,,237.00M,67.00M,328.00M,,2013-12,2.62,2.766,2.62,,2013-12,2.57,2.713,2.57,,91.80M,0.45,,2013-12,AOR,Restated
2013-09,1.915B,1.915B,831.00M,1.084B,777.00M,,10.00M,-2.00M,7.00M,2.00M,-5.00M,,787.00M,297.00M,2.00M,7.00M,-5.00M,-4.00M,-5.00M,288.00M,83.00M,205.00M,,,205.00M,66.00M,295.00M,,2013-09,2.28,2.288,2.28,,2013-09,2.23,2.238,2.23,,92.20M,0.40,,2013-09,AOR,Restated
2013-06,1.653B,1.653B,649.00M,1.004B,735.00M,,9.00M,16.00M,5.00M,2.00M,-3.00M,,744.00M,260.00M,2.00M,5.00M,-3.00M,8.00M,-3.00M,265.00M,84.00M,181.00M,,,181.00M,60.00M,270.00M,,2013-06,1.99,1.915,1.99,,2013-06,1.94,1.867,1.94,,93.10M,0.40,,2013-06,AOR,Restated
2013-03,1.644B,1.644B,669.00M,975.00M,770.00M,,7.00M,-16.00M,6.00M,2.00M,-4.00M,,777.00M,198.00M,2.00M,6.00M,-4.00M,-26.00M,-4.00M,168.00M,41.00M,127.00M,,,127.00M,59.00M,174.00M,,2013-03,1.41,1.586,1.41,,2013-03,1.37,1.541,1.37,,93.10M,0.40,,2013-03,AOR,Restated
2012-12,1.846B,1.846B,752.00M,1.094B,768.00M,,7.00M,-14.00M,5.00M,1.00M,-4.00M,,775.00M,319.00M,1.00M,5.00M,-4.00M,-20.00M,-4.00M,295.00M,79.00M,216.00M,,,216.00M,61.00M,300.00M,,2012-12,2.37,2.515,2.37,,2012-12,2.31,2.451,2.31,,93.30M,0.40,,2012-12,AOR,Restated
2012-09,1.862B,1.862B,767.00M,1.095B,741.00M,,6.00M,0.00,6.00M,2.00M,-4.00M,,747.00M,348.00M,2.00M,6.00M,-4.00M,-2.00M,-4.00M,342.00M,128.00M,214.00M,,,214.00M,57.00M,348.00M,,2012-09,2.34,2.34,2.34,,2012-09,2.29,2.29,2.29,,93.40M,0.40,,2012-09,AOR,Restated
2012-06,1.593B,1.593B,601.00M,992.00M,693.00M,,7.00M,0.00,5.00M,1.00M,-4.00M,,700.00M,292.00M,1.00M,5.00M,-4.00M,-4.00M,-4.00M,284.00M,91.00M,193.00M,,,193.00M,56.00M,289.00M,,2012-06,2.10,2.122,2.10,,2012-06,2.03,2.051,2.03,,95.10M,0.40,,2012-06,AOR,Restated
2012-03,1.623B,1.623B,697.10M,926.30M,773.60M,,7.20M,-9.50M,5.20M,1.70M,-3.50M,,780.80M,145.50M,1.70M,5.20M,-3.50M,-11.10M,-3.50M,130.90M,36.50M,94.40M,,,94.40M,56.80M,136.10M,,2012-03,1.03,1.087,1.03,,2012-03,0.99,1.045,0.99,,95.20M,0.20,,2012-03,AOR,Restated
2011-12,1.806B,1.806B,774.00M,1.032B,750.70M,,7.20M,-3.60M,6.30M,2.70M,-3.60M,,757.90M,273.70M,2.70M,6.30M,-3.60M,-8.00M,-3.60M,262.10M,93.10M,169.00M,,,169.00M,56.80M,268.40M,,2011-12,1.83,1.871,1.83,,2011-12,1.78,1.819,1.78,,94.90M,0.20,,2011-12,AOR,Restated
2011-09,1.905B,1.905B,826.00M,1.079B,671.80M,48.50M,7.50M,,6.40M,2.40M,-4.00M,,727.80M,350.80M,2.40M,6.40M,-4.00M,0.70M,-4.00M,347.50M,114.00M,233.50M,,,233.50M,56.00M,353.90M,,2011-09,2.53,2.517,2.53,,2011-09,2.46,2.447,2.46,,94.90M,0.20,,2011-09,AOR,Restated
2011-06,1.526B,1.526B,564.90M,961.50M,672.30M,,7.10M,,6.10M,4.20M,-1.90M,,679.40M,282.10M,4.20M,6.10M,-1.90M,-5.70M,-1.90M,274.50M,90.40M,184.10M,,,184.10M,55.40M,280.60M,,2011-06,1.96,1.987,1.96,,2011-06,1.90,1.926,1.90,,96.80M,0.20,,2011-06,AOR,Restated
2011-03,1.427B,1.427B,616.60M,810.30M,681.10M,,6.90M,-3.90M,5.10M,2.50M,-2.60M,,688.00M,122.30M,2.50M,5.10M,-2.60M,-8.20M,-2.60M,111.50M,38.30M,73.20M,,,73.20M,51.30M,116.60M,,2011-03,0.76,0.7867,0.76,,2011-03,0.74,0.7659,0.74,,98.70M,0.20,,2011-03,AOR,Restated
2010-12,1.548B,1.548B,640.10M,907.90M,655.30M,,6.30M,-2.60M,4.30M,1.80M,-2.50M,,661.60M,246.30M,1.80M,4.30M,-2.50M,-5.40M,-2.50M,238.40M,70.00M,168.40M,,,168.40M,50.40M,242.70M,,2010-12,1.76,1.779,1.76,,2010-12,1.72,1.739,1.72,,98.10M,0.10,,2010-12,AOR,Restated
2010-09,1.532B,1.532B,644.20M,887.90M,574.30M,,6.20M,,4.40M,1.60M,-2.80M,,580.50M,307.40M,1.60M,4.40M,-2.80M,1.40M,-2.80M,306.00M,100.80M,205.20M,,,205.20M,46.40M,310.40M,,2010-09,2.15,2.135,2.15,,2010-09,2.09,2.075,2.09,,98.00M,0.10,,2010-09,AOR,Restated
2010-06,1.153B,1.153B,441.10M,712.20M,532.00M,,6.00M,,4.50M,1.80M,-2.70M,,538.00M,174.20M,1.80M,4.50M,-2.70M,-2.00M,-2.70M,169.50M,48.70M,120.80M,,,120.80M,46.00M,174.00M,,2010-06,1.24,1.246,1.24,,2010-06,1.21,1.216,1.21,,99.90M,0.10,,2010-06,AOR,Restated
2010-03,1.337B,1.337B,547.70M,789.40M,612.00M,,6.00M,3.30M,5.40M,2.00M,-3.40M,,618.00M,171.40M,2.00M,5.40M,-3.40M,-0.60M,-3.40M,167.40M,53.30M,114.10M,,,114.10M,47.70M,172.80M,,2010-03,1.16,1.137,1.16,,2010-03,1.13,1.108,1.13,,100.70M,0.10,,2010-03,AOR,Restated
2009-12,1.244B,1.244B,520.20M,723.70M,540.40M,,5.30M,-6.70M,4.60M,1.20M,-3.40M,,545.70M,178.00M,1.20M,4.60M,-3.40M,-9.10M,-3.40M,165.50M,54.40M,111.10M,,,111.10M,44.10M,170.10M,,2009-12,1.12,1.166,1.12,,2009-12,1.10,1.144,1.10,,101.40M,0.10,,2009-12,AOR,Restated
2009-09,1.374B,1.374B,589.40M,784.80M,525.70M,,5.20M,-10.60M,5.60M,6.40M,0.80M,,530.90M,253.90M,6.40M,5.60M,0.80M,-12.40M,0.80M,242.30M,64.80M,177.50M,,,177.50M,45.10M,247.90M,,2009-09,1.79,1.868,1.79,,2009-09,1.75,1.826,1.75,,101.60M,0.05,,2009-09,AOR,Restated
2009-06,1.024B,1.024B,422.50M,601.20M,478.90M,,5.20M,0.50M,6.60M,2.80M,-3.80M,,484.10M,117.10M,2.80M,6.60M,-3.80M,0.80M,-3.80M,114.10M,37.30M,76.80M,,,76.80M,44.30M,120.70M,,2009-06,0.77,0.7666,0.77,,2009-06,0.76,0.7567,0.76,,101.50M,0.05,,2009-06,AOR,Restated
2009-03,1.224B,1.224B,590.00M,634.40M,520.70M,,5.20M,-65.00M,6.10M,3.50M,-2.60M,,525.90M,108.50M,3.50M,6.10M,-2.60M,-67.30M,-2.60M,38.60M,-5.90M,44.50M,,,44.50M,46.40M,44.70M,,2009-03,0.45,0.8759,0.45,,2009-03,0.45,0.8708,0.45,,100.40M,0.05,,2009-03,AOR,Restated
2008-12,1.252B,1.252B,582.30M,669.70M,496.50M,,5.10M,-6.90M,7.40M,5.40M,-2.00M,,501.60M,168.10M,5.40M,7.40M,-2.00M,-8.00M,-2.00M,158.10M,52.80M,105.30M,,,105.30M,44.90M,165.50M,,2008-12,1.07,1.117,1.07,,2008-12,1.05,1.096,1.05,,100.70M,0.05,,2008-12,,Restated
2008-09,1.429B,1.429B,640.70M,788.20M,532.30M,,5.00M,-5.30M,6.10M,5.90M,-0.20M,,537.30M,250.90M,5.90M,6.10M,-0.20M,-6.10M,-0.20M,244.60M,83.60M,161.00M,,,161.00M,47.00M,250.70M,,2008-09,1.62,1.655,1.62,,2008-09,1.58,1.614,1.58,,101.80M,0.05,,2008-09,,Restated
2008-06,1.114B,1.114B,475.20M,638.40M,486.50M,,4.90M,-0.30M,7.00M,7.20M,0.20M,,491.40M,147.00M,7.20M,7.00M,0.20M,-1.00M,0.20M,146.20M,51.00M,95.20M,,,95.20M,46.10M,153.20M,,2008-06,0.96,0.9620,0.96,,2008-06,0.93,0.9319,0.93,,102.10M,0.05,,2008-06,,Restated
2008-03,1.241B,1.241B,566.60M,674.30M,513.60M,,11.50M,-7.10M,,,,,530.10M,144.20M,,,,-7.70M,,143.20M,39.70M,103.50M,,0.00,103.50M,53.70M,144.20M,,2008-03,1.02,1.071,1.02,,2008-03,1.00,1.049,1.00,,103.70M,0.05,,2008-03,,
2007-12,1.270B,1.270B,593.30M,676.50M,492.20M,,13.60M,-2.20M,,,,,505.80M,170.70M,,,,-2.80M,,163.50M,50.80M,112.70M,,-0.10M,112.70M,53.00M,170.70M,,2007-12,1.11,1.125,1.11,,2007-12,1.08,1.095,1.08,,104.30M,0.05,,2007-12,,
2007-09,1.299B,1.299B,603.90M,695.20M,488.20M,,14.40M,-0.90M,,,,,502.60M,192.60M,,,,-1.50M,,190.30M,75.00M,115.30M,,-0.10M,115.30M,51.50M,192.60M,,2007-09,1.12,1.125,1.12,,2007-09,1.09,1.095,1.09,,105.40M,0.05,,2007-09,,
2007-06,1.070B,1.070B,478.30M,592.00M,438.50M,,7.70M,-1.30M,,,,,446.20M,145.80M,,,,-1.30M,,145.10M,56.80M,88.30M,,-1.80M,88.30M,43.10M,145.80M,,2007-06,0.85,0.8576,0.85,,2007-06,0.82,0.8274,0.82,,107.30M,0.05,,2007-06,,
2007-03,1.031B,1.031B,473.20M,558.10M,434.20M,,3.20M,-0.90M,,,,,437.40M,120.70M,,,,-1.00M,,120.40M,47.20M,73.20M,,-4.40M,73.20M,40.50M,120.70M,,2007-03,0.71,0.7153,0.71,,2007-03,0.69,0.6951,0.69,,107.30M,0.05,,2007-03,,
2006-12,1.144B,1.144B,529.70M,614.00M,426.80M,,3.00M,-1.30M,,,,,429.80M,184.20M,,,,0.10M,,180.80M,70.30M,110.50M,,-3.30M,110.50M,32.80M,184.20M,,2006-12,1.06,1.068,1.06,,2006-12,1.03,1.037,1.03,,107.60M,0.05,,2006-12,,
2006-09,1.167B,1.167B,534.20M,632.60M,412.10M,,3.80M,-0.60M,,,,,415.90M,216.70M,,,,0.30M,,213.60M,76.60M,137.00M,,-3.60M,137.00M,33.60M,216.70M,,2006-09,1.31,1.314,1.31,,2006-09,1.28,1.284,1.28,,107.30M,0.05,,2006-09,,
2006-06,953.60M,953.60M,422.10M,531.50M,390.30M,,5.60M,-3.30M,,,,,395.90M,135.60M,,,,-2.50M,,128.50M,48.30M,80.20M,,-4.00M,80.20M,37.80M,135.60M,,2006-06,0.76,0.7796,0.76,,2006-06,0.74,0.7591,0.74,,108.10M,0.05,,2006-06,,
2006-03,971.50M,971.50M,446.50M,525.00M,394.00M,,4.80M,-9.50M,,,,1.40M,400.20M,124.80M,,,,-9.80M,,110.40M,48.00M,62.40M,,-6.20M,62.40M,32.50M,124.80M,,2006-03,0.60,0.6544,0.60,,2006-03,0.57,0.6227,0.57,,108.10M,0.05,,2006-03,,
2005-12,995.50M,995.50M,464.00M,531.50M,381.70M,,1.80M,-5.00M,,,,4.40M,387.90M,143.60M,,,,-3.40M,,143.10M,52.40M,90.70M,,-2.00M,90.70M,36.20M,143.60M,,2005-12,0.87,0.9003,0.87,,2005-12,0.84,0.8694,0.84,,107.80M,0.05,,2005-12,,
2005-09,1.027B,1.027B,475.90M,551.50M,368.00M,,1.60M,-10.90M,,,,4.90M,374.50M,177.00M,,,,-9.60M,,168.50M,64.30M,104.20M,,-3.90M,104.20M,29.60M,177.00M,,2005-09,1.00,1.065,1.00,,2005-09,0.97,1.033,0.97,,107.40M,0.05,,2005-09,,
2005-06,751.90M,751.90M,337.50M,414.40M,333.20M,,1.00M,,,,,,334.20M,80.20M,,,,1.80M,,81.00M,30.30M,50.70M,,-1.40M,50.70M,28.70M,80.20M,,2005-06,0.49,0.49,0.49,,2005-06,0.48,0.48,0.48,,105.50M,0.05,,2005-06,,
2005-03,902.21M,902.21M,425.34M,476.86M,432.48M,,1.537M,0.284M,,,,0.901M,434.92M,41.94M,,,,6.684M,,41.91M,17.41M,23.37M,,,23.37M,28.18M,41.94M,,2005-03,0.23,0.2283,0.23,,2005-03,0.22,0.2184,0.22,,105.70M,0.05,,2005-03,,
2004-12,901.57M,901.57M,455.50M,446.08M,329.05M,,0.621M,0.897M,,,,,329.67M,116.41M,,,,0.897M,,114.60M,40.28M,75.04M,,,75.04M,27.00M,116.41M,,2004-12,0.74,0.7343,0.74,,2004-12,0.72,0.7144,0.72,,104.32M,0.05,,2004-12,,
2004-09,895.61M,895.61M,449.58M,446.03M,321.59M,,0.682M,0.936M,,,,0.599M,322.87M,123.17M,,,,0.936M,,123.37M,43.39M,79.27M,,,79.27M,23.77M,123.17M,,2004-09,0.78,0.7740,0.78,,2004-09,0.77,0.7641,0.77,,103.57M,0.05,,2004-09,,
2004-06,606.01M,606.01M,290.48M,315.53M,295.04M,,,0.183M,,,,,295.04M,20.48M,,,,0.183M,,17.92M,6.316M,12.72M,,,12.72M,23.15M,20.48M,,2004-06,0.13,0.1288,0.13,,2004-06,0.12,0.1188,0.12,,102.80M,0.05,,2004-06,,
2004-03,818.83M,818.83M,427.85M,390.98M,264.05M,,,-10.45M,,,,,265.35M,125.63M,,,,-4.953M,,116.90M,42.13M,74.78M,,,74.78M,26.50M,125.63M,,2004-03,0.77,0.8370,0.77,,2004-03,0.75,0.8150,0.75,,102.79M,0.05,,2004-03,,
2003-12,645.36M,645.36M,312.36M,333.00M,256.61M,,,-18.67M,,,,,256.61M,76.39M,,,,-18.67M,,55.21M,19.85M,35.36M,,,35.36M,18.60M,76.39M,,2003-12,0.36,0.4807,0.36,,2003-12,0.35,0.4680,0.35,,101.29M,0.05,,2003-12,,
2003-09,707.78M,707.78M,357.21M,350.57M,267.61M,,,3.381M,,,,,267.61M,82.95M,,,,3.381M,,84.14M,30.13M,54.01M,,,54.01M,19.06M,82.95M,,2003-09,0.55,0.5280,0.55,,2003-09,0.54,0.5185,0.54,,100.78M,0.05,,2003-09,,
2003-06,477.73M,477.73M,228.98M,248.75M,243.23M,,,4.238M,,,,,243.23M,5.526M,,,,4.238M,,6.846M,1.791M,5.055M,,,5.055M,21.44M,5.526M,,2003-06,0.05,0.0182,0.05,,2003-06,0.05,0.0186,0.05,,99.54M,0.05,,2003-06,,
2003-03,692.33M,692.33M,346.51M,345.82M,222.82M,,,-4.482M,,,,,222.82M,123.00M,,,,-4.482M,,115.31M,42.09M,73.22M,,,73.22M,15.63M,123.00M,,2003-03,0.74,0.7689,0.74,,2003-03,0.74,0.7688,0.74,,98.95M,,,2003-03,,
2002-12,639.17M,639.17M,331.26M,307.91M,230.39M,,,-6.738M,,,,,230.39M,77.52M,,,,-6.738M,,67.42M,24.61M,42.81M,,,42.81M,20.90M,77.52M,,2002-12,0.44,0.4835,0.44,,2002-12,0.43,0.4731,0.43,,99.31M,,,2002-12,,
2002-09,640.84M,640.84M,319.57M,321.27M,236.62M,,,-0.22M,,,,,236.62M,84.65M,,,,-0.22M,,81.49M,29.74M,51.74M,,,51.74M,23.65M,84.65M,,2002-09,0.53,0.5314,0.53,,2002-09,0.52,0.5214,0.52,,99.32M,,,2002-09,,
2002-06,467.00M,467.00M,234.40M,232.60M,214.92M,,,-3.531M,,,,,214.92M,17.69M,,,,-3.531M,,10.17M,3.713M,6.46M,,,6.46M,18.46M,17.69M,,2002-06,0.07,0.0928,0.07,,2002-06,0.07,0.0926,0.07,,99.33M,,,2002-06,,
