,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-03,2.58B,2.58B,2.233B,347.00M,181.00M,,-32.00M,36.00M,,-36.00M,181.00M,166.00M,,36.00M,-36.00M,-22.00M,-36.00M,108.00M,34.00M,74.00M,,-2.00M,72.00M,93.92M,226.00M,82.00M,144.00M,,0.48,,0.6261,0.48,,0.47,,0.6133,0.47,,150.00M,153.00M,0.32,,AOR,Restated
2016-12,2.575B,2.575B,2.178B,397.00M,218.00M,,-37.00M,39.00M,2.00M,-37.00M,218.00M,179.00M,2.00M,39.00M,-37.00M,-37.00M,-37.00M,105.00M,45.00M,60.00M,,-1.00M,59.00M,81.20M,212.00M,68.00M,144.00M,,0.39,0.00,0.538,0.39,,0.39,0.00,0.5332,0.39,,150.00M,155.00M,0.32,,AOR,Restated
2016-09,1.868B,1.868B,1.63B,238.00M,88.00M,,-49.00M,28.00M,3.00M,-25.00M,88.00M,150.00M,3.00M,28.00M,-25.00M,-50.00M,-25.00M,75.00M,-17.00M,92.00M,,-1.00M,91.00M,120.40M,140.00M,37.00M,103.00M,,0.81,,1.072,0.81,,0.80,,1.058,0.80,,112.00M,114.00M,0.32,,AOR,Restated
2016-06,1.288B,1.288B,1.141B,147.00M,56.00M,,-16.00M,15.00M,2.00M,-13.00M,56.00M,91.00M,2.00M,15.00M,-13.00M,-18.00M,-13.00M,60.00M,19.00M,41.00M,,0.00,41.00M,51.93M,84.00M,9.00M,75.00M,,0.56,,0.7097,0.56,,0.55,,0.6977,0.55,,73.00M,74.00M,0.32,,AOR,Restated
2016-03,1.312B,1.312B,1.154B,158.00M,60.00M,,-9.00M,11.00M,,-11.00M,60.00M,98.00M,,11.00M,-11.00M,-9.00M,-11.00M,78.00M,29.00M,49.00M,,,49.00M,54.65M,97.00M,8.00M,89.00M,,0.68,0.00,0.7585,0.68,,0.66,0.00,0.7364,0.66,,72.00M,74.00M,0.32,,AOR,
2015-09,1.302B,1.302B,1.138B,164.00M,53.00M,13.00M,-17.00M,14.00M,,-14.00M,53.00M,111.00M,,14.00M,-14.00M,-17.00M,-14.00M,80.00M,31.00M,49.00M,0.00,,49.00M,59.41M,105.00M,11.00M,94.00M,,0.68,0.00,0.8246,0.68,,0.67,0.00,0.8126,0.67,,72.00M,73.00M,0.32,,AOR,
2015-06,1.257B,1.257B,1.113B,144.00M,51.00M,,-29.00M,14.00M,,-14.00M,51.00M,93.00M,,14.00M,-14.00M,-27.00M,-14.00M,52.00M,15.00M,37.00M,0.00,,37.00M,57.63M,78.00M,12.00M,66.00M,,0.51,0.00,0.7927,0.51,,0.50,0.00,0.7788,0.50,,73.00M,74.00M,0.32,,AOR,
2015-03,1.246B,1.246B,1.093B,153.00M,75.00M,,-40.00M,14.00M,,-14.00M,75.00M,78.00M,,14.00M,-14.00M,-41.00M,-14.00M,23.00M,0.00,23.00M,18.00M,,41.00M,63.00M,49.00M,12.00M,37.00M,,0.32,0.24,0.8679,0.56,,0.31,0.24,0.8433,0.55,,73.00M,75.00M,0.32,,AOR,
2015-01,1.169B,1.169B,1.017B,152.00M,70.00M,2.00M,-45.00M,18.00M,,-17.00M,70.00M,82.00M,,18.00M,-17.00M,-41.00M,-17.00M,24.00M,-2.00M,26.00M,18.00M,,44.00M,53.00M,54.00M,12.00M,42.00M,,0.36,0.24,0.7403,0.60,,0.35,0.24,0.7303,0.59,,71.00M,71.00M,0.32,,AOR,Restated
2014-10,1.276B,1.276B,1.115B,161.00M,72.00M,0.00,-17.00M,18.00M,,-18.00M,72.00M,89.00M,,18.00M,-18.00M,-17.00M,-18.00M,54.00M,16.00M,38.00M,-4.00M,,34.00M,49.96M,88.00M,16.00M,72.00M,,0.52,-0.05,0.6839,0.47,,0.51,-0.05,0.6717,0.46,,73.00M,74.00M,0.32,,AOR,Restated
2014-07,1.306B,1.306B,1.119B,187.00M,87.00M,,-510.00M,19.00M,,-19.00M,87.00M,100.00M,,19.00M,-19.00M,-511.00M,-19.00M,-430.00M,9.00M,-439.00M,1.00M,,-438.00M,-107.50M,-395.00M,16.00M,-411.00M,,-5.93,0.01,-1.450,-5.92,,-5.93,0.01,-1.450,-5.92,,74.00M,74.00M,0.32,,AOR,Restated
2014-04,1.312B,1.312B,1.141B,171.00M,84.00M,,0.00,20.00M,,-20.00M,84.00M,87.00M,,20.00M,-20.00M,2.00M,-20.00M,69.00M,24.00M,45.00M,-8.00M,,37.00M,45.00M,107.00M,18.00M,89.00M,,0.58,-0.10,0.58,0.48,,0.57,-0.10,0.57,0.47,,77.00M,78.00M,0.32,,AOR,Restated
2014-01,1.291B,1.291B,1.107B,184.00M,97.00M,-1.00M,-6.00M,23.00M,0.00,-23.00M,97.00M,87.00M,0.00,23.00M,-23.00M,-17.00M,-23.00M,47.00M,0.00,47.00M,-3.00M,,44.00M,53.00M,86.00M,16.00M,70.00M,,0.58,-0.03,0.655,0.55,,0.58,-0.03,0.655,0.55,,80.00M,80.00M,0.32,,AOR,Restated
2013-10,1.414B,1.414B,1.219B,195.00M,113.00M,43.00M,-87.00M,21.00M,5.00M,-16.00M,113.00M,82.00M,5.00M,21.00M,-16.00M,-85.00M,-16.00M,-19.00M,-11.00M,-8.00M,5.00M,,-3.00M,48.55M,15.00M,13.00M,2.00M,,-0.10,0.06,0.5732,-0.04,,-0.10,0.06,0.5732,-0.04,,84.00M,84.00M,0.32,,AOR,Restated
2013-07,1.457B,1.457B,1.293B,164.00M,105.00M,,-49.00M,18.00M,6.00M,-12.00M,105.00M,59.00M,6.00M,18.00M,-12.00M,-49.00M,-12.00M,-2.00M,-6.00M,4.00M,38.00M,,42.00M,35.85M,41.00M,25.00M,16.00M,,0.05,0.45,0.4292,0.50,,0.05,0.45,0.4292,0.50,,84.00M,84.00M,0.48,,AOR,Restated
2013-04,1.597B,1.597B,1.377B,220.00M,128.00M,,-16.00M,20.00M,4.00M,-16.00M,128.00M,92.00M,4.00M,20.00M,-16.00M,-15.00M,-16.00M,61.00M,21.00M,40.00M,41.00M,,81.00M,50.49M,107.00M,26.00M,81.00M,,0.43,0.49,0.5549,0.92,,0.43,0.49,0.5549,0.92,,84.00M,84.00M,0.48,,AOR,Restated
2013-01,1.55B,1.55B,1.33B,220.00M,100.00M,2.00M,-13.00M,20.00M,4.00M,-16.00M,100.00M,120.00M,4.00M,20.00M,-16.00M,-13.00M,-16.00M,91.00M,-67.00M,158.00M,28.00M,,186.00M,166.45M,128.00M,17.00M,111.00M,,2.16,0.00,2.262,2.16,,2.16,0.00,2.262,2.16,,83.00M,83.00M,0.48,,AOR,Restated
2012-10,1.673B,1.673B,1.434B,239.00M,139.00M,0.00,0.00,20.00M,1.00M,-19.00M,139.00M,100.00M,1.00M,20.00M,-19.00M,2.00M,-19.00M,83.00M,28.00M,55.00M,57.00M,,112.00M,55.00M,120.00M,17.00M,103.00M,,0.66,0.66,0.66,1.32,,0.66,0.66,0.66,1.32,,83.00M,83.00M,0.48,,AOR,Restated
2012-07,2.826B,2.826B,2.485B,341.00M,152.00M,,0.00,24.00M,2.00M,-22.00M,152.00M,189.00M,2.00M,24.00M,-22.00M,4.00M,-22.00M,171.00M,63.00M,108.00M,2.00M,,110.00M,108.00M,224.00M,29.00M,195.00M,,1.28,0.00,1.28,1.28,,1.28,0.00,1.28,1.28,,83.25M,83.25M,0.48,,AOR,Restated
2012-04,2.764B,2.764B,2.433B,331.00M,123.00M,,0.00,29.00M,2.00M,-27.00M,123.00M,208.00M,2.00M,29.00M,-27.00M,2.00M,-27.00M,183.00M,66.00M,117.00M,,,117.00M,117.00M,239.00M,27.00M,212.00M,,1.40,,1.40,1.40,,1.40,,1.40,1.40,,82.50M,82.50M,0.48,,AOR,Restated
2012-01,-2.19B,-2.19B,-1.70B,-490.00M,-19.00M,,-3.00M,29.00M,2.00M,-27.00M,-19.00M,-471.00M,2.00M,29.00M,-27.00M,2.00M,-27.00M,-496.00M,-115.00M,-381.00M,220.00M,,-161.00M,-378.70M,-465.00M,2.00M,-467.00M,,-4.48,2.64,-4.452,-1.84,,-4.48,2.64,-4.452,-1.84,,82.50M,82.50M,,,AOR,Restated
2011-10,2.79B,2.79B,2.477B,313.00M,333.00M,,-2.00M,29.00M,2.00M,-27.00M,333.00M,-20.00M,2.00M,29.00M,-27.00M,-2.00M,-27.00M,-49.00M,43.00M,-92.00M,3.00M,,-89.00M,-90.70M,11.00M,31.00M,-20.00M,,-1.12,0.04,-1.104,-1.08,,-1.12,0.04,-1.104,-1.08,,82.25M,82.25M,,,AOR,Restated
2011-07,2.596B,2.596B,2.258B,338.00M,129.00M,,1.00M,28.00M,0.00,-28.00M,129.00M,209.00M,0.00,28.00M,-28.00M,1.00M,-28.00M,182.00M,70.00M,112.00M,66.00M,,178.00M,111.38M,237.00M,27.00M,210.00M,,1.28,0.76,1.273,2.04,,1.28,0.72,1.273,2.00,,84.50M,84.75M,,,AOR,Restated
2011-04,2.688B,2.688B,2.357B,331.00M,101.00M,,4.00M,28.00M,1.00M,-27.00M,101.00M,230.00M,1.00M,28.00M,-27.00M,4.00M,-27.00M,207.00M,77.00M,130.00M,1.00M,,131.00M,127.49M,263.00M,28.00M,235.00M,,1.44,0.04,1.411,1.48,,1.44,0.00,1.411,1.44,,86.75M,87.00M,,,AOR,Restated
2011-01,2.601B,2.601B,2.273B,328.00M,129.00M,,-5.00M,23.00M,1.00M,-22.00M,129.00M,199.00M,1.00M,23.00M,-22.00M,-3.00M,-22.00M,174.00M,59.00M,115.00M,16.00M,,131.00M,118.30M,227.00M,30.00M,197.00M,,1.28,0.16,1.317,1.44,,1.24,0.16,1.277,1.40,,89.50M,90.00M,,,AOR,Restated
2010-10,2.821B,2.821B,2.445B,376.00M,124.00M,,7.00M,19.00M,0.00,-19.00M,124.00M,252.00M,0.00,19.00M,-19.00M,7.00M,-19.00M,240.00M,89.00M,151.00M,22.00M,,173.00M,146.60M,288.00M,29.00M,259.00M,,1.64,0.24,1.591,1.88,,1.64,0.20,1.591,1.84,,89.75M,90.00M,,,AOR,Restated
2010-07,2.749B,2.749B,2.351B,398.00M,126.00M,,-2.00M,19.00M,1.00M,-18.00M,126.00M,272.00M,1.00M,19.00M,-18.00M,-2.00M,-18.00M,252.00M,95.00M,157.00M,33.00M,,190.00M,158.25M,298.00M,27.00M,271.00M,,1.68,0.32,1.694,2.00,,1.68,0.32,1.694,2.00,,90.75M,91.25M,,,AOR,Restated
2010-04,2.627B,2.627B,2.305B,322.00M,116.00M,,0.00,18.00M,0.00,-18.00M,116.00M,206.00M,0.00,18.00M,-18.00M,,-18.00M,188.00M,64.00M,124.00M,1.00M,,125.00M,124.00M,230.00M,24.00M,206.00M,,1.28,0.00,1.28,1.28,,1.28,0.00,1.28,1.28,,93.75M,94.50M,,,AOR,Restated
2010-01,2.683B,2.683B,2.301B,382.00M,173.00M,,1.00M,19.00M,0.00,-19.00M,173.00M,209.00M,0.00,19.00M,-19.00M,1.00M,-19.00M,191.00M,68.00M,123.00M,0.00,,123.00M,122.36M,235.00M,25.00M,210.00M,,1.28,-0.04,1.273,1.24,,1.24,-0.04,1.233,1.24,,95.75M,96.75M,,,AOR,Restated
2009-10,2.765B,2.765B,2.378B,387.00M,154.00M,,2.00M,19.00M,1.00M,-18.00M,154.00M,233.00M,1.00M,19.00M,-18.00M,2.00M,-18.00M,217.00M,82.00M,135.00M,0.00,,135.00M,133.76M,260.00M,24.00M,236.00M,,1.36,0.00,1.347,1.36,,1.36,0.00,1.347,1.36,,96.00M,97.00M,,,AOR,Restated
2009-07,2.749B,2.749B,2.369B,380.00M,159.00M,,0.00,19.00M,0.00,-19.00M,159.00M,221.00M,0.00,19.00M,-19.00M,,-19.00M,202.00M,77.00M,125.00M,-2.00M,,123.00M,125.00M,243.00M,22.00M,221.00M,,1.28,-0.04,1.28,1.24,,1.24,-0.04,1.24,1.24,,96.00M,97.00M,,,AOR,Restated
2009-04,2.649B,2.649B,2.295B,354.00M,150.00M,,3.00M,19.00M,1.00M,-18.00M,150.00M,204.00M,1.00M,19.00M,-18.00M,3.00M,-18.00M,189.00M,72.00M,117.00M,-1.00M,,116.00M,115.14M,230.00M,22.00M,208.00M,,1.16,0.00,1.141,1.16,,1.16,-0.04,1.141,1.12,,98.00M,99.25M,,,AOR,Restated
2009-01,2.518B,2.518B,2.163B,355.00M,147.00M,,-10.00M,,,,147.00M,208.00M,,,,-10.00M,,181.00M,62.00M,119.00M,1.00M,,120.00M,125.57M,237.00M,24.00M,213.00M,,1.08,0.00,1.147,1.08,,1.08,0.00,1.147,1.08,,98.00M,98.00M,,,,Restated
2008-10,2.631B,2.631B,2.277B,354.00M,149.00M,,-16.00M,,,,149.00M,205.00M,,,,-16.00M,,174.00M,56.00M,118.00M,2.00M,,120.00M,128.85M,225.00M,20.00M,205.00M,,1.20,0.04,1.311,1.24,,1.16,0.04,1.268,1.20,,98.00M,100.50M,,,,
2008-07,2.555B,2.555B,2.202B,353.00M,167.00M,,3.00M,,,,167.00M,186.00M,,,,3.00M,,174.00M,70.00M,104.00M,5.00M,,109.00M,102.20M,208.00M,22.00M,186.00M,,1.08,0.04,1.062,1.12,,1.04,0.04,1.022,1.08,,98.00M,100.75M,,,,
2008-04,2.369B,2.369B,2.053B,316.00M,143.00M,,8.00M,,,,143.00M,173.00M,,,,8.00M,,170.00M,66.00M,104.00M,-4.00M,,100.00M,99.11M,196.00M,23.00M,173.00M,,1.04,-0.04,0.9913,1.00,,1.00,-0.04,0.9526,0.96,,100.50M,103.25M,,,,
2008-01,2.328B,2.328B,2.003B,325.00M,147.00M,,-2.00M,,,,147.00M,178.00M,,,,1.00M,,170.00M,63.00M,107.00M,-7.00M,0.00,100.00M,108.26M,198.00M,20.00M,178.00M,,1.08,-0.08,1.092,1.00,,1.04,-0.08,1.052,0.96,,101.00M,104.25M,,,,
2007-10,2.365B,2.365B,2.027B,338.00M,152.00M,,,,,,152.00M,186.00M,,,,2.00M,,178.00M,69.00M,109.00M,-4.00M,,105.00M,109.00M,208.00M,22.00M,186.00M,,1.08,-0.04,1.08,1.04,,1.04,-0.04,1.04,1.00,,100.50M,103.50M,,,,
2007-07,2.222B,2.222B,1.91B,312.00M,139.00M,,-4.00M,,,,139.00M,173.00M,,,,-4.00M,,159.00M,60.00M,99.00M,32.00M,-1.00M,131.00M,101.49M,191.00M,18.00M,173.00M,,0.96,0.32,0.9846,1.28,,0.96,0.28,0.9838,1.24,,101.25M,104.50M,,,,
2007-04,2.068B,2.068B,1.797B,271.00M,131.00M,,,,,,131.00M,140.00M,,,,,,129.00M,52.00M,77.00M,3.00M,-3.00M,80.00M,77.00M,157.00M,17.00M,140.00M,,0.76,0.04,0.76,0.80,,0.72,0.04,0.72,0.76,,101.00M,104.50M,,,,
2007-01,2.088B,2.088B,1.82B,268.00M,126.00M,,1.00M,,,,126.00M,142.00M,,,,1.00M,,137.00M,53.00M,84.00M,-1.00M,-1.00M,83.00M,83.39M,160.00M,18.00M,142.00M,,0.80,-0.04,0.7940,0.76,,0.76,-0.04,0.7542,0.72,,101.50M,105.25M,,,,
2006-10,2.081B,2.081B,1.807B,274.00M,133.00M,,2.00M,,,,133.00M,141.00M,,,,1.00M,,154.00M,64.00M,90.00M,8.00M,-1.00M,98.00M,88.80M,160.00M,19.00M,141.00M,,1.08,0.08,1.066,1.16,,1.04,0.08,1.026,1.12,,84.00M,86.75M,,,,
2006-07,1.994B,1.994B,1.714B,280.00M,129.00M,,-1.00M,,,,129.00M,151.00M,,,,-1.00M,,160.00M,60.00M,100.00M,3.00M,-2.00M,103.00M,100.62M,170.00M,19.00M,151.00M,,1.20,0.04,1.208,1.24,,1.16,0.04,1.167,1.20,,82.75M,85.50M,,,AOR,
2006-04,1.954B,1.954B,1.684B,270.00M,128.00M,,-1.00M,,,,128.00M,142.00M,,,,-1.00M,,147.00M,54.00M,93.00M,13.00M,-3.00M,106.00M,93.63M,157.00M,15.00M,142.00M,,1.12,0.16,1.128,1.28,,1.08,0.16,1.087,1.24,,84.00M,86.75M,,,AOR,
2006-01,1.703B,1.703B,1.475B,228.00M,117.00M,,-3.00M,,,,117.00M,111.00M,,,,-3.00M,,114.00M,-12.00M,126.00M,28.00M,7.00M,154.00M,127.80M,131.00M,20.00M,111.00M,,1.44,0.36,1.461,1.80,,1.40,0.36,1.421,1.76,,85.50M,87.50M,,,AOR,Restated
2005-10,2.024B,2.024B,1.793B,231.00M,125.00M,,1.00M,,,,125.00M,106.00M,,,,1.00M,,111.00M,40.00M,71.00M,20.00M,-5.00M,91.00M,70.36M,106.00M,,106.00M,,0.84,0.20,0.8326,1.04,,0.80,0.20,0.7929,1.00,,86.50M,89.50M,,,AOR,
