,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-03,215.00M,215.00M,1.914B,,,1.914B,,,,506.00M,,,,,2.635B,0.00,40.00M,56.00M,230.00M,,55.00M,172.00M,553.00M,-326.00M,227.00M,4.976B,806.00M,5.782B,,,269.00M,6.278B,8.913B,,1.622B,14.00M,7.00M,1.643B,379.00M,2.022B,,,81.00M,81.00M,,,,2.103B,3.007B,,3.007B,221.00M,,221.00M,,3.00M,148.00M,3.376B,5.479B,,0.00,37.00M,3.338B,,,56.00M,3.431B,,AOR,Restated
2017-12,390.00M,390.00M,771.00M,,1.074B,1.831B,,,,,,,,453.00M,2.674B,0.00,49.00M,54.00M,228.00M,,44.00M,171.00M,546.00M,-314.00M,232.00M,4.974B,856.00M,5.83B,37.00M,,217.00M,6.316B,8.99B,,557.00M,17.00M,4.00M,578.00M,1.276B,1.854B,,,55.00M,55.00M,293.00M,293.00M,,2.202B,3.056B,,3.056B,220.00M,,220.00M,,13.00M,129.00M,3.405B,5.607B,,0.00,-7.00M,3.344B,,,33.00M,3.37B,,AOR,Restated
2017-09,287.00M,287.00M,1.797B,,,1.797B,,,,487.00M,,,,,2.571B,0.00,49.00M,54.00M,230.00M,,21.00M,166.00M,520.00M,-308.00M,212.00M,4.976B,925.00M,5.901B,,0.00,239.00M,6.352B,8.923B,,1.50B,18.00M,4.00M,1.522B,435.00M,1.957B,,,64.00M,64.00M,,,,2.021B,3.043B,,3.043B,337.00M,,337.00M,,13.00M,215.00M,3.595B,5.616B,,0.00,-72.00M,3.335B,,,31.00M,3.294B,,AOR,Restated
2017-06,262.00M,262.00M,1.832B,,,1.832B,,,,340.00M,,,,,2.434B,0.00,49.00M,54.00M,226.00M,,8.00M,167.00M,504.00M,-289.00M,215.00M,4.922B,1.006B,5.928B,,13.00M,292.00M,6.448B,8.882B,,1.33B,17.00M,4.00M,1.351B,475.00M,1.826B,,,84.00M,84.00M,,,,1.91B,3.147B,,3.147B,362.00M,,362.00M,,17.00M,222.00M,3.731B,5.641B,,0.00,-105.00M,3.321B,,,8.00M,3.224B,,AOR,Restated
2017-03,206.00M,206.00M,1.841B,,,1.841B,,,,348.00M,,,,,2.395B,0.00,52.00M,62.00M,234.00M,,14.00M,165.00M,527.00M,-289.00M,238.00M,4.619B,1.52B,6.139B,,15.00M,353.00M,6.745B,9.14B,,592.00M,21.00M,53.00M,666.00M,1.233B,1.899B,,,84.00M,84.00M,,,,1.983B,3.188B,,3.188B,564.00M,,564.00M,,11.00M,217.00M,3.969B,5.952B,,0.00,-154.00M,3.323B,,,8.00M,3.177B,,AOR,Restated
2016-12,376.00M,376.00M,847.00M,3.00M,821.00M,1.66B,,,,67.00M,103.00M,20.00M,,155.00M,2.381B,0.00,57.00M,104.00M,207.00M,,12.00M,161.00M,541.00M,-282.00M,259.00M,4.622B,1.589B,6.211B,,16.00M,265.00M,6.751B,9.132B,,591.00M,23.00M,21.00M,635.00M,948.00M,1.583B,97.00M,,62.00M,62.00M,246.00M,246.00M,,2.016B,3.225B,37.00M,3.262B,540.00M,20.00M,608.00M,6.00M,12.00M,62.00M,3.969B,5.985B,,0.00,-177.00M,3.316B,,,-4.00M,3.135B,,AOR,Restated
2016-09,449.00M,449.00M,1.677B,,,1.677B,,,,430.00M,,,,,2.556B,0.00,17.00M,101.00M,301.00M,,14.00M,161.00M,594.00M,-363.00M,231.00M,4.874B,1.643B,6.517B,,15.00M,260.00M,7.023B,9.579B,,1.458B,23.00M,3.00M,1.484B,454.00M,1.938B,,,42.00M,42.00M,,,,1.98B,3.428B,,3.428B,867.00M,,867.00M,,14.00M,174.00M,4.469B,6.449B,,0.00,-188.00M,3.31B,,,-6.00M,3.116B,,AOR,Restated
2016-06,670.00M,670.00M,924.00M,,,924.00M,,,,223.00M,,,,,1.817B,,,,,,,,,,131.00M,1.228B,,1.228B,,7.00M,218.00M,1.584B,3.401B,,720.00M,,,720.00M,269.00M,989.00M,,,1.00M,1.00M,,,,990.00M,1.092B,,1.092B,,,,,,195.00M,1.287B,2.277B,,0.00,-230.00M,1.358B,,,-4.00M,1.124B,,AOR,Restated
2016-03,609.00M,609.00M,874.00M,,,874.00M,,,,225.00M,,,,,1.803B,,,,,,,,,,136.00M,1.231B,,1.231B,,7.00M,214.00M,1.588B,3.391B,,707.00M,,,707.00M,216.00M,923.00M,,,2.00M,2.00M,,,80.00M,1.005B,1.089B,,1.089B,,,,,,195.00M,1.284B,2.289B,,0.00,-251.00M,1.359B,,,-6.00M,1.102B,,AOR,
2015-09,635.00M,635.00M,844.00M,,,844.00M,,,,250.00M,,,,,1.729B,,,,,,,,,,178.00M,1.233B,,1.233B,,7.00M,155.00M,1.573B,3.302B,,771.00M,,,771.00M,267.00M,1.038B,,,3.00M,3.00M,,,1.00M,1.042B,1.142B,,1.142B,,,,,,164.00M,1.306B,2.348B,,0.00,-380.00M,1.345B,,,-11.00M,954.00M,,AOR,
2015-06,365.00M,365.00M,929.00M,,,929.00M,,,,299.00M,,,,,1.692B,,,,,,,,,,178.00M,1.239B,,1.239B,,14.00M,88.00M,1.519B,3.211B,,716.00M,,,716.00M,273.00M,989.00M,,,2.00M,2.00M,,,5.00M,996.00M,1.127B,,1.127B,,,,,,169.00M,1.296B,2.292B,,0.00,-406.00M,1.336B,,,-11.00M,919.00M,,AOR,
2015-03,377.00M,377.00M,977.00M,,,977.00M,,,,297.00M,,,,,1.651B,,,,,,,,,,308.00M,1.207B,35.00M,1.242B,,13.00M,95.00M,1.658B,3.309B,,745.00M,,,745.00M,237.00M,982.00M,,,2.00M,2.00M,,,3.00M,987.00M,1.156B,,1.156B,,,,,,166.00M,1.322B,2.309B,,0.00,-419.00M,1.431B,,,-12.00M,1.00B,,AOR,
2015-01,443.00M,443.00M,655.00M,,251.00M,896.00M,,,,70.00M,130.00M,30.00M,12.00M,31.00M,1.618B,0.00,26.00M,107.00M,330.00M,,2.00M,156.00M,621.00M,-313.00M,308.00M,1.244B,,1.244B,,14.00M,97.00M,1.663B,3.281B,,244.00M,,,244.00M,588.00M,832.00M,,,2.00M,2.00M,104.00M,104.00M,10.00M,951.00M,1.164B,31.00M,1.195B,21.00M,,60.00M,8.00M,,69.00M,1.332B,2.283B,,0.00,-424.00M,1.433B,,,-11.00M,998.00M,,AOR,Restated
2014-10,418.00M,418.00M,1.021B,,,1.021B,,,,228.00M,,,,,1.675B,,,,,,,,,,360.00M,1.207B,39.00M,1.246B,,18.00M,99.00M,1.723B,3.398B,,704.00M,,,704.00M,287.00M,991.00M,,,2.00M,2.00M,,,8.00M,1.001B,1.227B,,1.227B,,,,,,194.00M,1.421B,2.422B,,0.00,-453.00M,1.435B,,,-6.00M,976.00M,,AOR,Restated
2014-07,358.00M,358.00M,1.094B,,,1.094B,,,,236.00M,,,,,1.713B,,,,,,,,,,372.00M,1.207B,59.00M,1.266B,,19.00M,111.00M,1.768B,3.481B,,682.00M,,,682.00M,296.00M,978.00M,,,3.00M,3.00M,,,10.00M,991.00M,1.329B,,1.329B,,,,,,204.00M,1.533B,2.524B,,0.00,-463.00M,1.426B,,,-6.00M,957.00M,,AOR,Restated
2014-04,183.00M,183.00M,1.098B,,,1.098B,,,,280.00M,,,,,1.571B,,,,,,,,,,480.00M,1.704B,88.00M,1.792B,,14.00M,112.00M,2.398B,3.969B,,740.00M,,,740.00M,253.00M,993.00M,,,3.00M,3.00M,,,8.00M,1.004B,1.33B,,1.33B,,,,,,230.00M,1.56B,2.564B,,0.00,0.00,1.411B,,,-6.00M,1.405B,,AOR,Restated
2014-01,430.00M,430.00M,794.00M,,303.00M,1.082B,,,,59.00M,58.00M,18.00M,89.00M,32.00M,1.807B,0.00,27.00M,113.00M,516.00M,,0.00,167.00M,823.00M,-341.00M,482.00M,1.693B,93.00M,1.786B,,15.00M,72.00M,2.355B,4.162B,,218.00M,,,218.00M,675.00M,893.00M,,,2.00M,2.00M,103.00M,103.00M,6.00M,1.009B,1.331B,33.00M,1.364B,66.00M,,104.00M,9.00M,,81.00M,1.558B,2.567B,,0.00,25.00M,1.576B,,,-6.00M,1.595B,,AOR,Restated
2013-10,814.00M,814.00M,1.161B,,,1.161B,,,,298.00M,,,,,2.286B,,,,,,,,,,473.00M,1.704B,100.00M,1.804B,,10.00M,62.00M,2.349B,4.635B,,782.00M,,,782.00M,307.00M,1.089B,,,151.00M,151.00M,,,,1.24B,1.33B,,1.33B,,,,,,182.00M,1.512B,2.752B,,0.00,150.00M,1.735B,,,-2.00M,1.883B,,AOR,Restated
2013-07,462.00M,462.00M,1.999B,,,1.999B,,,,350.00M,,,,,2.826B,,,,,,,,,,280.00M,2.195B,128.00M,2.323B,,13.00M,79.00M,2.695B,5.521B,,1.188B,,,1.188B,478.00M,1.666B,,,3.00M,3.00M,,,,1.669B,1.332B,,1.332B,,,,,,175.00M,1.507B,3.176B,,0.00,182.00M,2.165B,,,-2.00M,2.345B,,AOR,Restated
2013-04,563.00M,563.00M,2.063B,,,2.063B,,,,393.00M,,,,,3.019B,,,,,,,,,,315.00M,2.195B,173.00M,2.368B,,14.00M,74.00M,2.771B,5.79B,,1.211B,357.00M,,1.568B,448.00M,2.016B,,,1.00M,1.00M,,,,2.017B,1.297B,,1.297B,,,,,,172.00M,1.469B,3.486B,,0.00,182.00M,2.124B,,,-2.00M,2.304B,,AOR,Restated
2013-01,735.00M,735.00M,775.00M,,397.00M,1.166B,,,,79.00M,126.00M,51.00M,34.00M,13.00M,3.617B,0.00,27.00M,141.00M,321.00M,,2.00M,181.00M,672.00M,-386.00M,286.00M,1.704B,178.00M,1.882B,,12.00M,78.00M,2.258B,5.875B,,259.00M,,,259.00M,783.00M,1.042B,,,,,88.00M,88.00M,657.00M,1.792B,1.295B,,1.295B,32.00M,,72.00M,8.00M,,90.00M,1.465B,3.257B,,0.00,510.00M,2.11B,,,-2.00M,2.618B,,AOR,Restated
2012-10,531.00M,531.00M,,,,1.943B,,,,554.00M,,,,,3.062B,,,,,,,,766.00M,-447.00M,319.00M,2.195B,214.00M,2.409B,,0.00,76.00M,2.804B,5.866B,,1.291B,,41.00M,1.332B,,1.332B,,,2.00M,2.00M,,,8.00M,1.966B,1.297B,,1.297B,,,,,,148.00M,1.445B,3.411B,,0.00,367.00M,2.089B,,,-1.00M,2.455B,,AOR,Restated
2012-07,756.00M,756.00M,,,,1.992B,,,,430.00M,,,,,3.178B,,,,,,,,762.00M,-438.00M,324.00M,1.826B,156.00M,1.982B,,22.00M,74.00M,2.402B,5.58B,,1.296B,,9.00M,1.305B,,1.305B,,3.00M,3.00M,3.00M,,,,1.781B,1.297B,,1.297B,,,,,,143.00M,1.44B,3.221B,,0.00,296.00M,2.064B,,,-1.00M,2.359B,,AOR,Restated
2012-04,1.167B,1.167B,,,,2.171B,,,,453.00M,,,,,3.791B,,,,,,,,778.00M,-439.00M,339.00M,1.826B,166.00M,1.992B,,23.00M,75.00M,2.429B,6.22B,,1.41B,,32.00M,1.442B,,1.442B,,,553.00M,553.00M,,,,2.51B,1.298B,,1.298B,,,,,,146.00M,1.444B,3.954B,,0.00,229.00M,2.038B,,,-1.00M,2.266B,,AOR,Restated
2012-01,1.592B,1.592B,1.558B,,612.00M,2.164B,,,,168.00M,100.00M,43.00M,82.00M,37.00M,4.231B,0.00,32.00M,181.00M,359.00M,,6.00M,194.00M,772.00M,-424.00M,348.00M,1.80B,176.00M,1.976B,,37.00M,75.00M,2.436B,6.667B,,485.00M,,,485.00M,1.762B,2.247B,,,553.00M,553.00M,211.00M,211.00M,7.00M,3.025B,1.299B,,1.299B,0.00,,41.00M,29.00M,,92.00M,1.461B,4.486B,,0.00,164.00M,2.028B,,,-11.00M,2.181B,,AOR,Restated
2011-10,1.463B,1.463B,,,,2.219B,,,,309.00M,,,,,3.991B,,,,,,,,758.00M,-409.00M,349.00M,1.827B,186.00M,2.013B,,34.00M,76.00M,2.472B,6.463B,,,,,,,1.534B,,,553.00M,553.00M,,,,2.698B,1.299B,,1.299B,,,,,,140.00M,1.439B,4.137B,,0.00,326.00M,2.003B,,,-3.00M,2.326B,,AOR,Restated
2011-07,1.336B,1.336B,,,,2.124B,,,,307.00M,,,,,3.767B,,,,,,,,775.00M,-421.00M,354.00M,1.674B,196.00M,1.87B,,31.00M,91.00M,2.346B,6.113B,,1.222B,,20.00M,1.242B,,1.242B,,553.00M,553.00M,553.00M,,,,2.248B,1.299B,,1.299B,,,,,,143.00M,1.442B,3.69B,,0.00,437.00M,1.989B,,,-3.00M,2.423B,,AOR,Restated
2011-04,1.282B,1.282B,,,,2.15B,,,,360.00M,,,,,3.845B,,,,,,,,764.00M,-413.00M,351.00M,1.659B,200.00M,1.859B,,44.00M,84.00M,2.338B,6.183B,,1.225B,,33.00M,1.258B,,1.258B,,,3.00M,3.00M,,,26.00M,1.805B,1.848B,,1.848B,,,,,,135.00M,1.983B,3.788B,,0.00,369.00M,2.033B,,,-7.00M,2.395B,,AOR,Restated
2011-01,1.367B,1.367B,,,,2.095B,,,,116.00M,102.00M,38.00M,44.00M,87.00M,3.849B,0.00,33.00M,185.00M,353.00M,,10.00M,187.00M,768.00M,-406.00M,362.00M,1.678B,211.00M,1.889B,,52.00M,71.00M,2.374B,6.223B,,464.00M,,,464.00M,1.162B,1.626B,,,3.00M,3.00M,119.00M,119.00M,,1.748B,1.849B,,1.849B,,,,,,135.00M,1.984B,3.732B,,0.00,434.00M,2.09B,,,-33.00M,2.491B,,AOR,Restated
2010-10,644.00M,644.00M,,,,2.203B,,,,324.00M,,,,,3.171B,,,,,,,,758.00M,-397.00M,361.00M,1.688B,216.00M,1.904B,,36.00M,66.00M,2.367B,5.538B,,1.182B,,4.00M,1.186B,618.00M,1.804B,,,3.00M,3.00M,,,,1.807B,1.101B,,1.101B,,,,,,145.00M,1.246B,3.053B,,0.00,410.00M,2.112B,,,-37.00M,2.485B,,AOR,Restated
2010-07,604.00M,604.00M,,,,2.032B,,,,320.00M,,,,,2.956B,,,,,,,,776.00M,-394.00M,382.00M,1.548B,130.00M,1.678B,,87.00M,71.00M,2.218B,5.174B,,1.118B,,14.00M,1.132B,484.00M,1.616B,,,3.00M,3.00M,,,,1.619B,1.102B,,1.102B,,,,,,173.00M,1.275B,2.894B,,0.00,241.00M,2.077B,,,-38.00M,2.28B,,AOR,Restated
2010-04,568.00M,568.00M,,,,2.073B,,,,306.00M,,,,,2.947B,,,,,,,,783.00M,-385.00M,398.00M,1.548B,139.00M,1.687B,,86.00M,72.00M,2.243B,5.19B,,1.131B,,26.00M,1.157B,532.00M,1.689B,,,3.00M,3.00M,,,,1.692B,1.103B,,1.103B,,,,,,187.00M,1.29B,2.982B,,0.00,156.00M,2.09B,,,-38.00M,2.208B,,AOR,Restated
2010-01,861.00M,861.00M,,,,2.044B,,,,125.00M,55.00M,29.00M,34.00M,45.00M,3.193B,0.00,44.00M,221.00M,332.00M,,7.00M,168.00M,772.00M,-383.00M,389.00M,1.434B,106.00M,1.54B,,103.00M,70.00M,2.102B,5.295B,,511.00M,,,511.00M,1.037B,1.548B,,,3.00M,3.00M,155.00M,155.00M,,1.706B,1.103B,,1.103B,,,,,,195.00M,1.298B,3.004B,,0.00,239.00M,2.096B,,,-44.00M,2.291B,,AOR,Restated
2009-10,991.00M,991.00M,,,,2.156B,,,,281.00M,,,,,3.428B,,,,,,,,762.00M,-370.00M,392.00M,1.353B,92.00M,1.445B,,73.00M,70.00M,1.98B,5.408B,,,,,1.212B,631.00M,1.843B,,,3.00M,3.00M,,,,1.846B,1.103B,,1.103B,,,,,,180.00M,1.283B,3.129B,,0.00,260.00M,2.061B,,,-42.00M,2.279B,,AOR,Restated
2009-07,951.00M,951.00M,,,,1.964B,,,,327.00M,,,,,3.242B,,,,,,,,744.00M,-359.00M,385.00M,1.26B,75.00M,1.335B,,83.00M,59.00M,1.862B,5.104B,,,,,1.173B,477.00M,1.65B,,,3.00M,3.00M,,,,1.653B,1.103B,,1.103B,,,,,,192.00M,1.295B,2.948B,,0.00,173.00M,2.025B,,,-42.00M,2.156B,,AOR,Restated
2009-04,898.00M,898.00M,,,,2.016B,,,,346.00M,,,,,3.26B,,,,,,,,697.00M,-340.00M,357.00M,1.252B,79.00M,1.331B,,84.00M,50.00M,1.822B,5.082B,,1.238B,,18.00M,1.256B,509.00M,1.765B,,,2.00M,2.00M,,,,1.767B,1.102B,,1.102B,,,,,,187.00M,1.289B,3.056B,,0.00,85.00M,1.984B,,,-43.00M,2.026B,,AOR,Restated
2009-01,936.00M,936.00M,,,,1.889B,,,,141.00M,190.00M,25.00M,29.00M,7.00M,3.217B,0.00,37.00M,195.00M,299.00M,,5.00M,150.00M,686.00M,-329.00M,357.00M,1.249B,88.00M,1.337B,,86.00M,51.00M,1.831B,5.048B,,495.00M,,,495.00M,986.00M,1.481B,,,17.00M,17.00M,184.00M,184.00M,1.00M,1.683B,1.099B,,1.099B,,,,,,182.00M,1.281B,2.964B,,0.00,183.00M,1.95B,,,-49.00M,2.084B,,,Restated
2008-10,812.00M,812.00M,2.01B,,,2.01B,,,,299.00M,,,,4.00M,3.125B,,,,,,,,720.00M,-325.00M,395.00M,1.249B,96.00M,1.345B,,84.00M,90.00M,1.914B,5.039B,,1.211B,,,1.211B,607.00M,1.818B,,18.00M,18.00M,18.00M,,,1.00M,1.837B,1.099B,,1.099B,,,,,,144.00M,1.243B,3.08B,,0.00,96.00M,1.892B,,,-29.00M,1.959B,,,
2008-07,692.00M,692.00M,1.885B,,,1.885B,,,,296.00M,,,,,2.873B,,,,,,,,713.00M,-321.00M,392.00M,1.247B,112.00M,1.359B,,68.00M,108.00M,1.927B,4.80B,,1.126B,,,1.126B,561.00M,1.687B,,21.00M,21.00M,21.00M,,,32.00M,1.74B,1.099B,,1.099B,,,,,,149.00M,1.248B,2.988B,,0.00,,1.834B,,,-22.00M,1.812B,,,
2008-04,662.00M,662.00M,1.927B,,,1.927B,,,,289.00M,,,,,2.878B,,,,,,,,700.00M,-310.00M,390.00M,1.18B,121.00M,1.301B,,73.00M,107.00M,1.871B,4.749B,,1.138B,,,1.138B,465.00M,1.603B,,30.00M,30.00M,30.00M,,,55.00M,1.688B,1.098B,,1.098B,,,,,,154.00M,1.252B,2.94B,,0.00,,1.832B,,,-23.00M,1.809B,,,
2008-01,1.096B,1.096B,1.884B,,,1.884B,,,,96.00M,69.00M,20.00M,43.00M,39.00M,3.247B,0.00,47.00M,365.00M,275.00M,,2.00M,,689.00M,-297.00M,392.00M,1.076B,94.00M,1.17B,,71.00M,101.00M,1.734B,4.981B,,490.00M,,,490.00M,1.181B,1.671B,,130.00M,130.00M,130.00M,,,66.00M,1.867B,1.098B,,1.098B,,,,,,148.00M,1.246B,3.113B,,0.00,87.00M,1.804B,,,-23.00M,1.868B,,,
2007-10,1.011B,1.011B,1.844B,,,1.844B,,,,217.00M,,,,,3.072B,,,,,,,,689.00M,-287.00M,402.00M,1.081B,111.00M,1.192B,,63.00M,101.00M,1.758B,4.83B,,1.108B,,,1.108B,506.00M,1.614B,,139.00M,139.00M,139.00M,,,32.00M,1.785B,1.099B,,1.099B,,,,,,155.00M,1.254B,3.039B,,0.00,48.00M,1.767B,5.00M,-29.00M,-24.00M,1.791B,,,
2007-07,1.131B,1.131B,1.583B,,,1.583B,,,,229.00M,,,,,2.943B,,,,,,,,669.00M,-284.00M,385.00M,955.00M,95.00M,1.05B,,68.00M,102.00M,1.605B,4.548B,,940.00M,,,940.00M,486.00M,1.426B,,131.00M,131.00M,131.00M,,,,1.557B,1.098B,,1.098B,,,,,,174.00M,1.272B,2.829B,,0.00,42.00M,1.701B,4.00M,-28.00M,-24.00M,1.719B,,,
