,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-03,102.00M,0.00,0.00,63.00M,63.00M,,7.00M,11.00M,,7.00M,-84.00M,,,-47.00M,-63.00M,,26.00M,-168.00M,,22.00M,,-15.00M,,-15.00M,-81.00M,,,-96.00M,,-17.00M,-17.00M,4.00M,-22.00M,-18.00M,-52.00M,-52.00M,,-4.00M,-91.00M,,422.00M,-165.00M,,257.00M,,,4.00M,,-17.00M,-22.00M,,AOR,Restated
2017-12,113.00M,,,82.00M,82.00M,,9.00M,11.00M,,-45.00M,-36.00M,46.00M,,199.00M,,,-351.00M,-218.00M,,164.00M,,-39.00M,,-39.00M,,,1.00M,-38.00M,,-15.00M,-15.00M,3.00M,-5.00M,-2.00M,-48.00M,-48.00M,,0.00,-65.00M,,361.00M,61.00M,,422.00M,,,3.00M,,-15.00M,-5.00M,,AOR,Restated
2017-09,79.00M,,,92.00M,92.00M,,6.00M,12.00M,,18.00M,24.00M,-86.00M,,91.00M,,,49.00M,78.00M,,267.00M,,-19.00M,,-19.00M,0.00,,0.00,-19.00M,,-125.00M,-125.00M,3.00M,-1.00M,2.00M,-48.00M,-48.00M,,-3.00M,-174.00M,,287.00M,74.00M,,361.00M,,,3.00M,,-125.00M,-1.00M,,AOR,Restated
2017-06,98.00M,,,80.00M,80.00M,,28.00M,10.00M,,45.00M,11.00M,18.00M,,-7.00M,,,-69.00M,-47.00M,,166.00M,,-16.00M,,-16.00M,,,7.00M,-9.00M,,-47.00M,-47.00M,6.00M,-19.00M,-13.00M,-52.00M,-52.00M,,0.00,-112.00M,,242.00M,45.00M,,287.00M,,,6.00M,,-47.00M,-19.00M,,AOR,Restated
2017-03,74.00M,,,82.00M,82.00M,,0.00,10.00M,,3.00M,-190.00M,22.00M,,-123.00M,,,51.00M,-240.00M,,-71.00M,,-7.00M,,-7.00M,0.00,,2.00M,-5.00M,,-22.00M,-22.00M,1.00M,-6.00M,-5.00M,-50.00M,-50.00M,,-1.00M,-78.00M,,396.00M,-154.00M,,242.00M,,,1.00M,,-22.00M,-6.00M,,AOR,Restated
2016-12,60.00M,,,68.00M,68.00M,,6.00M,10.00M,,0.00,-17.00M,80.00M,,-33.00M,,,45.00M,-23.00M,,121.00M,,-9.00M,,-9.00M,0.00,,1.00M,-8.00M,,-175.00M,-175.00M,0.00,-4.00M,-4.00M,-48.00M,-48.00M,,0.00,-227.00M,,510.00M,-114.00M,,396.00M,,,0.00,0.00,-175.00M,-4.00M,,AOR,Restated
2016-09,92.00M,,,37.00M,37.00M,,1.00M,9.00M,,0.00,216.00M,-73.00M,,25.00M,,,-37.00M,131.00M,,270.00M,,-13.00M,,-13.00M,25.00M,,4.00M,16.00M,,590.00M,590.00M,19.00M,-1.00M,18.00M,-1.041B,-1.041B,,-30.00M,-463.00M,,670.00M,-177.00M,,510.00M,,,19.00M,690.00M,-100.00M,-1.00M,,AOR,Restated
2016-06,45.00M,,,9.00M,9.00M,,0.00,8.00M,,-1.00M,-28.00M,4.00M,,42.00M,,,-3.00M,15.00M,,76.00M,,-3.00M,,-3.00M,23.00M,,-1.00M,19.00M,,-1.00M,-1.00M,6.00M,-10.00M,-4.00M,-23.00M,-23.00M,-2.00M,-4.00M,-34.00M,,609.00M,61.00M,,670.00M,,,6.00M,,-1.00M,-10.00M,,AOR,Restated
2016-03,49.00M,,,8.00M,8.00M,,,8.00M,,-2.00M,-48.00M,-11.00M,,-33.00M,,,11.00M,-81.00M,,-18.00M,,-4.00M,,-4.00M,,,3.00M,-2.00M,,-1.00M,-1.00M,,-9.00M,-9.00M,-23.00M,-23.00M,2.00M,4.00M,-27.00M,,656.00M,-47.00M,,609.00M,,,,,-1.00M,-9.00M,,AOR,
2015-12,134.00M,,,6.00M,6.00M,,-40.00M,7.00M,,-106.00M,-164.00M,8.00M,,90.00M,,,47.00M,-19.00M,,4.00M,,-12.00M,,-12.00M,0.00,,74.00M,62.00M,,10.00M,10.00M,,-2.00M,4.00M,-22.00M,-22.00M,-4.00M,-10.00M,-42.00M,,635.00M,24.00M,,673.00M,,,,,10.00M,-2.00M,,,
2015-09,49.00M,,,11.00M,11.00M,,12.00M,9.00M,,105.00M,82.00M,-12.00M,,23.00M,,,94.00M,187.00M,,269.00M,,-7.00M,,-7.00M,27.00M,,4.00M,24.00M,,-2.00M,-2.00M,,-1.00M,-1.00M,-23.00M,-23.00M,1.00M,2.00M,-23.00M,,365.00M,270.00M,,635.00M,,,,,-2.00M,-1.00M,,AOR,
2015-06,37.00M,,,12.00M,12.00M,,29.00M,8.00M,,0.00,46.00M,19.00M,,121.00M,,,-121.00M,65.00M,,151.00M,,-5.00M,,-5.00M,0.00,,-9.00M,-14.00M,,-18.00M,-18.00M,,-109.00M,-109.00M,-24.00M,-24.00M,2.00M,0.00,-149.00M,,377.00M,-12.00M,,365.00M,,,,,-18.00M,-109.00M,,AOR,
2015-03,23.00M,,,12.00M,12.00M,,40.00M,6.00M,,-1.00M,17.00M,-29.00M,,-127.00M,,,17.00M,-122.00M,,-42.00M,,-3.00M,,-3.00M,,,1.00M,4.00M,,-29.00M,-29.00M,,-6.00M,-6.00M,-24.00M,-24.00M,1.00M,1.00M,-44.00M,,459.00M,-82.00M,,377.00M,,,,,-29.00M,-6.00M,,AOR,
2015-01,26.00M,,,12.00M,12.00M,,33.00M,9.00M,,-559.00M,133.00M,-8.00M,,-40.00M,,,-71.00M,14.00M,,102.00M,,-3.00M,,-3.00M,0.00,,0.00,-1.00M,,-73.00M,-73.00M,,-2.00M,5.00M,-23.00M,-23.00M,-6.00M,1.00M,-76.00M,,418.00M,25.00M,,443.00M,,,,,-73.00M,-2.00M,,AOR,Restated
2014-10,38.00M,,,16.00M,16.00M,,24.00M,10.00M,,562.00M,85.00M,-13.00M,,-12.00M,,,36.00M,96.00M,,179.00M,,-4.00M,,-4.00M,0.00,,0.00,15.00M,,-103.00M,-103.00M,,-1.00M,-1.00M,-24.00M,-24.00M,2.00M,0.00,-134.00M,,358.00M,60.00M,,418.00M,,,,,-103.00M,-1.00M,,AOR,Restated
2014-07,-439.00M,,,16.00M,16.00M,,510.00M,12.00M,,6.00M,-8.00M,45.00M,,-16.00M,,,-2.00M,19.00M,,124.00M,,-12.00M,,-12.00M,,,80.00M,76.00M,,-1.00M,-1.00M,,0.00,0.00,-24.00M,-24.00M,2.00M,0.00,-25.00M,,183.00M,175.00M,,358.00M,,,,,-1.00M,0.00,,AOR,Restated
2014-04,45.00M,,,18.00M,18.00M,,0.00,11.00M,,-1.00M,-48.00M,-36.00M,,4.00M,,,-2.00M,-82.00M,,-9.00M,,-10.00M,,-10.00M,,,,-10.00M,,0.00,0.00,,-212.00M,-212.00M,-24.00M,-24.00M,2.00M,1.00M,-228.00M,,430.00M,-247.00M,,183.00M,,,,,0.00,-212.00M,,AOR,Restated
2014-01,47.00M,,2.00M,16.00M,16.00M,,-1.00M,12.00M,,2.00M,73.00M,17.00M,,-32.00M,15.00M,,-42.00M,31.00M,,109.00M,,-22.00M,,-22.00M,,0.00,10.00M,-15.00M,,-151.00M,-151.00M,,-302.00M,-302.00M,-25.00M,-25.00M,2.00M,1.00M,-478.00M,,814.00M,-384.00M,,430.00M,,,,0.00,-151.00M,-302.00M,,AOR,Restated
2013-10,-8.00M,,,13.00M,13.00M,,64.00M,13.00M,,0.00,-16.00M,-21.00M,,0.00,-3.00M,,8.00M,-32.00M,,50.00M,,-1.00M,,-1.00M,,12.00M,-4.00M,261.00M,,500.00M,500.00M,,0.00,0.00,-28.00M,-28.00M,3.00M,-500.00M,41.00M,,462.00M,352.00M,,814.00M,,,,500.00M,0.00,0.00,,AOR,Restated
2013-07,5.00M,,10.00M,25.00M,25.00M,,30.00M,15.00M,,6.00M,37.00M,0.00,,6.00M,-3.00M,,3.00M,43.00M,,134.00M,,-12.00M,,-12.00M,,,39.00M,25.00M,,-1.00M,-1.00M,,-1.00M,-1.00M,-383.00M,-383.00M,4.00M,40.00M,-259.00M,,562.00M,-100.00M,,462.00M,,,,,-1.00M,-1.00M,,AOR,Restated
2013-04,40.00M,,-10.00M,26.00M,26.00M,,2.00M,15.00M,,9.00M,-163.00M,48.00M,,-73.00M,9.00M,,-5.00M,-184.00M,,-102.00M,,-18.00M,,-18.00M,,,27.00M,9.00M,,,,,-16.00M,-16.00M,-41.00M,-41.00M,4.00M,,-80.00M,,735.00M,-173.00M,,562.00M,,,,,,-16.00M,,AOR,Restated
2013-01,158.00M,,7.00M,17.00M,17.00M,,2.00M,11.00M,,52.00M,7.00M,78.00M,,-163.00M,-7.00M,,68.00M,-17.00M,,175.00M,,-8.00M,,-8.00M,-5.00M,,0.00,35.00M,,0.00,0.00,,-1.00M,-1.00M,-41.00M,-41.00M,4.00M,,-4.00M,,531.00M,206.00M,,735.00M,,,,0.00,0.00,-1.00M,,AOR,Restated
2012-10,-61.00M,,-1.00M,17.00M,17.00M,,-1.00M,-4.00M,,2.00M,23.00M,-98.00M,,131.00M,-3.00M,,1.00M,54.00M,,6.00M,,2.00M,,2.00M,-478.00M,,0.00,-482.00M,,2.00M,2.00M,,-1.00M,-1.00M,-41.00M,-41.00M,5.00M,,251.00M,,756.00M,-225.00M,,531.00M,,,,0.00,2.00M,-1.00M,,AOR,Restated
2012-07,109.00M,,-5.00M,29.00M,29.00M,,1.00M,22.00M,,0.00,185.00M,41.00M,,-176.00M,1.00M,,-3.00M,48.00M,,204.00M,,-25.00M,,-25.00M,,,2.00M,-23.00M,,-551.00M,-551.00M,,-1.00M,-1.00M,-42.00M,-42.00M,6.00M,,-592.00M,,1.167B,-411.00M,,756.00M,,,,,-551.00M,-1.00M,,AOR,Restated
2012-04,117.00M,,-1.00M,27.00M,27.00M,,0.00,24.00M,,1.00M,3.00M,-16.00M,,-517.00M,0.00,,1.00M,-529.00M,,-361.00M,,-8.00M,,-8.00M,,,1.00M,-7.00M,,-1.00M,-1.00M,,-19.00M,-19.00M,-41.00M,-41.00M,4.00M,,-57.00M,,1.592B,-425.00M,,1.167B,,,,,-1.00M,-19.00M,,AOR,Restated
2012-01,-381.00M,,5.00M,2.00M,2.00M,,-19.00M,-9.00M,,-84.00M,-18.00M,-90.00M,,376.00M,,,-69.00M,176.00M,61.00M,-166.00M,,-8.00M,-84.00M,-92.00M,2.00M,,74.00M,-25.00M,,2.00M,2.00M,,-1.00M,-1.00M,,0.00,6.00M,0.00,319.00M,,1.463B,128.00M,0.00,1.59B,,,,,2.00M,-1.00M,,AOR,Restated
2011-10,-96.00M,,-4.00M,31.00M,31.00M,,19.00M,21.00M,,82.00M,-46.00M,5.00M,,402.00M,,,86.00M,447.00M,-41.00M,376.00M,,-18.00M,84.00M,66.00M,-191.00M,,-79.00M,-202.00M,,-1.00M,-1.00M,,-53.00M,-53.00M,,0.00,7.00M,0.00,-47.00M,,1.336B,127.00M,0.00,1.463B,,,,,-1.00M,-53.00M,,AOR,Restated
2011-07,112.00M,,-20.00M,27.00M,27.00M,,0.00,19.00M,,0.00,33.00M,26.00M,,-124.00M,,,-17.00M,-82.00M,-14.00M,42.00M,,-21.00M,-15.00M,-36.00M,-29.00M,,76.00M,177.00M,,-1.00M,-1.00M,,-171.00M,-171.00M,,0.00,7.00M,0.00,-165.00M,,1.282B,66.00M,0.00,1.336B,,6.00M,,,-1.00M,-171.00M,,AOR,Restated
2011-04,130.00M,,-8.00M,28.00M,28.00M,,,24.00M,,1.00M,-81.00M,7.00M,,54.00M,,,-1.00M,-21.00M,-6.00M,148.00M,,-9.00M,15.00M,6.00M,,,2.00M,8.00M,,-1.00M,-1.00M,,-246.00M,-246.00M,,0.00,7.00M,-2.00M,-242.00M,,1.367B,-98.00M,1.00M,1.282B,,-6.00M,,,-1.00M,-246.00M,,AOR,Restated
2011-01,603.00M,,-2.00M,30.00M,30.00M,,2.00M,23.00M,2.00M,-488.00M,128.00M,-59.00M,,-95.00M,-2.00M,,6.00M,-22.00M,20.00M,168.00M,,-21.00M,,-21.00M,-24.00M,,4.00M,-43.00M,,741.00M,741.00M,,-153.00M,-153.00M,,,8.00M,-2.00M,598.00M,,644.00M,723.00M,0.00,1.367B,,,,,-1.00M,-153.00M,,AOR,Restated
2010-10,-337.00M,,-4.00M,29.00M,29.00M,,2.00M,26.00M,0.00,488.00M,-156.00M,46.00M,,225.00M,,,2.00M,117.00M,-28.00M,293.00M,,-17.00M,-1.00M,-18.00M,-218.00M,,6.00M,-258.00M,,-1.00M,-1.00M,,-3.00M,-3.00M,,,8.00M,0.00,4.00M,,604.00M,39.00M,1.00M,644.00M,,,,,-1.00M,-3.00M,,AOR,Restated
2010-07,157.00M,,1.00M,27.00M,27.00M,,,27.00M,1.00M,-8.00M,35.00M,-16.00M,,-131.00M,17.00M,,-9.00M,-104.00M,0.00,110.00M,,-10.00M,0.00,-10.00M,0.00,,,73.00M,,-1.00M,-1.00M,,-154.00M,-154.00M,,,9.00M,-1.00M,-147.00M,,568.00M,36.00M,0.00,604.00M,,,,,-1.00M,-154.00M,,AOR,Restated
2010-04,124.00M,,,24.00M,24.00M,,,23.00M,-14.00M,9.00M,-25.00M,,,15.00M,-17.00M,,1.00M,-26.00M,8.00M,139.00M,,-25.00M,1.00M,-24.00M,-140.00M,,,-166.00M,,0.00,0.00,,-291.00M,-291.00M,,,13.00M,14.00M,-264.00M,,861.00M,-291.00M,-2.00M,568.00M,,,,,0.00,-291.00M,,AOR,Restated
2010-01,123.00M,,,25.00M,25.00M,,6.00M,26.00M,-20.00M,-5.00M,118.00M,-63.00M,,-149.00M,,,-17.00M,-57.00M,4.00M,102.00M,,-12.00M,,-12.00M,-109.00M,,2.00M,-118.00M,,-1.00M,-1.00M,,-143.00M,-143.00M,,,12.00M,20.00M,-112.00M,,991.00M,-128.00M,-2.00M,861.00M,,,,,-1.00M,-143.00M,,AOR,Restated
2009-10,135.00M,,,24.00M,24.00M,,0.00,29.00M,-2.00M,-3.00M,-142.00M,52.00M,,158.00M,,,-1.00M,67.00M,0.00,250.00M,,-18.00M,,-18.00M,-140.00M,,-10.00M,-170.00M,,-1.00M,-1.00M,,-55.00M,-55.00M,,,12.00M,2.00M,-42.00M,,951.00M,39.00M,2.00M,991.00M,,,,,-1.00M,-55.00M,,AOR,Restated
2009-07,125.00M,,,22.00M,22.00M,,1.00M,26.00M,-1.00M,2.00M,54.00M,-29.00M,,-96.00M,,,5.00M,-66.00M,0.00,109.00M,,-16.00M,,-16.00M,-9.00M,,7.00M,-21.00M,,-1.00M,-1.00M,,-53.00M,-53.00M,,,14.00M,1.00M,-39.00M,,898.00M,48.00M,4.00M,951.00M,,,,,-1.00M,-53.00M,,AOR,Restated
2009-04,117.00M,,,22.00M,22.00M,,,25.00M,-13.00M,-1.00M,-124.00M,40.00M,,93.00M,,,4.00M,13.00M,-1.00M,162.00M,,-12.00M,,-12.00M,0.00,,11.00M,4.00M,,-15.00M,-15.00M,,-223.00M,-223.00M,,,20.00M,13.00M,-205.00M,,936.00M,-39.00M,1.00M,898.00M,,,,,-15.00M,-223.00M,,AOR,Restated
2009-01,115.00M,,,24.00M,24.00M,,,,,-30.00M,116.00M,-23.00M,,-106.00M,,-81.00M,66.00M,-27.00M,-4.00M,145.00M,,-14.00M,,-14.00M,-3.00M,,3.00M,-16.00M,,,-1.00M,-64.00M,-16.00M,-80.00M,,,,4.00M,-1.00M,,812.00M,128.00M,-4.00M,936.00M,,,-64.00M,,,-16.00M,,,Restated
2008-10,120.00M,,,20.00M,20.00M,,,,,30.00M,-130.00M,-13.00M,-2.00M,91.00M,,68.00M,4.00M,18.00M,-42.00M,146.00M,,-20.00M,,-20.00M,2.00M,,-1.00M,-22.00M,,,-2.00M,14.00M,-13.00M,1.00M,,,,9.00M,8.00M,,692.00M,132.00M,-12.00M,812.00M,,,14.00M,,,-13.00M,,,
2008-07,112.00M,,,22.00M,22.00M,1.00M,,,,-16.00M,55.00M,-12.00M,2.00M,-9.00M,,87.00M,-5.00M,118.00M,1.00M,238.00M,,-13.00M,,-13.00M,-66.00M,,4.00M,-80.00M,,,-8.00M,22.00M,-157.00M,-135.00M,,,,15.00M,-128.00M,,662.00M,30.00M,,692.00M,,,22.00M,,,-157.00M,,,
2008-04,100.00M,,,23.00M,23.00M,-1.00M,,,,13.00M,-37.00M,-34.00M,,18.00M,,-74.00M,1.00M,-126.00M,4.00M,13.00M,,-12.00M,,-12.00M,-137.00M,,8.00M,-141.00M,,,-102.00M,28.00M,-259.00M,-231.00M,,,,27.00M,-306.00M,,1.096B,-434.00M,,662.00M,,,28.00M,,,-259.00M,,,
2008-01,100.00M,,,20.00M,20.00M,1.00M,,,,6.00M,-43.00M,23.00M,,-6.00M,-45.00M,57.00M,-8.00M,-22.00M,6.00M,122.00M,,-19.00M,,-19.00M,0.00,,-6.00M,-30.00M,,,-1.00M,19.00M,-39.00M,-20.00M,,,,16.00M,-7.00M,,1.011B,85.00M,,1.096B,,,19.00M,,,-39.00M,,,
2007-10,104.00M,,,22.00M,22.00M,-11.00M,,,,14.00M,-201.00M,4.00M,,132.00M,,22.00M,4.00M,-39.00M,3.00M,93.00M,,-19.00M,,-19.00M,-145.00M,,11.00M,-150.00M,,,0.00,24.00M,-98.00M,-74.00M,,,,11.00M,-63.00M,,1.131B,-120.00M,,1.011B,,,24.00M,,,-98.00M,,,
2007-07,132.00M,,,18.00M,18.00M,6.00M,,,,19.00M,37.00M,-27.00M,,36.00M,-2.00M,87.00M,-9.00M,122.00M,-36.00M,261.00M,,-11.00M,,-11.00M,,,-6.00M,-18.00M,,,-8.00M,20.00M,-78.00M,-58.00M,,,,11.00M,-55.00M,,943.00M,188.00M,,1.131B,,,20.00M,,,-78.00M,,,
2007-04,80.00M,,,17.00M,17.00M,,,,,-1.00M,-30.00M,,,-116.00M,2.00M,-84.00M,1.00M,-227.00M,-3.00M,-134.00M,,-12.00M,,-12.00M,,,4.00M,-4.00M,,,-1.00M,35.00M,-94.00M,-59.00M,,,,28.00M,-32.00M,,1.113B,-170.00M,,943.00M,,,35.00M,,,-94.00M,,,
2007-01,83.00M,,2.00M,18.00M,18.00M,-2.00M,,,,14.00M,-41.00M,-44.00M,,66.00M,,88.00M,-2.00M,75.00M,-25.00M,165.00M,,-8.00M,,-8.00M,-234.00M,0.00,37.00M,-235.00M,,,7.00M,42.00M,-67.00M,-25.00M,,,,54.00M,-2.478B,,3.636B,-2.548B,,1.113B,,,42.00M,,,-67.00M,,,
2006-10,116.00M,,19.00M,19.00M,19.00M,16.00M,,,,-16.00M,-16.00M,44.00M,,36.00M,,117.00M,-94.00M,87.00M,22.00M,263.00M,,-34.00M,,-34.00M,-112.00M,0.00,-40.00M,-141.00M,,18.00M,-9.00M,1.251B,-73.00M,1.178B,,,,-46.00M,1.168B,,2.342B,1.29B,,3.636B,,,1.251B,,18.00M,-73.00M,,,
2006-07,98.00M,,,19.00M,19.00M,4.00M,,,,27.00M,-14.00M,,,-30.00M,,,104.00M,60.00M,,208.00M,,-13.00M,,-13.00M,-18.00M,0.00,-4.00M,-35.00M,,2.00M,2.00M,34.00M,-552.00M,-518.00M,,,,0.00,-516.00M,,2.69B,-343.00M,,2.342B,,,34.00M,,2.00M,-552.00M,,AOR,
2006-04,93.00M,,,15.00M,15.00M,-15.00M,,,,31.00M,3.00M,,,-39.00M,,,-9.00M,-45.00M,,79.00M,,-18.00M,,-18.00M,-14.00M,1.659B,10.00M,1.637B,,-20.00M,-20.00M,16.00M,-32.00M,-16.00M,,,,-1.00M,-37.00M,,1.01B,1.679B,,2.69B,,,16.00M,,-20.00M,-32.00M,,AOR,
