,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-03,1.512B,1.512B,969.00M,543.00M,103.00M,103.00M,,342.00M,42.00M,102.00M,5.00M,-99.00M,103.00M,248.00M,295.00M,5.00M,102.00M,-99.00M,342.00M,-99.00M,538.00M,271.00M,267.00M,,,-54.00M,,213.00M,7.80M,1.216B,576.00M,640.00M,,0.56,,,0.02,0.56,,0.56,,,0.0242,0.56,,380.00M,383.00M,0.25,,AOR,Restated
2016-12,1.455B,1.455B,1.043B,412.00M,112.00M,112.00M,,-98.00M,41.00M,104.00M,2.00M,-105.00M,170.00M,323.00M,89.00M,2.00M,104.00M,-105.00M,-98.00M,-105.00M,-114.00M,29.00M,-143.00M,0.00,,-39.00M,,-182.00M,-123.20M,613.00M,623.00M,-10.00M,,-0.48,0.00,,-0.3249,-0.48,,-0.48,0.00,,-0.3249,-0.48,,379.00M,379.00M,0.25,,AOR,Restated
2016-09,1.439B,1.439B,1.081B,358.00M,102.00M,102.00M,,-843.00M,9.00M,103.00M,3.00M,-102.00M,207.00M,318.00M,40.00M,3.00M,103.00M,-102.00M,-843.00M,-102.00M,-905.00M,-379.00M,-526.00M,-33.00M,,-48.00M,,-607.00M,-68.20M,-154.00M,648.00M,-802.00M,,-1.51,-0.09,,-0.1789,-1.60,,-1.51,-0.09,,-0.1789,-1.60,,380.00M,380.00M,0.25,,AOR,Restated
2016-06,1.386B,1.386B,1.08B,306.00M,103.00M,103.00M,,-165.00M,65.00M,104.00M,2.00M,-104.00M,150.00M,318.00M,-12.00M,2.00M,104.00M,-104.00M,-165.00M,-104.00M,-281.00M,-81.00M,-200.00M,,,-44.00M,,-244.00M,-126.56M,492.00M,669.00M,-177.00M,,-0.65,,,-0.3401,-0.65,,-0.65,,,-0.3401,-0.65,,379.00M,379.00M,0.25,,AOR,Restated
2016-03,1.087B,1.087B,1.108B,-21.00M,93.00M,93.00M,,-16.00M,11.00M,105.00M,1.00M,-105.00M,136.00M,240.00M,-261.00M,1.00M,105.00M,-105.00M,-16.00M,-105.00M,-382.00M,-11.00M,-371.00M,,,-1.00M,,-372.00M,-356.46M,401.00M,678.00M,-277.00M,,-0.98,,,-0.9389,-0.98,,-0.98,,,-0.9389,-0.98,,378.00M,378.00M,0.25,,AOR,Restated
2015-12,1.254B,1.254B,1.312B,-58.00M,96.00M,96.00M,,-3.08B,50.00M,112.00M,3.00M,-110.00M,1.95B,2.096B,-2.154B,3.00M,112.00M,-110.00M,-3.08B,-110.00M,-5.344B,-289.00M,-5.055B,627.00M,,413.00M,,-4.015B,-1.729B,-4.424B,808.00M,-5.232B,,-19.57,0.50,,-11.86,-19.07,,-19.57,0.50,,-11.86,-19.07,,378.00M,378.00M,0.25,,AOR,Restated
2015-09,1.606B,1.606B,1.38B,226.00M,89.00M,89.00M,,-3.947B,104.00M,117.00M,2.00M,-121.00M,335.00M,528.00M,-302.00M,2.00M,117.00M,-121.00M,-3.947B,-121.00M,-4.37B,-251.00M,-4.119B,-17.00M,,-7.00M,,-4.143B,-405.70M,-3.381B,872.00M,-4.253B,,-10.91,-0.04,,-1.068,-10.95,,-10.91,-0.04,,-1.068,-10.95,,378.00M,378.00M,0.25,,AOR,Restated
2015-06,1.991B,1.991B,1.31B,681.00M,111.00M,111.00M,,-351.00M,55.00M,118.00M,3.00M,-117.00M,233.00M,399.00M,282.00M,3.00M,118.00M,-117.00M,-351.00M,-117.00M,-186.00M,731.00M,-917.00M,120.00M,,-63.00M,,-860.00M,-769.40M,-68.00M,-6.682B,-68.00M,,-2.60,0.32,,-2.043,-2.28,,-2.60,0.32,,-2.043,-2.28,,378.00M,378.00M,0.25,,AOR,Restated
2015-03,1.638B,1.638B,8.839B,-7.201B,82.00M,82.00M,,-54.00M,74.00M,70.00M,3.00M,-69.00M,44.00M,200.00M,-7.401B,3.00M,70.00M,-69.00M,-54.00M,-69.00M,-7.524B,-3.02B,-4.504B,-132.00M,,-15.00M,,-4.651B,-4.487B,848.00M,8.302B,-7.454B,,-11.99,-0.35,,-11.90,-12.34,,-11.99,-0.35,,-11.90,-12.34,,377.00M,377.00M,0.25,,AOR,Restated
2014-12,2.752B,2.752B,-55.00M,2.807B,121.00M,121.00M,,-8.711B,95.00M,257.00M,2.00M,-256.00M,2.249B,2.465B,342.00M,2.00M,257.00M,-256.00M,-8.79B,-256.00M,-8.704B,-2.17B,-6.534B,-1.191B,,-46.00M,,-7.771B,-40.75M,-8.447B,-667.00M,-8.447B,,-12.78,0.00,,4.658,-12.78,,-12.78,0.00,,4.658,-12.78,,375.00M,375.00M,0.25,,AOR,Restated
2014-09,3.181B,3.181B,3.39B,-209.00M,111.00M,111.00M,,-34.00M,124.00M,59.00M,1.00M,-60.00M,52.00M,287.00M,-496.00M,1.00M,59.00M,-60.00M,239.00M,-60.00M,-317.00M,768.00M,-1.085B,-156.00M,,-89.00M,,-1.33B,-1.329B,2.477B,2.735B,-258.00M,,-3.08,-0.42,,-3.488,-3.50,,-3.08,-0.42,,-3.488,-3.50,,381.00M,381.00M,0.25,,AOR,Restated
2014-06,3.471B,3.471B,1.984B,1.487B,113.00M,113.00M,,-14.00M,177.00M,52.00M,1.00M,-52.00M,46.00M,336.00M,1.151B,1.00M,52.00M,-52.00M,-188.00M,-52.00M,911.00M,354.00M,557.00M,56.00M,,-108.00M,,505.00M,563.95M,2.215B,1.252B,963.00M,,1.17,0.14,,1.469,1.31,,1.17,0.14,,1.467,1.31,,385.00M,387.00M,0.25,,AOR,Restated
2014-03,3.647B,3.647B,1.873B,1.774B,103.00M,103.00M,,-18.00M,181.00M,29.00M,4.00M,-27.00M,16.00M,300.00M,1.474B,4.00M,29.00M,-27.00M,-18.00M,-27.00M,1.429B,578.00M,851.00M,-517.00M,,-98.00M,,236.00M,763.80M,2.664B,1.206B,1.458B,,1.92,-1.32,,1.947,0.60,,1.90,-1.32,,1.927,0.60,,394.00M,396.00M,0.20,,AOR,Restated
2013-12,2.46B,2.46B,1.641B,819.00M,122.00M,122.00M,,-17.00M,198.00M,84.00M,-2.00M,-88.00M,430.00M,750.00M,69.00M,-2.00M,84.00M,-88.00M,258.00M,-88.00M,239.00M,509.00M,-270.00M,500.00M,,-56.00M,0.00,174.00M,-314.95M,1.532B,1.209B,323.00M,,0.44,1.26,,0.4678,0.44,,0.43,1.24,,0.4574,0.43,,398.00M,403.00M,0.20,,AOR,Restated
2013-09,4.288B,4.288B,2.848B,1.44B,120.00M,120.00M,,0.00,176.00M,51.00M,3.00M,-50.00M,31.00M,327.00M,1.113B,3.00M,51.00M,-50.00M,-422.00M,-50.00M,641.00M,206.00M,435.00M,-129.00M,,0.00,6.00M,306.00M,721.38M,2.687B,1.995B,692.00M,,1.08,-0.33,,1.798,0.75,,1.07,-0.33,,1.784,0.75,,399.00M,401.00M,0.20,,AOR,Restated
2013-06,4.001B,4.001B,2.208B,1.793B,126.00M,126.00M,,0.00,170.00M,53.00M,3.00M,-52.00M,44.00M,340.00M,1.453B,3.00M,53.00M,-52.00M,247.00M,-52.00M,1.648B,611.00M,1.037B,-2.00M,,0.00,19.00M,1.035B,881.39M,3.051B,1.35B,1.701B,,2.60,-0.01,,2.203,2.59,,2.54,-0.01,,2.159,2.54,,392.00M,408.00M,0.20,,AOR,Restated
2013-03,4.021B,4.021B,2.107B,1.914B,112.00M,112.00M,,0.00,229.00M,56.00M,3.00M,-55.00M,38.00M,379.00M,1.535B,3.00M,56.00M,-55.00M,-100.00M,-55.00M,1.38B,602.00M,778.00M,-61.00M,,0.00,19.00M,717.00M,843.00M,2.748B,1.312B,1.436B,,1.94,-0.16,,2.106,1.78,,1.91,-0.16,,2.069,1.76,,392.00M,408.00M,0.17,,AOR,Restated
2012-12,3.874B,3.874B,1.846B,2.028B,131.00M,131.00M,,-2.00M,191.00M,48.00M,3.00M,-47.00M,-26.00M,296.00M,1.732B,3.00M,48.00M,-47.00M,-81.00M,-47.00M,1.604B,950.00M,654.00M,,,,19.00M,668.00M,655.30M,2.832B,1.18B,1.652B,,1.66,,,1.663,1.66,,1.64,,,1.643,1.64,,392.00M,394.00M,0.17,,AOR,Restated
2012-09,4.141B,4.141B,2.916B,1.225B,124.00M,124.00M,,-7.00M,167.00M,42.00M,4.00M,-40.00M,22.00M,313.00M,912.00M,4.00M,42.00M,-40.00M,-7.00M,-40.00M,865.00M,685.00M,180.00M,,,,19.00M,180.00M,184.55M,2.936B,2.029B,907.00M,,0.41,,,0.4216,0.41,,0.41,,,0.4216,0.41,,391.00M,393.00M,0.17,,AOR,Restated
2012-06,3.956B,3.956B,2.708B,1.248B,132.00M,132.00M,,-16.00M,203.00M,46.00M,3.00M,-45.00M,41.00M,376.00M,872.00M,3.00M,46.00M,-45.00M,-16.00M,-45.00M,811.00M,455.00M,356.00M,,,,19.00M,356.00M,366.40M,2.789B,1.932B,857.00M,,0.87,,,0.8967,0.87,,0.86,,,0.8867,0.86,,389.00M,390.00M,0.17,,AOR,Restated
2012-03,4.457B,4.457B,2.49B,1.967B,128.00M,128.00M,,-6.00M,257.00M,42.00M,3.00M,-40.00M,-24.00M,361.00M,1.606B,3.00M,42.00M,-40.00M,-6.00M,-40.00M,1.56B,763.00M,797.00M,,,,19.00M,797.00M,800.90M,3.342B,1.74B,1.602B,,2.02,,,2.030,2.02,,2.00,,,2.010,2.00,,385.00M,399.00M,0.15,,AOR,Restated
2011-12,4.295B,4.295B,1.908B,2.387B,132.00M,132.00M,,-5.00M,236.00M,37.00M,3.00M,-35.00M,38.00M,406.00M,1.981B,3.00M,37.00M,-35.00M,-5.00M,-35.00M,1.941B,752.00M,1.189B,,,,19.00M,1.189B,1.192B,3.152B,1.174B,1.978B,,3.05,0.00,,3.058,3.05,,2.98,0.00,,2.988,2.98,,384.00M,400.00M,0.15,,AOR,Restated
2011-09,4.282B,4.282B,1.798B,2.484B,112.00M,112.00M,,-4.00M,244.00M,40.00M,4.00M,-37.00M,-7.00M,349.00M,2.135B,4.00M,40.00M,-37.00M,-4.00M,-37.00M,2.094B,1.092B,1.002B,,,,19.00M,1.002B,1.005B,3.199B,1.065B,2.134B,,2.56,,,2.567,2.56,,2.50,,,2.506,2.50,,384.00M,400.00M,0.15,,AOR,Restated
2011-06,4.338B,4.338B,73.00M,4.265B,,103.00M,,-6.00M,255.00M,46.00M,6.00M,-41.00M,700.00M,2.087B,2.178B,6.00M,46.00M,-41.00M,-6.00M,-41.00M,2.131B,872.00M,1.259B,,,,19.00M,1.259B,1.263B,3.206B,1.029B,2.177B,,3.23,0.00,,3.240,3.23,,3.17,0.00,,3.180,3.17,,384.00M,397.00M,0.15,,AOR,Restated
2011-03,3.925B,3.925B,76.00M,3.849B,,112.00M,,-5.00M,164.00M,48.00M,4.00M,-45.00M,660.00M,1.872B,1.977B,4.00M,48.00M,-45.00M,-5.00M,-45.00M,1.927B,793.00M,1.134B,,,,19.00M,1.134B,1.137B,2.911B,936.00M,1.975B,,2.91,0.00,,2.918,2.91,,2.86,0.00,,2.868,2.86,,383.00M,397.00M,0.15,,AOR,Restated
2010-12,3.525B,3.525B,5.167B,-1.642B,,120.00M,,-167.00M,168.00M,52.00M,4.00M,-55.00M,-1.265B,-3.132B,1.49B,4.00M,52.00M,-55.00M,-167.00M,-55.00M,1.268B,579.00M,689.00M,,,,19.00M,689.00M,797.55M,2.248B,928.00M,1.32B,,1.75,,,2.039,1.75,,1.74,,,2.019,1.74,,376.00M,389.00M,0.15,,AOR,Restated
2010-09,3.013B,3.013B,43.00M,2.97B,,89.00M,,-8.00M,158.00M,57.00M,5.00M,-59.00M,532.00M,1.566B,1.404B,5.00M,57.00M,-59.00M,-8.00M,-59.00M,1.337B,559.00M,778.00M,,,,13.00M,778.00M,783.20M,2.181B,787.00M,1.394B,,2.14,0.00,,2.155,2.14,,2.12,0.00,,2.134,2.12,,357.00M,367.00M,0.15,,AOR,Restated
2010-06,2.972B,2.972B,43.00M,2.929B,,84.00M,,-8.00M,187.00M,57.00M,2.00M,-56.00M,471.00M,1.471B,1.458B,2.00M,57.00M,-56.00M,-8.00M,-56.00M,1.394B,534.00M,860.00M,,,,,860.00M,864.94M,2.18B,729.00M,1.451B,,2.55,0.00,,2.565,2.55,,2.53,0.00,,2.545,2.53,,338.00M,339.00M,0.15,,AOR,Restated
2010-03,2.673B,2.673B,480.00M,2.193B,,87.00M,,0.00,177.00M,60.00M,2.00M,-58.00M,25.00M,928.00M,1.265B,2.00M,60.00M,-58.00M,,-58.00M,1.207B,502.00M,705.00M,,,,,705.00M,705.00M,1.906B,639.00M,1.267B,,2.09,0.00,,2.09,2.09,,2.08,0.00,,2.08,2.08,,337.00M,339.00M,0.15,,AOR,Restated
2009-12,2.555B,2.555B,39.95M,2.515B,,85.56M,,0.00,192.79M,66.57M,,-60.57M,439.43M,1.333B,1.183B,,66.57M,-60.57M,,-60.57M,1.122B,536.90M,585.20M,,,,2.74M,585.20M,585.20M,1.804B,614.96M,1.189B,,1.74,0.00,,1.74,1.74,,1.74,0.00,,1.74,1.74,,337.09M,337.09M,0.15,,AOR,Restated
2009-09,2.332B,2.332B,36.23M,2.296B,,82.49M,,0.00,183.93M,61.68M,,-61.68M,471.59M,1.364B,932.29M,,61.68M,-61.68M,,-61.68M,870.61M,428.59M,442.02M,,,,1.42M,442.02M,442.02M,1.558B,625.90M,932.29M,,1.31,0.00,,1.31,1.31,,1.30,0.00,,1.30,1.30,,336.16M,337.87M,0.15,,AOR,Restated
2009-06,2.093B,2.093B,438.75M,1.655B,,90.90M,,0.00,115.94M,63.16M,2.00M,-61.16M,26.48M,806.69M,847.94M,2.00M,63.16M,-61.16M,,-61.16M,786.78M,342.06M,444.72M,,,,1.42M,444.72M,444.72M,1.423B,573.36M,849.94M,,1.32,0.00,,1.32,1.32,,1.31,0.00,,1.31,1.31,,336.00M,337.00M,0.15,,AOR,Restated
2009-03,1.634B,1.634B,430.83M,1.203B,,85.05M,,-26.74M,87.34M,64.31M,5.726M,-58.59M,,3.571B,-2.368B,5.726M,64.31M,-58.59M,-26.74M,-58.59M,-2.453B,-696.55M,-1.757B,,,,1.42M,-1.757B,-1.738B,1.010B,3.399B,-2.389B,,-5.25,0.00,,-5.193,-5.25,,-5.25,0.00,,-5.193,-5.25,,335.10M,335.10M,0.15,,AOR,Restated
2008-12,1.937B,1.937B,553.46M,1.383B,,69.94M,,,139.40M,144.69M,4.772M,-139.92M,,6.221B,-4.838B,4.772M,144.69M,-139.92M,,-139.92M,-4.901B,-1.955B,-2.946B,,,,1.42M,-2.946B,-2.946B,1.245B,6.001B,-4.756B,,-8.82,0.00,,-8.82,-8.82,,-8.82,0.00,,-8.82,-8.82,,334.97M,337.31M,0.15,,,Restated
2008-09,3.365B,3.365B,530.54M,2.834B,,57.56M,,-24.97M,304.28M,42.84M,9.55M,-33.29M,,962.73M,1.872B,9.55M,42.84M,-33.29M,-24.97M,-33.29M,1.813B,622.53M,1.191B,,,,1.42M,1.191B,1.207B,2.457B,600.89M,1.856B,,3.55,0.00,,3.599,3.55,,3.52,0.00,,3.569,3.52,,334.82M,337.89M,0.15,,,Restated
2008-06,3.900B,3.900B,486.50M,3.414B,,78.87M,,-25.68M,298.55M,43.52M,5.297M,-38.22M,0.829M,1.006B,2.408B,5.297M,43.52M,-38.22M,-25.68M,-38.22M,2.344B,898.64M,1.445B,,,,1.42M,1.445B,1.461B,3.015B,627.67M,2.387B,,4.32,0.00,,4.367,4.32,,4.28,0.00,,4.327,4.28,,334.21M,337.68M,0.15,,,Restated
2008-03,3.188B,3.188B,40.98M,3.147B,,82.42M,,-455.49M,242.58M,47.73M,4.328M,-43.40M,26.50M,971.99M,2.175B,4.328M,47.73M,-43.40M,-455.49M,-43.40M,1.676B,654.37M,1.022B,,,,1.42M,1.022B,1.299B,2.344B,620.49M,1.724B,,3.06,0.00,,3.893,3.06,,3.03,0.00,,3.855,3.03,,333.39M,336.55M,0.15,,,Restated
2007-12,2.996B,2.996B,467.82M,2.528B,,75.00M,,-8.34M,244.16M,,,,,944.14M,1.584B,,,,-8.34M,,1.546B,473.12M,1.073B,,,,1.42M,1.073B,1.078B,2.209B,624.98M,1.584B,,3.22,0.00,,3.237,3.22,,3.20,0.00,,3.217,3.20,,333.06M,334.88M,0.15,,,
2007-09,2.499B,2.499B,452.91M,2.046B,,61.40M,,-48.28M,125.20M,,,,,787.40M,1.258B,,,,-48.28M,,1.174B,560.73M,613.35M,,,,1.42M,613.35M,644.73M,1.859B,600.80M,1.258B,,1.84,0.00,,1.934,1.84,,1.83,0.00,,1.924,1.83,,332.57M,334.39M,0.15,,,
2007-06,2.444B,2.444B,449.00M,1.995B,,70.80M,,-24.63M,131.02M,,,,,792.92M,1.202B,,,,-24.63M,,1.138B,504.72M,633.54M,,,,1.42M,633.54M,649.55M,1.793B,591.11M,1.202B,,1.91,0.00,,1.958,1.91,,1.89,0.00,,1.938,1.89,,330.95M,334.45M,0.15,,,
2007-03,2.023B,2.023B,420.53M,1.603B,,67.86M,,-73.85M,97.27M,,,,,696.05M,906.49M,,,,-73.85M,,814.63M,321.68M,492.95M,,,,1.42M,492.95M,537.64M,1.437B,530.91M,906.49M,,1.48,0.00,,1.615,1.48,,1.47,0.00,,1.604,1.47,,332.11M,334.37M,0.15,,,
2006-12,1.966B,1.966B,400.57M,1.565B,,59.69M,,-28.31M,165.41M,,,,,739.90M,825.54M,,,,-28.31M,,776.32M,255.48M,520.84M,,,,1.42M,520.84M,539.83M,1.340B,514.80M,825.54M,,1.58,0.00,,1.638,1.58,,1.56,0.00,,1.617,1.56,,329.01M,333.05M,0.15,,,
2006-09,2.073B,2.073B,386.60M,1.686B,,53.78M,,143.14M,117.70M,,,,,659.03M,1.027B,,,,143.14M,,1.151B,504.04M,647.06M,,,,1.42M,647.06M,561.18M,1.515B,487.54M,1.027B,,1.96,0.00,,1.699,1.96,,1.94,0.00,,1.682,1.94,,329.41M,332.81M,0.10,,,
2006-06,2.085B,2.085B,338.21M,1.747B,,52.19M,,-65.33M,168.40M,,,,,662.03M,1.085B,,,,-65.33M,,1.009B,285.28M,723.62M,,,,1.42M,723.62M,770.48M,1.526B,441.44M,1.085B,,2.19,0.00,,2.332,2.19,,2.17,0.00,,2.311,2.17,,329.77M,332.81M,0.10,,,
2006-03,1.950B,1.950B,317.72M,1.633B,,45.67M,,7.514M,146.41M,,,,,564.66M,1.068B,,,,7.514M,,1.073B,412.34M,660.92M,,,,1.42M,660.92M,656.29M,1.440B,372.58M,1.068B,,2.00,0.00,,1.986,2.00,,1.97,0.00,,1.956,1.97,,329.75M,334.77M,0.10,,,
2005-12,2.004B,2.102B,298.61M,1.803B,,45.81M,,29.89M,144.08M,,,,,550.00M,1.253B,,,,29.89M,,1.213B,424.98M,788.22M,,,,1.42M,788.22M,768.80M,1.613B,360.10M,1.253B,,2.39,0.00,,2.331,2.39,,2.35,0.00,,2.292,2.35,,329.29M,335.06M,0.10,,,
2005-09,2.052B,2.061B,303.57M,1.757B,,50.05M,,-4.219M,150.39M,,,,,557.60M,1.200B,,,,-4.219M,,1.160B,472.52M,687.00M,,,,1.42M,687.00M,689.53M,1.557B,357.16M,1.200B,,2.08,0.00,,2.088,2.08,,2.05,0.00,,2.058,2.05,,329.60M,334.43M,0.08,,,
