,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2014-09,669.68M,2.273B,2.942B,444.05M,,468.90M,218.96M,179.81M,60.68M,216.80M,676.24M,37.88M,,232.71M,10.32M,4.369B,0.00,41.84M,310.85M,516.10M,,3.308M,,872.10M,-542.14M,329.96M,335.32M,23.62M,358.94M,,933.04M,5.302B,,2014-09,108.29M,15.59M,123.88M,212.09M,335.97M,,,,,,142.84M,305.06M,,804.84M,748.05M,,748.05M,,57.35M,,43.88M,967.02M,1.772B,1.236B,2.330B,,,,,-36.20M,3.530B,,2014-09,AOR,Restated
2014-06,630.86M,2.522B,3.153B,492.86M,,520.32M,221.61M,171.25M,60.40M,203.19M,656.46M,34.74M,,215.68M,6.267M,4.586B,0.00,41.85M,302.54M,512.11M,,8.945M,,865.44M,-535.18M,330.26M,335.36M,27.70M,363.05M,,949.75M,5.536B,,2014-06,103.42M,15.28M,118.70M,125.92M,244.62M,,,,,,286.47M,447.00M,,895.61M,745.10M,,745.10M,,59.91M,,48.80M,970.89M,1.866B,0.165M,2.479B,1.220B,,,,-30.27M,3.669B,,2014-06,AOR,Restated
2014-03,776.22M,2.251B,3.027B,557.66M,,557.66M,241.77M,178.41M,63.36M,197.37M,680.92M,80.08M,,182.90M,13.95M,4.542B,0.00,41.85M,289.41M,527.31M,,17.30M,,875.87M,-549.82M,326.05M,335.25M,31.99M,367.23M,,944.52M,5.487B,,2014-03,120.77M,9.422M,130.19M,193.24M,323.43M,,,,,,219.77M,376.19M,,887.65M,747.78M,,747.78M,,58.41M,,35.50M,959.28M,1.847B,1.206B,2.465B,,,,,-31.35M,3.640B,,2014-03,AOR,Restated
2013-12,793.38M,2.157B,2.951B,573.08M,,573.08M,229.19M,176.43M,64.05M,193.37M,663.04M,99.43M,,200.61M,20.72M,4.508B,0.00,41.84M,281.12M,516.99M,,25.49M,,865.44M,-539.58M,325.86M,326.58M,26.10M,352.68M,,933.20M,5.441B,,2013-12,141.54M,13.56M,155.11M,172.13M,327.24M,,,,,,291.23M,446.66M,,928.00M,747.65M,,747.65M,,57.62M,,35.83M,962.53M,1.891B,1.194B,2.387B,,,,,-30.25M,3.550B,,2013-12,AOR,Restated
2013-09,904.95M,2.047B,2.952B,440.67M,,440.67M,254.90M,170.10M,52.71M,182.56M,660.28M,94.91M,,191.45M,15.55M,4.355B,0.00,41.83M,276.89M,508.71M,,19.32M,,846.76M,-526.92M,319.84M,326.56M,30.02M,356.58M,,928.81M,5.284B,,2013-09,114.72M,14.14M,128.86M,181.26M,310.12M,,,,,,220.29M,368.58M,,835.11M,747.51M,,747.51M,,59.58M,,36.28M,957.28M,1.792B,1.179B,2.344B,,,,,-31.89M,3.491B,,2013-09,AOR,Restated
2013-06,985.39M,1.933B,2.919B,524.61M,,550.44M,229.23M,176.70M,47.76M,180.75M,634.45M,32.00M,,198.52M,17.22M,4.352B,0.00,41.85M,272.92M,497.45M,,16.60M,,828.82M,-523.54M,305.28M,326.64M,34.52M,361.15M,,935.85M,5.287B,,2013-06,115.68M,11.08M,126.76M,182.33M,309.09M,,,,,,218.80M,356.65M,,861.53M,747.38M,,747.38M,,57.96M,,36.62M,943.67M,1.805B,0.165M,2.359B,1.159B,,,,-36.65M,3.482B,,2013-06,AOR,Restated
2013-03,934.20M,1.945B,2.880B,454.22M,,454.22M,229.02M,172.92M,54.35M,193.54M,649.82M,80.26M,,178.93M,20.92M,4.264B,0.00,41.88M,254.72M,492.38M,,26.17M,,815.15M,-516.54M,298.62M,326.79M,39.01M,365.80M,,930.82M,5.194B,,2013-03,107.75M,9.533M,117.29M,195.56M,312.84M,,,,,,200.57M,339.27M,,820.01M,747.24M,,747.24M,,,,89.42M,928.08M,1.748B,1.142B,2.329B,,,,,-24.83M,3.446B,,2013-03,AOR,Restated
2012-12,767.31M,1.811B,2.578B,606.12M,,665.70M,273.86M,129.30M,47.68M,211.89M,662.74M,43.89M,,168.37M,17.35M,4.136B,0.00,41.88M,254.48M,483.55M,,17.20M,,797.12M,-504.72M,292.39M,326.78M,43.51M,370.29M,,932.46M,5.069B,,2012-12,103.58M,11.53M,115.11M,185.94M,301.05M,,,,,,210.03M,342.55M,,781.74M,747.10M,,747.10M,,,,92.13M,925.89M,1.708B,1.123B,2.253B,,,,,-15.06M,3.361B,,2012-12,AOR,Restated
2012-09,709.94M,1.928B,2.638B,537.46M,,588.88M,276.32M,142.20M,58.16M,213.04M,689.71M,40.07M,,168.24M,15.98M,4.141B,0.00,41.90M,246.38M,475.38M,,19.33M,,782.98M,-494.11M,288.88M,326.85M,48.08M,374.93M,,924.52M,5.065B,,2012-09,116.25M,11.68M,127.93M,197.21M,325.14M,,,,,,199.42M,331.77M,,787.10M,746.97M,,746.97M,,,,90.42M,926.06M,1.713B,1.108B,2.257B,,,,,-13.11M,3.352B,,2012-09,AOR,Restated
2012-06,751.29M,1.783B,2.534B,701.28M,,724.22M,234.55M,170.25M,48.99M,197.01M,650.80M,53.47M,,184.67M,16.43M,4.164B,0.00,41.40M,244.81M,463.16M,,11.76M,,761.13M,-483.44M,277.69M,327.72M,55.64M,383.35M,,936.26M,5.100B,,2012-06,139.18M,11.25M,150.43M,201.82M,352.26M,,,,,,210.31M,335.64M,,862.91M,746.83M,,746.83M,,53.94M,,35.29M,921.81M,1.785B,0.167M,2.247B,1.089B,,,,-21.14M,3.316B,,2012-06,AOR,Restated
2012-03,763.91M,1.606B,2.370B,638.38M,,683.49M,415.94M,178.09M,56.45M,,650.48M,50.62M,,203.38M,29.62M,3.987B,0.00,41.43M,237.92M,464.04M,,12.17M,,755.56M,-485.39M,270.17M,327.89M,62.90M,390.78M,,945.88M,4.933B,,2012-03,139.37M,11.65M,151.02M,150.51M,301.53M,,,,,,57.35M,241.05M,175.26M,872.36M,746.70M,,746.70M,,,,78.67M,902.08M,1.774B,1.092B,2.075B,,,,,-7.957M,3.159B,,2012-03,AOR,Restated
