,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2000-12,500.83M,500.83M,215.90M,284.93M,94.51M,96.23M,,,,,,190.74M,94.20M,,,,,,108.13M,30.28M,77.85M,,,,77.85M,14.91M,94.20M,,2000-12,0.42,0.42,0.42,,2000-12,0.41,0.41,0.41,,190.89M,,,2000-12,,
2000-09,382.72M,382.72M,183.01M,199.71M,90.90M,80.65M,,,,,,171.54M,28.16M,,,,,,40.16M,11.25M,28.92M,,-306.68M,,-277.76M,14.31M,28.16M,,2000-09,0.15,0.15,-1.48,,2000-09,0.15,0.15,-1.48,,195.98M,,,2000-09,,
2000-06,482.05M,482.05M,143.60M,338.44M,82.62M,76.39M,0.00,,,,,222.34M,116.10M,,,,0.00,,127.36M,35.66M,91.70M,,,,91.70M,17.91M,116.10M,,2000-06,0.49,0.49,0.49,,2000-06,0.47,0.47,0.47,,195.67M,,,2000-06,,
2000-03,413.02M,413.02M,181.37M,231.64M,71.70M,67.50M,-1.30M,,,,0.047M,139.24M,92.40M,,,,-1.30M,,101.90M,28.52M,73.35M,,,,73.35M,16.93M,92.40M,,2000-03,0.40,0.4051,0.40,,2000-03,0.38,0.3848,0.38,,195.24M,,,2000-03,,
1999-12,330.80M,330.80M,137.80M,193.00M,60.10M,55.60M,-0.10M,,,,,131.30M,61.70M,,,,-0.10M,,68.40M,19.20M,49.20M,,,,49.20M,15.60M,61.70M,,1999-12,0.135,0.1352,0.135,,1999-12,0.13,0.1302,0.13,,381.56M,,,1999-12,,
1999-09,273.00M,273.00M,136.10M,136.90M,53.40M,46.70M,6.00M,,,,0.10M,100.20M,36.70M,,,,6.00M,,55.40M,15.90M,39.50M,,,,39.50M,12.90M,36.70M,,1999-09,0.11,0.0980,0.11,,1999-09,0.105,0.0936,0.105,,375.87M,,,1999-09,,
1999-06,233.70M,233.70M,105.70M,128.00M,48.80M,43.80M,-47.00M,,,,,105.70M,22.30M,,,,-47.00M,,35.90M,10.10M,25.80M,,,,25.80M,13.10M,22.30M,,1999-06,0.07,0.1657,0.07,,1999-06,0.065,0.1558,0.065,,372.09M,,,1999-06,,
1999-03,210.90M,210.90M,97.30M,113.60M,47.80M,39.50M,15.90M,,,,,100.70M,12.90M,,,,15.90M,,28.90M,8.10M,20.80M,,,,20.80M,13.40M,12.90M,,1999-03,0.06,0.0274,0.06,,1999-03,0.055,0.0242,0.055,,371.86M,,,1999-03,,
1998-12,193.40M,193.40M,104.90M,88.50M,50.00M,38.50M,-42.70M,,,,,88.50M,0.00,,,,-42.70M,,-28.60M,-11.00M,-17.60M,,,,-17.60M,10.10M,0.00,,1998-12,-0.05,0.0251,-0.05,,1998-12,-0.05,0.0251,-0.05,,349.85M,,,1998-12,,
1998-09,205.20M,205.20M,101.00M,104.20M,52.60M,42.90M,17.10M,,,,,107.10M,-2.90M,,,,17.10M,,14.20M,4.00M,10.20M,,,,10.20M,11.60M,-2.90M,,1998-09,0.03,-0.0403,0.03,,1998-09,0.03,-0.0403,0.03,,174.82M,,,1998-09,,
1998-06,253.40M,253.40M,90.80M,162.60M,58.60M,43.40M,-49.40M,,,,,140.90M,21.70M,,,,-49.40M,,14.00M,10.70M,3.30M,,,,3.30M,11.00M,21.70M,,1998-06,0.0197,0.1966,0.0197,,1998-06,0.0197,0.1966,0.0197,,167.52M,,,1998-06,,
