,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2018-03,306.88M,,-0.338M,,-0.338M,16.28M,16.28M,,,16.21M,,16.21M,91.37M,-60.49M,19.18M,-66.01M,19.55M,9.968M,13.57M,,352.61M,2018-03,-14.99M,,,0.00,40.89M,,25.89M,,-25.00M,-25.00M,-20.58M,-64.15M,-84.73M,-92.13M,-92.13M,-0.428M,-202.29M,,2018-03,1.073B,6.075M,1.256B,,2018-03,0.00,-25.00M,-64.15M,74.31M,2.33M,,2018-03,Restated
2017-12,-134.32M,,-3.174M,,-3.174M,16.13M,16.13M,,,13.74M,,26.79M,-73.88M,-24.24M,11.07M,86.51M,197.74M,40.77M,237.98M,,129.37M,2017-12,-13.37M,,,-4.78M,44.10M,,25.96M,,-291.31M,-291.31M,20.58M,-40.43M,-19.85M,-92.58M,-92.58M,-2.567M,-406.30M,,2017-12,1.321B,3.668M,1.073B,,2017-12,248.69M,-540.00M,-40.43M,123.62M,55.69M,,2017-12,Restated
2017-09,280.94M,,2.291M,,2.291M,15.28M,15.28M,,,14.03M,,0.98M,-95.62M,-20.19M,-8.877M,-4.222M,160.62M,28.41M,60.11M,,373.63M,2017-09,-15.76M,,,-0.71M,129.46M,,112.99M,,-156.25M,-156.25M,,-39.93M,-39.93M,-100.33M,-100.33M,-23.63M,-320.13M,,2017-09,1.153B,1.155M,1.321B,,2017-09,,-156.25M,-39.93M,23.86M,3.005M,,2017-09,Restated
2017-06,256.16M,,,0.832M,-3.341M,14.32M,14.32M,,-0.358M,14.48M,,14.13M,166.89M,-32.58M,6.712M,1.628M,43.37M,-8.655M,177.36M,,462.64M,2017-06,-10.67M,-2.582M,-2.582M,-28.56M,-115.50M,,-154.36M,,-25.00M,-25.00M,21.66M,-25.00M,-3.337M,-84.64M,-84.64M,0.00,-112.97M,,2017-06,955.81M,1.94M,1.153B,,2017-06,0.00,-25.00M,-25.00M,43.89M,56.86M,,2017-06,Restated
2017-03,253.56M,,,0.053M,0.053M,14.20M,14.20M,,0.00,12.54M,,12.54M,-64.51M,-28.29M,23.02M,-18.75M,37.45M,-4.426M,-55.51M,,224.84M,2017-03,-9.414M,0.00,0.00,0.00,-88.96M,,-98.37M,,-25.00M,-25.00M,0.00,0.00,0.00,-85.51M,-85.51M,-1.714M,-112.23M,,2017-03,937.03M,4.535M,955.81M,,2017-03,0.00,-25.00M,0.00,79.59M,3.117M,,2017-03,Restated
2016-12,238.25M,,,-0.681M,-0.681M,14.89M,14.89M,,0.00,12.44M,,12.44M,-24.39M,13.13M,11.79M,-28.32M,-23.01M,8.302M,-42.49M,,222.41M,2016-12,-8.629M,2.582M,2.582M,,-134.29M,,-140.33M,,-40.00M,-40.00M,23.69M,0.00,23.69M,-84.53M,-84.53M,-0.079M,-100.91M,,2016-12,966.32M,-10.46M,937.03M,,2016-12,0.00,-40.00M,0.00,71.16M,56.77M,,2016-12,Restated
2016-09,178.10M,,,-0.204M,-0.204M,14.42M,14.42M,,0.358M,11.48M,,11.84M,-38.24M,1.187M,-1.547M,19.48M,-26.34M,11.09M,-34.38M,,169.78M,2016-09,-9.883M,,,0.00,-157.94M,,-167.82M,,-40.00M,-40.00M,,0.00,0.00,-89.31M,-89.31M,-17.38M,-146.69M,,2016-09,1.108B,2.572M,966.32M,,2016-09,,-40.00M,0.00,39.41M,3.243M,,2016-09,Restated
2016-06,271.54M,,,-1.782M,-1.782M,14.89M,14.89M,,0.00,12.29M,0.24M,12.53M,21.40M,26.40M,-19.85M,9.954M,17.87M,-18.67M,37.11M,,354.09M,2016-06,-7.508M,-4.026M,-4.026M,,-64.80M,,-69.25M,,-40.00M,-40.00M,16.39M,0.00,16.39M,-81.12M,-81.12M,-0.459M,-105.19M,,2016-06,925.97M,2.865M,1.108B,,2016-06,,-40.00M,0.00,23.41M,57.09M,,2016-06,Restated
2016-03,175.78M,,,-2.847M,-2.847M,15.78M,15.78M,,1.038M,9.185M,-0.635M,9.588M,-186.72M,-26.06M,3.751M,8.322M,52.54M,61.37M,-86.80M,,111.50M,2016-03,-8.954M,2.811M,2.811M,,47.02M,,40.87M,,-35.00M,-35.00M,0.002M,0.00,0.002M,-82.11M,-82.11M,-1.067M,-118.17M,,2016-03,886.59M,5.188M,925.97M,,2016-03,,-35.00M,0.00,22.30M,3.482M,,2016-03,Restated
2015-12,152.21M,,,-0.025M,-0.025M,16.53M,16.53M,,0.358M,11.32M,-1.382M,10.30M,32.10M,-36.67M,15.05M,-38.04M,-48.78M,-2.339M,-78.69M,,100.32M,2015-12,-7.938M,1.215M,1.215M,,147.89M,,141.17M,,-20.00M,-20.00M,21.91M,-39.12M,-17.21M,-81.38M,-81.38M,0.887M,-117.70M,,2015-12,763.70M,-0.894M,886.59M,,2015-12,,-20.00M,-39.12M,51.63M,56.71M,,2015-12,Restated
2015-09,104.90M,,,-1.233M,-1.233M,19.74M,19.74M,,,12.25M,-10.16M,2.089M,124.92M,-31.24M,4.158M,34.38M,-49.42M,-14.50M,68.29M,,193.78M,2015-09,-7.341M,,,,39.24M,,31.90M,,-40.00M,-40.00M,,-142.59M,-142.59M,-101.67M,-101.67M,-11.37M,-295.63M,,2015-09,838.02M,-4.377M,763.70M,,2015-09,,-40.00M,-142.59M,7.844M,3.149M,,2015-09,Restated
2015-06,142.02M,,,-0.143M,-0.143M,19.97M,19.97M,,0.428M,12.20M,-0.217M,12.42M,43.71M,16.50M,0.148M,73.63M,31.14M,2.337M,167.47M,,317.48M,2015-06,-9.237M,0.00,0.00,,167.08M,,157.84M,,-29.38M,-29.38M,17.43M,-167.86M,-150.43M,-79.65M,-79.65M,-0.222M,-259.68M,,2015-06,621.89M,0.491M,838.02M,,2015-06,0.00,-29.38M,-167.86M,3.851M,55.41M,,2015-06,Restated
2015-03,131.64M,,,-0.06M,-0.06M,20.51M,20.51M,,1.698M,12.77M,-0.398M,14.07M,-1.213M,23.74M,-5.054M,20.10M,60.42M,-21.73M,76.26M,,242.42M,2015-03,-10.33M,,,,69.39M,,59.06M,,-9.375M,-9.375M,0.175M,-168.67M,-168.50M,-82.25M,-82.25M,-1.592M,-261.71M,,2015-03,584.86M,-2.743M,621.89M,,2015-03,0.00,-9.375M,-168.67M,8.101M,4.341M,,2015-03,Restated
2014-12,20.27M,,,-0.281M,131.39M,18.90M,18.90M,,0.00,14.85M,-0.565M,14.28M,-200.28M,10.70M,0.478M,-79.86M,15.92M,79.28M,-173.76M,,11.08M,2014-12,-12.78M,0.00,0.00,,488.55M,,475.77M,,2.348B,2.348B,24.73M,-141.52M,-116.80M,-2.797B,-2.797B,-0.067M,-566.06M,,2014-12,669.68M,-5.607M,584.86M,,2014-12,3.225B,-877.37M,-141.52M,37.37M,33.09M,,2014-12,Restated
2014-09,72.23M,,,-1.635M,-1.635M,21.16M,21.16M,,,15.48M,-14.22M,1.26M,39.26M,-23.44M,5.276M,-2.732M,-17.33M,-59.12M,-58.09M,,34.93M,2014-09,-13.44M,,,,238.99M,,225.55M,,0.00,0.00,4.677M,-124.84M,-120.16M,-82.41M,-82.41M,-12.94M,-215.52M,,2014-09,630.86M,-6.132M,669.68M,,2014-09,,0.00,-124.84M,20.36M,0.136M,,2014-09,Restated
2014-06,128.73M,,,-4.192M,-4.192M,22.01M,22.01M,,0.00,14.13M,-0.367M,13.76M,66.78M,21.31M,-17.45M,-34.74M,60.92M,-25.67M,71.15M,,248.64M,2014-06,-13.07M,,,0.00,-271.49M,,-280.72M,,0.00,0.00,20.12M,-60.16M,-40.04M,-74.47M,-74.47M,-0.025M,-114.53M,,2014-06,776.22M,1.249M,630.86M,,2014-06,0.00,0.00,-60.16M,40.47M,26.04M,,2014-06,Restated
2014-03,203.58M,,,-0.281M,-0.281M,20.61M,20.61M,,0.00,12.72M,-0.657M,12.07M,16.60M,-14.74M,-20.82M,48.46M,42.25M,-70.01M,1.747M,,237.73M,2014-03,-18.22M,,,-18.00M,-96.38M,,-132.60M,,0.00,0.00,13.33M,-59.88M,-46.55M,-74.80M,-74.80M,-1.69M,-123.04M,,2014-03,793.38M,0.752M,776.22M,,2014-03,0.00,0.00,-59.88M,9.636M,0.135M,,2014-03,Restated
2013-12,139.25M,,,-1.213M,-1.213M,19.81M,19.81M,,1.374M,14.87M,-0.925M,15.32M,-136.56M,-2.938M,27.00M,-30.57M,7.507M,77.67M,-57.89M,,115.27M,2013-12,-14.46M,,,,-111.66M,,-126.12M,,0.00,0.00,37.72M,-60.30M,-22.58M,-74.98M,-74.98M,-0.02M,-97.59M,,2013-12,904.95M,-3.132M,793.38M,,2013-12,0.00,0.00,-60.30M,48.19M,26.08M,,2013-12,Restated
2013-09,111.20M,,,-0.234M,-0.234M,20.64M,20.64M,,,19.22M,-18.60M,0.614M,85.77M,-29.80M,-1.058M,-9.425M,-8.415M,7.966M,45.03M,,177.25M,2013-09,-21.75M,,,,-114.92M,,-136.67M,,,,41.05M,-60.50M,-19.46M,-74.62M,-74.62M,-29.66M,-123.73M,,2013-09,985.39M,2.712M,904.95M,,2013-09,,,-60.50M,19.05M,0.217M,,2013-09,Restated
2013-06,134.77M,0.00,,-0.218M,-0.218M,20.42M,20.42M,,0.00,17.61M,-0.233M,17.37M,-73.10M,14.12M,8.054M,2.668M,25.80M,21.15M,-1.313M,,175.57M,2013-06,-18.91M,0.00,0.00,0.00,2.502M,,-16.41M,,,,30.58M,-68.31M,-37.73M,-66.18M,-66.18M,-0.289M,-104.20M,,2013-06,934.20M,-3.77M,985.39M,,2013-06,,,-68.31M,33.10M,26.57M,,2013-06,Restated
2013-03,166.38M,0.00,,-0.712M,-0.712M,21.17M,21.17M,,0.00,18.54M,-0.872M,17.66M,142.76M,11.14M,4.552M,2.752M,69.03M,-19.96M,210.28M,,414.78M,2013-03,-18.30M,0.00,0.00,0.00,-137.34M,,-155.64M,,,,48.68M,-68.34M,-19.66M,-66.56M,-66.56M,0.144M,-86.08M,,2013-03,767.31M,-6.183M,934.20M,,2013-03,,,-68.34M,11.04M,0.204M,,2013-03,Restated
2012-12,106.63M,-1.16M,,-1.048M,-2.208M,21.92M,21.92M,,0.00,14.96M,-6.067M,8.891M,-77.27M,28.82M,-12.31M,-19.06M,7.181M,14.85M,-57.80M,,77.44M,2012-12,-17.09M,1.838M,1.838M,,112.97M,,97.72M,,,,23.61M,-68.28M,-44.68M,-66.52M,-66.52M,-3.404M,-114.60M,,2012-12,709.94M,-3.189M,767.31M,,2012-12,,,-68.28M,48.30M,26.68M,,2012-12,Restated
2012-09,135.37M,,,-0.309M,-0.309M,24.02M,24.02M,,1.327M,18.98M,-7.026M,13.28M,166.86M,-39.29M,-23.10M,19.68M,-45.81M,-5.292M,73.03M,,245.39M,2012-09,-20.27M,,,,-146.85M,,-167.12M,,,,23.25M,-68.32M,-45.07M,-66.63M,-66.63M,-11.94M,-123.63M,,2012-09,751.29M,4.007M,709.94M,,2012-09,,,-68.32M,27.91M,0.233M,,2012-09,Restated
2012-06,247.88M,0.00,,0.015M,0.015M,23.28M,23.28M,,1.50M,17.78M,0.00,19.28M,-61.63M,-6.61M,-0.235M,38.41M,-144.01M,-36.48M,-210.56M,,273.31M,2012-06,-16.27M,0.00,0.00,,-182.84M,,-199.11M,,,,39.83M,-66.96M,-27.13M,-58.48M,-58.48M,-0.409M,-86.01M,,2012-06,763.91M,-0.802M,751.29M,,2012-06,,,-66.96M,2.649M,26.76M,,2012-06,Restated
2012-03,205.35M,0.00,,-0.096M,-0.096M,22.40M,22.40M,,0.00,20.91M,0.00,20.91M,-97.70M,-9.694M,10.48M,-42.19M,159.65M,-7.021M,13.53M,,262.09M,2012-03,-14.28M,0.00,0.00,,-254.85M,,-269.13M,,,,74.64M,-66.93M,7.706M,-58.52M,-58.52M,-0.364M,-51.18M,,2012-03,824.99M,-2.853M,763.91M,,2012-03,,,-66.93M,9.724M,0.248M,,2012-03,Restated
2011-12,110.80M,0.00,,0.106M,0.106M,23.27M,23.27M,,1.378M,19.65M,0.00,21.02M,-83.82M,-33.14M,14.58M,-29.97M,109.79M,54.60M,32.04M,,187.23M,2011-12,-14.92M,2.228M,2.228M,,0.75M,,-11.94M,,,,39.40M,-63.58M,-24.18M,-58.10M,-58.10M,-11.54M,-93.83M,,2011-12,745.95M,-2.424M,824.99M,,2011-12,,,-63.58M,-29.75M,26.90M,,2011-12,Restated
2011-09,192.00M,,,-0.662M,-0.662M,23.18M,23.18M,,0.00,20.50M,0.00,20.50M,129.23M,-43.70M,-28.56M,91.79M,-108.57M,-56.22M,-16.03M,,218.98M,2011-09,-12.13M,,,,-36.58M,,-48.71M,,,,9.702M,-66.39M,-56.69M,-58.46M,-58.46M,-17.93M,-133.08M,,2011-09,711.33M,-2.579M,745.95M,,2011-09,,,-66.39M,37.39M,0.611M,,2011-09,Restated
2011-06,245.02M,0.00,,-0.58M,-0.58M,,22.53M,,3.183M,18.94M,,22.05M,-13.92M,-20.12M,0.585M,,123.09M,-96.84M,-63.96M,,289.80M,2011-06,-14.61M,0.00,0.00,,-124.26M,,-138.87M,,,,17.92M,-57.97M,-40.05M,,-41.86M,-0.411M,-82.32M,,2011-06,638.76M,3.957M,711.33M,,2011-06,,,-57.97M,65.10M,26.08M,,2011-06,Restated
2011-03,209.78M,0.00,,-0.422M,-0.422M,,21.08M,,0.585M,18.85M,,19.43M,-35.07M,-46.86M,18.99M,,-36.73M,93.70M,-5.957M,,243.91M,2011-03,-13.83M,0.00,0.00,,-163.43M,,-177.26M,,,,74.92M,-57.70M,17.23M,,-41.94M,-1.824M,-26.54M,,2011-03,596.10M,2.537M,638.76M,,2011-03,,,-57.70M,79.62M,0.296M,,2011-03,Restated
2010-12,339.69M,-1.372M,,-0.43M,-1.802M,,21.65M,,6.80M,19.43M,,-103.75M,-28.89M,-39.71M,-15.42M,,39.83M,6.536M,-37.65M,,193.92M,2010-12,-11.55M,18.18M,18.18M,,-64.18M,,-57.54M,,,,28.77M,-57.02M,-28.25M,,-41.81M,-10.73M,-80.79M,,2010-12,538.38M,2.128M,596.10M,,2010-12,,,-57.02M,71.31M,26.10M,,2010-12,Restated
2010-09,,,,-1.047M,-1.047M,,20.78M,,,24.21M,,154.20M,-50.34M,-63.45M,30.10M,,-3.101M,-15.82M,-102.62M,,95.53M,2010-09,-11.16M,,,,25.32M,,14.16M,,,,2.953M,-62.16M,-59.20M,,-41.78M,-9.517M,-110.50M,,2010-09,529.92M,9.288M,538.38M,,2010-09,,,-62.16M,46.06M,0.352M,,2010-09,Restated
2010-06,113.08M,0.00,,-1.388M,-1.388M,87.35M,19.55M,,4.557M,23.46M,5.133M,33.15M,-113.50M,-26.46M,15.92M,,5.047M,-36.28M,-53.24M,,83.28M,2010-06,-5.791M,0.00,24.41M,0.00,6.767M,,0.976M,,,,12.05M,-81.64M,-69.59M,,-25.39M,-0.601M,-95.58M,,2010-06,543.50M,-2.263M,529.92M,,2010-06,,,-81.64M,-28.98M,26.01M,,2010-06,Restated
2010-03,57.02M,0.00,,-0.815M,-0.815M,-46.37M,21.42M,,0.00,21.47M,0.00,21.47M,-23.52M,-25.60M,4.843M,,19.38M,53.48M,28.58M,,127.67M,2010-03,-10.04M,0.00,-24.41M,-1.50M,-20.67M,,-32.21M,,,,0.351M,-54.63M,-54.28M,,-25.73M,-0.709M,-80.72M,,2010-03,531.44M,-2.681M,543.50M,,2010-03,,,-54.63M,42.97M,26.43M,,2010-03,Restated
2009-12,21.79M,-0.16M,,-1.582M,-1.742M,23.24M,23.24M,,10.59M,20.86M,-5.133M,51.65M,-55.56M,-2.621M,12.33M,,32.86M,101.86M,88.86M,,163.60M,2009-12,-10.74M,5.878M,5.878M,,-151.75M,,-156.61M,,,,20.54M,0.00,20.54M,,-25.69M,-10.37M,-15.51M,,2009-12,540.84M,-0.876M,531.44M,,2009-12,,,0.00,-10.59M,-0.246M,,2009-12,Restated
2009-09,20.40M,-2.824M,,-1.292M,-4.116M,23.13M,23.13M,,,20.20M,,-5.133M,-28.28M,26.97M,11.29M,,18.90M,-10.12M,18.76M,,73.25M,2009-09,-3.635M,,,,-36.49M,,-40.12M,,,,2.917M,0.00,2.917M,,-25.61M,-1.833M,-24.52M,,2009-09,524.97M,7.266M,540.84M,,2009-09,,,0.00,10.59M,0.246M,,2009-09,Restated
2009-06,-25.58M,-0.353M,,0.16M,4.464M,25.73M,25.73M,,0.638M,26.09M,-17.88M,-0.818M,37.26M,53.11M,6.72M,,293.40M,-389.40M,1.089M,,73.44M,2009-06,-1.98M,,,0.00,-205.11M,0.00,-207.09M,,,,12.97M,0.00,12.97M,,-25.49M,-0.549M,-13.07M,,2009-06,664.93M,6.756M,524.97M,,2009-06,,,0.00,5.274M,26.47M,,2009-06,Restated
2009-03,-82.83M,-0.353M,,-0.038M,-1.136M,31.76M,31.76M,,2.791M,22.76M,0.00,0.00,77.80M,53.56M,-44.37M,,-8.203M,24.36M,103.14M,,76.49M,2009-03,-3.147M,,,-0.424M,-20.10M,0.00,-23.67M,,,,0.006M,0.00,0.006M,,-25.48M,-1.315M,-26.79M,,2009-03,656.33M,-17.43M,664.93M,,2009-03,,,0.00,17.87M,29.55M,,2009-03,Restated
2008-12,-434.25M,-3.365M,,0.513M,-5.268M,35.65M,35.65M,,449.19M,56.68M,-1.691M,-20.34M,30.91M,30.32M,0.736M,,-271.50M,93.96M,-115.57M,,-35.60M,2008-12,-6.967M,-2.466M,7.666M,-13.95M,4.496M,21.81M,2.925M,,,,21.16M,-49.05M,-27.88M,,-25.34M,-0.044M,-53.26M,,2008-12,733.46M,8.807M,656.33M,,2008-12,,,-49.05M,,,,2008-12,Restated
2008-09,19.29M,,,,-1.496M,42.71M,42.71M,,,,,44.43M,131.36M,-16.74M,-9.881M,,-68.67M,-59.65M,-23.58M,,81.36M,2008-09,-10.13M,2.466M,-7.666M,-127.02M,-122.38M,,-257.07M,,,,5.967M,-177.47M,-171.50M,,-25.84M,-8.653M,-206.00M,,2008-09,1.128B,-12.94M,733.46M,,2008-09,,,-177.47M,,,,2008-09,
2008-06,76.01M,,,,10.33M,46.47M,46.47M,,,,,35.52M,93.08M,13.06M,-5.73M,,-77.08M,-19.94M,3.395M,,188.37M,2008-06,-9.629M,5.497M,-4.132M,-488.54M,-319.20M,581.54M,-230.34M,,,,24.61M,-121.51M,-96.90M,,-26.35M,-6.997M,614.32M,,2008-06,563.48M,-7.727M,1.128B,,2008-06,,,-121.51M,,,,2008-06,
2008-03,110.98M,,,,-28.98M,26.61M,26.61M,,,,,26.83M,26.08M,29.63M,-8.885M,,-6.38M,-27.68M,12.77M,,148.21M,2008-03,-10.20M,28.67M,18.47M,-1.525M,613.70M,-581.54M,49.10M,,,,2.609M,-179.89M,-177.28M,,-26.56M,4.421M,-199.42M,,2008-03,547.64M,17.94M,563.48M,,2008-03,,,-179.89M,,,,2008-03,
2007-12,83.94M,,,,-9.451M,28.34M,28.34M,,,,,28.79M,48.90M,17.78M,-4.543M,,-13.37M,-53.97M,-5.193M,,126.43M,2007-12,-22.61M,34.62M,12.01M,-3.966M,21.26M,,29.31M,,,,31.76M,-126.24M,-94.47M,,-27.15M,0.284M,-121.34M,,2007-12,514.05M,-0.807M,547.64M,,2007-12,,,-126.24M,,,,2007-12,
2007-09,88.16M,,,,-0.062M,24.95M,24.95M,,,,,31.76M,-18.76M,39.70M,26.32M,,6.299M,6.794M,60.36M,,205.16M,2007-09,-14.88M,,-14.88M,,219.31M,,204.43M,,,,96.66M,-683.53M,-586.88M,,-28.46M,2.84M,-612.50M,,2007-09,722.51M,-5.551M,514.05M,,2007-09,,,-683.53M,,,,2007-09,
2007-06,147.34M,,,,-3.473M,36.14M,36.14M,,,,,35.46M,-67.61M,40.69M,-34.56M,,21.76M,-6.336M,-46.05M,,155.47M,2007-06,-29.14M,,-29.14M,-82.50M,-9.664M,,-121.31M,,,,140.45M,-44.88M,95.57M,,-23.04M,3.224M,75.76M,,2007-06,604.42M,8.176M,722.51M,,2007-06,,,-44.88M,,,,2007-06,
2007-03,154.78M,,,,-0.173M,29.30M,29.30M,,,,,19.18M,-43.31M,37.22M,-12.93M,,12.06M,2.468M,-4.491M,,198.61M,2007-03,-22.83M,,-22.83M,-49.03M,295.67M,,223.80M,,,,104.20M,-763.58M,-659.39M,,-23.89M,2.777M,-680.50M,,2007-03,863.38M,-0.879M,604.42M,,2007-03,,,-763.58M,,,,2007-03,
