,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2018-03,1.141B,,1.141B,3.117B,687.00M,3.804B,874.00M,1.075B,108.00M,2.057B,,258.00M,7.26B,,,,13.34B,13.34B,,13.34B,3.414B,468.00M,3.882B,8.546B,554.00M,453.00M,26.77B,34.03B,2.534B,2.534B,1.344B,3.878B,,587.00M,587.00M,,4.465B,17.05B,,17.05B,2.48B,2.48B,2.21B,20.00M,,558.00M,22.30B,26.76B,449.00M,6.783B,6.175B,1.632B,,,-4.53B,7.245B
2017-12,1.018B,,1.018B,3.287B,,3.287B,889.00M,1.337B,87.00M,2.313B,,282.00M,8.277B,,,32.52B,1.291B,33.81B,-20.55B,13.26B,3.411B,482.00M,3.893B,7.441B,579.00M,448.00M,25.63B,33.90B,2.458B,2.458B,485.00M,2.943B,,311.00M,311.00M,1.848B,5.102B,17.14B,,17.14B,2.291B,2.291B,2.265B,19.00M,,567.00M,22.26B,27.36B,449.00M,6.18B,6.206B,1.68B,,,-4.633B,6.522B
2017-09,998.00M,,998.00M,3.098B,245.00M,3.343B,921.00M,1.453B,91.00M,2.465B,,405.00M,7.211B,,,,14.06B,14.06B,,14.06B,3.42B,493.00M,3.913B,7.383B,773.00M,468.00M,26.60B,33.81B,2.408B,2.408B,1.503B,3.911B,,958.00M,958.00M,,4.869B,17.66B,,17.66B,3.505B,3.505B,2.384B,19.00M,,460.00M,24.01B,28.88B,449.00M,4.918B,6.176B,1.68B,,,-4.949B,4.914B
2017-06,1.041B,,1.041B,2.996B,287.00M,3.283B,918.00M,1.351B,92.00M,2.361B,,552.00M,7.237B,,,,14.04B,14.04B,,14.04B,3.409B,515.00M,3.924B,7.367B,858.00M,451.00M,26.64B,33.88B,2.362B,2.362B,1.816B,4.178B,,824.00M,824.00M,,5.002B,16.68B,,16.68B,3.499B,3.499B,3.675B,20.00M,,457.00M,24.31B,29.31B,449.00M,4.717B,6.168B,1.681B,,,-5.108B,4.545B
2017-03,998.00M,,998.00M,2.832B,246.00M,3.078B,916.00M,1.382B,96.00M,2.394B,,251.00M,6.721B,,,,14.05B,14.05B,,14.05B,3.402B,535.00M,3.937B,7.348B,775.00M,471.00M,26.58B,33.30B,2.38B,2.38B,1.433B,3.813B,,454.00M,454.00M,,4.267B,17.11B,,17.11B,3.185B,3.185B,3.70B,19.00M,,446.00M,24.44B,28.71B,449.00M,4.832B,6.128B,1.682B,,,-5.152B,4.575B
2016-12,1.033B,,1.033B,2.852B,,2.852B,902.00M,1.231B,100.00M,2.233B,,191.00M,6.67B,,,30.94B,1.308B,32.25B,-19.25B,13.00B,3.364B,547.00M,3.911B,7.393B,642.00M,1.474B,26.42B,33.09B,2.199B,2.199B,401.00M,2.60B,,239.00M,239.00M,1.23B,4.069B,17.36B,,17.36B,3.127B,3.127B,3.73B,18.00M,,441.00M,24.66B,28.73B,449.00M,4.818B,6.189B,1.753B,,,-5.362B,4.341B
2016-09,2.562B,,2.562B,2.594B,213.00M,2.807B,912.00M,1.192B,118.00M,2.222B,287.00M,225.00M,8.103B,,,,12.20B,12.20B,,12.20B,3.362B,349.00M,3.711B,7.353B,782.00M,447.00M,24.50B,32.60B,2.031B,2.031B,1.432B,3.463B,,78.00M,78.00M,,3.541B,17.10B,,17.10B,3.273B,3.273B,4.029B,20.00M,,424.00M,24.83B,28.37B,449.00M,4.793B,6.18B,1.755B,,,-5.458B,4.209B
2016-06,1.254B,,1.254B,2.573B,264.00M,2.837B,895.00M,1.163B,107.00M,2.165B,297.00M,318.00M,6.871B,,,,12.23B,12.23B,,12.23B,3.367B,362.00M,3.729B,7.302B,807.00M,450.00M,24.52B,31.39B,2.016B,2.016B,415.00M,2.431B,,626.00M,626.00M,1.025B,4.082B,15.10B,,15.10B,3.256B,3.256B,4.478B,22.00M,,429.00M,23.26B,27.35B,449.00M,4.657B,6.154B,1.755B,,,-5.481B,4.024B
2016-03,1.155B,,1.155B,2.418B,223.00M,2.641B,886.00M,1.223B,108.00M,2.217B,295.00M,268.00M,6.792B,,,,12.04B,12.04B,,12.04B,3.354B,367.00M,3.721B,7.306B,788.00M,399.00M,24.25B,31.04B,2.065B,2.065B,1.384B,3.449B,,551.00M,551.00M,98.00M,4.098B,15.10B,,15.10B,3.277B,3.277B,3.871B,26.00M,,434.00M,22.68B,26.78B,449.00M,4.80B,6.13B,1.756B,,,-5.389B,4.234B
2015-12,1.05B,,1.05B,2.675B,,2.675B,902.00M,1.248B,78.00M,2.228B,312.00M,212.00M,6.477B,,,31.47B,1.242B,32.71B,-20.73B,11.98B,3.335B,395.00M,3.73B,7.242B,736.00M,366.00M,24.05B,30.53B,2.078B,2.078B,434.00M,2.512B,,426.00M,426.00M,986.00M,3.924B,15.12B,,15.12B,3.231B,3.231B,3.912B,25.00M,,434.00M,22.70B,26.62B,449.00M,4.649B,6.243B,1.749B,,,-5.708B,3.884B
2015-09,1.104B,4.845B,5.949B,2.631B,201.00M,2.832B,976.00M,1.263B,101.00M,2.34B,326.00M,212.00M,12.75B,,,,11.83B,11.83B,,11.83B,3.472B,409.00M,3.881B,2.419B,739.00M,356.00M,19.23B,31.98B,2.096B,2.096B,1.535B,3.631B,,4.973B,4.973B,943.00M,9.547B,10.94B,,10.94B,3.191B,3.191B,3.38B,121.00M,,450.00M,17.96B,27.51B,449.00M,4.656B,6.251B,1.649B,,,-5.358B,4.349B
2015-06,1.59B,,1.59B,2.878B,262.00M,3.14B,976.00M,1.357B,91.00M,2.424B,330.00M,243.00M,7.727B,,,,12.56B,12.56B,,12.56B,3.686B,498.00M,4.184B,2.49B,768.00M,448.00M,20.45B,28.18B,2.744B,2.744B,1.451B,4.195B,,909.00M,909.00M,,5.104B,11.07B,,11.07B,3.078B,3.078B,3.419B,136.00M,,478.00M,18.05B,23.15B,449.00M,4.604B,6.223B,1.498B,,,-4.886B,4.892B
2015-03,1.576B,,1.576B,2.821B,253.00M,3.074B,979.00M,1.386B,72.00M,2.437B,333.00M,240.00M,7.66B,,,,12.49B,12.49B,,12.49B,3.677B,511.00M,4.188B,2.422B,774.00M,435.00M,20.31B,27.97B,2.678B,2.678B,369.00M,3.047B,,664.00M,664.00M,1.065B,4.776B,10.51B,,10.51B,3.00B,3.00B,4.181B,145.00M,,494.00M,18.19B,22.96B,449.00M,4.548B,6.19B,1.287B,,,-5.042B,4.858B
2014-12,1.881B,,1.881B,3.083B,,3.083B,1.056B,1.273B,95.00M,2.424B,331.00M,240.00M,7.959B,,,31.80B,1.263B,33.07B,-20.34B,12.73B,3.773B,539.00M,4.312B,2.393B,785.00M,507.00M,20.72B,28.68B,2.664B,2.664B,477.00M,3.141B,,742.00M,742.00M,1.026B,4.909B,10.68B,,10.68B,3.063B,3.063B,4.215B,148.00M,,553.00M,18.51B,23.42B,449.00M,4.409B,6.245B,1.342B,,,-4.646B,5.115B
2014-09,1.718B,,1.718B,3.056B,237.00M,3.293B,1.041B,1.436B,16.00M,2.493B,334.00M,301.00M,8.139B,,,,12.90B,12.90B,,12.90B,3.931B,582.00M,4.513B,2.671B,636.00M,547.00M,21.26B,29.40B,2.619B,2.619B,1.527B,4.146B,,724.00M,724.00M,,4.87B,11.04B,,11.04B,3.60B,3.60B,2.335B,161.00M,0.00,584.00M,17.56B,22.43B,449.00M,4.446B,6.158B,1.172B,,,-3.065B,6.816B
2014-06,1.293B,,1.293B,3.671B,298.00M,3.969B,929.00M,1.84B,29.00M,2.798B,307.00M,384.00M,8.751B,,,,13.20B,13.20B,,13.20B,4.007B,625.00M,4.632B,2.863B,754.00M,598.00M,22.05B,30.80B,2.918B,2.918B,454.00M,3.372B,,952.00M,952.00M,1.069B,5.393B,11.04B,,11.04B,3.587B,3.587B,2.488B,169.00M,0.00,599.00M,17.72B,23.11B,448.00M,4.235B,6.435B,968.00M,,,-2.628B,7.522B
2014-03,1.341B,,1.341B,3.627B,306.00M,3.933B,934.00M,1.828B,47.00M,2.809B,303.00M,347.00M,8.733B,,,,13.19B,13.19B,,13.19B,3.996B,640.00M,4.636B,2.791B,763.00M,578.00M,21.96B,30.70B,2.954B,2.954B,411.00M,3.365B,,561.00M,561.00M,1.102B,5.028B,10.91B,,10.91B,3.54B,3.54B,2.727B,173.00M,168.00M,574.00M,17.92B,22.95B,448.00M,4.193B,6.383B,673.00M,,,-2.778B,7.573B
2013-12,1.802B,,1.802B,3.756B,,3.756B,944.00M,1.834B,47.00M,2.825B,302.00M,340.00M,9.025B,,,32.27B,1.478B,33.75B,-20.07B,13.67B,3.987B,648.00M,4.635B,2.86B,779.00M,557.00M,22.50B,31.53B,2.90B,2.90B,1.566B,4.466B,,661.00M,661.00M,,5.127B,10.87B,,10.87B,3.765B,3.765B,2.617B,179.00M,163.00M,702.00M,18.12B,23.24B,447.00M,4.446B,6.463B,492.00M,,,-2.759B,8.105B
2013-09,1.946B,,1.946B,3.717B,307.00M,4.024B,981.00M,1.792B,68.00M,2.841B,421.00M,243.00M,9.475B,,,,13.70B,13.70B,,13.70B,4.491B,687.00M,5.178B,2.877B,782.00M,580.00M,23.11B,32.59B,2.904B,2.904B,513.00M,3.417B,,783.00M,783.00M,1.195B,5.395B,10.94B,,10.94B,3.33B,3.33B,4.367B,312.00M,,1.013B,19.65B,25.05B,447.00M,4.212B,6.432B,49.00M,,,-3.812B,7.23B
2013-06,1.205B,,1.205B,3.685B,261.00M,3.946B,932.00M,1.737B,76.00M,2.745B,322.00M,276.00M,9.268B,,,,13.84B,13.84B,,13.84B,4.437B,955.00M,5.392B,2.848B,621.00M,578.00M,23.28B,32.54B,2.926B,2.926B,472.00M,3.398B,,1.068B,1.068B,1.211B,5.677B,11.10B,,11.10B,3.137B,3.137B,4.542B,318.00M,,1.067B,19.84B,25.52B,446.00M,3.967B,6.362B,32.00M,,,-4.036B,6.707B
2013-03,934.00M,,934.00M,3.577B,292.00M,3.869B,937.00M,1.789B,67.00M,2.793B,340.00M,270.00M,8.981B,,,,14.14B,14.14B,,14.14B,4.527B,982.00M,5.509B,2.923B,513.00M,631.00M,23.72B,32.70B,2.902B,2.902B,428.00M,3.33B,,727.00M,727.00M,1.20B,5.257B,11.53B,,11.53B,3.105B,3.105B,4.58B,356.00M,,1.089B,20.31B,25.56B,445.00M,3.844B,6.283B,32.00M,,,-3.762B,6.778B
2012-12,1.302B,,1.302B,3.562B,,3.562B,948.00M,1.728B,54.00M,2.73B,323.00M,229.00M,8.905B,,,30.81B,2.074B,32.88B,-18.93B,13.95B,4.315B,866.00M,5.181B,2.995B,501.00M,622.00M,23.25B,32.15B,2.775B,2.775B,508.00M,3.283B,,444.00M,444.00M,1.271B,4.998B,11.73B,,11.73B,3.026B,3.026B,4.585B,332.00M,0.00,1.176B,20.52B,25.52B,440.00M,3.662B,6.042B,0.00,,,-3.84B,6.304B
2012-09,,,,3.485B,214.00M,3.699B,994.00M,1.673B,,2.667B,512.00M,1.502B,8.993B,0.0,618.00M,,32.70B,33.32B,-18.78B,14.54B,4.406B,,4.406B,870.00M,1.648B,2.103B,23.57B,32.56B,2.69B,2.69B,1.831B,4.521B,413.00M,413.00M,413.00M,63.00M,4.997B,12.08B,,12.08B,3.782B,3.782B,3.06B,339.00M,,1.294B,20.22B,25.22B,439.00M,3.561B,5.974B,9.00M,,,-2.959B,7.006B
2012-06,,,,,,3.601B,992.00M,1.658B,,2.65B,498.00M,1.454B,9.281B,0.0,617.00M,,32.37B,32.99B,-18.42B,14.57B,4.23B,,4.23B,759.00M,1.77B,2.475B,23.81B,33.09B,2.696B,2.696B,1.635B,4.331B,838.00M,838.00M,838.00M,58.00M,5.227B,12.62B,,12.62B,3.905B,3.905B,3.087B,419.00M,,1.157B,20.77B,25.99B,439.00M,3.44B,5.966B,46.00M,,,-3.124B,6.675B
2012-03,,,,,,3.802B,1.082B,1.666B,,2.748B,468.00M,1.526B,9.212B,0.0,681.00M,,15.16B,15.84B,,15.84B,4.218B,,4.218B,869.00M,1.235B,2.475B,24.64B,33.85B,2.777B,2.777B,1.466B,4.243B,738.00M,738.00M,738.00M,52.00M,5.033B,13.04B,,13.04B,4.025B,4.025B,3.149B,432.00M,,1.104B,21.32B,26.36B,439.00M,3.423B,5.947B,46.00M,,,-2.702B,7.061B
2011-12,3.994B,,3.994B,3.486B,,3.486B,758.00M,1.503B,59.00M,2.32B,296.00M,164.00M,10.46B,,,28.85B,1.556B,30.41B,-18.59B,11.82B,2.346B,321.00M,2.667B,657.00M,761.00M,660.00M,16.56B,27.02B,2.50B,2.50B,1.476B,3.976B,,719.00M,719.00M,43.00M,4.738B,9.189B,,9.189B,2.497B,2.497B,2.851B,340.00M,,758.00M,15.30B,20.03B,439.00M,3.355B,5.908B,52.00M,,,-3.005B,6.645B
2011-09,,,,3.83B,,3.83B,752.00M,1.508B,66.00M,2.326B,550.00M,3.001B,9.935B,0.0,674.00M,,11.40B,12.08B,,12.08B,2.243B,,2.243B,706.00M,875.00M,,15.90B,25.83B,2.494B,2.494B,1.109B,3.603B,644.00M,644.00M,644.00M,48.00M,4.747B,7.801B,,7.801B,2.715B,2.715B,1.898B,260.00M,,1.011B,13.42B,18.17B,439.00M,3.188B,5.901B,49.00M,,,-2.077B,7.402B
2011-06,,,,,,3.961B,800.00M,1.536B,69.00M,2.405B,334.00M,2.716B,9.416B,0.0,796.00M,,11.82B,12.62B,,12.62B,2.344B,,2.344B,684.00M,983.00M,,16.63B,26.04B,2.575B,2.575B,1.211B,3.786B,610.00M,610.00M,610.00M,,4.821B,7.875B,,7.875B,2.824B,2.824B,1.934B,263.00M,,621.00M,13.25B,18.08B,439.00M,2.785B,5.892B,48.00M,,,-1.362B,7.706B
2011-03,,,,,,3.428B,754.00M,1.567B,69.00M,2.39B,343.00M,2.327B,8.488B,0.0,763.00M,,11.95B,12.72B,,12.72B,2.32B,,2.32B,1.095B,977.00M,,17.11B,25.60B,2.541B,2.541B,1.226B,3.767B,375.00M,375.00M,375.00M,,4.497B,8.156B,,8.156B,2.805B,2.805B,1.954B,255.00M,,608.00M,13.52B,18.02B,439.00M,2.675B,5.861B,44.00M,,,-1.611B,7.32B
2010-12,2.073B,,2.073B,3.039B,,3.039B,783.00M,1.505B,59.00M,2.347B,339.00M,230.00M,8.028B,0.0,747.00M,30.99B,,31.74B,-18.99B,12.75B,2.308B,,2.308B,1.092B,1.191B,,17.34B,25.37B,2.556B,2.556B,,2.556B,313.00M,313.00M,313.00M,1.163B,4.503B,8.358B,,8.358B,2.793B,2.793B,1.981B,250.00M,,649.00M,13.78B,18.28B,439.00M,2.416B,5.829B,28.00M,,,-1.822B,6.834B
2010-09,,,,,,3.31B,806.00M,1.469B,61.00M,2.336B,330.00M,1.832B,7.808B,0.0,730.00M,,12.03B,12.76B,,12.76B,2.285B,,2.285B,1.065B,1.171B,,17.28B,25.09B,2.556B,2.556B,1.65B,4.206B,312.00M,312.00M,312.00M,,4.518B,8.428B,,8.428B,2.759B,2.759B,2.124B,250.00M,,622.00M,13.93B,18.45B,438.00M,2.154B,5.798B,27.00M,,,-1.975B,6.388B
2010-06,,,,,,3.033B,741.00M,1.415B,56.00M,2.212B,328.00M,2.156B,7.729B,0.0,729.00M,,12.01B,12.74B,,12.74B,2.249B,,2.249B,1.101B,1.231B,,17.32B,25.05B,2.307B,2.307B,1.502B,3.809B,357.00M,357.00M,357.00M,,4.166B,8.574B,,8.574B,2.355B,2.355B,3.288B,248.00M,,723.00M,14.94B,19.11B,438.00M,1.812B,5.771B,27.00M,,,-2.301B,5.693B
2010-03,,,,,,2.867B,711.00M,1.378B,56.00M,2.145B,334.00M,2.203B,7.549B,0.0,737.00M,,12.24B,12.97B,,12.97B,2.267B,,2.267B,1.077B,1.277B,,17.59B,25.14B,2.217B,2.217B,1.508B,3.725B,358.00M,358.00M,358.00M,,4.083B,8.597B,,8.597B,2.392B,2.392B,3.29B,233.00M,,728.00M,15.01B,19.09B,438.00M,1.774B,5.749B,27.00M,,,-2.115B,5.819B
2009-12,,,,,,2.695B,684.00M,1.443B,52.00M,2.179B,368.00M,2.309B,7.551B,0.0,757.00M,30.50B,,31.26B,-17.82B,13.44B,2.29B,,2.29B,1.077B,1.185B,,18.00B,25.55B,2.058B,2.058B,1.65B,3.708B,304.00M,304.00M,304.00M,,4.012B,8.729B,,8.729B,2.425B,2.425B,3.303B,232.00M,,824.00M,15.28B,19.29B,437.00M,1.949B,5.803B,89.00M,,,-2.077B,6.023B
2009-09,,,,,,3.08B,753.00M,1.465B,60.00M,2.278B,207.00M,1.952B,7.517B,0.0,749.00M,,13.70B,14.45B,,14.45B,2.288B,,2.288B,1.102B,1.326B,,19.16B,26.68B,2.066B,2.066B,1.881B,3.947B,369.00M,369.00M,369.00M,,4.316B,9.253B,,9.253B,2.514B,2.514B,3.935B,239.00M,,779.00M,16.48B,20.80B,437.00M,2.062B,5.787B,83.00M,,,-2.558B,5.645B
2009-06,,,,,,3.312B,663.00M,1.482B,64.00M,2.209B,166.00M,1.862B,7.549B,0.0,691.00M,,13.77B,14.46B,,14.46B,2.24B,,2.24B,1.068B,1.326B,,19.09B,26.64B,1.98B,1.98B,1.584B,3.564B,386.00M,386.00M,386.00M,,3.95B,10.53B,,10.53B,2.351B,2.351B,3.937B,236.00M,,792.00M,17.61B,21.56B,436.00M,1.701B,5.764B,81.00M,,,-2.977B,4.843B
2009-03,,,,,,3.455B,740.00M,1.572B,28.00M,2.34B,198.00M,1.144B,7.137B,0.0,598.00M,,13.80B,14.40B,,14.40B,2.113B,,2.113B,1.167B,1.402B,,19.08B,26.22B,1.915B,1.915B,1.90B,3.815B,536.00M,536.00M,536.00M,,4.351B,10.96B,,10.96B,1.948B,1.948B,3.951B,232.00M,,634.00M,17.49B,21.84B,435.00M,1.575B,5.73B,78.00M,,,-3.518B,4.144B
2008-12,1.144B,,1.144B,3.409B,,3.288B,784.00M,1.658B,53.00M,2.495B,261.00M,172.00M,7.36B,0.0,594.00M,28.30B,1.511B,30.41B,-15.61B,14.80B,2.027B,,2.027B,1.274B,1.456B,,19.55B,26.91B,2.119B,2.119B,,2.119B,828.00M,828.00M,828.00M,1.363B,4.755B,11.25B,,11.25B,1.957B,1.957B,3.923B,232.00M,,631.00M,17.76B,22.51B,434.00M,1.43B,5.845B,218.00M,,,-3.322B,4.169B
2008-09,771.00M,,771.00M,3.864B,,3.864B,885.00M,1.831B,50.00M,2.766B,217.00M,272.00M,7.89B,,,,,30.26B,-15.50B,14.76B,3.877B,,3.877B,1.377B,1.558B,712.00M,22.28B,30.17B,2.532B,2.532B,1.623B,4.155B,,800.00M,800.00M,,4.955B,11.23B,,11.23B,3.124B,3.124B,,239.00M,,1.854B,16.21B,21.16B,494.00M,4.559B,6.71B,2.384B,,,-614.00M,8.765B
2008-06,3.979B,,3.979B,3.284B,,3.284B,726.00M,1.452B,41.00M,2.219B,184.00M,353.00M,10.02B,,,,,25.94B,-15.50B,10.44B,3.722B,,3.722B,1.357B,1.609B,824.00M,17.95B,27.97B,2.261B,2.261B,1.32B,3.581B,,757.00M,757.00M,,4.338B,8.915B,,8.915B,3.166B,3.166B,,245.00M,,1.806B,13.89B,18.22B,494.00M,4.517B,6.691B,2.384B,,,185.00M,9.503B
2008-03,880.00M,,880.00M,3.206B,,3.206B,723.00M,1.38B,44.00M,2.147B,206.00M,273.00M,6.712B,,,,,25.59B,-15.30B,10.29B,3.658B,,3.658B,1.317B,1.60B,778.00M,17.64B,24.36B,2.184B,2.184B,1.234B,3.418B,,727.00M,727.00M,,4.145B,6.037B,,6.037B,3.117B,3.117B,,234.00M,,1.823B,10.98B,15.12B,494.00M,4.396B,6.671B,2.383B,,,-179.00M,8.999B
2007-12,905.00M,,905.00M,3.247B,,3.152B,628.00M,1.413B,30.00M,2.071B,213.00M,394.00M,6.735B,0.0,770.00M,23.78B,1.262B,25.82B,-14.90B,10.91B,3.65B,,3.65B,1.276B,1.587B,,17.42B,24.16B,2.145B,2.145B,,2.145B,267.00M,267.00M,267.00M,1.03B,3.842B,6.353B,,6.353B,2.919B,2.919B,1.026B,228.00M,,1.119B,11.42B,15.26B,494.00M,4.375B,6.755B,2.481B,,,-471.00M,8.672B
