,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2014-03,20.46B,20.46B,17.30B,3.169B,877.00M,877.00M,809.00M,,92.00M,-92.00M,,1.686B,1.483B,92.00M,-92.00M,68.00M,-92.00M,1.459B,494.00M,965.00M,,,,965.00M,926.00M,1.999B,448.00M,1.551B,1.3,,,1.248,1.3,1.28,,,1.228,1.28,743.40M,752.50M,0.73
2013-12,23.78B,23.78B,20.39B,3.397B,1.10B,1.10B,848.00M,-1.00M,96.00M,-96.00M,,1.948B,1.449B,96.00M,-96.00M,81.00M,-96.00M,1.434B,201.00M,1.233B,0.00,,,1.233B,1.176B,2.051B,521.00M,1.53B,1.63,0.0,,1.555,1.63,1.61,0.0,,1.536,1.61,755.30M,766.70M,0.485
2013-09,22.13B,22.13B,18.67B,3.456B,956.00M,956.00M,755.00M,-1.00M,95.00M,-95.00M,,1.711B,1.745B,95.00M,-95.00M,77.00M,-95.00M,1.727B,567.00M,1.16B,-2.00M,,,1.158B,1.121B,2.28B,458.00M,1.822B,1.53,0.0,,1.479,1.53,1.51,0.0,,1.459,1.51,757.60M,767.30M,0.485
2013-06,21.82B,21.82B,18.45B,3.365B,929.00M,929.00M,763.00M,,96.00M,-96.00M,,1.692B,1.673B,96.00M,-96.00M,56.00M,-96.00M,1.633B,546.00M,1.087B,1.00M,,,1.088B,1.058B,2.165B,436.00M,1.729B,1.43,0.0,,1.392,1.43,1.41,0.0,,1.3730000000000002,1.41,761.40M,769.90M,0.485
2013-03,18.89B,18.89B,15.76B,3.137B,971.00M,971.00M,705.00M,22.00M,99.00M,-99.00M,,1.676B,1.461B,99.00M,-99.00M,76.00M,-99.00M,1.438B,332.00M,1.106B,,,,1.106B,1.054B,1.966B,429.00M,1.537B,1.45,0.0,,1.382,1.45,1.44,0.0,,1.3730000000000002,1.44,761.20M,766.60M,0.485
2012-12,22.30B,22.30B,19.05B,3.256B,943.00M,943.00M,753.00M,7.00M,112.00M,-112.00M,,1.696B,1.56B,112.00M,-112.00M,87.00M,-112.00M,1.535B,557.00M,978.00M,0.00,,,978.00M,937.22M,2.145B,498.00M,1.647B,1.29,0.0,,1.236,1.29,1.28,0.0,,1.227,1.28,759.90M,766.00M,0.44
2012-09,20.01B,20.01B,16.80B,3.209B,916.00M,916.00M,853.00M,-1.00M,110.00M,-110.00M,,1.769B,1.44B,110.00M,-110.00M,136.00M,-110.00M,1.466B,432.00M,1.034B,-2.00M,,,1.032B,950.10M,2.041B,465.00M,1.576B,1.36,0.0,,1.249,1.36,1.35,0.0,,1.24,1.35,757.10M,762.80M,0.44
2012-06,20.00B,20.00B,16.75B,3.259B,903.00M,903.00M,857.00M,-2.00M,106.00M,-106.00M,,1.76B,1.499B,106.00M,-106.00M,53.00M,-106.00M,1.446B,479.00M,967.00M,,,,967.00M,938.23M,1.974B,422.00M,1.552B,1.28,0.0,,1.242,1.28,1.27,0.0,,1.232,1.27,753.50M,759.60M,0.44
2012-03,19.38B,19.38B,16.07B,3.309B,955.00M,955.00M,835.00M,,114.00M,-114.00M,,1.79B,1.519B,114.00M,-114.00M,58.00M,-114.00M,1.463B,539.00M,924.00M,-1.00M,,,923.00M,894.93M,2.003B,426.00M,1.577B,1.23,0.0,,1.1909999999999998,1.23,1.22,0.0,,1.182,1.22,750.20M,757.30M,0.44
2011-12,19.56B,19.56B,16.28B,3.273B,,864.00M,913.00M,-72.00M,103.00M,-103.00M,,1.979B,1.294B,103.00M,-103.00M,253.00M,-103.00M,1.444B,57.00M,1.387B,6.00M,,,1.393B,1.456B,1.985B,438.00M,1.547B,1.86,0.01,,1.953,1.87,1.84,0.01,,1.933,1.85,739.90M,747.00M,0.42
