,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2016-03,7.886B,466.00M,8.352B,9.711B,258.00M,9.969B,12.99B,6.369B,56.84B,,47.27B,,,65.59B,,,,,,28.74B,-16.48B,12.27B,5.132B,2.594B,7.726B,1.297B,2.98B,267.00M,1.421B,25.96B,91.55B,11.56B,,,11.56B,12.79B,24.35B,,,,1.243B,,1.243B,23.93B,23.93B,,,49.52B,8.721B,,8.721B,2.297B,,2.297B,,24.81B,63.00M,2.096B,37.92B,87.44B,5.061B,39.98B,4.784B,32.94B,-12.84B,4.043B
2015-12,11.30B,750.00M,12.05B,8.003B,1.016B,8.925B,13.86B,6.673B,55.23B,,47.26B,,,68.23B,0.0,536.00M,12.40B,13.19B,2.242B,28.36B,-16.29B,12.08B,5.126B,2.657B,7.783B,1.284B,3.358B,265.00M,1.408B,26.17B,94.41B,10.80B,721.00M,262.00M,11.78B,5.922B,17.70B,1.485B,,1.181B,1.181B,53.00M,1.234B,24.36B,24.36B,,,50.41B,8.633B,97.00M,8.73B,2.392B,,2.392B,,24.40B,62.00M,2.078B,37.60B,88.01B,5.061B,38.76B,4.834B,29.57B,-12.75B,6.335B
2015-09,9.383B,474.00M,9.857B,8.854B,227.00M,9.081B,14.28B,6.506B,56.28B,,48.62B,14.00M,,67.58B,,,,,,27.80B,-16.19B,11.61B,5.122B,2.706B,7.828B,1.277B,3.231B,6.146B,1.326B,31.42B,99.00B,11.78B,,,11.78B,12.77B,24.55B,,,,614.00M,,614.00M,23.44B,32.65B,9.205B,,57.81B,8.402B,,8.402B,,,,,24.54B,46.00M,1.083B,34.40B,92.21B,5.061B,39.07B,4.771B,28.90B,-13.26B,6.74B
2015-06,9.157B,468.00M,9.625B,7.927B,209.00M,8.136B,14.87B,6.585B,56.87B,,49.03B,17.00M,,66.81B,,,,,,27.34B,-16.00B,11.34B,5.126B,2.763B,7.889B,1.256B,3.175B,6.264B,1.374B,31.30B,98.10B,11.53B,,,11.53B,13.23B,24.76B,,,,112.00M,,112.00M,23.37B,32.27B,8.894B,,57.14B,8.904B,,8.904B,,,,,24.31B,43.00M,1.052B,34.66B,91.80B,5.061B,37.36B,4.721B,27.46B,-13.42B,6.264B
2015-03,8.655B,976.00M,9.631B,8.087B,184.00M,8.271B,14.13B,7.50B,56.55B,,48.50B,17.00M,,66.42B,,,,,,27.05B,-15.88B,11.17B,5.105B,2.809B,7.914B,1.154B,3.301B,6.485B,1.328B,31.35B,97.78B,11.50B,,,11.50B,11.96B,23.46B,,,,133.00M,,133.00M,22.75B,31.67B,8.916B,,55.26B,8.905B,,8.905B,,,,,24.15B,124.00M,1.081B,34.49B,89.74B,5.061B,37.52B,4.657B,25.51B,-13.82B,7.906B
2014-12,11.73B,1.359B,13.09B,7.048B,998.00M,7.919B,13.38B,7.421B,55.22B,,46.76B,,,67.77B,0.0,560.00M,11.77B,12.87B,1.502B,26.70B,-15.69B,11.01B,5.119B,2.869B,7.988B,1.154B,3.371B,317.00M,1.317B,25.15B,92.92B,10.67B,637.00M,119.00M,11.42B,5.334B,16.76B,1.504B,,865.00M,865.00M,64.00M,929.00M,23.18B,23.18B,,,48.23B,8.044B,97.00M,8.141B,2.207B,,2.207B,,23.98B,125.00M,1.566B,35.90B,84.13B,5.061B,36.18B,4.625B,23.30B,-13.90B,8.665B
2014-09,6.655B,3.422B,10.08B,7.799B,257.00M,8.056B,12.82B,7.757B,54.89B,,47.06B,27.00M,,65.22B,,,,,,26.35B,-15.64B,10.71B,5.131B,2.954B,8.085B,1.203B,3.347B,2.546B,1.547B,27.44B,92.65B,11.14B,,,11.14B,12.68B,23.81B,,,,1.579B,,1.579B,21.13B,27.81B,6.685B,,53.20B,7.301B,,7.301B,,,,,15.76B,126.00M,1.046B,24.81B,78.02B,5.061B,35.88B,4.572B,22.35B,-8.653B,14.51B
2014-06,7.533B,3.797B,11.33B,7.694B,237.00M,7.931B,13.25B,7.295B,54.26B,,46.25B,15.00M,,65.53B,,,,,,25.87B,-15.42B,10.45B,5.139B,3.004B,8.143B,1.196B,3.18B,2.664B,1.578B,27.21B,92.74B,11.06B,,,11.06B,13.22B,24.28B,,,,1.591B,,1.591B,21.24B,27.47B,6.222B,,53.34B,7.292B,,7.292B,,,,,16.32B,123.00M,864.00M,25.21B,78.55B,5.061B,34.52B,4.524B,21.38B,-8.659B,14.06B
2014-03,6.942B,5.282B,12.22B,7.341B,256.00M,7.597B,13.26B,7.641B,51.79B,,44.94B,15.00M,,64.78B,,,,,,25.54B,-15.28B,10.26B,5.046B,2.996B,8.042B,1.208B,3.28B,2.463B,1.542B,26.80B,91.58B,10.78B,,,10.78B,12.22B,23.00B,,,,1.66B,,1.66B,21.11B,27.84B,6.732B,,52.50B,7.275B,,7.275B,,,,,16.19B,113.00M,808.00M,24.44B,76.94B,5.061B,33.93B,4.441B,20.03B,-8.883B,14.52B
2013-12,9.088B,6.17B,15.26B,5.749B,1.245B,6.89B,12.61B,7.793B,48.06B,,42.91B,14.00M,,65.07B,0.0,562.00M,11.07B,12.38B,1.288B,25.29B,-15.07B,10.22B,5.043B,3.052B,8.095B,1.204B,3.627B,2.939B,1.50B,27.59B,92.66B,9.498B,542.00M,,10.04B,5.861B,15.90B,1.57B,,1.495B,1.495B,68.00M,1.563B,20.03B,26.29B,6.267B,,51.49B,7.989B,83.00M,8.072B,,,,,17.00B,122.00M,950.00M,26.18B,77.67B,5.061B,32.96B,4.415B,17.67B,-9.894B,14.88B
2013-09,10.04B,5.87B,15.91B,6.652B,316.00M,6.968B,13.87B,7.115B,47.06B,,41.24B,43.00M,,64.16B,,,,,,24.92B,-14.94B,9.987B,5.047B,2.962B,8.009B,1.168B,3.903B,5.957B,1.447B,30.47B,94.63B,10.66B,,,10.66B,12.38B,23.04B,,,,919.00M,,919.00M,20.22B,25.72B,5.504B,,49.68B,8.677B,,8.677B,,,,,25.97B,116.00M,936.00M,35.89B,85.57B,5.061B,32.65B,4.295B,16.86B,-16.19B,8.951B
2013-06,8.694B,5.631B,14.32B,6.406B,320.00M,6.726B,14.98B,7.206B,45.88B,,40.23B,25.00M,,61.31B,,,,,,24.53B,-14.72B,9.814B,5.043B,3.011B,8.054B,1.166B,3.991B,6.307B,1.449B,30.78B,92.09B,10.44B,,,10.44B,12.41B,22.85B,,,,883.00M,,883.00M,18.14B,23.22B,5.072B,,46.95B,8.695B,,8.695B,,,,,27.50B,106.00M,1.039B,37.51B,84.46B,5.061B,31.49B,4.181B,16.41B,-16.79B,7.526B
2013-03,8.335B,3.518B,11.85B,6.351B,460.00M,6.811B,15.25B,7.042B,44.34B,,40.80B,29.00M,,59.49B,,,,,,24.45B,-14.71B,9.736B,5.049B,3.075B,8.124B,1.177B,3.91B,6.522B,1.488B,30.96B,90.45B,9.876B,,,9.876B,11.53B,21.41B,,,,917.00M,,917.00M,18.50B,23.34B,4.838B,,45.67B,8.254B,,8.254B,,,,,27.32B,98.00M,1.401B,37.22B,82.89B,5.061B,31.14B,4.079B,15.78B,-17.04B,7.462B
2012-12,10.34B,3.217B,13.56B,4.887B,1.167B,5.972B,15.13B,7.206B,40.39B,,37.75B,28.00M,,57.31B,0.0,531.00M,10.70B,11.85B,1.231B,24.30B,-14.64B,9.66B,5.035B,3.111B,8.146B,1.18B,4.056B,6.753B,1.792B,31.59B,88.90B,9.394B,367.00M,,9.761B,5.287B,15.05B,1.572B,,1.34B,1.34B,96.00M,1.436B,16.67B,21.16B,4.485B,,44.98B,8.89B,83.00M,8.973B,,,,,27.18B,100.00M,1.429B,37.95B,82.93B,5.061B,30.04B,4.122B,15.94B,-17.42B,5.867B
2012-09,6.582B,4.59B,11.17B,5.437B,,5.437B,6.658B,15.08B,,40.14B,36.82B,34.00M,318.00M,53.78B,,,,,,24.05B,-14.55B,9.496B,4.961B,2.93B,7.891B,1.195B,,9.548B,1.746B,29.88B,83.65B,9.152B,,4.136B,13.29B,11.77B,25.06B,,,,2.172B,,2.172B,,,,15.62B,42.85B,9.014B,,9.014B,166.00M,,166.00M,,23.04B,94.00M,900.00M,33.12B,75.97B,5.061B,29.78B,4.068B,16.06B,-15.26B,7.588B
2012-06,6.305B,4.002B,10.31B,5.894B,,5.894B,6.749B,14.55B,,38.59B,35.03B,30.00M,344.00M,51.61B,,,,,,23.84B,-14.38B,9.453B,4.955B,2.98B,7.935B,1.004B,,9.849B,1.746B,29.99B,81.60B,9.273B,,3.668B,12.94B,11.70B,24.64B,,,,2.466B,,2.466B,,,,15.34B,42.45B,8.735B,,8.735B,226.00M,,226.00M,,23.64B,88.00M,650.00M,33.25B,75.70B,5.061B,28.74B,4.018B,16.20B,-15.82B,5.804B
2012-03,6.718B,3.798B,10.52B,6.475B,,6.475B,6.685B,51.62B,,,32.74B,30.00M,372.00M,50.13B,,,,,,23.60B,-14.20B,9.399B,4.95B,2.993B,7.943B,1.037B,,9.93B,1.765B,30.07B,80.20B,9.041B,,3.178B,12.22B,10.94B,23.16B,15.34B,,,2.807B,,2.807B,,,,,41.30B,8.817B,,8.817B,192.00M,,192.00M,24.23B,,93.00M,543.00M,33.78B,75.08B,5.061B,28.45B,3.977B,16.36B,-16.09B,5.027B
2011-12,10.05B,1.223B,11.27B,4.877B,1.445B,6.269B,13.59B,7.832B,35.08B,,32.24B,29.00M,,49.81B,0.0,526.00M,10.28B,11.35B,1.142B,23.31B,-13.99B,9.313B,4.945B,3.044B,7.989B,1.043B,4.296B,5.892B,1.643B,30.18B,79.99B,8.406B,,,8.406B,5.647B,14.05B,1.046B,,2.256B,2.256B,97.00M,2.353B,15.50B,18.28B,2.78B,,41.27B,9.88B,138.00M,10.02B,,,,,24.06B,93.00M,907.00M,35.10B,76.38B,5.061B,27.52B,4.033B,16.60B,-16.50B,3.515B
2011-09,5.954B,3.279B,9.233B,6.296B,,6.296B,7.027B,14.58B,,33.38B,30.49B,31.00M,294.00M,46.35B,,,,,,22.97B,-13.78B,9.19B,4.939B,3.095B,8.034B,1.109B,,8.022B,1.455B,27.82B,74.16B,8.502B,,1.955B,10.46B,11.21B,21.67B,14.32B,,,1.603B,,1.603B,,,,,37.59B,10.78B,,10.78B,390.00M,,390.00M,18.18B,,94.00M,1.159B,30.51B,68.10B,5.061B,26.78B,3.988B,16.72B,-13.15B,5.967B
2011-06,5.05B,3.752B,8.802B,6.162B,,6.162B,6.356B,14.76B,,32.59B,29.09B,35.00M,260.00M,44.35B,,,,,,22.61B,-13.57B,9.044B,4.949B,3.141B,8.09B,1.117B,,7.914B,1.596B,27.77B,72.12B,8.262B,,1.286B,9.548B,13.57B,23.12B,12.95B,,,1.304B,,1.304B,,,,,37.37B,10.32B,,10.32B,383.00M,,383.00M,18.19B,,91.00M,1.027B,29.92B,67.30B,5.061B,25.68B,3.945B,16.86B,-13.10B,4.733B
2011-03,5.67B,2.102B,7.772B,6.036B,,6.036B,6.397B,14.21B,,29.94B,26.91B,37.00M,252.00M,41.01B,,,,,,22.49B,-13.52B,8.973B,4.944B,2.933B,7.877B,1.091B,,8.182B,1.624B,27.75B,68.76B,8.304B,,789.00M,9.093B,12.84B,21.93B,12.36B,,,966.00M,,966.00M,,,,,35.26B,10.72B,,10.72B,427.00M,,427.00M,18.01B,,95.00M,333.00M,29.50B,64.75B,5.061B,25.37B,3.903B,17.02B,-13.40B,3.912B
2010-12,5.359B,5.158B,10.52B,5.422B,,5.422B,5.788B,14.40B,,26.55B,24.32B,31.00M,285.00M,40.57B,0.0,542.00M,9.695B,11.00B,1.014B,22.25B,-13.32B,8.931B,4.937B,2.979B,7.916B,1.111B,,8.426B,1.603B,27.99B,68.56B,7.715B,,607.00M,8.322B,13.80B,22.12B,12.32B,,,948.00M,,948.00M,,,,,35.40B,11.47B,,11.47B,418.00M,,418.00M,17.82B,,96.00M,592.00M,30.31B,65.70B,5.061B,24.78B,3.866B,17.19B,-13.76B,2.766B
2010-06,4.468B,5.558B,10.03B,6.565B,,6.565B,5.147B,14.91B,,22.56B,20.37B,1.052B,316.00M,38.33B,,,,,,21.76B,-13.17B,8.584B,4.302B,2.821B,7.123B,1.008B,,7.463B,1.223B,25.43B,63.76B,6.96B,,713.00M,7.673B,12.90B,20.57B,12.01B,,,1.507B,,1.507B,,,,,34.09B,11.44B,,11.44B,860.00M,,860.00M,13.53B,,96.00M,661.00M,26.49B,60.58B,5.061B,23.41B,3.832B,15.58B,-11.74B,3.077B
2010-03,4.517B,5.845B,10.36B,6.359B,,6.359B,5.488B,14.63B,,20.55B,18.77B,1.03B,274.00M,36.80B,,,,,,21.72B,-13.03B,8.693B,4.317B,2.878B,7.195B,1.03B,,8.027B,1.206B,26.17B,62.97B,7.469B,,412.00M,7.881B,12.27B,20.15B,11.86B,,,1.479B,,1.479B,,,,,33.48B,11.46B,,11.46B,896.00M,,896.00M,13.44B,,97.00M,652.00M,26.45B,59.93B,5.061B,23.26B,4.264B,15.74B,-11.75B,2.942B
2009-12,9.215B,2.008B,11.22B,5.785B,,5.785B,5.004B,14.67B,,18.57B,16.93B,966.00M,368.00M,35.28B,0.0,539.00M,9.548B,10.38B,1.109B,21.58B,-12.80B,8.784B,4.319B,2.877B,7.196B,1.03B,,8.528B,1.224B,26.78B,62.05B,7.096B,,182.00M,7.278B,12.82B,20.10B,12.08B,,,707.00M,,707.00M,,,,,32.88B,12.22B,,12.22B,827.00M,,827.00M,13.36B,,97.00M,537.00M,26.94B,59.83B,5.061B,22.75B,3.724B,15.91B,-11.88B,2.128B
2009-09,6.095B,351.00M,6.446B,6.718B,,6.718B,4.919B,14.83B,,18.16B,15.98B,741.00M,341.00M,30.23B,,,,,,21.65B,-12.74B,8.912B,4.293B,2.92B,7.213B,1.12B,,9.758B,1.417B,28.44B,58.67B,7.053B,,14.00M,7.067B,12.22B,19.28B,11.79B,,,973.00M,,973.00M,,,,,32.05B,10.06B,,10.06B,998.00M,,998.00M,15.90B,,151.00M,535.00M,27.50B,59.54B,5.061B,22.10B,3.956B,17.73B,-12.82B,-1.028B
2009-06,4.599B,171.00M,4.77B,6.588B,,6.588B,4.688B,14.96B,,19.20B,17.20B,1.099B,463.00M,30.12B,,,,,,21.34B,-12.53B,8.808B,3.688B,2.727B,6.415B,1.188B,,9.827B,1.333B,27.59B,57.71B,6.664B,,654.00M,7.318B,11.82B,19.14B,11.72B,,,416.00M,,416.00M,,,,,31.27B,8.70B,,8.70B,1.182B,,1.182B,15.89B,,154.00M,335.00M,26.11B,57.38B,5.061B,23.67B,3.561B,17.74B,-13.12B,180.00M
2009-03,4.237B,213.00M,4.45B,6.238B,,6.238B,4.493B,14.62B,,18.64B,15.65B,1.114B,353.00M,27.80B,,,,,,21.20B,-12.40B,8.798B,3.654B,2.627B,6.281B,1.261B,,9.734B,1.45B,27.54B,55.34B,17.55B,,355.00M,17.91B,,17.91B,11.53B,,,530.00M,,530.00M,,,,,29.96B,8.742B,,8.742B,1.035B,,1.035B,15.82B,,153.00M,287.00M,25.88B,55.85B,5.061B,23.28B,3.289B,17.76B,-13.51B,-662.00M
