,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,1.756B,,1.756B,1.313B,1.313B,,,,,,215.00M,,,,3.284B,,,,,,839.00M,-569.00M,270.00M,3.045B,1.39B,4.435B,,508.00M,5.213B,8.497B,196.00M,100.00M,296.00M,82.00M,378.00M,,,,400.00M,400.00M,,400.00M,1.679B,1.679B,483.00M,3.135B,3.17B,,3.17B,,,,235.00M,61.00M,1.35B,539.00M,5.294B,8.429B,412.00M,10.43B,335.00M,10.54B,,,,-630.00M,7.00M
2017-12,2.777B,12.00M,2.789B,1.319B,1.319B,,,,,,214.00M,2.00M,,,4.324B,354.00M,,,475.00M,,829.00M,-554.00M,275.00M,2.989B,1.388B,4.377B,,449.00M,5.101B,9.425B,195.00M,77.00M,272.00M,107.00M,379.00M,,,,399.00M,399.00M,,399.00M,1.613B,1.613B,351.00M,3.214B,3.17B,,3.17B,,,,244.00M,57.00M,1.352B,679.00M,5.445B,8.659B,412.00M,10.02B,525.00M,9.602B,,,,-649.00M,709.00M
2017-09,2.312B,,2.312B,1.188B,1.188B,,,,,,153.00M,,,,3.653B,,,,,,800.00M,-541.00M,259.00M,2.992B,1.421B,4.413B,,389.00M,5.061B,8.714B,170.00M,77.00M,247.00M,,247.00M,,,,,,,,1.424B,1.424B,364.00M,2.408B,3.568B,,3.568B,,,,258.00M,54.00M,1.161B,426.00M,5.413B,7.821B,412.00M,10.07B,418.00M,9.379B,,,,-678.00M,839.00M
2017-06,2.384B,,2.384B,1.166B,1.166B,,,,,,173.00M,,,,3.723B,,,,,,796.00M,-532.00M,264.00M,2.982B,1.442B,4.424B,,380.00M,5.068B,8.791B,162.00M,79.00M,241.00M,,241.00M,,,,,,,,1.502B,1.502B,325.00M,2.362B,3.566B,,3.566B,,,,269.00M,54.00M,1.107B,414.00M,5.356B,7.718B,412.00M,9.816B,490.00M,9.00B,,,,-699.00M,1.019B
2017-03,2.411B,,2.411B,1.108B,1.108B,,,,,,144.00M,,,,3.663B,,,,,,788.00M,-523.00M,265.00M,2.96B,1.474B,4.434B,,292.00M,4.991B,8.654B,162.00M,243.00M,405.00M,,405.00M,,,,,,,,1.51B,1.51B,349.00M,2.469B,3.565B,,3.565B,,,,271.00M,55.00M,1.08B,425.00M,5.341B,7.81B,412.00M,9.509B,470.00M,8.867B,,,,-735.00M,789.00M
2016-12,2.392B,8.00M,2.40B,1.122B,1.122B,,,,,,149.00M,,,,3.671B,356.00M,,,452.00M,,808.00M,-537.00M,271.00M,2.949B,1.506B,4.455B,,272.00M,4.998B,8.669B,183.00M,95.00M,278.00M,56.00M,334.00M,,,,,,,,1.509B,1.509B,359.00M,2.611B,3.564B,,3.564B,,,,274.00M,51.00M,1.08B,439.00M,5.357B,7.968B,412.00M,9.21B,502.00M,8.701B,,,,-773.00M,650.00M
2016-09,2.399B,,2.399B,980.00M,980.00M,,,,,,152.00M,,107.00M,,3.704B,,,,,,788.00M,-533.00M,255.00M,2.958B,1.518B,4.476B,,241.00M,4.972B,8.676B,199.00M,321.00M,520.00M,,520.00M,,,,400.00M,400.00M,,400.00M,1.408B,1.408B,408.00M,3.051B,3.563B,,3.563B,,,,259.00M,49.00M,920.00M,372.00M,5.114B,8.165B,412.00M,8.924B,367.00M,8.606B,,,,-635.00M,462.00M
2016-06,1.567B,,1.567B,1.007B,1.007B,,,,,,201.00M,,110.00M,,3.459B,,,,,,826.00M,-584.00M,242.00M,2.882B,1.483B,4.365B,,225.00M,4.832B,8.291B,178.00M,,178.00M,,178.00M,,309.00M,,,309.00M,,309.00M,1.46B,1.46B,633.00M,2.845B,3.47B,,3.47B,,,,260.00M,49.00M,920.00M,371.00M,5.021B,7.866B,412.00M,8.123B,444.00M,7.976B,,,,-627.00M,376.00M
2016-03,1.60B,,1.60B,978.00M,978.00M,,,,,,189.00M,,110.00M,,3.448B,,,,,,821.00M,-570.00M,251.00M,2.869B,1.488B,4.357B,,205.00M,4.813B,8.261B,168.00M,,168.00M,,168.00M,,322.00M,150.00M,,472.00M,,472.00M,1.458B,1.458B,691.00M,2.982B,3.469B,,3.469B,,,,267.00M,48.00M,920.00M,353.00M,5.009B,7.991B,412.00M,7.838B,422.00M,7.87B,,,,-580.00M,222.00M
2015-12,1.481B,6.00M,1.487B,991.00M,991.00M,,,,,,206.00M,,109.00M,,3.296B,352.00M,,,503.00M,,855.00M,-585.00M,270.00M,2.882B,1.523B,4.405B,,213.00M,4.888B,8.183B,206.00M,56.00M,262.00M,121.00M,383.00M,,143.00M,,,143.00M,,143.00M,1.421B,1.421B,578.00M,2.908B,3.468B,,3.468B,,,,276.00M,49.00M,920.00M,368.00M,5.032B,7.94B,412.00M,7.636B,475.00M,7.729B,,,,-600.00M,194.00M
2015-09,1.441B,,1.441B,986.00M,986.00M,,,,,,206.00M,,203.00M,,2.836B,,,,,,837.00M,-600.00M,237.00M,2.968B,1.881B,4.849B,,241.00M,5.327B,8.163B,211.00M,,211.00M,104.00M,315.00M,,,,,,,,1.453B,1.453B,417.00M,2.505B,3.489B,,3.489B,,,,278.00M,46.00M,810.00M,377.00M,4.954B,7.459B,412.00M,7.592B,441.00M,7.234B,,,,-553.00M,658.00M
2015-06,1.72B,,1.72B,1.063B,1.063B,,,,,,227.00M,,203.00M,,3.213B,,,,,,790.00M,-582.00M,208.00M,1.383B,977.00M,2.36B,,232.00M,2.80B,6.013B,181.00M,,181.00M,23.00M,204.00M,,,,,,,,1.387B,1.387B,385.00M,2.24B,1.494B,,1.494B,,,,285.00M,52.00M,810.00M,369.00M,2.958B,5.198B,412.00M,7.438B,435.00M,7.011B,,,,-511.00M,763.00M
2015-03,1.176B,,1.176B,992.00M,992.00M,,,,,,191.00M,,329.00M,,2.688B,,,,,,769.00M,-569.00M,200.00M,1.365B,986.00M,2.351B,,209.00M,2.76B,5.448B,181.00M,,181.00M,68.00M,249.00M,,190.00M,175.00M,,365.00M,,365.00M,1.356B,1.356B,408.00M,2.579B,799.00M,,799.00M,,,,319.00M,50.00M,810.00M,352.00M,2.28B,4.859B,412.00M,7.166B,421.00M,6.867B,,,,-593.00M,539.00M
2014-12,2.497B,3.00M,2.50B,932.00M,932.00M,,,,,,170.00M,,360.00M,,3.962B,287.00M,,,482.00M,,769.00M,-563.00M,206.00M,1.387B,1.004B,2.391B,,186.00M,2.811B,6.773B,191.00M,54.00M,245.00M,1.609B,1.854B,,0.00,,,0.00,,0.00,1.254B,1.254B,402.00M,3.92B,795.00M,,795.00M,40.00M,,40.00M,333.00M,51.00M,810.00M,336.00M,2.314B,6.234B,412.00M,6.946B,493.00M,6.849B,,,,-514.00M,488.00M
2014-09,1.918B,,1.918B,928.00M,928.00M,,,,,,207.00M,,108.00M,,3.188B,,,,,,782.00M,-583.00M,199.00M,1.435B,1.012B,2.447B,,195.00M,3.082B,6.27B,192.00M,73.00M,265.00M,,265.00M,,,,,,,,1.266B,1.266B,519.00M,2.384B,799.00M,,799.00M,,,,258.00M,49.00M,810.00M,429.00M,2.296B,4.68B,412.00M,7.877B,411.00M,6.878B,,,,-281.00M,1.541B
2014-06,1.617B,,1.617B,990.00M,990.00M,,,,,,277.00M,,109.00M,,2.993B,,,,,,803.00M,-594.00M,209.00M,1.418B,1.022B,2.44B,,185.00M,3.064B,6.057B,198.00M,96.00M,294.00M,,294.00M,,,,,,,,1.322B,1.322B,344.00M,2.252B,799.00M,,799.00M,,,,260.00M,47.00M,810.00M,447.00M,2.316B,4.568B,412.00M,7.766B,382.00M,6.904B,,,,-214.00M,1.442B
2014-03,1.531B,,1.531B,988.00M,988.00M,,,,,,235.00M,,110.00M,,2.864B,,,,,,871.00M,-629.00M,242.00M,1.413B,1.036B,2.449B,,179.00M,3.147B,6.011B,206.00M,75.00M,281.00M,,281.00M,,,,,,,,1.31B,1.31B,451.00M,2.254B,799.00M,,799.00M,,,,265.00M,44.00M,810.00M,476.00M,2.35B,4.604B,412.00M,7.565B,348.00M,6.772B,,,,-190.00M,1.363B
2013-12,1.542B,18.00M,1.56B,949.00M,949.00M,,,,,,227.00M,,108.00M,,2.941B,436.00M,,,422.00M,,858.00M,-609.00M,249.00M,1.409B,1.033B,2.442B,,168.00M,3.12B,6.061B,210.00M,15.00M,225.00M,0.00,225.00M,,0.00,,,0.00,,0.00,1.268B,1.268B,456.00M,2.372B,799.00M,,799.00M,206.00M,,206.00M,264.00M,43.00M,810.00M,266.00M,2.345B,4.717B,412.00M,7.384B,447.00M,6.746B,,,,-196.00M,1.301B
2013-09,1.577B,,1.577B,957.00M,957.00M,,,,,,164.00M,,130.00M,,2.828B,,,,,,982.00M,-646.00M,336.00M,1.406B,1.023B,2.429B,,255.00M,3.02B,5.848B,227.00M,113.00M,340.00M,,340.00M,,0.00,,,0.00,,0.00,1.24B,1.24B,430.00M,2.359B,799.00M,,799.00M,,,,506.00M,38.00M,810.00M,359.00M,2.474B,4.833B,412.00M,7.289B,427.00M,6.686B,,,,-465.00M,977.00M
2013-06,1.90B,,1.90B,957.00M,957.00M,,,,,,119.00M,,131.00M,,3.107B,,,,,,976.00M,-636.00M,340.00M,1.432B,1.037B,2.469B,,244.00M,3.053B,6.16B,227.00M,177.00M,404.00M,,404.00M,,0.00,,,0.00,,0.00,1.284B,1.284B,397.00M,2.395B,799.00M,,799.00M,,,,511.00M,48.00M,810.00M,374.00M,2.494B,4.889B,412.00M,7.348B,342.00M,6.378B,,,,-501.00M,1.223B
2013-03,1.905B,,1.905B,999.00M,999.00M,,,,,,144.00M,,133.00M,,3.181B,,,,,,986.00M,-641.00M,345.00M,1.429B,1.054B,2.483B,,261.00M,3.089B,6.27B,250.00M,346.00M,596.00M,,596.00M,,0.00,,,0.00,,0.00,1.279B,1.279B,563.00M,2.688B,799.00M,,799.00M,,,,511.00M,52.00M,810.00M,380.00M,2.50B,5.188B,412.00M,7.168B,236.00M,6.332B,,,,-454.00M,1.03B
2012-12,760.00M,1.00M,761.00M,954.00M,954.00M,,,,,,127.00M,,117.00M,,3.899B,439.00M,,,701.00M,,1.14B,-772.00M,368.00M,1.438B,1.081B,2.519B,,168.00M,3.153B,7.052B,249.00M,158.00M,407.00M,,407.00M,,457.00M,,,457.00M,,457.00M,1.229B,1.229B,1.121B,3.667B,799.00M,,799.00M,56.00M,,56.00M,529.00M,73.00M,810.00M,351.00M,2.545B,6.212B,412.00M,6.525B,492.00M,6.145B,,,,-517.00M,767.00M
2012-09,1.243B,2.00M,1.245B,1.338B,1.338B,,,,,258.00M,158.00M,,260.00M,,3.259B,,,,,,,,482.00M,2.357B,1.247B,3.604B,,598.00M,4.684B,7.943B,409.00M,135.00M,544.00M,98.00M,642.00M,,,,400.00M,400.00M,,400.00M,1.377B,1.377B,469.00M,3.358B,799.00M,,799.00M,,,,489.00M,76.00M,810.00M,625.00M,2.723B,6.081B,412.00M,7.518B,449.00M,6.201B,,,,-392.00M,1.786B
2012-06,836.00M,3.00M,839.00M,1.102B,1.102B,,,,,296.00M,144.00M,,259.00M,,2.64B,,,,,,1.488B,-1.006B,482.00M,2.296B,1.609B,3.905B,,283.00M,4.67B,7.31B,232.00M,111.00M,343.00M,50.00M,393.00M,,,,,400.00M,,400.00M,1.323B,1.323B,378.00M,2.879B,799.00M,,799.00M,,,,494.00M,859.00M,,616.00M,1.909B,4.788B,412.00M,7.292B,442.00M,6.059B,,,,-424.00M,1.663B
2012-03,908.00M,24.00M,932.00M,932.00M,932.00M,,,,,293.00M,162.00M,,259.00M,,2.578B,,,,,,1.504B,-1.019B,485.00M,2.062B,943.00M,3.005B,,284.00M,3.774B,6.352B,337.00M,54.00M,391.00M,33.00M,424.00M,,,,,400.00M,,400.00M,1.306B,1.306B,423.00M,2.858B,798.00M,,798.00M,,,,508.00M,80.00M,,402.00M,1.708B,4.566B,412.00M,7.719B,69.00M,6.09B,,,,-404.00M,1.706B
2011-12,835.00M,29.00M,864.00M,702.00M,702.00M,,,,,,128.00M,,110.00M,,4.312B,435.00M,,,729.00M,,1.164B,-791.00M,373.00M,1.104B,427.00M,1.531B,,404.00M,2.308B,6.62B,223.00M,33.00M,256.00M,,256.00M,,,,400.00M,400.00M,,400.00M,1.187B,1.187B,1.111B,3.369B,798.00M,,798.00M,,,,511.00M,76.00M,0.00,358.00M,1.667B,5.036B,412.00M,7.667B,94.00M,6.24B,,,,-425.00M,1.508B
2011-09,1.438B,36.20M,1.474B,1.133B,1.133B,,,,,285.30M,215.60M,,281.50M,,3.390B,,,,,,1.545B,-1.057B,488.30M,2.038B,621.30M,2.659B,,616.80M,3.764B,7.154B,333.50M,249.90M,583.40M,101.10M,684.50M,,,,,,,,1.245B,1.245B,401.70M,2.760B,1.198B,,1.198B,,,,470.00M,79.90M,,437.40M,2.105B,4.866B,411.70M,7.525B,147.90M,5.504B,,,,-372.90M,2.208B
2011-06,1.300B,24.80M,1.325B,1.021B,1.021B,,,,,340.30M,158.50M,,281.30M,,3.126B,,,,,,1.640B,-1.114B,526.50M,1.985B,1.018B,3.002B,,288.60M,3.818B,6.944B,339.80M,81.90M,421.70M,48.50M,470.20M,,,,,,,,1.246B,1.246B,424.30M,2.523B,1.198B,,1.198B,,,,436.50M,80.80M,,450.50M,2.085B,4.608B,411.70M,7.233B,134.50M,5.197B,,,,-326.80M,2.255B
2011-03,1.270B,28.50M,1.298B,825.30M,825.30M,,,,,317.60M,201.50M,,281.50M,,2.924B,,,,,,1.632B,-1.095B,536.60M,1.985B,681.50M,2.666B,,662.60M,3.866B,6.790B,340.60M,40.80M,381.40M,30.90M,412.30M,,,,,,,,1.224B,1.224B,445.40M,2.38B,1.198B,,1.198B,,,,442.20M,86.50M,,453.80M,2.094B,4.474B,411.70M,7.099B,125.00M,5.067B,,,,-339.30M,2.229B
2010-12,1.526B,22.16M,1.548B,990.57M,990.57M,7.173M,2.521M,265.41M,,275.10M,199.50M,,281.69M,,3.295B,0.00,14.43M,600.38M,998.75M,,1.614B,-1.065B,548.77M,1.887B,663.88M,2.551B,,652.34M,3.752B,7.047B,396.48M,23.68M,420.16M,617.48M,1.038B,,,,,,,,1.206B,1.206B,437.48M,2.681B,1.198B,,1.198B,,,,436.48M,81.10M,,439.86M,2.074B,4.755B,411.71M,7.057B,67.02M,4.958B,,,,-367.38M,2.210B
2010-06,1.118B,26.80M,1.145B,994.04M,994.04M,8.01M,2.568M,329.08M,,339.65M,140.09M,,289.54M,,2.908B,,,,,,1.569B,-1.023B,545.80M,1.689B,520.74M,2.209B,21.78M,602.15M,3.456B,6.364B,325.03M,55.07M,380.10M,390.97M,771.08M,0.022M,,,,0.022M,,0.022M,1.144B,1.156B,432.92M,2.360B,1.198B,,1.198B,8.971M,,150.97M,501.36M,76.98M,,234.11M,2.084B,4.444B,411.71M,6.669B,45.30M,4.926B,,,,-356.79M,1.843B
2010-03,1.209B,25.14M,1.235B,766.47M,766.47M,8.843M,4.704M,305.58M,,319.13M,165.37M,,289.52M,,2.775B,,,,,,1.566B,-1.007B,558.81M,1.690B,528.80M,2.218B,22.69M,168.62M,3.514B,6.289B,293.37M,16.55M,309.92M,316.09M,626.01M,0.022M,,,,0.022M,,0.022M,1.117B,1.129B,451.52M,2.206B,1.198B,,1.198B,9.428M,,154.36M,516.18M,84.19M,,229.50M,2.098B,4.304B,411.71M,6.552B,34.71M,4.747B,,,,-350.65M,1.901B
2009-12,1.210B,24.60M,1.235B,969.66M,969.66M,6.956M,3.858M,290.42M,,301.23M,152.56M,,278.41M,,2.936B,0.00,14.28M,598.47M,957.70M,,1.570B,-990.65M,579.80M,1.691B,538.74M,2.229B,,729.82M,3.539B,6.475B,301.83M,17.09M,318.91M,564.83M,883.74M,,,,,,,,1.115B,1.115B,452.85M,2.452B,1.198B,,1.198B,,,,511.68M,81.89M,,384.64M,2.094B,4.546B,411.71M,6.523B,5.125M,4.749B,,,,-343.02M,1.847B
2009-09,957.26M,,957.26M,1.175B,1.175B,6.397M,2.184M,330.42M,,339.00M,100.04M,,286.08M,,2.857B,,,,,,1.581B,-1.005B,575.12M,1.692B,554.75M,2.247B,47.51M,170.28M,3.559B,6.415B,314.57M,158.47M,473.04M,484.48M,957.52M,0.022M,,,,0.022M,,0.022M,1.092B,1.092B,466.97M,2.516B,1.198B,,1.198B,3.357M,150.71M,154.06M,583.20M,76.23M,,211.15M,2.146B,4.662B,411.71M,6.421B,4.106M,4.770B,,,,-389.68M,1.677B
2009-06,556.13M,,556.13M,1.049B,1.049B,9.111M,3.454M,377.32M,,389.88M,118.12M,,283.64M,,2.397B,,,,,,1.568B,-984.01M,584.04M,1.689B,565.61M,2.254B,53.48M,171.22M,3.661B,6.058B,285.51M,75.55M,361.06M,376.26M,737.32M,89.62M,,,,89.62M,,89.62M,1.109B,1.109B,481.17M,2.418B,1.198B,,1.198B,3.154M,153.54M,156.70M,599.08M,,,220.93M,2.174B,4.592B,411.71M,6.156B,15.99M,4.780B,,,,-410.29M,1.466B
2009-03,496.80M,,496.80M,832.34M,832.34M,10.51M,3.748M,372.14M,,386.40M,131.11M,,281.28M,,2.128B,,,,,,1.554B,-957.25M,596.65M,1.702B,576.82M,2.279B,61.02M,169.33M,3.721B,5.849B,275.46M,19.23M,294.69M,325.56M,620.25M,159.92M,,,,159.92M,,159.92M,1.098B,1.098B,475.73M,2.354B,1.198B,,1.198B,2.087M,156.34M,158.43M,604.79M,70.78M,,228.54M,2.189B,4.543B,411.71M,6.063B,11.09M,4.793B,,,,-457.64M,1.235B
2008-12,471.67M,,471.67M,1.061B,1.061B,16.12M,4.359M,349.20M,,369.68M,115.15M,,285.36M,,2.303B,0.00,13.84M,575.85M,984.26M,,1.574B,-952.89M,621.06M,1.703B,591.13M,2.294B,632.09M,176.90M,3.777B,6.080B,337.46M,17.21M,354.67M,531.99M,886.65M,70.02M,,,,70.02M,,70.02M,1.099B,1.099B,474.86M,2.531B,1.198B,,1.198B,3.406M,159.12M,162.52M,606.33M,,,300.64M,2.267B,4.798B,411.71M,6.071B,55.15M,4.811B,,,,-444.02M,1.282B
2008-09,485.23M,,485.23M,1.310B,1.310B,,6.06M,403.98M,13.74M,423.78M,84.04M,,282.26M,,2.585B,,,,,,1.630B,-999.85M,630.25M,1.719B,606.16M,2.325B,,993.30M,3.948B,6.533B,318.97M,,318.97M,495.97M,814.95M,307.12M,,,,307.12M,,307.12M,1.069B,1.069B,626.52M,2.818B,1.198B,,1.198B,129.10M,,129.10M,,,,755.18M,2.082B,4.900B,411.71M,6.024B,59.09M,4.810B,,,,-51.81M,1.633B
2008-06,355.30M,,355.30M,1.266B,1.266B,,7.138M,471.82M,17.64M,496.59M,109.46M,,282.08M,,2.510B,,,,,,1.627B,-978.64M,648.15M,1.724B,620.17M,2.344B,,1.057B,4.049B,6.559B,361.47M,,361.47M,57.30M,418.77M,526.22M,,,,526.22M,,526.22M,1.103B,1.103B,921.38M,2.969B,1.198B,,1.198B,112.07M,,112.07M,,,,770.06M,2.080B,5.049B,411.71M,5.703B,102.57M,4.684B,,,,-23.59M,1.510B
2008-03,396.71M,,396.71M,965.99M,965.99M,,4.477M,415.85M,20.48M,440.81M,118.95M,,281.62M,,2.204B,,,,,,1.621B,-965.00M,656.23M,1.709B,625.16M,2.334B,,1.072B,4.063B,6.267B,360.86M,,360.86M,347.10M,707.95M,396.22M,,,,396.22M,,396.22M,1.091B,1.091B,471.40M,2.666B,1.197B,,1.197B,125.77M,,125.77M,,,,756.60M,2.080B,4.746B,411.71M,5.562B,159.61M,4.603B,,,,-9.64M,1.521B
2007-12,396.10M,,396.10M,1.189B,1.189B,,8.64M,324.86M,17.16M,350.67M,116.54M,,280.52M,,2.333B,0.00,14.60M,596.87M,1.003B,,1.614B,-953.28M,660.77M,1.698B,1.212B,2.909B,,454.24M,4.024B,6.357B,388.01M,,388.01M,709.40M,1.097B,0.022M,,,,0.022M,,0.022M,1.085B,1.085B,473.98M,2.657B,1.197B,,1.197B,139.17M,,139.17M,,,,757.23M,2.094B,4.751B,411.71M,5.552B,169.19M,4.513B,,-8.074M,-4.549M,-12.62M,1.607B
