,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2015-02,27.45B,27.45B,23.90B,3.557B,2.671B,,27.00M,15.00M,-12.00M,9.00M,2.68B,877.00M,15.00M,27.00M,-12.00M,5.00M,-12.00M,870.00M,263.00M,607.00M,,-9.00M,598.00M,596.60M,1.157B,260.00M,897.00M,,1.36,,,,1.357,1.36,,1.35,,,,1.347,1.35,,440.38M,442.90M,0.355,,AOR,Restated
2014-11,26.87B,26.87B,23.38B,3.481B,2.696B,,26.00M,13.00M,-13.00M,15.00M,2.711B,770.00M,13.00M,26.00M,-13.00M,22.00M,-13.00M,779.00M,274.00M,505.00M,,-9.00M,496.00M,482.39M,1.059B,254.00M,805.00M,,1.13,,,,1.099,1.13,,1.12,,,,1.089,1.12,,438.76M,442.21M,0.355,,AOR,Restated
2014-08,35.52B,35.52B,31.04B,4.486B,3.38B,,35.00M,17.00M,-18.00M,15.00M,3.395B,1.091B,17.00M,35.00M,-18.00M,13.00M,-18.00M,1.086B,381.00M,705.00M,,-8.00M,697.00M,689.21M,1.121B,-150.00M,1.121B,,1.59,,,,1.572,1.59,,1.58,,,,1.562,1.58,,437.60M,441.99M,0.355,,AOR,Restated
2014-05,25.79B,25.79B,22.55B,3.24B,2.487B,,25.00M,11.00M,-14.00M,16.00M,2.503B,737.00M,11.00M,25.00M,-14.00M,1.00M,-14.00M,724.00M,245.00M,479.00M,,-6.00M,473.00M,474.32M,1.457B,708.00M,749.00M,,1.08,,,,1.083,1.08,,1.07,,,,1.073,1.07,,439.45M,442.72M,0.355,,AOR,Restated
2014-02,26.31B,26.31B,23.04B,3.263B,2.531B,,26.00M,12.00M,-14.00M,8.00M,2.539B,724.00M,12.00M,26.00M,-14.00M,18.00M,-14.00M,728.00M,255.00M,473.00M,,-10.00M,463.00M,454.55M,994.00M,240.00M,754.00M,,1.05,,,,1.031,1.05,,1.05,,,,1.031,1.05,,439.78M,442.83M,0.31,,AOR,Restated
2013-11,25.02B,25.02B,21.82B,3.193B,2.501B,,27.00M,12.00M,-15.00M,24.00M,2.525B,668.00M,12.00M,27.00M,-15.00M,6.00M,-15.00M,659.00M,228.00M,431.00M,,-6.00M,425.00M,423.04M,917.00M,231.00M,686.00M,,0.97,,,,0.9655,0.97,,0.96,,,,0.9556,0.96,,437.97M,442.42M,0.31,,AOR,Restated
2013-08,32.49B,32.49B,28.42B,4.069B,3.098B,,36.00M,15.00M,-21.00M,17.00M,3.115B,954.00M,15.00M,36.00M,-21.00M,21.00M,-21.00M,954.00M,332.00M,622.00M,,-5.00M,617.00M,605.26M,1.285B,295.00M,990.00M,,1.41,,,,1.383,1.41,,1.40,,,,1.373,1.40,,437.08M,442.83M,0.31,,AOR,Restated
2013-05,24.08B,24.08B,21.04B,3.045B,2.313B,,25.00M,9.00M,-16.00M,10.00M,2.323B,722.00M,9.00M,25.00M,-16.00M,6.00M,-16.00M,712.00M,248.00M,464.00M,,-5.00M,459.00M,459.00M,1.388B,651.00M,737.00M,,1.05,,,,1.05,1.05,,1.04,,,,1.04,1.04,,436.49M,440.78M,0.31,,AOR,Restated
2013-02,24.87B,24.87B,21.77B,3.105B,2.361B,,25.00M,10.00M,-15.00M,6.00M,2.367B,738.00M,10.00M,25.00M,-15.00M,16.00M,-15.00M,739.00M,185.00M,554.00M,,-7.00M,547.00M,537.26M,981.00M,217.00M,764.00M,,1.26,,,,1.238,1.26,,1.24,,,,1.218,1.24,,435.98M,439.81M,0.275,,AOR,Restated
2012-11,23.72B,23.72B,20.73B,2.989B,2.332B,,13.00M,10.00M,-3.00M,18.00M,2.35B,639.00M,10.00M,13.00M,-3.00M,10.00M,-3.00M,646.00M,225.00M,421.00M,,-5.00M,416.00M,410.79M,872.00M,213.00M,659.00M,,0.96,,,,0.9480,0.96,,0.95,,,,0.9381,0.95,,433.42M,438.64M,0.275,,AOR,Restated
2012-08,32.22B,32.22B,28.21B,4.008B,3.044B,,22.00M,16.00M,-6.00M,15.00M,3.059B,949.00M,16.00M,22.00M,-6.00M,22.00M,-6.00M,965.00M,343.00M,622.00M,,-13.00M,609.00M,598.04M,1.279B,292.00M,987.00M,,1.41,,,,1.385,1.41,,1.39,,,,1.365,1.39,,431.94M,438.25M,0.275,,AOR,Restated
2012-05,22.32B,22.32B,19.54B,2.781B,2.152B,,19.00M,11.00M,-8.00M,6.00M,2.158B,623.00M,11.00M,19.00M,-8.00M,7.00M,-8.00M,622.00M,217.00M,405.00M,,-19.00M,386.00M,384.04M,843.00M,202.00M,641.00M,,0.89,,,,0.8855,0.89,,0.88,,,,0.8755,0.88,,433.79M,439.17M,0.275,,AOR,Restated
2012-02,22.97B,22.97B,20.14B,2.828B,2.178B,,27.00M,11.00M,-16.00M,6.00M,2.184B,644.00M,11.00M,27.00M,-16.00M,-1.00M,-16.00M,627.00M,215.00M,412.00M,,-18.00M,394.00M,395.97M,863.00M,209.00M,654.00M,,0.91,,,,0.9145,0.91,,0.90,,,,0.9045,0.90,,434.54M,439.47M,0.24,,AOR,Restated
2011-11,21.63B,21.63B,18.93B,2.697B,2.144B,,27.00M,11.00M,-16.00M,10.00M,2.154B,543.00M,11.00M,27.00M,-16.00M,26.00M,-16.00M,553.00M,225.00M,328.00M,,-8.00M,320.00M,305.05M,785.00M,205.00M,580.00M,,0.74,,,,0.7056,0.74,,0.73,,,,0.6961,0.73,,434.22M,440.62M,0.24,,AOR,Restated
2011-08,28.18B,28.18B,24.68B,3.498B,2.721B,,36.00M,15.00M,-21.00M,15.00M,2.736B,762.00M,15.00M,36.00M,-21.00M,31.00M,-21.00M,772.00M,272.00M,500.00M,,-22.00M,478.00M,459.22M,1.081B,273.00M,808.00M,,1.09,,,,1.047,1.09,,1.08,,,,1.038,1.08,,436.74M,444.20M,0.24,,AOR,Restated
2011-05,20.62B,20.62B,18.07B,2.556B,1.991B,,27.00M,10.00M,-17.00M,9.00M,2.00B,556.00M,10.00M,27.00M,-17.00M,-5.00M,-17.00M,534.00M,193.00M,341.00M,,-17.00M,324.00M,329.11M,757.00M,196.00M,561.00M,,0.74,,,,0.7517,0.74,,0.73,,,,0.7415,0.73,,436.98M,443.57M,0.24,,AOR,Restated
