,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,3.831B,3.831B,2.231B,1.60B,620.00M,48.00M,,64.00M,-64.00M,,668.00M,932.00M,64.00M,-64.00M,26.00M,-64.00M,894.00M,228.00M,666.00M,,,666.00M,666.00M,1.074B,116.00M,958.00M,,1.98,,,1.98,1.98,,1.97,,,1.97,1.97,,336.70M,338.90M,0.78,,AOR,Restated
2018-03,3.744B,3.744B,2.181B,1.563B,612.00M,48.00M,,66.00M,-66.00M,,660.00M,903.00M,66.00M,-66.00M,12.00M,-66.00M,849.00M,197.00M,652.00M,,,652.00M,652.00M,1.03B,115.00M,915.00M,,1.92,,,1.92,1.92,,1.90,,,1.90,1.90,,340.20M,342.80M,0.78,,AOR,Restated
2017-12,3.629B,3.629B,2.124B,1.505B,609.00M,50.00M,1.00M,66.00M,-21.00M,,659.00M,846.00M,66.00M,-21.00M,-29.00M,-21.00M,796.00M,872.00M,-76.00M,,,-76.00M,-76.60M,980.00M,118.00M,862.00M,,-0.22,,,-0.2218,-0.22,,-0.22,,,-0.2217,-0.22,,342.30M,344.70M,0.78,,AOR,Restated
2017-09,3.615B,3.615B,2.092B,1.523B,592.00M,51.00M,80.00M,65.00M,-65.00M,,643.00M,880.00M,65.00M,-65.00M,91.00M,-65.00M,906.00M,266.00M,640.00M,,,640.00M,583.44M,1.087B,116.00M,971.00M,,1.86,,,1.695,1.86,,1.85,,,1.687,1.85,,343.40M,346.00M,0.78,,AOR,Restated
2017-06,3.599B,3.599B,2.087B,1.512B,603.00M,52.00M,15.00M,65.00M,-65.00M,,655.00M,857.00M,65.00M,-65.00M,27.00M,-65.00M,819.00M,232.00M,587.00M,,,587.00M,576.26M,998.00M,114.00M,884.00M,,1.70,,,1.669,1.70,,1.69,,,1.659,1.69,,344.70M,347.50M,0.65,,AOR,Restated
2017-03,3.471B,3.471B,2.003B,1.468B,608.00M,53.00M,,64.00M,-64.00M,,661.00M,807.00M,64.00M,-64.00M,6.00M,-64.00M,749.00M,213.00M,536.00M,,,536.00M,536.00M,927.00M,114.00M,813.00M,,1.55,,,1.55,1.55,,1.54,,,1.54,1.54,,346.20M,349.00M,0.65,,AOR,Restated
2016-12,3.399B,3.399B,2.018B,1.381B,593.00M,54.00M,-12.00M,63.00M,-25.00M,,647.00M,734.00M,63.00M,-25.00M,17.00M,-25.00M,726.00M,219.00M,507.00M,,,507.00M,515.38M,907.00M,118.00M,789.00M,,1.46,,,1.484,1.46,,1.45,,,1.474,1.45,,348.10M,350.50M,0.65,,AOR,Restated
2016-09,3.495B,3.495B,2.027B,1.468B,604.00M,56.00M,0.00,58.00M,-58.00M,,660.00M,808.00M,58.00M,-58.00M,13.00M,-58.00M,763.00M,228.00M,535.00M,,,535.00M,535.00M,941.00M,120.00M,821.00M,,1.51,,,1.51,1.51,,1.50,,,1.50,1.50,,353.50M,355.50M,0.65,,AOR,Restated
2016-06,3.431B,3.431B,1.967B,1.464B,617.00M,55.00M,,58.00M,-58.00M,,672.00M,792.00M,58.00M,-58.00M,17.00M,-58.00M,751.00M,226.00M,525.00M,,,525.00M,525.00M,924.00M,115.00M,809.00M,,1.47,,,1.47,1.47,,1.46,,,1.46,1.46,,356.60M,358.50M,0.55,,AOR,Restated
2016-03,3.274B,3.274B,1.896B,1.378B,597.00M,59.00M,,58.00M,-58.00M,,656.00M,722.00M,58.00M,-58.00M,4.00M,-58.00M,668.00M,200.00M,468.00M,,,468.00M,468.00M,843.00M,117.00M,726.00M,,1.29,,,1.29,1.29,,1.29,,,1.29,1.29,,362.00M,363.90M,0.55,,AOR,Restated
2015-12,3.275B,3.275B,1.941B,1.334B,598.00M,57.00M,,58.00M,-6.00M,,655.00M,679.00M,58.00M,-6.00M,-39.00M,-6.00M,634.00M,184.00M,450.00M,,,450.00M,450.00M,813.00M,121.00M,692.00M,,1.24,0.00,,1.24,1.24,,1.23,0.00,,1.23,1.23,,363.70M,365.60M,0.55,,AOR,Restated
2015-09,3.354B,3.354B,1.953B,1.401B,581.00M,59.00M,,59.00M,-59.00M,,640.00M,761.00M,59.00M,-59.00M,23.00M,-59.00M,725.00M,214.00M,511.00M,,,511.00M,511.00M,904.00M,120.00M,784.00M,,1.40,,,1.40,1.40,,1.39,,,1.39,1.39,,365.10M,367.10M,0.55,,AOR,Restated
2015-06,3.434B,3.434B,2.024B,1.41B,622.00M,58.00M,,55.00M,-55.00M,,680.00M,730.00M,55.00M,-55.00M,21.00M,-55.00M,696.00M,216.00M,480.00M,,,480.00M,480.00M,869.00M,118.00M,751.00M,,1.31,,,1.31,1.31,,1.30,,,1.30,1.30,,366.20M,368.40M,0.485,,AOR,Restated
2015-03,3.342B,3.342B,1.97B,1.372B,616.00M,59.00M,,54.00M,-54.00M,,675.00M,697.00M,54.00M,-54.00M,21.00M,-54.00M,664.00M,206.00M,458.00M,,,458.00M,458.00M,836.00M,118.00M,718.00M,,1.22,,,1.22,1.22,,1.21,,,1.21,1.21,,376.60M,379.20M,0.485,,AOR,Restated
2014-12,3.504B,3.504B,2.114B,1.39B,644.00M,63.00M,-3.00M,54.00M,11.00M,,707.00M,683.00M,54.00M,11.00M,-37.00M,11.00M,657.00M,196.00M,461.00M,-11.00M,,450.00M,463.11M,831.00M,120.00M,711.00M,,1.19,-0.02,,1.195,1.17,,1.18,-0.02,,1.185,1.16,,386.40M,389.30M,0.485,,AOR,Restated
2014-09,3.692B,3.692B,2.182B,1.51B,675.00M,60.00M,-3.00M,68.00M,-68.00M,,735.00M,775.00M,68.00M,-68.00M,17.00M,-68.00M,724.00M,217.00M,507.00M,24.00M,,531.00M,509.10M,920.00M,128.00M,792.00M,,1.29,0.06,,1.295,1.35,,1.28,0.06,,1.285,1.34,,394.00M,396.80M,0.485,,AOR,Restated
2014-06,3.719B,3.719B,2.219B,1.50B,677.00M,60.00M,,64.00M,-64.00M,,737.00M,763.00M,64.00M,-64.00M,7.00M,-64.00M,706.00M,212.00M,494.00M,998.00M,,1.492B,494.00M,899.00M,129.00M,770.00M,,1.22,2.47,,1.22,3.69,,1.21,2.45,,1.21,3.66,,404.70M,407.60M,0.42,,AOR,Restated
2014-03,3.569B,3.569B,2.158B,1.411B,682.00M,62.00M,,64.00M,-64.00M,,744.00M,667.00M,64.00M,-64.00M,9.00M,-64.00M,612.00M,184.00M,428.00M,45.00M,,473.00M,428.00M,806.00M,130.00M,676.00M,,1.01,0.11,,1.01,1.12,,1.01,0.11,,1.01,1.11,,421.90M,425.00M,0.42,,AOR,Restated
2013-12,3.554B,3.554B,2.173B,1.381B,689.00M,64.00M,25.00M,60.00M,-10.00M,,753.00M,628.00M,60.00M,-10.00M,-45.00M,-10.00M,573.00M,166.00M,407.00M,1.00M,,408.00M,389.24M,767.00M,134.00M,633.00M,,0.93,0.00,,0.8894,0.93,,0.92,0.00,,0.8797,0.93,,437.80M,440.90M,0.42,,AOR,Restated
2013-09,3.568B,3.568B,2.148B,1.42B,676.00M,64.00M,-2.00M,60.00M,-60.00M,,740.00M,680.00M,60.00M,-60.00M,8.00M,-60.00M,628.00M,222.00M,406.00M,46.00M,,452.00M,407.29M,835.00M,147.00M,688.00M,,0.91,0.10,,0.9129,1.01,,0.90,0.10,,0.9029,1.01,,445.90M,448.90M,0.42,,AOR,Restated
2013-06,3.593B,3.593B,2.155B,1.438B,747.00M,61.00M,,59.00M,-59.00M,,808.00M,630.00M,59.00M,-59.00M,10.00M,-59.00M,581.00M,165.00M,416.00M,49.00M,,465.00M,416.00M,784.00M,144.00M,640.00M,,0.93,0.11,,0.93,1.04,,0.92,0.11,,0.92,1.03,,449.60M,452.50M,0.38,,AOR,Restated
2013-03,3.42B,3.42B,2.078B,1.342B,703.00M,61.00M,0.00,60.00M,-60.00M,,764.00M,578.00M,60.00M,-60.00M,47.00M,-60.00M,565.00M,164.00M,401.00M,-47.00M,,354.00M,401.00M,813.00M,188.00M,625.00M,,0.89,-0.10,,0.89,0.78,,0.88,-0.10,,0.88,0.78,,451.70M,454.80M,0.38,,AOR,Restated
2012-12,3.484B,3.484B,2.177B,1.307B,721.00M,62.00M,931.00M,61.00M,-23.00M,,783.00M,524.00M,61.00M,-23.00M,875.00M,-23.00M,1.376B,455.00M,921.00M,58.00M,,979.00M,297.85M,1.589B,152.00M,1.437B,,2.12,0.01,,0.7642,2.13,,2.10,0.01,,0.7541,2.11,,459.60M,463.00M,0.38,,AOR,Restated
2012-09,3.733B,3.733B,2.289B,1.444B,713.00M,62.00M,-2.00M,52.00M,-52.00M,,775.00M,669.00M,52.00M,-52.00M,-1.00M,-52.00M,616.00M,171.00M,445.00M,79.00M,,524.00M,446.44M,820.00M,152.00M,668.00M,,0.96,0.17,,0.9631,1.13,,0.95,0.17,,0.9531,1.12,,464.80M,468.10M,0.38,,AOR,Restated
2012-06,4.463B,4.463B,2.814B,1.649B,819.00M,72.00M,,50.00M,-50.00M,,891.00M,758.00M,50.00M,-50.00M,24.00M,-50.00M,732.00M,213.00M,519.00M,362.00M,,881.00M,519.00M,938.00M,156.00M,782.00M,,1.10,0.76,,1.10,1.86,,1.09,0.76,,1.09,1.85,,472.90M,476.10M,0.36,,AOR,Restated
2012-03,4.358B,4.358B,2.763B,1.595B,832.00M,69.00M,,50.00M,-50.00M,,901.00M,694.00M,50.00M,-50.00M,8.00M,-50.00M,652.00M,188.00M,464.00M,22.00M,,486.00M,464.00M,855.00M,153.00M,702.00M,,0.96,0.05,,0.96,1.01,,0.95,0.05,,0.95,1.00,,482.00M,485.60M,0.36,,AOR,Restated
2011-12,1.048B,1.048B,369.00M,679.00M,369.00M,33.00M,-44.00M,53.00M,-15.00M,,402.00M,277.00M,53.00M,-15.00M,-31.00M,-15.00M,231.00M,36.00M,195.00M,247.00M,,442.00M,232.14M,437.00M,153.00M,284.00M,,0.90,0.01,,0.9769,0.91,,0.90,0.01,,0.9766,0.91,,483.00M,484.70M,0.36,,AOR,Restated
2011-09,4.58B,4.58B,2.962B,1.618B,836.00M,68.00M,25.00M,49.00M,-49.00M,,904.00M,714.00M,49.00M,-49.00M,25.00M,-49.00M,690.00M,200.00M,490.00M,17.00M,,507.00M,472.25M,893.00M,154.00M,739.00M,,1.01,0.04,,0.9735,1.04,,1.00,0.04,,0.9637,1.04,,486.30M,488.80M,0.36,,AOR,Restated
2011-06,4.615B,4.615B,2.996B,1.619B,845.00M,63.00M,15.00M,45.00M,-45.00M,,908.00M,711.00M,45.00M,-45.00M,15.00M,-45.00M,681.00M,197.00M,484.00M,15.00M,,499.00M,473.34M,874.00M,148.00M,726.00M,,0.97,0.03,,0.9486,1.00,,0.96,0.03,,0.9388,0.99,,497.80M,501.90M,0.34,,AOR,Restated
2011-03,4.272B,4.272B,2.762B,1.51B,796.00M,55.00M,6.00M,44.00M,-44.00M,,851.00M,659.00M,44.00M,-44.00M,6.00M,-44.00M,621.00M,15.00M,606.00M,17.00M,,623.00M,600.14M,804.00M,139.00M,665.00M,,1.22,0.03,,1.208,1.25,,1.21,0.03,,1.198,1.24,,498.60M,502.70M,0.34,,AOR,Restated
2010-12,3.914B,3.914B,2.606B,1.308B,772.73M,52.30M,-15.04M,43.95M,-19.95M,,825.03M,482.56M,43.95M,-19.95M,-21.04M,-19.95M,441.57M,113.72M,327.86M,7.853M,,335.71M,339.02M,625.30M,139.78M,485.52M,,0.79,0.00,,0.8125,0.79,,0.79,0.00,,0.8124,0.79,,496.78M,499.13M,0.34,,AOR,Restated
2010-09,3.941B,3.941B,2.548B,1.393B,720.78M,51.17M,-0.045M,43.49M,-43.49M,,771.94M,620.73M,43.49M,-43.49M,-0.045M,-43.49M,577.20M,174.14M,403.05M,18.97M,,422.03M,403.09M,757.14M,136.46M,620.69M,,0.80,0.04,,0.8001,0.84,,0.80,0.04,,0.8001,0.84,,500.75M,503.15M,0.34,,AOR,Restated
2010-06,3.928B,3.928B,2.514B,1.414B,735.85M,51.95M,2.207M,43.27M,-43.27M,,787.80M,626.04M,43.27M,-43.27M,2.207M,-43.27M,584.97M,185.18M,399.79M,11.66M,,411.46M,398.28M,764.67M,136.43M,628.24M,,0.79,0.02,,0.7870,0.82,,0.79,0.02,,0.7870,0.81,,503.26M,506.30M,0.31,,AOR,Restated
2010-03,3.738B,3.738B,2.389B,1.348B,753.92M,52.93M,4.637M,44.37M,-44.37M,,806.86M,541.54M,44.37M,-44.37M,4.637M,-44.37M,501.80M,168.00M,333.80M,,,333.80M,330.72M,682.51M,136.33M,546.18M,,0.66,0.00,,0.6539,0.66,,0.66,0.00,,0.6539,0.66,,502.42M,505.01M,0.31,,AOR,Restated
2009-12,3.757B,3.757B,2.429B,1.329B,797.84M,51.17M,2.12M,43.85M,-43.85M,,849.01M,479.83M,43.85M,-43.85M,2.12M,-43.85M,438.10M,-57.50M,495.60M,11.80M,,507.40M,494.22M,630.48M,148.53M,481.95M,,0.99,0.03,,0.9873,1.01,,0.98,0.03,,0.9773,1.01,,501.80M,504.13M,0.31,,AOR,Restated
2009-09,3.580B,3.580B,2.315B,1.265B,720.04M,49.54M,-0.861M,45.67M,-45.67M,,769.58M,495.60M,45.67M,-45.67M,-0.861M,-45.67M,449.06M,146.10M,302.96M,-0.546M,,302.42M,303.54M,645.98M,151.24M,494.73M,,0.61,0.00,,0.6112,0.60,,0.60,0.00,,0.6012,0.60,,500.31M,502.19M,0.31,,AOR,Restated
2009-06,3.393B,3.393B,2.248B,1.145B,757.87M,51.95M,-19.84M,43.89M,-43.89M,,809.82M,334.84M,43.89M,-43.89M,-19.84M,-43.89M,271.11M,92.17M,178.94M,-2.378M,,176.56M,192.04M,468.04M,153.04M,315.00M,,0.36,0.00,,0.3862,0.35,,0.36,0.00,,0.3861,0.35,,499.39M,500.88M,0.31,,AOR,Restated
2009-03,3.146B,3.146B,2.153B,993.55M,761.69M,50.57M,-94.34M,31.44M,-31.44M,,812.26M,181.29M,31.44M,-31.44M,-94.34M,-31.44M,55.52M,63.53M,-8.016M,-31.36M,,-39.37M,53.30M,309.06M,222.11M,86.95M,,-0.02,-0.06,,0.1028,-0.08,,-0.02,-0.06,,0.1028,-0.08,,499.19M,499.19M,0.31,,AOR,Restated
2008-12,4.909B,4.909B,3.327B,1.583B,953.34M,50.58M,-16.92M,,,,1.004B,578.74M,,,-16.92M,,519.48M,138.34M,381.14M,-147.36M,,233.77M,393.55M,716.36M,134.49M,581.87M,,0.75,-0.28,,0.7744,0.47,,0.75,-0.28,,0.7744,0.46,,508.78M,508.78M,0.31,,,Restated
2008-09,4.148B,4.148B,2.699B,1.448B,759.14M,50.38M,15.90M,,,,809.53M,638.96M,,,15.90M,,616.69M,173.40M,443.29M,10.23M,,453.52M,431.86M,820.98M,182.01M,638.96M,,0.86,0.02,,0.8379,0.88,,0.85,0.02,,0.8281,0.87,,517.91M,521.09M,0.31,,,
2008-06,4.556B,4.556B,2.941B,1.614B,814.96M,42.30M,24.29M,36.59M,-36.59M,,857.26M,757.16M,36.59M,-36.59M,24.29M,-36.59M,744.86M,216.16M,528.70M,-0.614M,,528.09M,511.46M,925.27M,143.82M,781.45M,,1.01,0.00,,0.9769,1.01,,1.01,0.00,,0.9772,1.01,,521.49M,525.21M,0.28,,,Restated
2008-03,4.139B,4.139B,2.698B,1.441B,780.46M,42.44M,-119.99M,,,98.59M,921.49M,519.96M,,,-119.99M,,461.08M,159.70M,301.38M,2.246M,,303.62M,379.80M,751.54M,231.58M,519.96M,,0.57,0.00,,0.7190,0.58,,0.57,0.00,,0.7181,0.57,,526.30M,529.72M,0.28,,,
2007-12,3.908B,3.908B,2.519B,1.389B,536.79M,38.89M,-15.21M,,,,770.76M,618.71M,,,-15.21M,,596.68M,153.15M,443.53M,27.20M,,470.73M,454.83M,760.66M,141.95M,618.71M,,0.82,0.05,,0.8409,0.87,,0.81,0.05,,0.8308,0.86,,539.77M,544.27M,0.28,,,
2007-09,3.744B,3.744B,2.390B,1.355B,669.56M,35.76M,23.02M,,,,705.32M,649.56M,,,23.02M,,646.80M,182.70M,464.10M,26.99M,,491.09M,447.58M,777.60M,128.04M,649.56M,,0.84,0.05,,0.8099,0.89,,0.84,0.05,,0.8102,0.89,,549.56M,554.26M,0.28,,,
2007-06,4.160B,4.160B,2.676B,1.484B,745.72M,39.78M,44.14M,,,,785.50M,698.68M,,,44.14M,,717.21M,211.60M,505.61M,25.17M,,530.78M,474.49M,828.26M,129.58M,698.68M,,0.86,0.05,,0.8041,0.91,,0.86,0.04,,0.8046,0.90,,556.79M,561.24M,0.21,,,
2007-03,3.717B,3.717B,2.413B,1.304B,694.98M,38.02M,12.90M,,,2.154M,735.15M,568.48M,,,12.90M,,559.15M,174.14M,385.01M,17.42M,,402.44M,376.13M,693.65M,125.18M,568.48M,,0.69,0.03,,0.6741,0.72,,0.68,0.03,,0.6642,0.71,,559.00M,563.28M,0.21,,,
2006-12,2.370B,2.370B,1.477B,892.50M,332.28M,35.40M,-10.73M,,,,511.06M,381.44M,,,-10.73M,,374.15M,85.57M,288.58M,,,439.27M,296.86M,507.43M,125.99M,381.44M,,0.71,0.07,,0.7247,0.78,,0.71,0.07,,0.7244,0.77,,561.85M,573.15M,0.21,,,
2006-09,3.538B,3.538B,2.292B,1.246B,593.72M,25.24M,35.83M,,,,618.96M,626.87M,,,35.83M,,641.89M,195.80M,446.09M,,,446.09M,421.19M,733.28M,106.42M,626.87M,,0.79,0.00,,0.7461,0.79,,0.78,0.00,,0.7364,0.78,,567.64M,570.93M,0.21,,,
2006-06,3.579B,3.579B,2.293B,1.287B,602.22M,24.66M,25.70M,,,,626.88M,659.76M,,,25.70M,,666.45M,200.60M,465.85M,,,465.85M,447.89M,761.52M,101.75M,659.76M,,0.82,0.00,,0.7883,0.82,,0.81,0.00,,0.7786,0.81,,567.45M,571.95M,0.165,,,
2006-03,3.297B,3.297B,2.120B,1.177B,601.42M,35.97M,10.16M,,,,637.39M,539.97M,,,10.16M,,531.23M,164.70M,366.53M,,,366.53M,359.52M,649.71M,109.74M,539.97M,,0.325,0.00,,0.3188,0.325,,0.325,0.00,,0.3188,0.325,,1.128B,1.135B,0.165,,,
2005-12,3.252B,3.252B,2.100B,1.152B,568.54M,26.87M,40.38M,,,,595.41M,557.08M,,,40.38M,,572.38M,171.80M,400.58M,,,400.58M,372.32M,657.74M,100.66M,557.08M,,0.7132,,,0.6629,0.7132,,0.7132,,,0.6629,0.7132,,561.63M,561.63M,0.165,,,
2005-09,3.200B,3.200B,2.078B,1.122B,541.41M,15.77M,55.45M,,,,557.18M,565.22M,,,55.45M,,600.20M,192.00M,408.20M,,,408.20M,370.49M,659.20M,93.98M,565.22M,,0.36,0.00,,0.3267,0.36,,0.36,0.00,,0.3269,0.36,,1.131B,1.140B,0.165,,,
2005-06,3.286B,3.286B,2.154B,1.132B,557.06M,15.21M,6.827M,,,-5.04B,-4.468B,5.600B,,,6.827M,,546.38M,172.60M,373.78M,,,373.78M,369.11M,5.690B,89.81M,5.600B,,0.325,0.00,,0.3209,0.325,,0.32,0.00,,0.3160,0.32,,1.152B,1.160B,0.14,,,
2005-03,3.074B,3.074B,2.022B,1.052B,548.08M,25.99M,3.444M,,,,574.06M,477.89M,,,3.444M,,462.61M,150.30M,312.31M,,,312.31M,309.98M,576.52M,98.63M,477.89M,,0.535,0.00,,0.5310,0.535,,0.53,0.00,,0.5260,0.53,,582.79M,587.20M,0.14,,,
2004-12,2.903B,2.903B,1.961B,942.10M,528.96M,11.43M,136.34M,,,,540.39M,401.71M,,,136.34M,,513.88M,154.70M,359.18M,-1.082M,,358.10M,263.88M,499.15M,97.44M,401.71M,,-0.50,0.00,,-0.6561,-0.50,,-0.50,0.00,,-0.6549,-0.50,,610.44M,615.31M,0.14,,,
2004-09,2.967B,2.967B,1.935B,1.032B,509.48M,10.62M,6.325M,,,,520.10M,512.24M,,,6.325M,,500.05M,170.00M,330.05M,,,330.05M,325.88M,602.56M,90.33M,512.24M,,0.55,0.00,,0.5431,0.55,,0.545,0.00,,0.5381,0.545,,602.78M,607.93M,0.14,,,
2004-06,3.002B,3.002B,1.930B,1.072B,502.88M,8.052M,3.505M,,,,510.93M,561.54M,,,3.505M,,546.05M,185.70M,360.35M,,,360.35M,358.04M,659.55M,98.02M,561.54M,,0.585,0.00,,0.5812,0.585,,0.58,0.00,,0.5763,0.58,,616.17M,621.28M,0.12,,,
2004-03,2.710B,2.710B,1.750B,960.01M,483.34M,29.02M,7.665M,,,,512.36M,447.64M,,,7.665M,,439.42M,149.40M,290.02M,0.171M,,290.20M,284.97M,547.65M,100.01M,447.64M,,0.47,0.00,,0.4618,0.47,,0.465,0.00,,0.4569,0.465,,616.64M,620.82M,0.12,,,
2003-12,2.626B,2.626B,1.720B,905.51M,468.50M,5.301M,-22.69M,,,,473.80M,431.72M,,,-22.69M,,417.21M,130.30M,286.91M,-3.612M,,283.30M,302.51M,511.03M,79.32M,431.72M,,0.47,-0.005,,0.4952,0.46,,0.465,-0.005,,0.4902,0.46,,618.11M,618.11M,0.12,,,
2003-09,2.532B,2.532B,1.634B,897.83M,466.34M,4.818M,4.526M,,,,471.15M,426.68M,,,4.526M,,415.08M,145.30M,269.78M,-0.874M,,268.90M,266.83M,501.07M,74.40M,426.68M,,0.44,0.00,,0.4352,0.44,,0.435,0.00,,0.4302,0.435,,614.28M,617.99M,0.12,,,
2003-06,2.564B,2.564B,1.659B,904.59M,445.68M,4.847M,2.007M,,,,450.52M,454.07M,,,2.007M,,436.94M,152.90M,284.04M,-7.941M,,276.10M,282.74M,529.72M,75.66M,454.07M,,0.465,-0.015,,0.4629,0.45,,0.46,-0.015,,0.4579,0.45,,613.58M,616.42M,0.115,,,
2003-03,2.314B,2.314B,1.514B,800.00M,469.69M,9.31M,3.316M,,,,479.00M,321.00M,,,3.316M,,306.88M,107.40M,199.48M,-4.107M,,195.38M,197.33M,398.18M,77.18M,321.00M,,0.325,-0.005,,0.3215,0.32,,0.325,-0.005,,0.3215,0.315,,613.24M,615.54M,0.115,,,
2002-12,2.427B,2.427B,1.601B,826.30M,443.59M,12.79M,-1.366M,,,,456.37M,369.93M,,,-1.366M,,350.68M,122.75M,227.93M,-4.945M,0.00,222.99M,228.82M,447.58M,77.65M,369.93M,,0.37,0.355,0.00,0.3715,0.365,,0.37,0.355,-0.0003,0.3714,0.36,,610.40M,619.29M,0.115,,,
