,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-03,1.431B,1.431B,1.046B,385.00M,292.00M,101.00M,0.00,5.00M,60.00M,55.00M,393.00M,-8.00M,60.00M,5.00M,55.00M,15.00M,55.00M,62.00M,19.00M,43.00M,43.00M,39.53M,89.00M,22.00M,67.00M,0.0022,,0.0,0.002,0.0021,0.0022,,0.0,0.002,0.0021,19.38B,19.76B,0.0
2000-12,1.007B,1.007B,1.028B,-21.00M,297.00M,102.00M,0.00,5.00M,64.00M,59.00M,399.00M,-420.00M,64.00M,5.00M,59.00M,66.00M,59.00M,-295.00M,-88.00M,-207.00M,-195.00M,-247.70M,-266.00M,24.00M,-290.00M,-0.011,,0.0006,-0.0131,-0.0104,-0.011,,0.0006,-0.0131,-0.0104,18.88B,18.88B,0.0
2000-09,1.87B,1.87B,1.403B,467.00M,282.00M,101.00M,0.00,6.00M,59.00M,53.00M,383.00M,84.00M,59.00M,6.00M,53.00M,92.00M,53.00M,229.00M,59.00M,170.00M,170.00M,108.38M,253.00M,18.00M,235.00M,0.0093,,0.0,0.0059,0.0093,0.0084,,0.0,0.0053,0.0084,18.31B,20.24B,0.0
2000-06,1.825B,1.825B,1.282B,543.00M,278.00M,97.00M,0.00,5.00M,55.00M,50.00M,375.00M,168.00M,55.00M,5.00M,50.00M,52.00M,50.00M,270.00M,70.00M,200.00M,200.00M,162.96M,300.00M,25.00M,275.00M,0.011,,0.0,0.009,0.0111,0.0099,,0.0,0.008,0.0098,18.20B,20.26B,0.0
2000-03,1.945B,1.945B,1.396B,549.00M,287.00M,92.00M,0.00,,,49.00M,379.00M,170.00M,,,49.00M,100.00M,49.00M,319.00M,86.00M,233.00M,233.00M,159.96M,191.00M,21.00M,170.00M,0.0128,,0.0,0.0088,0.0129,0.0114,,0.0,0.0078,0.0114,18.16B,20.38B,0.0
1999-12,2.343B,2.343B,1.736B,607.00M,319.00M,90.00M,-98.00M,5.00M,47.00M,42.00M,409.00M,198.00M,47.00M,5.00M,42.00M,34.00M,42.00M,274.00M,91.00M,183.00M,183.00M,158.96M,299.00M,20.00M,279.00M,0.0101,,0.0,0.0088,0.0102,0.0092,,0.0,0.008,0.0091,18.04B,19.98B,0.0
1999-09,1.336B,1.336B,952.00M,384.00M,235.00M,82.00M,-18.00M,5.00M,42.00M,37.00M,317.00M,67.00M,42.00M,5.00M,37.00M,21.00M,37.00M,125.00M,14.00M,111.00M,111.00M,96.79M,149.00M,19.00M,130.00M,0.0059,,,0.0051,0.0059,0.0042,,,0.0035,0.0057,17.57B,19.79B,0.0
1999-06,1.558B,1.558B,1.131B,427.00M,243.00M,80.00M,0.00,,,24.00M,323.00M,104.00M,,,24.00M,101.00M,24.00M,229.00M,26.00M,203.00M,203.00M,113.47M,123.00M,19.00M,104.00M,0.0125,,,0.007,0.0125,0.0107,,,0.0061,0.0107,16.13B,19.56B,0.0
1999-03,1.53B,1.53B,1.127B,403.00M,239.00M,76.00M,-9.00M,,,19.00M,315.00M,88.00M,,,19.00M,46.00M,19.00M,153.00M,18.00M,135.00M,135.00M,94.41M,112.00M,24.00M,88.00M,0.0088,,,0.0062,0.0088,0.0075,,,0.0054,0.0075,15.27B,19.40B,0.0
1998-12,1.71B,1.71B,1.228B,482.00M,279.00M,76.00M,0.00,16.00M,32.00M,16.00M,355.00M,127.00M,32.00M,16.00M,16.00M,26.00M,16.00M,169.00M,17.00M,152.00M,152.00M,123.22M,208.00M,23.00M,185.00M,0.01,,,0.0081,0.01,0.0085,,,0.007,0.0085,15.15B,19.27B,0.0
1998-09,1.556B,1.556B,1.139B,417.00M,235.00M,73.00M,,15.00M,29.00M,14.00M,308.00M,109.00M,29.00M,15.00M,14.00M,-9.00M,14.00M,114.00M,8.00M,106.00M,106.00M,108.79M,152.00M,23.00M,129.00M,0.0071,,,0.0072,0.0071,0.0062,,,0.0064,0.0062,15.12B,26.45B,0.0
1998-06,1.402B,1.402B,1.042B,360.00M,216.00M,83.00M,,,,8.00M,299.00M,61.00M,,,8.00M,40.00M,8.00M,109.00M,8.00M,101.00M,101.00M,63.94M,93.00M,32.00M,61.00M,0.0068,,,0.0043,0.0068,0.0058,,,0.0039,0.0058,14.90B,19.24B,0.0
