,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2018-03,1.734B,1.734B,1.088B,646.00M,232.00M,-3.00M,109.00M,-109.00M,,303.00M,343.00M,109.00M,-109.00M,-2.00M,-109.00M,232.00M,49.00M,183.00M,,,,,183.00M,185.37M,734.00M,393.00M,341.00M,2.18,,,,2.208,2.18,2.15,,,,2.178,2.15,84.26M,85.24M
2017-12,1.922B,1.922B,1.095B,827.00M,255.00M,-40.00M,126.00M,-126.00M,,325.00M,502.00M,126.00M,-126.00M,-40.00M,-126.00M,336.00M,-561.00M,897.00M,,,,,897.00M,921.00M,852.00M,390.00M,462.00M,10.6,,,,10.89,10.6,10.45,,,,10.73,10.45,84.64M,85.83M
2017-09,1.766B,1.766B,993.00M,773.00M,237.00M,-25.00M,131.00M,-131.00M,,300.00M,473.00M,131.00M,-131.00M,-20.00M,-131.00M,322.00M,123.00M,199.00M,,,,,199.00M,214.45M,806.00M,353.00M,453.00M,2.36,,,,2.542,2.36,2.33,,,,2.511,2.33,84.66M,85.59M
2017-06,1.597B,1.597B,942.00M,655.00M,218.00M,-33.00M,113.00M,-113.00M,,282.00M,373.00M,113.00M,-113.00M,-31.00M,-113.00M,229.00M,88.00M,141.00M,,,,,141.00M,161.33M,672.00M,330.00M,342.00M,1.67,,,,1.91,1.67,1.65,,,,1.8880000000000001,1.65,84.64M,85.41M
2017-03,1.356B,1.356B,842.00M,514.00M,193.00M,-2.00M,94.00M,-94.00M,,255.00M,259.00M,94.00M,-94.00M,-4.00M,-94.00M,161.00M,52.00M,109.00M,,,,,109.00M,110.35M,565.00M,310.00M,255.00M,1.29,,,,1.306,1.29,1.27,,,,1.286,1.27,84.46M,85.38M
2016-12,1.523B,1.523B,866.00M,657.00M,186.00M,-6.00M,162.00M,-162.00M,,249.00M,408.00M,162.00M,-162.00M,-4.00M,-162.00M,242.00M,89.00M,153.00M,,,,,153.00M,156.79M,722.00M,318.00M,404.00M,1.8130000000000002,,,,1.858,1.8130000000000002,1.8,,,,1.845,1.8,84.34M,85.23M
2016-09,1.508B,1.508B,852.00M,656.00M,179.00M,-4.00M,110.00M,-110.00M,,240.00M,416.00M,110.00M,-110.00M,-3.00M,-110.00M,303.00M,116.00M,187.00M,,,,,187.00M,189.47M,724.00M,311.00M,413.00M,2.18,,,,2.209,2.18,2.16,,,,2.189,2.16,85.94M,86.44M
2016-06,1.421B,1.421B,831.00M,590.00M,177.00M,-2.00M,132.00M,-132.00M,,241.00M,349.00M,132.00M,-132.00M,,-132.00M,217.00M,83.00M,134.00M,,,,,134.00M,135.24M,655.00M,306.00M,349.00M,1.52,,,,1.534,1.52,1.52,,,,1.534,1.52,88.10M,88.47M
2016-03,1.31B,1.31B,810.00M,500.00M,177.00M,-2.00M,107.00M,-107.00M,,244.00M,256.00M,107.00M,-107.00M,-2.00M,-107.00M,147.00M,55.00M,92.00M,,,,,92.00M,93.25M,564.00M,310.00M,254.00M,1.01,,,,1.024,1.01,1.01,,,,1.024,1.01,90.51M,90.94M
2015-12,1.523B,1.523B,875.00M,648.00M,180.00M,-5.00M,107.00M,-107.00M,,246.00M,402.00M,107.00M,-107.00M,-3.00M,-107.00M,292.00M,123.00M,169.00M,,,,,169.00M,172.00M,717.00M,318.00M,399.00M,1.8230000000000002,,,,1.855,1.8230000000000002,1.81,,,,1.8419999999999999,1.81,92.70M,93.66M
2015-09,1.55B,1.55B,860.00M,690.00M,178.00M,,107.00M,-107.00M,,244.00M,446.00M,107.00M,-107.00M,1.00M,-107.00M,340.00M,125.00M,215.00M,,,,,215.00M,215.00M,762.00M,315.00M,447.00M,2.28,,,,2.28,2.28,2.25,,,,2.25,2.25,94.21M,95.19M
2015-06,1.429B,1.429B,811.00M,618.00M,175.00M,-1.00M,232.00M,-232.00M,,242.00M,376.00M,232.00M,-232.00M,5.00M,-232.00M,149.00M,63.00M,86.00M,,,,,86.00M,86.60M,688.00M,307.00M,381.00M,0.89,,,,0.8962,0.89,0.88,,,,0.8861,0.88,96.65M,97.75M
2015-03,1.315B,1.315B,791.00M,524.00M,181.00M,26.00M,121.00M,-121.00M,,250.00M,274.00M,121.00M,-121.00M,29.00M,-121.00M,182.00M,67.00M,115.00M,,,,,115.00M,98.57M,607.00M,304.00M,303.00M,1.19,,,,1.021,1.19,1.16,,,,0.9941,1.16,97.01M,99.06M
2014-12,1.564B,1.564B,857.00M,707.00M,209.00M,1.00M,119.00M,-119.00M,,282.00M,425.00M,119.00M,-119.00M,5.00M,-119.00M,311.00M,117.00M,194.00M,,,,,194.00M,193.38M,742.00M,312.00M,430.00M,1.97,,,,1.964,1.97,1.86,,,,1.854,1.86,99.21M,103.64M
2014-09,1.544B,1.544B,856.00M,688.00M,194.00M,-2.00M,124.00M,-124.00M,,264.00M,424.00M,124.00M,-124.00M,3.00M,-124.00M,303.00M,111.00M,192.00M,,,,,192.00M,193.27M,733.00M,306.00M,427.00M,1.95,,,,1.963,1.95,1.84,,,,1.8519999999999999,1.84,98.48M,104.08M
2014-06,1.399B,1.399B,810.00M,589.00M,187.00M,-7.00M,187.00M,-187.00M,,257.00M,332.00M,187.00M,-187.00M,-3.00M,-187.00M,142.00M,48.00M,94.00M,,,,,94.00M,98.63M,628.00M,299.00M,329.00M,0.98,,,,1.028,0.98,0.9,,,,0.9439,0.9,97.00M,105.59M
2014-03,1.178B,1.178B,730.00M,448.00M,168.00M,-2.00M,125.00M,-125.00M,,228.00M,220.00M,125.00M,-125.00M,-1.00M,-125.00M,94.00M,34.00M,60.00M,,,,,60.00M,61.28M,496.00M,277.00M,219.00M,0.63,,,,0.6434,0.63,0.56,,,,0.572,0.56,95.22M,106.42M
2013-12,1.338B,1.338B,771.00M,567.00M,163.00M,-1.00M,118.00M,-118.00M,,224.00M,343.00M,118.00M,-118.00M,1.00M,-118.00M,226.00M,86.00M,140.00M,,,,,140.00M,140.62M,628.00M,284.00M,344.00M,1.49,,,,1.4969999999999999,1.49,1.31,,,,1.3159999999999998,1.31,93.30M,106.35M
2013-09,1.311B,1.311B,747.00M,564.00M,167.00M,-1.00M,121.00M,-121.00M,,226.00M,338.00M,121.00M,-121.00M,1.00M,-121.00M,218.00M,75.00M,143.00M,,,,,143.00M,143.66M,617.00M,278.00M,339.00M,1.53,,,,1.537,1.53,1.35,,,,1.3559999999999999,1.35,93.24M,105.55M
2013-06,1.206B,1.206B,735.00M,471.00M,152.00M,-7.00M,119.00M,-119.00M,,214.00M,257.00M,119.00M,-119.00M,-7.00M,-119.00M,131.00M,48.00M,83.00M,,,,,83.00M,87.44M,520.00M,270.00M,250.00M,0.89,,,,0.9373,0.89,0.78,,,,0.8216,0.78,93.90M,106.72M
2013-03,1.10B,1.10B,715.00M,385.00M,160.00M,-12.00M,120.00M,-120.00M,,224.00M,161.00M,120.00M,-120.00M,-11.00M,-120.00M,30.00M,9.00M,21.00M,,,,,21.00M,29.40M,416.00M,266.00M,150.00M,0.22,,,,0.31,0.22,0.19,,,,0.269,0.19,93.31M,106.38M
2012-12,1.249B,1.249B,754.00M,495.00M,176.00M,-19.00M,197.00M,-197.00M,,240.00M,255.00M,197.00M,-197.00M,-19.00M,-197.00M,39.00M,-2.00M,41.00M,,,,,41.00M,53.35M,508.00M,272.00M,236.00M,0.4423,0.0,,,0.5754,0.4423,0.4,0.0,,,0.5177,0.4,92.80M,104.89M
2012-09,1.219B,1.219B,714.00M,505.00M,164.00M,-48.00M,128.00M,-128.00M,,235.00M,270.00M,128.00M,-128.00M,-48.00M,-128.00M,94.00M,21.00M,73.00M,,,,,73.00M,110.30M,497.00M,275.00M,222.00M,0.78,,,,1.183,0.78,0.7,,,,1.054,0.7,92.54M,105.27M
2012-06,993.00M,993.00M,619.00M,374.00M,146.00M,-133.00M,122.00M,-122.00M,,195.00M,179.00M,122.00M,-122.00M,-121.00M,-122.00M,-64.00M,-12.00M,-52.00M,,,,,-52.00M,56.00M,279.00M,221.00M,58.00M,-0.63,,,,0.6675,-0.63,-0.63,,,,0.6675,-0.63,83.23M,83.23M
2012-03,656.00M,656.00M,443.00M,213.00M,102.00M,-10.00M,69.00M,-69.00M,,116.00M,97.00M,69.00M,-69.00M,-9.00M,-69.00M,19.00M,6.00M,13.00M,,,,,13.00M,19.84M,217.00M,129.00M,88.00M,0.21,,,,0.3183,0.21,0.17,,,,0.2597,0.17,63.13M,76.27M
2011-12,746.00M,746.00M,471.00M,275.00M,109.00M,-35.00M,60.00M,-60.00M,,127.00M,148.00M,60.00M,-60.00M,-32.00M,-60.00M,56.00M,28.00M,28.00M,,,,,29.00M,50.75M,245.00M,129.00M,116.00M,0.44,,,,0.8026,0.45,0.38,,,,0.6912,0.39,62.75M,73.09M
2011-09,713.00M,713.00M,439.00M,274.00M,103.00M,-4.00M,58.00M,-58.00M,,116.00M,158.00M,58.00M,-58.00M,-4.00M,-58.00M,96.00M,31.00M,65.00M,0.00,,,,65.00M,67.71M,277.00M,123.00M,154.00M,1.04,0.0,,,1.083,1.04,0.91,0.0,,,0.9469,0.91,62.64M,73.33M
2011-06,629.00M,629.00M,418.00M,211.00M,100.00M,1.00M,59.00M,-59.00M,,114.00M,97.00M,59.00M,-59.00M,1.00M,-59.00M,39.00M,11.00M,28.00M,-1.00M,,,,27.00M,27.28M,215.00M,117.00M,98.00M,0.45,-0.01,,,0.4385,0.44,0.38,-0.01,,,0.3703,0.37,62.48M,74.05M
2011-03,523.00M,523.00M,385.00M,138.00M,95.00M,0.00,,-58.00M,,107.00M,31.00M,,-58.00M,,-58.00M,-27.00M,-7.00M,-20.00M,,,,,-20.00M,-20.00M,142.00M,111.00M,31.00M,-0.34,0.0,,,-0.34,-0.34,-0.34,0.0,,,-0.34,-0.34,60.85M,60.85M
2010-12,597.00M,597.00M,422.00M,175.00M,96.00M,-18.00M,,-87.00M,,113.00M,62.00M,,-87.00M,-15.00M,-87.00M,-40.00M,-23.00M,-17.00M,-4.00M,,,,-21.00M,-5.30M,148.00M,117.00M,31.00M,-0.29,-0.06,,,-0.0968,-0.35,-0.29,-0.06,,,-0.0968,-0.35,60.57M,60.57M
2010-09,605.00M,605.00M,396.00M,209.00M,95.00M,-5.00M,,-57.00M,,109.00M,100.00M,,-57.00M,-5.00M,-57.00M,38.00M,15.00M,23.00M,0.00,,,,23.00M,26.03M,212.00M,112.00M,100.00M,0.37,0.0,,,0.42,0.37,0.33,0.0,,,0.3742,0.33,60.53M,68.53M
2010-06,557.00M,557.00M,386.00M,171.00M,90.00M,-6.00M,,-56.00M,,106.00M,65.00M,,-56.00M,-6.00M,-56.00M,3.00M,-9.00M,12.00M,0.00,,,,12.00M,15.90M,176.00M,111.00M,65.00M,0.2,0.0,,,0.2645,0.2,0.18,0.0,,,0.2376,0.18,60.49M,67.69M
2010-03,478.00M,478.00M,375.00M,103.00M,86.00M,-5.00M,,-63.00M,,99.00M,4.00M,,-63.00M,-5.00M,-63.00M,-64.00M,-24.00M,-40.00M,,,,,-40.00M,-36.88M,113.00M,109.00M,4.00M,-0.67,0.0,,,-0.6181,-0.67,-0.67,0.0,,,-0.6181,-0.67,60.23M,60.23M
2009-12,557.00M,557.00M,412.00M,145.00M,100.00M,-5.00M,,-74.00M,,115.00M,30.00M,,-74.00M,-5.00M,-74.00M,-49.00M,-25.00M,-24.00M,,,,,-26.00M,-20.75M,146.00M,116.00M,30.00M,-0.38,-0.04,,,-0.326,-0.42,-0.38,-0.04,,,-0.326,-0.42,60.16M,60.16M
2009-09,592.00M,592.00M,412.00M,180.00M,99.00M,0.00,,-64.00M,,112.00M,68.00M,,-64.00M,,-64.00M,4.00M,4.00M,0.00,,,,,0.00,0.00,181.00M,113.00M,68.00M,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,60.13M,60.73M
2009-06,615.00M,615.00M,474.00M,141.00M,101.00M,-22.00M,,-32.00M,,116.00M,25.00M,,-32.00M,-22.00M,-32.00M,-29.00M,-12.00M,-17.00M,,,,,-17.00M,-2.70M,150.00M,125.00M,25.00M,-0.28,0.0,,,-0.0422,-0.28,-0.28,0.0,,,-0.0422,-0.28,60.12M,60.12M
2009-03,594.00M,594.00M,450.00M,144.00M,108.00M,-3.00M,52.00M,-52.00M,,122.00M,22.00M,52.00M,-52.00M,-3.00M,-52.00M,-33.00M,-14.00M,-19.00M,,,,,-19.00M,-17.05M,139.00M,120.00M,19.00M,-0.32,0.0,,,-0.2875,-0.32,-0.32,0.0,,,-0.2875,-0.32,59.99M,59.99M
2008-12,791.00M,791.00M,539.00M,252.00M,133.00M,-1.153B,,,,133.00M,119.00M,,,-1.153B,,-1.065B,-212.00M,-853.00M,,,,0.00,-853.00M,70.48M,-924.00M,124.00M,-1.048B,-11.5,0.0,,,3.9610000000000003,-11.5,-11.5,0.0,,,3.9610000000000003,-11.5,59.73M,59.73M
2008-09,873.00M,873.00M,538.00M,335.00M,133.00M,1.00M,,,,147.00M,188.00M,,,1.00M,,117.00M,43.00M,74.00M,,,,,74.00M,73.37M,328.00M,140.00M,188.00M,1.11,0.0,,,1.101,1.11,0.98,0.0,,,0.9705,0.98,66.67M,66.67M
2008-06,831.00M,831.00M,545.00M,286.00M,142.00M,-2.00M,,-51.00M,,157.00M,129.00M,,-51.00M,-2.00M,-51.00M,76.00M,39.00M,37.00M,,,,239.00M,37.00M,38.30M,255.00M,126.00M,129.00M,-2.33,0.0,,,-2.315,-2.33,-2.33,0.0,,,-2.315,-2.33,86.42M,86.42M
2008-03,772.00M,772.00M,523.00M,249.00M,129.00M,-3.00M,43.00M,-43.00M,,144.00M,105.00M,43.00M,-43.00M,-3.00M,-43.00M,59.00M,21.00M,38.00M,,,,,38.00M,39.93M,225.00M,123.00M,102.00M,0.37,0.0,,,0.3924,0.37,0.34,0.0,,,0.3573,0.34,86.33M,111.76M
2007-12,925.00M,925.00M,586.00M,339.00M,152.00M,112.00M,,,,168.00M,171.00M,,,112.00M,,240.00M,87.00M,153.00M,0.00,,,,160.00M,88.60M,400.00M,113.00M,287.00M,1.51,-0.01,,,0.8179,1.5,1.39,-0.01,,,0.9331,1.38,103.17M,156.28M
2007-09,990.00M,990.00M,611.00M,379.00M,150.00M,2.00M,,,,163.00M,216.00M,,,2.00M,,172.00M,61.00M,111.00M,1.00M,,,,112.00M,109.71M,344.00M,128.00M,216.00M,1.09,0.01,,,1.077,1.1,0.97,0.01,,,0.9572,0.98,101.14M,101.14M
2007-06,962.00M,962.00M,630.00M,332.00M,147.00M,2.00M,,,,160.00M,172.00M,,,2.00M,,116.00M,49.00M,67.00M,,,,,67.00M,65.70M,301.00M,129.00M,172.00M,0.68,0.0,,,0.6642,0.68,0.6,0.0,,,0.5887,0.6,82.18M,114.97M
2007-03,838.00M,838.00M,580.00M,258.00M,147.00M,,,,,159.00M,99.00M,,,,,50.00M,18.00M,32.00M,-2.00M,,,,30.00M,32.00M,220.00M,121.00M,99.00M,0.33,-0.02,,,0.33,0.31,0.3,-0.02,,,0.3,0.28,96.77M,96.77M
2006-12,939.00M,939.00M,592.00M,347.00M,160.00M,,,,,173.00M,174.00M,,,,,121.00M,44.00M,77.00M,-24.00M,,,,53.00M,77.00M,282.00M,108.00M,174.00M,0.8,-0.25,,,0.8,0.55,0.8,-0.2956,,,0.8,0.55,96.61M,96.61M
2006-09,983.00M,983.00M,612.00M,371.00M,156.00M,,,,,166.00M,205.00M,,,,,144.00M,56.00M,88.00M,7.00M,,,,95.00M,88.00M,331.00M,126.00M,205.00M,0.9,0.07,,,0.9,0.97,0.79,0.06,,,0.79,0.85,97.94M,97.94M
2006-06,919.00M,919.00M,598.00M,321.00M,151.00M,1.00M,,,,168.00M,153.00M,,,1.00M,,100.00M,41.00M,59.00M,-3.00M,,,,56.00M,58.40M,276.00M,123.00M,153.00M,0.62,-0.03,,,0.6137,0.59,0.54,-0.03,,,0.5337,0.51,94.92M,94.92M
2006-03,799.00M,799.00M,549.00M,250.00M,146.00M,,,,,156.00M,94.00M,,,,,40.00M,15.00M,25.00M,-5.00M,,,,20.00M,25.00M,205.00M,111.00M,94.00M,0.26,-0.05,,,0.26,0.21,0.23,-0.05,,,0.23,0.19,95.24M,95.24M
2005-12,688.00M,688.00M,393.00M,295.00M,134.00M,0.00,,,,144.00M,151.00M,,,0.00,,104.00M,40.00M,64.00M,,,,,49.00M,64.00M,241.00M,90.00M,151.00M,0.68,-0.16,,,0.68,0.52,0.6339,,,,0.6339,0.52,93.74M,93.74M
2005-09,980.00M,980.00M,634.00M,346.00M,162.00M,5.00M,,,,172.00M,174.00M,,,5.00M,,126.00M,50.00M,76.00M,,,,,76.00M,72.98M,290.00M,116.00M,174.00M,0.8,0.0,,,0.7683,0.8,0.71,0.0,,,0.6783,0.71,95.00M,95.00M
2005-06,888.00M,888.00M,605.00M,283.00M,136.00M,-3.00M,,,,151.00M,132.00M,,,-3.00M,,82.00M,32.00M,50.00M,,,,,50.00M,51.83M,247.00M,115.00M,132.00M,0.53,0.0,,,0.5494,0.53,0.48,0.0,,,0.4994,0.48,94.34M,94.34M
2005-03,732.00M,732.00M,436.00M,296.00M,122.00M,,,,-96.00M,136.00M,160.00M,,,,,19.00M,7.00M,12.00M,,,,,12.00M,12.00M,271.00M,111.00M,160.00M,0.12,0.0,,,0.12,0.12,0.11,0.0,,,0.11,0.11,100.00M,100.00M
2004-12,563.00M,563.00M,616.00M,-53.00M,96.00M,311.00M,,,,-51.00M,-2.00M,,,311.00M,,233.00M,47.00M,186.00M,,,,,30.00M,-62.27M,121.00M,123.00M,-2.00M,0.3853,,,,-2.803,0.3853,0.3853,,,,-2.803,0.3853,77.86M,77.86M
2004-09,858.00M,858.00M,462.00M,396.00M,123.00M,-140.00M,,,44.00M,278.00M,118.00M,,,-140.00M,,-17.00M,29.00M,-46.00M,,,,,-46.00M,38.00M,234.00M,116.00M,118.00M,-0.58,0.0,,,0.4791,-0.58,-0.58,0.0,,,0.4791,-0.58,79.31M,79.31M
2004-06,771.00M,771.00M,434.00M,337.00M,115.00M,-12.00M,,,-92.00M,131.00M,206.00M,,,-12.00M,,64.00M,24.00M,40.00M,,,,,40.00M,47.50M,317.00M,111.00M,206.00M,0.42,0.0,,,0.4988,0.42,0.39,0.0,,,0.4688,0.39,95.24M,95.24M
2004-03,643.00M,643.00M,390.00M,253.00M,115.00M,-161.00M,,,-90.00M,132.00M,121.00M,,,-161.00M,,-180.00M,-72.00M,-108.00M,,,,,-108.00M,-11.40M,238.00M,117.00M,121.00M,-1.39,0.0,,,-0.1467,-1.39,-1.39,0.0,,,-0.1467,-1.39,77.70M,77.70M
2003-12,756.96M,756.96M,528.46M,228.50M,113.19M,-428.83M,,,286.89M,430.68M,-202.18M,,,-428.83M,,-383.34M,-82.78M,-300.55M,,,,,-300.55M,35.67M,-97.48M,104.70M,-202.18M,-3.28,-0.63,,,0.7436,-3.91,-3.28,-0.63,,,0.7436,-3.91,83.56M,83.56M
2003-09,805.13M,805.13M,460.85M,344.28M,127.49M,0.223M,,,-85.72M,145.15M,199.13M,,,0.223M,,56.58M,24.70M,31.88M,,,,,31.88M,31.75M,317.01M,117.88M,199.13M,0.43,0.0,,,0.4282,0.43,0.34,0.0,,,0.3386,0.34,74.15M,93.78M
2003-06,728.06M,728.06M,422.57M,305.49M,111.56M,1.502M,,,-82.42M,128.43M,177.06M,,,1.502M,,38.05M,14.66M,23.39M,,,,,23.39M,22.47M,288.29M,111.23M,177.06M,0.3,0.0,,,0.2882,0.3,0.25,0.0,,,0.2401,0.25,77.97M,93.56M
2003-03,591.85M,591.85M,357.12M,234.73M,96.76M,0.106M,,,-80.74M,113.74M,120.99M,,,0.106M,,-14.30M,-5.577M,-8.723M,,,,,-8.723M,-8.788M,218.71M,95.19M,120.99M,-0.11,0.0,,,-0.1108,-0.11,-0.11,0.0,,,-0.1108,-0.11,79.30M,79.30M
2002-12,694.17M,694.17M,415.21M,278.97M,127.06M,-339.55M,,,227.82M,393.36M,-114.39M,,,-339.55M,,-280.01M,-62.55M,-217.46M,,0.339M,,,-217.13M,46.24M,-12.39M,102.00M,-114.39M,-1.68,3.1,0.0,,0.8045,-2.38,-1.68,3.1,0.3549,,0.8045,-2.38,106.14M,106.14M
2002-09,783.10M,783.10M,453.15M,329.95M,110.92M,0.221M,,,-84.21M,125.88M,204.07M,,,0.221M,,66.79M,26.02M,40.77M,,,,,40.77M,40.63M,316.05M,111.98M,204.07M,0.53,0.0,,,0.5282,0.53,0.43,0.0,,,0.4286,0.43,76.92M,94.81M
2002-06,744.76M,744.76M,410.94M,333.82M,106.52M,3.048M,,,-80.56M,120.38M,213.44M,,,3.048M,,83.79M,32.68M,51.11M,,,,,51.11M,49.25M,307.86M,87.29M,213.44M,0.67,0.0,,,0.6456,0.67,0.51,0.0,,,0.4909,0.51,76.29M,97.48M
2002-03,598.96M,598.96M,341.71M,257.26M,98.50M,0.28M,,,-78.05M,112.38M,144.88M,,,0.28M,,12.43M,4.848M,7.584M,,-288.34M,,,-280.76M,7.413M,239.61M,94.73M,144.88M,0.1,-3.92,-0.0,,0.0977,-3.82,0.08,-3.92,-3.9219999999999997,,0.0782,-3.82,73.52M,97.34M
2001-12,704.00M,704.00M,698.27M,5.736M,109.08M,0.076M,,,,135.55M,-129.82M,,,0.076M,,55.00M,22.82M,32.17M,,,,,32.17M,32.13M,-19.74M,110.08M,-129.82M,0.44,0.0,,,0.4394,0.44,0.34,0.0,,,0.3395,0.34,73.30M,94.70M
2001-09,795.48M,795.48M,408.73M,386.75M,110.96M,0.438M,,,-81.51M,138.01M,248.74M,,,0.438M,,106.07M,44.02M,62.05M,,,,,62.05M,61.79M,359.58M,110.84M,248.74M,0.85,0.0,,,0.8464,0.85,0.63,0.0,,,0.6272,0.63,73.00M,94.61M
2001-06,768.01M,768.01M,400.40M,367.62M,112.82M,-36.53M,,,-81.55M,139.95M,227.66M,,,-36.53M,,47.65M,22.71M,24.94M,,,,,13.62M,46.85M,339.80M,112.14M,227.66M,0.35,-0.16,,-0.1579,0.6558,0.19,0.26,-0.16,,-0.1579,0.5169,0.14,71.67M,85.30M
2001-03,619.10M,619.10M,339.74M,279.37M,108.89M,0.67M,,,-76.80M,135.00M,144.37M,,,0.67M,,5.832M,2.42M,3.412M,,,,,3.412M,3.01M,247.28M,100.84M,144.37M,0.05,0.0,,,0.0441,0.05,0.04,0.0,,,0.0353,0.04,68.24M,85.30M
