,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2000-12,1.21B,1.21B,28.00M,360.00M,388.00M,,,,388.00M,55.00M,702.00M,397.00M,131.00M,266.00M,,,,,266.00M,270.69M,95.00M,1.347B,,0.63,0.00,,,0.6410,0.63,,0.62,0.00,,,0.6309,0.62,,425.00M,430.60M,0.28,,,
2000-09,1.089B,1.089B,29.00M,342.00M,371.00M,,,,371.00M,-50.00M,684.00M,171.00M,50.00M,121.00M,,,,,121.00M,122.42M,96.00M,1.083B,,0.28,0.00,,,0.2833,0.28,,0.28,0.00,,,0.2833,0.28,,429.58M,431.97M,0.28,,,
2000-06,1.148B,1.148B,31.00M,361.00M,392.00M,,,,392.00M,2.00M,673.00M,382.00M,134.00M,248.00M,,,,,248.00M,248.00M,95.00M,1.249B,,0.57,0.00,,,0.57,0.57,,0.57,0.00,,,0.57,0.57,,434.11M,436.02M,0.28,,,
2000-03,1.477B,1.477B,22.00M,382.00M,404.00M,,,,404.00M,1.00M,671.00M,567.00M,200.00M,367.00M,,,,,367.00M,152.11M,96.00M,1.385B,,0.83,0.00,,,0.3436,0.83,,0.83,0.00,,,0.3457,0.83,,441.83M,443.76M,0.28,,,
1999-12,1.377B,1.377B,22.00M,378.00M,400.00M,,,,400.00M,3.00M,705.00M,409.00M,145.00M,264.00M,,,,,264.00M,138.78M,98.00M,1.193B,,0.59,0.00,,,0.3095,0.59,,0.59,0.00,,,0.3115,0.59,,446.38M,449.65M,0.26,,,
1999-09,1.196B,1.196B,35.00M,349.00M,384.00M,,,,384.00M,2.00M,700.00M,410.00M,140.00M,270.00M,,,,,270.00M,240.37M,100.00M,1.143B,,0.60,0.00,,,0.5340,0.60,,0.60,0.00,,,0.5346,0.60,,448.74M,452.89M,0.26,,,
1999-06,1.229B,1.229B,24.00M,383.00M,407.00M,,,,407.00M,20.00M,697.00M,430.00M,150.00M,280.00M,,,,,280.00M,280.00M,99.00M,1.125B,,0.63,0.00,,,0.63,0.63,,0.62,0.00,,,0.62,0.62,,444.44M,451.61M,0.26,,,
1999-03,1.30B,1.30B,25.00M,372.00M,397.00M,,,,397.00M,4.00M,685.00M,435.00M,142.00M,293.00M,,,,,293.00M,193.31M,99.00M,1.131B,,0.65,0.00,,,0.4289,0.65,,0.65,0.00,,,0.4289,0.65,,450.77M,450.77M,0.26,,,
1998-12,,,,,,,,,,,,,,260.00M,,,,,260.00M,260.00M,88.00M,,,0.57,0.00,,,0.57,0.57,,0.57,0.00,,,0.57,0.57,,453.29M,453.29M,0.235,,,
1998-09,1.073B,1.073B,25.00M,317.00M,342.00M,,,,342.00M,,681.00M,374.00M,122.00M,252.00M,,,,,252.00M,252.00M,118.00M,1.108B,,0.57,0.00,,,0.57,0.57,,0.57,0.00,,,0.57,0.57,,442.11M,442.11M,0.235,,,
1998-06,1.06B,1.06B,28.00M,302.00M,330.00M,,,,330.00M,2.00M,680.00M,372.00M,123.00M,249.00M,,,,,249.00M,249.00M,64.00M,1.064B,,0.57,0.00,,,0.57,0.57,,0.56,0.00,,,0.56,0.56,,436.84M,444.64M,0.235,,,
1998-03,1.02B,1.02B,28.00M,294.00M,322.00M,,,,322.00M,2.00M,664.00M,343.00M,108.00M,235.00M,,,,,235.00M,215.13M,58.00M,1.006B,,0.53,0.00,,,0.4847,0.53,,0.53,0.00,,,0.4853,0.53,,438.59M,444.84M,0.235,,,
1997-12,,,,,,,,,,,,,,248.00M,,,,,248.00M,248.00M,62.00M,,,0.56,0.00,,,0.56,0.56,,0.56,0.00,,,0.56,0.56,,443.17M,443.17M,0.21,,,
1997-09,1.097B,1.097B,22.00M,299.00M,321.00M,,,,321.00M,,704.00M,347.00M,111.00M,236.00M,,,,,236.00M,236.00M,60.00M,990.00M,,0.54,0.00,,,0.54,0.54,,0.53,0.00,,,0.53,0.53,,437.04M,445.28M,0.21,,,
1997-06,984.00M,984.00M,22.00M,283.00M,305.00M,,,,305.00M,,696.00M,327.00M,104.00M,223.00M,,,,,223.00M,216.18M,60.00M,926.00M,,0.51,0.00,,,0.4944,0.51,,0.51,0.00,,,0.4946,0.51,,437.95M,442.48M,0.21,,,
1997-03,948.00M,948.00M,21.00M,290.00M,311.00M,,,,311.00M,,689.00M,306.00M,94.00M,212.00M,,,,,212.00M,212.00M,60.00M,872.00M,,0.48,0.00,,,0.48,0.48,,0.47,0.00,,,0.47,0.47,,443.34M,448.56M,0.21,,,
1996-12,968.00M,968.00M,,301.00M,301.00M,,,,301.00M,0.00,683.00M,211.00M,60.00M,151.00M,,,,8.00M,151.00M,151.00M,60.00M,771.00M,,0.335,0.00,,,0.335,0.335,,0.335,0.00,,,0.335,0.335,,452.57M,465.67M,0.19,,,
1996-09,972.00M,972.00M,,300.00M,300.00M,,,,300.00M,,683.00M,308.00M,101.00M,207.00M,,,,,207.00M,207.00M,56.00M,863.00M,,0.45,0.00,,,0.45,0.45,,0.45,0.00,,,0.45,0.45,,460.00M,460.00M,0.19,,,
1996-06,946.00M,946.00M,,298.00M,298.00M,,,,298.00M,1.00M,682.00M,320.00M,103.00M,217.00M,,,,4.00M,217.00M,217.00M,58.00M,872.00M,,0.46,0.00,,,0.46,0.46,,0.46,0.00,,,0.46,0.46,,463.04M,463.04M,0.19,,,
1996-03,918.00M,918.00M,,291.00M,291.00M,,,,291.00M,,669.00M,304.00M,96.00M,208.00M,,,,4.00M,208.00M,208.00M,56.00M,871.00M,,0.44,0.00,,,0.44,0.44,,0.43,0.00,,,0.43,0.43,,463.64M,474.42M,0.19,,,
1995-12,963.90M,963.90M,,285.80M,356.80M,,,,356.80M,1.20M,659.80M,308.00M,101.50M,206.50M,,,,8.00M,206.70M,206.50M,51.20M,926.10M,,0.43,0.00,,0.0007,0.43,0.43,,0.41,0.00,,-0.0002,0.41,0.41,,462.14M,484.01M,0.18,,,
1995-09,901.10M,901.10M,,278.70M,278.70M,,,,278.70M,0.20M,666.10M,313.20M,103.60M,209.60M,,,,,209.60M,198.56M,46.50M,945.90M,,0.45,0.00,,,0.4263,0.45,,0.45,0.00,,,0.4263,0.45,,465.78M,465.78M,0.18,,,
1995-06,889.20M,889.20M,,270.60M,270.60M,,,,270.60M,2.50M,666.30M,300.30M,101.30M,199.00M,,,,4.00M,199.00M,189.33M,67.40M,932.90M,,0.42,0.00,,,0.3992,0.42,,0.42,0.00,,,0.3992,0.42,,464.29M,464.29M,0.18,,,
1995-03,814.80M,814.80M,,279.90M,279.90M,,,,279.90M,-44.90M,643.80M,235.50M,61.60M,173.90M,,,,4.00M,209.70M,160.83M,49.90M,837.10M,,0.36,0.08,,0.0766,0.3320,0.44,,0.36,0.08,,0.0766,0.3320,0.44,,467.50M,467.50M,0.18,,,
1994-12,870.50M,870.50M,,252.10M,252.10M,,,,252.10M,-61.00M,665.20M,288.80M,95.00M,193.80M,,,,,193.80M,193.80M,62.00M,815.40M,,0.395,0.00,,,0.395,0.395,,0.395,0.00,,,0.395,0.395,,456.49M,496.02M,0.16,,,
1994-09,902.90M,902.90M,,264.90M,264.90M,,,,264.90M,,679.60M,345.60M,116.30M,229.30M,,,,,229.30M,227.97M,96.40M,816.70M,,0.46,0.00,,,0.4573,0.46,,0.46,0.00,,,0.4573,0.46,,498.48M,498.48M,0.16,,,
1994-06,907.80M,907.80M,,267.30M,267.30M,,,,267.30M,22.20M,680.30M,334.10M,112.30M,221.80M,,,,,221.80M,221.34M,6.50M,756.40M,,0.45,0.00,,,0.4491,0.45,,0.45,0.00,,,0.4491,0.45,,492.89M,492.89M,0.16,,,
1994-03,894.60M,894.60M,,275.60M,275.60M,,,,275.60M,76.30M,591.70M,315.00M,106.40M,208.60M,,,,,208.60M,204.36M,52.80M,691.90M,,0.43,0.00,,,0.4119,0.43,,0.43,0.00,,,0.4119,0.43,,234.75M,234.75M,0.16,,,
1993-12,411.30M,411.30M,,134.20M,134.20M,,,,134.20M,29.10M,297.60M,86.80M,29.70M,57.10M,,,,60.20M,57.10M,57.10M,22.30M,249.30M,,0.22,0.00,,,0.22,0.22,,0.21,0.00,,,0.21,0.21,,234.75M,234.75M,0.14,,,
1993-09,465.00M,465.00M,,131.70M,131.70M,,,,131.70M,25.10M,294.10M,163.10M,64.90M,98.20M,,,,,98.20M,80.50M,46.10M,326.90M,,0.42,0.00,,,0.3443,0.42,,0.42,0.00,,,0.3443,0.42,,233.81M,233.81M,0.14,,,
1993-06,418.40M,418.40M,,122.30M,122.30M,,,,122.30M,0.10M,304.00M,143.30M,46.40M,96.90M,,,,1.60M,96.90M,96.90M,24.70M,314.00M,,0.41,0.00,,,0.41,0.41,,0.41,0.00,,,0.41,0.41,,232.44M,232.44M,0.14,,,
1993-03,414.20M,414.20M,,118.60M,118.60M,,,,118.60M,1.20M,303.30M,141.50M,46.50M,95.00M,,,,1.00M,95.00M,95.00M,22.30M,316.80M,,0.40,0.00,,,0.40,0.40,,0.40,0.00,,,0.40,0.40,,235.00M,235.00M,0.14,,,
1992-12,398.60M,398.60M,,112.40M,112.40M,,,,112.40M,0.20M,290.90M,126.50M,40.00M,86.50M,,,,,86.50M,86.50M,31.80M,299.30M,,0.31,0.00,,,0.31,0.31,,0.30,0.00,,,0.30,0.30,,280.04M,288.33M,0.1225,,,
1992-09,405.70M,405.70M,,119.30M,119.30M,,,,119.30M,,281.50M,122.10M,39.30M,82.80M,,,,,82.80M,82.12M,24.30M,298.40M,,0.35,0.00,,,0.3471,0.35,,0.35,0.00,,,0.3471,0.35,,236.57M,236.57M,0.1225,,,
1992-06,421.80M,421.80M,,122.00M,122.00M,,,,122.00M,0.40M,278.00M,128.00M,40.30M,87.70M,,,,,87.70M,73.93M,19.60M,325.40M,,0.37,0.00,,,0.3119,0.37,,0.37,0.00,,,0.3119,0.37,,237.03M,237.03M,0.1225,,,
1992-03,404.40M,404.40M,,120.30M,120.30M,,,,120.30M,8.20M,280.00M,62.00M,17.80M,44.20M,,,,1.60M,44.20M,44.20M,18.30M,288.50M,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,224.21M,224.21M,0.1225,,,
1991-12,37.10M,37.10M,,22.10M,22.10M,,,,22.10M,-1.30M,41.90M,35.80M,7.80M,28.00M,,,,0.50M,28.00M,28.00M,31.20M,-90.50M,,0.2082,,,,0.2082,0.2082,,0.2082,,,,0.2082,0.2082,,132.12M,132.12M,0.115,,,
1991-09,334.50M,334.50M,,95.20M,95.20M,,,,95.20M,1.50M,240.80M,79.00M,26.90M,52.10M,,,,0.50M,52.10M,52.10M,6.20M,378.90M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,198.46M,198.46M,0.115,,,
1991-06,286.10M,286.10M,,82.40M,82.40M,,,,82.40M,2.20M,213.90M,63.50M,19.50M,44.00M,,,,0.50M,44.00M,44.00M,5.60M,334.70M,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,189.13M,189.13M,0.115,,,
1991-03,254.20M,254.20M,,78.40M,78.40M,,,,78.40M,4.60M,190.20M,55.70M,16.80M,38.90M,,,,0.50M,38.90M,38.90M,6.00M,308.30M,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,166.96M,166.96M,0.115,,,
1990-12,225.40M,225.40M,,66.00M,66.00M,,,,66.00M,1.30M,162.60M,34.70M,-3.00M,37.70M,,0.00,,0.00,37.70M,37.70M,12.20M,244.30M,,0.28,0.00,0.00,,0.28,0.28,,0.28,0.00,-0.0001,,0.28,0.28,,134.56M,134.56M,0.11,,,
1990-09,216.30M,216.30M,,72.00M,72.00M,,,,72.00M,,155.60M,39.40M,-0.50M,39.90M,,,,,39.90M,39.90M,11.40M,257.80M,,0.31,0.00,,,0.31,0.31,,0.31,0.00,,,0.31,0.31,,128.71M,128.71M,0.11,,,
1990-06,211.20M,211.20M,,71.90M,71.90M,,,,71.90M,2.50M,153.60M,45.90M,6.00M,39.90M,,,,,39.90M,39.90M,9.50M,259.90M,,0.30,0.00,,,0.30,0.30,,0.30,0.00,,,0.30,0.30,,133.00M,133.00M,0.11,,,
1990-03,209.90M,209.90M,,72.30M,72.30M,,,,72.30M,4.00M,152.50M,42.20M,4.60M,37.60M,,2.70M,,0.50M,40.30M,37.60M,10.10M,262.80M,,0.27,0.02,0.00,,0.27,0.29,,0.27,0.02,0.0197,,0.27,0.29,,137.24M,137.24M,0.11,,,
1989-12,,,,,,,,,,,,,,26.20M,,,,,26.20M,,,,,,,,,,,,,,,,,,,86.99M,86.99M,0.10,,,
1989-09,,,,,,,,,,,,,,27.70M,,,,,27.70M,,,,,0.30,0.00,,,0.30,0.30,,0.30,0.00,,,0.30,0.30,,88.13M,88.13M,0.10,,,
1989-06,,,,,,,,,,,,,,28.70M,,,,,28.70M,,,,,0.30,0.00,,,0.30,0.30,,0.30,0.00,,,0.30,0.30,,97.19M,97.19M,,,,
1989-03,,,,,,,,,,,,,,27.40M,,,,,27.40M,,,,,0.29,0.00,,,0.29,0.29,,0.29,0.00,,,0.29,0.29,,88.71M,88.71M,0.10,,,
1988-12,,,,,,,,,,,,,,25.90M,,,,,25.90M,,,,,,,,,,,,,,,,,,,88.71M,88.71M,0.085,,,
1988-09,,,,,,,,,,,,,,26.50M,,,,,26.50M,,,,,0.28,0.00,,,0.28,0.28,,0.28,0.00,,,0.28,0.28,,88.46M,88.46M,0.085,,,
1988-06,,,,,,,,,,,,,,24.70M,,,,,24.70M,,,,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,88.46M,88.46M,,,,
1988-03,,,,,,,,,,,,,,23.00M,,,,,23.00M,,,,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,88.39M,88.39M,0.085,,,
1987-12,,,,,,,,,,,,,,22.50M,,,,,22.50M,,,,,,,,,,,,,,,,,,,88.18M,88.18M,0.075,,,
1987-09,,,,,,,,,,,,,,24.20M,,,,,24.20M,,,,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,90.27M,90.27M,0.075,,,
1987-06,,,,,,,,,,,,,,21.50M,,,,,21.50M,,,,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,89.92M,89.92M,,,,
1987-03,,,,,,,,,,,,,,22.60M,,,,,22.60M,,,,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,89.84M,89.84M,0.075,,,
1986-12,,,,,,,,,,,,,,21.30M,,,,,21.30M,,,,,,,,,,,,,,,,,,,94.47M,94.47M,0.06,,,
1986-09,,,,,,,,,,,,,,21.50M,,,,,21.50M,,,,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,89.50M,89.50M,0.06,,,
1986-06,,,,,,,,,,,,,,21.00M,,,,,21.00M,,,,,0.21,0.00,,,0.21,0.21,,0.21,0.00,,,0.21,0.21,,89.50M,89.50M,,,,
1986-03,,,,,,,,,,,,,,20.30M,,,,,20.30M,,,,,0.21,0.00,,,0.21,0.21,,0.21,0.00,,,0.21,0.21,,89.35M,89.35M,0.06,,,
1985-12,,,,,,,,,,,,,,22.20M,,,,,22.20M,,,,,,,,,,,,,,,,,,,88.55M,88.55M,0.0575,,,
1985-09,,,,,,,,,,,,,,14.30M,,,,,14.30M,,,,,0.18,0.00,,,0.18,0.18,,0.18,0.00,,,0.18,0.18,,88.51M,88.51M,0.0575,,,
1985-06,,,,,,,,,,,,,,12.90M,,,,,12.90M,,,,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,70.02M,70.02M,,,,
1985-03,,,,,,,,,,,,,,10.90M,,,,,10.90M,,,,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,69.86M,69.86M,0.0575,,,
1984-12,,,,,,,,,,,,,,12.50M,,,,,12.50M,,,,,,,,,,,,,,,,,,,69.86M,69.86M,,,,
1984-09,,,,,,,,,,,,,,12.40M,,,,,12.40M,,,,,0.18,0.00,,,0.18,0.18,,0.18,0.00,,,0.18,0.18,,69.79M,69.79M,,,,
1984-06,,,,,,,,,,,,,,11.30M,,,,,11.30M,,,,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,69.79M,69.79M,,,,
1984-03,,,,,,,,,,,,,,7.40M,,,,,7.40M,,,,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,69.79M,69.79M,,,,
