,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2015-03,255.13M,26.50M,26.50M,163.84M,,163.84M,163.84M,148.19M,,,-88.69M,-328.30M,68.17M,-59.50M,,,306.20M,-13.42M,491.54M,-362.59M,,-362.59M,,-2.005M,0.066M,-364.52M,50.42M,,50.42M,,,,-132.43M,-1.879M,-134.31M,-10.80M,-94.69M,38.70M,32.32M,71.03M,,450.00M,-399.58M,
2014-12,223.49M,24.76M,24.76M,158.43M,,158.43M,158.43M,378.50M,,,-368.23M,-55.68M,-14.16M,214.19M,,,-313.35M,-169.00M,247.96M,-486.25M,,-486.25M,,-11.16M,28.83M,-468.58M,354.17M,,354.17M,,,,-119.15M,-1.88M,-121.03M,-15.53M,217.62M,41.71M,-3.003M,38.70M,,75.00M,279.17M,
2014-09,236.49M,26.74M,26.74M,153.21M,,153.21M,153.21M,-68.39M,,,67.90M,-8.893M,-53.78M,43.51M,,,110.58M,91.41M,507.35M,-393.45M,,-393.45M,,-0.195M,-8.142M,-401.79M,19.00M,,19.00M,,,,-118.92M,-1.88M,-120.80M,3.842M,-97.96M,34.10M,7.61M,41.71M,,0.00,19.00M,
2014-06,129.25M,22.56M,22.56M,152.21M,,152.21M,152.21M,-4.268M,,,249.83M,124.65M,-48.41M,-166.86M,,,-56.10M,-146.71M,402.87M,-375.35M,,-375.35M,,3.241M,1.836M,-370.28M,34.85M,,34.85M,,,,-118.70M,-1.88M,-120.58M,-1.915M,-87.65M,89.15M,-55.05M,34.10M,,250.00M,-215.15M,
2014-03,237.84M,25.00M,25.00M,150.81M,,150.81M,150.81M,137.42M,,,44.57M,-182.22M,75.04M,53.90M,,,-48.56M,-101.83M,493.80M,-348.69M,,-348.69M,,-4.10M,1.637M,-351.15M,25.50M,,25.50M,,,,-118.46M,-1.879M,-120.34M,-2.017M,-96.86M,43.36M,45.79M,89.15M,,400.00M,-374.50M,
2013-12,179.28M,48.90M,48.90M,147.14M,,147.14M,147.14M,97.19M,,,-13.83M,-65.12M,-1.677M,57.89M,,,36.80M,27.90M,486.57M,-383.03M,,-383.03M,,1.089M,-0.306M,-382.24M,412.72M,-397.00M,15.72M,,,,-121.02M,-1.88M,-122.90M,-11.72M,-118.90M,57.94M,-14.58M,43.36M,,330.00M,-314.28M,
2013-09,211.38M,49.13M,49.13M,149.10M,,149.10M,149.10M,77.93M,,,-91.17M,2.797M,-24.10M,14.87M,,,18.00M,11.57M,407.94M,-373.51M,,-373.51M,,28.50M,3.844M,-341.16M,-651.96M,720.50M,68.54M,,,,-109.65M,-1.88M,-111.53M,-1.902M,-44.90M,36.06M,21.89M,57.94M,,0.00,68.54M,
2013-06,173.06M,44.57M,44.57M,159.55M,,159.55M,159.55M,87.36M,,,-64.03M,28.20M,-17.52M,-40.46M,,,-74.85M,-104.63M,295.88M,-311.30M,,-311.30M,,4.115M,36.28M,-270.91M,569.76M,-492.50M,77.26M,,,,-115.64M,-2.043M,-117.68M,-9.312M,-49.74M,60.82M,-24.76M,36.06M,,950.00M,-872.74M,
2013-03,229.97M,53.10M,53.10M,154.98M,,154.98M,154.98M,168.94M,,,107.55M,-129.43M,28.49M,-86.92M,,,-53.53M,-241.39M,473.14M,-388.95M,,-388.95M,,-85.96M,28.00M,-446.91M,337.47M,-228.00M,109.47M,,,,-116.43M,-1.879M,-118.31M,-2.322M,-11.16M,45.75M,15.07M,60.82M,,400.00M,-290.53M,
2012-12,176.60M,58.33M,58.33M,149.21M,,149.21M,149.21M,105.82M,,,-210.52M,7.463M,1.434M,79.97M,,,-3.075M,85.79M,365.22M,-390.52M,,-390.52M,,-11.48M,-4.582M,-406.59M,-40.78M,170.75M,129.97M,,,,-107.69M,-1.88M,-109.57M,-6.733M,13.66M,73.45M,-27.70M,45.75M,,720.75M,-590.78M,
2012-09,209.51M,62.83M,62.83M,144.47M,,144.47M,144.47M,126.67M,,,29.42M,-111.07M,-7.808M,-31.78M,,,53.35M,-97.31M,475.60M,-391.37M,,-391.37M,,-9.206M,28.99M,-371.59M,-58.65M,95.75M,37.10M,,,,-107.65M,-1.88M,-109.53M,13.38M,-59.05M,28.48M,44.97M,73.45M,,95.75M,-58.65M,
2012-06,46.22M,55.11M,55.11M,144.48M,,144.48M,144.48M,7.035M,,,-0.959M,54.12M,10.59M,13.70M,,,-18.71M,59.70M,311.59M,-386.08M,,-386.08M,,-10.02M,8.826M,-387.28M,-286.24M,215.50M,-70.74M,,,,-107.60M,-1.879M,-109.48M,1.013M,-179.20M,283.38M,-254.90M,28.48M,,215.50M,-286.24M,
2012-03,100.76M,42.27M,42.27M,80.84M,,80.84M,80.84M,52.47M,,,-108.19M,29.28M,30.11M,-190.23M,,,-28.48M,-159.33M,8.816M,-304.29M,,-304.29M,,-0.623M,2.448M,-302.47M,282.10M,343.00M,625.10M,,,,-52.10M,-1.39M,-53.49M,-1.13M,570.47M,6.559M,276.82M,283.38M,,643.00M,-17.90M,
2011-12,114.78M,189.11M,189.11M,79.41M,,79.41M,79.41M,63.23M,-138.70M,,-76.93M,-153.50M,-6.961M,-47.70M,,,71.63M,-136.53M,81.94M,-327.67M,,-327.67M,,-0.743M,19.68M,-308.73M,-18.11M,287.00M,268.89M,,,,-48.69M,-1.39M,-50.08M,-2.176M,216.63M,16.72M,-10.16M,6.559M,,295.50M,-263.61M,
2011-09,91.43M,-88.24M,-88.24M,75.20M,,75.20M,75.20M,38.24M,53.84M,,-97.96M,41.44M,-17.06M,90.60M,,,11.21M,126.19M,201.75M,-280.53M,,-280.53M,,-0.593M,-1.021M,-282.15M,243.12M,-107.00M,136.12M,,,,-48.66M,-1.39M,-50.05M,-4.064M,82.01M,15.11M,1.614M,16.72M,,260.00M,-16.88M,
2011-06,78.72M,3.893M,3.893M,73.64M,,73.64M,73.64M,42.86M,33.17M,,-13.84M,103.12M,-30.00M,5.297M,,,12.65M,91.06M,313.93M,-231.84M,,-231.84M,,-0.611M,41.68M,-190.76M,-19.54M,-52.00M,-71.54M,,,,-48.62M,-1.389M,-50.01M,-1.872M,-123.42M,15.36M,-0.252M,15.11M,,122.00M,-141.54M,
2011-03,115.58M,28.23M,28.23M,73.95M,,73.95M,73.95M,52.43M,51.69M,,38.99M,26.51M,42.99M,-29.28M,,,-33.28M,6.942M,372.77M,-236.69M,,-236.69M,,-0.584M,0.328M,-236.94M,-16.87M,-78.00M,-94.87M,,,,-48.59M,-1.39M,-49.98M,0.989M,-143.86M,23.40M,-8.036M,15.36M,,0.00,-16.87M,
2010-12,131.22M,107.15M,95.34M,72.05M,,72.05M,72.05M,105.87M,-225.91M,,197.37M,-59.29M,4.789M,15.25M,,,-93.60M,-132.85M,249.82M,-276.89M,,-276.89M,,-0.569M,9.255M,-268.21M,-65.14M,111.00M,45.86M,,,,-45.19M,-1.39M,-46.58M,1.33M,0.607M,41.18M,-17.78M,23.40M,,166.69M,-65.14M,
2010-09,101.94M,-28.82M,-28.82M,70.95M,,70.95M,70.95M,67.22M,110.78M,,2.839M,-22.85M,-18.69M,-6.121M,,,25.16M,-22.49M,309.87M,-235.18M,,-235.18M,,-0.676M,-6.043M,-241.89M,-67.12M,-1.313M,-68.44M,,,,-45.16M,-1.39M,-46.54M,-0.588M,-115.57M,88.78M,-47.60M,41.18M,,0.00,-67.12M,
2010-06,160.95M,2.198M,2.198M,79.08M,8.327M,87.40M,87.40M,4.602M,55.56M,,-72.97M,33.47M,3.593M,-7.292M,,,23.39M,53.16M,308.08M,-239.92M,,-239.92M,,-0.60M,-3.891M,-244.41M,-16.32M,57.00M,40.68M,,,,-45.11M,-1.389M,-46.50M,0.907M,-4.905M,30.01M,58.76M,88.78M,,50.00M,-66.32M,
2010-03,,23.33M,23.33M,78.66M,-8.327M,70.33M,70.33M,33.25M,59.57M,,59.20M,-2.619M,48.43M,-46.19M,,,-19.59M,-19.97M,225.70M,-202.49M,,-202.49M,,-0.494M,-0.478M,-203.46M,28.43M,0.00,28.43M,,,,-45.09M,-1.39M,-46.48M,-1.137M,-19.18M,26.95M,3.06M,30.01M,,95.00M,-66.57M,
2009-12,86.11M,11.38M,11.38M,77.79M,-5.879M,71.91M,71.91M,48.27M,54.07M,,2.98M,-31.62M,7.057M,34.00M,7.49M,-13.34M,-50.32M,-46.73M,227.99M,-273.70M,,-273.70M,,7.35M,-4.298M,-270.65M,89.13M,-224.92M,-135.79M,-5.234M,,-5.234M,-41.73M,-1.39M,-43.12M,4.781M,-179.36M,248.98M,-222.02M,26.95M,-5.234M,150.00M,-285.79M,
2009-09,66.18M,-2.855M,-2.855M,77.07M,10.54M,87.62M,87.62M,4.415M,56.67M,,26.76M,-27.23M,-16.68M,-30.73M,-14.63M,43.64M,59.64M,14.01M,252.79M,-213.55M,,-213.55M,,0.097M,1.359M,-212.10M,-62.88M,-168.76M,-231.64M,1.118M,,1.118M,-41.73M,-1.39M,-43.12M,0.767M,-272.87M,481.15M,-232.17M,248.98M,1.118M,0.00,-231.64M,
2009-06,84.24M,6.349M,6.349M,77.77M,-13.04M,64.73M,64.73M,56.02M,51.30M,,49.34M,139.45M,-15.59M,-36.95M,8.68M,-6.514M,-32.69M,56.39M,368.38M,-212.00M,,-212.00M,,1.324M,0.086M,-210.59M,-50.16M,0.001M,-50.16M,0.061M,,0.061M,-41.71M,-1.389M,-43.10M,-0.274M,-93.48M,416.83M,64.32M,481.15M,0.061M,62.00M,-112.16M,
2009-03,99.06M,6.703M,6.703M,76.98M,21.69M,98.67M,98.67M,17.18M,55.90M,,-32.07M,10.48M,51.17M,-174.50M,-1.541M,-23.80M,32.69M,-105.49M,139.95M,-208.90M,,-208.90M,,-3.104M,2.853M,-209.15M,187.55M,-124.91M,62.64M,387.35M,,387.35M,-37.21M,-1.39M,-38.60M,-15.19M,396.21M,89.82M,327.01M,416.83M,387.35M,250.00M,-187.36M,
2008-12,73.29M,12.64M,12.64M,72.80M,54.21M,127.01M,127.01M,55.68M,56.39M,,-88.50M,-131.52M,-14.98M,194.64M,18.96M,2.063M,-76.98M,-7.815M,228.70M,-303.58M,,-303.58M,,-0.988M,1.816M,-302.75M,-63.83M,176.71M,112.88M,0.522M,,0.522M,-33.25M,-1.39M,-34.64M,2.289M,81.04M,82.82M,6.998M,89.82M,0.522M,276.71M,-163.83M,
2008-09,74.08M,-5.787M,-5.787M,69.72M,61.39M,131.10M,131.10M,-21.87M,53.28M,,8.571M,-46.12M,-41.61M,-37.95M,-25.39M,19.43M,36.73M,-94.90M,144.47M,-326.70M,,-326.70M,,-9.691M,0.845M,-335.54M,-58.91M,355.19M,296.27M,0.44M,,0.44M,-33.25M,-1.39M,-34.64M,-0.31M,261.76M,12.13M,70.69M,82.82M,0.44M,355.19M,-58.91M,
2008-06,59.24M,-4.454M,-4.454M,68.32M,41.94M,110.27M,110.27M,23.99M,44.61M,-3.186M,-59.85M,68.27M,-73.11M,-2.736M,-48.03M,20.41M,48.66M,13.47M,184.08M,-337.00M,,-337.00M,,-0.656M,0.545M,-337.11M,451.67M,-271.00M,180.67M,0.521M,,0.521M,-31.29M,-1.389M,-32.68M,-8.329M,140.18M,24.97M,-12.85M,12.13M,0.521M,389.00M,-208.33M,
2008-03,59.78M,-2.401M,-2.401M,67.75M,28.86M,96.61M,96.61M,29.01M,50.58M,3.186M,-109.58M,-32.51M,55.16M,-17.91M,28.67M,-41.90M,-20.96M,-29.46M,97.73M,-288.14M,,-288.14M,,8.339M,1.84M,-277.96M,-61.14M,279.00M,217.86M,4.041M,,4.041M,-31.28M,-1.39M,-32.67M,0.868M,190.10M,15.10M,9.87M,24.97M,4.041M,279.00M,-61.14M,
2007-12,72.71M,,28.14M,,,,-58.03M,48.08M,,,-104.09M,-108.89M,23.55M,41.92M,43.89M,19.01M,-51.57M,-32.09M,180.28M,-364.59M,,-364.59M,-14.74M,60.66M,-4.111M,-322.79M,,,-18.80M,0.068M,,0.068M,,,-31.24M,-0.076M,-50.05M,207.65M,-192.55M,15.10M,0.068M,,,
2007-09,50.12M,,-58.87M,,,,129.18M,-30.99M,,,99.18M,-12.74M,-45.15M,-24.16M,-13.66M,-12.00M,24.73M,-82.98M,105.65M,-259.09M,,-259.09M,0.00,-1.092M,0.823M,-259.36M,,,257.83M,0.468M,,0.468M,,,-31.24M,-4.512M,222.54M,138.82M,68.83M,207.65M,0.468M,,,
2007-06,48.55M,,39.54M,,,,104.58M,-14.51M,,,-11.81M,57.20M,-46.70M,-25.49M,40.05M,25.44M,12.26M,62.76M,229.11M,-263.43M,,-263.43M,0.00,-1.449M,-41.38M,-306.26M,,,24.20M,4.403M,,4.403M,,,-29.28M,1.924M,1.243M,214.73M,-75.91M,138.82M,4.403M,,,
2007-03,75.09M,,,,,,130.24M,4.353M,,,-38.58M,-0.95M,34.56M,-41.82M,-32.88M,-48.11M,-348.53M,-437.72M,-266.61M,-227.70M,,-227.70M,-1.908M,-1.34M,51.90M,-179.06M,,,206.17M,4.117M,,4.117M,,,-29.22M,-2.581M,178.49M,481.91M,-267.18M,214.73M,4.117M,,,
2006-12,346.99M,,46.37M,,,,281.22M,-334.64M,,,-178.39M,-53.40M,1.887M,61.80M,34.82M,-16.46M,339.28M,367.92M,26.81M,-271.88M,-0.903M,-272.78M,1.040B,-4.149M,20.35M,783.59M,,,-469.13M,3.184M,,3.184M,,,-29.18M,116.20M,-378.94M,50.46M,431.46M,481.91M,3.184M,,,
2006-09,111.45M,,71.89M,,,,-81.15M,-38.09M,,,70.12M,336.28M,-18.28M,-52.55M,31.20M,26.00M,-289.75M,32.90M,167.12M,-219.60M,0.753M,-218.85M,-19.43M,-1.101M,-30.82M,-270.19M,,,249.90M,2.242M,,2.242M,,,-29.54M,-117.83M,104.79M,48.74M,1.711M,50.46M,2.242M,,,
2006-06,22.24M,,-46.42M,,,,145.87M,-3.053M,,,26.43M,-35.62M,-17.62M,-153.44M,-63.97M,-11.72M,307.71M,25.35M,170.42M,-176.88M,0.15M,-176.73M,,5.61M,-15.07M,-186.18M,,,-0.309M,0.866M,,0.866M,,,-26.78M,54.47M,28.24M,36.27M,12.48M,48.74M,0.866M,,,
2006-03,-10.11M,,-167.88M,,,,118.03M,171.58M,,,-19.08M,358.11M,50.73M,-255.19M,56.30M,-15.35M,-244.41M,-49.81M,42.73M,-203.82M,,-203.82M,,-0.818M,-5.501M,-210.14M,,,235.35M,3.202M,,3.202M,,,-27.24M,-53.41M,157.90M,45.78M,-9.514M,36.27M,3.202M,,,
2005-12,-13.57M,,-10.76M,,,,199.03M,-80.78M,,,93.02M,-239.71M,16.13M,80.24M,83.68M,-196.59M,156.63M,-99.61M,88.45M,-253.82M,-24.65M,-278.47M,,7.312M,42.29M,-197.41M,,,-320.28M,442.67M,,442.67M,,,-22.77M,-31.07M,68.55M,86.19M,-40.41M,45.78M,442.67M,,,
2005-09,-94.49M,,18.05M,,,,175.73M,-29.56M,,,,-89.38M,-42.12M,62.66M,-59.57M,134.49M,,6.088M,75.83M,-189.47M,0.857M,-188.61M,,-12.47M,1.679M,-199.40M,,,176.62M,0.596M,,0.596M,,,-23.16M,0.223M,154.29M,55.48M,30.71M,86.19M,0.596M,,,
2005-06,-27.70M,,69.83M,,,,153.94M,-76.15M,,,20.34M,192.77M,-33.80M,-76.56M,-183.68M,40.20M,8.635M,-52.43M,87.82M,-165.25M,23.79M,-141.46M,,0.653M,11.58M,-129.23M,,,24.43M,3.581M,,3.581M,,,-20.62M,15.48M,22.87M,74.02M,-18.54M,55.48M,3.581M,,,
2005-03,-117.72M,,119.99M,,,,127.98M,-16.31M,,,-20.34M,-72.20M,41.94M,64.70M,92.61M,-22.92M,-8.635M,95.50M,189.11M,-166.82M,,-166.82M,,-0.653M,-6.036M,-173.51M,,,27.54M,3.984M,,3.984M,,,-21.00M,0.914M,11.43M,46.99M,27.03M,74.02M,3.984M,,,
2004-12,38.62M,,-252.31M,,,,166.73M,46.58M,,,,-113.47M,17.58M,134.32M,44.64M,56.68M,-50.88M,88.87M,88.49M,-193.75M,,-193.75M,,63.63M,-86.95M,-217.07M,,,114.25M,6.467M,,6.467M,,,-26.52M,-16.48M,77.72M,97.85M,-50.86M,46.99M,6.467M,,,
2004-09,-7.908M,,132.59M,,,,88.32M,30.66M,,,,-65.82M,-48.74M,-71.80M,-95.86M,-26.78M,,-309.01M,-65.35M,-147.32M,,-147.32M,,-63.63M,79.59M,-131.36M,,,265.50M,1.684M,,1.684M,,,-20.84M,-0.457M,245.89M,48.68M,49.17M,97.85M,1.684M,,,
2004-06,23.99M,,-4.516M,,,,135.95M,14.45M,,,,94.83M,-31.54M,-84.57M,16.91M,15.72M,-14.59M,-3.237M,166.64M,-154.13M,,-154.13M,,,-24.89M,-179.02M,,,-64.56M,0.264M,,0.264M,,,-19.20M,0.667M,-82.84M,143.90M,-95.22M,48.68M,0.264M,,,
