,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2010-12,1.204B,1.204B,1.496B,-292.16M,72.05M,,,70.31M,51.30M,,-269.80M,-862.64M,-720.28M,428.12M,,51.30M,-269.80M,22.19M,-269.80M,180.51M,49.28M,131.22M,,,-1.954M,,129.27M,129.27M,303.86M,72.05M,231.81M,0.73,,,0.73,0.73,0.73,,,0.73,0.73,176.87M,177.26M,0.2562
2010-09,1.243B,1.243B,494.12M,749.21M,70.95M,,10.12M,84.43M,65.90M,,-65.90M,394.20M,549.58M,199.63M,,65.90M,-65.90M,10.12M,-65.90M,143.85M,41.92M,101.94M,,,-1.411M,,100.52M,93.35M,280.70M,70.95M,209.75M,0.57,0.0,,0.5294,0.57,0.57,0.0,,0.5295,0.57,176.75M,177.01M,0.2562
2010-06,1.111B,1.111B,648.89M,462.53M,79.08M,,1.552M,74.41M,67.20M,,-67.20M,130.71M,284.19M,178.34M,,67.20M,-67.20M,1.552M,-67.20M,112.70M,39.35M,73.35M,,,-1.402M,,71.95M,70.94M,267.30M,87.40M,179.90M,0.41,0.0,,0.4043,0.41,0.41,0.0,,0.4043,0.41,176.57M,176.74M,0.2562
2010-03,1.339B,1.339B,603.35M,736.07M,78.66M,-8.327M,8.057M,85.60M,67.26M,,-67.26M,353.48M,509.41M,226.66M,,67.26M,-67.26M,8.057M,-67.26M,167.46M,79.86M,87.60M,,,-1.39M,,86.21M,80.97M,305.05M,70.33M,234.72M,0.49,0.0,,0.4603,0.49,0.49,0.0,,0.4603,0.49,176.35M,176.54M,0.2562
2009-12,1.315B,1.315B,595.47M,719.88M,77.79M,-5.879M,11.72M,65.55M,68.07M,,-68.07M,390.06M,527.52M,192.35M,,68.07M,-68.07M,11.72M,-68.07M,136.01M,49.90M,86.11M,,,9.728M,,84.72M,77.30M,275.99M,71.91M,204.07M,0.48,0.0,,0.4382,0.48,0.48,0.0,,0.4382,0.48,177.40M,177.40M,0.2375
2009-09,1.306B,1.306B,611.63M,694.54M,77.07M,10.54M,9.49M,75.80M,69.64M,,-69.64M,368.57M,531.99M,162.55M,,69.64M,-69.64M,9.49M,-69.64M,102.41M,36.23M,66.18M,,,-1.39M,,64.79M,58.66M,259.66M,87.62M,172.04M,0.37,0.0,,0.335,0.37,0.37,0.0,,0.3352,0.37,175.36M,176.00M,0.2375
2009-06,1.224B,1.224B,583.60M,640.83M,77.77M,-13.04M,10.41M,54.42M,64.96M,2.00M,-62.96M,342.49M,461.65M,179.19M,2.00M,64.96M,-62.96M,10.41M,-62.96M,126.64M,42.39M,84.24M,,,-1.389M,,82.85M,75.93M,256.32M,64.73M,191.60M,0.47,0.0,,0.4305,0.47,0.47,0.0,,0.4306,0.47,175.18M,175.68M,0.2375
2009-03,1.593B,1.593B,838.92M,754.56M,76.98M,21.69M,3.382M,86.43M,70.98M,0.80M,-70.18M,352.18M,537.28M,217.28M,0.80M,70.98M,-70.18M,3.382M,-70.18M,150.49M,51.42M,99.06M,,,-1.39M,,97.67M,95.45M,320.14M,98.67M,221.46M,0.6,0.0,,0.5863,0.6,0.6,0.0,,0.5863,0.6,162.34M,162.93M,0.2375
2008-12,1.448B,1.448B,976.51M,471.37M,72.80M,54.21M,8.818M,67.43M,69.55M,,-69.55M,105.64M,300.08M,171.30M,,69.55M,-69.55M,8.818M,-69.55M,110.57M,37.28M,73.29M,,,,,77.46M,71.61M,307.12M,127.01M,180.12M,0.46,0.0,,0.4225,0.46,0.46,0.0,,0.4226,0.46,155.76M,156.28M,0.2125
2008-09,1.507B,1.507B,1.033B,473.62M,69.72M,61.39M,17.68M,69.03M,70.90M,,-70.90M,124.42M,324.55M,149.08M,,70.90M,-70.90M,17.68M,-70.90M,95.86M,21.78M,74.08M,,,-1.39M,,72.69M,59.02M,297.86M,131.10M,166.76M,0.47,0.0,,0.3822,0.47,0.47,0.0,,0.3825,0.47,155.61M,156.10M,0.2125
2008-06,1.325B,1.325B,898.90M,426.44M,68.32M,41.94M,10.37M,59.28M,66.06M,,-66.06M,118.78M,288.32M,138.12M,,66.06M,-66.06M,10.37M,-66.06M,82.43M,23.19M,59.24M,,,-1.389M,,57.85M,50.40M,258.76M,110.27M,148.49M,0.37,0.0,,0.3221,0.37,0.37,0.0,,0.3222,0.37,155.48M,155.90M,0.2
2008-03,1.520B,1.520B,1.109B,410.77M,67.75M,28.86M,13.56M,71.83M,62.64M,,-62.64M,110.06M,278.50M,132.27M,,62.64M,-62.64M,13.56M,-62.64M,83.19M,23.41M,59.78M,,,,1.39M,58.39M,48.65M,242.44M,96.61M,145.83M,0.38,0.0,,0.3173,0.38,0.38,0.0,,0.3174,0.38,155.29M,155.72M,0.2
2007-12,1.275B,1.275B,1.555B,-280.64M,,,24.96M,58.75M,,,,-426.28M,-424.06M,143.43M,,,,24.96M,,112.83M,33.98M,73.29M,-0.579M,,,1.39M,72.71M,55.85M,148.53M,-58.03M,205.07M,0.47,0.0,,0.3575,0.47,0.47,0.0,,0.3579,0.47,155.02M,155.59M,0.2
2007-09,1.451B,1.451B,881.23M,569.85M,,,10.73M,63.48M,,,,249.10M,446.51M,123.33M,,,,10.73M,,70.95M,20.78M,50.18M,-0.052M,,,1.39M,50.12M,42.59M,257.27M,129.18M,123.33M,0.32,0.0,,0.271,0.32,0.32,0.0,,0.2712,0.32,154.93M,155.42M,0.2
2007-06,1.392B,1.392B,804.80M,587.25M,,,11.87M,57.36M,,,,305.49M,469.93M,117.32M,,,,11.87M,,69.67M,22.09M,47.58M,2.36M,,,1.389M,49.94M,39.47M,224.40M,104.58M,117.32M,0.3,0.01,,0.2476,0.31,0.3,0.01,,0.2478,0.31,154.73M,155.21M,0.1875
2007-03,1.704B,1.704B,1.070B,633.03M,,,14.07M,72.59M,,,,283.22M,477.30M,155.73M,,,,14.07M,,110.52M,32.72M,77.80M,-1.313M,,,1.39M,76.48M,67.89M,285.98M,130.24M,155.73M,0.5,-0.01,,0.4358,0.49,0.5,-0.01,,0.4361,0.49,154.35M,154.99M,0.1875
2006-12,1.476B,1.476B,930.91M,545.54M,,,25.94M,57.53M,,,,334.71M,466.91M,78.63M,,,,25.94M,,46.81M,8.761M,38.05M,310.33M,,,1.39M,348.38M,16.96M,359.85M,281.22M,78.63M,0.23,2.03,,0.0932,2.26,0.23,2.02,,0.0935,2.25,154.12M,154.48M,0.1875
2006-09,1.593B,1.593B,1.046B,546.60M,,,12.08M,62.18M,,,,306.16M,470.22M,76.38M,,,,12.08M,,28.34M,-75.70M,104.04M,8.797M,,,1.39M,112.84M,96.79M,178.26M,-81.15M,76.38M,0.67,0.05,,0.6229,0.72,0.67,0.05,,0.623,0.72,153.88M,154.32M,0.1875
2006-06,1.661B,1.661B,1.110B,551.39M,,,12.16M,54.44M,,,,321.06M,478.08M,73.31M,,,,12.16M,,24.61M,8.92M,15.69M,7.942M,,,1.389M,23.63M,7.937M,219.18M,145.87M,73.31M,0.09,0.05,,0.0395,0.14,0.09,0.05,,0.0396,0.14,153.63M,153.92M,0.175
2006-03,2.147B,2.147B,1.537B,610.19M,,,16.20M,76.42M,,,,359.16M,602.75M,7.437M,,,,16.20M,,-37.59M,-18.30M,-19.28M,10.57M,,,1.39M,-8.716M,-29.01M,174.60M,118.03M,7.437M,-0.13,0.06,,-0.1934,-0.07,-0.13,0.06,,-0.1934,-0.07,153.44M,153.44M,0.175
2005-12,1.827B,1.827B,1.706B,120.27M,,,26.57M,59.51M,,,,-92.86M,144.43M,-24.15M,,,,26.57M,,-57.23M,-53.13M,-4.098M,-7.08M,,,1.39M,-12.18M,-20.04M,174.88M,199.03M,-24.15M,-0.01,-0.06,,-0.1257,-0.08,-0.01,-0.06,,-0.1257,-0.08,137.80M,137.80M,0.175
2005-09,1.755B,1.755B,1.173B,581.86M,,,11.77M,60.64M,,,,424.83M,667.53M,-85.67M,,,,11.77M,,-133.20M,-34.86M,-98.34M,5.24M,,,1.39M,-93.10M,-107.03M,96.39M,175.73M,-85.67M,-0.77,0.04,,-0.8369,-0.73,-0.77,0.04,,-0.8369,-0.73,129.96M,129.96M,0.175
2005-06,1.532B,1.532B,979.92M,551.69M,,,10.29M,53.21M,,,,394.30M,567.78M,-16.09M,,,,10.29M,,-69.10M,-32.10M,-37.00M,10.68M,,,1.389M,-26.32M,-43.17M,137.85M,153.94M,-16.09M,-0.3,0.09,,-0.3477,-0.21,-0.3,0.0825,,-0.3477,-0.2139,129.52M,129.52M,0.1625
