,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-03,9.528B,6.461B,15.99B,6.987B,,6.848B,1.429B,220.00M,1.633B,3.282B,1.031B,,,27.15B,,,,,,,37.37B,-20.72B,16.65B,14.58B,13.60B,28.18B,2.003B,,,639.00M,47.47B,74.62B,,13.07B,,,,13.07B,,13.07B,,,8.577B,,8.577B,,21.64B,30.08B,30.08B,4.521B,4.521B,114.00M,,6.693B,41.30B,62.94B,,65.00M,52.76B,3.663B,31.50B,41.00M,,,-13.42B,11.57B,,AOR,Restated
2016-12,9.158B,6.967B,16.12B,5.709B,1.119B,6.694B,1.315B,150.00M,1.258B,2.723B,908.00M,,,26.45B,0.00,1.153B,8.306B,25.28B,,2.082B,36.82B,-20.23B,16.59B,14.43B,13.43B,27.86B,1.95B,105.00M,140.00M,338.00M,47.04B,73.49B,,6.158B,1.097B,,,7.255B,2.444B,9.699B,2.257B,4.635B,6.892B,,6.892B,2.774B,21.14B,30.05B,30.05B,4.434B,4.434B,104.00M,,6.669B,41.16B,62.29B,,65.00M,52.52B,3.899B,31.47B,41.00M,,,-13.92B,11.10B,,AOR,Restated
2016-09,10.26B,4.524B,14.78B,7.902B,,7.745B,1.438B,228.00M,1.454B,3.12B,1.454B,,,27.10B,,,,,,,36.60B,-20.30B,16.30B,14.39B,13.28B,27.68B,1.975B,,,843.00M,46.80B,73.90B,,14.30B,,,,14.30B,,14.30B,,,6.284B,,6.284B,,20.59B,29.32B,29.32B,5.18B,5.18B,116.00M,,6.088B,40.59B,61.18B,,65.00M,52.20B,3.812B,30.65B,41.00M,,,-12.83B,12.60B,,AOR,Restated
2016-06,9.646B,3.733B,13.38B,7.641B,,7.495B,1.512B,325.00M,1.65B,3.487B,1.517B,,,25.88B,,,,,,,36.23B,-20.01B,16.22B,14.40B,13.35B,27.74B,2.002B,,,867.00M,46.83B,72.71B,,13.68B,,,,13.68B,,13.68B,,,4.774B,,4.774B,,18.46B,30.85B,30.85B,5.156B,5.156B,128.00M,,5.873B,41.88B,60.34B,,65.00M,51.30B,3.752B,30.05B,41.00M,,,-12.81B,12.25B,,AOR,Restated
2016-03,8.124B,4.02B,12.14B,6.843B,,6.707B,1.418B,277.00M,1.524B,3.219B,1.896B,,,23.97B,,,,,,,35.66B,-19.56B,16.10B,14.13B,13.05B,27.18B,1.935B,,,832.00M,46.05B,70.02B,,12.82B,,,,12.82B,,12.82B,,,4.018B,,4.018B,,16.84B,31.07B,31.07B,5.067B,5.067B,120.00M,,5.811B,41.95B,58.79B,,65.00M,50.38B,3.719B,29.49B,41.00M,,,-13.57B,11.11B,,AOR,Restated
2015-12,9.096B,2.913B,12.01B,5.497B,1.07B,6.437B,1.312B,161.00M,1.247B,2.72B,1.865B,,,23.03B,0.00,1.184B,8.061B,24.76B,,1.738B,35.75B,-19.43B,16.32B,14.18B,13.08B,27.26B,2.311B,140.00M,159.00M,391.00M,46.64B,69.67B,,5.546B,1.041B,,,6.587B,2.319B,8.906B,770.00M,3.301B,4.071B,,4.071B,2.842B,17.58B,29.21B,29.21B,4.959B,4.959B,107.00M,,5.887B,40.06B,57.64B,,65.00M,50.47B,3.89B,29.18B,41.00M,,,-13.32B,11.92B,,AOR,Restated
2015-09,8.698B,1.981B,10.68B,7.806B,,7.666B,1.41B,279.00M,1.435B,3.124B,1.345B,,,22.81B,,,,,,,35.39B,-19.26B,16.13B,14.41B,13.39B,27.80B,2.285B,,,872.00M,47.09B,69.90B,,13.55B,,,,13.55B,,13.55B,,,5.525B,,5.525B,,19.07B,26.32B,26.32B,5.019B,5.019B,118.00M,,5.915B,37.25B,56.32B,,65.00M,49.77B,3.837B,27.69B,41.00M,,,-12.51B,13.46B,,AOR,Restated
2015-06,7.562B,2.017B,9.579B,7.976B,,7.826B,1.848B,389.00M,1.694B,3.931B,1.733B,,,23.07B,,,,,,,36.08B,-19.34B,16.74B,14.91B,14.03B,28.94B,2.626B,,,888.00M,49.19B,72.26B,,13.16B,,,,13.16B,,13.16B,,,8.383B,,8.383B,,21.55B,23.08B,23.08B,5.269B,5.269B,132.00M,,5.908B,34.25B,55.80B,,66.00M,50.27B,3.79B,26.69B,41.00M,,,-11.10B,16.33B,,AOR,Restated
2015-03,6.41B,2.085B,8.495B,7.10B,,6.963B,1.567B,274.00M,1.621B,3.462B,2.002B,,,20.92B,,,,,,,35.62B,-18.94B,16.68B,14.68B,13.76B,28.44B,2.626B,,,960.00M,48.70B,69.62B,,12.16B,,,,12.16B,,12.16B,,,7.962B,,7.962B,,20.13B,22.40B,22.40B,5.224B,5.224B,120.00M,,5.882B,33.51B,53.64B,,66.00M,49.34B,3.947B,25.91B,41.00M,,,-11.57B,15.87B,,AOR,Restated
2014-12,6.134B,2.592B,8.726B,5.817B,971.00M,6.651B,1.593B,173.00M,1.377B,3.143B,2.143B,,,20.66B,0.00,1.288B,8.114B,25.15B,,1.752B,36.30B,-19.06B,17.24B,14.96B,14.09B,29.05B,2.689B,93.00M,179.00M,447.00M,49.85B,70.51B,,5.127B,1.009B,,,6.136B,2.222B,8.358B,746.00M,4.33B,5.076B,,5.076B,2.912B,18.09B,23.82B,23.82B,5.304B,5.304B,110.00M,,5.744B,34.87B,52.96B,,66.00M,49.09B,3.934B,24.98B,41.00M,,,-10.67B,17.44B,,AOR,Restated
2014-09,7.282B,5.624B,12.91B,8.53B,,8.376B,1.832B,261.00M,1.691B,3.784B,1.524B,,,26.59B,,,,,,,37.37B,-19.44B,17.93B,16.22B,15.50B,31.72B,1.946B,,,2.276B,53.88B,80.47B,,13.59B,,,,13.59B,,13.59B,,,9.253B,,9.253B,,22.84B,23.49B,23.49B,5.87B,5.87B,116.00M,,5.076B,34.44B,57.28B,,66.00M,48.76B,3.85B,23.46B,41.00M,,,-6.146B,23.07B,,AOR,Restated
2014-06,7.607B,3.692B,11.30B,8.626B,,8.47B,1.965B,341.00M,1.888B,4.194B,1.832B,,,25.80B,,,,,,,37.38B,-19.20B,18.17B,16.46B,15.79B,32.25B,1.902B,,,2.315B,54.64B,80.43B,,12.99B,,,,12.99B,,12.99B,,,7.242B,,7.242B,,20.23B,25.61B,25.61B,6.072B,6.072B,129.00M,,4.927B,36.60B,56.83B,,66.00M,47.75B,3.804B,22.67B,41.00M,,,-5.481B,23.47B,,AOR,Restated
2014-03,9.839B,247.00M,10.09B,7.415B,,7.262B,1.794B,235.00M,1.719B,3.748B,2.189B,,,23.28B,,,,,,,36.78B,-18.65B,18.13B,16.31B,15.65B,31.96B,1.89B,,,2.233B,54.21B,77.49B,,11.62B,,,,11.62B,,11.62B,,,7.832B,,7.832B,,19.46B,24.24B,24.24B,6.092B,6.092B,120.00M,,4.811B,35.14B,54.60B,,66.00M,46.77B,3.769B,21.89B,41.00M,,,-5.94B,22.77B,,AOR,Restated
2013-12,9.375B,303.00M,9.678B,6.178B,921.00M,6.954B,1.732B,168.00M,1.509B,3.409B,2.162B,,,22.20B,0.00,1.34B,8.375B,25.42B,,1.831B,36.96B,-18.39B,18.58B,16.61B,16.04B,32.65B,2.623B,105.00M,214.00M,419.00M,55.28B,77.48B,,4.874B,899.00M,,,5.773B,2.245B,8.018B,2.924B,2.382B,5.306B,,5.306B,2.726B,17.84B,24.33B,24.33B,5.986B,5.986B,110.00M,,4.931B,35.25B,53.09B,,66.00M,46.42B,3.924B,21.00B,41.00M,,,-5.127B,24.28B,,AOR,Restated
2013-09,9.204B,355.00M,9.559B,8.243B,,8.088B,1.791B,253.00M,1.694B,3.738B,1.546B,,,22.93B,,,,,,,35.91B,-17.84B,18.07B,16.53B,15.96B,32.50B,1.823B,,,1.492B,53.88B,76.81B,,12.21B,,998.00M,,13.21B,,13.21B,,,5.256B,,5.256B,,18.47B,24.29B,24.29B,5.047B,5.047B,116.00M,,6.604B,35.94B,54.41B,,67.00M,45.55B,3.871B,20.30B,41.00M,,,-6.907B,22.29B,,AOR,Restated
2013-06,7.793B,346.00M,8.139B,8.145B,,7.981B,1.91B,351.00M,1.87B,4.131B,1.712B,,,21.96B,,,,,,,35.96B,-17.57B,18.39B,16.72B,16.17B,32.89B,1.839B,,,1.568B,54.69B,76.65B,,12.10B,,763.00M,,12.86B,,12.86B,,,6.298B,,6.298B,,19.16B,23.21B,23.21B,5.10B,5.10B,106.00M,,6.414B,34.73B,53.89B,,67.00M,44.52B,3.827B,19.48B,41.00M,,,-6.275B,22.66B,,AOR,Restated
2013-03,6.715B,296.00M,7.011B,7.398B,,7.234B,1.846B,265.00M,1.809B,3.92B,1.745B,,,19.91B,,,,,,,36.21B,-17.37B,18.84B,16.92B,16.40B,33.32B,1.676B,,,1.606B,55.44B,75.36B,,11.24B,,575.00M,,11.82B,,11.82B,,,6.175B,,6.175B,,17.99B,23.22B,23.22B,5.051B,5.051B,113.00M,,6.621B,34.90B,52.89B,,67.00M,43.40B,3.97B,19.47B,41.00M,,,-5.607B,22.35B,,AOR,Restated
2012-12,6.297B,322.00M,6.619B,6.215B,983.00M,7.041B,1.875B,173.00M,1.533B,3.581B,1.479B,,,18.72B,0.00,1.89B,7.792B,24.74B,,1.737B,36.16B,-17.03B,19.14B,16.97B,16.52B,33.50B,2.351B,136.00M,195.00M,542.00M,55.92B,74.64B,,4.451B,838.00M,371.00M,,5.66B,2.187B,7.847B,1.101B,3.714B,4.815B,,4.815B,2.722B,17.09B,23.54B,23.54B,5.063B,5.063B,105.00M,,6.543B,35.15B,52.24B,,67.00M,43.16B,4.014B,19.46B,41.00M,,,-5.487B,22.29B,,AOR,Restated
2012-09,5.309B,402.00M,5.711B,7.998B,,7.998B,1.93B,253.00M,1.722B,3.905B,1.656B,,,19.27B,,,,,,,34.92B,-16.39B,18.53B,16.70B,16.31B,33.01B,1.585B,,,1.621B,54.75B,74.02B,,11.72B,,287.00M,,12.01B,,12.01B,,,4.211B,,4.211B,,16.22B,23.73B,23.73B,4.93B,4.93B,145.00M,,7.551B,36.21B,52.43B,,72.00M,42.33B,4.017B,18.90B,41.00M,,,-6.086B,21.44B,,AOR,Restated
2012-06,3.863B,330.00M,4.193B,7.721B,,7.721B,1.991B,351.00M,1.932B,4.274B,1.845B,,,18.03B,,,,,,,34.27B,-15.76B,18.51B,16.46B,16.21B,32.66B,1.562B,,,1.617B,54.36B,72.39B,,11.15B,,78.00M,,11.23B,,11.23B,,,7.038B,,7.038B,,18.27B,21.29B,21.29B,4.867B,4.867B,138.00M,,7.365B,33.53B,51.80B,,72.00M,41.27B,4.063B,18.32B,41.00M,,,-6.636B,20.46B,,AOR,Restated
2012-03,3.485B,328.00M,3.813B,7.158B,,7.158B,2.071B,302.00M,1.841B,4.214B,2.393B,,,17.58B,,,,,,,36.19B,-16.19B,20.00B,17.21B,17.05B,34.26B,1.515B,,,1.032B,56.81B,74.39B,,11.18B,,149.00M,,11.33B,,11.33B,,,5.656B,,5.656B,,16.98B,22.05B,22.05B,5.075B,5.075B,313.00M,,7.323B,34.45B,51.44B,,72.00M,40.63B,4.093B,17.69B,41.00M,,,-4.464B,22.64B,,AOR,Restated
2011-12,4.067B,358.00M,4.425B,6.036B,1.033B,6.912B,1.883B,207.00M,1.737B,3.827B,2.277B,,,17.44B,0.00,1.951B,7.565B,23.80B,,1.826B,35.14B,-15.44B,19.70B,16.80B,16.44B,33.24B,1.566B,159.00M,186.00M,522.00M,55.44B,72.88B,,4.083B,813.00M,192.00M,,5.088B,2.105B,7.193B,2.973B,3.232B,6.205B,,6.205B,2.985B,18.15B,20.57B,20.57B,4.995B,4.995B,311.00M,,8.266B,33.83B,51.98B,,67.00M,40.32B,4.304B,17.87B,41.00M,,,-6.229B,20.59B,,AOR,Restated
2011-09,3.083B,452.00M,3.535B,8.33B,,8.33B,2.152B,237.00M,1.816B,4.205B,1.764B,,,17.83B,,,,,,,36.26B,-15.52B,20.74B,16.27B,17.86B,34.13B,1.50B,,,1.176B,57.54B,75.38B,,11.52B,,971.00M,,12.50B,,12.50B,,,5.07B,,5.07B,,17.56B,21.78B,21.78B,5.17B,5.17B,426.00M,,6.859B,33.81B,51.38B,,72.00M,39.71B,4.251B,17.66B,41.00M,,,-2.80B,23.58B,,AOR,Restated
2011-06,2.913B,431.00M,3.344B,8.283B,,8.283B,2.296B,283.00M,1.96B,4.539B,1.751B,,,17.92B,,,,,,,35.98B,-15.12B,20.85B,16.30B,18.03B,34.33B,1.449B,,,1.133B,57.76B,75.68B,,11.43B,,909.00M,,12.34B,,12.34B,,,5.715B,,5.715B,,18.06B,21.61B,21.61B,4.977B,4.977B,418.00M,,6.669B,33.25B,51.31B,,72.00M,38.53B,4.204B,16.60B,41.00M,,,-2.254B,23.95B,,AOR,Restated
2011-03,3.662B,367.00M,4.029B,6.937B,,6.937B,1.907B,173.00M,1.751B,3.831B,1.715B,,,16.51B,,,,,,,34.80B,-14.47B,20.33B,15.82B,17.90B,33.72B,1.408B,,,1.117B,56.57B,73.08B,,10.24B,,341.00M,,10.58B,,10.58B,,,6.256B,,6.256B,,16.84B,20.94B,20.94B,4.972B,4.972B,1.689B,,6.657B,32.57B,49.41B,,72.00M,37.47B,4.255B,16.77B,41.00M,,,-3.035B,21.98B,,AOR,Restated
2010-12,5.943B,426.00M,6.369B,5.514B,953.00M,6.323B,1.654B,128.00M,1.59B,3.372B,1.505B,,,17.57B,0.00,1.976B,7.054B,22.09B,,1.92B,33.04B,-13.98B,19.06B,14.66B,13.81B,28.47B,2.021B,165.00M,203.00M,547.00M,50.58B,68.15B,,3.865B,766.00M,71.00M,,4.702B,1.841B,6.543B,2.632B,2.266B,4.898B,,4.898B,2.672B,15.89B,20.00B,20.00B,4.057B,4.057B,312.00M,,6.729B,30.78B,46.68B,,72.00M,37.09B,4.377B,16.74B,41.00M,,,-3.63B,21.16B,,AOR,Restated
2010-09,5.577B,232.00M,5.809B,7.245B,,7.245B,1.689B,183.00M,1.487B,3.359B,1.488B,,,17.90B,,,,,,,31.78B,-13.24B,18.53B,13.90B,13.76B,27.67B,1.401B,,,1.199B,48.80B,66.70B,,10.70B,,662.00M,,11.36B,,11.36B,,,5.756B,,5.756B,,17.12B,18.44B,18.44B,3.865B,3.865B,298.00M,,7.039B,29.35B,46.47B,,72.00M,36.49B,4.387B,16.65B,41.00M,,,-4.358B,19.94B,,AOR,Restated
2010-06,4.529B,225.00M,4.754B,6.88B,,6.88B,1.725B,252.00M,1.553B,3.53B,1.579B,,,16.74B,,,,,,,31.12B,-12.72B,18.40B,13.60B,13.88B,27.48B,1.373B,,,1.081B,48.33B,65.07B,,9.843B,,236.00M,,10.08B,,10.08B,,,4.493B,,4.493B,,14.57B,19.59B,19.59B,4.159B,4.159B,288.00M,,6.843B,30.59B,45.16B,,72.00M,35.33B,4.392B,15.94B,41.00M,,,-4.226B,19.63B,,AOR,Restated
2010-03,3.949B,198.00M,4.147B,6.204B,,6.204B,1.644B,184.00M,1.455B,3.283B,1.631B,,,15.26B,,,,,,,31.28B,-12.43B,18.85B,13.16B,14.35B,27.51B,1.381B,,,1.142B,48.88B,64.14B,,9.553B,,127.00M,,9.68B,,9.68B,,,1.974B,,1.974B,,11.65B,19.88B,19.88B,4.143B,4.143B,275.00M,,6.607B,30.63B,42.29B,,72.00M,34.50B,4.364B,13.78B,41.00M,,,-3.569B,21.58B,,AOR,Restated
2009-12,3.943B,192.00M,4.135B,4.624B,,4.624B,1.274B,165.00M,1.179B,2.618B,1.194B,,,12.57B,0.00,1.208B,5.08B,17.18B,,1.441B,24.91B,-12.24B,12.67B,6.534B,2.623B,9.157B,4.484B,,,965.00M,27.28B,39.85B,,8.127B,,165.00M,,8.292B,,8.292B,,,464.00M,,464.00M,,8.756B,7.40B,7.40B,659.00M,659.00M,638.00M,,5.591B,13.65B,22.41B,,71.00M,33.80B,250.00M,13.53B,41.00M,,,-3.794B,16.80B,,AOR,Restated
2009-09,3.254B,206.00M,3.46B,5.294B,,5.216B,1.333B,267.00M,1.116B,2.716B,1.024B,,,12.42B,,,,,,,23.85B,-11.82B,12.03B,6.351B,2.545B,8.896B,4.339B,,,936.00M,26.20B,38.62B,,8.141B,,643.00M,,8.784B,,8.784B,,,511.00M,,511.00M,,9.295B,7.434B,7.434B,347.00M,347.00M,537.00M,,5.713B,13.49B,22.79B,,71.00M,33.08B,279.00M,13.87B,41.00M,,,-4.262B,15.29B,,AOR,Restated
2009-06,2.214B,210.00M,2.424B,5.305B,,5.223B,1.369B,359.00M,1.224B,2.952B,1.031B,,,11.63B,,,,,,,23.37B,-11.52B,11.85B,5.248B,1.975B,7.223B,4.076B,,,2.273B,25.42B,37.05B,,7.772B,,412.00M,,8.184B,,8.184B,,,435.00M,,435.00M,,8.619B,8.185B,8.185B,260.00M,260.00M,432.00M,,5.577B,14.02B,22.64B,,71.00M,32.06B,269.00M,13.99B,41.00M,,,-4.438B,13.98B,,AOR,Restated
