,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2004-08,104.46M,13.82M,14.83M,14.83M,10.24M,,,,,,6.254M,,,3.528M,1.006M,6.301M,,17.09M,160.45M,-14.42M,,-14.42M,0.00,112.45M,-126.80M,-28.77M,,,69.25M,-222.68M,-153.44M,-2.991M,,-156.43M,169.16M,-24.75M,-0.013M,144.40M,69.25M,,,-222.68M,,
2004-05,109.40M,11.71M,14.74M,14.74M,15.09M,,,,,,12.10M,,,-2.465M,1.766M,-15.34M,,-3.94M,147.00M,-12.49M,,-12.49M,-15.54M,-24.12M,,-52.16M,,,65.36M,-130.38M,-65.02M,-2.983M,,-68.00M,142.81M,26.84M,-0.485M,169.16M,65.36M,,,-130.38M,,
2004-02,123.04M,4.225M,13.44M,13.44M,23.11M,,,,,,21.17M,,,-1.839M,-4.281M,6.607M,,21.65M,185.46M,-14.44M,,-14.44M,,-136.82M,,-151.27M,,,40.36M,-55.61M,-15.25M,-2.986M,,-18.24M,126.52M,15.96M,0.332M,142.81M,40.36M,,,-55.61M,,
2003-11,83.35M,26.25M,12.78M,12.78M,19.14M,,,,,-0.543M,-33.72M,,,5.367M,10.19M,5.813M,,-12.35M,128.62M,-12.59M,,-12.59M,0.00,-240.60M,9.159M,-244.03M,,,132.32M,-0.24M,132.08M,-2.925M,,129.16M,144.46M,13.74M,2.273M,126.52M,132.32M,,,-0.24M,,
2003-08,64.52M,5.445M,12.18M,12.18M,9.547M,,,,,,17.55M,,,-9.236M,-5.262M,2.331M,,5.385M,97.08M,-7.682M,,-7.682M,0.00,-70.66M,-4.465M,-82.81M,,,31.14M,-39.19M,-8.047M,-2.916M,,-10.96M,141.83M,3.314M,-0.684M,144.46M,31.14M,,,-39.19M,,
2003-05,64.25M,13.32M,12.06M,12.06M,2.033M,,,,,-0.001M,-0.415M,,,7.116M,-4.492M,34.22M,,36.42M,128.09M,-11.69M,,-11.69M,-16.50M,-131.30M,-3.371M,-162.86M,,,36.23M,-0.143M,36.09M,-2.898M,,33.19M,142.10M,-1.579M,1.313M,141.83M,36.23M,,,-0.143M,,
2003-02,54.22M,10.15M,11.99M,11.99M,5.744M,,,,,0.001M,-12.56M,,,-3.575M,-2.492M,15.86M,,-2.769M,79.35M,-7.49M,,-7.49M,,-79.32M,-1.323M,-88.14M,,,13.73M,-45.21M,-31.48M,-2.887M,,-34.36M,183.68M,-43.16M,1.569M,142.10M,13.73M,,,-45.21M,,
2002-11,40.09M,15.77M,17.12M,17.12M,12.24M,,,,,,24.61M,,,4.897M,5.575M,15.62M,,50.71M,135.92M,-11.31M,,-11.31M,0.00,35.22M,15.53M,39.43M,,,4.772M,-134.94M,-130.17M,-2.954M,,-133.12M,141.35M,42.23M,0.097M,183.68M,4.772M,,,-134.94M,,
2002-08,47.20M,11.38M,16.84M,16.84M,-10.80M,,,,,,-9.277M,,,-0.844M,-3.59M,-4.337M,,-18.05M,46.58M,-7.278M,,-7.278M,7.345M,-30.17M,-10.52M,-40.62M,,,17.57M,-111.08M,-93.51M,-2.994M,,-96.50M,231.25M,-90.55M,0.65M,141.35M,17.57M,,,-111.08M,,
2002-05,54.30M,29.40M,15.72M,15.72M,-9.684M,,,,,,12.07M,,,-9.882M,-2.195M,19.04M,,19.03M,108.77M,-7.261M,,-7.261M,,-83.35M,4.019M,-86.59M,,,26.58M,-36.27M,-9.695M,-2.972M,,-12.67M,220.70M,9.513M,1.039M,231.25M,26.58M,,,-36.27M,,
2002-02,49.81M,4.367M,13.80M,13.80M,2.751M,,,,,,-21.50M,,,3.552M,2.066M,-16.79M,,-32.67M,38.06M,-5.729M,,-5.729M,,-39.72M,-9.031M,-54.48M,,,32.94M,-10.95M,21.99M,-2.961M,,19.03M,218.66M,2.607M,-0.569M,220.70M,32.94M,,,-10.95M,,
2001-11,34.29M,23.78M,14.19M,14.19M,8.592M,,,,,,25.37M,,,0.141M,4.422M,18.09M,,48.02M,128.87M,-8.826M,,-8.826M,,-63.32M,-21.84M,-93.99M,,,-4.606M,-100.89M,-105.50M,-2.981M,,-108.48M,292.82M,-73.60M,-0.56M,218.66M,-4.606M,,,-100.89M,,
2001-08,40.29M,59.28M,13.79M,13.79M,-17.74M,,,,,,-1.289M,,,-0.576M,4.119M,-15.40M,,-13.15M,82.47M,-12.81M,,-12.81M,,54.59M,29.38M,71.16M,,,45.63M,-113.96M,-68.33M,-2.99M,,-71.32M,209.73M,82.31M,0.778M,292.82M,45.63M,,,-113.96M,,
2001-05,61.30M,44.02M,14.48M,14.48M,-11.72M,,,,,,7.59M,,,-7.367M,-3.82M,34.34M,,30.74M,138.83M,-14.60M,,-14.60M,,51.97M,-0.006M,37.36M,,,14.60M,-153.17M,-138.57M,-3.01M,,-141.58M,176.26M,34.61M,-1.136M,209.73M,14.60M,,,-153.17M,,
2001-02,69.76M,30.93M,14.19M,14.19M,3.272M,,,,,,-15.40M,,,-1.587M,-8.273M,-24.36M,,-49.61M,68.54M,-10.32M,,-10.32M,,-23.11M,-7.534M,-40.96M,,,31.91M,-117.09M,-85.18M,-3.026M,,-88.21M,236.87M,-60.63M,0.023M,176.26M,31.91M,,,-117.09M,,
2000-11,79.20M,57.42M,12.34M,12.34M,4.191M,,,,,0.00,-1.93M,,,-0.517M,0.458M,-0.811M,,-2.80M,150.35M,-12.32M,0.00,-12.32M,,-152.68M,77.89M,-111.55M,,,31.67M,-20.90M,10.78M,-3.007M,,7.769M,191.02M,46.56M,-0.712M,236.87M,31.67M,,,-20.90M,,
2000-08,78.27M,14.72M,9.864M,9.864M,17.28M,,,,,0.00,-16.82M,,,3.905M,-2.013M,22.54M,,7.62M,127.75M,-6.866M,0.00,-6.866M,,3.387M,-76.24M,-79.71M,,,31.88M,-90.20M,-58.32M,-3.005M,,-61.32M,204.66M,-13.29M,-0.355M,191.02M,31.88M,,,-90.20M,,
2000-05,65.78M,39.40M,10.14M,10.14M,-14.65M,,,,,1.683M,-1.151M,,,-1.838M,1.079M,17.39M,,15.48M,117.83M,-6.689M,0.00,-6.689M,,-11.86M,-1.481M,-20.03M,,,27.04M,-76.99M,-49.95M,-2.989M,,-52.94M,160.39M,44.86M,-0.591M,204.66M,27.04M,,,-76.99M,,
2000-02,64.56M,16.40M,10.92M,10.92M,-5.42M,,,,,-0.672M,-68.59M,,,3.038M,-4.931M,33.38M,,-37.10M,48.70M,-3.964M,5.42M,1.456M,,-18.05M,-0.174M,-16.76M,,,28.54M,-67.37M,-38.83M,-2.978M,,-41.80M,171.14M,-9.871M,-0.887M,160.39M,28.54M,,,-67.37M,,
1999-11,97.36M,-54.37M,11.20M,11.20M,-36.40M,,,,,0.778M,57.73M,,,3.295M,2.704M,15.40M,,79.13M,97.70M,-12.06M,,28.56M,-5.932M,48.86M,21.67M,93.16M,,,13.04M,-175.61M,-162.57M,-3.011M,0.00,-165.58M,145.83M,25.28M,0.032M,171.14M,13.04M,,,-175.61M,,
1999-08,57.16M,13.15M,12.47M,12.47M,32.31M,,,,,-1.607M,-13.33M,,,-6.99M,-0.126M,0.178M,,-20.27M,93.21M,-12.46M,,-12.46M,0.00,-66.62M,121.57M,42.49M,,,48.52M,-158.22M,-109.70M,-3.093M,0.978M,-111.82M,122.16M,23.88M,-0.204M,145.83M,48.52M,,,-158.22M,,
1999-05,44.96M,-0.627M,14.70M,14.70M,3.036M,,,,,15.21M,10.98M,,,9.462M,-0.354M,9.191M,,29.28M,106.56M,-10.17M,,-10.17M,0.00,-19.49M,-0.482M,-30.14M,,,45.75M,-75.47M,-29.71M,-3.072M,-0.978M,-33.76M,79.49M,42.65M,0.019M,122.16M,45.75M,,,-75.47M,,
1999-02,38.28M,6.571M,12.39M,12.39M,1.751M,,,,,,10.35M,,,-18.76M,-1.382M,-12.48M,,-22.26M,36.73M,-7.52M,,-7.52M,-31.00M,19.66M,-12.49M,-31.35M,,,35.62M,-69.86M,-34.24M,-3.057M,0.978M,-36.32M,110.87M,-30.94M,-0.444M,79.49M,35.62M,,,-69.86M,,
1998-11,50.27M,-4.952M,11.29M,11.29M,-3.963M,,,,,,-30.79M,,,1.991M,-0.609M,26.46M,,-2.95M,58.77M,-7.032M,,-7.032M,0.00,48.55M,43.97M,85.49M,,,21.85M,-237.79M,-215.94M,-3.293M,0.00,-219.23M,183.80M,-74.98M,2.051M,110.87M,21.85M,,,-237.79M,,
1998-08,0.152M,10.67M,14.66M,14.66M,-4.103M,,,,,,37.32M,,,2.899M,6.022M,13.42M,,59.66M,81.04M,-16.19M,,-16.19M,-1.201M,17.77M,-5.79M,-5.403M,,,11.37M,-18.48M,-7.108M,-3.379M,2.768M,-7.719M,115.36M,67.92M,0.52M,183.80M,11.37M,,,-18.48M,,
