,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-11,294.65M,294.65M,26.52M,268.13M,,,120.13M,64.18M,10.35M,-14.34M,,,,,194.66M,73.47M,,,,-14.34M,,62.17M,22.08M,40.09M,40.09M,49.33M,90.58M,17.12M,73.47M,0.085,0.0,0.1048,0.085,0.085,0.0,0.1045,0.085,467.80M,474.24M,0.0063
2002-08,284.88M,284.88M,31.64M,253.24M,,,120.49M,59.75M,3.541M,-4.198M,,,,,183.77M,69.47M,,,,-4.198M,,69.41M,22.21M,47.20M,47.20M,50.06M,86.31M,16.84M,69.47M,0.1,0.0,0.106,0.1,0.095,0.0,0.1009,0.095,476.02M,486.75M,0.0063
2002-05,317.36M,317.36M,25.13M,292.23M,,,132.96M,62.86M,3.541M,-15.74M,,,,,199.36M,92.86M,,,,-15.74M,,79.86M,25.55M,54.30M,54.30M,65.01M,108.58M,15.72M,92.86M,0.115,0.0,0.1375,0.115,0.11,0.0,0.1316,0.11,476.40M,495.37M,0.0063
2002-02,267.90M,267.90M,21.00M,246.90M,,,114.92M,59.30M,3.541M,-0.826M,,,,,177.76M,69.14M,,,,-0.826M,,73.25M,23.44M,49.81M,49.81M,50.37M,82.95M,13.80M,69.14M,0.105,0.0,0.1062,0.105,0.1,0.0,0.1011,0.1,473.16M,490.49M,0.0063
2001-11,264.54M,264.54M,19.04M,245.50M,,,122.98M,54.65M,3.55M,-17.96M,,,,,181.18M,64.32M,,,,-17.96M,,51.18M,16.89M,34.29M,34.29M,46.32M,78.51M,14.19M,64.32M,0.07,0.0,0.0954,0.07,0.07,0.0,0.0947,0.07,473.03M,488.10M,0.0063
2001-08,292.12M,292.12M,20.04M,272.08M,,,121.48M,54.19M,3.568M,-39.45M,,,,,179.23M,92.84M,,,,-39.45M,,30.14M,19.85M,40.29M,40.29M,63.96M,106.63M,13.79M,92.84M,0.085,0.0,0.1347,0.085,0.08,0.0,0.1276,0.08,476.10M,497.13M,0.0063
2001-05,344.09M,344.09M,22.36M,321.73M,,,140.66M,59.60M,3.581M,-31.03M,,,,,203.84M,117.90M,,,,-31.03M,,91.50M,30.20M,61.30M,61.30M,82.10M,132.38M,14.48M,117.90M,0.13,0.0,0.1736,0.13,0.125,0.0,0.1666,0.125,476.33M,500.25M,0.0063
2001-02,328.97M,328.97M,20.02M,308.95M,,,134.23M,55.69M,3.582M,-17.04M,,,,,193.50M,115.45M,,,,-17.04M,,104.11M,34.36M,69.76M,69.76M,81.17M,129.65M,14.19M,115.45M,0.145,0.0,0.1688,0.145,0.14,0.0,0.1625,0.14,480.16M,507.22M,0.0063
2000-11,355.19M,355.19M,22.26M,332.93M,,,145.12M,60.27M,3.38M,-7.889M,,,,,208.77M,124.16M,,,,-7.889M,,122.78M,43.59M,79.20M,79.20M,84.28M,136.50M,12.34M,124.16M,0.1675,0.0,0.1781,0.1675,0.1575,0.0,0.1674,0.1575,478.92M,515.00M,0.0063
2000-08,328.87M,328.87M,23.67M,305.20M,,,136.54M,61.57M,1.215M,9.397M,,,,,199.32M,105.88M,,,,9.397M,,120.43M,42.16M,78.27M,78.27M,72.16M,115.74M,9.864M,105.88M,0.165,0.0,0.1522,0.165,0.155,0.0,0.1431,0.155,476.93M,511.66M,0.0063
2000-05,300.08M,300.08M,20.60M,279.48M,,,121.54M,60.91M,1.215M,1.39M,,,,,183.67M,95.81M,,,,1.39M,,101.20M,35.42M,65.78M,65.78M,64.87M,105.96M,10.14M,95.81M,0.1375,0.0,0.1356,0.1375,0.13,0.0,0.1282,0.13,475.03M,510.70M,0.0063
2000-02,282.23M,282.23M,20.72M,261.51M,,,114.52M,57.46M,1.203M,5.348M,,,,,173.18M,88.33M,,,,5.348M,,99.33M,34.77M,64.56M,64.56M,61.09M,99.26M,10.92M,88.33M,0.135,0.0,0.1277,0.135,0.1275,0.0,0.1206,0.1275,474.51M,505.96M,0.0063
1999-11,281.77M,281.77M,24.07M,257.70M,,,110.68M,57.01M,1.231M,54.90M,,,,,168.92M,88.78M,,,,54.90M,,153.29M,55.93M,97.36M,97.36M,62.49M,99.98M,11.20M,88.78M,0.2,0.0,0.1268,0.2,0.185,0.0,0.1179,0.185,476.45M,519.78M,0.0063
1999-08,260.88M,260.88M,24.27M,236.61M,,,111.03M,48.00M,1.211M,8.734M,,,,,160.24M,76.37M,,,,8.734M,,90.03M,32.87M,57.16M,57.16M,51.61M,88.84M,12.47M,76.37M,0.12,0.0,0.1086,0.12,0.11,0.0,0.0993,0.11,487.58M,518.63M,0.0063
1999-05,245.89M,245.89M,23.70M,222.18M,,,106.53M,47.60M,1.198M,-1.325M,,,,,155.32M,66.86M,,,,-1.325M,,70.79M,25.83M,44.96M,44.96M,45.80M,81.56M,14.70M,66.86M,0.0925,0.0,0.0942,0.0925,0.0875,0.0,0.0891,0.0875,484.58M,512.40M,0.0063
1999-02,226.90M,226.90M,22.50M,204.40M,,,103.88M,44.88M,1.19M,-0.02M,,,,,149.95M,54.45M,,,,-0.02M,,60.32M,22.04M,38.28M,38.28M,38.29M,66.85M,12.39M,54.45M,0.0788,0.0,0.0788,0.0788,0.075,0.0,0.075,0.075,487.78M,507.07M,0.0063
1998-11,246.74M,246.74M,24.29M,222.44M,,,95.90M,46.53M,,2.765M,,,,,150.17M,72.27M,,,,2.765M,,80.17M,29.90M,50.27M,50.27M,48.53M,83.56M,11.29M,72.27M,0.095,0.0,0.0916,0.095,0.0925,0.0,0.0892,0.0925,511.35M,522.77M,0.0063
1998-08,222.93M,222.93M,23.37M,199.56M,,,118.74M,48.98M,,-37.72M,,,,,167.72M,31.84M,,,,-37.72M,,0.242M,0.09M,0.152M,0.152M,23.85M,46.50M,14.66M,31.84M,0.0003,,0.0443,0.0003,0.0003,,0.0436,0.0003,538.22M,547.30M,0.0063
