,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-08,,559.28M,1.396B,1.956B,260.95M,60.72M,321.67M,,59.06M,168.78M,,2.505B,,,,,,,,533.10M,-254.38M,278.72M,2.153B,438.26M,2.591B,,,291.16M,3.161B,5.666B,64.37M,,,64.37M,355.11M,419.49M,,,,,164.44M,164.44M,,223.82M,807.74M,,,,60.78M,,60.78M,,64.94M,125.72M,933.46M,0.061M,3.819B,2.432B,1.533B,,,13.70M,4.733B
2007-05,,901.62M,1.422B,2.324B,318.09M,53.37M,371.46M,,61.14M,196.10M,,2.953B,,,,,,,,520.77M,-254.38M,266.40M,2.147B,476.98M,2.624B,,,293.02M,3.183B,6.136B,55.04M,,,55.04M,375.82M,430.86M,,,,,179.33M,179.33M,,168.89M,779.08M,,,,97.97M,,97.97M,,63.19M,161.16M,940.24M,0.061M,3.614B,2.453B,887.88M,,,16.76M,5.196B
2007-02,,526.03M,1.756B,2.282B,304.75M,63.51M,368.26M,,42.08M,164.26M,,2.857B,,,,,,,,513.27M,-254.38M,258.90M,2.134B,464.34M,2.598B,,,189.89M,3.047B,5.904B,46.87M,,,46.87M,278.58M,325.45M,,,,,139.69M,139.69M,,190.38M,655.52M,,,,78.37M,,78.37M,,62.22M,140.58M,796.11M,0.061M,3.462B,2.429B,789.98M,,,7.103M,5.108B
2006-11,,772.50M,1.508B,2.281B,356.82M,51.85M,408.67M,,39.31M,155.61M,,2.884B,0.0,35.35M,156.37M,287.49M,,2.363M,,481.57M,-254.38M,227.20M,2.149B,506.40M,2.656B,,,194.98M,3.078B,5.963B,55.03M,,,55.03M,313.64M,368.67M,,,,,130.31M,130.31M,,178.37M,677.35M,,,,70.72M,,70.72M,,62.61M,133.32M,810.67M,0.061M,3.318B,2.452B,623.92M,4.901M,1.443M,6.344M,5.152B
2006-08,,644.75M,1.342B,1.986B,284.59M,46.10M,330.69M,,40.91M,138.50M,,2.497B,,,,,,,,422.12M,-209.24M,212.88M,2.148B,541.54M,2.689B,,,222.26M,3.124B,5.621B,38.62M,,,38.62M,266.01M,304.63M,,,,,103.51M,103.51M,,149.56M,557.70M,,,,95.56M,,95.56M,,53.70M,149.27M,706.97M,0.056M,3.161B,2.438B,686.82M,,,1.762M,4.914B
2006-05,,425.39M,1.401B,1.826B,276.24M,55.95M,332.19M,,41.37M,128.81M,,2.328B,,,,,,,,419.42M,-209.24M,210.18M,2.144B,593.57M,2.737B,,,225.65M,3.173B,5.501B,49.48M,,,49.48M,297.92M,347.40M,,,,,89.02M,89.02M,,137.87M,574.28M,,,,112.07M,,112.07M,,46.53M,158.60M,732.88M,0.03M,3.067B,2.418B,713.35M,,,-2.891M,4.769B
2006-02,,635.19M,1.469B,2.105B,281.53M,50.32M,331.85M,,34.18M,124.90M,,2.596B,,,,,,,,417.40M,-209.24M,208.16M,,2.768B,2.768B,,,229.98M,3.206B,5.802B,51.22M,,,51.22M,310.25M,361.47M,,,,,82.41M,82.41M,,127.42M,571.30M,,,,110.99M,,110.99M,,42.83M,153.82M,725.12M,29.91M,2.944B,2.408B,299.58M,,,-5.034M,5.077B
2005-11,,420.82M,1.280B,1.701B,173.24M,31.50M,204.75M,,44.28M,58.71M,,2.009B,0.0,,77.71M,234.52M,,0.565M,,312.79M,-209.24M,103.55M,,135.16M,135.16M,,,193.03M,431.74M,2.440B,41.04M,,,41.04M,226.98M,268.03M,,,,,57.84M,57.84M,,154.53M,480.40M,,,,78.80M,,78.80M,,16.79M,95.59M,575.99M,0.06M,2.839B,1.351B,2.324B,,,-0.914M,1.864B
2005-08,,454.17M,1.439B,1.893B,157.24M,39.89M,197.12M,,35.75M,55.02M,,2.181B,,,,,,,,310.92M,-207.25M,103.66M,,135.49M,135.49M,,,185.77M,424.92M,2.606B,37.43M,,,37.43M,207.36M,244.78M,,,,,60.01M,60.01M,,174.29M,479.08M,,,,41.88M,,41.88M,,4.476M,46.36M,525.44M,29.60M,2.682B,1.291B,1.920B,,,-2.811M,2.080B
2005-05,,253.30M,1.437B,1.691B,172.17M,36.47M,208.64M,,43.85M,56.51M,,2.000B,,,,,,,,306.19M,-207.25M,98.93M,,136.19M,136.19M,,,186.52M,421.65M,2.421B,38.72M,,,38.72M,215.76M,254.47M,,,,,61.03M,61.03M,,202.42M,517.92M,,,,28.62M,,28.62M,,4.767M,33.39M,551.31M,29.60M,2.537B,1.265B,1.962B,,,0.523M,1.870B
2005-02,,217.36M,1.250B,1.467B,138.35M,28.19M,166.54M,,28.37M,37.92M,,1.700B,,,,,,,,307.59M,-207.25M,100.34M,,136.90M,136.90M,,,185.64M,422.87M,2.123B,38.58M,,,38.58M,196.57M,235.14M,,,,,57.09M,57.09M,,191.96M,484.19M,,,,8.999M,,8.999M,,5.058M,14.06M,498.24M,29.58M,2.388B,1.229B,2.018B,,,-3.223M,1.625B
2004-11,,259.06M,1.054B,1.313B,141.94M,25.50M,167.44M,,18.62M,51.75M,,1.551B,0.0,,60.64M,228.17M,,18.12M,,306.93M,-207.25M,99.68M,,125.80M,125.80M,,,182.13M,407.60M,1.959B,43.19M,,,43.19M,202.76M,245.95M,,,,,59.54M,59.54M,,145.91M,451.41M,,,,78.91M,,78.91M,,4.838M,83.75M,535.16M,29.58M,2.239B,1.165B,2.007B,,,-2.289M,1.423B
2004-08,,198.70M,941.07M,1.140B,110.57M,26.52M,137.09M,,,30.11M,26.60M,1.334B,,,,,,,,276.79M,-187.76M,89.03M,,124.46M,124.46M,,,173.75M,387.24M,1.721B,36.66M,,,36.66M,169.72M,206.38M,,,,,47.15M,47.15M,,176.69M,430.22M,,,,59.73M,,59.73M,,5.097M,64.83M,495.05M,29.58M,2.128B,1.006B,1.938B,,,-0.558M,1.226B
2004-05,,218.66M,1.063B,1.281B,105.65M,37.88M,143.54M,,,31.96M,27.92M,1.485B,,,,,,,,272.47M,-187.76M,84.71M,,125.04M,125.04M,,,38.73M,248.49M,1.733B,33.13M,,,33.13M,188.85M,221.98M,,,,,44.78M,44.78M,,154.25M,421.01M,,,,49.86M,,49.86M,,,49.86M,470.88M,29.58M,2.027B,953.20M,1.743B,,,-4.42M,1.262B
2004-02,,199.76M,1.050B,1.249B,122.96M,32.04M,154.99M,,,27.96M,29.86M,1.462B,,,,,,,,270.27M,-187.76M,82.51M,,111.13M,111.13M,,,35.72M,229.37M,1.692B,35.60M,,,35.60M,175.51M,211.11M,,,,,43.33M,43.33M,,185.36M,439.80M,,,,34.23M,,34.23M,,,34.23M,474.02M,29.58M,1.920B,901.83M,1.640B,,,5.582M,1.217B
2003-11,,189.92M,906.62M,1.097B,146.31M,27.73M,174.04M,,,35.88M,22.58M,1.329B,0.0,,49.57M,200.34M,,14.86M,,264.77M,-187.76M,77.01M,,111.29M,111.29M,,,37.72M,226.02M,1.555B,37.44M,,,37.44M,160.01M,197.45M,,,,,45.60M,45.60M,,193.48M,436.53M,,,,17.72M,,17.72M,,,17.72M,454.24M,29.58M,1.800B,874.13M,1.602B,,,-0.999M,1.101B
2003-08,,144.46M,708.27M,852.73M,108.71M,32.35M,141.06M,,,12.14M,31.24M,1.037B,,,,,,,,237.11M,-164.23M,72.87M,,112.45M,112.45M,,24.80M,39.50M,249.62M,1.287B,32.07M,,,32.07M,148.30M,180.37M,,,,,41.61M,41.61M,,201.02M,423.00M,,,,,,,,,,423.00M,29.58M,1.720B,764.32M,1.650B,,,-0.127M,863.78M
2003-05,,141.83M,640.79M,782.62M,129.23M,29.36M,158.59M,,,20.30M,24.54M,986.04M,,,,,,,,237.86M,-164.23M,73.63M,,111.98M,111.98M,,25.73M,42.36M,253.69M,1.240B,41.31M,,,41.31M,157.94M,199.25M,,,,,42.02M,42.02M,,191.53M,432.80M,,,,,,,,,,432.80M,29.58M,1.658B,746.01M,1.627B,,,-0.506M,806.94M
2003-02,,142.10M,510.56M,652.66M,135.63M,23.31M,158.94M,,,22.98M,18.48M,853.05M,,,,,,,,234.46M,-164.23M,70.23M,,97.18M,97.18M,,26.24M,41.13M,234.78M,1.088B,34.19M,,,34.19M,145.52M,179.71M,,,,,32.48M,32.48M,,178.20M,390.40M,,,,,,,,,,390.40M,29.58M,1.597B,718.29M,1.644B,,,-3.657M,697.43M
2002-11,,183.68M,434.05M,617.74M,116.51M,30.37M,146.87M,,,31.53M,18.03M,814.17M,0.0,,45.66M,187.35M,,2.315M,,235.32M,-164.23M,71.09M,,99.77M,99.77M,,24.45M,42.13M,237.44M,1.052B,37.76M,,,37.76M,135.03M,172.79M,,,,,31.18M,31.18M,,173.31M,377.29M,,,,,,,,,,377.29M,29.58M,1.546B,710.27M,1.607B,,,-3.95M,674.32M
2002-08,,141.35M,494.88M,636.23M,144.91M,27.68M,172.59M,,,31.66M,23.20M,863.67M,,,,,,,,207.73M,-138.37M,69.36M,,109.34M,109.34M,,23.21M,39.28M,241.19M,1.105B,32.87M,,,32.87M,127.98M,160.85M,,,,,27.32M,27.32M,,156.55M,344.71M,,,,,,,,,,344.71M,736.53M,1.509B,,1.477B,,,-7.852M,760.16M
2002-05,,231.25M,468.66M,699.91M,133.88M,28.86M,162.74M,,,26.74M,18.39M,907.78M,,,,,,,,218.65M,-138.37M,80.29M,,114.06M,114.06M,,17.34M,35.68M,247.36M,1.155B,33.71M,,,33.71M,153.72M,187.43M,,,,,25.80M,25.80M,,133.42M,346.65M,,,,,,,,,,346.65M,725.36M,1.464B,,1.375B,,,-6.576M,808.48M
2002-02,,220.70M,400.09M,620.79M,143.65M,20.17M,163.82M,,,22.30M,19.29M,826.20M,,,,,,,,217.42M,-138.37M,79.06M,,,,,12.56M,72.12M,163.74M,989.94M,34.44M,,,34.44M,118.52M,152.96M,,,,,23.62M,23.62M,,123.85M,300.43M,,,,,,,,,,300.43M,649.62M,1.413B,,1.372B,,,-1.185M,689.51M
2001-11,,218.66M,362.95M,581.61M,124.11M,18.30M,142.40M,,,22.73M,20.62M,767.36M,0.0,3.382M,38.38M,165.00M,,12.59M,,219.36M,-138.37M,80.99M,,,,,11.59M,70.67M,163.26M,930.62M,30.89M,,,30.89M,128.83M,159.72M,,,,,21.70M,21.70M,,132.23M,313.65M,,,,,,,,,,313.65M,625.39M,1.366B,,1.379B,,,3.918M,616.97M
2001-08,,292.82M,283.07M,575.89M,149.30M,19.00M,168.30M,,,24.34M,22.46M,790.98M,,,,,,,,215.76M,-135.69M,80.07M,,,,,23.04M,74.03M,177.14M,968.13M,30.75M,,,30.75M,248.09M,278.84M,,,,,19.35M,19.35M,,,298.19M,,,,,,,,,,298.19M,619.87M,1.335B,,1.284B,,,-0.389M,669.94M
2001-05,,209.73M,378.44M,588.17M,148.15M,18.38M,166.54M,,,22.26M,27.00M,803.97M,,,,,,,,209.99M,-135.69M,74.30M,,,,,5.458M,113.30M,193.06M,997.03M,31.33M,,,31.33M,150.81M,182.14M,,,,,17.59M,17.59M,,114.33M,314.05M,,,,,,,,,,314.05M,571.42M,1.298B,,1.193B,,,6.541M,682.97M
2001-02,,176.26M,443.96M,620.22M,149.29M,25.61M,174.90M,,,26.22M,24.04M,845.38M,,,,,,,,202.84M,-135.69M,67.15M,,,,,,122.11M,189.26M,1.035B,38.69M,,,38.69M,143.81M,182.50M,,,,,18.02M,18.02M,,87.23M,287.75M,,,,4.145M,,4.145M,,,4.145M,291.90M,557.86M,1.239B,,1.050B,,,-4.004M,742.74M
2000-11,,236.87M,442.99M,679.85M,140.51M,19.60M,160.11M,,,23.46M,14.49M,877.91M,0.0,,27.01M,165.03M,,7.915M,,199.96M,-135.69M,64.27M,,,,,,127.24M,191.50M,1.069B,40.28M,,,40.28M,181.86M,222.14M,,,,,17.70M,17.70M,,74.77M,314.60M,,,,2.267M,,2.267M,,,2.267M,316.87M,530.80M,1.173B,,950.06M,,,-0.698M,752.54M
2000-08,,191.02M,437.21M,628.22M,158.66M,,158.66M,,,27.65M,14.94M,829.48M,,,,,,,,189.33M,-130.28M,59.05M,,,,,14.17M,140.94M,214.16M,1.044B,40.80M,,,40.80M,183.88M,224.68M,,,,,17.93M,57.30M,39.37M,87.97M,369.95M,,,,,,,,,,369.95M,473.54M,1.096B,,954.88M,,,58.69M,673.68M
2000-05,,204.66M,340.81M,545.47M,143.42M,,143.42M,,,41.66M,12.93M,743.48M,,,,,,,,204.30M,-144.76M,59.54M,,,,,16.40M,116.79M,192.72M,936.21M,36.89M,,,36.89M,168.52M,205.41M,,,,,18.23M,30.32M,12.08M,85.08M,320.80M,,,,11.60M,,11.60M,,,11.60M,332.40M,427.57M,1.021B,,880.44M,,,35.60M,603.80M
2000-02,,160.39M,481.32M,641.71M,145.91M,,145.91M,,,37.71M,14.28M,839.60M,,,,,,,,208.48M,-147.07M,61.41M,,,,,5.769M,110.30M,177.48M,1.017B,38.73M,,,38.73M,165.58M,204.31M,,,,,18.71M,56.80M,38.09M,82.11M,343.21M,,,,37.26M,,37.26M,,,37.26M,380.47M,388.90M,958.30M,,829.20M,,,118.61M,636.60M
1999-11,,171.14M,327.57M,498.72M,68.37M,10.40M,78.77M,,,36.18M,9.348M,623.02M,0.0,0.846M,30.27M,183.50M,,6.592M,,221.21M,-152.07M,69.14M,,,,,,111.71M,180.84M,803.86M,35.69M,,,35.69M,150.90M,186.59M,,,,,15.68M,15.68M,,65.36M,267.63M,,,,24.02M,,24.02M,,,24.02M,291.65M,369.06M,896.24M,,793.42M,,,40.33M,512.21M
1999-08,,145.83M,335.13M,480.97M,133.67M,,133.67M,,,20.57M,12.05M,647.26M,,,,,,,,221.48M,-122.46M,99.02M,,,,,,92.17M,191.19M,838.45M,34.20M,,,34.20M,142.24M,176.45M,,,,,19.22M,19.22M,,55.43M,251.09M,,,,8.986M,,8.986M,,,8.986M,260.08M,363.01M,804.98M,,635.04M,,,45.42M,578.37M
1999-05,,122.16M,204.39M,326.54M,121.02M,,121.02M,,,35.01M,11.93M,494.51M,,,,,,,,217.37M,-122.90M,94.47M,,,,,130.00M,123.49M,347.96M,842.46M,38.58M,,,38.58M,139.13M,177.71M,,,,,21.64M,21.64M,,62.86M,262.21M,,,,5.692M,,5.692M,,,5.692M,267.90M,331.44M,773.13M,,549.06M,,,19.05M,574.56M
1999-02,,79.49M,183.75M,263.24M,132.04M,,132.04M,,,31.91M,11.57M,438.76M,,,,,,,,229.19M,-135.63M,93.56M,,,,,2.128M,238.05M,333.74M,772.51M,29.25M,,,29.25M,125.78M,155.03M,,,,,17.97M,17.97M,,54.63M,227.64M,,,,,,,,,,227.64M,315.37M,750.22M,,537.56M,,,16.83M,544.87M
1998-11,,110.87M,161.68M,272.55M,141.18M,,141.18M,,,32.03M,10.19M,455.94M,0.0,7.421M,29.31M,184.79M,,,,221.52M,-127.63M,93.89M,,,,,16.65M,200.85M,311.39M,767.33M,48.68M,,,48.68M,117.54M,166.22M,,,,,11.33M,11.33M,,73.41M,250.97M,,,,,,,,,,250.97M,306.86M,732.73M,,521.34M,,,-1.879M,516.36M
1998-08,,183.80M,259.47M,443.27M,113.72M,,113.72M,,,,38.93M,595.91M,,,,,,,,194.17M,-98.93M,95.24M,,,,,19.74M,192.07M,307.05M,902.97M,46.69M,,,46.69M,96.39M,143.08M,,,,,12.96M,12.96M,,67.94M,223.98M,,,,,,,,,,223.98M,0.007M,708.78M,354.17M,380.10M,-4.753M,0.875M,-3.878M,678.98M
1998-05,,115.36M,277.25M,392.60M,151.89M,,151.89M,,,,44.67M,589.16M,,,,,,,,222.82M,-122.90M,99.91M,,,,,17.23M,191.74M,308.89M,898.05M,44.51M,,,44.51M,108.76M,153.26M,,,,,14.58M,14.58M,,45.96M,213.82M,,,,,,,,,,213.82M,0.007M,711.98M,338.66M,361.62M,-5.273M,0.481M,-4.792M,684.24M
