,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2013-10,183.00M,,,,,,,98.00M,98.00M,,0.00,41.00M,,166.00M,-455.00M,-56.00M,210.00M,,,20.00M,-344.00M,19.00M,-56.00M,,,,107.00M,,57.00M,,,,34.00M,-47.00M,-13.00M,-120.00M,-120.00M,,-110.00M,1.745B,-34.00M,,1.711B,34.00M,,,-47.00M,12.00M,7.00M
2013-07,168.00M,,,,,,,100.00M,100.00M,,0.00,40.00M,,-42.00M,105.00M,-39.00M,-36.00M,,,68.00M,98.00M,364.00M,-40.00M,,,,6.00M,,-34.00M,,,,40.00M,-50.00M,-10.00M,-120.00M,-120.00M,,-130.00M,1.545B,200.00M,,1.745B,40.00M,,,-50.00M,30.00M,39.00M
2013-04,-129.00M,,,,,,,106.00M,106.00M,,278.00M,39.00M,,42.00M,-166.00M,-40.00M,152.00M,,,-58.00M,-112.00M,224.00M,-52.00M,,,,-9.00M,,-61.00M,,,,67.00M,-100.00M,-33.00M,-108.00M,-108.00M,,-141.00M,1.523B,22.00M,,1.545B,67.00M,,,-100.00M,122.00M,7.00M
2013-01,34.00M,,,,,,,106.00M,106.00M,,,42.00M,,-69.00M,112.00M,-6.00M,-248.00M,,,45.00M,-97.00M,16.00M,-49.00M,,,,302.00M,,253.00M,,,,18.00M,-48.00M,-30.00M,-108.00M,-108.00M,,-138.00M,1.392B,131.00M,,1.523B,18.00M,,,-48.00M,32.00M,39.00M
2012-10,-515.00M,,,,,,,97.00M,97.00M,78.00M,421.00M,44.00M,,124.00M,310.00M,108.00M,-64.00M,,,-192.00M,162.00M,411.00M,-41.00M,,,-1.00M,79.00M,,37.00M,,,,45.00M,-516.00M,-471.00M,-111.00M,-111.00M,,-582.00M,1.529B,-134.00M,-3.00M,1.392B,45.00M,,,-516.00M,10.00M,7.00M
2012-07,218.00M,,,,,,,105.00M,105.00M,91.00M,0.00,42.00M,,-52.00M,250.00M,214.00M,-44.00M,,,-264.00M,156.00M,656.00M,-45.00M,,,-3.00M,-233.00M,,-281.00M,,,,6.00M,-500.00M,-494.00M,-115.00M,-115.00M,,-609.00M,1.761B,-234.00M,2.00M,1.529B,6.00M,,,-500.00M,54.00M,39.00M
2012-04,289.00M,,,,,,,108.00M,108.00M,14.00M,0.00,43.00M,,43.00M,-214.00M,178.00M,51.00M,,,134.00M,149.00M,603.00M,-39.00M,,,-7.00M,-213.00M,,-259.00M,,,,43.00M,-200.00M,-157.00M,-104.00M,-104.00M,,-261.00M,1.681B,83.00M,-3.00M,1.761B,43.00M,,,-200.00M,146.00M,7.00M
2012-01,117.00M,,,,,,,112.00M,112.00M,39.00M,,53.00M,,53.00M,147.00M,179.00M,-412.00M,,,-54.00M,-140.00M,181.00M,-37.00M,,,-4.179B,59.00M,,-4.157B,,,,2.00M,-200.00M,-198.00M,-104.00M,-104.00M,,-302.00M,5.96B,-4.278B,-1.00M,1.681B,2.00M,,,-200.00M,33.00M,41.00M
2011-10,,24.00M,,,11.00M,,,59.00M,59.00M,236.00M,30.00M,36.00M,,-1.501B,275.00M,147.00M,-222.00M,36.00M,,-332.00M,-96.00M,701.00M,-73.00M,4.00M,4.00M,0.00,558.00M,,489.00M,-14.00M,,-14.00M,31.00M,-175.00M,-144.00M,,-106.00M,14.00M,-250.00M,5.018B,940.00M,2.00M,5.96B,31.00M,,-1.744B,-175.00M,100.00M,7.00M
2011-07,,-25.00M,,,-17.00M,,,59.00M,59.00M,-83.00M,3.00M,38.00M,,476.00M,212.00M,-64.00M,-49.00M,-56.00M,-432.00M,512.00M,123.00M,599.00M,-55.00M,87.00M,87.00M,0.00,220.00M,,252.00M,1.745B,,1.745B,5.00M,-25.00M,-20.00M,,-105.00M,-14.00M,1.606B,2.558B,2.457B,3.00M,5.018B,5.00M,,1.745B,-25.00M,105.00M,0.00
2011-04,,0.00,,,1.00M,,,65.00M,65.00M,-27.00M,-4.00M,39.00M,,489.00M,-81.00M,-146.00M,119.00M,24.00M,224.00M,1.00M,141.00M,704.00M,-57.00M,0.00,0.00,0.00,102.00M,,45.00M,-1.00M,,-1.00M,46.00M,-118.00M,-72.00M,,-93.00M,,-166.00M,1.974B,583.00M,1.00M,2.558B,46.00M,,-1.00M,-118.00M,556.00M,7.00M
2011-01,,1.00M,,,5.00M,,,63.00M,63.00M,10.00M,-29.00M,33.00M,,506.00M,-114.00M,-100.00M,-158.00M,-4.00M,208.00M,5.00M,-163.00M,425.00M,-24.00M,39.00M,39.00M,0.00,-94.00M,,-79.00M,,,,13.00M,-150.00M,-137.00M,,-93.00M,,-230.00M,1.858B,116.00M,0.00,1.974B,13.00M,,,-150.00M,,
2010-10,938.00M,6.00M,,,11.00M,,,69.00M,69.00M,29.00M,-248.00M,31.00M,,-224.00M,-304.00M,45.00M,165.00M,217.00M,-167.00M,-47.00M,-91.00M,525.00M,-35.00M,0.00,0.00,0.00,20.00M,,-15.00M,0.00,,0.00,30.00M,-150.00M,-120.00M,,-94.00M,,-214.00M,1.564B,296.00M,-2.00M,1.858B,30.00M,6.00M,,-150.00M,388.00M,
2010-07,-347.00M,2.00M,,,3.00M,,,73.00M,73.00M,-140.00M,148.00M,33.00M,,295.00M,-283.00M,101.00M,217.00M,-37.00M,56.00M,4.00M,58.00M,299.00M,-36.00M,0.00,0.00,0.00,-101.00M,,-137.00M,-1.00M,,-1.00M,2.00M,-100.00M,-98.00M,,-94.00M,,-193.00M,1.596B,-31.00M,-1.00M,1.564B,2.00M,-1.00M,,-100.00M,,
2010-04,264.00M,8.00M,,,16.00M,,,87.00M,87.00M,-31.00M,9.00M,28.00M,,169.00M,-4.00M,-26.00M,225.00M,-24.00M,-12.00M,-5.00M,154.00M,527.00M,-45.00M,0.00,0.00,0.00,-176.00M,,-221.00M,-6.00M,,-6.00M,77.00M,-100.00M,-23.00M,,-80.00M,,-109.00M,1.399B,197.00M,0.00,1.596B,77.00M,-6.00M,,-100.00M,-11.00M,
2010-01,83.00M,4.00M,,,10.00M,,,76.00M,76.00M,-44.00M,104.00M,34.00M,,6.00M,-176.00M,25.00M,124.00M,23.00M,123.00M,-16.00M,103.00M,372.00M,-53.00M,0.00,0.00,-323.00M,-113.00M,,-489.00M,1.00M,,1.00M,20.00M,0.00,20.00M,,-81.00M,,-60.00M,1.576B,-177.00M,0.00,1.399B,20.00M,1.00M,,0.00,11.00M,
2009-10,137.86M,7.852M,10.23M,0.00,5.00M,,,71.59M,71.59M,-77.25M,-154.42M,31.05M,,93.25M,37.85M,121.05M,-133.97M,44.75M,314.25M,-313.67M,70.26M,239.87M,-60.62M,,,0.00,-110.49M,,-171.12M,-0.75M,,-0.509M,32.42M,0.00,32.42M,,-79.75M,,-47.84M,1.555B,20.91M,0.00,1.576B,32.42M,,-0.75M,0.00,14.51M,7.16M
2009-07,-54.86M,16.16M,-10.92M,0.00,11.33M,,,73.50M,73.50M,60.19M,2.341M,43.33M,,0.00,-49.31M,152.52M,-33.24M,36.58M,-51.49M,2.827M,57.88M,193.71M,-59.70M,,,,32.65M,,-27.05M,,0.323M,0.082M,1.773M,0.00,1.773M,,-80.02M,,-78.16M,1.467B,88.49M,0.00,1.555B,1.773M,,0.323M,0.00,58.78M,0.001M
2009-04,-255.39M,,10.92M,19.18M,28.25M,,,74.88M,74.88M,48.98M,103.79M,39.17M,,15.01M,170.65M,230.07M,-273.91M,2.521M,-98.06M,-1.665M,29.61M,84.30M,-54.78M,,,0.00,124.62M,,69.84M,-0.51M,-0.323M,-0.833M,27.45M,0.00,27.45M,,-79.97M,,-53.36M,1.366B,100.78M,0.00,1.467B,27.45M,-0.51M,-0.323M,0.00,133.25M,7.169M
2009-01,-132.93M,,,15.81M,24.65M,,,71.23M,71.23M,-13.05M,132.77M,33.61M,,47.53M,368.65M,-144.08M,-448.01M,10.89M,-164.70M,28.23M,-349.02M,-185.22M,-73.32M,,,0.00,314.34M,,241.02M,0.51M,,0.51M,0.182M,-22.91M,-22.72M,,-79.76M,,-101.98M,1.412B,-46.17M,0.742M,1.366B,0.182M,0.51M,,-22.91M,,0.042M
2008-10,231.10M,,,,-5.551M,,,80.01M,80.01M,2.627M,,,,-139.44M,-237.88M,-133.70M,-529.23M,16.65M,66.60M,601.22M,-216.33M,126.32M,-78.39M,,251.72M,0.00,499.23M,,463.05M,,,-0.263M,59.40M,-300.00M,-240.60M,,-79.85M,2.085M,-318.62M,1.141B,270.74M,0.349M,1.412B,59.40M,,,-300.00M,,
2008-07,164.77M,,,,14.98M,,,85.72M,85.72M,-22.35M,,,,46.26M,148.27M,-227.08M,207.88M,-38.76M,-54.80M,-4.478M,31.04M,320.42M,-71.81M,,-71.81M,0.00,150.73M,,78.91M,,,-1.842M,26.11M,-300.00M,-273.89M,,-81.28M,0.00,-357.02M,1.098B,42.32M,-0.043M,1.141B,26.11M,,,-300.00M,,
2008-04,302.51M,,,,15.88M,,,75.85M,75.85M,-41.96M,,,,45.43M,350.90M,-203.54M,290.50M,138.93M,-106.05M,5.552M,476.29M,874.00M,-63.56M,,-63.56M,-216.24M,-628.17M,,-907.96M,,,-0.355M,292.78M,-299.98M,-7.202M,,-81.21M,5.406M,-83.36M,1.216B,-117.32M,-0.07M,1.098B,292.78M,,,-299.98M,,
2008-01,262.38M,,,,21.44M,,,78.47M,78.47M,3.417M,,,,87.71M,34.93M,-73.94M,-95.46M,-22.58M,94.25M,-0.879M,-63.68M,389.73M,-74.14M,,-74.14M,-19.08M,383.25M,,290.02M,,,0.343M,15.68M,-600.00M,-584.32M,,-83.07M,,-667.04M,1.203B,12.71M,0.221M,1.216B,15.68M,,,-600.00M,,
2007-10,421.76M,,,,17.96M,,,81.02M,81.02M,37.88M,,,,-110.28M,222.71M,94.60M,-260.31M,-127.48M,78.21M,109.05M,116.79M,677.40M,-60.55M,,204.24M,-462.82M,150.01M,-23.36M,-396.72M,,,-201.89M,461.58M,-400.00M,61.58M,,-83.14M,32.80M,-190.64M,1.113B,90.04M,0.006M,1.203B,461.58M,,,-400.00M,,
2007-07,473.52M,,,,7.901M,,,63.33M,63.33M,1.319M,,,,40.25M,-118.24M,108.77M,165.67M,-39.78M,-74.49M,9.317M,51.25M,637.57M,-72.97M,,-72.97M,-9.151M,-177.90M,5.631M,-254.39M,,,0.052M,266.56M,-399.98M,-133.42M,,-83.05M,13.75M,-202.67M,932.04M,180.51M,0.121M,1.113B,266.56M,,,-399.98M,,
2007-04,411.44M,,,,21.54M,,,63.07M,63.07M,-5.096M,,,,69.72M,-46.71M,48.25M,71.28M,3.00M,-124.81M,1.44M,-47.55M,513.13M,-72.36M,,-72.36M,-127.68M,-85.78M,8.243M,-277.58M,,,-0.302M,94.79M,-400.00M,-305.21M,,-69.88M,3.243M,-372.14M,1.069B,-136.59M,0.018M,932.04M,94.79M,,,-400.00M,,
2007-01,403.48M,,,,8.826M,,,60.90M,60.90M,-2.457M,,,,31.62M,-24.35M,-110.70M,-107.82M,-0.031M,121.08M,0.642M,-121.18M,381.20M,-58.90M,,-58.90M,,1.489M,9.484M,-47.93M,,,,75.09M,-132.02M,-56.92M,,-69.61M,,-126.54M,861.46M,206.73M,0.42M,1.069B,75.09M,,,-132.02M,,
2006-10,449.03M,,,,-10.84M,,,73.03M,73.03M,89.06M,,,,44.48M,268.40M,-67.36M,-156.87M,26.66M,-22.81M,-63.56M,-15.54M,629.22M,-59.38M,-14.34M,-73.72M,-9.767M,1.542B,,1.474B,,,-2.311M,165.03M,-2.636B,-2.471B,,-76.71M,-1.439M,-2.551B,1.308B,-447.45M,0.454M,861.46M,165.03M,,,-2.636B,,
2006-07,512.04M,,,,-278.06M,,,61.87M,61.87M,61.39M,,,,360.24M,-330.20M,-105.70M,146.63M,-4.908M,-46.78M,-0.955M,-341.90M,375.58M,-39.55M,16.21M,-23.34M,-309.43M,450.31M,,117.53M,,,0.038M,10.26M,-499.84M,-489.58M,,-78.21M,6.404M,-561.35M,1.377B,-68.23M,0.006M,1.308B,10.26M,,,-499.84M,,
2006-04,412.81M,,,,324.46M,,,65.84M,65.84M,-32.42M,,,,-257.61M,-194.33M,-60.20M,259.87M,-38.63M,28.29M,3.658M,-1.345M,511.74M,-31.73M,,-31.73M,-1.636M,256.05M,,222.68M,,,-0.43M,73.50M,-500.00M,-426.50M,,-47.62M,9.512M,-465.05M,1.107B,269.38M,0.00,1.377B,73.50M,,,-500.00M,,
2006-01,142.78M,,,,9.646M,,,69.68M,69.68M,-92.72M,,,,257.61M,-136.90M,10.92M,-11.68M,42.10M,141.32M,-13.59M,32.18M,419.18M,-48.82M,,-48.82M,-18.26M,242.85M,,175.77M,,,-5.007M,88.32M,-522.27M,-433.94M,,-48.24M,9.187M,-478.00M,990.34M,116.95M,0.004M,1.107B,88.32M,,,-522.27M,,
2005-10,246.71M,,,,89.00M,74.31M,0.055M,74.37M,74.37M,42.01M,,,,,-90.70M,39.90M,-183.36M,55.06M,-75.20M,,-254.31M,197.78M,-62.88M,,-62.88M,0.00,21.08M,,-41.81M,,,-45.50M,100.36M,-427.51M,-327.15M,,-48.71M,,-421.36M,1.256B,-265.39M,-0.015M,990.34M,100.36M,,,-427.51M,,
2005-07,369.59M,,,,7.041M,72.33M,0.00,72.33M,72.33M,61.44M,,,,,68.53M,8.122M,-63.64M,-72.78M,-126.96M,22.06M,-164.67M,345.73M,-59.04M,,-59.04M,0.00,-230.31M,,-289.34M,,,-0.313M,35.39M,-450.00M,-414.61M,,-49.33M,,-464.25M,1.664B,-407.86M,-0.141M,1.256B,35.39M,,,-450.00M,,
2005-04,304.83M,,,,6.373M,74.61M,0.00,74.61M,74.61M,-74.38M,,,,,145.38M,117.17M,-6.206M,-12.75M,-66.32M,-22.06M,155.21M,466.65M,-45.42M,,-45.42M,0.00,217.93M,,172.51M,,,-2.148M,82.60M,-500.00M,-417.40M,,,,-419.55M,1.634B,219.61M,9.253M,1.664B,82.60M,,,-500.00M,,
2005-01,288.76M,,,,4.437M,79.18M,0.096M,79.28M,79.28M,-8.767M,,,,,-36.25M,-34.26M,-191.64M,68.38M,67.04M,,-126.73M,236.98M,-32.32M,,-32.32M,-101.79M,113.62M,,-20.48M,,,-13.75M,47.76M,-300.00M,-252.24M,,,,-266.00M,1.693B,-49.50M,-8.913M,1.634B,47.76M,,,-300.00M,,
