,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2008-03,1.522B,1.522B,1.071B,450.63M,365.36M,-0.383M,8.167M,3.983M,-4.184M,,365.36M,85.28M,3.983M,8.167M,-4.184M,-0.383M,-4.184M,80.71M,27.45M,54.77M,-0.082M,,-3.25M,51.44M,51.77M,108.31M,19.44M,88.88M,,0.29,0.00,,0.2914,0.29,,0.28,0.00,,0.2814,0.28,,178.45M,184.52M,,,Restated
2007-12,1.702B,1.702B,1.219B,482.42M,355.76M,0.288M,,,,,355.76M,126.67M,,,,0.975M,,225.74M,40.82M,95.07M,0.644M,,-6.438M,78.27M,77.39M,168.74M,20.92M,147.83M,,0.44,0.00,,0.4387,0.44,,0.42,0.00,,0.4187,0.425,,178.17M,184.63M,,,Restated
2007-09,1.506B,1.506B,1.076B,429.33M,332.63M,3.917M,,,,,332.63M,96.70M,,,,3.735M,,98.78M,33.68M,60.67M,-1.095M,,-4.247M,59.57M,58.09M,114.49M,17.79M,96.70M,,0.34,-0.005,,0.3255,0.335,,0.33,-0.005,,0.3159,0.325,,177.58M,182.80M,,,
2007-06,1.387B,1.387B,973.24M,413.78M,322.92M,0.547M,,,,,322.92M,90.85M,,,,0.019M,,89.44M,30.64M,54.44M,-20.60M,,-3.842M,33.84M,54.08M,108.52M,17.67M,90.85M,,0.31,-0.12,,0.3080,0.19,,0.30,-0.12,,0.2980,0.185,,176.78M,181.18M,,,
2007-03,1.310B,1.310B,919.08M,391.05M,317.32M,-0.122M,,,,,317.32M,73.72M,,,,-0.099M,,71.78M,25.47M,43.41M,,,-2.915M,43.41M,43.49M,91.28M,17.56M,73.72M,,0.245,0.00,,0.2454,0.245,,0.24,0.00,,0.2404,0.24,,175.82M,179.97M,,,
2006-12,1.475B,1.475B,1.055B,420.13M,315.59M,-0.12M,,,,,315.59M,104.54M,,,,0.134M,,175.22M,35.87M,63.04M,-0.041M,,-3.643M,63.00M,63.13M,122.58M,18.04M,104.54M,,0.36,-0.005,,0.3605,0.355,,0.345,-0.005,,0.3455,0.345,,176.70M,181.24M,,,
2006-09,1.247B,1.247B,887.50M,359.06M,296.46M,2.294M,,,,,296.46M,62.60M,,,,2.54M,,61.88M,21.70M,39.25M,0.039M,,-1.181M,39.28M,37.76M,79.33M,16.73M,62.60M,,0.22,0.00,,0.2116,0.22,,0.22,0.00,,0.2117,0.22,,176.58M,180.03M,,,
2006-06,1.193B,1.193B,835.74M,357.24M,280.89M,-0.344M,,,,,280.89M,76.36M,,,,-0.117M,,72.73M,26.25M,45.00M,45.22M,,-1.706M,90.22M,45.22M,92.16M,15.81M,76.36M,,0.255,0.00,,0.2562,0.255,,0.25,0.00,,0.2512,0.25,,176.76M,179.65M,,,
2006-03,1.162B,1.162B,824.18M,337.60M,276.68M,0.221M,,,,,276.68M,60.92M,,,,0.329M,,58.30M,21.22M,35.63M,-19.37M,,-1.56M,16.26M,35.49M,75.27M,14.35M,60.92M,,0.205,-0.11,,0.2042,0.095,,0.20,-0.11,,0.1992,0.09,,174.62M,178.48M,,,
2005-12,1.233B,1.233B,864.28M,368.95M,285.25M,0.719M,,,,,285.25M,83.71M,,,,1.032M,,67.09M,29.21M,49.14M,-0.51M,,-2.208M,48.63M,48.71M,101.50M,17.80M,83.71M,,0.28,0.00,,0.2775,0.28,,0.275,0.00,,0.2726,0.275,,174.20M,177.37M,,,
2005-09,1.125B,1.125B,808.63M,316.73M,258.35M,1.028M,,,,,258.35M,58.38M,,,,1.107M,,54.37M,19.91M,33.30M,-10.00M,,-1.241M,23.30M,32.65M,72.58M,14.20M,58.38M,,0.19,-0.055,,0.1863,0.135,,0.185,-0.055,,0.1813,0.13,,174.46M,177.27M,,,
2005-06,1.104B,1.104B,783.09M,321.34M,254.28M,,,,,,254.28M,67.06M,,,,0.248M,,63.20M,23.21M,37.77M,,,-2.469M,37.77M,37.77M,82.17M,15.11M,67.06M,,0.215,0.00,,0.215,0.215,,0.215,-0.005,,0.215,0.21,,173.85M,176.31M,,,
2005-03,1.063B,1.063B,761.60M,301.39M,248.13M,-0.113M,,,,,248.13M,53.26M,,,,0.074M,,48.22M,17.86M,30.50M,0.37M,,-0.045M,30.87M,30.57M,66.50M,13.24M,53.26M,,0.175,0.005,,0.1754,0.18,,0.175,0.00,,0.1754,0.175,,173.36M,176.44M,,,
2004-12,1.156B,1.156B,841.79M,314.33M,281.64M,-0.083M,,,,,281.64M,32.69M,,,,0.285M,,28.17M,10.42M,18.34M,-0.131M,,0.221M,18.21M,18.39M,50.79M,18.10M,32.69M,,0.0525,0.00,,0.0527,0.0525,,0.0525,0.00,,0.0527,0.0525,,346.36M,346.36M,,,
2004-09,993.10M,993.10M,723.86M,269.24M,216.50M,0.118M,,,,,216.50M,52.74M,,,,0.864M,,47.96M,17.71M,31.06M,0.442M,,0.072M,31.50M,30.99M,65.98M,13.25M,52.74M,,0.09,0.00,,0.0898,0.09,,0.0875,0.00,,0.0873,0.0875,,348.16M,355.96M,,,
2004-06,945.69M,945.69M,693.98M,251.72M,188.13M,0.18M,,,,,188.13M,63.58M,,,,0.48M,,63.10M,23.41M,38.74M,,,-1.254M,38.74M,38.62M,73.93M,10.34M,63.58M,,0.22,0.00,,0.2194,0.22,,0.215,0.00,,0.2144,0.215,,175.66M,180.16M,,,
2004-03,886.63M,886.63M,655.80M,230.83M,184.53M,0.151M,,,,,184.53M,46.30M,,,,0.436M,,45.66M,17.03M,28.39M,,,-0.525M,28.39M,28.30M,55.94M,9.642M,46.30M,,0.0812,0.00,,0.0810,0.0812,,0.0788,0.00,,0.0785,0.0788,,350.29M,360.88M,,,
2003-12,787.15M,787.15M,552.43M,234.72M,177.06M,0.366M,,,,,177.06M,57.66M,,,,0.621M,,55.06M,20.39M,34.09M,1.448M,,-0.833M,35.54M,33.86M,68.55M,10.89M,57.66M,,0.1948,0.0083,,0.1935,0.2030,,0.1948,0.0083,,0.1935,0.2030,,175.05M,175.05M,,,
2003-09,892.72M,892.72M,641.22M,251.50M,175.10M,0.328M,,,,,175.10M,76.40M,,,,0.506M,,74.11M,27.57M,46.36M,-2.012M,,-0.363M,44.35M,46.15M,85.24M,8.841M,76.40M,,0.265,-0.0125,,0.2638,0.255,,0.2575,-0.0125,,0.2564,0.2475,,174.44M,179.54M,,,
