,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2017-06,149.58M,,-4.589M,-4.589M,47.79M,47.79M,-5.832M,,,10.86M,2.326M,-20.62M,87.52M,14.21M,-60.39M,20.72M,,228.73M,,-19.65M,,-19.65M,-137.77M,,0.677M,-156.74M,,97.18M,-94.78M,2.408M,,-50.00M,-50.00M,,0.749M,-21.34M,-68.18M,,62.89M,3.803M,7.963M,74.65M,,,5.225M,-2.817M,-50.00M,,AOR,Restated
2017-03,150.25M,,-2.086M,-2.086M,44.75M,44.75M,2.62M,,,8.497M,2.689M,-97.49M,28.28M,-198.64M,2.689M,-265.16M,,-52.59M,,-17.31M,,-17.31M,-11.82M,,-5.549M,-34.68M,,-56.37M,234.04M,177.67M,,-50.01M,-50.01M,,3.952M,-47.96M,83.66M,,62.38M,-3.613M,4.12M,62.89M,,,234.04M,-56.37M,-50.01M,,AOR,Restated
2016-12,153.47M,,-5.358M,-5.358M,43.95M,43.95M,-22.43M,,,14.62M,4.75M,123.93M,-153.30M,82.59M,13.12M,66.34M,,264.51M,,-25.65M,,-25.65M,-102.03M,,-8.902M,-136.59M,,-5.289M,102.02M,96.73M,,-200.02M,-200.02M,,1.65M,-27.45M,-129.09M,,76.19M,-1.168M,-12.64M,62.38M,,,99.55M,-2.814M,-200.02M,,AOR,Restated
2016-09,145.29M,,-5.717M,-5.717M,42.43M,42.43M,-6.419M,,,16.17M,5.484M,-74.88M,14.12M,32.35M,3.095M,-25.32M,,178.63M,,-18.34M,,-18.34M,-34.10M,,-7.001M,-59.45M,,14.63M,94.20M,108.83M,,-192.99M,-192.99M,,0.695M,-22.85M,-106.31M,,63.56M,12.87M,-0.235M,76.19M,,,16.00M,92.83M,-192.99M,,AOR,Restated
2016-06,133.10M,,-4.929M,-4.929M,42.43M,42.43M,-11.67M,,,13.31M,2.534M,-16.94M,20.46M,108.53M,-13.96M,98.10M,,277.24M,,-13.58M,,-13.58M,-39.88M,,4.064M,-49.39M,,33.63M,-192.59M,-158.96M,,-57.01M,-57.01M,,2.661M,-24.01M,-237.32M,,71.61M,-9.474M,1.42M,63.56M,,,-61.11M,-97.85M,-57.01M,,AOR,Restated
2016-03,124.53M,,-2.514M,-2.514M,40.97M,40.97M,9.467M,,,14.14M,-0.173M,-39.77M,13.93M,-216.23M,-24.92M,-266.98M,,-77.80M,,-12.60M,,-12.60M,-52.56M,,-5.829M,-71.00M,,202.45M,95.11M,297.56M,,-100.00M,-100.00M,,6.398M,-58.58M,145.38M,,72.09M,-3.415M,2.943M,71.61M,,,305.11M,-7.554M,-100.00M,,AOR,Restated
2015-12,140.84M,,-3.269M,-3.269M,40.24M,40.24M,-0.47M,,,9.534M,5.771M,-8.111M,-86.60M,216.91M,5.109M,127.31M,,326.97M,,-19.52M,,-19.52M,-29.78M,0.00,-7.259M,-56.56M,,-130.62M,140.25M,9.635M,,-148.99M,-148.99M,,3.245M,-113.91M,-250.02M,,60.48M,20.38M,-8.78M,72.09M,,,140.25M,-130.62M,-148.99M,,AOR,Restated
2015-09,141.40M,,-5.191M,-5.191M,42.72M,42.72M,-3.453M,,,13.08M,2.269M,-56.44M,-105.24M,109.64M,-37.14M,-89.18M,,107.43M,,-18.73M,,-18.73M,-80.76M,0.00,-6.068M,-105.56M,,8.658M,54.91M,63.57M,,-37.66M,-37.66M,,0.767M,-7.948M,18.73M,,47.07M,20.59M,-7.181M,60.48M,,,14.92M,48.65M,-37.66M,,AOR,Restated
2015-06,129.61M,,-3.572M,-3.572M,39.03M,39.03M,-1.862M,,,13.50M,1.182M,-45.59M,8.882M,84.45M,-22.69M,25.06M,,207.76M,,-17.94M,,-17.94M,-47.68M,0.02M,-1.994M,-67.59M,,-68.51M,-30.10M,-98.61M,,-37.50M,-37.50M,,3.281M,-19.68M,-152.51M,,59.20M,-12.34M,0.211M,47.07M,,,0.00,-98.61M,-37.50M,,AOR,Restated
2015-03,111.58M,,-2.028M,-2.028M,37.15M,37.15M,6.038M,,,8.499M,3.68M,-9.861M,-11.91M,-169.73M,-3.659M,-195.16M,,-26.65M,,-15.49M,,-15.49M,-13.64M,,-1.185M,-30.32M,,124.26M,-19.89M,104.38M,,-75.71M,-75.71M,,7.577M,-0.474M,35.77M,,89.47M,-21.20M,-9.077M,59.20M,,,125.00M,-20.62M,-75.71M,,AOR,Restated
2014-12,143.96M,,-3.449M,-3.449M,39.57M,39.57M,10.33M,,,12.62M,-4.888M,26.90M,-74.35M,114.45M,1.521M,68.52M,,274.02M,,-21.33M,,-21.33M,-60.17M,1.25M,-2.822M,-83.08M,,-92.36M,-5.643M,-98.01M,,-73.71M,-73.71M,,7.376M,-1.80M,-166.14M,,76.54M,24.80M,-11.87M,89.47M,,,-5.643M,-92.36M,-73.71M,,AOR,Restated
2014-09,124.24M,,-4.762M,-4.762M,39.18M,39.18M,-2.27M,,,13.75M,0.172M,-22.14M,-46.10M,85.88M,-18.68M,-1.038M,,174.50M,,-22.81M,,-22.81M,-141.25M,2.00M,-4.171M,-166.23M,,-35.18M,105.04M,69.87M,,-74.84M,-74.84M,,2.838M,-7.708M,-9.842M,,89.70M,-1.57M,-11.59M,76.54M,,,105.04M,-35.18M,-74.84M,,AOR,Restated
2014-06,127.12M,,-2.817M,-2.817M,37.35M,37.35M,-4.756M,,,10.54M,8.501M,-56.60M,6.991M,68.24M,0.195M,18.83M,,199.23M,,-19.49M,,-19.49M,-78.18M,0.00,-2.566M,-100.24M,,23.93M,-61.53M,-37.60M,,-76.14M,-76.14M,,4.827M,-31.46M,-140.36M,,129.12M,-41.37M,1.952M,89.70M,,,62.87M,-100.47M,-76.14M,,AOR,Restated
2014-03,110.13M,,-0.706M,-0.706M,36.14M,36.14M,18.20M,,,8.963M,-0.482M,-29.60M,41.56M,-219.29M,-23.45M,-230.78M,,-55.25M,,-18.48M,,-18.48M,-144.68M,,-3.931M,-167.09M,,189.99M,114.77M,304.76M,,-75.31M,-75.31M,,16.45M,-84.21M,161.70M,,188.62M,-60.65M,1.145M,129.12M,,,305.16M,-0.396M,-75.31M,,AOR,Restated
2013-12,134.97M,0.00,-3.985M,-3.985M,31.95M,31.95M,0.262M,,,10.83M,-3.866M,48.34M,-124.96M,167.51M,4.624M,95.51M,,274.63M,,-21.48M,,-21.48M,-147.85M,0.00,-3.516M,-172.85M,,63.89M,13.72M,77.61M,,-73.77M,-73.77M,,12.92M,-3.489M,13.27M,,69.92M,115.05M,3.654M,188.62M,,,2.175M,75.44M,-73.77M,,AOR,Restated
2013-09,116.37M,12.54M,-3.642M,8.893M,31.84M,31.84M,-28.35M,,,7.963M,8.789M,-48.30M,-5.16M,32.53M,24.05M,3.124M,,152.80M,,-16.80M,,-16.80M,-14.17M,0.00,-2.076M,-33.04M,,-60.86M,0.09M,-60.77M,,-74.97M,-74.97M,,3.184M,-4.013M,-136.57M,,78.84M,-16.82M,7.894M,69.92M,,,195.00M,-255.77M,-74.97M,,AOR,Restated
2013-06,121.44M,,-1.766M,-1.766M,31.84M,31.84M,9.179M,,,11.42M,2.076M,-19.76M,28.03M,114.39M,-26.93M,95.73M,,274.80M,,-10.07M,,-10.07M,-1.349M,,-5.003M,-16.42M,,-149.31M,-34.47M,-183.78M,,-78.06M,-78.06M,,7.653M,-14.55M,-268.74M,,90.56M,-10.37M,-1.353M,78.84M,,,132.95M,-316.74M,-78.06M,,AOR,Restated
2013-03,98.69M,,-0.801M,-0.801M,32.39M,32.39M,6.371M,,,5.31M,9.494M,-25.39M,54.01M,-235.84M,14.00M,-193.22M,,-38.05M,,-11.86M,,-11.86M,-32.36M,,-0.068M,-44.29M,,95.10M,22.83M,117.92M,,-73.45M,-73.45M,,11.80M,-0.199M,56.07M,,122.08M,-26.26M,-5.255M,90.56M,,,350.83M,-232.90M,-73.45M,,AOR,Restated
2012-12,121.72M,0.00,0.84M,0.84M,33.33M,33.33M,32.05M,,,5.446M,-9.795M,32.04M,-108.56M,121.92M,-35.60M,9.801M,,199.66M,,-18.30M,,-18.30M,-13.98M,3.20M,-3.224M,-32.30M,,47.50M,-130.25M,-82.75M,,-84.19M,-84.19M,,28.71M,-3.073M,-141.31M,,89.34M,26.05M,,122.08M,,,-48.06M,-34.69M,-84.19M,,AOR,Restated
2012-09,105.31M,0.00,-3.434M,-3.434M,30.60M,30.60M,-0.763M,,,11.82M,6.629M,-46.63M,-73.69M,63.42M,-18.71M,-75.61M,,78.54M,,-11.56M,,-11.56M,-85.91M,2.00M,0.255M,-95.22M,,2.24M,71.68M,73.92M,,-58.80M,-58.80M,,3.058M,-3.585M,14.59M,,87.90M,-2.083M,,89.34M,,,76.76M,-2.842M,-58.80M,,AOR,Restated
2012-06,107.30M,,-3.073M,-3.073M,30.97M,30.97M,0.467M,,,11.30M,0.958M,-1.896M,1.192M,47.59M,-20.48M,26.40M,,178.50M,,-9.149M,,-9.149M,-101.37M,2.875M,-2.334M,-109.98M,,-24.68M,76.40M,51.72M,,-118.33M,-118.33M,,10.68M,-18.87M,-74.80M,,101.81M,-6.274M,,87.90M,,,26.43M,25.29M,-118.33M,,AOR,Restated
2012-03,89.06M,,-1.391M,-1.391M,30.42M,30.42M,-8.182M,,,8.754M,2.901M,-57.43M,-12.53M,-117.08M,12.40M,-174.64M,,-48.60M,,-12.22M,,-12.22M,-18.98M,1.15M,-2.051M,-32.10M,,89.35M,-50.02M,39.33M,,-38.56M,-38.56M,,30.04M,0.101M,30.91M,,147.28M,-49.80M,,101.81M,,,100.00M,-60.67M,-38.56M,,AOR,Restated
2011-12,115.82M,,-15.37M,-9.576M,29.86M,29.86M,-6.491M,,,5.089M,-0.312M,86.99M,-29.50M,56.86M,8.044M,122.40M,,277.83M,,-12.63M,,-12.63M,-5.767M,0.15M,-2.263M,-20.51M,,-7.465M,,5.851M,,-67.53M,-67.53M,,4.269M,-155.84M,-213.24M,,106.87M,44.07M,-3.661M,147.28M,,,13.32M,-7.465M,-67.53M,,AOR,Restated
2011-09,100.81M,,-1.367M,-1.367M,28.57M,28.57M,-2.563M,,5.786M,13.88M,1.70M,-40.88M,-18.56M,10.39M,-7.437M,-56.49M,,90.33M,,-11.78M,,-11.78M,0.00,0.30M,-0.877M,-12.36M,,-10.01M,,-10.01M,,-100.38M,-100.38M,,2.312M,-12.72M,-120.80M,,161.79M,-42.83M,-12.09M,106.87M,,,-7.671M,-2.341M,-100.38M,,AOR,Restated
2011-06,105.06M,,0.731M,0.731M,29.12M,29.12M,-3.493M,,-4.133M,9.615M,0.955M,-20.89M,10.85M,20.16M,-9.969M,0.146M,,138.00M,,-10.31M,,-10.31M,-10.02M,0.05M,1.484M,-18.79M,,-70.28M,,-70.28M,,-5.00M,-5.00M,,9.124M,-10.15M,-76.30M,,116.71M,42.90M,2.174M,161.79M,,,-47.89M,-22.39M,-5.00M,,AOR,Restated
2011-03,82.97M,,0.449M,0.449M,28.35M,28.35M,-6.772M,,-1.653M,8.345M,4.009M,10.99M,-6.944M,-70.14M,-1.131M,-67.22M,,48.47M,,-10.46M,,-10.46M,-133.61M,2.10M,0.413M,-141.56M,,57.13M,,57.13M,,-27.10M,-27.10M,,18.81M,4.279M,53.13M,,150.35M,-39.96M,6.32M,116.71M,,,58.66M,-1.526M,-27.10M,,AOR,Restated
2010-12,97.23M,,,,25.70M,25.70M,-3.983M,-4.007M,7.047M,4.444M,2.434M,28.59M,-27.11M,72.62M,10.89M,84.99M,,218.66M,,-12.07M,,-12.07M,-46.27M,0.05M,-0.26M,-60.64M,,-211.55M,,-171.05M,,-52.92M,-52.92M,,13.09M,3.45M,-207.43M,,203.73M,-49.41M,-5.953M,150.35M,,,-149.70M,-21.35M,-52.92M,,AOR,Restated
2010-09,94.49M,,,,25.17M,25.17M,3.763M,0.872M,-3.721M,12.47M,2.626M,-70.86M,-26.46M,28.01M,-19.12M,-88.43M,,47.84M,,-9.384M,,-9.384M,-101.73M,19.54M,-2.072M,-91.56M,,59.36M,,59.36M,,-4.819M,-4.819M,,4.314M,-140.70M,-81.84M,,321.12M,-125.57M,8.186M,203.73M,,,300.20M,-240.83M,-4.819M,,AOR,Restated
2010-06,160.42M,,,,25.77M,25.77M,-6.103M,1.587M,-1.795M,6.857M,-65.96M,-26.46M,17.78M,20.04M,-26.14M,-14.78M,,107.31M,,-8.48M,,-8.48M,-95.65M,12.10M,1.027M,-91.01M,,-48.07M,,-48.07M,,0.00,0.00,,5.756M,-4.699M,-47.01M,,355.39M,-30.71M,-3.564M,321.12M,,,0.00,-48.07M,0.00,,AOR,Restated
2010-03,,,,,24.57M,24.57M,0.272M,1.548M,-1.531M,6.142M,68.61M,-7.394M,14.48M,-93.75M,7.73M,-78.94M,,21.68M,,-9.062M,,-9.062M,-108.95M,-25.68M,-0.72M,-144.41M,,-2.774M,,-2.774M,,0.00,0.00,,15.28M,-6.866M,5.64M,,471.15M,-117.10M,1.331M,355.39M,,,0.00,-2.774M,0.00,,AOR,Restated
2009-12,92.68M,,,,20.56M,20.56M,,1.517M,-1.466M,7.58M,7.632M,33.23M,-9.008M,26.98M,1.181M,52.38M,,178.51M,,-13.21M,,-13.21M,-11.19M,1.225M,-0.861M,-24.04M,,-1.529M,,-1.529M,,0.00,0.00,,2.181M,1.024M,1.676M,,317.61M,156.15M,-2.606M,471.15M,,,0.00,-1.529M,0.00,,AOR,Restated
2009-09,100.75M,,,,20.20M,20.20M,,1.509M,-1.20M,11.34M,-24.01M,-27.23M,-23.48M,84.20M,-3.276M,30.22M,,138.80M,,-10.01M,,-10.01M,-6.253M,4.69M,-8.578M,-20.16M,,-151.28M,,-151.28M,,0.00,0.00,,5.761M,-50.69M,-196.21M,,393.87M,-77.56M,1.296M,317.61M,,,0.00,-151.28M,0.00,,AOR,Restated
2009-06,80.42M,,,,20.81M,20.81M,,1.50M,-1.212M,6.236M,-0.035M,-28.95M,34.29M,3.842M,-10.20M,-1.024M,,106.70M,,-15.54M,,-15.54M,-12.75M,1.30M,1.606M,-25.38M,,-1.104M,,-1.104M,,,,,3.551M,0.845M,3.292M,,308.16M,84.62M,1.099M,393.87M,,,,-1.104M,,,AOR,Restated
2009-03,59.30M,,,,19.92M,19.92M,,1.464M,-1.365M,6.067M,-2.683M,43.40M,-21.04M,-144.86M,12.67M,-109.83M,,-27.13M,,-12.87M,,-12.87M,-13.74M,2.74M,-4.011M,-27.88M,,-4.901M,,-4.901M,,,,,0.377M,-1.91M,-6.434M,,369.57M,-61.44M,0.028M,308.16M,,,,-4.901M,,,AOR,Restated
2008-12,62.22M,,,,18.94M,18.94M,,1.435M,4.02M,2.369M,-3.464M,39.92M,-0.178M,47.65M,14.72M,102.11M,,196.12M,,-12.75M,,-12.75M,-102.54M,4.15M,28.84M,-82.30M,,-4.993M,,-4.993M,,-27.84M,-27.84M,,0.608M,1.308M,-30.92M,,288.36M,82.89M,-1.687M,369.57M,,,,-4.993M,-27.84M,,AOR,Restated
2008-09,72.77M,,,,19.48M,19.48M,,1.422M,-1.602M,11.51M,1.429M,-60.00M,-63.12M,82.54M,-14.44M,-55.02M,,49.98M,,-14.65M,,-14.65M,-2.349M,0.725M,13.24M,-3.032M,,-23.47M,,-23.47M,,-23.30M,-23.30M,,12.35M,5.507M,-28.91M,,271.43M,18.04M,-1.103M,288.36M,,,,-23.47M,-23.30M,,,Restated
2008-06,74.95M,,,,20.27M,20.27M,,1.41M,-0.908M,6.956M,-2.707M,-23.26M,16.02M,24.11M,8.464M,25.34M,,125.31M,,-9.723M,,-9.723M,-15.06M,0.00,2.224M,-22.56M,,-7.565M,,-7.565M,,-31.65M,-31.65M,,5.523M,0.267M,-33.42M,,203.04M,69.33M,-0.937M,271.43M,,,,-7.565M,-31.65M,,,Restated
2008-03,51.44M,,,,19.44M,19.44M,,1.382M,-1.51M,9.26M,0.152M,16.50M,-21.09M,-64.72M,2.514M,-66.79M,,13.37M,,-13.74M,,-13.74M,-8.524M,-35.08M,-2.772M,-60.12M,,-4.892M,,-4.892M,,,,,7.172M,3.005M,5.285M,,247.59M,-41.46M,-3.095M,203.04M,,,,-4.892M,,,,Restated
2007-12,78.27M,,,-8.821M,20.92M,20.92M,16.73M,,,,-17.58M,60.56M,16.00M,-23.16M,-48.35M,5.041M,-33.60M,120.29M,,-23.80M,,-23.80M,-71.12M,27.75M,-14.85M,-82.02M,,,,0.392M,-32.72M,0.00,-32.72M,,,0.60M,3.732M,,207.46M,42.00M,-1.867M,247.59M,,-32.72M,,,0.00,,,Restated
2007-09,59.57M,,,2.634M,17.79M,17.79M,1.958M,,,,-22.24M,-65.76M,-47.39M,103.33M,-14.31M,-24.13M,33.60M,69.18M,,-11.69M,,-11.69M,-119.24M,102.07M,-11.80M,-40.65M,,,,-28.88M,9.099M,0.00,9.099M,,,3.153M,-16.62M,,190.97M,11.91M,4.574M,207.46M,,9.099M,,,0.00,,,
2007-06,33.84M,,,4.016M,17.67M,17.67M,-11.83M,,,,39.78M,-12.81M,11.51M,39.88M,-7.413M,31.17M,,114.64M,,-12.40M,,-12.40M,,-54.89M,-7.039M,-74.33M,,,,-17.44M,12.93M,0.00,12.93M,,,1.448M,-3.062M,,154.46M,37.25M,-0.732M,190.97M,,12.93M,,,0.00,,,
2007-03,43.49M,,,2.171M,17.56M,17.56M,-6.855M,,,,4.348M,-3.947M,3.936M,-106.49M,11.88M,-94.62M,,-33.90M,,-8.933M,,-8.933M,,-26.93M,-9.183M,-45.05M,,,,-0.284M,10.69M,-30.69M,-20.00M,,,5.117M,-15.16M,,248.65M,-94.12M,-0.076M,154.46M,,10.69M,,,-30.69M,,,
2006-12,63.00M,,,-15.49M,18.04M,18.04M,3.959M,,,,6.06M,-0.287M,-5.991M,70.99M,11.05M,75.76M,,170.69M,,-17.07M,,-17.07M,-13.75M,-48.00M,-2.52M,-81.34M,,,,-2.772M,2.722M,-14.56M,-11.84M,,,1.704M,-12.91M,,176.07M,76.44M,-3.865M,248.65M,,2.722M,,,-14.56M,,,
2006-09,39.28M,,,-1.881M,16.73M,16.73M,-8.599M,,,,10.47M,-6.395M,-4.212M,19.38M,-0.77M,8.004M,,64.01M,,-17.27M,,-17.27M,-80.94M,101.11M,-8.859M,-5.968M,,,,-23.90M,7.30M,-2.261M,5.039M,,,2.978M,-15.89M,,138.33M,42.15M,-4.417M,176.07M,,7.30M,,,-2.261M,,,
2006-06,45.22M,,,-1.116M,15.81M,15.81M,0.959M,,,,9.374M,-7.622M,-19.27M,-9.731M,5.003M,-31.62M,,38.62M,,-21.49M,,-21.49M,4.052M,22.88M,-13.67M,-8.223M,,,,-5.053M,8.492M,-23.44M,-14.95M,,,5.098M,-14.90M,,159.89M,15.49M,6.767M,138.33M,,8.492M,,,-23.44M,,,
2006-03,16.26M,,,23.68M,14.35M,14.35M,4.978M,,,,,4.599M,-12.48M,-92.53M,3.143M,-97.27M,,-38.00M,,-11.17M,,-11.17M,-72.71M,0.02M,-0.97M,-84.83M,,,,-1.422M,17.11M,,17.11M,,,6.739M,22.42M,,254.50M,-100.40M,5.797M,159.89M,,17.11M,,,,,,
2005-12,48.63M,,,0.605M,17.80M,17.80M,-0.206M,,,,5.774M,27.64M,-27.64M,90.46M,-14.34M,76.13M,,148.73M,,-14.62M,,-14.62M,-9.665M,-99.27M,0.39M,-123.17M,,,,-3.642M,4.222M,-25.16M,-20.94M,,,3.013M,-21.57M,,203.76M,3.996M,2.93M,210.68M,,4.222M,,,-25.16M,,,
2005-09,23.30M,,,2.268M,14.20M,14.20M,-5.148M,,,,25.61M,-36.58M,12.86M,-3.187M,5.561M,-21.34M,,38.89M,,-14.17M,,-14.17M,-3.796M,-24.74M,22.35M,-20.36M,,,,-3.735M,6.225M,-6.108M,0.117M,,,-1.629M,-5.247M,,187.11M,13.29M,3.363M,203.76M,,6.225M,,,-6.108M,,,
